 4687 ; Бона иностранная ;  ;  ;  ;  ; 12 ; smel ; 150 
 4717 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 555650 ; 33 
 4718 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 0001 ; 35 
 4719 ; Бона иностранная ;  ;  ;  ;  ; 15 ; у44 ; 36 
 4720 ; Бона иностранная ;  ;  ;  ;  ; 15 ; у44 ; 36 
 4637 ; Бона иностранная ;  ;  ;  ;  ; 7 ; AnvlaSar6216 ; 40 
 4638 ; Бона иностранная ;  ;  ;  ;  ; 7 ; AnvlaSar6216 ; 40 
 4639 ; Бона иностранная ;  ;  ;  ;  ; 7 ; AnvlaSar6216 ; 40 
 4640 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 555650 ; 31 
 4641 ; Бона иностранная ;  ;  ;  ;  ; 13 ; surinoff ; 30 
 4642 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ек ; 29 
 4643 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ек ; 29 
 4644 ; Бона иностранная ;  ;  ;  ;  ; 11 ; surinoff ; 30 
 4645 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ек ; 29 
 4646 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Gera_K ; 40 
 4647 ; Бона иностранная ;  ;  ;  ;  ; 4 ; surinoff ; 32 
 4648 ; Бона иностранная ;  ;  ;  ;  ; 3 ; vladimir-sirke ; 31 
 4649 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 30 
 4650 ; Бона иностранная ;  ;  ;  ;  ; 18 ; DENGL ; 100 
 4651 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ъхз ; 83 
 4652 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ъхз ; 82 
 4653 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Опятор ; 33 
 4654 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 31 
 4655 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 31 
 4656 ; Бона иностранная ;  ;  ;  ;  ; 23 ; В1951 ; 40 
 4657 ; Бона иностранная ;  ;  ;  ;  ; 38 ; sobiranel ; 101 
 4658 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 555650 ; 33 
 4659 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 555650 ; 33 
 4660 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Майкл ; 40 
 4661 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 555650 ; 33 
 4662 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Germanfox ; 82 
 4663 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ъхз ; 32 
 4664 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ъхз ; 40 
 4665 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ъхз ; 42 
 4666 ; Бона иностранная ;  ;  ;  ;  ; 13 ; advokatx ; 47 
 4667 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 33 
 4668 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Gera_K ; 44 
 4669 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ъхз ; 47 
 4670 ; Бона иностранная ;  ;  ;  ;  ; 4 ; sos1 ; 58 
 4671 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ъхз ; 42 
 4672 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 33 
 4673 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ъхз ; 40 
 4674 ; Бона иностранная ;  ;  ;  ;  ; 16 ; smel ; 124 
 4675 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 39 
 4676 ; Бона иностранная ;  ;  ;  ;  ; 33 ; 0001 ; 53 
 4677 ; Бона иностранная ;  ;  ;  ;  ; 22 ; у44 ; 123 
 4678 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 35 
 4679 ; Бона иностранная ;  ;  ;  ;  ; 26 ; 11000 ; 60 
 4680 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Evgen555 ; 50 
 4681 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 555650 ; 33 
 4682 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 0001 ; 79 
 4683 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ъхз ; 47 
 4684 ; Бона иностранная ;  ;  ;  ;  ; 22 ; DENGL ; 113 
 4685 ; Бона иностранная ;  ;  ;  ;  ; 7 ; sobiranel ; 47 
 4686 ; Бона иностранная ;  ;  ;  ;  ; 16 ; smel ; 150 
 4587 ; Бона иностранная ;  ;  ;  ;  ; 26 ; vladimir-sirke ; 45 
 4588 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kent01 ; 35 
 4589 ; Бона иностранная ;  ;  ;  ;  ; 13 ; babaika ; 45 
 4590 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ек ; 34 
 4591 ; Бона иностранная ;  ;  ;  ;  ; 22 ; ек ; 51 
 4592 ; Бона иностранная ;  ;  ;  ;  ; 11 ; surinoff ; 26 
 4593 ; Бона иностранная ;  ;  ;  ;  ; 34 ; vladimir-sirke ; 50 
 4594 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ъхз ; 24 
 4595 ; Бона иностранная ;  ;  ;  ;  ; 29 ; ъхз ; 99 
 4596 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 11000 ; 33 
 4597 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 11000 ; 35 
 4598 ; Бона иностранная ;  ;  ;  ;  ; 23 ; ъхз ; 42 
 4599 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ppp ; 34 
 4600 ; Бона иностранная ;  ;  ;  ;  ; 27 ; ъхз ; 35 
 4601 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 11000 ; 35 
 4602 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Germanfox ; 40 
 4603 ; Бона иностранная ;  ;  ;  ;  ; 47 ; ъхз ; 47 
 4604 ; Бона иностранная ;  ;  ;  ;  ; 29 ; ъхз ; 49 
 4605 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ек ; 30 
 4606 ; Бона иностранная ;  ;  ;  ;  ; 23 ; vladimir-sirke ; 48 
 4607 ; Бона иностранная ;  ;  ;  ;  ; 36 ; lamazo ; 61 
 4608 ; Бона иностранная ;  ;  ;  ;  ; 34 ; lamazo ; 61 
 4609 ; Бона иностранная ;  ;  ;  ;  ; 20 ; vladimir-sirke ; 48 
 4610 ; Бона иностранная ;  ;  ;  ;  ; 6 ; у44 ; 35 
 4611 ; Бона иностранная ;  ;  ;  ;  ; 6 ; krut0803 ; 72 
 4612 ; Бона иностранная ;  ;  ;  ;  ; 4 ; surinoff ; 26 
 4613 ; Бона иностранная ;  ;  ;  ;  ; 3 ; don-juras ; 31 
 4614 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 11000 ; 43 
 4615 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Gera_K ; 50 
 4616 ; Бона иностранная ;  ;  ;  ;  ; 11 ; vladimir-sirke ; 30 
 4617 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Drunja33 ; 11 
 4618 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Drunja33 ; 11 
 4619 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Drunja33 ; 13 
 4620 ; Бона иностранная ;  ;  ;  ;  ; 33 ; 11000 ; 67 
 4621 ; Бона иностранная ;  ;  ;  ;  ; 12 ; DENGL ; 120 
 4622 ; Бона иностранная ;  ;  ;  ;  ; 4 ; krut0803 ; 72 
 4623 ; Бона иностранная ;  ;  ;  ;  ; 3 ; surinoff ; 32 
 4624 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 31 
 4625 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 31 
 4626 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 31 
 4627 ; Бона иностранная ;  ;  ;  ;  ; 3 ; surinoff ; 32 
 4628 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 31 
 4629 ; Бона иностранная ;  ;  ;  ;  ; 11 ; surinoff ; 30 
 4630 ; Бона иностранная ;  ;  ;  ;  ; 12 ; surinoff ; 31 
 4631 ; Бона иностранная ;  ;  ;  ;  ; 7 ; surinoff ; 30 
 4632 ; Бона иностранная ;  ;  ;  ;  ; 11 ; surinoff ; 30 
 4633 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kent01 ; 35 
 4634 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kent01 ; 36 
 4635 ; Бона иностранная ;  ;  ;  ;  ; 13 ; AnvlaSar6216 ; 45 
 4636 ; Бона иностранная ;  ;  ;  ;  ; 15 ; AnvlaSar6216 ; 47 
 4537 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Скрудж ; 43 
 4538 ; Бона иностранная ;  ;  ;  ;  ; 15 ; sos1 ; 51 
 4539 ; Бона иностранная ;  ;  ;  ;  ; 11 ; sos1 ; 72 
 4540 ; Бона иностранная ;  ;  ;  ;  ; 15 ; sos1 ; 72 
 4541 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 555650 ; 34 
 4542 ; Бона иностранная ;  ;  ;  ;  ; 11 ; surinoff ; 19 
 4543 ; Бона иностранная ;  ;  ;  ;  ; 9 ; surinoff ; 18 
 4544 ; Бона иностранная ;  ;  ;  ;  ; 11 ; surinoff ; 18 
 4545 ; Бона иностранная ;  ;  ;  ;  ; 8 ; tpls ; 17 
 4546 ; Бона иностранная ;  ;  ;  ;  ; 15 ; babaika ; 30 
 4547 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ек ; 25 
 4548 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Drunja33 ; 17 
 4549 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Drunja33 ; 17 
 4550 ; Бона иностранная ;  ;  ;  ;  ; 9 ; tpls ; 17 
 4551 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Drunja33 ; 17 
 4552 ; Бона иностранная ;  ;  ;  ;  ; 8 ; krut0803 ; 73 
 4553 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kompman ; 32 
 4554 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 11000 ; 55 
 4555 ; Бона иностранная ;  ;  ;  ;  ; 64 ; DENGL ; 148 
 4556 ; Бона иностранная ;  ;  ;  ;  ; 24 ; В1951 ; 51 
 4557 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 11000 ; 30 
 4558 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 555650 ; 33 
 4559 ; Бона иностранная ;  ;  ;  ;  ; 6 ; карпер ; 30 
 4560 ; Бона иностранная ;  ;  ;  ;  ; 8 ; ек ; 19 
 4561 ; Бона иностранная ;  ;  ;  ;  ; 13 ; surinoff ; 21 
 4562 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ppp ; 26 
 4563 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Germanfox ; 34 
 4564 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ек ; 25 
 4565 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Germanfox ; 25 
 4566 ; Бона иностранная ;  ;  ;  ;  ; 20 ; ек ; 21 
 4567 ; Бона иностранная ;  ;  ;  ;  ; 6 ; vladimir-sirke ; 30 
 4568 ; Бона иностранная ;  ;  ;  ;  ; 6 ; surinoff ; 34 
 4569 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 555650 ; 33 
 4570 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ек ; 29 
 4571 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ек ; 29 
 4572 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 555650 ; 33 
 4573 ; Бона иностранная ;  ;  ;  ;  ; 12 ; surinoff ; 34 
 4574 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ек ; 29 
 4575 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ек ; 29 
 4576 ; Бона иностранная ;  ;  ;  ;  ; 9 ; surinoff ; 30 
 4577 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ек ; 29 
 4578 ; Бона иностранная ;  ;  ;  ;  ; 25 ; babaika ; 22 
 4579 ; Бона иностранная ;  ;  ;  ;  ; 12 ; surinoff ; 11 
 4580 ; Бона иностранная ;  ;  ;  ;  ; 13 ; торнадо ; 12 
 4581 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 33 
 4582 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 31 
 4583 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 54 
 4584 ; Бона иностранная ;  ;  ;  ;  ; 7 ; vladimir-sirke ; 31 
 4585 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kent01 ; 35 
 4586 ; Бона иностранная ;  ;  ;  ;  ; 7 ; surinoff ; 30 
 4366 ; Облагация "Заем Свободы" с купонами ; 1917 ;  ;  ; XF+ ; 37 ; asru ; 650 
 4367 ; 500 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; XF ; 30 ; Woker ; 254 
 4368 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; XF+ ; 54 ; kompman ; 194 
 4369 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; XF+ ; 48 ; qwert543 ; 245 
 4370 ; Бона. 5 пунктов. Литва ; 1945 ;  ;  ; XF- ; 100 ; benc ; 3007 
 4371 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ; AU ; 66 ; AnvlaSar6216 ; 389 
 4372 ; 50 рублей ; 1947 ; билет ;  ; AU ; 93 ; lvd ; 6252 
 4373 ; 100 рублей. Билет Банка СССР ; 1961 ;  ;  ; AU ; 134 ; babaika ; 365 
 4374 ; 25 рублей. Билет Банка СССР ; 1961 ;  ;  ; AU ; 38 ; babaika ; 357 
 4375 ; Лот Билетов  Банка России: 50, 200,500,1000,5000,10000 руб (6шт) ; 1992 ;  ;  ; AU ; 96 ; babaika ; 1269 
 4376 ; Лот Билетов  Банка России: 100,200,500 (3шт) ; 1993 ;  ;  ; AU ; 46 ; babaika ; 453 
 4377 ; 10000 рублей. Билет Банка России с маркой Преднистровской Республики ; 1992 ;  ;  ; AU ; 51 ; kropkomp ; 735 
 4378 ; 5 рублей. Билет Банка России ; 1997 ;  ;  ; AU ; 63 ; Хакас ; 385 
 4379 ; 10000 рублей ; 1992 ; банкнота ;  ; VF ; 6 ; 555650 ; 232 
 4501 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 37 
 4502 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Скрудж ; 40 
 4503 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 41 
 4504 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 40 
 4505 ; Бона иностранная ;  ;  ;  ;  ; 21 ; babaika ; 47 
 4506 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Скрудж ; 40 
 4507 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 33 
 4508 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 33 
 4509 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 40 
 4510 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 36 
 4511 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Скрудж ; 41 
 4512 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Скрудж ; 40 
 4513 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 38 
 4514 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 38 
 4515 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 41 
 4516 ; Бона иностранная ;  ;  ;  ;  ; 14 ; advokatx ; 47 
 4517 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 555650 ; 33 
 4518 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 40 
 4519 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 41 
 4520 ; Бона иностранная ;  ;  ;  ;  ; 13 ; don-juras ; 47 
 4521 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Скрудж ; 41 
 4522 ; Бона иностранная ;  ;  ;  ;  ; 23 ; sos1 ; 51 
 4523 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Скрудж ; 40 
 4524 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 11000 ; 33 
 4525 ; Бона иностранная ;  ;  ;  ;  ; 6 ; advokatx ; 47 
 4526 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Let ; 70 
 4527 ; Бона иностранная ;  ;  ;  ;  ; 11 ; don-juras ; 42 
 4528 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 555650 ; 38 
 4529 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Let ; 70 
 4530 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 40 
 4531 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 40 
 4532 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Let ; 70 
 4533 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 40 
 4534 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Скрудж ; 40 
 4535 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 41 
 4536 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 11000 ; 33 
 4316 ; 3 рубля. Одесса. Городское управление. Разменный билет ; 1917 ;  ;  ; AU ; 31 ; AnvlaSar6216 ; 675 
 4317 ; 5 рублей. Одесса. Городское управление. Разменный билет ; 1917 ;  ;  ; XF- ; 25 ; avs ; 449 
 4318 ; 50 рублей. Одесса. Городское управление. Разменный билет ; 1917 ;  ;  ; F ; 41 ; kropkomp ; 4080 
 4319 ; Чек на 1 рубль. Харьковское Ссудо-Сберегательное т-во "Автокредит" ;  ;  ;  ; AU ; 27 ; elion3 ; 797 
 4320 ; Чек на 25 рубль. Харьковское Ссудо-Сберегательное т-во "Автокредит" ;  ;  ;  ; AU ; 65 ; ZOLTAN333 ; 366 
 4321 ; 50 рублей. Разменный билет Народного банка. Г Житомир. Перфорация 50 ;  ;  ;  ; VF+ ; 37 ; lesnik1 ; 343 
 4322 ; 75 рублей. Разменный билет Народного банка. Г  Житомир. Перфорация 75 ;  ;  ;  ; XF- ; 27 ; Bagrin ; 793 
 4323 ; 100 рублей. Разменный билет Народного банка. Г  Житомир. Перфорация 100 ;  ;  ;  ; VF- ; 14 ; monos72 ; 330 
 4324 ; 250 рублей. Разменный билет Народного банка.  Г Житомир ;  ;  ;  ; XF- ; 10 ; ZOLTAN333 ; 313 
 4325 ; Лот из 3-х бон "Елисаветградское отделение Государственного банка": 1,3,10 руб ; 1918 ;  ;  ; VG/F ; 33 ; elion3 ; 714 
 4326 ; 5 рублей. Казначейский знак. Пятигорский окружной совет ; 1920 ;  ;  ; VF ; 32 ; Bagrin ; 1281 
 4327 ; Кисловодское отделение Государственного банка чек на 25 рублей ; 1920 ;  ;  ; F ; 12 ; Bagrin ; 464 
 4328 ; Кисловодское отделение Народного банка чек на 50 рублей ;  ;  ;  ; AU ; 32 ; Bagrin ; 771 
 4329 ; Общество потребителей военнослужащих г Тифлис. Чек на 1 рубль ;  ;  ;  ; AU ; 18 ; kirkar ; 408 
 4330 ; Общество потребителей военнослужащих г Тифлис. Чек на 3 рубля ;  ;  ;  ; AU ; 16 ; monos72 ; 619 
 4331 ; 5000 рублей. Управление железных дорог. Расчетный знак коллективного снабжения ССР Закавказья ;  ;  ;  ; AU ; 84 ; abrek112 ; 1249 
 4332 ; 25000 рублей. Управление железных дорог. Расчетный знак коллективного снабжения ССР Закавказья ;  ;  ;  ; XF ; 29 ; abrek112 ; 1234 
 4333 ; 1 марка ; 1919 ;  ;  ; XF ; 27 ; SANGOLD1 ; 716 
 4334 ; Лот из 3-х расчетных знаков: 100,250,500 руб ;  ;  ;  ; F/VF+ ; 13 ; юденич ; 167 
 4335 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ; XF- ; 47 ; albar ; 485 
 4336 ; 100 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; VF ; 31 ; atk ; 121 
 4337 ; 250 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; CF+ ; 29 ; atk ; 152 
 4338 ; 500 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; AU ; 80 ; verunk1 ; 640 
 4339 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; VF- ; 31 ; koga ; 38 
 4340 ; 10000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; XF+ ; 44 ; lvd ; 929 
 4341 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; VF+ ; 13 ; rib1959 ; 500 
 4342 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; F ; 11 ; koga ; 93 
 4343 ; 1000000 рублей ; 1921 ; Обязательства РСФСР 1921 г. ;  ; F ; 12 ; Митрич ; 918 
 4344 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ; VF+ ; 53 ; geracon2009 ; 255 
 4345 ; 3 рубля ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ; F- ; 27 ; СЁМА ; 245 
 4346 ; 5 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ; F ; 23 ; shdm ; 255 
 4347 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ; XF- ; 23 ; shdm ; 500 
 4348 ; 25 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ; XF- ; 56 ; СЁМА ; 714 
 4349 ; 1 рубль ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ; XF- ; 44 ; у44 ; 521 
 4350 ; 3 рубля ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ; XF- ; 90 ; у44 ; 521 
 4351 ; 5 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ; VF ; 53 ; sibiryak62 ; 502 
 4352 ; 10 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ; VF ; 24 ; sibiryak62 ; 611 
 4353 ; 25 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ; VF ; 25 ; sibiryak62 ; 611 
 4354 ; 50 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ; VF- ; 47 ; СЁМА ; 578 
 4355 ; 5000 рублей ; 1919 ;  ;  ; VF ; 37 ; ac ; 783 
 4356 ; 25 рублей ; 1918 ; без подписей Гос.кредитные билеты(не выпущены) ;  ; VF ; 41 ; Gera_K ; 918 
 4357 ; 100 рублей ; 1918 ; без подписей Гос.кредитные билеты(не выпущены) ;  ; XF- ; 39 ; Gera_K ; 1248 
 4358 ; 25 рублей ; 1919 ;  ;  ; XF ; 36 ; rib1959 ; 163 
 4359 ; 5 рублей ; 1898 ; Тимашев 1903. Гос.кредитные билеты 1898-1899 гг. ;  ; VF- ; 92 ; raise ; 3166 
 4360 ; 100 рублей ; 1898 ; Тимашев 1903. Гос.кредитные билеты 1898-1899 гг. ;  ; VF- ; 61 ; ac ; 3156 
 4361 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; XF ; 42 ; geracon2009 ; 329 
 4362 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты(не выпущены) ;  ; XF ; 83 ; Gera_K ; 1052 
 4363 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ; AU ; 75 ; lvd ; 714 
 4364 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ; VF ; 27 ; ZOLTAN333 ; 45 
 4365 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ; AU ; 84 ; 0001 ; 713 
 4136 ; 1000 рублей ; 1917 ; Денежные знаки ;  ; AU ; 68 ; verunk1 ; 813 
 4137 ; 1000 рублей ; 1917 ; Денежные знаки ;  ; AU ; 34 ; verunk1 ; 847 
 4138 ; 1 рубль (образец) ; 1947 ; Гос.казначейский билет ;  ; AU ; 17 ; kirkar ; 3003 
 4139 ; 3 рубля (образец) ; 1947 ; Гос.казначейский билет ;  ; AU ; 29 ; rib1959 ; 3195 
 4140 ; 5 рублей (образец) ; 1947 ; Гос.казначейский билет ;  ; AU ; 30 ; у44 ; 3325 
 4141 ; 10 рублей (образец) ; 1947 ; билет ;  ; AU ; 41 ; sdfg ; 3325 
 4142 ; 25 рублей (образец) ; 1947 ; билет ;  ; AU ; 68 ; у44 ; 3823 
 4143 ; 50 рублей (образец) ; 1947 ; билет ;  ; AU ; 56 ; у44 ; 5473 
 4144 ; 100 рублей (образец) ; 1947 ; билет ;  ; AU ; 44 ; у44 ; 6800 
