 151 ; Медаль "За храбрость". Новодел. D-28мм ;  ;  ; Cu ; VF-XF ; 31 ; 222211 ; 2833 
 68 ; 1,5 рубля-10 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; VF-XF ; 23 ; Продано в зале ; 10500 
 69 ; 1,5 рубля-10 злотых ; 1837 ; НГ Рус.-Пол. ; Ag ; VF-XF ; 41 ; Продано в зале ; 16000 
 70 ; 1,5 рубля-10 злотых ; 1837 ; MW Рус.-Пол. ; Ag ; XF ; 41 ; Продано в зале ; 15000 
 71 ; 3/4 рубля-5 злотых ; 1833 ; НГ Рус.-Пол. ; Ag ; XF+ ; 88 ; Продано в зале ; 16500 
 72 ; 3/4 рубля-5 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; VF-XF ; 7 ; Продано в зале ; 6400 
 73 ; 3/4 рубля-5 злотых ; 1837 ; MW Рус.-Пол. ; Ag ; XF ; 14 ; Isay ; 15300 
 74 ; 3/4 рубля-5 злотых ; 1838 ; MW Рус.-Пол. ; Ag ; XF+ ; 28 ; Продано в зале ; 29000 
 75 ; 30 копеек-2 злотых ; 1838 ; MW Рус.-Пол. ; Ag ; XF- ; 51 ; Продано в зале ; 3100 
 76 ; 30 копеек-2 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; XF- ; 17 ; Lisik ; 5100 
 77 ; Севский чех ; 1686 ;  ; Ag ; F+ ; 32 ; Продано в зале ; 13000 
 78 ; Севский чех ; 1686 ;  ; Ag ; F+ ; 29 ; Продано в зале ; 8800 
 79 ; 10 рублей. М -8,59 г ; 1909 ; (ЭБ) АГ ; Au ; XF+ ; 15 ; Zorrosha ; 24039 
 80 ; 5 рублей. М-6,51г ; 1852 ; СПБ АГ ; Au ; AU/XF ; 25 ; Zorrosha ; 48960 
 81 ; 3 рубля. М-3,9Г ; 1877 ; СПБ НI ; Au ; XF- ; 34 ; Продано в зале ; 66000 
 82 ; Рубль ; 1744 ; ММД ; Ag ; VF-XF ; 39 ; Petrogradka ; 21546 
 83 ; Рубль ; 1745 ; ММД ; Ag ; XF ; 64 ; Продано в зале ; 29000 
 84 ; Рубль ; 1750 ; СПБ ; Ag ; XF- ; 17 ; double ; 14892 
 85 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; XF ; 45 ; Продано в зале ; 30000 
 86 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF-/XF+ ; 31 ; Продано в зале ; 29000 
 87 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; XF+ ; 42 ; verunk1 ; 30726 
 88 ; Рубль.В капсуле NGC ; 1850 ; СПБ ПА ; Ag ; MS 60 ; 38 ; Isay ; 25000 
 89 ; Рубль ; 1896 ; (АГ) ; Ag ; AU ; 39 ; Isay ; 10407 
 90 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF+ ; 53 ; Продано в зале ; 13500 
 91 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 58 ; Продано в зале ; 33000 
 92 ; Полтина ; 1830 ; СПБ НГ ; Ag ; VF+ ; 39 ; Isay ; 29882 
 93 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; AU/XF ; 46 ; double ; 12048 
 94 ; Полуполтинник ; 1747 ; ММД ; Ag ; VF+ ; 53 ; Petrogradka ; 5967 
 95 ; Полуполтинник ; 1752 ; ММД IШ ; Ag ; VF+ ; 22 ; Petrogradka ; 6666 
 96 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; VF-XF ; 19 ; Продано в зале ; 2800 
 97 ; 25 копеек (Петров-6р, Ильин-6р) ; 1841 ; СПБ НГ ; Ag ; VF- ; 31 ; Продано в зале ; 22000 
 98 ; 25 копеек ; 1848 ; СПБ ПА ; Ag ; Proof-like ; 20 ; double ; 6120 
 99 ; 25 копеек ; 1852 ; СПБ ПА ; Ag ; AU ; 19 ; verunk1 ; 6120 
 100 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 24 ; Продано в зале ; 4600 
 1 ; Платежный слиток. Киевская гривна. Р-ры: 77х41мм. М-157,80гр ; 12-13вв ;  ; Ag ;  ; 80 ; Продано в зале ; 62000 
 2 ; Слиток. Новгородская гривна. L-131мм. М-197,02гр. ; 12-13вв ;  ; Ag ;  ; 54 ; Продано в зале ; 48000 
 3 ; Слиток. Новгородская полтина. С граффити. L-65мм. М-96,79гр ; 12-13вв ;  ; Ag ;      ; 63 ; sotnik ; 25000 
 4 ; Слиток. Новгородская полтина. L-70мм. М-100,26гр ; 12-13вв ;  ; Ag ;    ; 33 ; div ; 17000 
 5 ; 3 рубля. М-3,91г ; 1871 ; СПБ НI ; Au ; XF ; 47 ; Продано в зале ; 70000 
 6 ; Рубль. М-1,2г ; 1779 ; "Для дворцового обихода" ; Au ; AU ; 51 ; Продано в зале ; 56000 
 7 ; Полтина. М-0,63г ; 1777 ; "Для дворцового обихода" ; Au ; XF+ ; 22 ; Petrogradka ; 27540 
 8 ; 3 рубля. М-10,35г ; 1828 ; СПБ ; Pt ; AU ; 54 ; Продано в зале ; 170000 
 9 ; Рубль  (Петров-10р) ; 1718 ; L OK ; Ag ; VF ; 11 ; Продано в зале ; 90000 
 10 ; Рубль (Петров-4,5р) ; 1718 ; L OK ; Ag ; VF+ ; 33 ; Продано в зале ; 125000 
 11 ; Рубль (Петров-3р) ; 1720 ;  ; Ag ; XF- ; 40 ; Продано в зале ; 125000 
 12 ; Рубль (Петров-4р) ; 1720 ; K ; Ag ; XF- ; 67 ; Продано в зале ; 80000 
 13 ; Рубль (Петров-5р) ; 1722 ;  ; Ag ; VF+ ; 23 ; Продано в зале ; 66000 
 14 ; Рубль ; 1723 ; ОК ; Ag ; XF ; 40 ; 439 ; 114240 
 15 ; Рубль (Петров-5р) ; 1723 ; ОК ; Ag ; VF-XF ; 44 ; Продано в зале ; 155000 
 16 ; Рубль ; 1724 ; СПБ ; Ag ; VF+ ; 35 ; Zorrosha ; 91000 
 17 ; Рубль ; 1725 ; ОК ВСЕРОСИIСКИI Голова больше ; Ag ; XF- ; 20 ; Продано в зале ; 77000 
 18 ; Рубль (Петров-5р) ; 1725 ; СПБ ; Ag ; VF+ ; 40 ; Продано в зале ; 130000 
 19 ; Рубль (Петров-5р) ; 1725 ; СПБ ; Ag ; VF+ ; 17 ; Продано в зале ; 130000 
 20 ; Рубль (Ильин-3р) ; 1726 ;  ; Ag ; VF-XF ; 47 ; Продано в зале ; 52000 
 21 ; Рубль (Петров-3,5р, Ильин-3р) ; 1727 ;  ; Ag ; VF-XF ; 54 ; Продано в зале ; 105000 
 22 ; Рубль (Петров-10р) ; 1727 ; СПБ ; Ag ; F-VF ; 20 ; Petrogradka ; 70000 
 23 ; Рубль (Петров-7р) ; 1727 ; СПБ ; Ag ; VF+ ; 39 ; Продано в зале ; 160000 
 24 ; Рубль (Петров-8р) ; 1727 ; СПБ ; Ag ; VF- ; 30 ; finger ; 52020 
 25 ; Рубль (Петров-10р) ; 1729 ;  ; Ag ; XF- ; 29 ; Продано в зале ; 100000 
 26 ; Рубль ; 1729 ;  ; Ag ; XF- ; 24 ; Продано в зале ; 87000 
 27 ; Рубль (Ильин-5р) ; 1731 ;  ; Ag ; VF+ ; 23 ; Продано в зале ; 28000 
 28 ; Рубль (Петров-6р) ; 1734 ;  ; Ag ; VF-XF ; 43 ; Продано в зале ; 130000 
 29 ; Рубль (Петров-4р) ; 1734 ;  ; Ag ; XF- ; 33 ; Продано в зале ; 140000 
 30 ; Рубль ; 1738 ; СПБ ; Ag ; XF ; 56 ; Продано в зале ; 85000 
 31 ; Рубль (Петров-15р, Ильин-12р). Надпилы гурта - 11-2 час ; 1741 ; СПБ ; Ag ; VF+ ; 38 ; марyся ; 310080 
 32 ; Рубль ; 1750 ; СПБ ; Ag ; XF+ ; 34 ; Продано в зале ; 75000 
 33 ; Рубль (Петров-3,5р) ; 1759 ; СПБ ЯI TI ; Ag ; XF+ ; 15 ; Продано в зале ; 300000 
 34 ; Рубль ; 1762 ; СПБ НК ; Ag ; VF- ; 56 ; double ; 46592 
 35 ; Рубль ; 1768 ; ММД EI ; Ag ; VF+ ; 29 ; Продано в зале ; 90000 
 36 ; Рубль (Петров-4р, Ильин-4р) ; 1797 ; СМ ФЦ ; Ag ; VF-XF ; 56 ; Продано в зале ; 240000 
 37 ; Рубль ; 1803 ; СПБ АИ ; Ag ; XF+ ; 42 ; Isay ; 86700 
 38 ; Рубль (Петров-3р) ; 1808 ; СПБ ФГ ; Ag ; XF+ ; 65 ; Продано в зале ; 110000 
 39 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF ; 20 ; Isay ; 22440 
 40 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF+ ; 49 ; Продано в зале ; 92000 
 41 ; Рубль ; 1839 ; H.Gube F. "На открытие Бородинского памятника-часовни" ; Ag ; XF+ ; 25 ; Zorrosha ; 94860 
 42 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF+ ; 29 ; Продано в зале ; 13000 
 43 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF+ ; 28 ; 222211 ; 10710 
 44 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; AU ; 24 ; Продано в зале ; 86000 
 45 ; Рубль (Петров-5р, Ильин-5р) ; 1862 ; СПБ МИ ; Ag ; XF+ ; 64 ; Продано в зале ; 140000 
 46 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF+ ; 32 ; Продано в зале ; 125000 
 47 ; Рубль ; 1912 ; (ЭБ) На открытие памятника Александру III ; Ag ; XF+ ; 59 ; Продано в зале ; 370000 
 48 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU/XF ; 33 ; Продано в зале ; 88000 
 49 ; Рубль. В капсуле ECC ; 1913 ; (ЭБ) ; Ag ; VF 35 ; 30 ; Продано в зале ; 44000 
 50 ; Полтина (Петров-4р) ; 1704 ;  ; Ag ; VF+ ; 58 ; Продано в зале ; 120000 
 4704 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Хакас ; 30 
 4705 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Хакас ; 30 
 4706 ; Бона иностранная ;  ;  ;  ;  ; 7 ; vfuflfy49 ; 30 
 4707 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 11000 ; 24 
 4708 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 11000 ; 24 
 4709 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 30 
 4710 ; Бона иностранная ;  ;  ;  ;  ; 4 ; allur65 ; 31 
 4711 ; Бона иностранная ;  ;  ;  ;  ; 14 ; allur65 ; 30 
 4712 ; Бона иностранная ;  ;  ;  ;  ; 17 ; smel ; 50 
 4713 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Dander ; 31 
 4714 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Dander ; 41 
 4715 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Dander ; 30 
 4716 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Скрудж ; 41 
 4717 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 11000 ; 26 
 4718 ; Бона иностранная ;  ;  ;  ;  ; 7 ; sos1 ; 41 
 4719 ; Бона иностранная ;  ;  ;  ;  ; 11 ; smel ; 49 
 4720 ; Бона иностранная ;  ;  ;  ;  ; 6 ; smel ; 51 
 4721 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Dander ; 42 
 4722 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Dander ; 42 
 4723 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Dander ; 41 
 4724 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Улетный ; 48 
 4725 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Gera_K ; 40 
 4726 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Gera_K ; 40 
 4727 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Gera_K ; 30 
 4728 ; Бона иностранная ;  ;  ;  ;  ; 23 ; koga ; 132 
 4729 ; Бона иностранная ;  ;  ;  ;  ; 6 ; koga ; 25 
 4730 ; Бона иностранная ;  ;  ;  ;  ; 11 ; sikachai ; 72 
 4731 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sikachai ; 70 
 4732 ; Бона иностранная ;  ;  ;  ;  ; 4 ; батоно ; 69 
 4733 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sikachai ; 70 
 4734 ; Бона иностранная ;  ;  ;  ;  ; 8 ; батоно ; 70 
 4735 ; Бона иностранная ;  ;  ;  ;  ; 8 ; sikachai ; 68 
 4736 ; Бона иностранная ;  ;  ;  ;  ; 7 ; sikachai ; 68 
 4737 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Dander ; 45 
 4738 ; Бона иностранная ;  ;  ;  ;  ; 10 ; sikachai ; 120 
 4739 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Woker ; 50 
 4740 ; Бона иностранная ;  ;  ;  ;  ; 17 ; sikachai ; 100 
 4741 ; Бона иностранная ;  ;  ;  ;  ; 17 ; sikachai ; 100 
 4742 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Dander ; 40 
 4743 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sikachai ; 120 
 4744 ; Бона иностранная ;  ;  ;  ;  ; 17 ; sikachai ; 100 
 4745 ; Бона иностранная ;  ;  ;  ;  ; 57 ; Gera_K ; 128 
 4746 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Улетный ; 138 
 4654 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Скрудж ; 40 
 4655 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Dander ; 47 
 4656 ; Бона иностранная ;  ;  ;  ;  ; 11 ; УФА ; 42 
 4657 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 40 
 4658 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Dander ; 47 
 4659 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Dander ; 37 
 4660 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Dander ; 38 
 4661 ; Бона иностранная ;  ;  ;  ;  ; 12 ; УФА ; 43 
 4662 ; Бона иностранная ;  ;  ;  ;  ; 7 ; сс400 ; 108 
 4663 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Хакас ; 39 
 4664 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Хакас ; 27 
 4665 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Хакас ; 27 
 4666 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Хакас ; 57 
 4667 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Хакас ; 51 
 4668 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Dander ; 31 
 4669 ; Бона иностранная ;  ;  ;  ;  ; 14 ; vfuflfy49 ; 43 
 4670 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Smit ; 31 
 4671 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Dander ; 44 
 4672 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Dander ; 36 
 4673 ; Бона иностранная ;  ;  ;  ;  ; 14 ; sasa1369 ; 30 
 4674 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Dander ; 40 
 4675 ; Бона иностранная ;  ;  ;  ;  ; 25 ; vfuflfy49 ; 48 
 4676 ; Бона иностранная ;  ;  ;  ;  ; 14 ; vfuflfy49 ; 63 
 4677 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Smit ; 40 
 4678 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Smit ; 36 
 4679 ; Бона иностранная ;  ;  ;  ;  ; 2 ; maximys ; 36 
 4680 ; Бона иностранная ;  ;  ;  ;  ; 1 ; ъхз ; 35 
 4681 ; Бона иностранная ;  ;  ;  ;  ; 5 ; hr-kot ; 37 
 4682 ; Бона иностранная ;  ;  ;  ;  ; 2 ; vladimir-sirke ; 36 
 4683 ; Бона иностранная ;  ;  ;  ;  ; 1 ; каспер ; 112 
 4684 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Хакас ; 31 
 4685 ; Бона иностранная ;  ;  ;  ;  ; 12 ; vfuflfy49 ; 31 
 4686 ; Бона иностранная ;  ;  ;  ;  ; 7 ; soouo ; 30 
 4687 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Хакас ; 31 
 4688 ; Бона иностранная ;  ;  ;  ;  ; 2 ; jj ; 36 
 4689 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Dander ; 36 
 4690 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Кречет ; 92 
 4691 ; Бона иностранная ;  ;  ;  ;  ; 36 ; Кречет ; 82 
 4692 ; Бона иностранная ;  ;  ;  ;  ; 36 ; Кречет ; 123 
 4693 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ppp ; 31 
 4694 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Кречет ; 107 
 4695 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Кречет ; 122 
 4696 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Хакас ; 44 
 4697 ; Бона иностранная ;  ;  ;  ;  ; 15 ; allur65 ; 31 
 4698 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Хакас ; 32 
 4699 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Хакас ; 72 
 4700 ; Бона иностранная ;  ;  ;  ;  ; 24 ; vfuflfy49 ; 61 
 4701 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Smit ; 47 
 4702 ; Бона иностранная ;  ;  ;  ;  ; 11 ; sikachai ; 69 
 4703 ; Бона иностранная ;  ;  ;  ;  ; 2 ; vfuflfy49 ; 31 
 4604 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Dander ; 32 
 4605 ; Бона иностранная ;  ;  ;  ;  ; 13 ; sikachai ; 43 
 4606 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Dander ; 24 
 4607 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 40 
 4608 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 40 
 4609 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 40 
 4610 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 37 
 4611 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 43 
 4612 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 36 
 4613 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 36 
 4614 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Dander ; 42 
 4615 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Dander ; 42 
 4616 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Dander ; 42 
 4617 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Dander ; 32 
 4618 ; Бона иностранная ;  ;  ;  ;  ; 17 ; mgradov ; 46 
 4619 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Gera_K ; 51 
 4620 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Dander ; 34 
 4621 ; Бона иностранная ;  ;  ;  ;  ; 17 ; УФА ; 67 
 4622 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Dander ; 30 
 4623 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Dander ; 47 
 4624 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Gera_K ; 51 
 4625 ; Бона иностранная ;  ;  ;  ;  ; 13 ; smel ; 39 
 4626 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Dander ; 49 
