 5463 ; Лот бон иностранных 8 шт ;  ;  ;  ;  ; 20 ; TiBuL ; 68 
 5447 ; Бона иностранная. Япония ;  ;  ;  ;  ; 5 ; 333985 ; 106 
 5448 ; Бона иностранная. Япония ;  ;  ;  ;  ; 10 ; скорпион_48 ; 101 
 5449 ; Бона иностранная. Япония ;  ;  ;  ;  ; 10 ; 333985 ; 99 
 5450 ; Бона иностранная. Япония ;  ;  ;  ;  ; 5 ; 333985 ; 79 
 5451 ; Бона иностранная. Япония ;  ;  ;  ;  ; 19 ; maks169 ; 119 
 5452 ; Бона иностранная. Япония ;  ;  ;  ;  ; 7 ; 333985 ; 79 
 5453 ; Бона иностранная. Япония ;  ;  ;  ;  ; 18 ; maks169 ; 238 
 5454 ; Бона иностранная. Египет ;  ;  ;  ;  ; 12 ; SER 888 ; 23 
 5455 ; Бона иностранная. Египет ;  ;  ;  ;  ; 12 ; SER 888 ; 15 
 5456 ; Бона иностранная. Египет ;  ;  ;  ;  ; 10 ; SER 888 ; 23 
 5457 ; Бона иностранная. Румыния ;  ;  ;  ;  ; 19 ; зуммер ; 38 
 5458 ; Бона иностранная. Италия ;  ;  ;  ;  ; 20 ; SER 888 ; 30 
 5459 ; Лот бон иностранных 9 шт ;  ;  ;  ;  ; 15 ; СТРЕКОЗА ; 129 
 5460 ; Лот бон 9 шт. Германия ;  ;  ;  ;  ; 24 ; 89226266825й ; 128 
 5461 ; Лот бон 12 шт. Югославия ;  ;  ;  ;  ; 44 ; 89226266825й ; 150 
 5462 ; Лот бон иностранных 17 шт ;  ;  ;  ;  ; 21 ; 89226266825й ; 153 
 5363 ; Бона иностранная Монголия ;  ;  ;  ;  ; 11 ; Olimpia ; 1940 
 5364 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 17 ; pref ; 59 
 5365 ; Бона иностранная Австралия ;  ;  ;  ;  ; 27 ; Lex2000 ; 165 
 5366 ; Бона иностранная Куба ;  ;  ;  ;  ; 14 ; Oleht ; 159 
 5367 ; Бона иностранная Сиерра-Леоне ;  ;  ;  ; AU ; 45 ; sveta6369 ; 188 
 5368 ; Бона иностранная Турция ;  ;  ;  ;  ; 28 ; SER 888 ; 36 
 5369 ; Бона иностранная Украина ;  ;  ;  ;  ; 14 ; Ratmen ; 566 
 5370 ; Лот бон 6 шт. Украина ;  ;  ;  ;  ; 21 ; alex241 ; 222 
 5371 ; Бона иностранная Узбекистан ;  ;  ;  ; AU ; 33 ; камсигал ; 146 
 5372 ; Лот бон 2 шт. Узбекистан ;  ;  ;  ;  ; 7 ; lelik13821 ; 132 
 5373 ; Лот бон 6 шт. Беларусь ;  ;  ;  ;  ; 12 ; TiBuL ; 79 
 5374 ; Бона иностранная Армения ; 1999 ;  ;  ;  ; 49 ; Lex2000 ; 370 
 5375 ; Бона иностранная Швеция ;  ;  ;  ; AU ; 28 ; Gyron ; 396 
 5376 ; Бона иностранная Сан-Томе и Принципи ;  ;  ;  ; AU ; 39 ; geit ; 285 
 5377 ; Бона иностранная Сан-Томе и Принципи ;  ;  ;  ; AU ; 19 ; Lex2000 ; 194 
 5378 ; Бона иностранная Арктическая территория ;  ;  ;  ; AU ; 21 ; makcpeyn100 ; 550 
 5379 ; Бона иностранная Малазия ;  ;  ;  ;  ; 50 ; _Владимир_ ; 67 
 5380 ; Бона иностранная Малазия ;  ;  ;  ;  ; 20 ; Hamlet ; 87 
 5381 ; Бона иностранная Малазия ;  ;  ;  ;  ; 18 ; geit ; 319 
 5382 ; Бона иностранная Сингапур ;  ;  ;  ;  ; 17 ; Lex2000 ; 101 
 5383 ; Бона иностранная Сингапур ;  ;  ;  ;  ; 25 ; Lex2000 ; 483 
 5384 ; Бона иностранная Макао ;  ;  ;  ;  ; 3 ; всыня ; 114 
 5385 ; Лот бон 4 шт. Венгрия ;  ;  ;  ;  ; 35 ; uhfvv7 ; 243 
 5386 ; Лот бон 4 шт. Югославия ;  ;  ;  ;  ; 23 ; pref ; 283 
 5387 ; Бона иностранная. Куба ;  ;  ;  ;  ; 20 ; сибиряк76 ; 306 
 5388 ; Бона иностранная. Нигерия ;  ;  ;  ;  ; 9 ; трутень ; 98 
 5389 ; Бона иностранная. Гаити ;  ;  ;  ;  ; 3 ; 2128508 ; 152 
 5390 ; Бона иностранная. Суринам ;  ;  ;  ;  ; 14 ; 54заза ; 46 
 5391 ; Бона иностранная. Суринам ;  ;  ;  ;  ; 12 ; 54заза ; 138 
 5392 ; Бона иностранная. Малави ;  ;  ;  ;  ; 5 ; Моряк-собиратель ; 101 
 5393 ; Бона иностранная Люксенбург ;  ;  ;  ;  ; 61 ; Lex2000 ; 140 
 5394 ; Бона иностранная. Конго ;  ;  ;  ;  ; 7 ; русь ; 100 
 5395 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 5 ; зуммер ; 49 
 5396 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 10 ; lelik13821 ; 153 
 5397 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 11 ; 333985 ; 43 
 5398 ; Бона иностранная. Гвинея ;  ;  ;  ;  ; 9 ; зуммер ; 57 
 5399 ; Бона иностранная. Гвинея ;  ;  ;  ;  ; 15 ; xxxl ; 62 
 5400 ; Бона иностранная. Венгрия ;  ;  ;  ;  ; 11 ; uhfvv7 ; 107 
 5401 ; Бона иностранная. Венгрия ;  ;  ;  ;  ; 32 ; uhfvv7 ; 169 
 5402 ; Бона иностранная. Венгрия ;  ;  ;  ;  ; 25 ; uhfvv7 ; 62 
 5403 ; Бона иностранная. Венгрия ;  ;  ;  ;  ; 8 ; uhfvv7 ; 60 
 5404 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 26 ; _Владимир_ ; 40 
 5405 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 13 ; Матроскин ; 41 
 5406 ; Бона иностранная. Шри - Ланка ;  ;  ;  ;  ; 28 ; _Владимир_ ; 67 
 5407 ; Бона иностранная. Шри - Ланка ;  ;  ;  ;  ; 27 ; _Владимир_ ; 89 
 5408 ; Бона иностранная. Шри - Ланка ;  ;  ;  ;  ; 17 ; _Владимир_ ; 67 
 5409 ; Бона иностранная. Камбоджа ;  ;  ;  ;  ; 20 ; 54заза ; 64 
 5410 ; Бона иностранная. Камбоджа ;  ;  ;  ;  ; 13 ; 54заза ; 64 
 5411 ; Бона иностранная. Болгария ;  ;  ;  ;  ; 5 ; зуммер ; 46 
 5412 ; Бона иностранная. Болгария ;  ;  ;  ;  ; 7 ; камсигал ; 70 
 5313 ; Бона иностранная Германия ;  ;  ;  ;  ; 14 ; Lex2000 ; 102 
 5314 ; Бона иностранная Германия ;  ;  ;  ;  ; 12 ; Lex2000 ; 125 
 5315 ; Бона иностранная Германия ;  ;  ;  ;  ; 36 ; maner73 ; 150 
 5316 ; Бона иностранная Германия ;  ;  ;  ;  ; 30 ; Trampl ; 173 
 5317 ; Бона иностранная Германия ;  ;  ;  ;  ; 14 ; vladmarkin ; 47 
 5318 ; 10 марок Германия ; 1949 ;  ;  ;  ; 16 ; наташа2712 ; 147 
 5319 ; 5 марок ГДР ; 1975 ;  ;  ;  ; 35 ; asus ; 359 
 5320 ; 10 марок ГДР ; 1971 ;  ;  ;  ; 31 ; flutter ; 316 
 5321 ; 20 марок ГДР ; 1975 ;  ;  ;  ; 32 ; asus ; 509 
 5322 ; 50 марок ГДР ; 1971 ;  ;  ;  ; 37 ; asus ; 500 
 5323 ; 100 марок ГДР ; 1975 ;  ;  ;  ; 39 ; Жигурда ; 600 
 5324 ; 100 марок ГДР ; 1964 ;  ;  ;  ; 21 ; flutter ; 411 
 5325 ; Бона иностранная. Германия ;  ;  ;  ;  ; 27 ; lesnik1 ; 465 
 5326 ; Бона иностранная. Германия ;  ;  ;  ;  ; 33 ; DIMA 57 ; 356 
 5327 ; Бона иностранная. Германия ;  ;  ;  ;  ; 10 ; DIMA 57 ; 101 
 5328 ; Бона иностранная. Германия ;  ;  ;  ;  ; 17 ; TiBuL ; 77 
 5329 ; Бона иностранная. Германия ;  ;  ;  ;  ; 5 ; гус4 ; 53 
 5330 ; Бона иностранная. Германия ;  ;  ;  ;  ; 16 ; Elephant ; 204 
 5331 ; Бона иностранная Германия ;  ;  ;  ;  ; 31 ; Trampl ; 873 
 5332 ; Лот бон 3 шт. Германия ;  ;  ;  ;  ; 10 ; barbos ; 51 
 5333 ; Бона иностранная Австрия ;  ;  ;  ;  ; 12 ; flutter ; 159 
 5334 ; Бона иностранная Австрия ; 1944 ;  ;  ;  ; 39 ; lesnik1 ; 434 
 5335 ; Бона иностранная Австрия ; 1944 ;  ;  ;  ; 55 ; lesnik1 ; 1028 
 5336 ; Бона иностранная Австрия ; 1944 ;  ;  ;  ; 39 ; lesnik1 ; 1063 
 5337 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 18 ; maks169 ; 159 
 5338 ; Бона иностранная. Алжир ;  ;  ;  ;  ; 14 ; 333985 ; 2154 
 5339 ; Бона иностранная Гвинея ;  ;  ;  ;  ; 12 ; Sterh ; 60 
 5340 ; Бона иностранная Центральная Африка ;  ;  ;  ;  ; 12 ; Monata ; 230 
 5341 ; Бона иностранная Центральная Африка ;  ;  ;  ;  ; 16 ; Моряк-собиратель ; 318 
 5342 ; Бона иностранная Нигерия ;  ;  ;  ;  ; 20 ; вэл ; 67 
 5343 ; Бона иностранная Суринам ;  ;  ;  ;  ; 12 ; makcpeyn100 ; 102 
 5344 ; Бона иностранная Суринам ;  ;  ;  ;  ; 16 ; makcpeyn100 ; 101 
 5345 ; Бона иностранная Япония ;  ;  ;  ;  ; 14 ; pref ; 85 
 5346 ; Бона иностранная Вьетнам ;  ;  ;  ;  ; 12 ; makcpeyn100 ; 68 
 5347 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 18 ; СТРЕКОЗА ; 135 
 5348 ; Бона иностранная Мексика ;  ;  ;  ;  ; 46 ; Yrgen777 ; 200 
 5349 ; Бона иностранная. Саудовская Аравия ;  ;  ;  ;  ; 19 ; Sterh ; 300 
 5350 ; Бона иностранная Казахстан ;  ;  ;  ;  ; 32 ; Ratmen ; 101 
 5351 ; Бона иностранная Югославия ;  ;  ;  ;  ; 33 ; pref ; 77 
 5352 ; Бона иностранная Греция ;  ;  ;  ;  ; 26 ; xxxl ; 51 
 5353 ; Бона иностранная Греция ;  ;  ;  ;  ; 12 ; 2128508 ; 182 
 5354 ; Бона иностранная Греция ;  ;  ;  ;  ; 29 ; flutter ; 114 
 5355 ; Бона иностранная Греция ;  ;  ;  ;  ; 6 ; Жигурда ; 33 
 5356 ; Лот бон 5шт.. Греция ;  ;  ;  ;  ; 33 ; Maks87 ; 138 
 5357 ; 10 марок Финляндия ; 1980 ;  ;  ;  ; 53 ; Lex2000 ; 101 
 5358 ; Бона иностранная Польша ;  ;  ;  ;  ; 37 ; Lex2000 ; 328 
 5359 ; Бона иностранная Албания ;  ;  ;  ;  ; 35 ; krugerrand ; 153 
 5360 ; Лот бон 2 шт. Румыния ;  ;  ;  ;  ; 8 ; xxxl ; 89 
 5361 ; Бона иностранная Португалия ;  ;  ;  ; AU ; 50 ; Lex2000 ; 988 
 5362 ; Бона иностранная Израиль ;  ;  ;  ;  ; 31 ; sub215 ; 126 
 5263 ; 250 рублей Второе Иркутское собрание ;  ;  ;  ;  ; 68 ; Sky2 ; 847 
 5264 ; Кредитный ордер 5 рублей, ВКУ СКВО Армавирское отделение ;  ;  ;  ;  ; 21 ; кве ; 2004 
 5265 ; Лотерейный билет "ОСОАВИАХИМА" ; 1937 ;  ;  ;  ; 26 ; Ok203 ; 487 
 5266 ; Лотерейный билет "ОСОАВИАХИМА" ; 1940 ;  ;  ;  ; 30 ; Fliege1 ; 801 
 5267 ; 5000 рублей. Чек ;  ;  ;  ;  ; 15 ; lesnik1 ; 100 
 5268 ; 50 рублей. Чек ; 1889 ;  ;  ;  ; 3 ; alex241 ; 101 
 5269 ; Лот ценных бумаг 3 шт ;  ;  ;  ;  ; 19 ; 54заза ; 38 
 5270 ; Билет лотореи ( 9 шт.) ;  ;  ;  ;  ; 18 ; Ustin ; 155 
 5271 ; Билет  лотореи ( 9 шт.) ;  ;  ;  ;  ; 14 ; donbass ; 101 
 5272 ; Билет лотореи ( 9 шт.) ;  ;  ;  ;  ; 14 ; donbass ; 101 
 5273 ; Билет МММ ( 9 шт.) ;  ;  ;  ;  ; 5 ; 333985 ; 114 
 5274 ; Облигация ; 1992 ;  ;  ;  ; 13 ; Александр007 ; 141 
 5275 ; Облигация ; 1992 ;  ;  ;  ; 8 ; каламбурчик ; 102 
 5276 ; Облигация ; 1992 ;  ;  ;  ; 10 ; solder13 ; 141 
 5277 ; Облигация ; 1955 ;  ;  ;  ; 8 ; зуммер ; 36 
 5278 ; Талон на обед ( 2шт.) ;  ;  ;  ;  ; 14 ; lesnik1 ; 334 
 5279 ; Рекламный листок ;  ;  ;  ;  ; 13 ; vladmarkin ; 101 
 5280 ; 500 марок Финляндия ; 1909 ;  ;  ;  ; 37 ; Karhu ; 4600 
 5281 ; 50 марок Финляндия ; 1909 ;  ;  ;  ; 35 ; tss ; 4317 
 5282 ; 1 копейка Либавское городское самоуправление ;  ;  ;  ; AU ; 21 ; каламбурчик ; 1587 
 5283 ; 5 копеек Либавское городское самоуправление ;  ;  ;  ; AU ; 23 ; каламбурчик ; 1106 
 5284 ; 50 копеек Либавское городское самоуправление ;  ;  ;  ; AU ; 21 ; каламбурчик ; 1587 
 5285 ; 1 рубль Либавское городское самоуправление ;  ;  ;  ; AU ; 27 ; noviyok ; 1875 
 5286 ; 3 рубля Латвия ; 1919 ;  ;  ;  ; 16 ; каламбурчик ; 459 
 5287 ; 50 лат Латвия ; 1934 ;  ;  ;  ; 37 ; S.P. ; 232 
 5288 ; 10 пунктов Латвия ;  ;  ;  ;  ; 67 ; lesnik1 ; 2607 
 5289 ; 3 пункта Латвия ;  ;  ;  ;  ; 60 ; bva150979 ; 1917 
 5290 ; 500 рублей Латвия ; 1992 ;  ;  ;  ; 25 ; to-to ; 723 
 5291 ; 200 рублей Латвия ; 1992 ;  ;  ;  ; 39 ; Жигурда ; 129 
 5292 ; 5 лат Латвия ; 2001 ;  ;  ;  ; 22 ; to-to ; 400 
 5293 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 11 ; гус4 ; 567 
 5294 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 8 ; 54заза ; 101 
 5295 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 9 ; 54заза ; 39 
 5296 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 18 ; hromosyn ; 40 
 5297 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 23 ; val211 ; 34 
 5298 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 22 ; hromosyn ; 40 
 5299 ; 10 крон Эстония ; 1937 ;  ;  ;  ; 33 ; Lex2000 ; 616 
 5300 ; Бона иностранная. Литва ;  ;  ;  ;  ; 39 ; Lex2000 ; 771 
 5301 ; Бона иностранная. Литва ;  ;  ;  ;  ; 47 ; Lex2000 ; 453 
 5302 ; 1 карбованец Ровно ; 1942 ;  ;  ;  ; 26 ; maks169 ; 404 
 5303 ; 5 карбованцев Ровно ; 1942 ;  ;  ;  ; 14 ; maks169 ; 475 
 5304 ; 10 карбованцев Ровно ; 1942 ;  ;  ;  ; 30 ; lesnik1 ; 771 
 5305 ; 200 карбованцев Ровно. Обрезана ; 1942 ;  ;  ;  ; 13 ; maks169 ; 131 
 5306 ; Лот бон Германии 1000, 20 штук в банковской упаковке ; 1910 ;  ;  ; AU ; 46 ; Sky2 ; 2002 
 5307 ; 10000 марок Германия ; 1922 ;  ;  ; XF ; 34 ; Lex2000 ; 167 
 5308 ; 100000 марок Германия ; 1923 ;  ;  ;  ; 8 ; numis197 ; 51 
 5309 ; Бона иностранная Германия ; 1914 ;  ;  ; XF+ ; 69 ; Lex2000 ; 230 
 5310 ; Бона иностранная Германия ; 1920 ;  ;  ;  ; 13 ; Один54 ; 53 
 5311 ; Бона иностранная Германия ;  ;  ;  ;  ; 51 ; alex09-63 ; 102 
 5312 ; Бона иностранная Германия ;  ;  ;  ;  ; 26 ; Lex2000 ; 104 
 5213 ; Лот бон (2шт) ; 1919 ;  ;  ;  ; 25 ; 54заза ; 756 
 5214 ; Лот бон ( 3 шт.) ;  ;  ;  ;  ; 15 ; Yamilov ; 513 
 5215 ; Бона. 100 рублей. Олимпиада в Сочи. Серия АА ; 2014 ;  ;  ;  ; 22 ; Yamilov ; 357 
 5216 ; Бона. 100 рублей. Олимпиада в Сочи. Серия Аа ; 2014 ;  ;  ;  ; 35 ; Rusdoc ; 385 
 5217 ; Бона. 100 рублей. Крам и Севастополь. Серия кс (замещение) ; 2015 ;  ;  ;  ; 36 ; Yamilov ; 515 
 5218 ; Бона. 100 рублей. Крам и Севастополь. Серия СК ; 2015 ;  ;  ;  ; 33 ; Yamilov ; 316 
 5219 ; Лот бон 10 шт ; 1961-93 ;  ;  ;  ; 36 ; Yamilov ; 333 
 5220 ; Свидетельство 100 рублей на гос. Ренту ; 1914 ;  ;  ;  ; 26 ; mafkms ; 793 
 5221 ; Облигация в 625 рублей, Варшавско-Венской ж.д ; 1894 ;  ;  ;  ; 28 ; Ustin ; 1111 
 5222 ; Облигация на 500 марок, Московско-Виндаво-Рыбинской ж.д ; 1897 ;  ;  ;  ; 34 ; flutter ; 793 
 5223 ; Облигация на 2000 марок, Московско-Киево-Воронежской ж.д ; 1910 ;  ;  ;  ; 20 ; flutter ; 716 
 5224 ; Облигация на 2000 марок, Московско-Виндаво-Рыбинской ж.д ; 1895 ;  ;  ;  ; 23 ; Ustin ; 763 
 5225 ; Акция в 250 рублей, Горнопромышленное и химическое о-во Алагир ; 1897 ;  ;  ;  ; 29 ; Ustin ; 1111 
 5226 ; Облигация в 500 франков о-во для производства содыв ; 1900 ;  ;  ;  ; 30 ; Ustin ; 1111 
 5227 ; Облигация в 187,5 рублей, о-во Алтайской ж.д ; 1912 ;  ;  ;  ; 19 ; doc2 ; 793 
 5228 ; Облигация в 187,5 рублей, о-во Ачинско-Минусинской ж.д ; 1914 ;  ;  ;  ; 10 ; flutter ; 373 
 5229 ; Свидетельство на 150 рублей ; 1912 ;  ;  ;  ; 12 ; Ustin ; 666 
 5230 ; Облигация в 187,5 рублей, о-во Москово-Киево-Воронежской ж.д ; 1903 ;  ;  ;  ; 14 ; mafkms ; 402 
 5231 ; Лот облигаций 3 шт ;  ;  ;  ;  ; 14 ; donbass ; 473 
 5232 ; Акция. Донецк ; 1899 ;  ;  ;  ; 18 ; папашаГарпагон ; 237 
 5233 ; Акция. Киев ; 1905 ;  ;  ;  ; 15 ; maks169 ; 247 
 5234 ; Акция. Донецк ; 1895 ;  ;  ;  ; 15 ; maks169 ; 232 
 5235 ; Акция. Донецк ; 1895 ;  ;  ;  ; 26 ; папашаГарпагон ; 226 
 5236 ; Акция. Киев ; 1905 ;  ;  ;  ; 24 ; maks169 ; 260 
 5237 ; Лот купонов ;  ;  ;  ;  ; 13 ; vladmarkin ; 50 
 5238 ; Сертификат на 5 акций ж.д. компания Иллинойс ; 1887 ;  ;  ;  ; 65 ; SS007 ; 1000 
 5239 ; Облигация в 400 франков, Османская империя ; 1870 ;  ;  ;  ; 60 ; kont ; 1020 
 5240 ; Лот ценных бумаг 5 шт ;  ;  ;  ;  ; 15 ; SS007 ; 561 
 5241 ; Лот ценных бумаг 5 шт ;  ;  ;  ;  ; 13 ; SS007 ; 561 
 5242 ; Лот ценных бумаг 5 шт ;  ;  ;  ;  ; 9 ; SS007 ; 561 
 5243 ; Лот ценных бумаг 4 шт ;  ;  ;  ;  ; 11 ; SS007 ; 459 
 5244 ; Лот ценных бумаг 4 шт ;  ;  ;  ;  ; 17 ; SS007 ; 793 
 5245 ; Лот ценных бумаг 4 шт ;  ;  ;  ;  ; 15 ; SS007 ; 793 
 5246 ; Ценная бумага Германия ; 1941 ;  ;  ;  ; 35 ; Один54 ; 340 
 5247 ; Ценная бумага Германия ; 1944 ;  ;  ;  ; 30 ; Один54 ; 350 
 5248 ; Ценная бумага Германия ; 1940 ;  ;  ;  ; 16 ; Один54 ; 340 
 5249 ; Ценная бумага Германия ; 1927 ;  ;  ;  ; 18 ; Один54 ; 340 
 5250 ; Облигация на сумму 10 рублей ; 1942 ;  ;  ;  ; 26 ; кве ; 755 
 5251 ; Облигация на сумму 100 рублей ; 1942 ;  ;  ;  ; 23 ; yuri.gruzdev ; 2002 
 5252 ; Облигация на сумму 100 рублей ; 1943 ;  ;  ;  ; 19 ; yuri.gruzdev ; 1325 
 5253 ; Облигация на сумму 10 рублей ; 1936 ;  ;  ;  ; 17 ; solder13 ; 466 
 5254 ; Облигация на сумму 25 рублей ; 1936 ;  ;  ;  ; 29 ; yuri.gruzdev ; 1326 
 5255 ; Облигация на сумму 10 рублей ; 1937 ;  ;  ;  ; 14 ; flutter ; 639 
 5256 ; Облигация на сумму 200 рублей ; 1946 ;  ;  ;  ; 30 ; каламбурчик ; 1020 
 5257 ; Облигация на сумму 500 рублей ; 1946 ;  ;  ;  ; 53 ; bulbash.r ; 4261 
 5258 ; Свидетельство на 25 рублей. Гос.Труд.Сберкасса ; 1945 ;  ;  ;  ; 33 ; p1a1v1 ; 4173 
 5259 ; Свидетельство на 50 рублей. Гос.Труд.Сберкасса ; 1945 ;  ;  ;  ; 19 ; кве ; 3526 
 5260 ; Свидетельство на 100 рублей. Гос.Труд.Сберкасса ; 1945 ;  ;  ;  ; 14 ; кве ; 2098 
 5261 ; Кредитный разменный талон в 1 рубль ;  ;  ;  ;  ; 32 ; каламбурчик ; 821 
 5262 ; 100 рублей Второе Иркутское собрание ;  ;  ;  ;  ; 23 ; Sky2 ; 843 
 5163 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 29 ; cr2952 ; 446 
 5164 ; 1 червонец ; 1937 ; Билет ;  ;  ; 44 ; sub215 ; 351 
 5165 ; Лот бон 3 шт ; 1937 ;  ;  ;  ; 23 ; Yamilov ; 486 
 5166 ; 3 червонца ; 1937 ; Билет ;  ;  ; 48 ; Калуга59 ; 728 
 5167 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 30 ; sub215 ; 241 
 5168 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 103 ; oohh ; 691 
 5169 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 27 ; christian ; 305 
 5170 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 35 ; christian ; 509 
 5171 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 9 ; Gad45 ; 510 
 5172 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 15 ; christian ; 408 
 5173 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 18 ; Gen_81 ; 410 
 5174 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 16 ; гус4 ; 468 
