 3536 ; Бона иностранная ;  ;  ;  ;  ; 25 ; brindamur ; 46 
 3440 ; Бона иностранная ;  ;  ;  ;  ; 30 ; kotyamoi ; 30 
 3441 ; Бона иностранная ;  ;  ;  ;  ; 42 ; kotyamoi ; 47 
 3442 ; Бона иностранная ;  ;  ;  ;  ; 16 ; kotyamoi ; 31 
 3443 ; Бона иностранная ;  ;  ;  ;  ; 20 ; kotyamoi ; 47 
 3444 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 107 
 3445 ; Бона иностранная ;  ;  ;  ;  ; 38 ; kotyamoi ; 47 
 3446 ; Бона иностранная ;  ;  ;  ;  ; 18 ; kotyamoi ; 31 
 3447 ; Бона иностранная ;  ;  ;  ;  ; 46 ; QSL ; 45 
 3448 ; Бона иностранная ;  ;  ;  ;  ; 24 ; kotyamoi ; 30 
 3449 ; Бона иностранная ;  ;  ;  ;  ; 24 ; kotyamoi ; 30 
 3450 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Скрудж ; 49 
 3451 ; Бона иностранная ;  ;  ;  ;  ; 21 ; kotyamoi ; 31 
 3452 ; Бона иностранная ;  ;  ;  ;  ; 23 ; jj ; 30 
 3453 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 37 
 3454 ; Бона иностранная ;  ;  ;  ;  ; 6 ; QSL ; 39 
 3455 ; Бона иностранная ;  ;  ;  ;  ; 11 ; QSL ; 37 
 3456 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Скрудж ; 40 
 3457 ; Бона иностранная ;  ;  ;  ;  ; 11 ; QSL ; 37 
 3458 ; Бона иностранная ;  ;  ;  ;  ; 11 ; QSL ; 37 
 3459 ; Бона иностранная ;  ;  ;  ;  ; 26 ; QSL ; 36 
 3460 ; Бона иностранная ;  ;  ;  ;  ; 12 ; QSL ; 38 
 3461 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 39 
 3462 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kotyamoi ; 30 
 3463 ; Бона иностранная ;  ;  ;  ;  ; 8 ; кукуку ; 27 
 3464 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kotyamoi ; 37 
 3465 ; Бона иностранная ;  ;  ;  ;  ; 10 ; QSL ; 39 
 3466 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 40 
 3467 ; Бона иностранная ;  ;  ;  ;  ; 25 ; QSL ; 50 
 3468 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Опятор ; 30 
 3469 ; Бона иностранная ;  ;  ;  ;  ; 16 ; QSL ; 31 
 3470 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Скрудж ; 39 
 3471 ; Бона иностранная ;  ;  ;  ;  ; 13 ; QSL ; 31 
 3472 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Скрудж ; 34 
 3473 ; Бона иностранная ;  ;  ;  ;  ; 32 ; kotyamoi ; 32 
 3474 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kotyamoi ; 32 
 3475 ; Бона иностранная ;  ;  ;  ;  ; 43 ; Sani ; 100 
 3476 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Скрудж ; 42 
 3477 ; Бона иностранная ;  ;  ;  ;  ; 42 ; QSL ; 62 
 3478 ; Бона иностранная ;  ;  ;  ;  ; 21 ; ejiki18 ; 20 
 3479 ; Бона иностранная ;  ;  ;  ;  ; 25 ; alex995 ; 22 
 3480 ; Бона иностранная ;  ;  ;  ;  ; 27 ; licha ; 32 
 3481 ; Бона иностранная ;  ;  ;  ;  ; 35 ; licha ; 40 
 3482 ; Бона иностранная ;  ;  ;  ;  ; 84 ; derk02 ; 503 
 3483 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Sani ; 30 
 3484 ; Бона иностранная ;  ;  ;  ;  ; 25 ; из африки ; 24 
 3485 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Sani ; 114 
 3386 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 10 ; лисенок ; 452 
 3387 ; 10000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 20 ; хъ0 ; 450 
 3388 ; 5 рублей ; 1947 ; Гос.казначейский билет ;  ;  ; 38 ; vladzory ; 165 
 3389 ; 3 рубля. Познань ; 1916 ;  ;  ;  ; 26 ; из африки ; 344 
 3390 ; 5 марок. Ковно ; 1918 ;  ;  ;  ; 29 ; из африки ; 272 
 3391 ; 10 рублей. Одесса ; 1917 ;  ;  ;  ; 52 ; tigris ; 357 
 3392 ; 5 карбованцев. Житомир ; 1918 ;  ;  ;  ; 25 ; хъ0 ; 693 
 3393 ; 1 рубль ; 18? ;  ;  ;  ; 46 ; ac ; 1682 
 3394 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 47 ; arakara ; 117 
 3395 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 26 ; volkov ; 64 
 3396 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 17 ; Sani ; 59 
 3397 ; 25 рублей. Архангельск ; 1918 ;  ;  ;  ; 14 ; unkas79 ; 532 
 3398 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; из африки ; 100 
 3399 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 3 ; из африки ; 100 
 3400 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 47 ; vlad19 ; 152 
 3401 ; 100 гривень ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 10 ; unkas79 ; 202 
 3402 ; 500 гривень ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 12 ; k212 ; 765 
 3403 ; 1000 карбованцев ; 1918 ; Украина.Знак Державноi скарбицi ;  ;  ; 8 ; tigris ; 456 
 3404 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 57 ; лисенок ; 1062 
 3405 ; 25 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 45 ; strestas ; 317 
 3406 ; 25 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 83 ; lvd ; 452 
 3407 ; 50 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 103 ; lvd ; 718 
 3408 ; 50 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 47 ; lvd ; 611 
 3409 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 37 ; 001951 ; 227 
 3410 ; 100 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 33 ; хъ0 ; 169 
 3411 ; 250 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 56 ; lvd ; 1197 
 3412 ; 1000 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 114 ; ек ; 476 
 3413 ; 500 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 49 ; ac ; 903 
 3414 ; 250 рублей ; 1918 ;  ;  ;  ; 15 ; viena ; 509 
 3415 ; 5000 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 37 ; lvd ; 1892 
 3416 ; 1000 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 99 ; ек ; 992 
 3417 ; 1000 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 93 ; lvd ; 1062 
 3418 ; 5000 рублей ; 1919 ;  ;  ;  ; 15 ; sher60 ; 305 
 3419 ; 5000 рублей ; 1919 ;  ;  ;  ; 9 ; из африки ; 293 
 3420 ; 100 рублей ; 1947 ; билет ;  ;  ; 43 ; molodes ; 254 
 3421 ; 100 рублей ; 1947 ; билет ;  ;  ; 29 ; lvd ; 602 
 3422 ; 2 марки. Ковно ; 1918 ;  ;  ;  ; 74 ; derk02 ; 1100 
 3423 ; 10 рублей. Елисаветоград ; 1918 ;  ;  ;  ; 51 ; ac ; 1561 
 3424 ; 250 рублей ; 1919 ; Семиреченский Областной Совет ;  ;  ; 49 ; А2007 ; 15300 
 3425 ; 10 рублей ; 1898 ; Тимашев 1903. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 46 ; титан ; 7902 
 3426 ; 25 рублей ; 1899 ; Тимашев 1903. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 82 ; uz ; 11033 
 3427 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 7 ; Blagorodie ; 102 
 3428 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 44 ; Blagorodie ; 308 
 3429 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 34 ; Alina ; 591 
 3430 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 20 ; Sani ; 597 
 3431 ; Бона иностранная ;  ;  ;  ;  ; 18 ; kotyamoi ; 47 
 3432 ; Бона иностранная ;  ;  ;  ;  ; 8 ; kotyamoi ; 47 
 3433 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kotyamoi ; 47 
 3434 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kotyamoi ; 38 
 3435 ; Бона иностранная ;  ;  ;  ;  ; 26 ; вий444 ; 46 
 3336 ; 20 копеек ; 1915 ; Деньги-марки ;  ;  ; 7 ; al69 ; 67 
 3337 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ;  ; 32 ; lvd ; 1024 
 3338 ; 1 рубль ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 9 ; volkov ; 101 
 3339 ; 2 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 21 ; volkov ; 77 
 3340 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 14 ; volkov ; 72 
 3341 ; 1 копейка ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 51 ; lvd ; 255 
 3342 ; 2 копейки ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 24 ; lvd ; 255 
 3343 ; 3 копейки ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 10 ; Alina ; 130 
 3344 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 16 ; Sani ; 119 
 3345 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 7 ; arakara ; 37 
 3346 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 6 ; arakara ; 51 
 3347 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 16 ; dagon ; 40 
 3348 ; 1 рубль. Чек ;  ;  ;  ;  ; 39 ; al69 ; 200 
 3349 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 25 ; krft ; 104 
 3350 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 12 ; dagon ; 102 
 3351 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 26 ; панцыш ; 142 
 3352 ; 1 рубль ; 1918 ; Казначейский знак Сибирского временного правительства ;  ;  ; 20 ; lvd ; 300 
 3353 ; 5 рублей ; 1918 ; Казначейский знак Сибирского временного правительства ;  ;  ; 37 ; lvd ; 300 
 3354 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 15 ; volkov ; 69 
 3355 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбницi ;  ;  ; 21 ; arakara ; 101 
 3356 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбницi ;  ;  ; 39 ; krft ; 104 
 3357 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 21 ; слива ; 48 
 3358 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 21 ; strestas ; 312 
 3359 ; 50 копеек. Познань ; 1916 ;  ;  ;  ; 4 ; maks169 ; 300 
 3360 ; 1 рубль. Познань ; 1916 ;  ;  ;  ; 1 ; maks169 ; 200 
 3361 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 17 ; arakara ; 79 
 3362 ; 10 карбованцев ; 1918 ; Украина Знак Державноi скарбицi ;  ;  ; 89 ; Соколов ; 499 
 3363 ; 10 карбованцев ; 1918 ; Украина Знак Державноi скарбицi ;  ;  ; 46 ; tigris ; 510 
 3364 ; 10 гривень ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 18 ; unkas79 ; 175 
 3365 ; 1 рубль ; 1918 ;  ;  ;  ; 54 ; ac ; 463 
 3366 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 17 ; vladzory ; 102 
 3367 ; 25 рублей. Одесса ; 1917 ;  ;  ;  ; 112 ; 001951 ; 306 
 3368 ; 3 рубля ; 1918 ;  ;  ;  ; 12 ; tigris ; 153 
 3369 ; 5 рублей ; 1918 ;  ;  ;  ; 35 ; 001951 ; 261 
 3370 ; 10 рублей ; 1918 ;  ;  ;  ; 10 ; tigris ; 345 
 3371 ; 25 рублей ; 1918 ;  ;  ;  ; 33 ; хъ0 ; 107 
 3372 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 13 ; volkov ; 47 
 3373 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 10 ; arakara ; 46 
 3374 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 8 ; Alexey77 ; 101 
 3375 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 17 ; lamazo ; 45 
 3376 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты(не выпущены) ;  ;  ; 27 ; unkas79 ; 602 
 3377 ; 10 рублей ; 1947 ; билет ;  ;  ; 16 ; хъ0 ; 567 
 3378 ; 10 рублей ; 1947 ; билет ;  ;  ; 51 ; хъ0 ; 453 
 3379 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 17 ; Sky2 ; 304 
 3380 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 49 ; Alexey77 ; 523 
 3381 ; 20 копеек. Познань ; 1916 ;  ;  ;  ; 2 ; kuzia ; 204 
 3382 ; 5 шиллингов ; 1944 ;  ;  ;  ; 33 ; sher60 ; 148 
 3383 ; 25 рублей. Красноярск ; 1919 ;  ;  ;  ; 50 ; Blagorodie ; 1022 
 3384 ; 25 рублей. Крым ; 1918 ;  ;  ;  ; 49 ; ac ; 841 
 3385 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 27 ; vladzory ; 360 
 2731 ; Лот монет Норвегии (13шт) ; 1937-1957 ;  ; Br,Cu-Ni ; VF-/VF+ ; 31 ; Карапуз ; 167 
 2732 ; Лот монет Кореи, Японии (9шт) ; 20 век ;  ; Br,Al,ж/м ; VF-/VF+ ; 20 ; suhua ; 97 
 2733 ; Лот монет Италии (12шт) ; 1884-1966 ;  ; Br,Al,Fe,ж ; F/VF- ; 24 ; ejiki18 ; 79 
 2734 ; Лот монет Тайланда (7шт) ; 20 век ;  ; Cu-Ni,ж/м ; VF-/VF+ ; 17 ; scoffer ; 90 
 2735 ; Лот монет Туниса (7шт) ; 1960-1983 ;  ; Al,ж/м ; F+/VF ; 25 ; Kloun77 ; 75 
 2736 ; Лот монет ОАЭ (9шт) ; 20 век ;  ; Cu-Ni,Al,ж ; F+/VF+ ; 16 ; alskr ; 103 
 2737 ; Лот монет Востока (6шт) ; 20 век ;  ; Cu-Ni,ж/м ; VF-/VF+ ; 11 ; Poiuyt ; 83 
 2738 ; Лот монет Австралии (5шт) ; 1967-1975 ;  ; Cu-Ni,Br ; F-VF/VF ; 19 ; alex995 ; 33 
 2739 ; Лот монет Филиппин (6шт) ; 1964-1997 ;  ; Cu-Ni,ж/м ; VF-/VF ; 33 ; vc57 ; 136 
 2740 ; Лот монет Гамбии (6шт) ; 1961-1971 ;  ; Cu-Ni,ж/м ; VF-/VF ; 17 ; МАВ21 ; 179 
 2741 ; Лот монет Норвегии (15шт) ; 1964-1980 ;  ; Cu-Ni,Br ; VF-/VF+ ; 19 ; zx123 ; 79 
 2742 ; Лот монет Бельгии (11шт) ; 1862,1922-1990 ;  ; Cu,Cu-Ni,B ; F/VF+ ; 9 ; alex995 ; 57 
 2743 ; Лот монет Индии (9шт) ; 1952-1996 ;  ; Cu-Ni,Al,б ; VF/VF-XF ; 43 ; Опятор ; 94 
 2744 ; Лот монет Литвы, Эстонии (5шт) ; 1991-1998 ;  ; Al,ж/м ; F-VF/VF ; 13 ; Kloun77 ; 38 
 2745 ; Лот монет Украины (12шт) ; 1992-2008 ;  ; Cu-Ni,ж/м ; VF-/VF+ ; 9 ; Koresh ; 18 
 2746 ; Лот монет Исландии (5шт) ; 1959-1981 ;  ; Cu-Ni,Br ; VF/XF ; 20 ; zx123 ; 53 
 2747 ; Лот монет Израиля (10шт) ; 20 век ;  ; Cu-Ni,Al,ж ; VF-/VF-XF ; 17 ; AIK60 ; 111 
 2748 ; Лот монет Австрии (9шт) ; 1946-1982 ;  ; Al,Zn,ж/м ; F+/VF+ ; 33 ; дед морос ; 98 
 2749 ; Лот монет Мальты (5шт) ; 1972-1986 ;  ; Cu-Ni,Br,ж ; VF-/VF+ ; 37 ; МАВ21 ; 189 
 2750 ; Лот монет Австралии (6шт) ; 1966-2001 ;  ; Cu-Ni,Br ; VF-/VF-XF ; 19 ; sansan ; 53 
 2751 ; Лот монет Кипра (6шт) ; 1955-1985 ;  ; Cu-Ni,ж/м ; VF-/VF-XF ; 33 ; Карапуз ; 73 
 2752 ; Лот монет Польши (11шт) ; 1949-2002 ;  ; Cu-Ni,Al,ж ; F-VF/VF- ; 37 ; suhua ; 55 
 2753 ; Лот монет Японии (10шт) ; 20 век ;  ; Br,Al,ж/м ; VF-/VF+ ; 20 ; suhua ; 123 
 2754 ; Лот монет Германии,Веймар (11шт) ; 1920-1950 ;  ; Br,Fe,Al,ж ; VF-/VF+ ; 41 ; Опятор ; 113 
 2755 ; Лот монет Чехославакии (8шт) ; 1964-1991 ;  ; Cu-Ni,Al,ж ; VF-/VF+ ; 23 ; ВМШ ; 70 
 2756 ; Лот монет Индонезии, Сингапура (7шт) ; 20 век ;  ; Cu-Ni,Br,A ; F-VF/VF ; 9 ; olvl_78 ; 55 
 2757 ; Лот монет Китая (7шт) ; 1983-1999 ;  ; Cu-Ni,Al ; VF/VF-XF ; 10 ; Slonic ; 44 
 2758 ; Лот монет Малайзии (5шт) ; 1973-2007 ;  ; Cu-Ni,ж/м ; VF-/VF+ ; 29 ; Опятор ; 101 
 2759 ; Лот монет Танзании (6шт) ; 1966-1970 ;  ; Cu-Ni,Br,ж ; VF/VF+ ; 27 ; alex995 ; 55 
 2760 ; Лот монет Мексики (8шт) ; 1954-1978 ;  ; Cu-Ni,ж/м ; F-VF/VF ; 17 ; suhua ; 90 
