 351 ; Медаль "За труды и храбрость при взятии Праги 24 октября 1794г" Екатерина II Новодел ;  ;  ; Br ; XF ; 38 ; Брат ; 20000 
 302 ; Полушка (Петров-8р. Ильин-5р.) ; 1773 ; ЕМ ; Cu ; VF ; 43 ; 25 ; 11500 
 303 ; Полушка (Петров-5р. Ильин-3р.) ; 1775 ; ЕМ ; Cu ; VF+ ; 39 ; 25 ; 17000 
 304 ; Полушка ; 1776 ; ЕМ ; Cu ; VF- ; 81 ; БончЪ - БруевичЪ ; 57500 
 305 ; Полушка ; 1789 ; ЕМ ; Cu ; VF+ ; 23 ; Продано в зале ; 3750 
 306 ; Полушка (Петров-4р. Ильин-4р.) ; 1791 ; КМ ; Cu ; VF+ ; 45 ; 25 ; 8550 
 307 ; Полушка (Петров-2,25р. Ильин-4р.) ; 1793 ; КМ ; Cu ; XF- ; 44 ; Брат ; 11500 
 308 ; Полушка (Петров-5р. Ильин-5р.) ; 1793 ;  ; Cu ; VF+ ; 34 ; Жбанов ; 13000 
 309 ; Полушка (Петров-12р. Ильин-3р.) ; 1794 ; ЕМ ; Cu ; XF ; 60 ; Продано в зале ; 77500 
 310 ; Полушка ; 1795 ; ЕМ ; Cu ; VF- ; 26 ; Zoltan 333 ; 6250 
 311 ; Полушка (Петров-2,75р. Ильин-15р.) ; 1795 ;  ; Cu ; VF+ ; 41 ; ff77 ; 25000 
 312 ; Полушка ; 1798 ; АМ ; Cu ; VF+ ; 42 ; 25 ; 9500 
 313 ; Полушка (Петров-2р. Ильин-3р.) ; 1799 ; КМ ; Cu ; F+ ; 45 ; 25 ; 11500 
 314 ; Полушка (Петров-6р. Ильин-5р.) ; 1808 ; ЕМ ; Cu ; VF- ; 50 ; БончЪ - БруевичЪ ; 80000 
 315 ; Полушка (Петров-8р. Ильин-3р.) ; 1810 ; ЕМ ; Cu ; VF+ ; 51 ; 25 ; 105000 
 316 ; Полушка. Новодел ; 1849 ; С.П.М. Пробная ; Cu ; XF+ ; 23 ; Продано в зале ; 10500 
 317 ; Полушка. Новодел. С экспертным заключением SHIRYAKOV & CO ; 1849 ; ЕМ Новодел ; Cu ; AU ; 24 ; vlad77 ; 25000 
 318 ; Полушка (Петров-5р, Ильин-1р) ; 1850 ; ВМ ; Cu ; XF- ; 55 ; vlad77 ; 22000 
 319 ; Полушка (Ильин-1р.) ; 1851 ; ВМ ; Cu ; XF ; 50 ; Braslav ; 20000 
 320 ; Полушка (Ильин-1р.) ; 1852 ; ВМ ; Cu ; XF- ; 40 ; Продано в зале ; 25000 
 321 ; Полушка ; 1853 ; ЕМ ; Cu ; XF+ ; 19 ; tomchik ; 8000 
 322 ; Полушка (Петров-10р. Ильин-20р.) ; 1858 ; ЕМ ; Cu ; F ; 19 ; *@*#* ; 19380 
 323 ; Полушка ; 1861 ; ВМ ; Cu ; VF-XF ; 71 ; Деканат ; 13000 
 324 ; Полушка ; 1863 ; ЕМ ; Cu ; VF- ; 29 ; Продано в зале ; 15000 
 325 ; 1/4 копейки ; 1867 ; СПБ ; Cu ; XF ; 45 ; БончЪ - БруевичЪ ; 17000 
 326 ; 1/4 копейки ; 1868 ; СПБ ; Cu ; AU ; 51 ; Продано в зале ; 25000 
 327 ; 1/4 копейки (Ильин-2р.) ; 1871 ; ЕМ ; Cu ; VF+ ; 46 ; Braslav ; 15000 
 328 ; 1/4 копейки (Ильин-1р.) ; 1875 ; ЕМ ; Cu ; XF ; 77 ; Продано в зале ; 25000 
 329 ; 1/4 копейки (Ильин-2р.) ; 1879 ; СПБ ; Cu ; XF ; 58 ; Продано в зале ; 25000 
 330 ; 1/4 копейки (Петров-2р. Ильин-2р.) ; 1881 ; СПБ ; Cu ; XF ; 82 ; Braslav ; 85000 
 331 ; 1/4 копейки (Петров-3р. Ильин-2р.) ; 1884 ; СПБ ; Cu ; VF-XF ; 50 ; Braslav ; 34000 
 332 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 45 ; Деканат ; 10500 
 333 ; 1/4 копейки ; 1888 ; СПБ ; Cu ; XF ; 42 ; Продано в зале ; 20000 
 334 ; 1/4 копейки (Ильин-1р.) ; 1890 ; СПБ ; Cu ; VF-XF ; 46 ; Продано в зале ; 9000 
 335 ; 1/4 копейки (Петров-5р. Ильин-3р.) ; 1894 ; СПБ ; Cu ; XF+ ; 71 ; мир ; 120000 
 336 ; 50 копеек. Капсула ННР ; 1921 ; (АГ) ; Ag ;  ; 25 ; papinazu ; 40500 
 337 ; Полкопейки. В капсуле NGC ; 1925 ;  ; Cu ;  ; 43 ; Продано в зале ; 10000 
 338 ; 2 копейки. М-1,69г ; 1991 ; В белом металле ;  ; XF+ ; 29 ; sax ; 19000 
 339 ; Бородовой знак 1705 года "С надчеканом".D-24мм. М-4,75г ;  ;  ; Cu ; VF- ; 41 ; Braslav ; 52500 
 340 ; Жетон В память Коронации Императрицы Елизаветы Петровны. D-22мм. Заделано отверстие ;  ;  ; Ag ; F-VF ; 46 ; lastfast ; 18462 
 341 ; Жетон В память Коронации Императора Павла I. D-20мм ;  ;  ; Ag ; VF ; 41 ; Продано в зале ; 10500 
 342 ; Жетон В память Коронации Императора Александра I. D-22мм ;  ;  ; Ag ; F-VF ; 38 ; lastfast ; 7500 
 343 ; Жетон В память Коронации Императора Николая I. D-22мм ;  ;  ; Ag ; VF-XF ; 20 ; Sintez ; 5500 
 344 ; Жетон В память Коронации Императора Александра II. D-22мм ;  ;  ; Ag ; XF ; 23 ; Sky2 ; 5250 
 345 ; Жетон В память Коронации Императора Александра III. D-26мм ;  ;  ; Ag ; XF- ; 14 ; m-antique ; 5000 
 346 ; Жетон В память Коронации Императора Николая II. D-26мм ;  ;  ; Ag ; XF+ ; 36 ; заяц побегаец ; 4584 
 347 ; Жетон В память 100-летия передачи под попечительство Императрицы Марии Феодоровны Императорского Воспитательного Общества благородных девиц. D-22мм. М-8,32г ;  ;  ; Ag ; VF ; 16 ; АВС ; 15300 
 348 ; Медаль "За верность и мужество 1706" Петр I Новодел ;  ;  ; Br ; XF+ ; 36 ; Брат ; 22000 
 349 ; Медаль "Блаженство каждого и всех" Екатерина II Новодел ;  ;  ; Br ; VF-XF ; 28 ; Брат ; 16000 
 350 ; Крест "За отменную храбрость" За взятие Измаила 11 декабря 1790г Новодел ;  ;  ; Br ; VF ; 21 ; vero ; 21000 
 251 ; Копейка (Петров-2р. Ильин-3р.) ; 1835 ; СМ ; Cu ; VF- ; 39 ; ff77 ; 13000 
 252 ; Копейка ; 1837 ; ЕМ НА ; Cu ; XF+ ; 45 ; tomchik ; 7000 
 253 ; Копейка ; 1839 ; СМ ; Cu ; VF+ ; 51 ; зомби ; 6000 
 254 ; Копейка ; 1842 ; ЕМ ; Cu ; XF ; 14 ; VAG ; 4000 
 255 ; Копейка ; 1844 ; ЕМ ; Cu ; XF ; 9 ; зомби ; 3200 
 256 ; Копейка ; 1846 ; СМ ; Cu ; XF ; 32 ; БончЪ - БруевичЪ ; 5250 
 257 ; Копейка (Петров-8р. Ильин-3р.) ; 1850 ; ВМ ; Cu ; VF ; 36 ; Zoltan 333 ; 8000 
 258 ; Денга (Ильин-10р, Петров-15р) ; 1700 ;  ; Cu ; F- ; 2 ; а1945 ; 3600 
 259 ; Денга ; 1704 ;  ; Cu ; VF- ; 22 ; Брат ; 3916 
 260 ; Денга ; 1704 ;  ; Cu ; VF ; 38 ; АВС ; 6750 
 261 ; Денга (Ильин-20р) ; 1705 ;  ; Cu ; F-VF ; 8 ; Брат ; 11334 
 262 ; Денга ; 1706 ;  ; Cu ; VF+ ; 37 ; Zoltan 333 ; 8000 
 263 ; Денга ; 1712 ;  ; Cu ; F+ ; 20 ; Брат ; 4000 
 264 ; Денга. М-5,5г ; 1748 ;  ; Cu ; F+ ; 20 ; offroad ; 950 
 265 ; Денга (Петров-35р. Ильин-10р.) ; 1766 ; "Сибирь" ; Cu ; F+ ; 46 ; zigzag ; 55209 
 266 ; Денга (Петров-4р, Ильин-5р) ; 1774 ; ЕМ ; Cu ; VF ; 48 ; 25 ; 38000 
 267 ; Деньга (Петров-1р. Ильин-1р.) ; 1805 ; ЕМ ; Cu ; F-VF ; 31 ; Продано в зале ; 11500 
 268 ; Деньга (Петров-2,25р. Ильин-3р.) ; 1805 ; КМ ; Cu ; VF ; 55 ; ff77 ; 26000 
 269 ; Деньга (Петров-1,5р, Ильин-1р) ; 1810 ; ИМ МК ; Cu ; VF ; 38 ; Zoltan 333 ; 6750 
 270 ; Деньга (Петров-10р, Ильин-10р) ; 1811 ; КМ ПБ ; Cu ; F+ ; 26 ; Деканат ; 11500 
 271 ; Деньга (Петров-1,5р, Ильин-1р) ; 1811 ; ЕМ НМ ; Cu ; VF ; 39 ; Zoltan 333 ; 24000 
 272 ; Деньга ; 1811 ; СПБ МК ; Cu ; VF ; 25 ; Продано в зале ; 5000 
 273 ; Деньга (Петров-8р, Ильин-10р) ; 1812 ; СПБ ПС ; Cu ; VF ; 41 ; vlad77 ; 32000 
 274 ; Деньга ; 1812 ; ИМ ПС ; Cu ; XF- ; 24 ; Braslav ; 7500 
 275 ; Деньга (Петров-5р) ; 1815 ; ЕМ НМ ; Cu ; VF ; 24 ; Продано в зале ; 9000 
 276 ; Деньга (Петров-4р, Ильин-3р) ; 1817 ; КМ АМ ; Cu ; VF ; 24 ; double ; 7500 
 277 ; Деньга ; 1818 ; ЕМ НМ ; Cu ; XF- ; 31 ; АВС ; 6000 
 278 ; Деньга (Петров-15р, Ильин-15р) ; 1822 ; ЕМ ФГ ; Cu ; VF ; 44 ; vlad77 ; 110000 
 279 ; 1/2 копейки ; 1840 ; ЕМ ; Cu ; XF ; 37 ; Жбанов ; 6500 
 280 ; 1/2 копейки (Ильин-3р. Петров-3р.) ; 1847 ; СМ ; Cu ; VF- ; 53 ; Alex22D ; 14000 
 281 ; 1/2 копейки (Ильин-10р.) ; 1848 ; MW ; Cu ; F+ ; 63 ; Продано в зале ; 24000 
 282 ; Денежка ; 1857 ; ЕМ ; Cu ; VF-XF ; 14 ; tomchik ; 3200 
 283 ; Денежка ; 1863 ; ЕМ ; Cu ; XF ; 38 ; Продано в зале ; 9000 
 284 ; 1/2 копейки ; 1867 ; СПБ ; Cu ; XF ; 41 ; БончЪ - БруевичЪ ; 21000 
 285 ; 1/2 копейки ; 1874 ; ЕМ ; Cu ; VF-XF ; 17 ; БончЪ - БруевичЪ ; 6750 
 286 ; 1/2 копейки ; 1916 ;  ; Cu ; XF+ ; 26 ; rom11 ; 15000 
 287 ; Полушка ; 1700 ;  ; Cu ; VG ; 39 ; Продано в зале ; 9000 
 288 ; Полушка (Петров-25р, Ильин-15р) ; 1700 ;  ; Cu ; F- ; 45 ; tomchik ; 16000 
 289 ; Полушка (Ильин-12р) ; 1701 ;  ; Cu ; F ; 34 ; vlad77 ; 9500 
 290 ; Полушка (Ильин-1р) ; 1702 ;  ; Cu ; F-VF ; 22 ; Продано в зале ; 1500 
 291 ; Полушка (Петров-15р, Ильин-10р) ; 1703 ;  ; Cu ; F- ; 40 ; Брат ; 12000 
 292 ; Полушка (Ильин-60р) ; 1705 ;  ; Cu ; F- ; 20 ; Деканат ; 30000 
 293 ; Полушка (Петров-18р, Ильин-15р) ; 1708 ;  ; Cu ; VF- ; 31 ; vlad77 ; 19000 
 294 ; Полушка (Ильин-4р) ; 1709 ;  ; Cu ; VF- ; 25 ; Колян ; 6000 
 295 ; Полушка ; 1712 ;  ; Cu ; F+ ; 108 ; Брат ; 11000 
 296 ; Полушка  (Петров-5р) ; 1714 ;  ; Cu ; VF ; 44 ; Продано в зале ; 8500 
 297 ; Полушка (Петров-10р, Ильин-10р) ; 1719 ;  ; Cu ; F ; 6 ; зомби ; 513 
 298 ; Полушка (Петров-10р, Ильин-10р) ; 1719 ;  ; Cu ; F-VF ; 20 ; Колян ; 2600 
 299 ; Полушка ; 1719 ;  ; Cu ; VF ; 15 ; зомби ; 650 
 300 ; Полушка ; ? ; F Подделка ;  ; F ; 23 ; зомби ; 600 
 201 ; 2 копейки ; 1812 ; ЕМ НМ ; Cu ; XF ; 23 ; Жбанов ; 3000 
 202 ; 2 копейки (Петров-10р. Ильин-5р.) ; 1814 ; ИМ ; Cu ; F+ ; 34 ; Продано в зале ; 18000 
 203 ; 2 копейки (Петров-2р.) ; 1817 ; КМ ДБ ; Cu ; F-VF ; 21 ; ff77 ; 5500 
 204 ; 2 копейки (Петров-25р. Ильин-25р.) ; 1818 ; КМ АД ; Cu ; VG ; 55 ; Деканат ; 52500 
 205 ; 2 копейки. М-32,9г ; 1839 ; СМ ; Cu ; VF ; 34 ; БончЪ - БруевичЪ ; 19000 
 206 ; 2 копейки ; 1840 ; ЕМ ; Cu ; VF-XF ; 35 ; VAG ; 5500 
 207 ; 2 копейки ; 1846 ; СМ ; Cu ; XF- ; 53 ; Продано в зале ; 6500 
 208 ; 2 копейки ; 1852 ; ЕМ ; Cu ; XF ; 53 ; Braslav ; 10500 
 209 ; 2 копейки ; 1860 ; ВМ ; Cu ; VF+ ; 51 ; Продано в зале ; 16000 
 210 ; 2 копейки ; 1860 ; ВМ ; Cu ; VF-XF ; 21 ; Продано в зале ; 15000 
 211 ; 2 копейки ; 1863 ; ЕМ ; Cu ; VF+ ; 29 ; Braslav ; 3400 
 212 ; 2 копейки ; 1869 ; СПБ ; Cu ; Unc ; 91 ; Продано в зале ; 75000 
 213 ; 2 копейки ; 1877 ; СПБ ; Cu ; XF+ ; 45 ; Продано в зале ; 9500 
 214 ; 2 копейки ; 1888 ; СПБ ; Cu ; XF ; 59 ; Braslav ; 20000 
 215 ; Копейка (Ильин-2р) ; 1707 ; БК ; Cu ; VF ; 19 ; Брат ; 10000 
 216 ; Копейка (Петров-3р, Ильин-3р) ; 1710 ; WД ; Cu ; VF ; 23 ; АВС ; 10000 
 217 ; Копейка (Петров-3р) ; 1713 ;  ; Cu ; F+ ; 17 ; Брат ; 3200 
 218 ; Копейка (Петров-8р, Ильин-3р) ; 1714 ; М  Д ; Cu ; F-VF ; 20 ; Брат ; 3600 
 219 ; Копейка (Петров-8р, Ильин-4р) ; 1714 ; НД ; Cu ; F- ; 47 ; Брат ; 6750 
 220 ; Копейка (Петров-10р) ; 1714 ;  ; Cu ; VF+ ; 28 ; Брат ; 5250 
 221 ; Копейка (Петров-8р, Ильин-10р) ; 1716 ; НД ; Cu ; F-VF ; 16 ; vlad77 ; 11000 
 222 ; Копейка (Петров-15р, Ильин-8р) ; 1716 ; НДЗ ; Cu ; F- ; 18 ; vlad77 ; 6500 
 223 ; Копейка (Петров-8р, Ильин-15р) ; 1717 ; НД ; Cu ; F+ ; 36 ; Продано в зале ; 8000 
 224 ; Копейка (Петров-6р, Ильин-6р) ; 1717 ; НДЗ ; Cu ; VG ; 15 ; tomchik ; 6750 
 225 ; Копейка (Петров-20р, Ильин-20р) ; 1717 ; БК ; Cu ; G ; 45 ; Продано в зале ; 12500 
 226 ; Копейка (Петров-10р, Ильин-5р) ; 1717 ; НДЗ ; Cu ; F ; 29 ; а1945 ; 4200 
 227 ; Копейка (Ильин-10р) ; 1718 ; НД ; Cu ; F+ ; 37 ; vlad77 ; 20000 
 228 ; Копейка (Ильин-12р) ; 1718 ; БК ; Cu ; VG ; 26 ; а1945 ; 10500 
 229 ; Копейка (Петров-20р, Ильин-8р) ; 1724 ;  ; Cu ; F ; 42 ; Продано в зале ; 40000 
 230 ; Копейка ; 1728 ;  ; Cu ; VF ; 33 ; а1945 ; 8000 
 231 ; Копейка ; 1755 ; СПБ ; Cu ; VF-XF ; 52 ; kirill899 ; 24000 
 232 ; Копейка ; 1755 ;  ; Cu ; VF ; 25 ; АВС ; 13000 
 233 ; Копейка (Петров-2р.) ; 1756 ; ММД ; Cu ; F+ ; 37 ; АВС ; 8000 
 234 ; Копейка (Петров-15р. Ильин-20р.) ; 1763 ; ЕМ ; Cu ; F- ; 40 ; Брат ; 28000 
 235 ; Копейка (Петров-18р. Ильин-8р.) ; 1766 ; СПМ ; Cu ; VG ; 31 ; ff77 ; 19000 
 236 ; Копейка (Ильин-1р.) ; 1805 ; ЕМ ; Cu ; VF ; 36 ; 25 ; 38000 
 237 ; Копейка (Петров-2,25р. Ильин-3р.) ; 1807 ; КМ ; Cu ; F-VF ; 17 ; АВС ; 10000 
 238 ; Копейка (Петров-10р. Ильин-10р.) ; 1811 ; КМ ПБ ; Cu ; VF- ; 17 ; Продано в зале ; 7750 
 239 ; Копейка (Петров-6р. Ильин-4р.) ; 1812 ; КМ АМ ; Cu ; VF+ ; 34 ; vlad77 ; 23000 
 240 ; Копейка ; 1813 ; ИМ ПС ; Cu ; VF+ ; 10 ; АВС ; 3600 
 241 ; Копейка (Петров-10р. Ильин-8р.) ; 1813 ; ЕМ НМ ; Cu ; VF-XF ; 39 ; vlad77 ; 30000 
 242 ; Копейка ; 1814 ; ИМ ПС ; Cu ; VF+ ; 12 ; Продано в зале ; 3000 
 243 ; Копейка (Петров-12р. Ильин-8р.) ; 1815 ; ЕМ НМ ; Cu ; F+ ; 43 ; Продано в зале ; 12000 
 244 ; Копейка (Петров-3,5р. Ильин-6р.) ; 1816 ; КМ АМ ; Cu ; VF ; 39 ; Продано в зале ; 20000 
 245 ; Копейка ; 1825 ; ЕМ ИК ; Cu ; VF+ ; 22 ; offroad ; 4400 
 246 ; Копейка ; 1827 ; ЕМ ИК ; Cu ; VF ; 40 ; АВС ; 5250 
 247 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; XF ; 30 ; tomchik ; 6750 
 248 ; Копейка ; 1830 ; ЕМ ИК ; Cu ; XF+ ; 53 ; Продано в зале ; 18000 
 249 ; Копейка ; 1832 ; СМ ; Cu ; VF-XF ; 90 ; Продано в зале ; 14500 
 250 ; Копейка ; 1834 ; ЕМ ФХ ; Cu ; XF ; 37 ; Деканат ; 7250 
 151 ; 5 копеек. Новодел ; 1834 ; ЕМ Новодел ; Cu ; VF-XF ; 50 ; Продано в зале ; 8500 
 152 ; 5 копеек. Новодел ; 1849 ; СПМ Пробная. Новодел ; Cu ; AU ; 66 ; NikTop ; 40000 
 153 ; 5 копеек (Петров-5р. Ильин-6р.) ; 1850 ; ВМ ; Cu ; VF+ ; 41 ; БончЪ - БруевичЪ ; 38000 
 154 ; 5 копеек ; 1851 ; ЕМ ; Cu ; VF+ ; 36 ; Продано в зале ; 11000 
 155 ; 5 копеек (Ильин-8р.) ; 1852 ; ВМ ; Cu ; VF- ; 18 ; Zoltan 333 ; 17000 
 156 ; 5 копеек (Ильин-10р.) ; 1853 ; ЕМ ; Cu ; VF ; 20 ; Vitek99 ; 32000 
 157 ; 5 копеек (Петров-15р. Ильин-10р.) ; 1858 ; ЕМ ; Cu ; VF+ ; 51 ; Продано в зале ; 48000 
 158 ; 5 копеек ; 1860 ; ЕМ ; Cu ; VF-XF ; 41 ; БончЪ - БруевичЪ ; 10500 
 159 ; 5 копеек ; 1864 ; ЕМ ; Cu ; XF ; 30 ; БончЪ - БруевичЪ ; 11000 
 160 ; 5 копеек ; 1866 ; ЕМ ; Cu ; XF ; 38 ; БончЪ - БруевичЪ ; 10000 
 161 ; 5 копеек (Ильин-3р.) ; 1867. ; ЕМ ; Cu ; VF-XF ; 50 ; БончЪ - БруевичЪ ; 46000 
 162 ; 5 копеек ; 1875 ; ЕМ ; Cu ; AU ; 77 ; Продано в зале ; 20000 
 163 ; 5 копеек ; 1879 ; СПБ ; Cu ; AU ; 42 ; sax ; 12000 
 164 ; 5 копеек ; 1881 ; СПБ ; Cu ; XF+ ; 33 ; Продано в зале ; 7500 
 165 ; 4 копейки (Петров-75р. Ильин-30р.) ; 1796 ;  ; Cu ; F- ; 63 ; золотник ; 285600 
 166 ; 3 копейки ; 1840 ; ЕМ ; Cu ; XF- ; 53 ; Продано в зале ; 8500 
 167 ; 3 копейки (Ильин-3р.) ; 1842 ; СМ ; Cu ; VF/XF ; 36 ; Продано в зале ; 3800 
 168 ; 3 копейки ; 1843 ; СМ ; Cu ; VF+ ; 28 ; ff77 ; 13000 
 169 ; 3 копейки ; 1844 ; ЕМ ; Cu ; XF- ; 39 ; lesnik1 ; 4600 
 170 ; 3 копейки ; 1852 ; ЕМ ; Cu ; XF+ ; 61 ; Продано в зале ; 12500 
 171 ; 3 копейки (Ильин-2р.) ; 1852 ; ВМ ; Cu ; VF+ ; 33 ; sax ; 14000 
 172 ; 3 копейки ; 1858 ; ВМ ; Cu ; VF-XF ; 51 ; Braslav ; 15000 
 173 ; 3 копейки ; 1859 ; ЕМ ; Cu ; XF ; 47 ; tomchik ; 9500 
 174 ; 3 копейки ; 1860 ; ВМ ; Cu ; VF- ; 112 ; Колян ; 20000 
 175 ; 3 копейки (Ильин-2р.) ; 1867 ; ЕМ ; Cu ; VF- ; 40 ; ff77 ; 10000 
 176 ; 3 копейки ; 1870 ; СПБ ; Cu ; VF+ ; 92 ; БончЪ - БруевичЪ ; 9500 
 177 ; 3 копейки ; 1875 ; ЕМ ; Cu ; XF+ ; 44 ; tomchik ; 11500 
 178 ; 2 копейки ; 1757 ; Гурт надп. ЕКАТЕРИНБУРГ ; Cu ; VF ; 20 ; 25 ; 3400 
 179 ; 2 копейки ; 1758 ;  ; Cu ; VF+ ; 14 ; $@€ ; 2223 
 180 ; 2 копейки (Петров-10р. Ильин-3.) ; 1759 ; Гурт надп. ЕКАТЕРИНБУРГ ; Cu ; F+ ; 22 ; vero ; 6916 
 181 ; 2 копейки ; 1762 ;  ; Cu ; VF- ; 46 ; Сыч ; 21000 
 182 ; 2 копейки ; 1762 ;  ; Cu ; VF ; 70 ; kirill899 ; 25000 
 183 ; 2 копейки ; 1763 ; ММ ; Cu ; VF+ ; 22 ; 333985 ; 1600 
 184 ; 2 копейки ; 1763 ; ММ ; Cu ; VF+ ; 30 ; Alex22D ; 2600 
 185 ; 2 копейки. Гурт надпись ; 1765 ; СПМ ; Cu ; F-VF ; 14 ; 25 ; 5100 
 186 ; 2 копейки (Ильин-5р.) ; 1766 ;  ; Cu ; F ; 47 ; Продано в зале ; 5500 
 187 ; 2 копейки ; 1766 ; ЕМ ; Cu ; VF ; 31 ; 25 ; 3245 
 188 ; 2 копейки ; 1766 ; ММ ; Cu ; VF+ ; 28 ; БончЪ - БруевичЪ ; 2000 
 189 ; 2 копейки (Петров-8р. Ильин-2р.) ; 1779 ; ЕМ ; Cu ; VF- ; 63 ; БончЪ - БруевичЪ ; 36000 
 190 ; 2 копейки (Петров-8р. Ильин-3р.) ; 1788 ; СПМ ; Cu ; F ; 30 ; Колян ; 5750 
 191 ; 2 копейки (Петров-30р. Ильин-20р.) ; 1788 ; ТМ ; Cu ; F+ ; 39 ; АВС ; 38000 
 192 ; 2 копейки (Петров-6р. Ильин-3р.) ; 1793 ; ЕМ Павл.перечекан ; Cu ; F- ; 23 ; Брат ; 18000 
 193 ; 2 копейки (Петров-3,5р, Ильин-8р) ; 1794 ; АМ ; Cu ; VF- ; 45 ; Продано в зале ; 18000 
 194 ; 2 копейки (Петров-20р, Ильин-10р) ; 1795 ; АМ ; Cu ; VF ; 58 ; 25 ; 52500 
 195 ; 2 копейки (Петров-15р. Ильин-20р.) ; 1796 ; АМ ; Cu ; VF ; 58 ; БончЪ - БруевичЪ ; 95000 
 196 ; 2 копейки ; 1797 ;  ; Cu ; VF ; 37 ; taa ; 8500 
 197 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF+ ; 57 ; Продано в зале ; 13500 
 198 ; 2 копейки (Петров-1р. Ильин-2р.) ; 1803 ; ЕМ ; Cu ; VF ; 37 ; Продано в зале ; 20000 
 199 ; 2 копейки (Петров-60р. Ильин-30р.) ; 1804 ; КМ ; Cu ; F- ; 33 ; Продано в зале ; 77500 
 200 ; 2 копейки (Ильин-3р) ; 1811 ; ЕМ НМ ; Cu ; VF+ ; 39 ; Продано в зале ; 16000 
 101 ; Денга. Хан Шахин-Гирей, Крымское ханство ;  ;  ; Cu ; F+ ; 14 ; legallegal ; 1926 
 102 ; Денга.  Хан Шахин-Гирей, Крымское ханство ;  ;  ; Cu ; F+ ; 25 ; Sky2 ; 2800 
 103 ; 10 копеек ; 1762 ;  ; Cu ; VF+ ; 62 ; Продано в зале ; 43000 
 104 ; 10 копеек (Петров-6р. Ильин-3р.) ; 1766 ; "Сибирь" ; Cu ; VF ; 20 ; АВС ; 25000 
 105 ; 10 копеек (Петров-5р, Ильин-3р) ; 1767 ; "Сибирь" ; Cu ; F-VF ; 26 ; АВС ; 23000 
 106 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 15 ; PamVan ; 15900 
 107 ; 10 копеек ; 1833 ; СМ ; Cu ; VF+ ; 52 ; БончЪ - БруевичЪ ; 25000 
 108 ; 10 копеек ; 1835 ; СМ ; Cu ; F-VF ; 53 ; БончЪ - БруевичЪ ; 15000 
 109 ; 5 копеек (Ильин-3р.) ; 1723 ; Дата сверху вниз ; Cu ; VF ; 34 ; ff77 ; 33660 
 110 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF+ ; 31 ; Foks ; 9500 
 111 ; 5 копеек. Редкая ; 1727 ; КД Одна из точек под хв. ; Cu ; VF- ; 41 ; vlad77 ; 55000 
 112 ; 5 копеек. Аверс/Реверс поворот - 180 градусов ; 1727 ; КД КОПЪAКЬ ; Cu ; VF+ ; 70 ; БончЪ - БруевичЪ ; 13000 
 113 ; 5 копеек. Аверс/Реверс поворот - 90 градусов ; 1727 ; КД КОПЪAКЬ ; Cu ; F-VF ; 23 ; vero ; 23000 
 114 ; 5 копеек (Петров-12р. Ильин-5р.) ; 1730 ; ДМ ; Cu ; F+ ; 67 ; kirill899 ; 19000 
