 4851 ; Бона иностранная Германия ; 1919 ;  ;  ;  ; 15 ; sikachai ; 159 
 4356 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 15 ; Skafir ; 108 
 4357 ; 100 рублей. Билет Банка России. Брак ; 1997 ;  ;  ;  ; 28 ; pillau3 ; 1134 
 4358 ; Лот 100 рублей. 10 шт ; 1991 ;  ;  ;  ; 5 ; rbmamba ; 124 
 4501 ; Бона иностранная ;  ;  ;  ;  ; 9 ; про ; 24 
 4502 ; Бона иностранная ;  ;  ;  ;  ; 22 ; vladimir-sirke ; 25 
 4503 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Ivanss ; 30 
 4504 ; Бона иностранная ;  ;  ;  ;  ; 3 ; klop123 ; 30 
 4505 ; Бона иностранная ;  ;  ;  ;  ; 13 ; asus ; 63 
 4506 ; Бона иностранная ;  ;  ;  ;  ; 40 ; sikachai ; 357 
 4507 ; Бона иностранная ;  ;  ;  ;  ; 19 ; asus ; 240 
 4508 ; Бона иностранная ;  ;  ;  ;  ; 20 ; ИЮМов1 ; 240 
 4509 ; Бона иностранная ;  ;  ;  ;  ; 15 ; sikachai ; 235 
 4510 ; Бона иностранная ;  ;  ;  ;  ; 12 ; sikachai ; 200 
 4511 ; Бона иностранная ;  ;  ;  ;  ; 16 ; rbmamba ; 193 
 4512 ; Бона иностранная ;  ;  ;  ;  ; 27 ; smel ; 211 
 4513 ; Бона иностранная ;  ;  ;  ;  ; 12 ; 333985 ; 72 
 4514 ; Бона иностранная ;  ;  ;  ;  ; 14 ; asus ; 193 
 4515 ; Бона иностранная ;  ;  ;  ;  ; 16 ; asus ; 193 
 4516 ; Бона иностранная ;  ;  ;  ;  ; 16 ; sikachai ; 233 
 4517 ; Бона иностранная ;  ;  ;  ;  ; 8 ; asus ; 193 
 4518 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ек ; 148 
 4519 ; Бона иностранная ;  ;  ;  ;  ; 19 ; mirumir ; 199 
 4520 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Arminius ; 249 
 4521 ; Бона иностранная ;  ;  ;  ;  ; 11 ; про ; 90 
 4522 ; Бона иностранная ;  ;  ;  ;  ; 7 ; про ; 77 
 4523 ; Бона иностранная ;  ;  ;  ;  ; 5 ; егор ; 101 
 4152 ; Облигация ; 1880 ;  ;  ;  ; 9 ; fillin ; 255 
 4153 ; Облигация ; 1880 ;  ;  ;  ; 10 ; fillin ; 255 
 4154 ; Облигация ; 1889 ;  ;  ;  ; 7 ; я8844 ; 225 
 4155 ; Облигация ; 1889 ;  ;  ;  ; 14 ; zef ; 235 
 4156 ; Акция. США ;  ;  ;  ;  ; 17 ; lexur ; 100 
 4157 ; Акция. США ;  ;  ;  ;  ; 10 ; ъхз ; 51 
 4158 ; Акция. США ;  ;  ;  ;  ; 37 ; 542 ; 101 
 4159 ; Акция. США ;  ;  ;  ;  ; 15 ; 542 ; 101 
 4160 ; Акция. США ;  ;  ;  ;  ; 10 ; lexur ; 100 
 4161 ; Акция. США ;  ;  ;  ;  ; 8 ; lexur ; 100 
 4162 ; Акция. США ;  ;  ;  ;  ; 12 ; lexur ; 100 
 4163 ; Акция. США ;  ;  ;  ;  ; 10 ; 542 ; 101 
 4164 ; Акция. США ;  ;  ;  ;  ; 10 ; 542 ; 101 
 4165 ; Акция. США ;  ;  ;  ;  ; 15 ; ъхз ; 53 
 4166 ; Акция. США ;  ;  ;  ;  ; 10 ; 542 ; 101 
 4167 ; Акция. США ;  ;  ;  ;  ; 8 ; ъхз ; 53 
 4168 ; Акция. США ;  ;  ;  ;  ; 10 ; 542 ; 101 
 4169 ; Акция. США ;  ;  ;  ;  ; 6 ; ъхз ; 51 
 4170 ; Акция. США ;  ;  ;  ;  ; 19 ; ъхз ; 53 
 4301 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; егор ; 421 
 4302 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 27 ; niger ; 346 
 4303 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; Ходор ; 306 
 4304 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 14 ; zef ; 92 
 4305 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 37 ; zef ; 163 
 4306 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 6 ; kent01 ; 113 
 4307 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; KYZIA ; 92 
 4308 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 15 ; kent01 ; 94 
 4309 ; 20 копеек ; б/г ; Гос.кредитный билет "Северная Россия" ;  ;  ; 42 ; МАВ9 ; 1377 
 4310 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 21 ; Greenfields ; 309 
 4311 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 16 ; niger ; 90 
 4312 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 69 ; xa-xa ; 666 
 4313 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 28 ; RusScat ; 625 
 4314 ; 3 рубля ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 37 ; СЁМА ; 714 
 4315 ; 5 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 44 ; AlexRFB ; 1224 
 4316 ; 10 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 31 ; 001951 ; 1360 
 4317 ; 25 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 52 ; albar ; 735 
 4318 ; 5 червонцев ; 1937 ; Билет ;  ; AU ; 82 ; dvoretsa ; 5523 
 4319 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 18 ; WOLK ; 328 
 4320 ; 25 рублей ; 1919 ; Латвия. Обязательство гос.казначейства ;  ;  ; 19 ; Виталий 64 ; 683 
 4321 ; 3 рубля ; 1919 ; Латвия. Разменный знак ;  ;  ; 30 ; sikachai ; 329 
 4322 ; 1 рубль ; 1919 ; Латвия. Разменный знак ;  ;  ; 20 ; sikachai ; 316 
 4323 ; 5 карбованцев г. Житомир ; 1918 ;  ;  ;  ; 19 ; bon15041980 ; 816 
 4324 ; 50 копеек Екатеринодарская краевая контора гос.банка ;  ;  ;  ;  ; 29 ; bva150979 ; 378 
 4325 ; 30 копеек ;  ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ;  ; 33 ; AlexRFB ; 878 
 4326 ; 50 копеек г.Одесса ;  ;  ;  ;  ; 34 ; Mon plaisir ; 306 
 4327 ; 50 копеек ; 1919 ;  ;  ;  ; 17 ; niger ; 619 
 4328 ; Лот 5 рублей. 4 шт ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; Skafir ; 151 
 4329 ; Лот 3 рубля. 4 шт ; 1905 ;  ;  ;  ; 9 ; niger ; 210 
 4330 ; Лот 1 рубль. 4 шт ; 1998 ;  ;  ;  ; 14 ; wasp69 ; 215 
 4331 ; Лот 1,3,5 червонцев. 4 шт ; 1937 ;  ;  ;  ; 27 ; niger ; 480 
 4102 ; 50 рублей ; 1961 ; билет ;  ;  ; 14 ; rbmamba ; 71 
 4103 ; 1 доллар США ; 1935 ;  ;  ;  ; 25 ; lexur ; 240 
 4104 ; 1 доллар США ; 1935 ;  ;  ;  ; 34 ; fillin ; 166 
 4105 ; билет МММ ;  ;  ;  ;  ; 11 ; ек ; 82 
 4106 ; билет МММ ;  ;  ;  ;  ; 14 ; ZET ; 101 
 4107 ; 20 марок ; 1929 ;  ;  ;  ; 13 ; Атлантик ; 100 
 4108 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 31 ; niger ; 419 
 4109 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; я8844 ; 101 
 4110 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 11 ; я8844 ; 63 
 4111 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; niger ; 133 
 4112 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; and1972 ; 101 
 4113 ; 1 копейка ; 1917 ; Деньги-марки ;  ; AU ; 19 ; Skafir ; 203 
 4114 ; 3 копейки ; 1915 ; Деньги-марки ;  ; AU ; 19 ; sikachai ; 134 
 4115 ; 3 копейки ; 1915 ; Деньги-марки ;  ; AU ; 9 ; koga ; 112 
 4116 ; 10 копеек ; 1915 ; Деньги-марки ;  ; AU ; 17 ; sikachai ; 111 
 4117 ; 15 копеек ; 1915 ; Деньги-марки ;  ; AU ; 9 ; sikachai ; 111 
 4118 ; 15 копеек ; 1915 ; Деньги-марки ;  ; AU ; 9 ; Туборг ; 51 
 4119 ; 5 пенни ; 1919 ; Эстония ;  ; AU ; 35 ; ек ; 157 
 4120 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 12 ; Roman24 ; 182 
 4121 ; 100 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; AU ; 39 ; wedc ; 918 
 4122 ; 50 копеек. Юденич ; 1919 ;  ;  ; AU ; 33 ; poushkine ; 1037 
 4123 ; 2 доллара США ; 2003 ;  ;  ; AU ; 11 ; lexur ; 114 
 4124 ; 2 доллара США ; 2003 ;  ;  ; AU ; 26 ; lexur ; 155 
 4125 ; 2 доллара США ; 2003 ;  ;  ; AU ; 11 ; lexur ; 114 
 4126 ; 2 доллара США ; 2003 ;  ;  ; AU ; 21 ; lexur ; 100 
 4127 ; 100 рублей ; 1961 ;  ;  ; AU ; 27 ; wedc ; 500 
 4128 ; 50 рублей ; 1961 ; билет ;  ; AU ; 21 ; sdfg ; 500 
 4129 ; 5000 рублей ; 1992 ; банкнота ;  ; AU ; 25 ; arsenich-s ; 212 
 4130 ; 10000 рублей ; 1992 ; банкнота ;  ; AU ; 32 ; Jazzman ; 419 
 4131 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; XF ; 10 ; ZET ; 110 
 4132 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; XF ; 25 ; parmezan ; 146 
 4133 ; 5 рублей ; 1909 ; Денежные знаки ;  ; XF ; 17 ; rbmamba ; 126 
 4134 ; 5 рублей ; 1909 ; Денежные знаки ;  ; XF ; 14 ; ZET ; 104 
 4135 ; 1000 рублей ; 1917 ; Денежные знаки ;  ; AU ; 18 ; 333985 ; 421 
 4136 ; 1000 рублей ; 1917 ; Денежные знаки ;  ; AU ; 25 ; 333985 ; 426 
 4137 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ; AU ; 38 ; Fedor_K ; 1737 
 4138 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ; AU ; 49 ; AlexRFB ; 1808 
 4139 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ; AU ; 26 ; AlexRFB ; 1839 
 4140 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ; AU ; 26 ; dvoretsa ; 2380 
 4141 ; 10 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ; AU ; 16 ; AlexRFB ; 1839 
 4142 ; 25 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ; XF ; 17 ; AlexRFB ; 2345 
 4143 ; 25 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ; XF ; 25 ; AlexRFB ; 2856 
 4144 ; 50 рублей. Гоосударство Российское ; б/г ;  ;  ; AU ; 28 ; boroda-273 ; 2007 
 4145 ; 25 рублей ; 1918 ; 2 подписи Гос.кредитные билеты(не выпущены) ;  ; AU ; 40 ; RusScat ; 2267 
 4146 ; 100 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ; AU ; 28 ; lexx66 ; 3740 
 4147 ; 500 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ; AU ; 43 ; AlexRFB ; 5304 
 4148 ; 10 червонцев ; 1922 ; Банковские билеты ;  ;  ; 60 ; А_еЧъ ; 11232 
 4149 ; 50 рублей (образец) ; 1947 ; билет ;  ; AU ; 28 ; 333985 ; 4590 
 4150 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 46 ; 001951 ; 1297 
 4151 ; Бакинское нефтяное общество. Акция. ; 1906 ;  ;  ;  ; 41 ; mavrodik ; 857 
 4052 ; 2 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 21 ; arsenich-s ; 204 
 4053 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ;  ; 9 ; masterovoi ; 357 
 4054 ; Купон займа свободы ; 1917 ;  ;  ;  ; 4 ; t_v_v ; 30 
 4055 ; 20 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 28 ; 001951 ; 2142 
 4056 ; 60 рублей ;  ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 9 ; я8844 ; 68 
 4057 ; 60 рублей ;  ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 10 ; poushkine ; 100 
 4058 ; 60 рублей ;  ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 21 ; altunin ; 147 
 4059 ; 60 рублей ;  ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 11 ; я8844 ; 90 
 4060 ; 1 рубль Балаклава ;  ;  ;  ;  ; 23 ; von_Schwarz ; 499 
 4061 ; Талон на обед ;  ;  ;  ;  ; 32 ; ек ; 168 
 4062 ; 100 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 12 ; Туборг ; 215 
 4063 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 15 ; Туборг ; 203 
 4064 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 20 ; and1972 ; 101 
 4065 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 20 ; said ; 153 
 4066 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 14 ; poushkine ; 100 
 4067 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 7 ; Lenchik_2M ; 104 
 4068 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 13 ; Туборг ; 159 
 4069 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 8 ; solder13 ; 245 
 4070 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 21 ; Виталий 64 ; 164 
 4071 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 19 ; pavel5419 ; 156 
 4072 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 14 ; said ; 128 
 4073 ; 10000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 23 ; asus ; 426 
 4074 ; 50 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 14 ; pavel5419 ; 156 
 4075 ; 50 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 11 ; Lenchik_2M ; 159 
 4076 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 23 ; ZET ; 101 
 4077 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 13 ; Ivanss ; 100 
 4078 ; 3 червонца ; 1937 ; Билет ;  ;  ; 52 ; zef ; 458 
 4079 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 73 ; zef ; 456 
 4080 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 39 ; про ; 206 
 4081 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 32 ; asus ; 474 
 4082 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 7 ; eniy5 ; 69 
 4083 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 10 ; eniy5 ; 50 
 4084 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 10 ; cuzid ; 31 
 4085 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 5 ; я8844 ; 23 
 4086 ; 250 рублей ; 1918 ;  ;  ;  ; 9 ; Туборг ; 305 
 4087 ; Билет 6 лоторен Осовиахима ; 1931 ;  ;  ;  ; 77 ; zef ; 791 
 4088 ; Билет лоторен Скобелевскго комитета ; 1918 ;  ;  ;  ; 31 ; abrek112 ; 4079 
 4089 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 20 ; zef ; 455 
 4090 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 21 ; zef ; 453 
 4091 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; я8844 ; 348 
 4092 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; Алексей11 ; 350 
