 5496 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 10 ; 3ТЭП75 ; 38 
 5466 ; Бона иностранная. Украина ;  ;  ;  ;  ; 20 ; Scorpionchic-sun ; 53 
 5467 ; Бона иностранная. Украина ;  ;  ;  ;  ; 17 ; ТРОЛ ; 125 
 5468 ; Бона иностранная. Украина ;  ;  ;  ;  ; 34 ; vlad27 ; 107 
 5469 ; Бона иностранная. Украина ;  ;  ;  ;  ; 14 ; CASABLANCA ; 85 
 5470 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 9 ; CASABLANCA ; 35 
 5471 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 3 ; CASABLANCA ; 30 
 5472 ; Бона иностранная. Беларусь ;  ;  ;  ;  ; 6 ; CASABLANCA ; 30 
 5473 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 21 ; 6x6 ; 125 
 5474 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 14 ; serg07_67 ; 57 
 5475 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 9 ; svv ; 42 
 5476 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 7 ; serg07_67 ; 42 
 5477 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 11 ; CASABLANCA ; 59 
 5478 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 12 ; XF ; 50 
 5479 ; Бона иностранная. Узбекистан ;  ;  ;  ;  ; 11 ; 6x6 ; 125 
 5480 ; Бона иностранная. Корея ;  ;  ;  ;  ; 9 ; vlad27 ; 77 
 5481 ; Бона иностранная. Корея ;  ;  ;  ;  ; 3 ; Danilos ; 50 
 5482 ; Бона иностранная. Корея ;  ;  ;  ;  ; 11 ; xxxl ; 50 
 5483 ; Бона иностранная. Корея ;  ;  ;  ;  ; 18 ; CASABLANCA ; 63 
 5484 ; Бона иностранная. Иран ;  ;  ;  ;  ; 7 ; xxxl ; 37 
 5485 ; Бона иностранная. Иран ;  ;  ;  ;  ; 13 ; vlad27 ; 73 
 5486 ; Бона иностранная. Иран ;  ;  ;  ;  ; 7 ; Scorpionchic-sun ; 40 
 5487 ; Бона иностранная. Иран ;  ;  ;  ;  ; 7 ; vlad27 ; 50 
 5488 ; Бона иностранная. Иран ;  ;  ;  ;  ; 23 ; CASABLANCA ; 61 
 5489 ; Бона иностранная. Иран ;  ;  ;  ;  ; 33 ; 6x6 ; 254 
 5490 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 20 ; vlad27 ; 79 
 5491 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 31 ; Jek327 ; 227 
 5492 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 14 ; tolegv ; 57 
 5493 ; Бона иностранная. Турция ;  ;  ;  ;  ; 12 ; Scorpionchic-sun ; 46 
 5494 ; Бона иностранная. Турция ;  ;  ;  ;  ; 16 ; vlad27 ; 101 
 5495 ; Бона иностранная. Турция ;  ;  ;  ;  ; 25 ; vlad27 ; 114 
 5396 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 23 ; СТРЕКОЗА ; 128 
 5397 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 34 ; vlad27 ; 114 
 5398 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 19 ; CASABLANCA ; 73 
 5399 ; Лот бон Индонезия, 10 шт ;  ;  ;  ;  ; 21 ; tolegv ; 227 
 5400 ; Бона иностранная. ОАЭ ;  ;  ;  ;  ; 6 ; зуммер ; 148 
 5401 ; Бона иностранная. Мексика ;  ;  ;  ;  ; 26 ; гус4 ; 173 
 5402 ; Бона иностранная. Мексика ;  ;  ;  ;  ; 44 ; diskus72 ; 208 
 5403 ; Бона иностранная. ОАЭ ;  ;  ;  ;  ; 21 ; alesjane ; 204 
 5404 ; Бона иностранная. Мальдивы ;  ;  ;  ;  ; 19 ; smel ; 452 
 5405 ; Бона иностранная. Мальдивы ;  ;  ;  ;  ; 15 ; гус4 ; 184 
 5406 ; Бона иностранная. Биафра ;  ;  ;  ;  ; 13 ; 333985 ; 90 
 5407 ; Бона иностранная. Гаити ;  ;  ;  ;  ; 16 ; Banderas ; 125 
 5408 ; Бона иностранная. Нигерия ;  ;  ;  ;  ; 20 ; vlad27 ; 90 
 5409 ; Бона иностранная. Нигерия ;  ;  ;  ;  ; 16 ; vlad27 ; 83 
 5410 ; Бона иностранная. Нигерия ;  ;  ;  ;  ; 27 ; vlad27 ; 101 
 5411 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 12 ; tolegv ; 59 
 5412 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 6 ; Scorpionchic-sun ; 50 
 5413 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 11 ; lelik13821 ; 125 
 5414 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 6 ; Scorpionchic-sun ; 50 
 5415 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 18 ; vlad27 ; 101 
 5416 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 4 ; 54заза ; 39 
 5417 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 7 ; Kadagad ; 53 
 5418 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 12 ; vlad27 ; 114 
 5419 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 11 ; Danilos ; 125 
 5420 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 18 ; дилитант ; 38 
 5421 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 11 ; Scorpionchic-sun ; 46 
 5422 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 34 ; CASABLANCA ; 73 
 5423 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 13 ; дилитант ; 87 
 5424 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 8 ; CASABLANCA ; 40 
 5425 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 8 ; Моряк-собиратель ; 101 
 5426 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 9 ; Моряк-собиратель ; 125 
 5427 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 37 ; dsp ; 193 
 5428 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 10 ; дилитант ; 62 
 5429 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 19 ; vlad27 ; 99 
 5430 ; Бона иностранная. Египет ;  ;  ;  ;  ; 15 ; Моряк-собиратель ; 123 
 5431 ; Бона иностранная. Египет ;  ;  ;  ;  ; 11 ; Scorpionchic-sun ; 30 
 5432 ; Бона иностранная. Египет ;  ;  ;  ;  ; 11 ; Scorpionchic-sun ; 30 
 5433 ; Бона иностранная. Монголия ;  ;  ;  ;  ; 8 ; 312 ; 36 
 5434 ; Бона иностранная. Монголия ;  ;  ;  ;  ; 9 ; CASABLANCA ; 37 
 5435 ; Бона иностранная. Монголия ;  ;  ;  ;  ; 31 ; CASABLANCA ; 90 
 5436 ; Бона иностранная. Монголия ;  ;  ;  ;  ; 9 ; gdrg2 ; 37 
 5437 ; Бона иностранная. Ямайка ;  ;  ;  ;  ; 19 ; vlad27 ; 79 
 5438 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 30 ; scaniawolf ; 159 
 5439 ; Бона иностранная. Ливия ;  ;  ;  ;  ; 18 ; vladmarkin ; 53 
 5440 ; Бона иностранная. Болгария ;  ;  ;  ;  ; 12 ; vlad27 ; 60 
 5441 ; Бона иностранная. Болгария ;  ;  ;  ;  ; 35 ; alesjane ; 410 
 5442 ; Бона иностранная. Болгария ;  ;  ;  ;  ; 11 ; 6x6 ; 131 
 5443 ; Бона иностранная. Болгария ;  ;  ;  ;  ; 32 ; DIMA 57 ; 101 
 5444 ; Бона иностранная. Болгария ;  ;  ;  ;  ; 23 ; vlad27 ; 73 
 5445 ; Бона иностранная. Болгария ;  ;  ;  ;  ; 16 ; 6x6 ; 101 
 5346 ; 100 крон Швеция ; 1958 ;  ;  ;  ; 62 ; tss ; 717 
 5347 ; Бона иностранная. Швеция ;  ;  ;  ;  ; 7 ; vlad27 ; 202 
 5348 ; Бона иностранная. Швеция ;  ;  ;  ;  ; 5 ; collector64 ; 50 
 5349 ; 10 крон Швеция ; 1975 ;  ;  ;  ; 16 ; vlad27 ; 79 
 5350 ; 10 крон Швеция ; 1989 ;  ;  ;  ; 17 ; vlad27 ; 81 
 5351 ; Бона иностранная Австралия ;  ;  ;  ; AU ; 48 ; Lex2000 ; 363 
 5352 ; Бона иностранная Австралия ;  ;  ;  ; AU ; 70 ; alesjane ; 803 
 5353 ; Бона иностранная Канада ; 1986 ;  ;  ; AU ; 25 ; vlad27 ; 138 
 5354 ; Бона иностранная Япония ;  ;  ;  ;  ; 37 ; Maxim914 ; 199 
 5355 ; Бона иностранная Япония ;  ;  ;  ;  ; 34 ; DATR ; 122 
 5356 ; Бона иностранная Мексика ;  ;  ;  ; AU ; 63 ; Lex2000 ; 466 
 5357 ; Бона иностранная Узбекистан ;  ;  ;  ; AU ; 17 ; Olimpia ; 69 
 5358 ; Бона иностранная Замбия ;  ;  ;  ; AU ; 28 ; alesjane ; 160 
 5359 ; Бона иностранная Замбия ;  ;  ;  ; AU ; 19 ; alesjane ; 113 
 5360 ; Бона иностранная Замбия ;  ;  ;  ; AU ; 22 ; vlad27 ; 90 
 5361 ; Бона иностранная Заир ;  ;  ;  ; AU ; 8 ; vlad77 ; 104 
 5362 ; Бона иностранная Заир ;  ;  ;  ; AU ; 28 ; vlad77 ; 226 
 5363 ; Бона иностранная Заир ;  ;  ;  ; AU ; 34 ; demodex ; 113 
 5364 ; Бона иностранная Заир ;  ;  ;  ; AU ; 42 ; vlad77 ; 150 
 5365 ; Бона иностранная Заир ;  ;  ;  ; AU ; 22 ; vlad77 ; 195 
 5366 ; Бона иностранная Заир ;  ;  ;  ; AU ; 18 ; СТРЕКОЗА ; 258 
 5367 ; Бона иностранная Заир ;  ;  ;  ; AU ; 29 ; demodex ; 83 
 5368 ; Бона иностранная Суринам ;  ;  ;  ; AU ; 37 ; СТРЕКОЗА ; 810 
 5369 ; Бона иностранная Шри-Ланка ;  ;  ;  ; AU ; 92 ; Lex2000 ; 1483 
 5370 ; Бона иностранная Мозамбик ;  ;  ;  ; AU ; 27 ; СТРЕКОЗА ; 378 
 5371 ; Бона иностранная Мозамбик ;  ;  ;  ; AU ; 26 ; vlad27 ; 101 
 5372 ; Бона иностранная Малазия ;  ;  ;  ; AU ; 25 ; Lex2000 ; 1424 
 5373 ; Бона иностранная Конго ;  ;  ;  ; AU ; 43 ; alesjane ; 376 
 5374 ; Бона иностранная Коста-Рика ;  ;  ;  ; AU ; 32 ; vlad27 ; 161 
 5375 ; Бона иностранная Бирма ;  ;  ;  ; AU ; 22 ; alesjane ; 786 
 5376 ; 100000000000000 долларов Зимбабве ;  ;  ;  ; AU ; 43 ; svv ; 1887 
 5377 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 64 ; alesjane ; 223 
 5378 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 27 ; lelik13821 ; 133 
 5379 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 46 ; СТРЕКОЗА ; 125 
 5380 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 23 ; gdrg2 ; 125 
 5381 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 13 ; lelik13821 ; 125 
 5382 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 13 ; lelik13821 ; 125 
 5383 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 25 ; vlad27 ; 77 
 5384 ; Бона иностранная Зимбабве ;  ;  ;  ; AU ; 44 ; vlad27 ; 77 
 5385 ; 20 лир Турция ; 2009 ;  ;  ; AU ; 11 ; Monata ; 383 
 5386 ; Бона иностранная Перу ; 1973 ;  ;  ; AU ; 32 ; gdrg2 ; 125 
 5387 ; Бона иностранная Нидерландские Антилы ;  ;  ;  ; AU ; 28 ; vlad27 ; 201 
 5388 ; Бона иностранная Куба ;  ;  ;  ; AU ; 16 ; Lex2000 ; 102 
 5389 ; Бона иностранная Кувейт ;  ;  ;  ; AU ; 24 ; vlad27 ; 101 
 5390 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 18 ; vlad27 ; 83 
 5391 ; Бона иностранная Мальта ; 1967 ;  ;  ; AU ; 15 ; Lex2000 ; 567 
 5392 ; Бона иностранная Мальта ; 1967 ;  ;  ;  ; 38 ; Lex2000 ; 312 
 5393 ; 100 шиллингов Австрия ; 1969 ;  ;  ;  ; 14 ; vlad27 ; 159 
 5394 ; 50 шиллингов Австрия ; 1970 ;  ;  ;  ; 19 ; diskus72 ; 101 
 5395 ; 20 шиллингов Австрия ; 1967 ;  ;  ;  ; 34 ; Jek327 ; 126 
 5296 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 14 ; gdrg2 ; 329 
 5297 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 27 ; gdrg2 ; 473 
 5298 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 12 ; lsp25 ; 213 
 5299 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 18 ; lsp25 ; 254 
 5300 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 12 ; Olimpia ; 96 
 5301 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 37 ; gdrg2 ; 453 
 5302 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 48 ; gdrg2 ; 446 
 5303 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 20 ; gdrg2 ; 247 
 5304 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 40 ; gdrg2 ; 402 
 5305 ; Лот бон 3 шт. Монголия ;  ;  ;  ; AU ; 53 ; lsp25 ; 402 
 5306 ; Лот бон 6 шт. Монголия ;  ;  ;  ;  ; 21 ; cochu ; 102 
 5307 ; Облигация Монголия ;  ;  ;  ;  ; 11 ; Враг ; 7933 
 5308 ; Облигация Монголия ;  ;  ;  ;  ; 11 ; Враг ; 7650 
 5309 ; Облигация Монголия ;  ;  ;  ;  ; 7 ; kont ; 3400 
 5310 ; Облигация Монголия ;  ;  ;  ;  ; 6 ; kont ; 466 
 5311 ; Чек Монголия ;  ;  ;  ;  ; 21 ; bva150979 ; 589 
 5312 ; Бона иностранная Мексика ;  ;  ;  ;  ; 38 ; doc2 ; 1231 
 5313 ; Бона иностранная Мексика ;  ;  ;  ;  ; 37 ; max2008 ; 332 
 5314 ; Бона иностранная Мексика ;  ;  ;  ;  ; 23 ; doc2 ; 340 
 5315 ; Бона иностранная Мексика ;  ;  ;  ;  ; 50 ; doc2 ; 591 
 5316 ; Бона иностранная Мексика ;  ;  ;  ;  ; 17 ; smel ; 394 
 5317 ; Бона иностранная Мексика ;  ;  ;  ;  ; 26 ; vlad27 ; 166 
 5318 ; Бона иностранная Мексика ;  ;  ;  ;  ; 11 ; doc2 ; 340 
 5319 ; Бона иностранная Мексика ;  ;  ;  ;  ; 17 ; doc2 ; 258 
 5320 ; 1 перпер Черногория ;  ;  ;  ;  ; 28 ; gorbi ; 509 
 5321 ; 5 перпер Черногория ;  ;  ;  ;  ; 38 ; Torro ; 1747 
 5322 ; 5 перпер Черногория ;  ;  ;  ;  ; 123 ; vasek ; 1587 
 5323 ; 10 динар Сербия ; 1893 ;  ;  ;  ; 69 ; air ; 3264 
 5324 ; 1000 динар Югославия ; 1931 ;  ;  ;  ; 35 ; нумизмат ; 373 
 5325 ; 100 динар Югославия ; 1929 ;  ;  ;  ; 30 ; нумизмат ; 258 
 5326 ; 1000 кун Хорватия ; 1943 ;  ;  ;  ; 47 ; xxxl ; 312 
 5327 ; 1000 кун Хорватия ; 1941 ;  ;  ;  ; 41 ; vlad27 ; 227 
 5328 ; Бона иностранная Македония ; 1992 ;  ;  ; AU ; 48 ; Scorpionchic-sun ; 125 
 5329 ; Бона иностранная Македония ; 1992 ;  ;  ; AU ; 45 ; Scorpionchic-sun ; 125 
 5330 ; Бона иностранная Македония ; 1992 ;  ;  ; AU ; 32 ; Scorpionchic-sun ; 104 
 5331 ; Бона иностранная Македония ; 1992 ;  ;  ; AU ; 53 ; Scorpionchic-sun ; 230 
 5332 ; Бона иностранная Македония ; 2009 ;  ;  ;  ; 27 ; Helssten ; 457 
 5333 ; Бона иностранная Македония ; 2009 ;  ;  ;  ; 15 ; Helssten ; 958 
 5334 ; Бона иностранная Югославия ; 1994 ;  ;  ; AU ; 43 ; vlad27 ; 108 
 5335 ; Бона иностранная Югославия ; 1991 ;  ;  ; AU ; 23 ; vlad27 ; 101 
 5336 ; Бона иностранная Югославия ; 1991 ;  ;  ; AU ; 20 ; vlad27 ; 90 
 5337 ; Бона иностранная Югославия ; 1987 ;  ;  ;  ; 7 ; gdrg2 ; 42 
 5338 ; 50000 лир Италия ; 1992 ;  ;  ;  ; 16 ; Lex2000 ; 680 
 5339 ; 100000 лир Италия ; 1994 ;  ;  ;  ; 31 ; Lex2000 ; 907 
 5340 ; 10000 лир Италия ; 1976 ;  ;  ; XF+ ; 35 ; Lex2000 ; 616 
 5341 ; 10 лир Италия ; 1944 ;  ;  ;  ; 32 ; diskus72 ; 245 
 5342 ; 50000 лир Италия ; 1977 ;  ;  ;  ; 35 ; vlkorchev ; 1019 
 5343 ; 10 шиллингов Великобритания ;  ;  ;  ; AU ; 93 ; Lex2000 ; 1785 
 5344 ; 50 песет Испания ; 1928 ;  ;  ;  ; 41 ; xxxl ; 122 
 5345 ; 100 песет Испания ; 1925 ;  ;  ;  ; 15 ; Maxim914 ; 163 
 5246 ; Бумага ценная Германия ; 1942 ;  ;  ;  ; 6 ; vladmarkin ; 101 
 5247 ; Бумага ценная Германия ; 1942 ;  ;  ;  ; 8 ; vladmarkin ; 102 
 5248 ; Акция. Германия ;  ;  ;  ;  ; 5 ; vladmarkin ; 101 
 5249 ; Акция. Германия ;  ;  ;  ;  ; 5 ; vladmarkin ; 101 
 5250 ; Акция. Германия ;  ;  ;  ;  ; 5 ; 2128508 ; 110 
 5251 ; Акция. Германия ;  ;  ;  ;  ; 6 ; vladmarkin ; 101 
 5252 ; Акция. Германия ;  ;  ;  ;  ; 6 ; vladmarkin ; 101 
 5253 ; Акция. Германия ;  ;  ;  ;  ; 6 ; зуммер ; 99 
 5254 ; Акция. Германия ;  ;  ;  ;  ; 7 ; зуммер ; 99 
 5255 ; Акция. Германия ;  ;  ;  ;  ; 7 ; 2128508 ; 110 
 5256 ; Акция. Германия ;  ;  ;  ;  ; 6 ; зуммер ; 99 
 5257 ; Акция. Германия ;  ;  ;  ;  ; 6 ; зуммер ; 99 
 5258 ; Акция. Германия ;  ;  ;  ;  ; 5 ; зуммер ; 99 
 5259 ; Акция. Германия ;  ;  ;  ;  ; 6 ; зуммер ; 99 
 5260 ; Акция. Германия ;  ;  ;  ;  ; 6 ; зуммер ; 99 
 5261 ; Акция. Германия ;  ;  ;  ;  ; 7 ; зуммер ; 99 
 5262 ; Акция. Германия ;  ;  ;  ;  ; 6 ; зуммер ; 99 
 5263 ; Акция. Германия ;  ;  ;  ;  ; 6 ; зуммер ; 99 
 5264 ; Бона иностранная. Франция ;  ;  ;  ;  ; 12 ; Elephant ; 356 
 5265 ; Бона иностранная. Франция ;  ;  ;  ;  ; 15 ; 333985 ; 349 
 5266 ; Бона иностранная Китай ; 1942 ;  ;  ;  ; 112 ; прохожий ; 3334 
 5267 ; Бона иностранная Китай ;  ;  ;  ;  ; 44 ; Monata ; 550 
 5268 ; Бона иностранная Китай ; 1941 ;  ;  ;  ; 59 ; Monata ; 785 
 5269 ; Бона иностранная Китай ; 1941 ;  ;  ;  ; 88 ; прохожий ; 2243 
 5270 ; Бона иностранная Китай ; 1941 ;  ;  ;  ; 80 ; прохожий ; 1372 
 5271 ; Бона иностранная Китай ; 1941 ;  ;  ;  ; 66 ; 5639 ; 2184 
 5272 ; Бона иностранная Китай ; 1935 ;  ;  ;  ; 65 ; lsp25 ; 1181 
 5273 ; Бона иностранная Китай ; 1941 ;  ;  ;  ; 40 ; прохожий ; 1230 
 5274 ; Бона иностранная Китай ; 1914 ;  ;  ;  ; 46 ; прохожий ; 1065 
 5275 ; Бона иностранная Китай ;  ;  ;  ;  ; 69 ; Olimpia ; 977 
 5276 ; Бона иностранная Китай ;  ;  ;  ;  ; 57 ; 5639 ; 702 
 5277 ; Бона иностранная Китай ;  ;  ;  ;  ; 32 ; Monata ; 414 
 5278 ; Бона иностранная Китай ; 1943 ;  ;  ;  ; 19 ; Olimpia ; 414 
 5279 ; Бона иностранная Китай ; 1943 ;  ;  ;  ; 20 ; Olimpia ; 414 
 5280 ; Бона иностранная Китай ; 1945 ;  ;  ;  ; 37 ; Olimpia ; 691 
 5281 ; Бона иностранная Китай ; 1944 ;  ;  ;  ; 16 ; Olimpia ; 414 
 5282 ; Бона иностранная Китай ; 1940 ;  ;  ;  ; 28 ; прохожий ; 691 
 5283 ; Бона иностранная Китай ; 1940 ;  ;  ;  ; 29 ; lsp25 ; 556 
 5284 ; Бона иностранная Китай ; 1937 ;  ;  ;  ; 18 ; vlad27 ; 191 
 5285 ; Бона иностранная Китай ; 1941 ;  ;  ;  ; 52 ; 5639 ; 834 
 5286 ; Бона иностранная Китай ;  ;  ;  ;  ; 26 ; Monata ; 711 
 5287 ; Бона иностранная Китай ; 1923 ;  ;  ;  ; 45 ; штурман ; 1181 
 5288 ; Бона иностранная Китай ; 1943 ;  ;  ;  ; 30 ; lsp25 ; 352 
 5289 ; Бона иностранная Китай ;  ;  ;  ;  ; 35 ; прохожий ; 873 
 5290 ; Бона иностранная Китай ;  ;  ;  ;  ; 42 ; Olimpia ; 363 
 5291 ; Бона иностранная Оккупация Китая ;  ;  ;  ;  ; 40 ; Torro ; 1326 
 5292 ; Бона иностранная Монголия ;  ;  ;  ;  ; 15 ; alesjane ; 600 
 5293 ; Бона иностранная Монголия ;  ;  ;  ;  ; 31 ; alesjane ; 771 
 5294 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 26 ; gdrg2 ; 480 
 5295 ; Бона иностранная Монголия ;  ;  ;  ; AU ; 21 ; gdrg2 ; 398 
