 251 ; Полушка ; 1850 ; ЕМ ; Cu ; XF ; 27 ; sax ; 3400 
 192 ; Медаль. Первый консул Наполеон Бонапарт. Национальная колонна Вандомской площади. 1800г. Франция. D-55мм ;  ;  ; Br ; XF ; 7 ; Kartu ; 3600 
 193 ; Медаль. Первый консул Наполеон Бонапарт. Люневильский мир. 1801г. Франция. D-55мм ;  ;  ; Br ; XF ; 8 ; sm-dc ; 5100 
 194 ; Памятная медаль. Император Наполеон Бонапарт. 1816г. Франция. D-76мм ;  ;  ; Br ; XF ; 18 ; sm-dc ; 8000 
 195 ; Памятная медаль. Император Наполеон Бонапарт. 1830г. Франция. D-53мм ;  ;  ; Cu ; XF+ ; 14 ; sm-dc ; 5000 
 196 ; Памятная медаль. Император Наполеон Бонапарт. 1834г. Франция. D-51мм ;  ;  ; Br ; XF ; 9 ; Ssdd4c ; 3800 
 197 ; Памятная медаль. Наполеон l Император. 1838г. Франция. D-52мм ;  ;  ; Br ; XF ; 10 ; sm-dc ; 4080 
 198 ; Памятная медаль. Император Наполеон Бонапарт. 1840г. Франция. D-53мм ;  ;  ; Cu ; XF+ ; 22 ; Mapина ; 6250 
 199 ; Памятная медаль. Император Наполеон Бонапарт. 1840г. Франция. D-52мм ;  ;  ; Cu ; XF ; 23 ; Mapина ; 6250 
 200 ; Памятная медаль. Император Наполеон Бонапарт. 1840г. Франция. D-52мм ;  ;  ; Cu ; XF+ ; 17 ; а1945 ; 5500 
 101 ; 10 копеек ; 1815 ; СПБ МФ ; Ag ; XF ; 7 ; Продано в зале ; 1400 
 102 ; 10 копеек ; 1816 ; СПБ ПС ; Ag ; XF+ ; 23 ; sdv75-2010 ; 5500 
 103 ; 10 копеек ; 1827 ; СПБ НГ ; Ag ; XF+ ; 59 ; обморок ; 8500 
 104 ; 10 копеек ; 1842 ; СПБ АЧ ; Ag ; XF ; 34 ; Продано в зале ; 8000 
 105 ; 10 копеек ; 1844 ; СПБ КБ ; Ag ; AU ; 27 ; papinazu ; 14000 
 106 ; 10 копеек ; 1846 ; СПБ ПА ; Ag ; XF+ ; 30 ; Продано в зале ; 9500 
 107 ; 10 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 42 ; Продано в зале ; 9500 
 108 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 24 ; I3 ; 2800 
 109 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 29 ; Продано в зале ; 6000 
 110 ; 10 копеек ; 1880 ; СПБ НФ ; Ag ; XF+ ; 44 ; Продано в зале ; 6000 
 111 ; 10 копеек. В капсуле NGC ; 1882 ; СПБ НФ ; Ag ;  ; 28 ; Продано в зале ; 21000 
 112 ; 10 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 50 ; tisa66 ; 7500 
 113 ; 10 копеек. В капсуле NGC ; 1889 ; СПБ АГ ; Ag ;  ; 23 ; Акоп ; 15000 
 114 ; 5 копеек ; 1756 ; СПБ ; Ag ; XF ; 11 ; icebreaker ; 4083 
 115 ; 5 копеек ; 1761 ; СПБ ; Ag ; VF+ ; 25 ; Продано в зале ; 3400 
 116 ; 5 копеек ; 1837 ; СПБ НГ ; Ag ; XF+ ; 17 ; I3 ; 3600 
 117 ; 5 копеек ; 1837 ; СПБ НГ ; Ag ; AU ; 25 ; I3 ; 6250 
 118 ; 5 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 43 ; papinazu ; 5514 
 119 ; 5 копеек. В капсуле NGC ; 1862 ; СПБ МИ ; Ag ;  ; 22 ; Продано в зале ; 6500 
 120 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 16 ; I3 ; 4800 
 121 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; XF+ ; 12 ; I3 ; 4000 
 122 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; XF+ ; 15 ; Продано в зале ; 2800 
 123 ; 5 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 29 ; I3 ; 15000 
 124 ; 5 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 28 ; I3 ; 11500 
 125 ; 5 копеек. В капсуле NGC ; 1881 ; СПБ НФ ; Ag ;  ; 20 ; I3 ; 8000 
 126 ; 5 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 9 ; спарта ; 2126 
 127 ; Алтын. В капсуле NGC ; 1704 ; БК ; Ag ;  ; 0 ; Не продан ; 0 
 128 ; Алтын ; 1712 ;  ; Ag ; VF ; 39 ; Продано в зале ; 34000 
 129 ; 96 копеек (Петров-6р, Ильин-6р) ; 1757 ; Ливонез ; Ag ; VF+ ; 0 ; Не продан ; 0 
 130 ; 48 копеек ; 1757 ; Ливонез ; Ag ; VF ; 0 ; Не продан ; 0 
 131 ; 4 копейки ; 1757 ; Ливонез ; Ag ; VF+ ; 0 ; Не продан ; 0 
 132 ; 2 злотых ; 1824 ; IB Польша ; Ag ; XF ; 0 ; Не продан ; 0 
 133 ; 1 злотый ; 1818 ; IB Польша ; Ag ; XF ; 0 ; Не продан ; 0 
 134 ; Абаз ; 1807 ; АК Грузия ; Ag ; VF ; 0 ; Не продан ; 0 
 135 ; Полуабаз. В капсуле NGC ; 1826 ; АТ Грузия ; Ag ;  ; 0 ; Не продан ; 0 
 136 ; Полуабаз ; 1827 ; АТ Грузия ; Ag ; XF ; 0 ; Не продан ; 0 
 137 ; 10 копеек (Петров-6р, Ильин-3р) ; 1766 ; "Сибирь" ; Cu ; F-VF ; 0 ; Не продан ; 0 
 138 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; XF- ; 19 ; nu na ; 12100 
 139 ; 5 копеек (Петров-12р, Ильин-5р) ; 1730 ; ДМ ; Cu ; VF- ; 18 ; Продано в зале ; 23000 
 140 ; 5 копеек ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 0 ; Продано в зале ; 5000 
 141 ; 5 копеек. Герб- (1763-1967) редкая ; 1770 ; ЕМ ; Cu ; VF- ; 0 ; Не продан ; 0 
 142 ; 5 копеек (Петров-9р, Ильин-10р) ; 1787 ; ТМ ; Cu ; F-VF ; 3 ; Почтальон 2 ; 25900 
 143 ; 5 копеек (Петров-10р, Ильин-10р) ; 1788 ; ТМ ; Cu ; F-VF ; 0 ; Не продан ; 0 
 144 ; 5 копеек ; 1831 ; СМ ; Cu ; XF ; 0 ; Не продан ; 0 
 145 ; 3 копейки ; 1842 ; ЕМ ; Cu ; XF ; 0 ; Не продан ; 0 
 146 ; 3 копейки ; 1847 ; СМ ; Cu ; VF- ; 27 ; velisarit ; 6750 
 147 ; 2 копейки ; 1765 ; СПМ ; Cu ; F-VF ; 21 ; Продано в зале ; 2600 
 148 ; 2 копейки ; 1793 ; ЕМ Павл. перечекан ; Cu ; VF+ ; 28 ; Продано в зале ; 9500 
 149 ; 2 копейки ; 1797 ; ЕМ ; Cu ; VF-XF ; 1 ; Денис Дыркин ; 1000 
 150 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF+ ; 35 ; Sky2 ; 12439 
 51 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; XF- ; 13 ; Продано в зале ; 18500 
 52 ; Рубль (Ильин-5р) ; 1766 ; СПБ АШ ; Ag ; XF ; 0 ; Не продан ; 0 
 53 ; Рубль (Петров-12р, Ильин-8р) ; 1796 ; БМ ; Ag ; VF-XF ; 47 ; Продано в зале ; 700000 
 54 ; Рубль ; 1822 ; СПБ ПД ; Ag ; XF+ ; 27 ; tisa66 ; 15300 
 55 ; Рубль ; 1826 ; СПБ НГ ; Ag ; XF+ ; 0 ; Не продан ; 0 
 56 ; Рубль ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 25 ; Sky2 ; 10000 
 57 ; Рубль ; 1832 ; СПБ НГ ; Ag ; XF ; 0 ; Не продан ; 0 
 58 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF ; 0 ; Не продан ; 0 
 59 ; Рубль (Ильин-4р). В капсуле NGC ; 1837 ; СПБ НГ ; Ag ;  ; 0 ; Не продан ; 0 
 60 ; Рубль ; 1844 ; MW ; Ag ; XF ; 0 ; Не продан ; 0 
 61 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF+ ; 0 ; Не продан ; 0 
 62 ; Рубль ; 1852 ; СПБ ПА ; Ag ; XF ; 0 ; Не продан ; 0 
 63 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; AU ; 0 ; Не продан ; 0 
 64 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF ; 0 ; Не продан ; 0 
 65 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF- ; 5 ; Продано в зале ; 55000 
 66 ; Рубль ; 1875 ; СПБ HI ; Ag ; XF/AU ; 0 ; Не продан ; 0 
 67 ; Рубль ; 1876 ; СПБ HI ; Ag ; XF- ; 0 ; Не продан ; 0 
 68 ; Рубль ; 1885 ; СПБ АГ ; Ag ; XF- ; 8 ; ААФ ; 17858 
 69 ; Рубль ; 1886 ; (АГ) ; Ag ; XF ; 0 ; Не продан ; 0 
 70 ; Рубль ; 1896 ; (АГ) ; Ag ; XF ; 20 ; 333985 ; 12592 
 71 ; Рубль ; 1898 ; (АГ) ; Ag ; XF ; 15 ; Продано в зале ; 7500 
 72 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF+ ; 13 ; tisa66 ; 11526 
 73 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF ; 17 ; Продано в зале ; 7000 
 74 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF+ ; 11 ; gelo ; 91896 
 75 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF ; 0 ; Не продан ; 0 
 76 ; Рубль ; 1913 ; (ЭБ) ; Ag ; AU ; 0 ; Не продан ; 0 
 77 ; Рубль ; 1915 ; (ВС) ; Ag ; XF+ ; 0 ; Не продан ; 0 
 78 ; Рубль ; 1915 ; (ВС) ; Ag ; XF- ; 1 ; Почтальон 2 ; 40000 
 79 ; Полтина ; 1704 ; МД ; Ag ; XF ; 0 ; Не продан ; 0 
 80 ; Полтина ; 1733 ;  ; Ag ; VF-XF ; 5 ; Продано в зале ; 24000 
 81 ; Полтина ; 1863 ; СПБ АБ ; Ag ; XF- ; 1 ; eastern wind ; 60000 
 82 ; Полтина ; 1886 ; (АГ) ; Ag ; UNC ; 0 ; Не продан ; 0 
 83 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; AU ; 3 ; Продано в зале ; 11000 
 84 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF+ ; 24 ; papinazu ; 11333 
 85 ; 25 копеек (Петров-6р, Ильин-6р) ; 1841 ; СПБ НГ ; Ag ; VF+ ; 0 ; Не продан ; 0 
 86 ; 25 копеек ; 1846 ; СПБ ПА ; Ag ; XF+ ; 20 ; Продано в зале ; 9000 
 87 ; 25 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 42 ; papinazu ; 16000 
 88 ; 25 копеек ; 1851 ; СПБ ПА ; Ag ; XF+ ; 31 ; papinazu ; 5750 
 89 ; 25 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 30 ; Продано в зале ; 9000 
 90 ; 25 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 31 ; Продано в зале ; 8500 
 91 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 60 ; grut ; 11000 
 92 ; 25 копеек ; 1890 ; (АГ) АГ ; Ag ; XF ; 0 ; Не продан ; 0 
 93 ; 25 копеек ; 1893 ; (АГ) АГ ; Ag ; XF ; 41 ; papinazu ; 25508 
 94 ; 20 копеек. В капсуле NGC ; 1878 ; СПБ НФ ; Ag ;  ; 3 ; Продано в зале ; 5500 
 95 ; 15 копеек ; 1770 ; ММД ; Ag ; XF ; 8 ; Продано в зале ; 15000 
 96 ; 15 копеек. В капсуле NGC ; 1873 ; СПБ HI ; Ag ;  ; 30 ; Продано в зале ; 10000 
 97 ; 15 копеек ; 1888 ; СПБ АГ ; Ag ; XF ; 0 ; Не продан ; 0 
 98 ; Гривенник (Петров-6р) ; 1704 ; М ; Ag ; VF+ ; 0 ; Не продан ; 0 
 99 ; Гривенник ; 1756 ; МБ ; Ag ; XF ; 1 ; Почтальон 2 ; 15000 
 100 ; Гривенник ; 1769 ; СПБ TI ; Ag ; VF-XF ; 0 ; Не продан ; 0 
 1 ; 10 рублей. М-12,9г ; 1776 ; СПБ ТI ; Au ; VF-XF ; 0 ; Продано в зале ; 350000 
 2 ; 10 рублей. М-8,59г ; 1910 ; (ЭБ) АГ ; Au ; XF+ ; 1 ; Почтальон 2 ; 95000 
 3 ; 10 рублей. М-8,56г ; 1911 ; (ЭБ) АГ ; Au ; XF ; 0 ; Не продан ; 0 
 4 ; 7руб.50 коп. М-6,44г ; 1897 ; (АГ) ; Au ; XF+ ; 3 ; Акоп ; 36000 
 5 ; 7руб.50 коп. М-6,43г ; 1897 ; (АГ) ; Au ; XF- ; 0 ; Не продан ; 0 
 6 ; 7руб.50 коп. М-6,44г ; 1897 ; (АГ) ; Au ; XF- ; 4 ; Почтальон 2 ; 36900 
 7 ; 5 рублей. М-6,37г ; 1829 ; СПБ ПД ; Au ; XF ; 3 ; Продано в зале ; 63000 
 8 ; 5 рублей. М-6,51г ; 1831 ; СПБ ПД ; Au ; AU ; 0 ; Не продан ; 0 
 9 ; 5 рублей. М - 6,59 г ; 1832 ; СПБ ПД ; Au ; XF+ ; 0 ; Не продан ; 0 
 10 ; 5 рублей. В капсуле NGC ; 1835 ; СПБ ПД ; Au ;  ; 0 ; Не продан ; 0 
