 251 ; Медаль. Майя Плисецкая. " D - 40mm ;  ;  ; Ag ; AU ; 35 ; Karhu ; 9000 
 68 ; Рубль ; 1892 ; (АГ) ; Ag ; XF+ ; 0 ; Не продан ; 0 
 69 ; Рубль ; 1907 ; (ЭБ) ; Ag ; VF-XF ; 0 ; Не продан ; 0 
 70 ; Рубль ; 1907 ; (ЭБ) ; Ag ; VF-XF ; 0 ; Не продан ; 0 
 71 ; Рубль. В капсуле NGC MS 62 ; 1907 ; (ЭБ) ; Ag ;  ; 0 ; Не продан ; 0 
 72 ; Рубль ; 1909 ; (ЭБ) ; Ag ; XF- ; 26 ; swoon ; 24000 
 73 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 1 ; prince1959 ; 15000 
 74 ; Рубль. В капсуле NGC MS 62 ; 1912 ; (ЭБ) ; Ag ;  ; 0 ; Не продан ; 0 
 75 ; Рубль ; 1914 ; (ВС) ; Ag ; XF ; 2 ; Продано в зале ; 34000 
 76 ; Полтина ; 1732 ;  ; Ag ; AU ; 14 ; Продано в зале ; 145000 
 77 ; Полтина ; 1738 ; СПБ ; Ag ; XF ; 3 ; Продано в зале ; 56000 
 78 ; Полтина (Ильин - 15 руб) ; 1877 ; СПБ HI ; Ag ; VF+ ; 0 ; Не продан ; 0 
 79 ; Полтина В капсуле NGC MS 61 ; 1897 ; ( * ) ; Ag ;  ; 0 ; Не продан ; 0 
 80 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; XF+ ; 20 ; Продано в зале ; 23000 
 81 ; 25 копеек В капсуле NGC MS 62 ; 1892 ; (АГ) АГ ; Ag ;  ; 0 ; Не продан ; 0 
 82 ; 20 копеек. В капсуле Конрос. AU50 ; 1823 ; СПБ ПД ; Ag ;  ; 1 ; нумизмат ; 6000 
 83 ; 20 копеек ; 1832 ; СПБ НГ ; Ag ; XF ; 0 ; Продано в зале ; 60000 
 84 ; 20 копеек ; 1908 ; СПБ ЭБ ; Ag ; AU ; 1 ; cr4068 ; 5000 
 85 ; 20 копеек (Пробная) ; 1911 ; ЭБ Пробная. Год в надписи ; Cu-Ni ; AU ; 1 ; Продано в зале ; 180000 
 86 ; Гривенник ; 1731 ;  ; Ag ; F-VF ; 0 ; Продано в зале ; 42000 
 87 ; Гривенник ; 1732 ;  ; Ag ; VF- ; 0 ; Продано в зале ; 26000 
 88 ; Гривенник ; 1733 ;  ; Ag ; VF-XF/VF+ ; 0 ; Не продан ; 0 
 89 ; Гривна (Петров-5р, Ильин-4р) ; 1741 ; ММД ; Ag ; AU ; 0 ; Не продан ; 0 
 90 ; 10 копеек ; 1798 ; СМ МБ ; Ag ; VF+ ; 1 ; СВИ ; 20000 
 91 ; 5 копеек. Гурт - шнур ; 1796 ; ЕМ Павл.перечек ; Cu ; VF- ; 23 ; Продано в зале ; 40000 
 92 ; 2 копейки. Гуртовая надпись - Москва ; 1758 ; Гурт надп. МОСКВА ; Cu ; VF- ; 26 ; Продано в зале ; 40000 
 93 ; 2 копейки. В капсуле PCGS. SP65BN ; 1849 ; С.П.М. Пробная ; Cu ;  ; 12 ; Продано в зале ; 74000 
 94 ; Денга. Новодел ; 1761 ; Новодел ;  ; XF+ ; 0 ; Не продан ; 0 
 95 ; 1/2 талера. Для княжества Йевер ; 1798 ; для княжества йевер ; Ag ; XF+ ; 37 ; нумизмат ; 68979 
 96 ; 2 марки ; 1865 ; S Финляндия ; Ag ; AU ; 0 ; Продано в зале ; 42000 
 97 ; 2 марки ; 1874 ; S Финляндия ; Ag ; AU ; 0 ; Не продан ; 0 
 98 ; 10 пенни ; 1912 ; Финляндия ; Cu ; AU ; 0 ; Не продан ; 0 
 99 ; 5 пенни ; 1905 ; Финляндия ; Cu ; AU ; 0 ; Не продан ; 0 
 100 ; Бисти ; 1810 ; Грузия ; Cu ; VF ; 0 ; Не продан ; 0 
 1 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 2 ; 10 рублей. М - 13,04г ; 1766 ; СПБ ТI ; Au ; VF-XF ; 5 ; nikolas1957 ; 158100 
 3 ; 10 рублей. М - 13,08г ; 1772 ; СПБ ТI ; Au ; XF- ; 9 ; nikolas1957 ; 168300 
 4 ; 10 рублей. М - 11,96г Реставрация ; 1774 ; СПБ ТI ; Au ; VF- ; 0 ; Не продан ; 0 
 5 ; 5 рублей. М-6,51г ; 1764 ; СПБ ; Au ; VF-XF ; 25 ; нумизмат ; 146772 
 6 ; 5 рублей. М - 5,98г. Затёртость гурта по всей окружности. Реставрация ; 1801 ; СМ  АИ ; Au ; VF- ; 0 ; Продано в зале ; 100000 
 7 ; 25 злотых. В капсуле NGC. VF35 ; 1817 ; IB Польша ; Au ;  ; 13 ; ZOLTAN333 ; 75534 
 8 ; 5 рублей. М-6,58г ; 1829 ; СПБ ПД ; Au ; XF ; 1 ; 333985 ; 80000 
 9 ; 5 рублей. М - 6,54г ; 1830 ; СПБ ПД ; Au ; VF-XF ; 1 ; papinazu ; 50000 
 10 ; 5 рублей. М - 6,54г ; 1841 ; СПБ АЧ ; Au ; XF+ ; 12 ; Продано в зале ; 51000 
 11 ; 5 рублей. М - 6,5г ; 1847 ; СПБ АГ ; Au ; XF+ ; 2 ; konoval333 ; 45900 
 12 ; 5 рублей. М - 6,53г ; 1852 ; СПБ АГ ; Au ; AU ; 10 ; papinazu ; 58587 
 13 ; 5 рублей. М - 6,53г ; 1853 ; СПБ АГ ; Au ; XF+ ; 0 ; Не продан ; 0 
 14 ; 5 рублей. М - 6,55г ; 1877 ; СПБ НI ; Au ; AU ; 13 ; cr4068 ; 62175 
 15 ; 5 рублей. Старый орел. Ильин - 15 р. М-6,54г ; 1884 ; СПБ АГ ; Au ; XF+ ; 1 ; Victory-2001 ; 160000 
 16 ; 10 рублей. М - 12,88г ; 1894 ; (АГ) АГ ; Au ; XF ; 0 ; Не продан ; 0 
 17 ; 5 рублей. М-6,425г ; 1889 ; (АГ) Борода короче ; Au ; XF ; 1 ; Victory-2001 ; 38000 
 18 ; 15 рублей. В капсуле NGC. AU58 ; 1897 ; (АГ) За обрез шеи заходит "СС" ; Au ;  ; 3 ; cr4068 ; 43067 
 19 ; 15 рублей. В капсуле NGC. AU55 ; 1897 ; (АГ) За обрез шеи заходит "ОСС" ; Au ;  ; 0 ; Не продан ; 0 
 20 ; 10 рублей. В капсуле NGC. AU58 ; 1911 ; (ЭБ) АГ ; Au ;  ; 0 ; Не продан ; 0 
 21 ; 5 рублей. Голова шире. М - 4,305г ; 1897 ; (АГ) ; Au ; AU ; 3 ; ptv ; 13300 
 22 ; 5 рублей. Голова шире.  М - 4,29г ; 1898 ; (АГ) ; Au ; AU ; 3 ; ptv ; 13526 
 23 ; 5 рублей. Портрет - 1909 г. М - 4,29г ; 1899 ; (ЭБ) ; Au ; AU ; 0 ; Не продан ; 0 
 24 ; 5 рублей. Голова шире.  М - 4,29г ; 1899 ; (ЭБ) ; Au ; AU ; 1 ; sherst1 ; 13000 
 25 ; 5 рублей. М - 4,29г ; 1902 ; (АР) ; Au ; AU ; 2 ; sherst1 ; 13260 
 26 ; 5 рублей. М - 4,29г ; 1904 ; (АР) ; Au ; AU ; 0 ; Не продан ; 0 
 27 ; Рубль ; 1720 ;  ; Ag ; XF ; 3 ; Продано в зале ; 105000 
 28 ; Рубль ; 1723 ; ОК ; Ag ; VF+ ; 1 ; papinazu ; 50000 
 29 ; Рубль ; 1724 ;  ; Ag ; XF+ ; 0 ; Не продан ; 0 
 30 ; Рубль ; 1725 ; СПБ ; Ag ; VF+/VF-XF ; 0 ; Не продан ; 0 
 31 ; Рубль ; 1727 ;  ; Ag ; VF+/VF-XF ; 0 ; Не продан ; 0 
