 201 ; Георгиевский крест IV ст. №173822. Р-ры: 34 на 34мм ; 1914-1915 ;  ; Ag ; XF- ; 18 ; МихАрк ; 22000 
 151 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; AU ; 31 ; Продано в зале ; 26000 
 152 ; 5 копеек. Кымское ханство. Шахин-Гирей (5 год правления) ; 1777 ;  ; Cu ; VF ; 21 ; Продано в зале ; 6500 
 153 ; 5 копеек ; 1784 ; КМ ; Cu ; XF- ; 7 ; Продано в зале ; 5000 
 154 ; 5 копеек ; 1790 ; КМ ; Cu ; XF+ ; 29 ; Продано в зале ; 10000 
 155 ; 5 копеек ; 1791 ; Е:М: Павл.перечекан ; Cu ; VF+ ; 39 ; Продано в зале ; 38000 
 156 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 17 ; Продано в зале ; 7000 
 157 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 27 ; золотник ; 80000 
 158 ; 5 копеек ; 1793 ; КМ ; Cu ; XF ; 14 ; Продано в зале ; 6000 
 159 ; 5 копеек (Петров-10р, Ильин-5р) ; 1794 ; ЕМ Павл.перечекан ; Cu ; F-VF ; 43 ; Продано в зале ; 26000 
 160 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF-XF ; 78 ; Продано в зале ; 42000 
 161 ; 5 копеек ; 1858 ; ЕМ ; Cu ; AU/XF ; 28 ; Продано в зале ; 14000 
 162 ; 5 копеек ; 1867 ; СПБ ; Cu ; VF+ ; 29 ; ksv11 ; 5916 
 163 ; 4 копейки ; 1762 ;  ; Cu ; VF+ ; 39 ; Продано в зале ; 22000 
 164 ; 2 копейки ; 1761 ;  ; Cu ; VF+ ; 19 ; OMT ; 4200 
 165 ; 2 копейки. М-17,93 ; 1777 ; КМ "Сибирь" ; Cu ; VF ; 22 ; Продано в зале ; 1300 
 166 ; 2 копейки (Петров-5р, Ильин-10р) ; 1791 ; АМ ; Cu ; VF+ ; 27 ; Продано в зале ; 22000 
 167 ; 2 копейки (Петров-20р, Ильин-10р) ; 1795 ; АМ ; Cu ; XF- ; 23 ; золотник ; 46920 
 168 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; VF+ ; 41 ; ravs ; 8512 
 169 ; 2 копейки ; 1797 ; КМ ; Cu ; VF+ ; 11 ; Sky2 ; 614 
 170 ; 2 копейки ; 1799 ; КМ ; Cu ; VF+ ; 15 ; ravs ; 1008 
 171 ; 2 копейки ; 1800 ; КМ ; Cu ; VF+ ; 23 ; icebreaker ; 2525 
 172 ; 2 копейки ; 1801 ; КМ ; Cu ; VF+ ; 7 ; ravs ; 1259 
 173 ; 2 копейки. EW ; 1839 ; ЕМ НА ; Cu ; VF- ; 29 ; Продано в зале ; 10000 
 174 ; Копейка (Ильин-3р) ; 1707 ; БК ; Cu ; VF ; 20 ; Продано в зале ; 9000 
 175 ; Копейка ; 1708 ; МД ; Cu ; VF+ ; 11 ; Продано в зале ; 6500 
 176 ; Копейка (Петров-10р, Ильин-5р) ; 1709 ; БК ; Cu ; VF ; 9 ; Продано в зале ; 9000 
 177 ; Копейка ; 1710 ; МД ; Cu ; VF-XF ; 15 ; Продано в зале ; 3200 
 178 ; Копейка ; 1712 ; ·Б· К· ; Cu ; VF ; 21 ; Продано в зале ; 1700 
 179 ; Копейка ; 1712 ; ·Б·К· ; Cu ; VF-XF ; 101 ; monos72 ; 20944 
 180 ; Копейка (Петров-1р) ; 1713 ; М Д ; Cu ; VF+ ; 27 ; Продано в зале ; 2200 
 181 ; Копейка (Петров-1р) ; 1713 ; НД ; Cu ; VF+ ; 22 ; Продано в зале ; 4200 
 182 ; Копейка ; 1714 ; НД ; Cu ; VF-XF ; 23 ; Продано в зале ; 3200 
 183 ; Копейка (Петров-1,5р, Ильин-1р) ; 1716 ; МД ; Cu ; VF+ ; 75 ; Продано в зале ; 3400 
 184 ; Копейка ; 1755 ; СПБ ; Cu ; XF- ; 23 ; Продано в зале ; 25000 
 185 ; Копейка. Перечекан на шведской монете ; 1757 ;  ; Cu ; VF+ ; 33 ; Продано в зале ; 25000 
 186 ; Копейка ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 15 ; SSK ; 900 
 187 ; Копейка ; 1847 ; СМ ; Cu ; VF+ ; 44 ; Продано в зале ; 3200 
 188 ; Денга ; 1707 ;  ; Cu ; VF ; 35 ; Продано в зале ; 1700 
 189 ; 1/2 копейки ; 1887 ; СПБ ; Cu ; XF+ ; 15 ; Продано в зале ; 2600 
 190 ; Полушка ; 1707 ;  ; Cu ; VF+ ; 31 ; ВЭБ! ; 9180 
 191 ; Полушка ; 1740 ; Орёл 1730 г. ; Cu ; XF ; 61 ; Продано в зале ; 18000 
 192 ; Полушка ; 1750 ; Орёл 1748 г. ; Cu ; VF+ ; 16 ; skar ; 5000 
 193 ; Полушка (Петров-1,25р) ; 1768 ; КМ "Сибирь" ; Cu ; VF+ ; 25 ; Продано в зале ; 8000 
 194 ; 1/4 копейки ; 1895 ; СПБ ; Cu ; XF+ ; 38 ; ksv11 ; 17340 
 195 ; 10 золотн. ;  ; АД ; Ag ; XF ; 23 ; mep58 ; 35000 
 196 ; 1 золотн. ;  ; АД ; Ag ; XF ; 26 ; Продано в зале ; 8000 
 197 ; Жетон. 20 к. 210 Ижорский Р. Полк. Официальное собрание ;  ;  ; Ж/м ; VF ; 22 ; Продано в зале ; 16000 
 198 ; Жетон. 1 к. Трактир М.П. Лебедева ;  ;  ; Ж/м ; VF+ ; 49 ; Продано в зале ; 10000 
 199 ; 1 копейка ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ; Cu ; XF+ ; 37 ; Продано в зале ; 15500 
 200 ; Георгиевский крест III ст. №255734. Р-ры: 34 на 34мм ; 1914-1915 ;  ; Ag ; VF-XF ; 21 ; Продано в зале ; 16000 
 101 ; Рубль ; 1911 ; (ЭБ) ; Ag ; AU/XF ; 24 ; Продано в зале ; 24000 
 102 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 20 ; алтын ; 15302 
 103 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF+ ; 26 ; lelic ; 68000 
 104 ; Рубль ; 1913 ; (ЭБ) ; Ag ; XF+ ; 30 ; Продано в зале ; 78000 
 105 ; Рубль ; 1914 ; (ВС) ; Ag ; XF/AU ; 32 ; lelic ; 36720 
 106 ; Полтина ; 1705 ;  ; Ag ; VF+ ; 52 ; Продано в зале ; 82000 
 107 ; Полтина ; 1707 ;  ; Ag ; VF+ ; 91 ; Продано в зале ; 78000 
 108 ; Полтина ; 1718 ; L ОК ; Ag ; VF-XF ; 38 ; Продано в зале ; 135000 
 109 ; Полтина ; 1718 ; L ОК ; Ag ; VF+ ; 73 ; Продано в зале ; 72000 
 110 ; Полтина ; 1720 ;  ; Ag ; VF+ ; 57 ; Продано в зале ; 40000 
 111 ; Полтина ; 1720 ;  ; Ag ; VF+ ; 48 ; Продано в зале ; 44000 
 112 ; Полтина ; 1721 ;  ; Ag ; VF-XF ; 18 ; Продано в зале ; 40000 
 113 ; Полтина ; 1723 ;  ; Ag ; XF- ; 28 ; Продано в зале ; 46000 
 114 ; Полтина ; 1724 ;  ; Ag ; VF+ ; 19 ; Продано в зале ; 56000 
 115 ; Полтина ; 1726 ;  ; Ag ; VF+ ; 77 ; Акцент ; 42000 
 116 ; Полтина ; 1733 ;  ; Ag ; VF+ ; 39 ; Сыч ; 23000 
 117 ; Полтина ; 1734 ;  ; Ag ; VF+ ; 29 ; Продано в зале ; 48000 
 118 ; Полтина ; 1739? ; СПБ ; Ag ; VF+ ; 31 ; Продано в зале ; 52000 
 119 ; Полтина ; 1740 ;  ; Ag ; XF ; 26 ; Продано в зале ; 58000 
 120 ; Полтина ; 1745 ; СПБ ; Ag ; VF+ ; 70 ; Продано в зале ; 40000 
 121 ; Полтина ; 1747 ; ММД ; Ag ; VF+ ; 21 ; Продано в зале ; 75000 
 122 ; Полтина ; 1754 ; СПБ IM BS ; Ag ; VF-XF ; 32 ; Продано в зале ; 80000 
 123 ; Полтина ; 1763 ; СПБ ЯI ; Ag ; VF+ ; 25 ; Продано в зале ; 22000 
 124 ; Полтина.Клеймо Гуттен-Чапского ; 1763 ; СПБ ЯI ; Ag ; VF ; 57 ; Продано в зале ; 90000 
 125 ; Полтина (Петров-3р, Ильин-8р) ; 1768 ; СПБ СА ; Ag ; XF ; 35 ; Продано в зале ; 110000 
 126 ; Полтина ; 1773 ; СПБ ЯЧ ; Ag ; VF-XF ; 21 ; Продано в зале ; 90000 
 127 ; Полтина ; 1893 ; (АГ) ; Ag ; AU ; 26 ; Продано в зале ; 60000 
 128 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; AU ; 12 ; icebreaker ; 9066 
 129 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 28 ; Продано в зале ; 3400 
 130 ; 25 копеек ; 1900 ; АГ ; Ag ; XF+ ; 31 ; lelic ; 28335 
 131 ; 20 копеек ; 1783 ; СПБ ; Ag ; XF+ ; 26 ; Продано в зале ; 20000 
 132 ; 20 копеек ; 1849 ; СПБ ПА ; Ag ; XF+ ; 14 ; verunk1 ; 9500 
 133 ; 15 копеек (Петров-1р) ; 1784 ; СПБ ; Ag ; AU ; 31 ; Продано в зале ; 20000 
 134 ; 15 копеек ; 1785 ; СПБ ; Ag ; AU ; 23 ; 25 ; 25000 
 135 ; Гривенник ; 1746 ;  ; Ag ; XF+ ; 23 ; Продано в зале ; 5800 
 136 ; Гривенник ; 1783 ; СПБ ; Ag ; AU ; 23 ; Продано в зале ; 8000 
 137 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; VF+ ; 29 ; ksv11 ; 3672 
 138 ; 10 копеек. В капсуле NGC ; 1902 ; СПБ АР ; Ag ; MS 67 ; 25 ; dsidorov ; 5500 
 139 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; AU ; 16 ; Продано в зале ; 5000 
 140 ; Новгородская гривна. L-132мм. М-195,79гр ; XII-XIII вв ;  ; Ag ;  ; 42 ; инга ; 35000 
 141 ; 96 копеек ; 1757 ; Ливонез ; Ag ; VF+ ; 42 ; Продано в зале ; 85000 
 142 ; 2 гроша (Петров-10р, Ильин-5р) ; 1760 ; Для Пруссии ; Ag ; VF ; 37 ; нумизмат ; 21624 
 143 ; Солид ; 1760 ; Для Пруссии ; Ag ; VF- ; 14 ; mep58 ; 4080 
 144 ; Талер ; 1798 ; для княжества йевер ; Ag ; VF+ ; 35 ; Продано в зале ; 35000 
 145 ; 5 злотых ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ; XF+ ; 23 ; Продано в зале ; 16000 
 146 ; 5 злотых ; 1830 ; KG Польша ; Ag ; VF+ ; 16 ; ZOLTAN333 ; 5304 
 147 ; 2 злотых ; 1819 ; IB Польша ; Ag ; VF-XF ; 19 ; нумизмат ; 11000 
 148 ; 10 копеек (Петров-6р, Ильин-3р) ; 1766 ; "Сибирь" ; Cu ; VF ; 51 ; OMT ; 24000 
 149 ; 10 копеек (новодел) ; 1796 ;  ; Cu ; XF/AU ; 27 ; Продано в зале ; 210000 
 150 ; 10 копеек ; 1832 ; ЕМ ФХ ; Cu ; XF+ ; 31 ; алтын ; 23909 
 51 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; XF/AU ; 19 ; Продано в зале ; 23000 
 52 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; XF+ ; 25 ; Продано в зале ; 22000 
 53 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; XF ; 32 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 16322 
 54 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF- ; 40 ; Продано в зале ; 20000 
 55 ; Рубль ; 1798 ; СМ МБ ; Ag ; XF- ; 62 ; Продано в зале ; 44000 
 56 ; Рубль ; 1800 ; СМ ОМ ; Ag ; XF ; 49 ; Продано в зале ; 32000 
 57 ; Рубль ; 1802 ; СПБ АИ ; Ag ; XF ; 31 ; 439 ; 48000 
 58 ; Рубль ; 1809 ; СПБ МК ; Ag ; VF-XF ; 58 ; yurbor ; 33660 
 59 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 21 ; Продано в зале ; 23000 
 60 ; Рубль ; 1824 ; СПБ ПД ; Ag ; XF ; 52 ; Продано в зале ; 19000 
 61 ; Рубль ; 1827 ; СПБ НГ ; Ag ; XF- ; 45 ; КУПЛЮ ВСЕ+ ; 28555 
 62 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF- ; 20 ; verunk1 ; 20000 
 63 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF+ ; 33 ; Продано в зале ; 25000 
 64 ; Рубль ; 1832 ; СПБ НГ ; Ag ; XF ; 12 ; Продано в зале ; 18000 
 65 ; Рубль ; 1834 ; СПБ НГ ; Ag ; AU/XF ; 24 ; Продано в зале ; 19000 
 66 ; Рубль ; 1835 ; СПБ НГ ; Ag ; VF-XF ; 35 ; Продано в зале ; 32000 
 67 ; Рубль ; 1836 ; СПБ НГ ; Ag ; AU ; 29 ; Продано в зале ; 28000 
 68 ; Рубль ; 1840 ; СПБ НГ ; Ag ; VF-XF ; 41 ; Продано в зале ; 16000 
 69 ; Рубль ; 1841 ; СПБ НГ ; Ag ; AU ; 39 ; 8128 ; 24000 
 70 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; AU ; 79 ; Продано в зале ; 46000 
 71 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; AU ; 46 ; 8128 ; 22222 
 72 ; Рубль ; 1844 ; СПБ КБ ; Ag ; AU ; 63 ; Продано в зале ; 28000 
 73 ; Рубль ; 1844 ; MW ; Ag ; XF+ ; 34 ; Продано в зале ; 22000 
 74 ; Рубль ; 1845 ; СПБ КБ ; Ag ; XF+ ; 24 ; 8128 ; 24480 
 75 ; Рубль ; 1851 ; СПБ ПА ; Ag ; AU ; 31 ; Продано в зале ; 17000 
 76 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; AU ; 39 ; Продано в зале ; 25000 
 77 ; Рубль ; 1857 ; СПБ ФБ ; Ag ; XF+ ; 57 ; Продано в зале ; 70000 
 78 ; Рубль ; 1858 ; СПБ ФБ ; Ag ; XF ; 61 ; Продано в зале ; 33000 
 79 ; Рубль ; 1867 ; СПБ HI ; Ag ; VF-XF ; 21 ; Акцент ; 20000 
 80 ; Рубль ; 1868 ; СПБ HI ; Ag ; XF- ; 33 ; Продано в зале ; 19500 
 81 ; Рубль ; 1869 ; СПБ HI ; Ag ; XF+ ; 90 ; 8128 ; 48000 
 82 ; Рубль ; 1875 ; СПБ HI ; Ag ; XF+ ; 47 ; Продано в зале ; 19000 
 83 ; Рубль ; 1878 ; СПБ НФ ; Ag ; AU ; 32 ; Продано в зале ; 27000 
 84 ; Рубль ; 1879 ; СПБ НФ ; Ag ; AU ; 39 ; ksv11 ; 29000 
 85 ; Рубль ; 1880 ; СПБ НФ ; Ag ; XF+ ; 19 ; Продано в зале ; 19000 
 86 ; Рубль ; 1882 ; СПБ НФ ; Ag ; AU ; 44 ; 33333335 ; 32368 
 87 ; Рубль ; 1883 ; СПБ ДС ; Ag ; XF ; 57 ; Продано в зале ; 52000 
 88 ; Рубль ; 1884 ; СПБ АГ ; Ag ; AU ; 66 ; 8128 ; 42000 
 89 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF ; 13 ; lelic ; 13770 
 90 ; Рубль ; 1887 ; (АГ) ; Ag ; VF-XF ; 33 ; Продано в зале ; 28000 
 91 ; Рубль ; 1888 ; (АГ) ; Ag ; VF-XF ; 18 ; Продано в зале ; 18000 
 92 ; Рубль ; 1890 ; (АГ) ; Ag ; XF+ ; 62 ; Продано в зале ; 115000 
 93 ; Рубль ; 1892 ; (АГ) ; Ag ; XF+ ; 46 ; Продано в зале ; 32000 
 94 ; Рубль ; 1892 ; (АГ) ; Ag ; AU ; 45 ; Продано в зале ; 34000 
 95 ; Рубль ; 1893 ; (АГ) ; Ag ; AU ; 23 ; Продано в зале ; 36000 
 96 ; Рубль ; 1894 ; (АГ) ; Ag ; XF ; 23 ; lelic ; 25502 
 97 ; Рубль ; 1896 ; (АГ) ; Ag ; AU ; 13 ; алтын ; 12240 
 98 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; AU ; 22 ; Продано в зале ; 76000 
 99 ; Рубль ; 1901 ; (ФЗ) ; Ag ; AU ; 39 ; Продано в зале ; 63500 
 100 ; Рубль ; 1907 ; (ЭБ) ; Ag ; AU ; 20 ; Продано в зале ; 42000 
 1 ; 10 рублей ; 1766 ; СПБ ТI ; Au ; XF-/XF+ ; 49 ; Продано в зале ; 220000 
 2 ; 10 рублей ; 1778 ; СПБ Новый тип портрета ; Au ; AU ; 47 ; Продано в зале ; 400000 
 3 ; 10 рублей ; 1894 ; (АГ) АГ ; Au ; AU ; 33 ; Продано в зале ; 170000 
 4 ; 5 рублей. М-6,54гр ; 1829 ; СПБ ПД ; Au ; VF+ ; 45 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 77520 
 5 ; 5 рублей М-4,26г ; 1898 ; (АГ) ; Au ; AU ; 16 ; eggplant ; 15300 
 6 ; 2 рубля ; 1785 ; СПБ "Для дворцового обихода" ; Au ; AU ; 54 ; Продано в зале ; 150000 
 7 ; Дукат. Нидерланды. Петербургский чекан. Признаки по Узденикову № 2,11,12. М-3,42гр ; 1829 ;  ; Au ; XF ; 35 ; Продано в зале ; 28000 
 8 ; 3 рубля ; 1832 ; СПБ ; Pt ; XF+ ; 42 ; Продано в зале ; 88000 
 9 ; Ефимок ; 1655 ; Алексей Михайлович ; Ag ; VF+ ; 43 ; Продано в зале ; 86000 
 10 ; Рубль ; 1705 ; МД ; Ag ; VF+ ; 38 ; Акцент ; 230000 
 11 ; Рубль ; 1718 ; L OK ; Ag ; VF ; 27 ; Продано в зале ; 84000 
 12 ; Рубль ; 1719 ; OK ; Ag ; VF+ ; 17 ; Продано в зале ; 64000 
 13 ; Рубль ; 1720 ;  ; Ag ; VF+ ; 18 ; Продано в зале ; 76000 
 14 ; Рубль ; 1720 ; K ; Ag ; XF- ; 21 ; Продано в зале ; 76000 
 15 ; Рубль ; 1721 ; K ; Ag ; XF- ; 24 ; Продано в зале ; 62000 
 16 ; Рубль ; 1723 ;  ; Ag ; VF-XF ; 11 ; Продано в зале ; 32000 
 17 ; Рубль ; 1723 ;  ; Ag ; VF ; 5 ; Продано в зале ; 24000 
 18 ; Рубль ; 1724 ; СПБ ; Ag ; VF ; 25 ; mep58 ; 65000 
 19 ; Рубль ; 1725 ; СПБ ; Ag ; VF+ ; 54 ; Продано в зале ; 155000 
 20 ; Рубль ; 1726 ; СПБ ; Ag ; VF-XF ; 76 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 49816 
 21 ; Рубль ; 1726 ; СПБ ; Ag ; VF ; 54 ; Продано в зале ; 36000 
 22 ; Рубль ; 1727 ; СПБ ; Ag ; VF+ ; 36 ; Продано в зале ; 52000 
 23 ; Рубль ; 1727 ;  ; Ag ; VF+ ; 16 ; Продано в зале ; 460000 
 24 ; Рубль ; 1727 ;  ; Ag ; VF+ ; 16 ; Продано в зале ; 48000 
 25 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 46 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 48960 
 26 ; Рубль ; 1730 ;  ; Ag ; VF+ ; 20 ; Продано в зале ; 70000 
 27 ; Рубль ; 1730 ;  ; Ag ; VF+ ; 23 ; Продано в зале ; 46000 
 28 ; Рубль ; 1731 ;  ; Ag ; VF+ ; 50 ; Продано в зале ; 90000 
 29 ; Рубль ; 1732 ;  ; Ag ; XF ; 28 ; Продано в зале ; 30000 
 30 ; Рубль ; 1733 ;  ; Ag ; VF+ ; 24 ; Продано в зале ; 22000 
 31 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 32 ; Продано в зале ; 66000 
 32 ; Рубль ; 1734 ;  ; Ag ; VF+ ; 27 ; Продано в зале ; 64000 
 33 ; Рубль ; 1734 ;  ; Ag ; VF-XF ; 25 ; Продано в зале ; 45000 
 34 ; Рубль ; 1734 ;  ; Ag ; VF+ ; 17 ; Продано в зале ; 32000 
 35 ; Рубль ; 1736 ;  ; Ag ; VF+ ; 34 ; skylink ; 18000 
 36 ; Рубль ; 1738 ;  ; Ag ; VF+ ; 16 ; Продано в зале ; 19000 
 37 ; Рубль ; 1738 ; СПБ ; Ag ; VF+ ; 37 ; Продано в зале ; 26000 
 38 ; Рубль ; 1738 ; СПБ ; Ag ; XF ; 27 ; Продано в зале ; 50000 
 39 ; Рубль ; 1740 ; СПБ ; Ag ; VF-XF ; 37 ; Акцент ; 30718 
 40 ; Рубль ; 1741 ; СПБ ; Ag ; VF ; 71 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 261184 
 41 ; Рубль ; 1743 ; СПБ ; Ag ; VF+ ; 25 ; Продано в зале ; 30000 
 42 ; Рубль ; 1743 ; ММД ; Ag ; VF+ ; 15 ; Продано в зале ; 18000 
 43 ; Рубль ; 1746 ; СПБ ; Ag ; AU ; 28 ; Продано в зале ; 94000 
 44 ; Рубль ; 1753 ; СПБ IM ; Ag ; XF+ ; 27 ; Продано в зале ; 32000 
 45 ; Рубль ; 1753 ; ММД IП ; Ag ; VF+ ; 35 ; Продано в зале ; 17500 
 46 ; Рубль ; 1754 ; ММД EI ; Ag ; XF- ; 28 ; Продано в зале ; 32000 
 47 ; Рубль ; 1762 ; ММД ДМ ; Ag ; VF ; 68 ; Продано в зале ; 52000 
 48 ; Рубль ; 1762 ; ММД ДМ TI ; Ag ; VF-XF ; 30 ; Продано в зале ; 25000 
 49 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; XF/AU ; 18 ; Продано в зале ; 33000 
 50 ; Рубль ; 1768 ; ММД EI ; Ag ; VF ; 22 ; Продано в зале ; 34000 
