 5644 ; Бона иностранная. Греция ;  ;  ;  ;  ; 7 ; sifirot ; 35 
 5640 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 5 ; Alekc19781 ; 25 
 5641 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 12 ; Lyonfik ; 32 
 5642 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 16 ; Dirt ; 25 
 5643 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 21 ; Lyonfik ; 35 
 5544 ; Бона иностранная. Иран ;  ;  ;  ;  ; 13 ; air ; 69 
 5545 ; Бона иностранная. Иран ;  ;  ;  ;  ; 49 ; air ; 138 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 12 ; sifirot ; 54 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Ratmen ; 73 
 5548 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 11 ; Dirt ; 31 
 5549 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 7 ; Dirt ; 32 
 5550 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 28 ; yuvg ; 101 
 5551 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 7 ; Dirt ; 32 
 5552 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 8 ; Dirt ; 32 
 5553 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 7 ; Dirt ; 32 
 5554 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 17 ; air ; 102 
 5555 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 15 ; SIBPROPILOT ; 100 
 5556 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 9 ; SIBPROPILOT ; 50 
 5557 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 7 ; Dirt ; 31 
 5558 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 28 ; K.V.N. ; 197 
 5559 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 7 ; Dirt ; 31 
 5560 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 3 ; гш888 ; 27 
 5561 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 14 ; алим ; 51 
 5562 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 13 ; гш888 ; 27 
 5563 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 11 ; SIBPROPILOT ; 50 
 5564 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 7 ; SIBPROPILOT ; 50 
 5565 ; Бона иностранная. Португалия ;  ;  ;  ;  ; 11 ; STANDART ; 48 
 5566 ; Бона иностранная. Португалия ;  ;  ;  ;  ; 16 ; yuvg ; 500 
 5567 ; Бона иностранная. Португалия ;  ;  ;  ;  ; 8 ; алим ; 799 
 5568 ; Бона иностранная. Греция ;  ;  ;  ;  ; 7 ; grimbo ; 101 
 5569 ; Бона иностранная. Греция ;  ;  ;  ;  ; 16 ; Dirt ; 57 
 5570 ; Бона иностранная. Греция ;  ;  ;  ;  ; 15 ; Dirt ; 35 
 5571 ; Бона иностранная.  Болгария ;  ;  ;  ;  ; 6 ; mart_si ; 206 
 5572 ; Бона иностранная.  Болгария ;  ;  ;  ;  ; 17 ; alesjane ; 218 
 5573 ; Бона иностранная.  Болгария ;  ;  ;  ;  ; 11 ; smel ; 120 
 5574 ; Бона иностранная.  Болгария ;  ;  ;  ;  ; 11 ; shulch100 ; 57 
 5575 ; Бона иностранная.  Болгария ;  ;  ;  ;  ; 49 ; K.V.N. ; 211 
 5576 ; Бона иностранная.  Бельгия ;  ;  ;  ;  ; 20 ; shulch100 ; 99 
 5577 ; Бона иностранная. Финляндия ;  ;  ;  ;  ; 35 ; Alekc19781 ; 61 
 5578 ; Бона иностранная. Венгрия ;  ;  ;  ;  ; 13 ; shulch100 ; 114 
 5579 ; Бона иностранная. Венгрия ;  ;  ;  ;  ; 18 ; STANDART ; 50 
 5580 ; Бона иностранная. Венгрия ;  ;  ;  ;  ; 10 ; STANDART ; 50 
 5581 ; Бона иностранная. Венгрия ;  ;  ;  ;  ; 14 ; Dirt ; 58 
 5582 ; Бона иностранная. Венгрия ;  ;  ;  ;  ; 19 ; алим ; 64 
 5583 ; Бона иностранная Болгария ; 1951 ;  ;  ; AU ; 89 ; lsp25 ; 212 
 5584 ; Бона иностранная Болгария ; 1951 ;  ;  ; AU ; 81 ; K.V.N. ; 226 
 5585 ; Бона иностранная Болгария ; 1951 ;  ;  ; AU ; 41 ; K.V.N. ; 247 
 5586 ; Бона иностранная Болгария ; 1951 ;  ;  ; AU ; 36 ; K.V.N. ; 218 
 5587 ; Бона иностранная Болгария ; 1951 ;  ;  ; AU ; 67 ; lsp25 ; 328 
 5588 ; Бона иностранная Болгария ; 1951 ;  ;  ; AU ; 48 ; u10257 ; 227 
 5589 ; Бона иностранная Болгария ; 1951 ;  ;  ; AU ; 32 ; K.V.N. ; 200 
 5590 ; Бона иностранная Либерия ;  ;  ;  ;  ; 15 ; Моряк-собиратель ; 207 
 5591 ; Бона иностранная Канада ;  ;  ;  ;  ; 22 ; sub215 ; 133 
 5592 ; Бона иностранная Джерси ;  ;  ;  ;  ; 20 ; fillin ; 204 
 5593 ; Бона иностранная Мальта ; 1967 ;  ;  ;  ; 28 ; tanmar86 ; 340 
 5494 ; Бона иностранная.  Бельгия ;  ;  ;  ;  ; 24 ; Lex2000 ; 179 
 5495 ; Бона иностранная.  Бельгия ;  ;  ;  ;  ; 10 ; Lex2000 ; 101 
 5496 ; Бона иностранная.  Бельгия ;  ;  ;  ;  ; 9 ; страус ; 34 
 5497 ; Бона иностранная. Швеция ; 1974 ;  ;  ;  ; 7 ; жора ; 114 
 5498 ; Бона иностранная Австрия ;  ;  ;  ;  ; 19 ; 000SABik ; 474 
 5499 ; Бона иностранная Латвия ; 1938 ;  ;  ;  ; 28 ; физмат ; 284 
 5500 ; Бона иностранная Латвия ; 1938 ;  ;  ;  ; 46 ; vovaT25 ; 275 
 5501 ; Бона иностранная Гвинея ;  ;  ;  ; AU ; 48 ; йцукен ; 459 
 5502 ; Бона иностранная Мадагаскар ;  ;  ;  ; AU ; 61 ; K.V.N. ; 510 
 5503 ; Бона иностранная Алжир ;  ;  ;  ;  ; 38 ; murew ; 601 
 5504 ; Бона иностранная Либерия ;  ;  ;  ; AU ; 21 ; Моряк-собиратель ; 180 
 5505 ; Бона иностранная Либерия ;  ;  ;  ; AU ; 18 ; sveta6369 ; 82 
 5506 ; Бона иностранная Джибути ;  ;  ;  ; AU ; 44 ; йцукен ; 1734 
 5507 ; Бона иностранная Конго ;  ;  ;  ;  ; 19 ; Моряк-собиратель ; 274 
 5508 ; Бона иностранная. Конго ;  ;  ;  ;  ; 22 ; sveta6369 ; 71 
 5509 ; Бона иностранная. Конго ;  ;  ;  ;  ; 21 ; sveta6369 ; 90 
 5510 ; Бона иностранная Конго ;  ;  ;  ;  ; 14 ; cotangens ; 40 
 5511 ; Бона иностранная. Конго ;  ;  ;  ;  ; 8 ; beale ; 40 
 5512 ; Бона иностранная. Конго ;  ;  ;  ;  ; 16 ; Hamlet ; 79 
 5513 ; Бона иностранная. Замбия ;  ;  ;  ; AU ; 21 ; sveta6369 ; 140 
 5514 ; Бона иностранная.Замбия ;  ;  ;  ; AU ; 11 ; komod ; 63 
 5515 ; Бона иностранная Заир ;  ;  ;  ; AU ; 23 ; alex1974 ; 906 
 5516 ; Бона иностранная Заир ;  ;  ;  ; AU ; 33 ; alex1974 ; 160 
 5517 ; Бона иностранная Заир ;  ;  ;  ; AU ; 22 ; alex1974 ; 138 
 5518 ; Бона иностранная Кения ;  ;  ;  ; AU ; 35 ; alesjane ; 273 
 5519 ; Бона иностранная Гвинея-Бисау ;  ;  ;  ; AU ; 26 ; йцукен ; 397 
 5520 ; Бона иностранная Гвинея-Бисау ;  ;  ;  ; AU ; 46 ; ZIMOGOR ; 400 
 5521 ; Бона иностранная Сиера-Леоне ;  ;  ;  ; AU ; 15 ; hobot ; 163 
 5522 ; Бона иностранная Судан ;  ;  ;  ; AU ; 9 ; yuvg ; 173 
 5523 ; Бона иностранная. Сомали ;  ;  ;  ; AU ; 28 ; shulch100 ; 144 
 5524 ; Бона иностранная Мальдива ;  ;  ;  ; AU ; 33 ; alesjane ; 499 
 5525 ; Бона иностранная Мальдива ;  ;  ;  ; AU ; 72 ; СТРЕКОЗА ; 340 
 5526 ; Бона иностранная Мальдива ;  ;  ;  ; AU ; 37 ; karal ; 256 
 5527 ; Бона иностранная Маврикий ;  ;  ;  ; AU ; 48 ; СТРЕКОЗА ; 281 
 5528 ; Бона иностранная Маврикий ;  ;  ;  ; AU ; 66 ; Lex2000 ; 408 
 5529 ; Бона иностранная Малави ;  ;  ;  ; AU ; 21 ; Моряк-собиратель ; 327 
 5530 ; Бона иностранная Малави ;  ;  ;  ;  ; 13 ; ZIMOGOR ; 42 
 5531 ; Бона иностранная Мадагаскар ;  ;  ;  ;  ; 18 ; Моряк-собиратель ; 378 
 5532 ; Бона иностранная Мадагаскар ;  ;  ;  ;  ; 9 ; ZIMOGOR ; 126 
 5533 ; Бона иностранная Ангола ;  ;  ;  ;  ; 18 ; 2128508 ; 255 
 5534 ; Бона иностранная Нигерия ;  ;  ;  ;  ; 9 ; alesjane ; 216 
 5535 ; Бона иностранная Нигерия ;  ;  ;  ;  ; 11 ; Моряк-собиратель ; 78 
 5536 ; Бона иностранная Нигерия ;  ;  ;  ;  ; 15 ; Моряк-собиратель ; 151 
 5537 ; Бона иностранная Марокко ;  ;  ;  ;  ; 30 ; shulch100 ; 120 
 5538 ; Бона иностранная Марокко ;  ;  ;  ;  ; 16 ; ZIMOGOR ; 57 
 5539 ; Бона иностранная Лесото ;  ;  ;  ; AU ; 54 ; yuvg ; 500 
 5540 ; Бона иностранная Лесото ;  ;  ;  ; AU ; 64 ; Lex2000 ; 330 
 5541 ; Бона иностранная Лесото ;  ;  ;  ; AU ; 59 ; Lex2000 ; 602 
 5542 ; Бона иностранная Ливан ;  ;  ;  ; AU ; 19 ; Dirt ; 96 
 5543 ; Бона иностранная Ливан ;  ;  ;  ; AU ; 16 ; Dirt ; 82 
 5444 ; Бона иностранная Япония ;  ;  ;  ;  ; 15 ; Ssid ; 113 
 5445 ; Лот бон Япония 2 шт ;  ;  ;  ;  ; 9 ; pref ; 102 
 5446 ; Лот бон Япония 2 шт ;  ;  ;  ;  ; 11 ; SIBPROPILOT ; 100 
 5447 ; Бона иностранная Тайвань ;  ;  ;  ;  ; 17 ; stabah ; 70 
 5448 ; Бона иностранная Тайвань ;  ;  ;  ;  ; 14 ; жора ; 79 
 5449 ; Бона иностранная Тайвань ;  ;  ;  ;  ; 34 ; max2008 ; 257 
 5450 ; Бона иностранная Тайвань ;  ;  ;  ;  ; 8 ; maks169 ; 114 
 5451 ; Бона иностранная Тайвань ;  ;  ;  ;  ; 6 ; 2128508 ; 86 
 5452 ; Бона иностранная Тайвань ;  ;  ;  ;  ; 14 ; shulch100 ; 105 
 5453 ; Бона иностранная Япония ;  ;  ;  ;  ; 8 ; vladmarkin ; 61 
 5454 ; Бона иностранная Япония ;  ;  ;  ;  ; 28 ; Dmitry21 ; 225 
 5455 ; Бона иностранная Япония ;  ;  ;  ;  ; 19 ; VIC_75 ; 108 
 5456 ; Бона иностранная Япония ;  ;  ;  ;  ; 14 ; VIC_75 ; 72 
 5457 ; Бона иностранная Япония ;  ;  ;  ;  ; 9 ; lsp25 ; 102 
 5458 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 22 ; doc2 ; 737 
 5459 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 18 ; new life ; 165 
 5460 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 16 ; 47154 ; 101 
 5461 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 26 ; doc2 ; 635 
 5462 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 39 ; new life ; 276 
 5463 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 15 ; ZIMOGOR ; 101 
 5464 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 15 ; ZIMOGOR ; 108 
 5465 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 16 ; ZIMOGOR ; 102 
 5466 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 21 ; 47154 ; 159 
 5467 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 18 ; ZIMOGOR ; 175 
 5468 ; Бона иностранная США ;  ;  ;  ;  ; 19 ; fillin ; 1360 
 5469 ; Бона иностранная.  Мексика ;  ;  ;  ;  ; 14 ; mart_si ; 255 
 5470 ; Бона иностранная.  Мексика ;  ;  ;  ;  ; 5 ; гш888 ; 206 
 5471 ; Бона иностранная. Доминиканская Республика. (Образец) ;  ;  ;  ; AU ; 74 ; Lex2000 ; 340 
 5472 ; Бона иностранная. Доминиканская Республика. (Образец) ;  ;  ;  ; AU ; 83 ; von_Schwarz ; 882 
 5473 ; Бона иностранная. Доминиканская Республика. (Образец) ;  ;  ;  ; AU ; 68 ; alesjane ; 422 
 5474 ; Бона иностранная. Доминиканская Республика. (Образец) ;  ;  ;  ; AU ; 42 ; Lex2000 ; 284 
 5475 ; Бона иностранная. Доминиканская Республика. (Образец) ;  ;  ;  ; AU ; 66 ; fillin ; 333 
 5476 ; Бона иностранная. Доминиканская Республика. (Образец) ;  ;  ;  ; AU ; 61 ; Lex2000 ; 293 
 5477 ; Бона иностранная. Доминиканская Республика. (Образец) ;  ;  ;  ; AU ; 93 ; Lex2000 ; 383 
 5478 ; Бона иностранная. Доминиканская Республика. (Образец) ;  ;  ;  ; AU ; 40 ; von_Schwarz ; 784 
 5479 ; Бона иностранная. Доминиканская Республика. (Образец) ;  ;  ;  ; AU ; 45 ; Sky2 ; 321 
 5480 ; Бона иностранная. Доминиканская Республика. (Образец) ;  ;  ;  ; AU ; 20 ; Sky2 ; 283 
 5481 ; Бона иностранная. Доминиканская Республика. (Образец) ;  ;  ;  ; AU ; 24 ; alesjane ; 303 
 5482 ; Бона иностранная. Доминиканская Республика. (Образец) ;  ;  ;  ; AU ; 32 ; Lex2000 ; 386 
 5483 ; Бона иностранная. Доминиканская Республика. (Образец) ;  ;  ;  ; AU ; 48 ; alesjane ; 563 
 5484 ; Бона иностранная. Гайяна ;  ;  ;  ; AU ; 14 ; hobot ; 102 
 5485 ; Бона иностранная Венесуэла ;  ;  ;  ; AU ; 18 ; grimbo ; 101 
 5486 ; Бона иностранная. Нидерланды ;  ;  ;  ;  ; 41 ; Lex2000 ; 188 
 5487 ; Бона иностранная. Нидерланды ;  ;  ;  ;  ; 29 ; mart_si ; 119 
 5488 ; Бона иностранная Австрия ;  ;  ;  ;  ; 59 ; Lex2000 ; 177 
 5489 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 43 ; Lex2000 ; 89 
 5490 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 18 ; Mike! ; 70 
 5491 ; Бона иностранная. Финляндия ;  ;  ;  ;  ; 71 ; Lex2000 ; 161 
 5492 ; Бона иностранная.  Финляндия ;  ;  ;  ;  ; 44 ; Alekc19781 ; 82 
 5493 ; Бона иностранная.  Бельгия ;  ;  ;  ;  ; 13 ; von_Schwarz ; 151 
 5394 ; Бона иностранная Германия ; 1918 ;  ;  ;  ; 29 ; Mike! ; 327 
 5395 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 11 ; kop ; 153 
 5396 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 27 ; Mike! ; 321 
 5397 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 53 ; electra ; 339 
 5398 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 15 ; трутень ; 83 
 5399 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 25 ; Mike! ; 321 
 5400 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 18 ; smel ; 288 
 5401 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 13 ; Mike! ; 189 
 5402 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 15 ; smel ; 263 
 5403 ; Бона иностранная. Германия ;  ;  ;  ;  ; 34 ; Mike! ; 313 
 5404 ; Бона иностранная. Германия ;  ;  ;  ;  ; 15 ; Mike! ; 153 
 5405 ; Бона иностранная. Германия ;  ;  ;  ;  ; 7 ; гус4 ; 79 
 5406 ; Бона иностранная. Германия ;  ;  ;  ;  ; 11 ; sib8 ; 115 
 5407 ; Бона иностранная. Германия ;  ;  ;  ;  ; 9 ; Mike! ; 153 
 5408 ; Бона иностранная. Германия ;  ;  ;  ;  ; 11 ; Mike! ; 153 
 5409 ; Бона иностранная. Германия ;  ;  ;  ;  ; 12 ; electra ; 115 
 5410 ; Бона иностранная. Германия ;  ;  ;  ;  ; 9 ; kop ; 112 
 5411 ; Бона иностранная. Германия ;  ;  ;  ;  ; 7 ; kop ; 112 
 5412 ; Бона иностранная. Германия ;  ;  ;  ;  ; 12 ; electra ; 115 
 5413 ; Бона иностранная. Германия ;  ;  ;  ;  ; 9 ; kop ; 112 
 5414 ; Бона иностранная. Германия ;  ;  ;  ;  ; 10 ; electra ; 115 
 5415 ; Бона иностранная. Германия ;  ;  ;  ;  ; 12 ; Mike! ; 153 
 5416 ; Бона иностранная. Германия ;  ;  ;  ;  ; 12 ; valerdon ; 59 
 5417 ; Бона иностранная. Германия ;  ;  ;  ;  ; 41 ; Lex2000 ; 105 
 5418 ; Бона иностранная. Германия ;  ;  ;  ;  ; 109 ; Lex2000 ; 357 
 5419 ; Бона иностранная. Германия ;  ;  ;  ;  ; 12 ; Lex2000 ; 33 
 5420 ; Бона иностранная. Германия ;  ;  ;  ;  ; 14 ; Lex2000 ; 33 
 5421 ; Бона иностранная. Германия ;  ;  ;  ;  ; 14 ; Lex2000 ; 33 
 5422 ; Бона иностранная Германия ; 1948 ;  ;  ;  ; 9 ; kont ; 645 
 5423 ; Бона иностранная Великобритания ;  ;  ;  ;  ; 11 ; MG ; 500 
 5424 ; 5 лат ; 1940 ; Латвия ;  ;  ; 34 ; Gyron ; 1124 
 5425 ; 5 лат Латвия ; 2009 ;  ;  ;  ; 27 ; sts ; 612 
 5426 ; Бона иностранная Литва ;  ;  ;  ; AU ; 53 ; prostor.71 ; 152 
 5427 ; Бона иностранная Швеция ;  ;  ;  ;  ; 58 ; Lex2000 ; 306 
 5428 ; Бона иностранная Швеция ;  ;  ;  ;  ; 3 ; ashep ; 101 
 5429 ; Бона иностранная Дания ;  ;  ;  ; AU ; 82 ; Hamlet ; 669 
 5430 ; Бона иностранная Китай ; 1936 ;  ;  ;  ; 18 ; bratss ; 124 
 5431 ; 10 долларов Гонг-Конг ;  ;  ;  ;  ; 15 ; sifirot ; 239 
 5432 ; Бона иностранная.Гонг-Конг ;  ;  ;  ;  ; 11 ; СТРЕКОЗА ; 352 
 5433 ; Бона иностранная.Гонг-Конг ;  ;  ;  ;  ; 43 ; СТРЕКОЗА ; 305 
 5434 ; Бона иностранная.Гонг-Конг ;  ;  ;  ;  ; 11 ; СТРЕКОЗА ; 312 
 5435 ; Бона иностранная.Гонг-Конг ;  ;  ;  ;  ; 34 ; dsp ; 326 
 5436 ; Бона иностранная Китай ;  ;  ;  ;  ; 27 ; 47154 ; 137 
 5437 ; Лот бон 2 шт. Китай ;  ;  ;  ;  ; 8 ; [Nik] ; 55 
 5438 ; Бона иностранная. Китай ;  ;  ;  ;  ; 20 ; sub215 ; 53 
 5439 ; Бона иностранная Китай ;  ;  ;  ;  ; 9 ; 312 ; 31 
 5440 ; Бона иностранная Китай ;  ;  ;  ;  ; 8 ; Dirt ; 33 
 5441 ; Бона иностранная Китай ;  ;  ;  ;  ; 21 ; lsp25 ; 165 
 5442 ; Бона иностранная Китай ;  ;  ;  ;  ; 22 ; 47154 ; 95 
 5443 ; Бона иностранная Япония ;  ;  ;  ;  ; 11 ; SIBPROPILOT ; 79 
 5344 ; Бона иностранная Литва ; 1992 ;  ;  ; AU ; 63 ; flutter ; 397 
 5345 ; Бона иностранная Литва ; 1994 ;  ;  ; AU ; 48 ; K.V.N. ; 147 
 5346 ; Бона иностранная Литва ; 1993 ;  ;  ; AU ; 58 ; K.V.N. ; 308 
 5347 ; Бона иностранная Латвия ; 1919 ;  ;  ;  ; 28 ; Ssid ; 312 
 5348 ; Бона иностранная Латвия ; 1937 ;  ;  ;  ; 26 ; гоша334 ; 306 
 5349 ; Бона иностранная Латвия ; 1938 ;  ;  ;  ; 14 ; val211 ; 258 
 5350 ; Бона иностранная Латвия ;  ;  ;  ;  ; 37 ; Mike! ; 1384 
 5351 ; Бона иностранная Латвия ; 1992 ;  ;  ; AU ; 14 ; Dirt ; 55 
 5352 ; Бона иностранная Латвия ; 1992 ;  ;  ; AU ; 55 ; vovaT25 ; 101 
 5353 ; Бона иностранная Латвия ; 1992 ;  ;  ; AU ; 19 ; Ratmen ; 255 
