 3644 ; Бона иностранная ;  ;  ;  ;  ; 17 ; nik23455 ; 42 
 3604 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Sky2 ; 27 
 3605 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Sky2 ; 31 
 3606 ; Бона иностранная ;  ;  ;  ;  ; 21 ; kaa123 ; 30 
 3607 ; Бона иностранная ;  ;  ;  ;  ; 21 ; из африки ; 27 
 3608 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Серый_Михей ; 36 
 3609 ; Бона иностранная ;  ;  ;  ;  ; 24 ; химик ; 33 
 3610 ; Бона иностранная ;  ;  ;  ;  ; 20 ; nik23455 ; 68 
 3611 ; Бона иностранная ;  ;  ;  ;  ; 15 ; В1951 ; 55 
 3612 ; Бона иностранная ;  ;  ;  ;  ; 13 ; хъ0 ; 73 
 3613 ; Бона иностранная ;  ;  ;  ;  ; 70 ; ИЮМов1 ; 101 
 3614 ; Бона иностранная ;  ;  ;  ;  ; 51 ; ИЮМов1 ; 83 
 3615 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Roman_B ; 91 
 3616 ; Бона иностранная ;  ;  ;  ;  ; 14 ; SANGOLD1 ; 35 
 3617 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 24 
 3618 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Roman_B ; 80 
 3619 ; Бона иностранная ;  ;  ;  ;  ; 3 ; хъ0 ; 33 
 3620 ; Бона иностранная ;  ;  ;  ;  ; 31 ; ек ; 32 
 3621 ; Бона иностранная ;  ;  ;  ;  ; 16 ; igaist ; 34 
 3622 ; Бона иностранная ;  ;  ;  ;  ; 19 ; jj ; 57 
 3623 ; Бона иностранная ;  ;  ;  ;  ; 17 ; jj ; 59 
 3624 ; Бона иностранная ;  ;  ;  ;  ; 16 ; В1951 ; 61 
 3625 ; Бона иностранная ;  ;  ;  ;  ; 22 ; ек ; 59 
 3626 ; Бона иностранная ;  ;  ;  ;  ; 40 ; igaist ; 88 
 3627 ; Бона иностранная ;  ;  ;  ;  ; 42 ; John16 ; 82 
 3628 ; Бона иностранная ;  ;  ;  ;  ; 35 ; murew ; 102 
 3629 ; Бона иностранная ;  ;  ;  ;  ; 12 ; John16 ; 82 
 3630 ; Бона иностранная ;  ;  ;  ;  ; 80 ; ИЮМов1 ; 110 
 3631 ; Бона иностранная ;  ;  ;  ;  ; 76 ; молоток ; 336 
 3632 ; Бона иностранная ;  ;  ;  ;  ; 36 ; sos1 ; 216 
 3633 ; Бона иностранная ;  ;  ;  ;  ; 38 ; John16 ; 100 
 3634 ; Бона иностранная ;  ;  ;  ;  ; 46 ; murew ; 161 
 3635 ; Бона иностранная ;  ;  ;  ;  ; 24 ; ИЮМов1 ; 80 
 3636 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Серый_Михей ; 40 
 3637 ; Бона иностранная ;  ;  ;  ;  ; 32 ; Sky2 ; 79 
 3638 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Серый_Михей ; 30 
 3639 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Roman_B ; 57 
 3640 ; Бона иностранная ;  ;  ;  ;  ; 85 ; молоток ; 129 
 3641 ; Бона иностранная ;  ;  ;  ;  ; 17 ; SANGOLD1 ; 91 
 3642 ; Бона иностранная ;  ;  ;  ;  ; 33 ; numizavr ; 212 
 3643 ; Бона иностранная ;  ;  ;  ;  ; 18 ; nik23455 ; 30 
 3544 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ек ; 24 
 3545 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Серый_Михей ; 24 
 3546 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Sky2 ; 57 
 3547 ; Бона иностранная ;  ;  ;  ;  ; 20 ; ИЮМов1 ; 60 
 3548 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Roman_B ; 40 
 3549 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Roman_B ; 50 
 3550 ; Бона иностранная ;  ;  ;  ;  ; 32 ; numizavr ; 84 
 3551 ; Бона иностранная ;  ;  ;  ;  ; 24 ; ф555 ; 24 
 3552 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Roman_B ; 40 
 3553 ; Бона иностранная ;  ;  ;  ;  ; 7 ; AIK60 ; 72 
 3554 ; Бона иностранная ;  ;  ;  ;  ; 31 ; kaa123 ; 105 
 3555 ; Бона иностранная ;  ;  ;  ;  ; 32 ; jj ; 102 
 3556 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Roman_B ; 50 
 3557 ; Бона иностранная ;  ;  ;  ;  ; 38 ; ask ; 138 
 3558 ; Бона иностранная ;  ;  ;  ;  ; 25 ; satyrn1 ; 48 
 3559 ; Бона иностранная ;  ;  ;  ;  ; 10 ; smel ; 128 
 3560 ; Бона иностранная ;  ;  ;  ;  ; 14 ; olimpic74 ; 30 
 3561 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Roman_B ; 136 
 3562 ; Бона иностранная ;  ;  ;  ;  ; 33 ; Серый_Михей ; 33 
 3563 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Roman_B ; 136 
 3564 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Roman_B ; 136 
 3565 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Roman_B ; 115 
 3566 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Roman_B ; 136 
 3567 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Roman_B ; 50 
 3568 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ppp ; 30 
 3569 ; Бона иностранная ;  ;  ;  ;  ; 25 ; satyrn1 ; 36 
 3570 ; Бона иностранная ;  ;  ;  ;  ; 52 ; brindamur ; 53 
 3571 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Roman_B ; 60 
 3572 ; Бона иностранная ;  ;  ;  ;  ; 30 ; ИЮМов1 ; 95 
 3573 ; Бона иностранная ;  ;  ;  ;  ; 14 ; brindamur ; 31 
 3574 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Roman_B ; 126 
 3575 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ask ; 71 
 3576 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Roman_B ; 60 
 3577 ; Бона иностранная ;  ;  ;  ;  ; 11 ; sever9516 ; 50 
 3578 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Roman_B ; 71 
 3579 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ф555 ; 20 
 3580 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Roman_B ; 50 
 3581 ; Бона иностранная ;  ;  ;  ;  ; 11 ; derk02 ; 102 
 3582 ; Бона иностранная ;  ;  ;  ;  ; 18 ; krugerrand ; 30 
 3583 ; Бона иностранная ;  ;  ;  ;  ; 35 ; из африки ; 34 
 3584 ; Бона иностранная ;  ;  ;  ;  ; 59 ; numizavr ; 206 
 3585 ; Бона иностранная ;  ;  ;  ;  ; 24 ; kaa123 ; 61 
 3586 ; Бона иностранная ;  ;  ;  ;  ; 21 ; jj ; 35 
 3587 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ф555 ; 30 
 3588 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sever9516 ; 60 
 3589 ; Бона иностранная ;  ;  ;  ;  ; 3 ; sever9516 ; 60 
 3590 ; Бона иностранная ;  ;  ;  ;  ; 16 ; 542 ; 128 
 3591 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sky2 ; 66 
 3592 ; Бона иностранная ;  ;  ;  ;  ; 9 ; numizavr ; 31 
 3593 ; Бона иностранная ;  ;  ;  ;  ; 19 ; numizavr ; 42 
 3494 ; Бона иностранная ;  ;  ;  ;  ; 27 ; murew ; 40 
 3495 ; Бона иностранная ;  ;  ;  ;  ; 10 ; murew ; 40 
 3496 ; Бона иностранная ;  ;  ;  ;  ; 11 ; murew ; 40 
 3497 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 32 
 3498 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 30 
 3499 ; Бона иностранная ;  ;  ;  ;  ; 21 ; из африки ; 24 
 3500 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Sky2 ; 81 
 3501 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Sky2 ; 69 
 3502 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Roman_B ; 68 
 3503 ; Бона иностранная ;  ;  ;  ;  ; 38 ; Sky2 ; 67 
 3504 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Roman_B ; 61 
 3505 ; Бона иностранная ;  ;  ;  ;  ; 20 ; John16 ; 36 
 3506 ; Бона иностранная ;  ;  ;  ;  ; 19 ; John16 ; 40 
 3507 ; Бона иностранная ;  ;  ;  ;  ; 29 ; Roman_B ; 94 
 3508 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ф555 ; 24 
 3509 ; Бона иностранная ;  ;  ;  ;  ; 21 ; faga2003 ; 61 
 3510 ; Бона иностранная ;  ;  ;  ;  ; 28 ; В1951 ; 30 
 3511 ; Бона иностранная ;  ;  ;  ;  ; 9 ; alex995 ; 17 
 3512 ; Бона иностранная ;  ;  ;  ;  ; 7 ; oper7430 ; 8 
 3513 ; Бона иностранная ;  ;  ;  ;  ; 15 ; murew ; 30 
 3514 ; Бона иностранная ;  ;  ;  ;  ; 35 ; Roman_B ; 120 
 3515 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sterh ; 33 
 3516 ; Бона иностранная ;  ;  ;  ;  ; 62 ; jj ; 67 
 3517 ; Бона иностранная ;  ;  ;  ;  ; 27 ; ИЮМов1 ; 90 
 3518 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Серый_Михей ; 32 
 3519 ; Бона иностранная ;  ;  ;  ;  ; 106 ; sos1 ; 1428 
 3520 ; Бона иностранная ;  ;  ;  ;  ; 43 ; derk02 ; 350 
 3521 ; Бона иностранная ;  ;  ;  ;  ; 41 ; В1951 ; 40 
 3522 ; Бона иностранная ;  ;  ;  ;  ; 24 ; В1951 ; 30 
 3523 ; Бона иностранная ;  ;  ;  ;  ; 9 ; oper7430 ; 9 
 3524 ; Бона иностранная ;  ;  ;  ;  ; 16 ; oper7430 ; 16 
 3525 ; Бона иностранная ;  ;  ;  ;  ; 28 ; ИЮМов1 ; 31 
 3526 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Серый_Михей ; 24 
 3527 ; Бона иностранная ;  ;  ;  ;  ; 16 ; krugerrand ; 31 
 3528 ; Бона иностранная ;  ;  ;  ;  ; 21 ; derk02 ; 150 
 3529 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Roman_B ; 50 
 3530 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Roman_B ; 50 
 3531 ; Бона иностранная ;  ;  ;  ;  ; 10 ; молоток ; 31 
 3532 ; Бона иностранная ;  ;  ;  ;  ; 55 ; Roman_B ; 60 
 3533 ; Бона иностранная ;  ;  ;  ;  ; 37 ; нумизмат ; 102 
 3534 ; Бона иностранная ;  ;  ;  ;  ; 61 ; Germanfox ; 83 
 3535 ; Бона иностранная ;  ;  ;  ;  ; 9 ; oper7430 ; 15 
 3536 ; Бона иностранная ;  ;  ;  ;  ; 23 ; satyrn1 ; 30 
 3537 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Roman_B ; 40 
 3538 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Roman_B ; 40 
 3539 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Roman_B ; 50 
 3540 ; Бона иностранная ;  ;  ;  ;  ; 21 ; numizavr ; 105 
 3541 ; Бона иностранная ;  ;  ;  ;  ; 15 ; numizavr ; 45 
 3542 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Roman_B ; 64 
 3543 ; Бона иностранная ;  ;  ;  ;  ; 32 ; satyrn1 ; 80 
 3444 ; Бона иностранная ;  ;  ;  ;  ; 28 ; igaist ; 29 
 3445 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Скрудж ; 30 
 3446 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Скрудж ; 31 
 3447 ; Бона иностранная ;  ;  ;  ;  ; 24 ; из африки ; 24 
 3448 ; Бона иностранная ;  ;  ;  ;  ; 6 ; из африки ; 27 
 3449 ; Бона иностранная ;  ;  ;  ;  ; 35 ; sos1 ; 40 
 3450 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 28 
 3451 ; Бона иностранная ;  ;  ;  ;  ; 59 ; derk02 ; 135 
 3452 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Скрудж ; 31 
 3453 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Скрудж ; 35 
 3454 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 41 
 3455 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Скрудж ; 35 
 3456 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Скрудж ; 31 
 3457 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Скрудж ; 30 
 3458 ; Бона иностранная ;  ;  ;  ;  ; 12 ; из африки ; 24 
 3459 ; Бона иностранная ;  ;  ;  ;  ; 30 ; igaist ; 30 
 3460 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Скрудж ; 41 
 3461 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 35 
 3462 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Скрудж ; 30 
 3463 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Скрудж ; 34 
 3464 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 30 
 3465 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 30 
 3466 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 41 
 3467 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 41 
 3468 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Скрудж ; 31 
 3469 ; Бона иностранная ;  ;  ;  ;  ; 7 ; из африки ; 24 
 3470 ; Бона иностранная ;  ;  ;  ;  ; 29 ; brindamur ; 50 
 3471 ; Бона иностранная ;  ;  ;  ;  ; 5 ; brindamur ; 36 
 3472 ; Бона иностранная ;  ;  ;  ;  ; 32 ; brindamur ; 47 
 3473 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Скрудж ; 30 
 3474 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Скрудж ; 31 
 3475 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Скрудж ; 30 
 3476 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Серый_Михей ; 30 
 3477 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Lasto4kaSPB ; 37 
 3478 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Lasto4kaSPB ; 31 
 3479 ; Бона иностранная ;  ;  ;  ;  ; 29 ; Скрудж ; 31 
 3480 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 31 
 3481 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 31 
 3482 ; Бона иностранная ;  ;  ;  ;  ; 8 ; satyrn1 ; 30 
 3483 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 30 
 3484 ; Бона иностранная ;  ;  ;  ;  ; 8 ; из африки ; 24 
 3485 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Скрудж ; 30 
 3486 ; Бона иностранная ;  ;  ;  ;  ; 22 ; murew ; 40 
 3487 ; Бона иностранная ;  ;  ;  ;  ; 10 ; koga ; 30 
 3488 ; Бона иностранная ;  ;  ;  ;  ; 36 ; ИЮМов1 ; 125 
 3489 ; Бона иностранная ;  ;  ;  ;  ; 14 ; murew ; 47 
 3490 ; Бона иностранная ;  ;  ;  ;  ; 15 ; murew ; 47 
 3491 ; Бона иностранная ;  ;  ;  ;  ; 19 ; murew ; 47 
 3492 ; Бона иностранная ;  ;  ;  ;  ; 15 ; murew ; 47 
 3493 ; Бона иностранная ;  ;  ;  ;  ; 15 ; murew ; 47 
 3394 ; 2 рубля ; 1919 ; Расчетные знаки РСФСР ;  ; AU ; 22 ; kotyamoi ; 152 
 3395 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР ;  ; AU ; 20 ; строитель ; 149 
 3396 ; 5 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ; AU ; 26 ; Злой 2 ; 261 
 3397 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ; AU ; 66 ; бонннистт ; 1532 
 3398 ; 1 рубль ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ; AU ; 72 ; бонннистт ; 2042 
 3399 ; 50 копеек Одесса ; 1917 ;  ;  ; AU ; 49 ; кве ; 624 
 3400 ; 10 копеек ;  ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ; AU ; 20 ; QSCl ; 663 
 3401 ; 15 рублей ;  ; Расчетные знаки РСФСР образца 1919 г. ;  ; AU ; 40 ; бонннистт ; 1022 
 3402 ; 500 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; AU ; 58 ; бонннистт ; 541 
 3403 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; AU ; 30 ; бонннистт ; 968 
 3404 ; 250 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; AU ; 34 ; бонннистт ; 1532 
 3405 ; 1 рубль ; 1919 ; Латвия. Разменный знак ;  ; AU ; 27 ; shais1 ; 499 
 3406 ; 3 рубля ; 1961 ; Гос.казначейский билет ;  ; AU ; 14 ; TECHNO ; 102 
 3407 ; 5 рублей ; 1991 ; билет ;  ; AU ; 48 ; TECHNO ; 50 
 3408 ; 3 рубля ; 1919 ; Латвия. Разменный знак ;  ; AU ; 25 ; shais1 ; 555 
 3409 ; 1 рубль ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ; AU ; 63 ; AnvlaSar6216 ; 1326 
 3410 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ; AU ; 49 ; lvd ; 2036 
 3411 ; 250 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ; AU ; 38 ; sergoizadlera ; 276 
 3412 ; 5 рублей ; 1918 ; Казначейский знак Сибирского временного правительства ;  ; AU ; 45 ; ШВС59 ; 407 
 3413 ; 3 рубля. Хабаровск ; 1919 ;  ;  ; AU ; 41 ; Fedor_K ; 1601 
 3414 ; 5 рублей. Хабаровск ; 1919 ;  ;  ; AU ; 40 ; QSCl ; 1634 
 3415 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ; AU ; 71 ; бонннистт ; 1558 
 3416 ; 10 рублей ; 1918 ; Чек (без штампов регистрации) ;  ; AU ; 16 ; хъ0 ; 2029 
 3417 ; 10 рублей ; 1918 ; Чек (без штампов регистрации) ;  ; AU ; 27 ; хъ0 ; 2081 
 3418 ; 3 рубля ; 1918 ; Чек (без штампов регистрации) ;  ; AU ; 26 ; ф555 ; 2279 
 3419 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 17 ; iaiaia ; 253 
 3420 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ; AU ; 31 ; бонннистт ; 3570 
 3421 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 12 ; AnvlaSar6216 ; 347 
 3422 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 22 ; iaiaia ; 345 
 3423 ; 500 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ; AU ; 36 ; большенедам ; 3930 
 3424 ; 10000 рублей ; 1919 ;  ;  ; AU ; 43 ; ШВС59 ; 1259 
 3425 ; 1000 рублей ; 1919 ;  ;  ; AU ; 40 ; бонннистт ; 1071 
 3426 ; 500 рублей ; 1918 ;  ;  ; AU ; 51 ; бонннистт ; 1338 
 3427 ; 1000 рублей. Юденич ; 1919 ;  ;  ; AU ; 82 ; ШВС59 ; 3484 
 3428 ; 10 рублей. Елисаветоград сцепка 2 шт ; 1918 ;  ;  ; XF-AU ; 67 ; nb ; 2447 
 3429 ; 3 рубля. Могилев сцепка 2 шт ; 1918 ;  ;  ; XF-AU ; 62 ; derk02 ; 3445 
 3430 ; 5000 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ; AU ; 58 ; Як-40 ; 16498 
 3431 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 31 
 3432 ; Бона иностранная ;  ;  ;  ;  ; 29 ; Скрудж ; 50 
 3433 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 34 
 3434 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 33 
 3435 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 34 
 3436 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Скрудж ; 33 
 3437 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Скрудж ; 38 
 3438 ; Бона иностранная ;  ;  ;  ;  ; 26 ; murew ; 47 
 3439 ; Бона иностранная ;  ;  ;  ;  ; 17 ; murew ; 47 
 3440 ; Бона иностранная ;  ;  ;  ;  ; 14 ; murew ; 31 
 3441 ; Бона иностранная ;  ;  ;  ;  ; 22 ; из африки ; 23 
 3442 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Скрудж ; 30 
 3443 ; Бона иностранная ;  ;  ;  ;  ; 30 ; kotyamoi ; 30 
 3344 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 37 ; lina-I ; 150 
 3345 ; 25 рублей ; 1919 ;  ;  ;  ; 27 ; lina-I ; 159 
 3346 ; 50 рублей ; 1919 ;  ;  ;  ; 14 ; хъ0 ; 141 
 3347 ; 50 рублей ; 1919 ;  ;  ;  ; 11 ; lina-I ; 152 
 3348 ; 50 рублей ; 1919 ;  ;  ;  ; 11 ; Инвестор ; 155 
 3349 ; 50 рублей ; 1919 ;  ;  ;  ; 27 ; Инвестор ; 139 
 3350 ; 50 рублей ; 1919 ;  ;  ;  ; 25 ; Инвестор ; 141 
 3351 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 42 ; armadavls ; 903 
 3352 ; 100 рублей ; 1961 ;  ;  ;  ; 64 ; murzik20 ; 429 
 3353 ; 50 рублей ; 1961 ; билет ;  ;  ; 37 ; murzik20 ; 293 
 3354 ; 100 рублей ; 1991 ; билет ;  ;  ; 27 ; Brabus ; 34 
 3355 ; 100 рублей ; 1991 ; билет ;  ;  ; 28 ; TECHNO ; 267 
 3356 ; 500 рублей ; 1991 ; билет ;  ;  ; 43 ; АНАТОЛИЙ ; 306 
 3357 ; 500 рублей ; 1991 ; билет ;  ;  ; 120 ; kozerog ; 277 
 3358 ; 200 рублей ; 1992 ; билет ;  ;  ; 61 ; wadim.lbt ; 241 
 3359 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 30 ; ALEX-S ; 30 
 3360 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 30 ; olimpic74 ; 30 
 3361 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 12 ; kozerog ; 30 
 3362 ; 1 рубль. Царицин ; 1918 ;  ;  ;  ; 49 ; ф555 ; 399 
