 3263 ; 50 рублей ; 1919 ;  ;  ;  ; 56 ; vanamo ; 194 
 3225 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Prooof ; 33 
 3226 ; Бона иностранная ;  ;  ;  ;  ; 24 ; mirmirmir ; 70 
 3227 ; Бона иностранная ;  ;  ;  ;  ; 29 ; mirmirmir ; 61 
 3228 ; Бона иностранная ;  ;  ;  ;  ; 36 ; Prooof ; 53 
 3229 ; Бона иностранная ;  ;  ;  ;  ; 38 ; Ю.. ; 47 
 3230 ; Бона иностранная ;  ;  ;  ;  ; 20 ; 2244 ; 43 
 3231 ; Бона иностранная ;  ;  ;  ;  ; 28 ; 2244 ; 50 
 3232 ; Бона иностранная ;  ;  ;  ;  ; 27 ; 2244 ; 39 
 3233 ; Бона иностранная ;  ;  ;  ;  ; 17 ; 2244 ; 41 
 3234 ; Бона иностранная ;  ;  ;  ;  ; 28 ; sos1 ; 102 
 3235 ; Бона иностранная ;  ;  ;  ;  ; 52 ; lvovich ; 91 
 3236 ; Бона иностранная ;  ;  ;  ;  ; 34 ; 2244 ; 44 
 3237 ; Бона иностранная ;  ;  ;  ;  ; 40 ; vanamo ; 153 
 3238 ; Бона иностранная ;  ;  ;  ;  ; 39 ; vanamo ; 161 
 3239 ; Бона иностранная ;  ;  ;  ;  ; 37 ; Argnist3000 ; 62 
 3240 ; Бона иностранная ;  ;  ;  ;  ; 37 ; mirmirmir ; 46 
 3241 ; Бона иностранная ;  ;  ;  ;  ; 29 ; Argnist3000 ; 62 
 3242 ; Бона иностранная ;  ;  ;  ;  ; 27 ; max8888 ; 34 
 3243 ; Бона иностранная ;  ;  ;  ;  ; 45 ; мишок ; 65 
 3244 ; 3 рубля ; 1919 ;  ;  ;  ; 40 ; alex1959 ; 53 
 3245 ; 3 рубля (сцепка - 2 шт.) ; 1919 ;  ;  ;  ; 54 ; QSCl ; 149 
 3246 ; 10 копеек ; 1918 ;  ;  ;  ; 75 ; Ю.. ; 227 
 3247 ; 2 копейки ; 1929 ;  ;  ;  ; 61 ; бездельник22 ; 4331 
 3248 ; 1 копейка (сцепка - 4 шт.) ; 1917 ;  ;  ;  ; 28 ; Ю.. ; 363 
 3249 ; 2 копейки (сцерка - 4 шт.) ; 1917 ;  ;  ;  ; 80 ; Ю.. ; 363 
 3250 ; 5 рублей (сцепка - 2 шт.) ; 1922 ;  ;  ;  ; 68 ; lesnik1 ; 439 
 3251 ; 2 копейки ; 1976 ;  ;  ;  ; 44 ; смит ; 197 
 3252 ; 10 копеек ; 1976 ;  ;  ;  ; 27 ; ВВС ; 553 
 3253 ; 50 копеек ;  ;  ;  ;  ; 81 ; oae79 ; 175 
 3254 ; 5 рублей. Квартблок. ; 1920 ;  ;  ;  ; 84 ; ВВС ; 622 
 3255 ; 1 рубль ;  ;  ;  ;  ; 16 ; sigurd ; 31 
 3256 ; 1 рубль ; 1918 ;  ;  ;  ; 38 ; Cashman ; 2058 
 3257 ; 1 марка ; 1919 ;  ;  ;  ; 10 ; Cashman ; 816 
 3258 ; 5000 рублей ; 1922 ;  ;  ;  ; 38 ; Bagrin ; 627 
 3259 ; 3 рубля ; 1918 ;  ;  ;  ; 50 ; smel ; 347 
 3260 ; 1 рубль ; 1922 ;  ;  ;  ; 65 ; strestas ; 521 
 3261 ; 5 рублей ; 1918 ;  ;  ;  ; 37 ; mirmirmir ; 216 
 3262 ; 100 рублей ; 1920 ;  ;  ;  ; 26 ; andrei6808 ; 466 
 3163 ; Бона иностранная ;  ;  ;  ;  ; 8 ; цц ; 20 
 3164 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Ромбор ; 32 
 3165 ; Бона иностранная ;  ;  ;  ;  ; 9 ; цц ; 20 
 3166 ; Бона иностранная ;  ;  ;  ;  ; 12 ; lesnik1 ; 34 
 3167 ; Бона иностранная ;  ;  ;  ;  ; 9 ; bolik ; 30 
 3168 ; Бона иностранная ;  ;  ;  ;  ; 16 ; цц ; 28 
 3169 ; Бона иностранная ;  ;  ;  ;  ; 15 ; цц ; 26 
 3170 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Rustman ; 26 
 3171 ; Бона иностранная ;  ;  ;  ;  ; 29 ; bolik ; 30 
 3172 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Prooof ; 32 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 37 ; Saneck ; 33 
 3174 ; Бона иностранная ;  ;  ;  ;  ; 51 ; slav_1962 ; 55 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 54 ; Nirvanych ; 91 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Rustman ; 21 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Sky2 ; 34 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 15 ; й12 ; 26 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Prooof ; 36 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 40 ; Prooof ; 37 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Sky2 ; 25 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 16 ; mirmirmir ; 52 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Prooof ; 97 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 32 ; falcom.v ; 38 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 40 ; Prooof ; 77 
 3186 ; Бона иностранная ;  ;  ;  ;  ; 18 ; free_mann ; 35 
 3187 ; Бона иностранная ;  ;  ;  ;  ; 8 ; цц ; 22 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 13 ; цц ; 25 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Nirvanych ; 151 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Prooof ; 45 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Prooof ; 31 
 3192 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Ю.. ; 31 
 3193 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 2244 ; 50 
 3194 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Prooof ; 46 
 3195 ; Бона иностранная ;  ;  ;  ;  ; 41 ; mirmirmir ; 50 
 3196 ; Бона иностранная ;  ;  ;  ;  ; 14 ; mirmirmir ; 33 
 3197 ; Бона иностранная ;  ;  ;  ;  ; 24 ; mirmirmir ; 31 
 3198 ; Бона иностранная ;  ;  ;  ;  ; 24 ; slav_1962 ; 34 
 3199 ; Бона иностранная ;  ;  ;  ;  ; 11 ; max8888 ; 32 
 3200 ; Бона иностранная ;  ;  ;  ;  ; 44 ; Prooof ; 48 
 3201 ; Бона иностранная ;  ;  ;  ;  ; 26 ; max8888 ; 34 
 3202 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Prooof ; 34 
 3203 ; Бона иностранная ;  ;  ;  ;  ; 19 ; max8888 ; 34 
 3204 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Ramzess ; 63 
 3205 ; Бона иностранная ;  ;  ;  ;  ; 20 ; max8888 ; 40 
 3206 ; Бона иностранная ;  ;  ;  ;  ; 48 ; Nirvanych ; 125 
 3207 ; Бона иностранная ;  ;  ;  ;  ; 30 ; цц ; 29 
 3208 ; Бона иностранная ;  ;  ;  ;  ; 31 ; max8888 ; 39 
 3209 ; Бона иностранная ;  ;  ;  ;  ; 44 ; 2244 ; 87 
 3210 ; Бона иностранная ;  ;  ;  ;  ; 20 ; й12 ; 44 
 3211 ; Бона иностранная ;  ;  ;  ;  ; 22 ; й12 ; 46 
 3212 ; Бона иностранная ;  ;  ;  ;  ; 16 ; й12 ; 47 
 3113 ; Листовка ;  ;  ;  ;  ; 29 ; Ohotnik ; 520 
 3114 ; 1 червонец (2 шт) ; 1937 ;  ;  ;  ; 27 ; alex1959 ; 165 
 3115 ; 20, 40 рублей (7 шт) ;  ;  ;  ;  ; 24 ; СТАРПОМ ; 102 
 3116 ; 1 рубль (13 шт) ; 1898 ;  ;  ;  ; 29 ; Sky2 ; 313 
 3117 ; 5 рублей (23 шт) ; 1909 ;  ;  ;  ; 22 ; Sky2 ; 408 
 3118 ; 10 рублей ( 5шт) ; 1909 ;  ;  ;  ; 54 ; Argnist3000 ; 157 
 3119 ; 10 рублей (8 шт) ; 1909 ;  ;  ;  ; 30 ; alexnkru ; 199 
 3120 ; Набор марок. Европа ;  ;  ;  ;  ; 9 ; radion ; 250 
 3121 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ФРАНКИНШТЕЙН ; 25 
 3122 ; Бона иностранная ;  ;  ;  ;  ; 25 ; sos1 ; 50 
 3123 ; Бона иностранная ;  ;  ;  ;  ; 23 ; max8888 ; 25 
 3124 ; Бона иностранная ;  ;  ;  ;  ; 20 ; bolik ; 30 
 3125 ; Бона иностранная ;  ;  ;  ;  ; 11 ; edv1968 ; 21 
 3126 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Rustman ; 23 
 3127 ; Бона иностранная ;  ;  ;  ;  ; 11 ; edv1968 ; 21 
 3128 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Ю.. ; 23 
 3129 ; Бона иностранная ;  ;  ;  ;  ; 15 ; bolik ; 30 
 3130 ; Бона иностранная ;  ;  ;  ;  ; 12 ; цц ; 24 
 3131 ; Бона иностранная ;  ;  ;  ;  ; 11 ; цц ; 22 
 3132 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ФРАНКИНШТЕЙН ; 22 
 3133 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Rustman ; 23 
 3134 ; Бона иностранная ;  ;  ;  ;  ; 16 ; bolik ; 30 
 3135 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bolik ; 30 
 3136 ; Бона иностранная ;  ;  ;  ;  ; 15 ; bolik ; 30 
 3137 ; Бона иностранная ;  ;  ;  ;  ; 29 ; capitan.71 ; 30 
 3138 ; Бона иностранная ;  ;  ;  ;  ; 14 ; цц ; 14 
 3139 ; Бона иностранная ;  ;  ;  ;  ; 20 ; bolik ; 30 
 3140 ; Бона иностранная ;  ;  ;  ;  ; 16 ; bolik ; 30 
 3141 ; Бона иностранная ;  ;  ;  ;  ; 12 ; bolik ; 30 
 3142 ; Бона иностранная ;  ;  ;  ;  ; 19 ; цц ; 29 
 3143 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bolik ; 30 
 3144 ; Бона иностранная ;  ;  ;  ;  ; 12 ; bolik ; 30 
 3145 ; Бона иностранная ;  ;  ;  ;  ; 12 ; bolik ; 30 
 3146 ; Бона иностранная ;  ;  ;  ;  ; 12 ; bolik ; 30 
 3147 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bolik ; 30 
 3148 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bolik ; 30 
 3149 ; Бона иностранная ;  ;  ;  ;  ; 12 ; bolik ; 30 
 3150 ; Бона иностранная ;  ;  ;  ;  ; 18 ; цц ; 29 
 3151 ; Бона иностранная ;  ;  ;  ;  ; 17 ; bolik ; 30 
 3152 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ФРАНКИНШТЕЙН ; 31 
 3153 ; Бона иностранная ;  ;  ;  ;  ; 10 ; bolik ; 30 
 3154 ; Бона иностранная ;  ;  ;  ;  ; 15 ; цц ; 26 
 3155 ; Бона иностранная ;  ;  ;  ;  ; 14 ; цц ; 28 
 3156 ; Бона иностранная ;  ;  ;  ;  ; 16 ; цц ; 29 
 3157 ; Бона иностранная ;  ;  ;  ;  ; 10 ; цц ; 24 
 3158 ; Бона иностранная ;  ;  ;  ;  ; 16 ; цц ; 29 
 3159 ; Бона иностранная ;  ;  ;  ;  ; 9 ; bolik ; 30 
 3160 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Rustman ; 30 
 3161 ; Бона иностранная ;  ;  ;  ;  ; 10 ; цц ; 24 
 3162 ; Бона иностранная ;  ;  ;  ;  ; 10 ; цц ; 24 
 3063 ; 2 доллара. США ; 2003 ;  ;  ; AU ; 34 ; Him ; 306 
 3064 ; 5 рублей. Одесса ; 1917 ;  ;  ; AU ; 26 ; Alks75 ; 612 
 3065 ; 3 рубля. Одесса ; 1917 ;  ;  ; AU ; 39 ; Alks75 ; 622 
 3066 ; 5 рублей ; 1918 ; Чек (без штампов регистрации) ;  ; AU ; 64 ; sos1 ; 2064 
 3067 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 57 ; ВВС ; 327 
 3068 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 40 ; А25 ; 102 
 3069 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 13 ; ***** ; 50 
 3070 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 15 ; А25 ; 53 
 3071 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 11 ; dragonfly ; 59 
 3072 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 5 ; Bagrin ; 43 
 3073 ; 1 доллар ; 1907 ;  ;  ;  ; 39 ; смит ; 3060 
 3074 ; 2 гривны. Камянец-Подольский ; 1919 ;  ;  ;  ; 45 ; смит ; 2550 
 3075 ; 25 рублей. Висимо-Шайтанское ОП ; 1919 ;  ;  ;  ; 53 ; смит ; 3095 
 3076 ; 5 рублей. Висимо-Шайтанское ОП ; 1919 ;  ;  ;  ; 34 ; смит ; 3570 
 3077 ; 10 рублей. Висимо-Шайтанское ОП ; 1919 ;  ;  ;  ; 16 ; смит ; 2169 
 3078 ; 100 рублей ; 1919 ; Закаспийское Временное Правите ;  ;  ; 12 ; Ю.. ; 318 
 3079 ; 100 рублей ; 1919 ; Закаспийское Временное Правите ;  ;  ; 15 ; okotv ; 357 
 3080 ; 1000000 рублей ; 1923 ; Закавказье ;  ;  ; 45 ; unkas79 ; 257 
 3081 ; 10000000 рублей ; 1923 ; Закавказье ;  ;  ; 16 ; bethowen ; 329 
 3082 ; 50000 рублей ; 1923 ; Закавказье ;  ;  ; 15 ; Соколов ; 401 
 3083 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ;  ; 30 ; Sky2 ; 521 
 3084 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ;  ; 30 ; YSV ; 663 
 3085 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ;  ; 22 ; ВВС ; 1295 
 3086 ; 50 рублей ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 34 ; цц ; 350 
 3087 ; 50 рублей ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 10 ; цц ; 390 
 3088 ; 100 рублей ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 24 ; vvp500 ; 420 
 3089 ; 100 рублей ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 16 ; цц ; 355 
 3090 ; 500 рублей ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 31 ; Bagrin ; 428 
 3091 ; 500 рублей ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 29 ; vvp500 ; 473 
 3092 ; 50 копеек ; 1918 ; Семиреченский Областной Совет ;  ;  ; 18 ; смит ; 4598 
 3093 ; 50 рублей ; 1920 ; Бухарская Республика ;  ;  ; 34 ; k212 ; 1224 
 3094 ; Записка С. И. Мальцева ;  ;  ;  ;  ; 100 ; tyu ; 14280 
 3095 ; 25 рублей ; 1922 ; Бухарская Республика ;  ;  ; 32 ; lesnik1 ; 1249 
 3096 ; 5 червонцев ; 1928 ; Билет ;  ;  ; 99 ; rfgbnjy ; 19065 
 3097 ; 1000 рублей ; 1922 ;  ;  ;  ; 62 ; смит ; 5229 
 3098 ; 1000 рублей ; 1917 ; Денежные знаки ;  ; AU ; 38 ; rizovtpl ; 597 
 3099 ; 1000 рублей ; 1917 ; Денежные знаки ;  ; AU ; 51 ; irokez ; 560 
 3100 ; 1000 рублей ; 1917 ; Денежные знаки ;  ; AU ; 40 ; QSCl ; 585 
 3101 ; Заем г. Москвы ; 1908 ;  ;  ;  ; 33 ; irokez ; 601 
 3102 ; 4 заем г. С.-Петербурга ; 1901 ;  ;  ;  ; 39 ; Ю.. ; 1112 
 3103 ; 4 заем г. Одессы ; 1902 ;  ;  ;  ; 31 ; Ю.. ; 1179 
 3104 ; билет внутреннего займа г. Баку ; 1919 ;  ;  ;  ; 92 ; kont ; 1530 
 3105 ; 10 червонцев ; 1937 ;  ;  ;  ; 21 ; evgen72 ; 200 
 3106 ; 100 рублей ; 1947 ;  ;  ;  ; 22 ; сми ; 255 
 3107 ; 25 рублей ; 1909 ;  ;  ;  ; 26 ; alexnkru ; 50 
 3108 ; 25 рублей ; 1909 ;  ;  ;  ; 7 ; alexnkru ; 51 
 3109 ; 25 рублей ; 1909 ;  ;  ;  ; 40 ; alexnkru ; 79 
 3110 ; 25 рублей ; 1909 ;  ;  ;  ; 17 ; asternox ; 53 
 3111 ; 25 рублей ; 1909 ;  ;  ;  ; 32 ; мишок ; 82 
 3112 ; Листовка ;  ;  ;  ;  ; 30 ; хяня ; 376 
 3013 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 11 ; capitan.71 ; 102 
 3014 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 13 ; ksv1 ; 153 
 3015 ; 20 гривен. Проскуров ; 1919 ;  ;  ;  ; 115 ; смит ; 1016 
 3016 ; 30 рублей ;  ; Расчетные знаки РСФСР образца  ;  ;  ; 20 ; Антон-15 ; 361 
 3017 ; 60 рублей ;  ; Расчетные знаки РСФСР образца  ;  ;  ; 59 ; Антон-15 ; 411 
 3018 ; 100 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 11 ; capitan.71 ; 119 
 3019 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 15 ; QSCl ; 155 
 3020 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 10 ; vladzory ; 151 
 3021 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 13 ; vladzory ; 150 
 3022 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 18 ; sveta6369 ; 41 
 3023 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 38 ; Lotus 99 ; 60 
 3024 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 5 ; vladzory ; 151 
 3025 ; 50 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 18 ; Lotus 99 ; 105 
 3026 ; 25 рублей ; 1918 ;  ;  ;  ; 27 ; koga ; 206 
 3027 ; 100 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 53 ; А25 ; 733 
 3028 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 17 ; Lotus 99 ; 161 
 3029 ; 3 червонца ; 1932 ; Билет ;  ;  ; 20 ; vladzory ; 542 
 3030 ; 3 червонца ; 1932 ; Билет ;  ;  ; 37 ; unkas79 ; 457 
 3031 ; 3 червонца ; 1932 ; Билет ;  ;  ; 43 ; lesnik1 ; 826 
 3032 ; 3 червонца ; 1937 ; Билет ;  ;  ; 9 ; Sky2 ; 153 
 3033 ; 3 червонца ; 1937 ; Билет ;  ;  ; 15 ; Sky2 ; 153 
 3034 ; 3 червонца ; 1937 ; Билет ;  ;  ; 8 ; Sky2 ; 151 
 3035 ; 3 червонца ; 1937 ; Билет ;  ;  ; 23 ; alex1959 ; 161 
 3036 ; 3 червонца ; 1937 ; Билет ;  ;  ; 33 ; alex1959 ; 113 
 3037 ; 3 червонца ; 1937 ; Билет ;  ;  ; 47 ; skif ; 164 
 3038 ; 3 червонца ; 1937 ; Билет ;  ;  ; 22 ; Ю.. ; 105 
 3039 ; 3 червонца ; 1937 ; Билет ;  ;  ; 23 ; evgen72 ; 185 
 3040 ; 3 червонца ; 1937 ; Билет ;  ;  ; 11 ; strestas ; 204 
 3041 ; 100 рублей ; 1918 ; Закавказье ;  ;  ; 30 ; unkas79 ; 250 
 3042 ; 1000 рублей ; 1920 ; Грузия ;  ;  ; 66 ; Bagrin ; 204 
 3043 ; Карточка на хлеб ; 1918 ;  ;  ;  ; 55 ; finder ; 2301 
 3044 ; Карточка на хлеб ; 1918 ;  ;  ;  ; 68 ; tyu ; 2429 
 3045 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 18 ; Танзан ; 157 
 3046 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 21 ; Танзан ; 69 
 3047 ; 10000 рублей ; 1919 ;  ;  ;  ; 19 ; Антошка ; 327 
 3048 ; 10000 рублей ; 1919 ;  ;  ;  ; 14 ; Luka ; 250 
 3049 ; 1000 рублей ; 1919 ;  ;  ;  ; 13 ; 2244 ; 192 
 3050 ; 1000 рублей ; 1919 ;  ;  ;  ; 35 ; Luka ; 297 
 3051 ; 500 рублей ; 1993 ; банкнота ;  ; XF ; 19 ; sveta6369 ; 53 
 3052 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; XF ; 16 ; Ramzess ; 373 
 3053 ; 5000 рублей ; 1995 ; банкнота ;  ; XF ; 55 ; Him ; 286 
 3054 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 3055 ; 50000 рублей ; 1995 ; банкнота ;  ; XF ; 18 ; smirnoff ; 480 
 3056 ; 50000 рублей ; 1995 ; банкнота ;  ; XF ; 37 ; smirnoff ; 480 
 3057 ; 10000 рублей ; 1993 ; банкнота ;  ; XF ; 25 ; 76ss76 ; 453 
 3058 ; 2 доллара. США ; 2003 ;  ;  ; AU ; 28 ; Синоптик ; 300 
 3059 ; 2 доллара. США ; 2003 ;  ;  ; AU ; 31 ; Him ; 302 
 3060 ; 2 доллара. США ; 2003 ;  ;  ; AU ; 22 ; Синоптик ; 276 
 3061 ; 2 доллара. США ; 2003 ;  ;  ; AU ; 35 ; Marych ; 309 
 3062 ; 2 доллара. США ; 2003 ;  ;  ; AU ; 31 ; Him ; 302 
 2963 ; Жетон.  50 токен ;  ;  ; Ж/м ; VF+ ; 7 ; alskr ; 8 
 2964 ; Игровой жетон ;  ;  ; Ж/м ; VF-XF ; 4 ; alskr ; 5 
 2965 ; Лот монет Германии: 5 марок, 3 марки, 2 марки (5шт) ; 1900-1936 ;  ; Ag ; F-VF ; 67 ; world1 ; 1977 
 2966 ; Лот монет Германии: 1 пфенниг (30шт) ; 1875-1916 ;  ; Cu ; F/VF- ; 13 ; Полянка ; 306 
 2967 ; Лот монет Германии: 200 марок, 50, 10, 5, 2 пфеннига (11шт) ; 1876,1901-1925 ;  ; Cu-Ni,Al,A ; VF-/XF ; 76 ; Rober ; 188 
 2968 ; Лот монет Германии: 2 пфеннига (20шт) ; 1874-1916 ;  ; Cu ; F/VF ; 22 ; vasia ; 261 
 2969 ; Лот монет Германии: 2 пфеннига (20шт) ; 1937-1940 ;  ; Br ; VF-/VF-XF ; 40 ; gematogen ; 787 
 2970 ; Лот монет Нидерландов: 1, 10, 25 центов (7шт) ; 1948 ;  ; Cu-Ni,Br ; VF/AU ; 42 ; asternox ; 85 
 2971 ; Лот монет Дании: 1, 2 эре (13шт) ; 1943-1959 ;  ; Zn ; F/VF- ; 47 ; mishanya ; 236 
 2972 ; Лот монет Нидерландов: 1 цент (15шт) ; 1948-1978 ;  ; Br ; VF/XF+ ; 17 ; nikolay ; 65 
 2973 ; Лот монет Франции: 5 сантимов (20шт) ; 1966-1998 ;  ; Al-Br ; VF/AU ; 19 ; Rustman ; 107 
 2974 ; Лот монет Дании: 5 эре (23шт) ; 1973-1982 ;  ; Ni ; VF/AU ; 15 ; nikolay ; 83 
 2975 ; Лот монет Нидерландов: 25 центов (23шт) ; 1955-1979 ;  ; Cu-Ni ; VF/AU ; 40 ; asternox ; 129 
 2976 ; Лот монет Молдовы: 10, 50 бани (7шт) ; 1966,2002-2008 ;  ; Al,Br ; VF+/AU ; 24 ; vanamo ; 23 
 2977 ; Лот монет Великобритании: 1 пенни (20шт) ; 1971-1994 ;  ; Br ; VF/AU ; 31 ; udaw ; 101 
 2978 ; Лот монет Испании: 5 песет (5шт) ; 1990-1992 ;  ; Al-Br ; VF+/AU ; 36 ; nikolay ; 36 
 2979 ; Лот монет Финляндии: 5 пенни (7шт) ; 1963-1974 ;  ; Br ; VF- ; 41 ; alex995 ; 69 
 2980 ; Лот монет Франции: 10 сантимов (19шт) ; 1963-1995 ;  ; Al-Br ; VF/AU ; 16 ; nikolay ; 88 
 2981 ; Лот монет Израиля (4шт) ; 20 век ;  ; Cu-Ni,Br ; VF-/XF+ ; 48 ; vanamo ; 61 
