 5556 ; Почтовая карточка Будапешт ; 1932 ;  ;  ;  ; 26 ; Приор ; 255 
 5474 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 8 ; pref ; 51 
 5475 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 12 ; STANDART ; 50 
 5476 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 10 ; collector64 ; 36 
 5477 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 17 ; бриз33 ; 99 
 5478 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 20 ; diskus72 ; 114 
 5479 ; Бона иностранная. Чехия ;  ;  ;  ;  ; 9 ; бриз33 ; 69 
 5480 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 7 ; бриз33 ; 41 
 5481 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 9 ; denisl ; 101 
 5482 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 9 ; танкер Дербент ; 100 
 5483 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 11 ; murman ; 50 
 5484 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 16 ; diskus72 ; 70 
 5485 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 11 ; element ; 36 
 5486 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 18 ; murman ; 80 
 5487 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 7 ; murman ; 70 
 5488 ; Бона иностранная. Польша ;  ;  ;  ;  ; 9 ; BSR ; 101 
 5489 ; Бона иностранная. Польша ;  ;  ;  ;  ; 9 ; X3.96rus ; 41 
 5490 ; Бона иностранная. Польша ;  ;  ;  ;  ; 28 ; hoop ; 30 
 5491 ; Бона иностранная. Польша ;  ;  ;  ;  ; 19 ; SER 888 ; 41 
 5492 ; Бона иностранная. Польша ;  ;  ;  ;  ; 11 ; element ; 42 
 5493 ; Бона иностранная. Польша ;  ;  ;  ;  ; 8 ; бриз33 ; 41 
 5494 ; Бона иностранная. Польша ;  ;  ;  ;  ; 34 ; alesjane ; 459 
 5495 ; Бона иностранная. Польша ;  ;  ;  ;  ; 36 ; BSR ; 450 
 5496 ; Бона иностранная. Польша ;  ;  ;  ;  ; 23 ; трутень ; 101 
 5497 ; Бона иностранная. Польша ;  ;  ;  ;  ; 17 ; трутень ; 101 
 5498 ; Бона иностранная. Греция ;  ;  ;  ;  ; 10 ; sifirot ; 51 
 5499 ; Бона иностранная. Греция ;  ;  ;  ;  ; 7 ; element ; 31 
 5500 ; Бона иностранная. Греция ;  ;  ;  ;  ; 16 ; diskus72 ; 61 
 5501 ; Бона иностранная. Греция ;  ;  ;  ;  ; 13 ; жора ; 81 
 5502 ; Бона иностранная. Греция ;  ;  ;  ;  ; 20 ; jj ; 51 
 5503 ; Бона иностранная. Туркменистан ;  ;  ;  ;  ; 9 ; зуммер ; 28 
 5504 ; Бона иностранная. Туркменистан ;  ;  ;  ;  ; 17 ; SER 888 ; 40 
 5505 ; Бона иностранная. Туркменистан ;  ;  ;  ;  ; 7 ; SER 888 ; 40 
 5405 ; Бона иностранная. Корея ;  ;  ;  ;  ; 11 ; 6x6 ; 101 
 5406 ; Бона иностранная. Корея ;  ;  ;  ;  ; 10 ; 6x6 ; 101 
 5407 ; Бона иностранная. Корея ;  ;  ;  ;  ; 19 ; 6x6 ; 101 
 5408 ; Бона иностранная. Корея ;  ;  ;  ;  ; 11 ; 6x6 ; 101 
 5409 ; Бона иностранная. Корея ;  ;  ;  ;  ; 23 ; 6x6 ; 101 
 5410 ; Бона иностранная. Корея ;  ;  ;  ;  ; 28 ; 6x6 ; 101 
 5411 ; Бона иностранная. Корея ;  ;  ;  ;  ; 21 ; 6x6 ; 101 
 5412 ; Бона иностранная. Корея ;  ;  ;  ;  ; 22 ; 6x6 ; 101 
 5413 ; Бона иностранная. Нигерия ;  ;  ;  ;  ; 30 ; sifirot ; 151 
 5414 ; Бона иностранная. Ангола ;  ;  ;  ;  ; 11 ; 4758 ; 106 
 5415 ; Бона иностранная. Ангола ;  ;  ;  ;  ; 19 ; 4758 ; 106 
 5416 ; Бона иностранная. Либерия ;  ;  ;  ;  ; 33 ; smel ; 120 
 5417 ; Бона иностранная. Либерия ;  ;  ;  ;  ; 25 ; smel ; 130 
 5418 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 20 ; an78gg ; 159 
 5419 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 13 ; бриз33 ; 65 
 5420 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 10 ; бриз33 ; 66 
 5421 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 13 ; бриз33 ; 53 
 5422 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 18 ; element ; 50 
 5423 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 11 ; цеховик ; 50 
 5424 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 15 ; element ; 31 
 5425 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 8 ; element ; 31 
 5426 ; Бона иностранная. Коста - Рика ;  ;  ;  ;  ; 6 ; я не робот ; 102 
 5427 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 9 ; цеховик ; 62 
 5428 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 5 ; танкер Дербент ; 100 
 5429 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 5 ; танкер Дербент ; 100 
 5430 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 13 ; element ; 51 
 5431 ; Бона иностранная. Кения ;  ;  ;  ;  ; 19 ; зуммер ; 123 
 5432 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 27 ; dsp ; 153 
 5433 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 32 ; murman ; 91 
 5434 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 12 ; murman ; 64 
 5435 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 15 ; murman ; 55 
 5437 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 17 ; murman ; 91 
 5438 ; Бона иностранная. Индонезия ;  ;  ;  ;  ; 11 ; жора ; 100 
 5439 ; Бона иностранная. Индонезия ;  ;  ;  ;  ; 5 ; vladmarkin ; 40 
 5440 ; Бона иностранная. Индонезия ;  ;  ;  ;  ; 5 ; vladmarkin ; 40 
 5441 ; Бона иностранная. Индонезия ;  ;  ;  ;  ; 21 ; element ; 35 
 5442 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 17 ; element ; 37 
 5443 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 12 ; element ; 41 
 5444 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 18 ; element ; 53 
 5445 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 20 ; element ; 32 
 5446 ; Бона иностранная. Лаос ;  ;  ;  ;  ; 5 ; pref ; 51 
 5447 ; Бона иностранная. Лаос ;  ;  ;  ;  ; 22 ; msgmit ; 144 
 5448 ; Бона иностранная. Лаос ;  ;  ;  ;  ; 12 ; element ; 41 
 5449 ; Бона иностранная. Лаос ;  ;  ;  ;  ; 14 ; element ; 41 
 5450 ; Бона иностранная. Лаос ;  ;  ;  ;  ; 15 ; бриз33 ; 36 
 5451 ; Бона иностранная. Лаос ;  ;  ;  ;  ; 19 ; бриз33 ; 46 
 5452 ; Бона иностранная. Непал ;  ;  ;  ;  ; 31 ; 6x6 ; 80 
 5453 ; Бона иностранная. Непал ;  ;  ;  ;  ; 15 ; бриз33 ; 45 
 5454 ; Бона иностранная. Непал ;  ;  ;  ;  ; 6 ; Alekss_27 ; 50 
 5455 ; Бона иностранная. Непал ;  ;  ;  ;  ; 5 ; бриз33 ; 18 
 5355 ; Бона иностранная Мексика ;  ;  ;  ;  ; 13 ; von_Schwarz ; 155 
 5356 ; Бона иностранная Мексика ;  ;  ;  ;  ; 18 ; max2008 ; 187 
 5357 ; Бона иностранная Мексика ;  ;  ;  ;  ; 11 ; fadeev.dima ; 204 
 5358 ; Бона иностранная Мексика ;  ;  ;  ;  ; 13 ; von_Schwarz ; 171 
 5359 ; Бона иностранная Мексика ;  ;  ;  ;  ; 14 ; lololo ; 186 
 5360 ; 1 доллар США ; 1999 ;  ;  ;  ; 22 ; Sputnik44 ; 107 
 5361 ; 1 доллар США ; 2001 ;  ;  ;  ; 18 ; vasek ; 186 
 5362 ; 1 доллар США ; 2003 ;  ;  ;  ; 23 ; alehandr ; 91 
 5363 ; 1 доллар США ; 2009 ;  ;  ;  ; 12 ; alehandr ; 75 
 5364 ; 5 долларов США ; 1963 ;  ;  ;  ; 26 ; alehandr ; 459 
 5365 ; Бона иностранная Япония ;  ;  ;  ;  ; 47 ; sifirot ; 161 
 5366 ; Бона иностранная Италия ;  ;  ;  ;  ; 27 ; трутень ; 102 
 5367 ; Бона иностранная Италия ;  ;  ;  ;  ; 13 ; von_Schwarz ; 41 
 5368 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 21 ; страус ; 51 
 5369 ; Бона иностранная Индонезия ;  ;  ;  ; AU ; 9 ; von_Schwarz ; 57 
 5370 ; Бона иностранная Гондурас ; 1965 ;  ;  ;  ; 15 ; fadeev.dima ; 322 
 5371 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 9 ; ZIMOGOR ; 153 
 5372 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 18 ; pref ; 128 
 5373 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 9 ; бриз33 ; 57 
 5374 ; Лот бон иностранных 8 шт ;  ;  ;  ;  ; 8 ; element ; 59 
 5375 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 11 ; STANDART ; 108 
 5376 ; Лот бон Вьетнам 2 шт ;  ;  ;  ;  ; 18 ; Krys ; 313 
 5377 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 52 ; alesjane ; 169 
 5378 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 52 ; apach ; 153 
 5379 ; Лот бон иностранных 5 шт ;  ;  ;  ; AU ; 19 ; apach ; 126 
 5380 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 35 ; трутень ; 85 
 5381 ; Бона иностранная Ангола ; 1973 ;  ;  ;  ; 3 ; Olimpia ; 125 
 5382 ; 1 доллар Канада ;  ;  ;  ;  ; 31 ; pref ; 90 
 5383 ; Бона иностранная Лаос ;  ;  ;  ; AU ; 7 ; vladmarkin ; 57 
 5384 ; Бона иностранная. Франция ;  ;  ;  ;  ; 12 ; нв1975 ; 305 
 5385 ; Бона иностранная. Испания ;  ;  ;  ;  ; 11 ; зуммер ; 75 
 5386 ; Бона иностранная. Испания ;  ;  ;  ;  ; 7 ; xoltecl ; 101 
 5387 ; Бона иностранная. Испания ;  ;  ;  ;  ; 29 ; diskus72 ; 102 
 5388 ; Бона иностранная. Швеция ;  ;  ;  ;  ; 5 ; танкер Дербент ; 100 
 5389 ; Бона иностранная. Швеция ;  ;  ;  ;  ; 5 ; 4758 ; 97 
 5390 ; Бона иностранная. Бельгия ;  ;  ;  ;  ; 5 ; танкер Дербент ; 100 
 5391 ; Бона иностранная. Дания ;  ;  ;  ;  ; 3 ; 4758 ; 104 
 5392 ; Бона иностранная. Португалия ;  ;  ;  ;  ; 9 ; я не робот ; 135 
 5393 ; Бона иностранная. Португалия ;  ;  ;  ;  ; 5 ; зуммер ; 65 
 5394 ; Бона иностранная. Италия ;  ;  ;  ;  ; 16 ; element ; 41 
 5395 ; Бона иностранная. Италия ;  ;  ;  ;  ; 22 ; element ; 41 
 5396 ; Бона иностранная. Италия ;  ;  ;  ;  ; 25 ; diskus72 ; 95 
 5397 ; Бона иностранная. Италия ;  ;  ;  ;  ; 16 ; бриз33 ; 53 
 5398 ; Бона иностранная. Татарстан ;  ;  ;  ;  ; 13 ; трутень ; 70 
 5399 ; Бона иностранная. Ирак ;  ;  ;  ; AU ; 58 ; Andreyspb ; 713 
 5400 ; Бона иностранная. Ирак ;  ;  ;  ; AU ; 44 ; зуммер ; 1134 
 5401 ; Бона иностранная. Иран ;  ;  ;  ; AU ; 22 ; teso ; 207 
 5402 ; Бона иностранная. Иран ;  ;  ;  ; AU ; 34 ; Hamlet ; 453 
 5403 ; Бона иностранная. Корея ;  ;  ;  ;  ; 18 ; 6x6 ; 167 
 5404 ; Бона иностранная. Корея ;  ;  ;  ;  ; 52 ; 6x6 ; 142 
 5305 ; Лот нотгельдов Германия 3 шт ; 1922 ;  ;  ;  ; 24 ; Ok203 ; 235 
 5306 ; Лот нотгельдов Германия 6 шт ; 1921 ;  ;  ;  ; 13 ; Ok203 ; 576 
 5307 ; 5 марок Германия ; 1960 ;  ;  ;  ; 21 ; xoltecl ; 150 
 5308 ; 50 марок Германия ; 1933 ;  ;  ;  ; 15 ; Ostriy ; 136 
 5309 ; 1000 марок Финляндия ; 1955 ;  ;  ;  ; 28 ; lololo ; 3570 
 5310 ; 100 марок Финляндия ; 1957 ;  ;  ;  ; 22 ; SKH ; 261 
 5311 ; 100 марок Финляндия ; 1986 ;  ;  ;  ; 21 ; tss ; 680 
 5312 ; 50 марок Финляндия ; 1986 ;  ;  ;  ; 31 ; NGG ; 1010 
 5313 ; 5 марок Финляндия ; 1945 ;  ;  ;  ; 21 ; SKH ; 132 
 5314 ; 5 марок Финляндия ; 1963 ;  ;  ;  ; 19 ; трутень ; 63 
 5315 ; 1 марка Финляндия ; 1963 ;  ;  ; AU ; 47 ; SKH ; 111 
 5316 ; 10 крон Дания ; 1939 ;  ;  ;  ; 37 ; lololo ; 257 
 5317 ; 5 крон Дания ; 1943 ;  ;  ;  ; 62 ; asru ; 393 
 5318 ; 1 крона Дания ; 1921 ;  ;  ;  ; 23 ; alesjane ; 135 
 5319 ; 10 крон Дания ; 1972 ;  ;  ;  ; 27 ; SKH ; 306 
 5320 ; 10 крон Дания ; 1936 ;  ;  ;  ; 17 ; трутень ; 140 
 5321 ; 1 крона Норвегия ; 1948 ;  ;  ;  ; 8 ; alesjane ; 102 
 5322 ; 10 крон Норвегия ; 1971 ;  ;  ;  ; 5 ; von_Schwarz ; 102 
 5323 ; 10 крон Норвегия ; 1979 ;  ;  ;  ; 14 ; alesjane ; 114 
 5324 ; 10 крон Исландия ; 1961 ;  ;  ;  ; 12 ; Хаа ; 102 
 5325 ; 25 крон Исландия ; 1961 ;  ;  ;  ; 33 ; pref ; 102 
 5326 ; 50 крон Исландия ; 1961 ;  ;  ;  ; 27 ; Sammler ; 138 
 5327 ; 100 крон Исландия ; 1961 ;  ;  ;  ; 8 ; Sammler ; 109 
 5328 ; 10 крон Фарерские о-ва ; 1949 ;  ;  ;  ; 21 ; lololo ; 340 
 5329 ; Бона иностранная Великобритания ;  ;  ;  ;  ; 34 ; murman ; 105 
 5330 ; 1 фунт Шотландия ; 1977 ;  ;  ;  ; 17 ; D-503 ; 226 
 5331 ; 1 фунт Шотландия ; 1976 ;  ;  ;  ; 32 ; D-503 ; 337 
 5332 ; 1 фунт Шотландия ; 1975 ;  ;  ;  ; 28 ; sifirot ; 372 
 5333 ; 5 крон Швеция ; 1981 ;  ;  ; XF+ ; 12 ; ervin ; 90 
 5334 ; 5 крон Швеция ; 1952 ;  ;  ;  ; 19 ; tss ; 227 
 5335 ; 50 крон Швеция ; 1981 ;  ;  ; XF+ ; 39 ; asru ; 601 
 5336 ; 50 крон Швеция ;  ;  ;  ; AU ; 51 ; я не робот ; 520 
 5337 ; 100 крон Швеция ; 1956 ;  ;  ;  ; 31 ; diskus72 ; 708 
 5338 ; 100 крон Швеция ; 1983 ;  ;  ; XF ; 55 ; deasd ; 657 
 5339 ; Бона иностранная Италия ;  ;  ;  ;  ; 20 ; sifirot ; 453 
 5340 ; Бона иностранная Нидерланды ; 1973 ;  ;  ;  ; 28 ; alesjane ; 155 
 5341 ; Бона иностранная Польша ; 1994 ;  ;  ;  ; 11 ; Мотя ; 130 
 5342 ; Лот бон Эстония 2 шт ; 1994-2007 ;  ;  ;  ; 12 ; вэл ; 29 
 5343 ; 100 франков Люксенбург ; 1970 ;  ;  ;  ; 38 ; SKH ; 514 
 5344 ; 50 драхм Греция ; 1964 ;  ;  ; AU ; 45 ; Andreyspb ; 344 
 5345 ; 50 франков Бельгия ; 1966 ;  ;  ;  ; 17 ; вэл ; 41 
 5346 ; 5 франков Франция ; 1943 ;  ;  ;  ; 25 ; папашаГарпагон ; 126 
 5347 ; Бона иностранная Ангола ; 1947 ;  ;  ;  ; 33 ; ufa ; 694 
 5348 ; Бона иностранная Французская Западная Африка ; 1954 ;  ;  ;  ; 33 ; ZIMOGOR ; 227 
 5349 ; Бона иностранная Гана ;  ;  ;  ;  ; 19 ; von_Schwarz ; 396 
 5350 ; Бона иностранная Гана ;  ;  ;  ;  ; 11 ; Краснодар ; 130 
 5351 ; Бона иностранная Гана ; 1962 ;  ;  ;  ; 33 ; von_Schwarz ; 335 
 5352 ; Бона иностранная Мексика ;  ;  ;  ;  ; 13 ; smel ; 410 
 5353 ; Бона иностранная Мексика ;  ;  ;  ;  ; 11 ; cochu ; 151 
 5354 ; Бона иностранная Мексика ;  ;  ;  ;  ; 34 ; SKH ; 188 
 5255 ; Бона иностранная  Германия ; 1923 ;  ;  ;  ; 5 ; diskus72 ; 125 
 5256 ; Бона иностранная  Германия ; 1923 ;  ;  ;  ; 11 ; diskus72 ; 184 
 5257 ; Бона иностранная  Германия ; 1923 ;  ;  ;  ; 8 ; diskus72 ; 104 
 5258 ; Бона иностранная  Германия ; 1923 ;  ;  ;  ; 6 ; smel ; 114 
 5259 ; Бона иностранная  Германия ; 1923 ;  ;  ;  ; 9 ; diskus72 ; 104 
 5260 ; Бона иностранная  Германия ; 1918 ;  ;  ;  ; 9 ; Jon Snow ; 101 
 5261 ; Бона иностранная  Германия ; 1919 ;  ;  ;  ; 7 ; vladmarkin ; 113 
 5262 ; Бона иностранная  Германия ; 1923 ;  ;  ;  ; 8 ; vladmarkin ; 111 
 5263 ; Бона иностранная  Германия ; 1916 ;  ;  ;  ; 10 ; Майкл ; 327 
 5264 ; Бона иностранная  Германия ; 1918 ;  ;  ;  ; 12 ; smel ; 155 
 5265 ; Бона иностранная  Германия ; 1923 ;  ;  ;  ; 10 ; diskus72 ; 104 
 5266 ; Бона иностранная  Германия ; 1923 ;  ;  ;  ; 6 ; smel ; 146 
 5267 ; Бона иностранная  Германия ; 1923 ;  ;  ;  ; 12 ; vladmarkin ; 143 
 5268 ; Бона иностранная  Германия ; 1923 ;  ;  ;  ; 11 ; von_Schwarz ; 354 
 5269 ; Нотгельд  Германия ; 1922 ;  ;  ;  ; 8 ; SKH ; 114 
 5270 ; Нотгельд  Германия ; 1922 ;  ;  ;  ; 5 ; vladmarkin ; 110 
 5271 ; Нотгельд  Германия ; 1920 ;  ;  ;  ; 13 ; flutter ; 143 
 5272 ; Нотгельд  Германия ; 1920 ;  ;  ;  ; 21 ; Ok203 ; 133 
 5273 ; Нотгельд  Германия ; 1920 ;  ;  ;  ; 13 ; Ok203 ; 133 
 5274 ; Нотгельд  Германия ; 1920 ;  ;  ;  ; 11 ; Ok203 ; 133 
 5275 ; Нотгельд  Германия ; 1920 ;  ;  ;  ; 9 ; Ok203 ; 133 
 5276 ; Нотгельд  Германия ; 1920 ;  ;  ;  ; 9 ; Ok203 ; 133 
 5277 ; Нотгельд  Германия ; 1920 ;  ;  ;  ; 9 ; Ok203 ; 133 
 5278 ; Нотгельд  Германия ;  ;  ;  ;  ; 15 ; Майкл ; 816 
 5279 ; Лот нотгельдов Германия 2 шт ; 1918 ;  ;  ;  ; 13 ; flutter ; 129 
 5280 ; Лот нотгельдов Германия 3 шт ; 1918-20 ;  ;  ;  ; 5 ; Ok203 ; 68 
 5281 ; Лот нотгельдов Германия 2 шт ; 1920 ;  ;  ;  ; 5 ; sos1 ; 94 
 5282 ; Лот нотгельдов Германия 2 шт ; 1920 ;  ;  ;  ; 7 ; sos1 ; 133 
 5283 ; Лот нотгельдов Германия 4 шт ; 1917-19 ;  ;  ;  ; 7 ; Ok203 ; 101 
 5284 ; Лот нотгельдов Германия 2 шт ; 1919-1920 ;  ;  ;  ; 11 ; Ok203 ; 130 
 5285 ; Лот нотгельдов Германия 4 шт ; 1918 ;  ;  ;  ; 10 ; Ok203 ; 306 
