 5905 ; Бона иностранная ;  ;  ;  ; AU ; 20 ; Папа с рацией ; 82 
 5842 ; Бона иностранная. США ;  ;  ;  ;  ; 24 ; Yamilov ; 169 
 5843 ; Бона иностранная. США ;  ;  ;  ;  ; 18 ; Maz ; 159 
 5844 ; Бона иностранная. США ;  ;  ;  ;  ; 7 ; salim ; 164 
 5845 ; Бона иностранная. США ;  ;  ;  ;  ; 13 ; Yamilov ; 161 
 5846 ; Бона иностранная. Англия ;  ;  ;  ;  ; 8 ; Bonyf ; 261 
 5847 ; Бона иностранная. Англия ;  ;  ;  ;  ; 8 ; Bonyf ; 281 
 5848 ; Бона иностранная. Швеция ; 1961 ;  ;  ;  ; 18 ; D-503 ; 116 
 5849 ; Бона иностранная. Швеция ; 1948 ;  ;  ;  ; 33 ; dsp ; 216 
 5850 ; Бона иностранная. Швеция ; 1959 ;  ;  ;  ; 24 ; D-503 ; 112 
 5851 ; Бона иностранная. Швеция ; 1968 ;  ;  ;  ; 17 ; D-503 ; 99 
 5852 ; Бона иностранная. Швеция ; 1976 ;  ;  ;  ; 15 ; USS ; 104 
 5853 ; Бона иностранная. Швеция ; 1963 ;  ;  ;  ; 21 ; dsp ; 114 
 5854 ; Бона иностранная. Швеция ; 1974 ;  ;  ;  ; 21 ; scipion ; 53 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Папа с рацией ; 105 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 5 ; газета ; 24 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 9 ; altunin ; 36 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Папа с рацией ; 36 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 7 ; я8844 ; 104 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 4758 ; 28 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 4758 ; 26 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Azeroter1 ; 15 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 13 ; скорпион_48 ; 21 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Rober ; 30 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Папа с рацией ; 105 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 12 ; vlkorchev ; 41 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 5 ; scipion ; 30 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 17 ; cr2952 ; 58 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bva150979 ; 118 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 7 ; scipion ; 30 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Папа с рацией ; 38 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 13 ; scipion ; 77 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 7 ; scipion ; 51 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bva150979 ; 131 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 14 ; gos ; 120 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 9 ; я8844 ; 107 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Папа с рацией ; 44 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 11 ; scipion ; 43 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Папа с рацией ; 48 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Папа с рацией ; 39 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 5 ; bva150979 ; 120 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Папа с рацией ; 36 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Pipe ; 466 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 15 ; scipion ; 101 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Папа с рацией ; 57 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 24 ; cr2952 ; 39 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Gorood ; 114 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Папа с рацией ; 50 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 25 ; nikfed ; 487 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Azeroter1 ; 36 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 7 ; СЁМА ; 119 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 11 ; scipion ; 42 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 9 ; bva150979 ; 100 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 23 ; doiu33 ; 110 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 7 ; варяг42 ; 123 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ремпутьмаш ; 30 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Папа с рацией ; 35 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 13 ; scipion ; 101 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 8 ; cr2952 ; 30 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 8 ; ремпутьмаш ; 28 
 5801 ; Бона иностранная Китай ;  ;  ;  ;  ; 30 ; Sky2 ; 340 
 5802 ; Бона иностранная Китай ;  ;  ;  ;  ; 16 ; кве ; 237 
 5803 ; Бона иностранная Австрия ;  ;  ;  ;  ; 15 ; scipion ; 114 
 5804 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 13 ; медалькин ; 101 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 6 ; TiBuL ; 30 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 22 ; sos1 ; 64 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sos1 ; 63 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 8 ; АКМ ; 36 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 6 ; TiBuL ; 30 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 4 ; TiBuL ; 30 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 4 ; TiBuL ; 30 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 6 ; TiBuL ; 30 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 6 ; TiBuL ; 30 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 6 ; TiBuL ; 30 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 36 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 18 ; ремпутьмаш ; 34 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Папа с рацией ; 45 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Папа с рацией ; 44 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ремпутьмаш ; 36 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Папа с рацией ; 62 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Azeroter1 ; 20 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ек ; 16 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ремпутьмаш ; 31 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Azeroter1 ; 26 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Папа с рацией ; 45 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ремпутьмаш ; 36 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 9 ; nikfed ; 104 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 10 ; scipion ; 50 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ремпутьмаш ; 31 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 9 ; cr2952 ; 179 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Папа с рацией ; 45 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 17 ; gos ; 57 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bva150979 ; 118 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Djek ; 20 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 7 ; scipion ; 30 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 7 ; газета ; 87 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 9 ; scipion ; 91 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 333985 ; 57 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Azeroter1 ; 33 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 7 ; altunin ; 101 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 333985 ; 73 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 7 ; bva150979 ; 152 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 333985 ; 99 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 18 ; D-503 ; 136 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 25 ; 333985 ; 99 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 32 ; dsp ; 272 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 6 ; скорпион_48 ; 21 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 20 ; vlkorchev ; 204 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Gorood ; 222 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 13 ; scipion ; 114 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 27 ; vlkorchev ; 61 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 7 ; scipion ; 50 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Папа с рацией ; 101 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 14 ; canissp ; 101 
 5364 ; Облигация в 945 рублей. Восьмой заем г.Санкт-Петербурга ; 1913 ;  ;  ;  ; 22 ; seimens ; 816 
 5365 ; Акция в 150 рублей. Таганрогское металлургическое общество ; 1911 ;  ;  ;  ; 6 ; seimens ; 765 
 5366 ; Облигация в 2000 марок.С купонами. Общество Подольской жедезной дороги ; 1911 ;  ;  ;  ; 13 ; siemеns ; 918 
 5367 ; Облигация на 1000 марок. Общество Московско-Киево-Воронежской железной дороги ; 1895 ;  ;  ;  ; 7 ; siemеns ; 918 
 5368 ; Облигация в 125 рублей. Общество Владикавказской железной дороги ; 1885 ;  ;  ;  ; 11 ; siemеns ; 902 
 5369 ; Облигация в 125 рублей. Общество Ивангородо-Домбровской железной дороги ; 1882 ;  ;  ;  ; 12 ; siemеns ; 901 
 5370 ; Облигация в 375 рублей. Четвертый заем г.Санкт-Петербурга ; 1901 ;  ;  ;  ; 5 ; siemеns ; 902 
 5371 ; Облигация в 500 франков. Русско-Бельгийское металлургическое общество ; 1898 ;  ;  ;  ; 3 ; siemеns ; 902 
 5372 ; Облигация в 405 марок. Общество русских трубопрокатных заводов ; 1913 ;  ;  ;  ; 11 ; avs ; 1040 
 5373 ; Ценная бумага. ; 1908 ;  ;  ;  ; 4 ; siemеns ; 902 
 5374 ; Акция в 500 франков. Металлургическое общество России ; 1911 ;  ;  ;  ; 3 ; siemеns ; 902 
 5375 ; Акция. Щахтерское общество России ; 1907 ;  ;  ;  ; 3 ; seimens ; 900 
 5376 ; Акция в 250 франков. Шахтерское общество России ; 1912 ;  ;  ;  ; 3 ; seimens ; 900 
 5377 ; Облигация в 187,5 рублей ; 1906 ;  ;  ;  ; 5 ; seimens ; 900 
 5378 ; Облигация в 100 рублей ; 1939 ;  ;  ;  ; 33 ; RusScat ; 912 
 5379 ; Лот облигаций 6 шт ;  ;  ;  ;  ; 15 ; seimens ; 520 
 5380 ; Лот расчетных билетов 4 шт ;  ;  ;  ;  ; 13 ; 收集者 ; 1791 
 5381 ; Лотерейный билет "ОСОАВИАХИМА" ; 1933 ;  ;  ;  ; 21 ; solder13 ; 365 
 5382 ; Лотерейный билет "ОСОАВИАХИМА" ; 1935 ;  ;  ;  ; 17 ; solder13 ; 420 
 5383 ; Лотерейный билет "ОСОАВИАХИМА" ; 1940 ;  ;  ;  ; 11 ; bonipari ; 312 
 5384 ; Лотерейный билет ; 1956 ;  ;  ;  ; 12 ; siemеns ; 37 
 5385 ; Лотерейный билет ; 1958 ;  ;  ;  ; 26 ; nikfed ; 266 
 5386 ; Лот бон 20 шт ;  ;  ;  ;  ; 16 ; КОТ13 ; 270 
 5387 ; Лот лотерейных билетов 14 шт ;  ;  ;  ;  ; 46 ; nikfed ; 528 
 5388 ; Лот лотерейных билетов 13 шт ;  ;  ;  ;  ; 27 ; nikfed ; 548 
 5389 ; Лот лотерейных билетов  72 шт ;  ;  ;  ;  ; 46 ; nikfed ; 1731 
 5390 ; Лот лотерейных билетов 100 шт ;  ;  ;  ;  ; 45 ; nikfed ; 3600 
 5391 ; Лот лотерейных билетов 119 шт ;  ;  ;  ;  ; 49 ; nikfed ; 2301 
 5392 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 13 ; malshy ; 57 
 5393 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 23 ; М5 ; 31 
 5394 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 18 ; Степан_81 ; 38 
 5395 ; Бона 100 рублей. Сочи 2014. Серия АА ;  ;  ;  ;  ; 39 ; teemu ; 226 
 5396 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 32 ; teemu ; 226 
 5397 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 26 ; teemu ; 226 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 8 ; TiBuL ; 35 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 10 ; варяг42 ; 92 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 30 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 11 ; варяг42 ; 92 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 8 ; варяг42 ; 92 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 36 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 36 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Скрудж ; 97 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 97 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 36 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 4 ; TiBuL ; 30 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 4 ; TiBuL ; 30 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 16 ; цеховик ; 30 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 17 ; цеховик ; 36 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 9 ; TiBuL ; 30 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 11 ; АКМ ; 36 
 5314 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 7 ; TiBuL ; 31 
 5315 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 18 ; Legio ; 31 
 5316 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 11 ; TiBuL ; 31 
 5317 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 4 ; TiBuL ; 31 
 5318 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 6 ; Степан_81 ; 21 
 5319 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; Степан_81 ; 51 
 5320 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 32 ; aurin1 ; 87 
 5321 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 18 ; CASABLANCA ; 68 
 5322 ; Лот бон 10 рублей. 88 шт ; 1909 ;  ;  ;  ; 27 ; AndrCh58 ; 2399 
 5323 ; Лот бон 5 рублей. 8 шт ; 1909 ;  ;  ;  ; 29 ; Володя ; 184 
 5324 ; Лот бон 5 рублей. 39 шт ; 1909 ;  ;  ; AU ; 55 ; greedy ; 2750 
 5325 ; Лот бон 5 и 10 рублей. 60 шт ; 1909 ;  ;  ;  ; 58 ; Володя ; 1505 
 5326 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 28 ; ipax ; 185 
 5327 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 23 ; zheka_77 ; 197 
 5328 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 13 ; luda ; 192 
 5329 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 16 ; Тульма ; 143 
 5330 ; Лот бон 1000 и 250 рублей. 5 шт ; 1917 ;  ;  ;  ; 32 ; cr2952 ; 503 
 5331 ; Бона 25 рублей "АРКТИКУГОЛЬ". ;  ;  ;  ;  ; 40 ; спарта ; 2500 
 5332 ; Бона 10 рублей "АРКТИКУГОЛЬ". ;  ;  ;  ;  ; 37 ; спарта ; 2000 
 5333 ; Бона 5 рублей "АРКТИКУГОЛЬ". ;  ;  ;  ;  ; 35 ; Sparks ; 561 
 5334 ; Бона 3 рубля "АРКТИКУГОЛЬ". ;  ;  ;  ;  ; 17 ; Sparks ; 600 
 5335 ; Бона 1 рубль "АРКТИКУГОЛЬ". ;  ;  ;  ;  ; 20 ; bva150979 ; 395 
 5336 ; Бона 3 копейки "АРКТИКУГОЛЬ" ;  ;  ;  ;  ; 36 ; фанто-мас ; 227 
 5337 ; Бона 1 копейка "АРКТИКУГОЛЬ" ;  ;  ;  ;  ; 26 ; luda ; 181 
 5338 ; 1000 рублей ; 1919 ;  ;  ;  ; 42 ; аймир ; 453 
 5339 ; Лот бон 7 шт. 1,3,5,10,25 рублей ; 1898-1909 ;  ;  ;  ; 9 ; kop ; 357 
 5340 ; 5000 рублей ; 1919 ;  ;  ;  ; 36 ; zheka_77 ; 386 
 5341 ; 10000 рублей ; 1919 ;  ;  ;  ; 16 ; аймир ; 349 
 5342 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 39 ; DESIGNER ; 2040 
 5343 ; Лот бон 2 шт. 50 и 100 рублей ; 1961 ;  ;  ; AU ; 32 ; malshy ; 793 
