 3207 ; Бона иностранная ;  ;  ;  ;  ; 50 ; Him ; 348 
 3122 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 32 
 3123 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Ромбор ; 32 
 3124 ; Бона иностранная ;  ;  ;  ;  ; 2 ; сс400 ; 30 
 3125 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 32 
 3126 ; Бона иностранная ;  ;  ;  ;  ; 6 ; juchok_93rus ; 31 
 3127 ; Бона иностранная ;  ;  ;  ;  ; 18 ; цц ; 21 
 3128 ; Бона иностранная ;  ;  ;  ;  ; 6 ; сс400 ; 30 
 3129 ; Бона иностранная ;  ;  ;  ;  ; 18 ; цц ; 21 
 3130 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Dave ; 30 
 3131 ; Бона иностранная ;  ;  ;  ;  ; 18 ; цц ; 21 
 3132 ; Бона иностранная ;  ;  ;  ;  ; 6 ; сс400 ; 30 
 3133 ; Бона иностранная ;  ;  ;  ;  ; 5 ; сс400 ; 30 
 3134 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Ромбор ; 32 
 3135 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 33 
 3136 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Ромбор ; 32 
 3137 ; Бона иностранная ;  ;  ;  ;  ; 5 ; сс400 ; 30 
 3138 ; Бона иностранная ;  ;  ;  ;  ; 5 ; сс400 ; 30 
 3139 ; Бона иностранная ;  ;  ;  ;  ; 2 ; цц ; 21 
 3140 ; Бона иностранная ;  ;  ;  ;  ; 2 ; цц ; 21 
 3141 ; Бона иностранная ;  ;  ;  ;  ; 2 ; цц ; 21 
 3142 ; Бона иностранная ;  ;  ;  ;  ; 2 ; сс400 ; 30 
 3143 ; Бона иностранная ;  ;  ;  ;  ; 6 ; сс400 ; 30 
 3144 ; Бона иностранная ;  ;  ;  ;  ; 6 ; сс400 ; 30 
 3145 ; Бона иностранная ;  ;  ;  ;  ; 11 ; цц ; 21 
 3146 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Let ; 153 
 3147 ; Бона иностранная ;  ;  ;  ;  ; 7 ; цц ; 21 
 3148 ; Бона иностранная ;  ;  ;  ;  ; 5 ; сс400 ; 30 
 3149 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Ромбор ; 33 
 3150 ; Бона иностранная ;  ;  ;  ;  ; 6 ; сс400 ; 30 
 3151 ; Бона иностранная ;  ;  ;  ;  ; 9 ; juchok_93rus ; 31 
 3152 ; Бона иностранная ;  ;  ;  ;  ; 2 ; сс400 ; 30 
 3153 ; Бона иностранная ;  ;  ;  ;  ; 2 ; сс400 ; 30 
 3154 ; Бона иностранная ;  ;  ;  ;  ; 2 ; сс400 ; 30 
 3155 ; Бона иностранная ;  ;  ;  ;  ; 5 ; сс400 ; 30 
 3156 ; Бона иностранная ;  ;  ;  ;  ; 16 ; цц ; 21 
 3057 ; 10000 рублей ; 1994 ; банкнота ;  ; XF ; 15 ; andrei6808 ; 503 
 3058 ; 10000 рублей ; 1994 ; банкнота ;  ; XF ; 7 ; andrei6808 ; 419 
 3059 ; 500 рублей ; 1920 ;  ;  ; XF ; 25 ; Cashman ; 725 
 3060 ; 500 рублей ; 1920 ;  ;  ; XF ; 14 ; Him ; 726 
 3061 ; 25 рублей ; 1918 ;  ;  ; XF ; 48 ; Him ; 750 
 3062 ; 3 рубля ; 1918 ;  ;  ; XF ; 64 ; Him ; 756 
 3063 ; 250 рублей ; 1919 ; Азербайджан ;  ; XF ; 31 ; Sc ; 1530 
 3064 ; 10 рублей ; 1947 ; билет ;  ; XF ; 34 ; GerG256 ; 1098 
 3065 ; 10 рублей ; 1947 ; билет ;  ; XF ; 60 ; Him ; 1367 
 3066 ; 10 рублей ; 1947 ; билет ;  ; XF ; 21 ; 300 ; 1224 
 3067 ; 250 рублей ; 1917 ; Денежные знаки ;  ; XF ; 102 ; Синоптик ; 425 
 3068 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 36 ; Синоптик ; 128 
 3069 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 45 ; strestas ; 153 
 3070 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 86 ; Синоптик ; 123 
 3071 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 57 ; Ksandor ; 153 
 3072 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 79 ; Синоптик ; 104 
 3073 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 41 ; Ksn ; 1593 
 3074 ; 3 рубля, Одесса ; 1917 ;  ;  ; AU ; 28 ; Cashman ; 1020 
 3075 ; 5 рублей, Одесса ; 1917 ;  ;  ; AU ; 20 ; Him ; 1020 
 3076 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты ;  ; AU ; 60 ; Him ; 2000 
 3077 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 83 ; alex1959 ; 324 
 3078 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 69 ; kot006 ; 1122 
 3079 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 31 ; Sc ; 1192 
 3080 ; 500000 рублей ; 1923 ; Закавказье ;  ; AU ; 72 ; miklezh ; 1020 
 3081 ; 10000000 рублей ; 1923 ; Закавказье ;  ; AU ; 83 ; miklezh ; 888 
 3082 ; 100000000 рублей ; 1924 ; Закавказье ;  ; AU ; 94 ; егор ; 2149 
 3083 ; 50000000 рублей ; 1924 ; Закавказье ;  ; AU ; 122 ; Sc ; 1479 
 3084 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 61 ; Sc ; 1989 
 3085 ; 10000 рублей (в.з.-звезды) ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 41 ; denzil ; 1249 
 3086 ; 5000 рублей ; 1920 ; Бухарская Республика ;  ;  ; 26 ; koga ; 357 
 3087 ; 10000 рублей ; 1921 ; Бухарская Республика ;  ;  ; 51 ; Sc ; 1548 
 3088 ; 5000 рублей ; 1920 ; Бухарская Республика ;  ;  ; 77 ; Sc ; 1630 
 3089 ; 20000 рублей ; 1921 ; Бухарская Республика ;  ;  ; 65 ; 4758 ; 934 
 3090 ; 20000 рублей ; 1921 ; Бухарская Республика ;  ;  ; 56 ; 4758 ; 947 
 3091 ; 50 теньге ; 1920 ; Бухарская Республика ;  ;  ; 40 ; Sc ; 1989 
 3092 ; 50 рублей ; 1920 ; Бухарская Республика ;  ;  ; 54 ; Fedor_K ; 1501 
 3093 ; 50 рублей ; 1920 ; Бухарская Республика ;  ;  ; 74 ; 4758 ; 1326 
 3094 ; 25 рублей ; 1922 ; Бухарская Республика ;  ;  ; 32 ; 4758 ; 1446 
 3095 ; 25 рублей ; 1922 ; Бухарская Республика ;  ;  ; 55 ; Sc ; 1797 
 3096 ; 25 рублей ; 1922 ; Бухарская Республика ;  ;  ; 89 ; сс400 ; 1764 
 3097 ; 1 копейка, Торгсин ; 1932 ;  ;  ;  ; 32 ; Ksn ; 12693 
 3098 ; 5 червонцев ; 1928 ; Билет ;  ;  ; 69 ; Cashman ; 15226 
 3099 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ;  ; 60 ; strestas ; 1200 
 3100 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ;  ; 53 ; Him ; 1281 
 3101 ; Заем г. Москвы ; 1908 ;  ;  ;  ; 43 ; Him ; 984 
 3102 ; Внутренний 5% заем ; 1905 ;  ;  ;  ; 17 ; Oliveer ; 1530 
 3103 ; Свидетельство поземельного банка ; 1912 ;  ;  ;  ; 8 ; Майкл ; 523 
 3104 ; 100 рублей, Облигация ; 1947 ;  ;  ;  ; 40 ; ТУК2 ; 122 
 3105 ; 100 рублей, Облигация ; 1948 ;  ;  ;  ; 25 ; ТУК2 ; 104 
 3106 ; 100 рублей, Облигация ; 1949 ;  ;  ;  ; 69 ; ТУК2 ; 123 
 3007 ; 1 рубль ;  ;  ;  ;  ; 26 ; gelo ; 111 
 3008 ; Благотворительная марка ;  ;  ;  ;  ; 77 ; gelo ; 319 
 3009 ; 10 копеек, квартблок ; 1915 ; Деньги-марки ;  ;  ; 15 ; Семирек ; 315 
 3010 ; 10 копеек, квартблок ; 1915 ; Деньги-марки ;  ;  ; 31 ; Cashman ; 395 
 3011 ; 15 копеек, квартблок ; 1915 ; Деньги-марки ;  ;  ; 15 ; Cashman ; 306 
 3012 ; 15 копеек, квартблок ; 1915 ; Деньги-марки ;  ;  ; 15 ; geolog ; 209 
 3013 ; 20 копеек, квартблок ; 1915 ; Деньги-марки ;  ;  ; 37 ; Семирек ; 429 
 3014 ; 20 копеек, квартблок ; 1915 ; Деньги-марки ;  ;  ; 48 ; Him ; 475 
 3015 ; 5 копеек ; 1976 ;  ;  ;  ; 37 ; егор ; 114 
 3016 ; 10 копеек ; 1976 ;  ;  ;  ; 11 ; Sky2 ; 36 
 3017 ; 10 копеек ; 1976 ;  ;  ;  ; 19 ; егор ; 74 
 3018 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 8 ; MAD_B ; 31 
 3019 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 4 ; o.k. ; 31 
 3020 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 15 ; juchok_93rus ; 39 
 3021 ; 5 рублей ; 1918 ; Разменные знаки.Совнарком Терс ;  ;  ; 84 ; Cashman ; 1441 
 3022 ; 3 рубля ; 1918 ; Разменные знаки.Совнарком Терс ;  ;  ; 50 ; Cashman ; 1005 
 3023 ; 3 рубля ; 1919 ;  ;  ;  ; 66 ; Him ; 448 
 3024 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 63 ; juchok_93rus ; 510 
 3025 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 61 ; juchok_93rus ; 570 
 3026 ; 40 рублей, квартблок ;  ;  ;  ;  ; 22 ; Him ; 336 
 3027 ; 40 рублей, квартблок ;  ;  ;  ;  ; 21 ; o.k. ; 259 
 3028 ; 40 рублей, квартблок ;  ;  ;  ;  ; 44 ; alex1959 ; 261 
 3029 ; 1 миллион марок ; 1923 ;  ;  ;  ; 31 ; ICEK ; 369 
 3030 ; 50 миллионов марок ; 1923 ;  ;  ;  ; 41 ; von_Schwarz ; 315 
 3031 ; Листовка ;  ;  ;  ;  ; 42 ; gelind ; 291 
 3032 ; Листовка ;  ;  ;  ;  ; 118 ; mirmirmir ; 1369 
 3033 ; 500000 марок ; 1923 ;  ;  ;  ; 18 ; ICEK ; 306 
 3034 ; 5 долларов, Китай ; 1930 ;  ;  ;  ; 38 ; juchok_93rus ; 201 
 3035 ; 10 юаней, Китай ; 1936 ;  ;  ;  ; 51 ; juchok_93rus ; 346 
 3036 ; 10 юаней, Китай ; 1937 ;  ;  ;  ; 53 ; QSCl ; 275 
 3037 ; 500 марок ; 1922 ;  ;  ;  ; 19 ; Майкл ; 306 
 3038 ; 1 миллион марок ; 1923 ;  ;  ;  ; 32 ; juchok_93rus ; 313 
 3039 ; 100 марок ; 1907 ;  ;  ;  ; 21 ; smel ; 417 
 3040 ; 100 марок ; 1911 ;  ;  ;  ; 25 ; smel ; 426 
 3041 ; 100 марок ; 1911 ;  ;  ;  ; 65 ; smel ; 426 
 3042 ; 1 миллион марок ; 1911 ;  ;  ;  ; 17 ; й12 ; 261 
 3043 ; 500 рублей ; 1918 ;  ;  ;  ; 39 ; Cashman ; 1632 
 3044 ; 500 рублей ; 1918 ;  ;  ;  ; 54 ; o.k. ; 602 
 3045 ; 5000 рублей ; 1919 ;  ;  ;  ; 41 ; Juli ; 104 
 3046 ; 5000 рублей ; 1919 ;  ;  ;  ; 76 ; o.k. ; 101 
 3047 ; 5000 рублей ; 1919 ;  ;  ;  ; 32 ; росвет ; 101 
 3048 ; 5000 рублей ; 1919 ;  ;  ;  ; 79 ; Juli ; 104 
 3049 ; 5000 рублей ; 1919 ;  ;  ;  ; 58 ; Juli ; 123 
 3050 ; 5000 рублей ; 1919 ;  ;  ;  ; 79 ; o.k. ; 104 
 3051 ; 1 рубль ; 1934 ; Гос.казначейские билеты ;  ; XF ; 167 ; ВВС ; 10200 
 3052 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; XF ; 92 ; Juli ; 381 
 3053 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; XF ; 75 ; PolAn ; 558 
 3054 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; XF ; 28 ; alex1959 ; 483 
 3055 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; XF ; 67 ; olk ; 426 
 3056 ; 50000 рублей ; 1995 ; банкнота ;  ; XF ; 22 ; ac ; 471 
 2700 ; Медаль. 38-й европейский талер. 25 лет европейской космонавтике ; 1989 ;  ; Ag ; Proof ; 11 ; Mike! ; 509 
 2701 ; Медаль. 16-й европейский талер. Густав Штреземан (1878-1929) ; 1978 ;  ; Ag ; Proof ; 10 ; shais1 ; 499 
 2702 ; Медаль. 31-й европейский талер. Вступление Португалии и Испании в Европейское общество ; 1988 ;  ; Ag ; Proof ; 23 ; Mike! ; 502 
 2703 ; Медаль . 7-й европейский талер. 25 лет Европейскому совету (1949-1974) ; 1974 ;  ; Ag ; Proof ; 16 ; Mike! ; 402 
 2704 ; Медаль. 5 марок. Федеральная Республика ; 1951-1971 ;  ; Ag ; AU ; 15 ; mirmirmir ; 317 
 2705 ; Жетон. Платежное средство. Евгений Сандов ;  ;  ; Al ; VF-XF ; 65 ; keldish ; 319 
 2706 ; Игровой жетон ;  ;  ; Б/м ; VF-XF ; 6 ; alskr ; 6 
 2707 ; Игровой жетон ;  ;  ; Ж/м ; VF-XF ; 3 ; alskr ; 4 
 2708 ; Игровой жетон ;  ;  ; Ж/м ; VF-XF ; 14 ; SUNNY67 ; 14 
 2709 ; Жетон. Платежное средство? ;  ;  ; Ж/м ; VF ; 9 ; alskr ; 11 
 2710 ; Игровой жетон ;  ;  ; Ж/м ; XF ; 11 ; Man 11 ; 11 
 2711 ; Набор монет Великобритании: 10,5,2 пенса, 1,1/2 пенни (5шт) ; 1968-1971 ;  ; Cu-Ni,Br ; AU ; 23 ; mixx00 ; 267 
 2712 ; Набор монет Великобритании: 50,10,5,2 новых пенса, 1,1/2 новых пенни (6шт)+жетон. В пластиковой упаковке ; 1973 ;  ; Cu-Ni,Br ; Unc ; 16 ; dsidorov ; 800 
 2713 ; Набор монет Великобритании: 50,10,5,2 новых пенса, 1,1/2 новых пенни (6шт)+жетон. В пластиковой упаковке ; 1975 ;  ; Cu-Ni,Br ; Unc ; 16 ; dsidorov ; 800 
 2714 ; Набор монет Великобритании: 50,10,5,2 новых пенса, 1,1/2 новых пенни (6шт)+жетон. В пластиковой упаковке ; 1976 ;  ; Cu-Ni,Br ; Unc ; 18 ; dsidorov ; 800 
 2715 ; Набор монет Великобритании: 50,25,10,5,2 новых пенса, 1,1/2 новых пенни (7шт)+жетон. В пластиковой упаковке ; 1977 ;  ; Cu-Ni,Br ; Unc ; 23 ; dsidorov ; 777 
 2716 ; Лот монет Веймара: 1,2,5,10,50 пфеннигов, 3,200 марок (39шт) ; 1920-1936 ;  ; Al/Br,Al,B ; VF-/VF+ ; 48 ; Григорий ; 567 
 2717 ; Лот монет Германии: 50 пфеннигов (15шт) ; 1935 ;  ; Al ; VF/XF- ; 27 ; 4А ; 255 
 2718 ; Лот монет Германии: 50 пфеннигов (16шт) ; 1939-1941 ;  ; Al ; VF-/VF+ ; 34 ; ved ; 624 
 2719 ; Лот монет Германии: 1,2,5,10 пфеннигов (43шт) ; 1938-1943 ;  ; Zn,Br ; VF-/VF+ ; 36 ; ved ; 1342 
 2720 ; Лот монет Эстонии: 5крон, 1 крона, 50,20,10,5 сенти (9шт) ; 1991-2008 ;  ; Br,Cu-Ni ; AU ; 25 ; tau ; 114 
 2721 ; Лот монет Довоенной Франции (6шт) ; 1922-1939 ;  ; Br,Cu-Ni ; VF+/XF+ ; 44 ; tau ; 207 
 2722 ; Лот монет Ирана (6шт) ; 20 век ;  ; Br,Cu-Ni,Б ; VF-XF/AU ; 101 ; SUNNY67 ; 185 
 2723 ; Лот монет Израиля (9шт) ; ХХ век ;  ; Al,Cu,Cu-N ; XF/AU ; 42 ; zx123 ; 312 
 2724 ; Лот монет Израиля (10шт) ; 1949-1958 ;  ; Al,Br ; VF+/XF ; 60 ; exploited ; 765 
 2725 ; Лот монет Йемена (5шт) ; ХХ век ;  ; Cu-Ni,Би/м ; AU ; 39 ; Gorn93 ; 240 
 2726 ; Лот монет Коморских островов: 100,50,25,10,5 франков (5шт) ; 1982-1999 ;  ; Cu-Ni,Жм ; AU ; 46 ; svaha ; 398 
 2727 ; Лот монет Люксембурга (5шт) ; 1979-1983 ;  ; Cu-Ni,Жм ; VF-XF/AU ; 31 ; 7GT ; 171 
 2728 ; Набор монет Киргизии (6шт) ; 2008 ;  ; Cu-Ni,Жм ; AU ; 86 ; stroitel61 ; 126 
 2729 ; Лот монет Израиля (8шт) ; ХХ век ;  ; Cu-Ni,Ж/м, ; XF-/AU ; 37 ; exploited ; 273 
 2730 ; Лот монет Новой Индии (4шт) ; 2005-2008 ;  ; Cu-Ni ; AU ; 11 ; KiraCoins ; 161 
 2731 ; Лот монет Папуа (6шт) ; 2004-2006 ;  ; Cu-Ni,Ж/м ; AU ; 113 ; SUNNY67 ; 333 
 2732 ; Лот монет Фиджи (7шт) ; 1998-2006 ;  ; Cu-Ni,Br,Ж ; AU ; 8 ; Анатоль ; 184 
 2733 ; Лот монет Багамов (5шт) ; 1992-2007 ;  ; Cu-Ni,Ж/м ; AU ; 20 ; АТ ; 232 
 2734 ; Лот монет  Непала (6шт) ; 20 век ;  ; Cu-Ni,лату ; AU ; 39 ; NFV ; 459 
 2735 ; Лот монет Гайаны (5шт) ; 1979-1991 ;  ; Cu-Ni, Ж/м ; AU ; 23 ; АТ ; 261 
 2736 ; Лот монет Венесуэлы (5шт) ; 1989-1990 ;  ; Cu-Ni ; AU ; 19 ; Sundi ; 159 
 2737 ; Лот монет Венесуэлы (6шт) ; 2002-2005 ;  ; Cu-Ni,Би/м ; AU ; 7 ; Sundi ; 159 
 2738 ; Лот монет Западной Африки (9шт) ; 1984-2006 ;  ; Cu-Ni, Ж/м ; AU ; 16 ; NFV ; 401 
 2739 ; Лот монет Омана (4шт) ; 20 век ;  ; Cu-Ni,Br ; AU ; 15 ; NFV ; 283 
 2740 ; Лот монет Сан-Томе и Принсип (5шт) ; 1977,1990 ;  ; Cu-Ni, Ж/м ; AU ; 40 ; SUNNY67 ; 275 
 2741 ; Лот монет Гайаны: 10,5 долларов,1доллар, 25,10,5центов,1 цент (7шт) ; 1978-1996 ;  ; Ni/Латунь, ; AU ; 31 ; SUNNY67 ; 241 
 2742 ; Лот монет Вануату (7шт) ; 1990-2002 ;  ; Cu-Ni, Ж/м ; AU ; 44 ; NFV ; 400 
 2743 ; Лот монет Сербии: 5,2,1 динар (3шт) ; 2006,2007 ;  ; Ж/м ; AU ; 7 ; АТ ; 144 
 3001 ; Марка ВДКА ;  ;  ;  ;  ; 96 ; gelo ; 302 
 3002 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 8 ; radion ; 55 
 3003 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 33 ; radion ; 53 
 3004 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 34 ; radion ; 40 
 3005 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 13 ; radion ; 41 
 3006 ; 20 копеек ; 1915 ; Деньги-марки ;  ;  ; 36 ; surf2k5 ; 62 
 2650 ; 1 пенни. Ирландия ; 1933 ;  ; Br ; VF- ; 7 ; nikolay ; 37 
 2651 ; 1 пенни. Ирландия ; 1935 ;  ; Br ; VF-XF ; 11 ; -antuss ; 37 
 2652 ; 1 пенни. Ирландия ; 1937 ;  ; Br ; VF+ ; 45 ; митька ; 160 
 2653 ; 1 пенни. Ирландия ; 1941 ;  ; Br ; VF+ ; 20 ; koga ; 31 
 2654 ; 1 пенни. Ирландия ; 1942 ;  ; Br ; VF+ ; 5 ; koga ; 31 
 2655 ; 1 пенни. Ирландия ; 1943 ;  ; Br ; VF+ ; 7 ; 542 ; 31 
 2656 ; 1 пенни. Ирландия ; 1946 ;  ; Br ; VF+ ; 13 ; dsidorov ; 27 
 2657 ; 1 пенни. Ирландия ; 1948 ;  ; Br ; XF- ; 11 ; nikolay ; 39 
