 3566 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 1 ; грос79 ; 22 
 3484 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kollega ; 25 
 3485 ; Бона иностранная ;  ;  ;  ;  ; 18 ; raise ; 36 
 3486 ; Бона иностранная ;  ;  ;  ;  ; 17 ; sikachai ; 35 
 3487 ; Бона иностранная ;  ;  ;  ;  ; 13 ; raise ; 32 
 3488 ; Бона иностранная ;  ;  ;  ;  ; 8 ; raise ; 31 
 3489 ; Бона иностранная ;  ;  ;  ;  ; 6 ; R61 ; 25 
 3490 ; Бона иностранная ;  ;  ;  ;  ; 3 ; raise ; 23 
 3491 ; Бона иностранная ;  ;  ;  ;  ; 3 ; raise ; 23 
 3492 ; Бона иностранная ;  ;  ;  ;  ; 10 ; kollega ; 30 
 3493 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kollega ; 25 
 3494 ; Бона иностранная ;  ;  ;  ;  ; 4 ; raise ; 24 
 3495 ; Бона иностранная ;  ;  ;  ;  ; 9 ; R61 ; 35 
 3496 ; Бона иностранная ;  ;  ;  ;  ; 3 ; raise ; 23 
 3497 ; Бона иностранная ;  ;  ;  ;  ; 21 ; kollega ; 41 
 3498 ; Бона иностранная ;  ;  ;  ;  ; 3 ; raise ; 23 
 3499 ; Бона иностранная ;  ;  ;  ;  ; 3 ; raise ; 23 
 3500 ; Бона иностранная ;  ;  ;  ;  ; 18 ; raise ; 59 
 3501 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kollega ; 29 
 3502 ; Бона иностранная ;  ;  ;  ;  ; 3 ; raise ; 23 
 3503 ; Бона иностранная ;  ;  ;  ;  ; 16 ; хъ0 ; 22 
 3504 ; Бона иностранная ;  ;  ;  ;  ; 4 ; хъ0 ; 23 
 3505 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kollega ; 23 
 3506 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kollega ; 23 
 3507 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kollega ; 34 
 3508 ; Бона иностранная ;  ;  ;  ;  ; 20 ; В1951 ; 55 
 3509 ; Бона иностранная ;  ;  ;  ;  ; 18 ; лисенок ; 31 
 3510 ; Бона иностранная ;  ;  ;  ;  ; 31 ; abrek112 ; 50 
 3511 ; Бона иностранная ;  ;  ;  ;  ; 39 ; Bottler ; 57 
 3512 ; Бона иностранная ;  ;  ;  ;  ; 25 ; лисенок ; 102 
 3513 ; Бона иностранная ;  ;  ;  ;  ; 21 ; лисенок ; 31 
 3514 ; Бона иностранная ;  ;  ;  ;  ; 3 ; raise ; 31 
 3515 ; Бона иностранная ;  ;  ;  ;  ; 13 ; лисенок ; 25 
 3416 ; 500 рублей ; 1919 ;  ;  ;  ; 7 ; AI ; 444 
 3417 ; 500 рублей ; 1919 ;  ;  ;  ; 118 ; lesnik1 ; 318 
 3418 ; 500 рублей ; 1919 ;  ;  ;  ; 105 ; хъ0 ; 204 
 3419 ; 1000 рублей ; 1919 ;  ;  ;  ; 23 ; lvd ; 800 
 3420 ; 25 рублей. Владикавказ ; 1918 ;  ;  ;  ; 13 ; мы ; 199 
 3421 ; 5 рублей. Владикавказ ; 1918 ;  ;  ;  ; 37 ; никсер ; 408 
 3422 ; 5 червонцев. Пятаков ; 1928 ; Билет ;  ;  ; 41 ; сс400 ; 8160 
 3423 ; 5 червонцев. Калманович ; 1928 ; Билет ;  ;  ; 75 ; нумизмат ; 16320 
 3424 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 59 ; ppp ; 204 
 3425 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 41 ; кукуку ; 244 
 3426 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 27 ; мамонт ; 249 
 3427 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 38 ; кириков ; 251 
 3428 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 63 ; мамонт ; 254 
 3429 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 47 ; ask ; 253 
 3430 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 77 ; al69 ; 508 
 3431 ; Облигация Орловско-Витебской ж/д ; 1894 ;  ;  ;  ; 24 ; lvovich ; 1530 
 3432 ; Облигация Московско-Казанской ж/д ; 1901 ;  ;  ;  ; 27 ; lvovich ; 1543 
 3433 ; Облигация Московско-Киево-Воронежской ж/д. 2 вып. ; 1909 ;  ;  ;  ; 13 ; lvovich ; 1529 
 3434 ; Облигация Московско-Киево-Воронежской ж/д ; 1910 ;  ;  ;  ; 13 ; lvovich ; 1529 
 3435 ; Русско-Бельгийское металлургическое об-во. Акция ; 1895 ;  ;  ;  ; 36 ; abrek112 ; 589 
 3436 ; Акция. С.-Петербург ; 1912 ;  ;  ;  ; 14 ; abrek112 ; 459 
 3437 ; Акция. Тула ; 1899 ;  ;  ;  ; 12 ; abrek112 ; 459 
 3438 ; Акция. Тифлис ; 1901 ;  ;  ;  ; 14 ; abrek112 ; 306 
 3439 ; Акция. Екатерина ; 1910 ;  ;  ;  ; 38 ; abrek112 ; 459 
 3440 ; Акция. Одесса ; 1908 ;  ;  ;  ; 32 ; abrek112 ; 459 
 3441 ; Акция. Одесса ; 1880 ;  ;  ;  ; 10 ; abrek112 ; 510 
 3442 ; 250 рублей ; 1917 ;  ;  ;  ; 31 ; fokin ; 32 
 3443 ; 250 рублей ; 1917 ;  ;  ;  ; 16 ; raise ; 25 
 3444 ; 250 рублей ; 1917 ;  ;  ;  ; 21 ; кукуку ; 22 
 3445 ; 250 рублей ; 1917 ;  ;  ;  ; 24 ; lvd ; 248 
 3446 ; 1000000 марок ; 1923 ;  ;  ;  ; 2 ; нумизмат ; 108 
 3447 ; 500 марок ; 1922 ;  ;  ;  ; 25 ; smel ; 142 
 3448 ; 500 марок ; 1922 ;  ;  ;  ; 4 ; smel ; 133 
 3449 ; 50000 марок ; 1923 ;  ;  ;  ; 34 ; smel ; 161 
 3450 ; 50000 марок ; 1923 ;  ;  ;  ; 33 ; smel ; 179 
 3451 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kollega ; 37 
 3452 ; Бона иностранная ;  ;  ;  ;  ; 7 ; raise ; 24 
 3453 ; Бона иностранная ;  ;  ;  ;  ; 21 ; raise ; 35 
 3454 ; Бона иностранная ;  ;  ;  ;  ; 20 ; R61 ; 36 
 3455 ; Бона иностранная ;  ;  ;  ;  ; 7 ; raise ; 25 
 3456 ; Бона иностранная ;  ;  ;  ;  ; 27 ; лисенок ; 51 
 3457 ; Бона иностранная ;  ;  ;  ;  ; 4 ; raise ; 23 
 3458 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 24 
 3459 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 24 
 3460 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 24 
 3461 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 24 
 3462 ; Бона иностранная ;  ;  ;  ;  ; 6 ; R61 ; 25 
 3463 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kollega ; 25 
 3464 ; Бона иностранная ;  ;  ;  ;  ; 24 ; smel ; 42 
 3465 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 24 
 3366 ; 3000000 марок ; 1923 ;  ;  ;  ; 30 ; kollega ; 133 
 3367 ; 100000000 марок ; 1923 ;  ;  ;   ; 35 ; лисенок ; 133 
 3368 ; 10000 марок ; 1923 ;  ;  ;   ; 4 ; smel ; 134 
 3369 ; 1000000 марок ; 1923 ;  ;  ;   ; 33 ; ТУК2 ; 57 
 3370 ; 50000000 марок ; 1923 ;  ;  ;  ; 12 ; smel ; 134 
 3371 ; 5000000 марок ; 1923 ;  ;  ;   ; 7 ; kollega ; 133 
 3372 ; 50 марок ; 1920 ;  ;  ;   ; 19 ; 131026000 ; 204 
 3373 ; 75000000 рублей ; 1924 ; Закавказье ;  ;  ; 33 ; alexsurf ; 535 
 3374 ; 250000000 рублей ; 1924 ; Закавказье ;  ;  ; 88 ; егор ; 2040 
 3375 ; 500 рублей ; 1919 ; Туркестан ;  ;  ; 74 ; flyfisher74 ; 407 
 3376 ; 500 рублей ; 1919 ; Туркестан ;  ;  ; 76 ; alexsurf ; 381 
 3377 ; 500 рублей ; 1919 ; Туркестан ;  ;  ; 117 ; al69 ; 502 
 3378 ; 250 рублей ; 1919 ; Туркестан ;  ;  ; 72 ; Соколов ; 459 
 3379 ; 5000 рублей ; 1919 ;  ;  ;  ; 19 ; никсер ; 105 
 3380 ; 5000 рублей ; 1919 ;  ;  ;  ; 32 ; никсер ; 108 
 3381 ; 5 рублей ; 1919 ; Грузия ;  ;  ; 31 ; AI ; 451 
 3382 ; 10 рублей ; 1918 ; Закавказье ;  ;  ; 73 ; егор ; 705 
 3383 ; 10 рублей. Красноярск ; 1919 ;  ;  ;  ; 69 ; k212 ; 1051 
 3384 ; 25 рублей. Красноярск ; 1919 ;  ;  ;  ; 14 ; uz ; 357 
 3385 ; 5 марок. Ковно ; 1918 ;  ;  ;  ; 85 ; k212 ; 693 
 3386 ; 25 рублей. Пятигорск ; 1918 ;  ;  ;  ; 115 ; Соколов ; 885 
 3387 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 26 ; кириков ; 39 
 3388 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 29 ; fokin ; 30 
 3389 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 9 ; fokin ; 30 
 3390 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 10 ; Скромный ; 41 
 3391 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 25 ; мамонт ; 31 
 3392 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; мамонт ; 34 
 3393 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 22 ; мамонт ; 22 
 3394 ; 100 гривень ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 79 ; никсер ; 108 
 3395 ; 100 гривень ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 98 ; al69 ; 320 
 3396 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 59 ; lvd ; 521 
 3397 ; 5000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 75 ; хъ0 ; 300 
 3398 ; 5000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 44 ; strestas ; 302 
 3399 ; 25 копеек. Юденич ; 1919 ;  ;  ;  ; 69 ; al69 ; 1530 
 3400 ; 50 копеек. Юденич ; 1919 ;  ;  ;  ; 71 ; Ol7 ; 1152 
 3401 ; 1 рубль. Юденич ; 1919 ;  ;  ;  ; 55 ; al69 ; 1379 
 3402 ; 3 рубля. Юденич ; 1919 ;  ;  ;  ; 10 ; мы ; 408 
 3403 ; 3 рубля. Юденич ; 1919 ;  ;  ;  ; 92 ; al69 ; 1632 
 3404 ; 5 рублей. Юденич ; 1919 ;  ;  ;  ; 49 ; al69 ; 1726 
 3405 ; 10 рублей. Юденич ; 1919 ;  ;  ;  ; 28 ; abrek112 ; 1040 
 3406 ; 10 рублей. Юденич ; 1919 ;  ;  ;  ; 55 ; al69 ; 2149 
 3407 ; 25 рублей. Юденич ; 1919 ;  ;  ;  ; 82 ; al69 ; 2159 
 3408 ; 25 рублей. Юденич ; 1919 ;  ;  ;  ; 12 ; сс400 ; 460 
 3409 ; 100 рублей. Юденич ; 1919 ;  ;  ;  ; 78 ; Седой ; 2268 
 3410 ; 100 рублей ; 1919 ;  ;  ;   ; 39 ; егор ; 1530 
 3411 ; 250 рублей ; 1919 ;  ;  ;  ; 13 ; lesnik1 ; 406 
 3412 ; 250 рублей ; 1919 ;  ;  ;  ; 15 ; lvd ; 499 
 3413 ; 500 рублей ; 1919 ;  ;  ;  ; 33 ; хъ0 ; 213 
 3414 ; 500 рублей ; 1919 ;  ;  ;  ; 10 ; ask ; 102 
 3415 ; 500 рублей ; 1919 ;  ;  ;  ; 9 ; alex241 ; 459 
 2437 ; Лот монет Великобритании: фартинг (5шт) ; 1939-1946 ;  ; Br ; VF/VF+ ; 19 ; evgen72 ; 45 
 2438 ; Лот монет Великобритании: 3 пенса (5шт) ; 1941-1952 ;  ; Ni/Латунь ; VF-/VF+ ; 29 ; Ramzess ; 54 
 2439 ; Лот монет Великобритании: 3 пенса (5шт) ; 1954-1967 ;  ; Ni/Латунь ; VF/VF-XF ; 35 ; Ramzess ; 54 
 2440 ; Лот монет ГДР: 1, 5 ,10, 50 пфеннигов (19шт) ; 1958-1988 ;  ; Al ; VF-/XF ; 67 ; 1269532 ; 76 
 2441 ; Лот монет Литвы и Эстонии (8шт) ; 1925-1939 ;  ; Br,Al/Br ; VF/VF+ ; 112 ; avg1974 ; 1046 
 2442 ; Лот монет Франции: 2,1 франков, 50 сантимов (3шт) ; 1923 ;  ; Al/Br ; VF-XF ; 20 ; Матадор ; 152 
 2443 ; Лот монет Словакии: 2,1 евро, 50,20,10,5,2,1 евроцентов (8шт) ; 2009 ;  ; Cu/St,Би/м ; VF-XF/XF+ ; 55 ; alex995 ; 251 
 2444 ; Лот евро монет: 2 евроцента (7шт) ; 2005,2007,2008 ;  ; Cu/St ; AU ; 44 ; 131026000 ; 53 
 2445 ; Лот монет Болгарии: 1 лев (4шт) ; 1992 ;  ; Ni/латунь ; AU ; 8 ; alex995 ; 8 
 2446 ; Лот монет Финляндии: 20,10,5 марок (15шт) ; 1931-1951 ;  ; Al/Br ; VF/XF ; 17 ; zx123 ; 306 
 2447 ; Лот монет Финляндии: 50,25 пенни (7шт) ; 1921-1945 ;  ; Cu-Ni,Fe,C ; VF+/VF- ; 6 ; омт ; 101 
 2448 ; Лот монет Финляндии: 20,10,1 пенни (16шт) ; 1963-1976 ;  ; Cu,Al/Br ; VF/XF ; 73 ; 1269532 ; 89 
 2449 ; Лот монет Финляндии: 10 пенни (96шт) ; 1919-1944 ;  ; Fe,Cu ; VF/XF ; 76 ; Jakob Sprenger ; 632 
 2450 ; Лот монет Финляндии: 5 пенни (53шт) ; 1920-1942 ;  ; Cu ; VF/XF ; 28 ; Инвестор ; 421 
 2451 ; Лот монет Финляндии: 1 пенни (15шт) ; 1919-1924 ;  ; Cu ; VF/XF ; 13 ; zx123 ; 132 
 3331 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 3 ; flyfisher74 ; 31 
 3332 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 1 ; мы ; 30 
 3333 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 2 ; Медведь ; 31 
 3334 ; 10 шагив ; 1918 ; Украина.Тип почтовых марок ;  ;  ; 65 ; v21 ; 167 
 3335 ; 20 шагив ; 1918 ; Украина.Тип почтовых марок ;  ;  ; 14 ; Sky2 ; 160 
 3336 ; 30 шагив ; 1918 ; Украина.Тип почтовых марок ;  ;  ; 39 ; elion3 ; 207 
 3337 ; 40 шагив ; 1918 ; Украина.Тип почтовых марок ;  ;  ; 19 ; Sky2 ; 203 
 3338 ; 50 шагив ; 1918 ; Украина.Тип почтовых марок ;  ;  ; 12 ; Sky2 ; 148 
 3339 ; 5 копеек ; 1918 ; Азербайджан ;  ;  ; 20 ; gelo ; 454 
 3340 ; 15 копеек ; 1918 ; Азербайджан ;  ;  ; 17 ; gelo ; 494 
 3341 ; 50 копеек ; 1918 ; Азербайджан ;  ;  ; 53 ; elion3 ; 569 
 3342 ; 50 копеек ; 1919 ; Грузия ;  ;  ; 74 ; k212 ; 510 
 3343 ; 15 копеек. Квартблок ;  ;  ;  ;  ; 36 ; gelo ; 408 
 3344 ; 10 копеек ;  ; Гос.кредитный билет "Северная Россия" ;  ;  ; 55 ; v21 ; 1530 
 3345 ; 20 копеек ;  ; Гос.кредитный билет "Северная Россия" ;  ;  ; 57 ; егор ; 1337 
 3346 ; 50 копеек ;  ; Гос.кредитный билет "Северная Россия" ;  ;  ; 23 ; Sky2 ; 691 
 3347 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 19 ; кириков ; 38 
 3348 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 3 ; Медведь ; 24 
 3349 ; 10 марок ; 1945 ;  ;  ;  ; 75 ; Gell13 ; 200 
 3350 ; 20 марок ; 1945 ;  ;  ;  ; 76 ; Gell13 ; 200 
 3351 ; 1 рубль. Пятигорск ; 1918 ;  ;  ;  ; 16 ; kaa123 ; 202 
 3352 ; 500000000 марок ; 1923 ;  ;  ;  ; 25 ; kuzia ; 133 
 3353 ; 20000000 марок ; 1923 ;  ;  ;  ; 7 ; smel ; 134 
 3354 ; 1000000 марок ; 1923 ;  ;  ;  ; 5 ; ТУК2 ; 90 
 3355 ; 5000000 марок ; 1923 ;  ;  ;  ; 7 ; smel ; 134 
 3356 ; 1000000 марок ; 1923 ;  ;  ;  ; 5 ; smel ; 134 
 3357 ; 200000 марок ; 1923 ;  ;  ;  ; 28 ; ТУК2 ; 34 
 3358 ; 5000000 марок ; 1923 ;  ;  ;  ; 7 ; smel ; 134 
 3359 ; 100000000 марок ; 1923 ;  ;  ;  ; 9 ; kollega ; 133 
 3360 ; 100000000 марок ; 1923 ;  ;  ;  ; 36 ; ТУК2 ; 128 
 3361 ; 10000 марок ; 1923 ;  ;  ;  ; 34 ; kollega ; 133 
 3362 ; 10000000 марок ; 1923 ;  ;  ;  ; 12 ; smel ; 134 
 3363 ; 1000000 марок ; 1923 ;  ;  ;  ; 4 ; ТУК2 ; 101 
 3364 ; 100000000 марок ; 1923 ;  ;  ;  ; 6 ; kollega ; 231 
 3365 ; 5000000 марок ; 1923 ;  ;  ;  ; 54 ; kollega ; 133 
 2387 ; 10 эре. Швеция ; 1949TS ;  ; Ag ; AU ; 13 ; hugo ; 60 
 2388 ; 10 эре. Швеция ; 1950TS ;  ; Ag ; Unc ; 13 ; hugo ; 65 
 2389 ; 10 эре. Швеция ; 1950TS ;  ; Ag ; AU ; 16 ; alno51 ; 63 
 2390 ; 10 эре. Швеция ; 1952TS ;  ; Ag ; AU ; 14 ; поручик ; 50 
 2391 ; 10 эре. Швеция ; 1953TS ;  ; Ag ; AU ; 13 ; hugo ; 64 
 2392 ; 10 эре. Швеция ; 1954TS ;  ; Ag ; AU ; 8 ; hugo ; 67 
 2393 ; 10 эре. Швеция ; 1954TS ;  ; Ag ; AU ; 7 ; fokin ; 60 
 2394 ; 10 эре. Швеция ; 1956TS ;  ; Ag ; AU ; 18 ; hugo ; 39 
 2395 ; 10 эре. Швеция ; 1957TS ;  ; Ag ; AU ; 17 ; 1982 ; 40 
 2396 ; 10 эре. Швеция ; 1958TS ;  ; Ag ; XF+ ; 7 ; vjacha ; 42 
 2397 ; 10 эре. Швеция ; 1959TS ;  ; Ag ; XF+ ; 6 ; user1306 ; 23 
 2398 ; 10 эре. Швеция ; 1960TS ;  ; Ag ; AU ; 19 ; alno51 ; 46 
 2399 ; 10 эре. Швеция ; 1961U ;  ; Ag ; AU ; 15 ; alno51 ; 36 
 2400 ; 10 эре. Швеция ; 1962U ;  ; Ag ; AU ; 10 ; hugo ; 46 
 2401 ; Фартинг. Великобритания ; 1911 ;  ; Br ; VF ; 13 ; evgen72 ; 31 
 2402 ; Фартинг. Великобритания ; 1912 ;  ; Br ; VF ; 7 ; марс7 ; 50 
 2403 ; Фартинг. Великобритания ; 1914 ;  ; Br ; VF ; 10 ; vjacha ; 22 
 2404 ; Фартинг. Великобритания ; 1915 ;  ; Br ; VF ; 16 ; марс7 ; 45 
 2405 ; Фартинг. Великобритания ; 1917 ;  ; Br ; VF+ ; 10 ; марс7 ; 45 
 2406 ; Фартинг. Великобритания ; 1918 ;  ; Br ; VF+ ; 3 ; Sterh ; 16 
 2407 ; Фартинг. Великобритания ; 1920 ;  ; Br ; VF+ ; 7 ; vjacha ; 20 
