 6010 ; Бона иностранная Перу ;  ;  ;  ;  ; 7 ; Димон777 ; 41 
 6040 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 13 ; alex09-63 ; 41 
 6041 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 5 ; страус ; 34 
 6042 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 10 ; alex09-63 ; 59 
 6043 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 6 ; страус ; 33 
 6044 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 9 ; страус ; 35 
 6045 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 8 ; Beliy86 ; 30 
 6046 ; Бона иностранная Китай ;  ;  ;  ; AU ; 5 ; igorchek ; 21 
 6047 ; Бона иностранная Перу ;  ;  ;  ; AU ; 13 ; Monata ; 128 
 6048 ; Бона иностранная Харватия ;  ;  ;  ; AU ; 5 ; Beliy86 ; 21 
 6049 ; Бона иностранная Харватия ;  ;  ;  ; AU ; 9 ; Beliy86 ; 26 
 6050 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 5 ; Beliy86 ; 32 
 6051 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 5 ; Beliy86 ; 32 
 6052 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 5 ; Beliy86 ; 32 
 6053 ; Бона иностранная Британские вооруженные силы ;  ;  ;  ; AU ; 8 ; AID57 ; 36 
 6054 ; Бона иностранная Словения ;  ;  ;  ; AU ; 12 ; avilych ; 28 
 6055 ; Бона иностранная Венесуэла ;  ;  ;  ; AU ; 17 ; maksbelov ; 39 
 6056 ; Бона иностранная Венесуэла ;  ;  ;  ; AU ; 9 ; велес ; 38 
 6057 ; Бона иностранная Бирма ;  ;  ;  ; AU ; 7 ; Monata ; 72 
 6058 ; Бона иностранная Латвия ;  ;  ;  ; AU ; 23 ; cr2952 ; 68 
 5960 ; Бона иностранная Доминикана ;  ;  ;  ; AU ; 13 ; sveta6369 ; 48 
 5961 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 13 ; moneta34 ; 123 
 5962 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 17 ; moneta34 ; 153 
 5963 ; Бона иностранная Болгария ;  ;  ;  ; AU ; 14 ; страус ; 138 
 5964 ; Бона иностранная Камбоджия ;  ;  ;  ; AU ; 11 ; moneta34 ; 157 
 5965 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 27 ; taa ; 36 
 5966 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 13 ; Beliy86 ; 46 
 5967 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 16 ; taa ; 46 
 5968 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 9 ; moneta34 ; 62 
 5969 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 9 ; moneta34 ; 62 
 5970 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 7 ; vfuflfy49 ; 39 
 5971 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; велес ; 29 
 5972 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 15 ; велес ; 24 
 5973 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 6 ; Rober ; 27 
 5974 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; Consul2009 ; 29 
 5975 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 10 ; Beliy86 ; 23 
 5976 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 3 ; maximilian2204 ; 26 
 5977 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 6 ; vfuflfy49 ; 37 
 5978 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 7 ; maximilian2204 ; 29 
 5979 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; Consul2009 ; 26 
 5980 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 4 ; велес ; 26 
 5981 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; maximilian2204 ; 29 
 5982 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 12 ; Beliy86 ; 26 
 5983 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 10 ; парам ; 43 
 5984 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 3 ; maximilian2204 ; 26 
 5985 ; Бона иностранная Никарагуа ;  ;  ;  ;  ; 5 ; sveta6369 ; 33 
 5986 ; Бона иностранная Никарагуа ;  ;  ;  ;  ; 12 ; Hamlet ; 35 
 5987 ; Бона иностранная Никарагуа ;  ;  ;  ;  ; 10 ; Hamlet ; 35 
 5988 ; Бона иностранная Иран ;  ;  ;  ;  ; 5 ; Consul2009 ; 31 
 5989 ; Бона иностранная Иран ;  ;  ;  ;  ; 15 ; Monata ; 85 
 5990 ; Бона иностранная Иран ;  ;  ;  ;  ; 17 ; Monata ; 166 
 5991 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 11 ; радон ; 36 
 5992 ; Бона иностранная Ямайка ;  ;  ;  ;  ; 16 ; val211 ; 39 
 5993 ; Бона иностранная Египет ;  ;  ;  ;  ; 9 ; sveta6369 ; 30 
 5994 ; Бона иностранная Египет ;  ;  ;  ;  ; 4 ; sveta6369 ; 26 
 5995 ; Бона иностранная Гана ;  ;  ;  ;  ; 15 ; Алексей007 ; 153 
 5996 ; Бона иностранная Гана ;  ;  ;  ;  ; 15 ; mega ; 114 
 5997 ; Бона иностранная Гана ;  ;  ;  ;  ; 11 ; Алексей007 ; 57 
 5998 ; Бона иностранная Гана ;  ;  ;  ;  ; 13 ; Алексей007 ; 55 
 5999 ; Бона иностранная Гана ;  ;  ;  ;  ; 9 ; Алексей007 ; 60 
 6000 ; Бона иностранная Гана ;  ;  ;  ;  ; 13 ; Алексей007 ; 69 
 6001 ; Бона иностранная Гаяна ;  ;  ;  ;  ; 7 ; Beliy86 ; 26 
 6002 ; Бона иностранная Сейшельские острова ;  ;  ;  ;  ; 13 ; mega ; 63 
 6003 ; Бона иностранная Тунис ;  ;  ;  ;  ; 20 ; maksbelov ; 129 
 6004 ; Бона иностранная Перу ;  ;  ;  ;  ; 9 ; велес ; 22 
 6005 ; Бона иностранная Перу ;  ;  ;  ;  ; 10 ; велес ; 26 
 6006 ; Бона иностранная Перу ;  ;  ;  ;  ; 14 ; велес ; 24 
 6007 ; Бона иностранная Перу ;  ;  ;  ;  ; 9 ; велес ; 22 
 6008 ; Бона иностранная Перу ;  ;  ;  ;  ; 7 ; Beliy86 ; 27 
 6009 ; Бона иностранная Перу ;  ;  ;  ;  ; 13 ; Димон777 ; 73 
 5910 ; Бона иностранная ;  ;  ;  ; AU ; 16 ; pref ; 54 
 5911 ; Бона иностранная ;  ;  ;  ; AU ; 15 ; Monata ; 40 
 5912 ; Бона иностранная ;  ;  ;  ; AU ; 18 ; Dmitry21 ; 55 
 5913 ; Бона иностранная ;  ;  ;  ; AU ; 12 ; Monata ; 59 
 5914 ; Бона иностранная ;  ;  ;  ; AU ; 26 ; Monata ; 63 
 5915 ; Бона иностранная ;  ;  ;  ; AU ; 9 ; maksbelov ; 38 
 5916 ; Бона иностранная ;  ;  ;  ; AU ; 33 ; karal ; 75 
 5917 ; Лот бон иностранных 4 шт ;  ;  ;  ; AU ; 39 ; flutter ; 264 
 5918 ; Лот бон иностранных 3 шт ;  ;  ;  ; AU ; 17 ; AMyznikov ; 79 
 5919 ; Лот бон иностранных 2 шт ;  ;  ;  ; AU ; 15 ; StanislavAK ; 57 
 5920 ; Лот бон иностранных 3 шт ;  ;  ;  ; AU ; 7 ; StanislavAK ; 34 
 5921 ; Лот бон иностранных 3 шт ;  ;  ;  ; AU ; 13 ; Жигурда ; 80 
 5922 ; Бона иностранная Латвия ; 1937 ;  ;  ;  ; 24 ; gorbi ; 167 
 5923 ; Бона иностранная Эстония ; 1992 ;  ;  ; AU ; 35 ; dmivanych ; 714 
 5924 ; Бона иностранная Литва ; 1991 ;  ;  ; AU ; 47 ; ТРОЛ ; 197 
 5925 ; Бона иностранная Литва ; 1991 ;  ;  ; AU ; 12 ; AntonR ; 39 
 5926 ; Бона иностранная Литва ; 1993 ;  ;  ; AU ; 14 ; Папа с рацией ; 91 
 5927 ; Лот бон Литва 5 шт ; 1992 ;  ;  ; AU ; 9 ; AntonR ; 45 
 5928 ; Бона иностранная Португалия ;  ;  ;  ;  ; 16 ; murew ; 221 
 5929 ; Бона иностранная Румыния ; 2005 ;  ;  ; AU ; 6 ; doc2 ; 79 
 5930 ; Бона иностранная Испания ;  ;  ;  ;  ; 40 ; Beliy86 ; 69 
 5931 ; Бона иностранная Колумбия ;  ;  ;  ; AU ; 7 ; Consul2009 ; 36 
 5932 ; Бона иностранная Замбия ;  ;  ;  ; AU ; 6 ; Beliy86 ; 23 
 5933 ; Бона иностранная Замбия ;  ;  ;  ; AU ; 6 ; Beliy86 ; 22 
 5934 ; Бона иностранная Замбия ;  ;  ;  ; AU ; 12 ; karal ; 34 
 5935 ; Бона иностранная СФРЮ ;  ;  ;  ;  ; 11 ; karal ; 48 
 5936 ; Бона иностранная Румыния ;  ;  ;  ;  ; 16 ; doc2 ; 116 
 5937 ; Бона иностранная Румыния ;  ;  ;  ;  ; 8 ; Мурзик ; 51 
 5938 ; Бона иностранная СФРЮ ;  ;  ;  ;  ; 7 ; maksbelov ; 31 
 5939 ; Бона иностранная ;  ;  ;  ;  ; 28 ; середа ; 192 
 5940 ; Бона иностранная ;  ;  ;  ;  ; 14 ; divergent ; 41 
 5941 ; Бона иностранная ;  ;  ;  ;  ; 7 ; gdrg2 ; 38 
 5942 ; Облигация Дания ;  ;  ;  ;  ; 16 ; divergent ; 79 
 5943 ; Лот чеков 5 шт ;  ;  ;  ;  ; 17 ; mefodin ; 555 
 5944 ; 1 рублис ; 1992 ; Латвия ;  ;  ; 9 ; divergent ; 53 
 5945 ; 2 рублиса ; 1992 ; Латвия ;  ;  ; 54 ; Vb[fksx ; 191 
 5946 ; 10 рублисов ; 1992 ; Латвия ;  ;  ; 14 ; strutikut ; 295 
 5947 ; 20 рублисов ; 1992 ; Латвия ;  ;  ; 23 ; Almarc ; 310 
 5948 ; 50 рублисов ; 1992 ; Латвия ;  ;  ; 25 ; strutikut ; 684 
 5949 ; Бона иностранная. Италия ;  ;  ;  ;  ; 18 ; pref ; 42 
 5950 ; Бона иностранная. 5песет. Испания ;  ;  ;  ;  ; 8 ; skrepka ; 29 
 5951 ; Бона иностранная. 10 франков. Франция ;  ;  ;  ;  ; 26 ; середа ; 156 
 5952 ; Бона иностранная. Индонезия ;  ;  ;  ;  ; 8 ; Опятор ; 34 
 5953 ; Бона иностранная. Германия ;  ;  ;  ;  ; 5 ; skrepka ; 24 
 5954 ; Бона иностранная. 100 эскудо. Португалия ;  ;  ;  ;  ; 11 ; mega ; 51 
 5955 ; Бона иностранная. 1000 драхм. Греция ;  ;  ;  ;  ; 12 ; vfuflfy49 ; 79 
 5956 ; Бона иностранная. 50 франков. Конго ;  ;  ;  ;  ; 9 ; Rober ; 34 
 5957 ; Бона иностранная. 100 динар. Сербия ;  ;  ;  ;  ; 14 ; Rober ; 41 
 5958 ; Бона иностранная. 500 динар. Сербия ;  ;  ;  ;  ; 15 ; sheriff 0 ; 203 
 5959 ; Бона иностранная Египет ;  ;  ;  ; AU ; 21 ; vfuflfy49 ; 33 
 5860 ; 1000 злотых Польша ; 1982 ;  ;  ;  ; 30 ; flutter ; 124 
 5861 ; 50 марок Германия ;  ;  ;  ;  ; 41 ; BADDY ; 170 
 5862 ; 20 марок Германия ;  ;  ;  ;  ; 16 ; BADDY ; 101 
 5863 ; 2 марки Германия ;  ;  ;  ;  ; 16 ; ra_dar ; 62 
 5864 ; 1 марка Германия ;  ;  ;  ;  ; 16 ; нв1975 ; 275 
 5865 ; 50 пфеннигов Германия ;  ;  ;  ;  ; 44 ; Fliege1 ; 600 
 5866 ; 100 марок Финляндия ; 1976 ;  ;  ;  ; 88 ; vasek ; 2142 
 5867 ; 100 марок Финляндия ; 1986 ;  ;  ;  ; 47 ; СЁМА ; 1106 
 5868 ; 20 марок Финляндия ; 1993 ;  ;  ;  ; 25 ; mega ; 170 
 5869 ; 10 марок Финляндия ; 1980 ;  ;  ;  ; 23 ; tss ; 140 
 5870 ; 10 марок Финляндия ; 1980 ;  ;  ;  ; 22 ; stabah ; 114 
 5871 ; 10 марок Финляндия ; 1963 ;  ;  ;  ; 13 ; stabah ; 138 
 5872 ; 10 марок Финляндия ; 1986 ;  ;  ;  ; 39 ; tss ; 145 
 5873 ; Лот бон Финляндии 6 шт ; 1963 ;  ;  ;  ; 21 ; cr2952 ; 265 
 5874 ; 1 доллар США ; 1935 ;  ;  ;  ; 35 ; Yamilov ; 379 
 5875 ; 200 франков Бельгия ;  ;  ;  ;  ; 25 ; doc2 ; 600 
 5876 ; 100 франков Бельгия ; 1980 ;  ;  ;  ; 33 ; СЁМА ; 516 
 5877 ; 100 франков Бельгия ;  ;  ;  ;  ; 14 ; парам ; 181 
 5878 ; Бона иностранная Литва ;  ;  ;  ;  ; 8 ; bva150979 ; 306 
 5879 ; Бона иностранная Испания ;  ;  ;  ;  ; 17 ; divergent ; 66 
 5880 ; Бона иностранная Испания ;  ;  ;  ;  ; 11 ; divergent ; 54 
 5881 ; Бона иностранная Венесуэла ;  ;  ;  ;  ; 12 ; karal ; 61 
 5882 ; Бона иностранная Суринам ;  ;  ;  ;  ; 33 ; karal ; 126 
 5883 ; Бона иностранная Хорватия ;  ;  ;  ;  ; 8 ; стадник ; 23 
 5884 ; Бона иностранная Япония ;  ;  ;  ;  ; 21 ; divergent ; 77 
 5885 ; Бона иностранная Япония ;  ;  ;  ;  ; 24 ; max2008 ; 126 
 5886 ; Бона иностранная Япония ;  ;  ;  ;  ; 20 ; max2008 ; 114 
 5887 ; Бона иностранная Япония ;  ;  ;  ;  ; 10 ; max2008 ; 183 
 5888 ; Бона иностранная Япония ;  ;  ;  ;  ; 10 ; divergent ; 51 
 5889 ; Бона иностранная Япония ;  ;  ;  ;  ; 23 ; divergent ; 81 
 5890 ; Бона иностранная Япония ;  ;  ;  ;  ; 14 ; Almarc ; 101 
 5891 ; Бона иностранная Япония ;  ;  ;  ;  ; 18 ; Dmitry21 ; 120 
 5892 ; Бона иностранная Япония ;  ;  ;  ;  ; 8 ; Almarc ; 57 
 5893 ; Бона иностранная Япония ;  ;  ;  ;  ; 8 ; divergent ; 57 
 5894 ; Бона иностранная Япония ;  ;  ;  ;  ; 20 ; divergent ; 56 
 5895 ; Бона иностранная Япония ;  ;  ;  ;  ; 16 ; Almarc ; 80 
 5896 ; Бона иностранная Япония ;  ;  ;  ;  ; 8 ; Almarc ; 101 
 5897 ; Бона иностранная Япония ;  ;  ;  ;  ; 6 ; doiu33 ; 257 
 5898 ; Бона иностранная Япония ;  ;  ;  ;  ; 15 ; елец ; 204 
 5899 ; Бона иностранная Испания ;  ;  ;  ;  ; 29 ; karal ; 101 
 5900 ; Бона иностранная Шотландия ;  ;  ;  ;  ; 35 ; стадник ; 267 
 5901 ; Бона иностранная Германия ;  ;  ;  ;  ; 27 ; елец ; 201 
 5902 ; Лот бон Германия 3 шт ; 1944 ;  ;  ;  ; 11 ; uz ; 100 
 5903 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 22 ; Consul2009 ; 55 
 5904 ; Бона иностранная Ирландия ;  ;  ;  ;  ; 27 ; derk02 ; 273 
 5905 ; Бона иностранная Италия ;  ;  ;  ;  ; 14 ; Beliy86 ; 50 
 5906 ; Бона иностранная ;  ;  ;  ;  ; 14 ; alex241 ; 510 
 5907 ; Лот бон Дания 5 шт ;  ;  ;  ;  ; 31 ; всыня ; 509 
 5908 ; Облигация Латвия ; 1931 ;  ;  ;  ; 28 ; val211 ; 153 
 5909 ; Бона иностранная Ливан ;  ;  ;  ; AU ; 11 ; air ; 34 
 5810 ; 5 рублей ; 1919 ; Латвия. Разменный знак ;  ;  ; 27 ; flutter ; 669 
 5811 ; 10 рублей ; 1919 ; Латвия. Разменный знак ;  ;  ; 41 ; bva150979 ; 1530 
 5812 ; 1 рубль Рига ; 1919 ;  ;  ;  ; 53 ; nikfed ; 1836 
 5813 ; 5 рублей ; 1919 ; Латвия. Обязательство гос.казначейства ;  ;  ; 57 ; nikfed ; 2244 
 5814 ; 10 рублей ; 1919 ; Латвия. Обязательство гос.казначейства ;  ;  ; 50 ; vasek ; 4692 
 5815 ; 25 лат ; 1928 ; Латвия ;  ;  ; 49 ; jugla ; 1249 
 5816 ; 20 лат ; 1935 ; Латвия ;  ;  ; 38 ; jugla ; 1836 
 5817 ; 10 лат ; 1938 ; Латвия ;  ;  ; 97 ; архыз ; 793 
 5818 ; 5 лат ; 1940 ; Латвия ;  ;  ; 67 ; nikfed ; 3421 
 5819 ; 25 лат ; 1938 ; Латвия ;  ;  ; 49 ; J.S. ; 782 
 5820 ; 50 лат ; 1934 ; Латвия ;  ;  ; 18 ; J.S. ; 681 
 5821 ; 5 пунктов Латвия ;  ;  ;  ;  ; 58 ; svv ; 2061 
 5822 ; 3 рубля Либавское городское самоуправление ; 1915 ;  ;  ;  ; 56 ; Mike! ; 1019 
 5823 ; 1 рубль Либавское городское самоуправление ; 1915 ;  ;  ;  ; 54 ; Mike! ; 1592 
 5824 ; 50 копеек Либавское городское самоуправление ; 1915 ;  ;  ;  ; 58 ; max2008 ; 828 
 5825 ; 10 копеек Либавское городское самоуправление ;  ;  ;  ;  ; 27 ; Mike! ; 1011 
 5826 ; 5 крон Терезиенштадт ; 1943 ;  ;  ;  ; 47 ; drmpavlov ; 500 
 5827 ; 10 крон Терезиенштадт ;  ;  ;  ;  ; 40 ; drmpavlov ; 556 
 5828 ; 20 крон Терезиенштадт ;  ;  ;  ;  ; 42 ; fillin ; 793 
 5829 ; 50 крон Терезиенштадт ;  ;  ;  ;  ; 33 ; АЙСБЕРГНАШ ; 1001 
 5830 ; 100 крон Терезиенштадт ;  ;  ;  ;  ; 26 ; АЙСБЕРГНАШ ; 1001 
 5831 ; 500 рублисов ; 1992 ; Латвия ;  ;  ; 24 ; bva150979 ; 3030 
 5832 ; 500 карбованцев Ровно ; 1942 ;  ;  ;  ; 43 ; nikfed ; 4896 
 5833 ; 200 карбованцев Ровно ; 1942 ;  ;  ;  ; 88 ; ЛАВ-13 ; 3242 
 5834 ; 100 карбованцев Ровно ; 1942 ;  ;  ;  ; 30 ; murew ; 431 
 5835 ; 50 карбованцев Ровно ; 1942 ;  ;  ;  ; 20 ; murew ; 367 
 5836 ; 20 карбованцев Ровно ; 1942 ;  ;  ;  ; 20 ; murew ; 341 
 5837 ; 10 карбованцев Ровно ; 1942 ;  ;  ;  ; 21 ; murew ; 576 
 5838 ; 5 карбованцев Ровно ; 1942 ;  ;  ;  ; 19 ; murew ; 431 
 5839 ; 1 карбованец Ровно ; 1942 ;  ;  ;  ; 66 ; Рубчик ; 799 
 5840 ; 500 гривень ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 28 ; ЛАВ-13 ; 514 
 5841 ; 100 гривень ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 24 ; flutter ; 367 
 5842 ; 10 гривень ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 12 ; архыз ; 236 
 5843 ; 1000 карбованцев ; 1918 ; Украина.Знак Державноi скарбицi ;  ;  ; 35 ; flutter ; 680 
 5844 ; 10 карбованцев ;  ; Украина Знак Державноi скарбицi ;  ;  ; 15 ; ЛАВ-13 ; 312 
 5845 ; 100 карбованцев ; 1918 ; Украина Знак Державноi скарбицi ;  ;  ; 69 ; елец ; 371 
 5846 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбницi ;  ;  ; 26 ; alex241 ; 230 
 5847 ; 5 карбованцев г.Житомир ; 1918 ;  ;  ;  ; 26 ; flutter ; 815 
 5848 ; 1 карбованец г.Житомир ; 1918 ;  ;  ;  ; 70 ; flutter ; 525 
 5849 ; Лот бон Украины 3 шт ;  ;  ;  ;  ; 21 ; ТРОЛ ; 290 
 5850 ; 10 злотых Польша ; 1982 ;  ;  ;  ; 25 ; strutikut ; 510 
 5851 ; 20 злотых Польша ; 1982 ;  ;  ;  ; 29 ; doc2 ; 227 
 5852 ; 50 злотых Польша ; 1982 ;  ;  ;  ; 13 ; курт ; 46 
 5853 ; 100 злотых Польша ; 1988 ;  ;  ;  ; 10 ; divergent ; 29 
 5854 ; 200 злотых Польша ; 1986 ;  ;  ;  ; 37 ; СЁМА ; 339 
 5855 ; 500 злотых Польша ; 1982 ;  ;  ;  ; 25 ; divergent ; 66 
 5856 ; 2000 злотых Польша ; 1982 ;  ;  ;  ; 15 ; doc2 ; 453 
 5857 ; 5000 злотых Польша ; 1986 ;  ;  ;  ; 17 ; СЁМА ; 144 
 5858 ; 10000 злотых Польша ; 1988 ;  ;  ;  ; 12 ; doc2 ; 340 
 5859 ; 20000 злотых Польша ; 1989 ;  ;  ;  ; 36 ; strutikut ; 815 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 12 ; tss ; 104 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 9 ; курт ; 41 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 20 ; трутень ; 55 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Масясик ; 51 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 7 ; велес ; 37 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 35 ; murew ; 299 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 15 ; pref ; 157 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 15 ; tss ; 115 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 17 ; murew ; 287 
 5629 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Monata ; 101 
 5630 ; Бона иностранная ;  ;  ;  ;  ; 11 ; murew ; 136 
 5631 ; Бона иностранная ;  ;  ;  ;  ; 5 ; вулканолог ; 61 
 5632 ; Бона иностранная ;  ;  ;  ;  ; 19 ; mega ; 55 
 5633 ; Бона иностранная ;  ;  ;  ;  ; 14 ; derk02 ; 493 
 5634 ; Бона иностранная ;  ;  ;  ;  ; 9 ; всыня ; 319 
 5635 ; Бона иностранная ;  ;  ;  ;  ; 20 ; flutter ; 108 
 5636 ; Бона иностранная ;  ;  ;  ;  ; 30 ; flutter ; 102 
 5637 ; Бона иностранная ;  ;  ;  ;  ; 5 ; В1951 ; 32 
 5638 ; Бона иностранная ;  ;  ;  ;  ; 10 ; курт ; 27 
 5639 ; Бона иностранная ;  ;  ;  ;  ; 25 ; derk02 ; 218 
 5640 ; Бона иностранная ;  ;  ;  ;  ; 9 ; flutter ; 101 
 5641 ; Бона иностранная ;  ;  ;  ;  ; 24 ; derk02 ; 1019 
 5642 ; Бона иностранная ;  ;  ;  ;  ; 14 ; murew ; 247 
 5643 ; Бона иностранная ;  ;  ;  ;  ; 4 ; vfuflfy49 ; 37 
 5644 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Consul2009 ; 33 
 5645 ; Бона иностранная ;  ;  ;  ;  ; 3 ; maksbelov ; 101 
 5646 ; Бона иностранная ;  ;  ;  ;  ; 19 ; karal ; 145 
 5647 ; Бона иностранная ;  ;  ;  ;  ; 21 ; corsar ; 90 
 5648 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Consul2009 ; 32 
 5649 ; Бона иностранная ;  ;  ;  ;  ; 4 ; велес ; 101 
 5650 ; Бона иностранная ;  ;  ;  ;  ; 6 ; stal88 ; 33 
 5651 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Beliy86 ; 32 
 5652 ; Бона иностранная ;  ;  ;  ;  ; 9 ; pref ; 31 
 5653 ; Бона иностранная ;  ;  ;  ;  ; 11 ; murew ; 407 
 5654 ; Бона иностранная ;  ;  ;  ;  ; 15 ; tss ; 499 
 5655 ; Бона иностранная ;  ;  ;  ;  ; 10 ; corsar ; 101 
 5656 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ъхз ; 96 
 5657 ; Бона иностранная ;  ;  ;  ;  ; 5 ; maximilian2204 ; 27 
 5658 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 55 
 5659 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 59 
 5800 ; 1000 марок Ковно ; 1918 ;  ;  ;  ; 31 ; k212 ; 2000 
 5801 ; 50 лит ; 1928 ; Литва ;  ;  ; 46 ; Жигурда ; 3586 
 5802 ; 1 цент ;  ; Литва ;  ;  ; 46 ; nikfed ; 2007 
 5803 ; Бона иностранная Литва ;  ;  ;  ;  ; 12 ; bva150979 ; 334 
 5804 ; Бона иностранная Литва ;  ;  ;  ;  ; 6 ; bva150979 ; 306 
 5805 ; Билет лотерейный Эстония ; 1958 ;  ;  ;  ; 23 ; Папа с рацией ; 138 
 5806 ; 50 крон ; 1929 ; Эстония ;  ;  ; 63 ; bva150979 ; 1937 
