 6032 ; Бона иностранная Камбоджия ;  ;  ;  ; AU ; 16 ; джон08 ; 42 
 5977 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 18 ; dis ; 79 
 5978 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 18 ; dis ; 79 
 5979 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 13 ; dis ; 47 
 5980 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 15 ; stabah ; 53 
 5981 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 13 ; mart_si ; 47 
 5882 ; Бона иностранная Франция ;  ;  ;  ;  ; 30 ; doc2 ; 1532 
 5883 ; Бона иностранная Франция ;  ;  ;  ;  ; 21 ; Первый Самураец ; 714 
 5884 ; Бона иностранная Мальта ;  ;  ;  ;  ; 29 ; SS2008 ; 201 
 5885 ; Бона иностранная Нидерланды ;  ;  ;  ;  ; 15 ; smel ; 123 
 5886 ; Бона иностранная Нидерланды ;  ;  ;  ;  ; 11 ; mart_si ; 142 
 5887 ; Бона иностранная Нидерланды ;  ;  ;  ;  ; 15 ; парам ; 340 
 5888 ; Лот бон иностранных Люксенбург 2 шт ;  ;  ;  ;  ; 11 ; середа ; 115 
 5889 ; Бона иностранная Испания ;  ;  ;  ;  ; 26 ; Shera ; 206 
 5890 ; Бона иностранная Испания ;  ;  ;  ;  ; 28 ; randystorm ; 204 
 5891 ; Бона иностранная Испания ;  ;  ;  ;  ; 35 ; randystorm ; 420 
 5892 ; Бона иностранная Испания ;  ;  ;  ;  ; 21 ; flutter ; 101 
 5893 ; Бона иностранная Испания ;  ;  ;  ;  ; 11 ; Ustin ; 38 
 5894 ; Бона иностранная Испания ;  ;  ;  ;  ; 34 ; Ustin ; 81 
 5895 ; Бона иностранная Испания ;  ;  ;  ;  ; 24 ; flutter ; 215 
 5896 ; Бона иностранная Испания ;  ;  ;  ;  ; 18 ; flutter ; 114 
 5897 ; Лот бон иностранных Португалия 2 шт ;  ;  ;  ;  ; 16 ; smel ; 340 
 5898 ; Лот бон иностранных Португалия 2 шт ;  ;  ;  ;  ; 13 ; maksbelov ; 101 
 5899 ; Лот бон иностранных Югославия 5 шт ;  ;  ;  ;  ; 12 ; Jek327 ; 181 
 5900 ; Лот бон иностранных Югославия 5 шт ;  ;  ;  ;  ; 13 ; курт ; 118 
 5901 ; Бона иностранная Польша ;  ;  ;  ;  ; 9 ; СЁМА ; 140 
 5902 ; Бона иностранная Польша ;  ;  ;  ;  ; 20 ; Бармалей ; 550 
 5903 ; Бона иностранная Польша ;  ;  ;  ;  ; 21 ; Бармалей ; 793 
 5904 ; Бона иностранная Япония ;  ;  ;  ;  ; 18 ; Первый Самураец ; 726 
 5905 ; Бона иностранная Япония ;  ;  ;  ;  ; 16 ; Первый Самураец ; 332 
 5906 ; Бона иностранная Япония ;  ;  ;  ;  ; 30 ; Первый Самураец ; 216 
 5907 ; Бона иностранная Япония ;  ;  ;  ;  ; 39 ; Brat123456 ; 200 
 5908 ; Бона иностранная Япония ;  ;  ;  ;  ; 37 ; Dmitry21 ; 201 
 5909 ; Бона иностранная Литва ;  ;  ;  ; AU ; 14 ; V.I.P.E.R. ; 63 
 5910 ; Бона иностранная Литва ;  ;  ;  ; AU ; 12 ; bonipari ; 101 
 5911 ; Бона иностранная Литва ;  ;  ;  ; AU ; 12 ; mart_si ; 93 
 5912 ; Бона иностранная Литва ;  ;  ;  ; AU ; 10 ; V.I.P.E.R. ; 53 
 5913 ; Бона иностранная Ковно ;  ;  ;  ;  ; 35 ; варяг42 ; 507 
 5914 ; Бона иностранная Ковно ;  ;  ;  ;  ; 36 ; unkas79 ; 1134 
 5915 ; Бона иностранная Германия ;  ;  ;  ;  ; 29 ; Первый Самураец ; 354 
 5916 ; Бона иностранная Германия ;  ;  ;  ;  ; 13 ; DIMA 57 ; 227 
 5917 ; Бона иностранная Германия ;  ;  ;  ;  ; 29 ; flutter ; 318 
 5918 ; Бона иностранная Германия ;  ;  ;  ;  ; 16 ; byrozka ; 61 
 5919 ; Бона иностранная Германия ;  ;  ;  ;  ; 29 ; FonPaul ; 204 
 5920 ; Бона иностранная Германия ;  ;  ;  ;  ; 18 ; Первый Самураец ; 340 
 5921 ; Лот бон (7шт) ;  ;  ;  ;  ; 23 ; stok ; 183 
 5922 ; Бона иностранная Польша, в буклете ; 2009 ;  ;  ; AU ; 25 ; архыз ; 567 
 5923 ; Бона иностранная Германия ; 1964 ;  ;  ; AU ; 47 ; sibirian ; 336 
 5924 ; Бона иностранная Гибралтар ; 1988 ;  ;  ; AU ; 85 ; vicktor_2014 ; 765 
 5925 ; Бона иностранная Коста-Рика ;  ;  ;  ; AU ; 23 ; sibirian ; 228 
 5926 ; Бона иностранная Судан ;  ;  ;  ;  ; 32 ; Brat123456 ; 120 
 5927 ; Бона иностранная Гонг-Конг ;  ;  ;  ; AU ; 25 ; teso ; 425 
 5928 ; Бона иностранная Кипр ;  ;  ;  ;  ; 11 ; Shera ; 374 
 5929 ; Бона иностранная Израиль ;  ;  ;  ; AU ; 28 ; sveta6369 ; 73 
 5930 ; Бона иностранная Египет ;  ;  ;  ; AU ; 45 ; Ustin ; 357 
 5931 ; Бона иностранная Сингапур ;  ;  ;  ;  ; 10 ; IEV ; 105 
 5832 ; Бона иностранная Албания ;  ;  ;  ;  ; 54 ; Первый Самураец ; 1224 
 5833 ; Бона иностранная Италия ;  ;  ;  ;  ; 16 ; джон08 ; 47 
 5834 ; Бона иностранная Италия ;  ;  ;  ;  ; 11 ; джон08 ; 102 
 5835 ; Бона иностранная Италия ;  ;  ;  ;  ; 17 ; джон08 ; 79 
 5836 ; Бона иностранная Италия ;  ;  ;  ;  ; 22 ; maksbelov ; 118 
 5837 ; Бона иностранная Италия ;  ;  ;  ;  ; 20 ; джон08 ; 153 
 5838 ; Бона иностранная Италия ;  ;  ;  ;  ; 9 ; merkava79 ; 34 
 5839 ; Бона иностранная Италия ;  ;  ;  ;  ; 24 ; SS2008 ; 145 
 5840 ; Лот бон иностранных Италия 4 шт ;  ;  ;  ;  ; 21 ; 2128508 ; 204 
 5841 ; Бона иностранная Бельгия ;  ;  ;  ;  ; 25 ; середа ; 104 
 5842 ; Бона иностранная Бельгия ;  ;  ;  ;  ; 5 ; середа ; 36 
 5843 ; Бона иностранная Германия ;  ;  ;  ;  ; 41 ; $$$ ; 363 
 5844 ; Бона иностранная Германия ;  ;  ;  ;  ; 11 ; FonPaul ; 46 
 5845 ; Бона иностранная Германия ;  ;  ;  ;  ; 8 ; FonPaul ; 37 
 5846 ; Бона иностранная Германия ;  ;  ;  ;  ; 18 ; FonPaul ; 61 
 5847 ; Бона иностранная Германия ;  ;  ;  ;  ; 18 ; FonPaul ; 61 
 5848 ; Бона иностранная Германия ;  ;  ;  ;  ; 21 ; FonPaul ; 87 
 5849 ; Лот бон иностранных Германия 5 шт ;  ;  ;  ;  ; 46 ; taa ; 204 
 5850 ; Лот бон иностранных Германия 5 шт ;  ;  ;  ;  ; 13 ; byrozka ; 159 
 5851 ; Бона иностранная Дания ;  ;  ;  ;  ; 39 ; SS2008 ; 170 
 5852 ; Лот бон иностранных Дания 2 шт ;  ;  ;  ;  ; 31 ; stabah ; 225 
 5853 ; Лот бон иностранных Исландия 2 шт ;  ;  ;  ;  ; 17 ; maksbelov ; 153 
 5854 ; Бона иностранная Исландия ;  ;  ;  ;  ; 25 ; середа ; 159 
 5855 ; Бона иностранная Швеция ;  ;  ;  ;  ; 11 ; середа ; 100 
 5856 ; Бона иностранная Швеция ;  ;  ;  ;  ; 22 ; Monata ; 480 
 5857 ; Бона иностранная Швеция ;  ;  ;  ;  ; 29 ; aleks51 ; 84 
 5858 ; Бона иностранная Австрия ;  ;  ;  ;  ; 32 ; u10257 ; 453 
 5859 ; Бона иностранная Австрия ;  ;  ;  ;  ; 8 ; merkava79 ; 35 
 5860 ; Бона иностранная Австрия ;  ;  ;  ;  ; 30 ; stabah ; 158 
 5861 ; Бона иностранная Австрия ;  ;  ;  ;  ; 11 ; середа ; 71 
 5862 ; Бона иностранная Норвегия ;  ;  ;  ;  ; 18 ; всыня ; 255 
 5863 ; Бона иностранная Финляндия ;  ;  ;  ;  ; 26 ; nikfed ; 305 
 5864 ; Бона иностранная Эстония ;  ;  ;  ;  ; 16 ; merkava79 ; 38 
 5865 ; Бона иностранная Польша ;  ;  ;  ;  ; 25 ; byrozka ; 135 
 5866 ; Лот бон иностранных Польша 2 шт ;  ;  ;  ;  ; 18 ; тикси3 ; 145 
 5867 ; Лот бон иностранных Польша 3 шт ;  ;  ;  ;  ; 10 ; byrozka ; 114 
 5868 ; Бона иностранная Польша ;  ;  ;  ;  ; 18 ; Бармалей ; 357 
 5869 ; Бона иностранная Югославия ;  ;  ;  ;  ; 11 ; dinkini ; 79 
 5870 ; Бона иностранная Югославия ;  ;  ;  ;  ; 10 ; dinkini ; 69 
 5871 ; Бона иностранная Югославия ;  ;  ;  ;  ; 7 ; doc2 ; 120 
 5872 ; Бона иностранная Югославия ;  ;  ;  ;  ; 8 ; doc2 ; 113 
 5873 ; Бона иностранная Франция ;  ;  ;  ;  ; 17 ; Первый Самураец ; 188 
 5874 ; Бона иностранная Франция ;  ;  ;  ;  ; 17 ; середа ; 79 
 5875 ; Бона иностранная Франция ;  ;  ;  ;  ; 7 ; gdrg2 ; 107 
 5876 ; Бона иностранная Франция ;  ;  ;  ;  ; 5 ; mart_si ; 132 
 5877 ; Бона иностранная Франция ;  ;  ;  ;  ; 9 ; скорпион_48 ; 90 
 5878 ; Бона иностранная Франция ;  ;  ;  ;  ; 16 ; скорпион_48 ; 160 
 5879 ; Лот бон иностранных Франция 3 шт ;  ;  ;  ;  ; 32 ; aleks51 ; 204 
 5880 ; Бона иностранная Франция ;  ;  ;  ;  ; 9 ; ZIMOGOR ; 102 
 5881 ; Бона иностранная Франция ;  ;  ;  ;  ; 31 ; Первый Самураец ; 1836 
 5650 ; Бона иностранная ;  ;  ;  ;  ; 5 ; доллар  капут ; 34 
 5651 ; Бона иностранная ;  ;  ;  ;  ; 18 ; stabah ; 78 
 5652 ; Бона иностранная ;  ;  ;  ;  ; 11 ; gdrg2 ; 102 
 5653 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Первый Самураец ; 1529 
 5654 ; Бона иностранная ;  ;  ;  ;  ; 29 ; Первый Самураец ; 1544 
 5655 ; Бона иностранная ;  ;  ;  ;  ; 13 ; aleks51 ; 51 
 5656 ; Бона иностранная ;  ;  ;  ;  ; 46 ; gdrg2 ; 89 
 5657 ; Бона иностранная ;  ;  ;  ;  ; 12 ; FonPaul ; 83 
 5658 ; Бона иностранная ;  ;  ;  ;  ; 12 ; FonPaul ; 83 
 5659 ; Бона иностранная ;  ;  ;  ;  ; 13 ; FonPaul ; 151 
 5660 ; Бона иностранная ;  ;  ;  ;  ; 11 ; я8844 ; 138 
 5661 ; Бона иностранная ;  ;  ;  ;  ; 8 ; ек ; 79 
 5662 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 333985 ; 79 
 5663 ; Бона иностранная ;  ;  ;  ;  ; 14 ; FonPaul ; 62 
 5664 ; Бона иностранная ;  ;  ;  ;  ; 12 ; 333985 ; 62 
 5665 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Monata ; 138 
 5666 ; Бона иностранная ;  ;  ;  ;  ; 15 ; FonPaul ; 61 
 5667 ; Бона иностранная ;  ;  ;  ;  ; 53 ; kn157736 ; 1517 
 5668 ; Бона иностранная ;  ;  ;  ;  ; 57 ; kn157736 ; 1558 
 5801 ; Бона иностранная Англия ;  ;  ;  ;  ; 23 ; alex1974 ; 918 
 5802 ; Бона иностранная Англия ;  ;  ;  ;  ; 13 ; wwn ; 193 
 5803 ; Бона иностранная Англия ;  ;  ;  ;  ; 32 ; alex1974 ; 365 
 5804 ; Бона иностранная Англия ;  ;  ;  ;  ; 28 ; wwn ; 200 
 5805 ; Бона иностранная Ирландия ;  ;  ;  ;  ; 28 ; IEV ; 159 
 5806 ; Бона иностранная Ирландия ;  ;  ;  ;  ; 15 ; WCN ; 327 
 5807 ; Бона иностранная Шотландия ;  ;  ;  ;  ; 43 ; AID57 ; 255 
 5808 ; Бона иностранная Шотландия ;  ;  ;  ;  ; 14 ; pref ; 86 
 5809 ; Бона иностранная Джерси ;  ;  ;  ;  ; 18 ; alex1974 ; 200 
 5810 ; Бона иностранная Швейцария ;  ;  ;  ;  ; 75 ; Первый Самураец ; 202 
 5811 ; Бона иностранная Швейцария ;  ;  ;  ;  ; 12 ; $$$ ; 250 
 5812 ; Бона иностранная Швейцария ;  ;  ;  ;  ; 18 ; Brat123456 ; 300 
 5813 ; Бона иностранная Греция ;  ;  ;  ;  ; 16 ; .gk ; 157 
 5814 ; Бона иностранная Греция ;  ;  ;  ;  ; 22 ; flutter ; 227 
 5815 ; Бона иностранная Греция ;  ;  ;  ;  ; 18 ; wwn ; 114 
 5816 ; Бона иностранная Греция ;  ;  ;  ;  ; 21 ; wwn ; 82 
 5817 ; Лот бон иностранных Греция 2 шт ;  ;  ;  ;  ; 13 ; .gk ; 267 
 5818 ; Бона иностранная Румыния ;  ;  ;  ;  ; 18 ; Первый Самураец ; 1224 
 5819 ; Бона иностранная Румыния ;  ;  ;  ;  ; 15 ; Первый Самураец ; 1020 
 5820 ; Бона иностранная Румыния ;  ;  ;  ;  ; 19 ; Первый Самураец ; 276 
 5821 ; Бона иностранная Румыния ;  ;  ;  ;  ; 11 ; Первый Самураец ; 102 
 5822 ; Бона иностранная Сербия ;  ;  ;  ;  ; 23 ; тикси3 ; 62 
 5823 ; Лот бон иностранных Румыния,Сербия 3 шт ;  ;  ;  ;  ; 5 ; 2128508 ; 327 
 5824 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 18 ; ML ; 130 
 5825 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 17 ; V.I.P.E.R. ; 57 
 5826 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 19 ; jj ; 44 
 5827 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 18 ; V.I.P.E.R. ; 67 
 5828 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 25 ; Бармалей ; 255 
 5829 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 11 ; dis ; 44 
 5830 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 6 ; dis ; 45 
 5831 ; Бона иностранная Албания ;  ;  ;  ;  ; 42 ; Первый Самураец ; 1022 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 8 ; merkava79 ; 23 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Searcher ; 184 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 24 ; flutter ; 61 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Бостон ; 40 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 28 ; flutter ; 100 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 15 ; flutter ; 62 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 17 ; flutter ; 204 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 26 ; flutter ; 204 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 28 ; flutter ; 204 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 24 ; flutter ; 204 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 21 ; flutter ; 204 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 22 ; FonPaul ; 63 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 15 ; flutter ; 40 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 14 ; flutter ; 40 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 14 ; flutter ; 43 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 17 ; flutter ; 40 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 8 ; FonPaul ; 50 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 11 ; доллар  капут ; 90 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 11 ; доллар  капут ; 91 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Майкл ; 102 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 2128508 ; 101 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 22 ; kn157736 ; 158 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 19 ; kn157736 ; 158 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kop ; 50 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 2128508 ; 70 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 19 ; середа ; 59 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 4 ; тикси3 ; 30 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 9 ; mishael07 ; 40 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 10 ; FonPaul ; 40 
