 3214 ; Бона иностранная ;  ;  ;  ;  ; 52 ; derk02 ; 104 
 3014 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 30 ; bolik ; 30 
 3015 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 8 ; bolik ; 30 
 3016 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 8 ; bolik ; 30 
 3017 ; 50 рублей, Армения ; 1919 ;  ;  ;  ; 29 ; derk02 ; 612 
 3018 ; 10 рублей, Армения ; 1919 ;  ;  ;  ; 23 ; k212 ; 600 
 3019 ; 10 рублей, Армения ; 1919 ;  ;  ;  ; 33 ; derk02 ; 612 
 3020 ; 5 рублей, Армения ; 1919 ;  ;  ;  ; 37 ; derk02 ; 612 
 3021 ; 25 лат ; 1938 ; Латвия ;  ;  ; 38 ; ejik ; 306 
 3022 ; 1 рубль ; 1989 ;  ;  ;  ; 20 ; bolik ; 42 
 3023 ; 20 рублей ; 1975 ;  ;  ;  ; 34 ; Genadij ; 81 
 3024 ; 20 рублей ; 1975 ;  ;  ;  ; 20 ; сми ; 43 
 3025 ; 50 рублей ; 1975 ;  ;  ;  ; 46 ; Genadij ; 100 
 3026 ; 100 рублей ; 1920 ;  ;  ;  ; 9 ; kuril ; 187 
 3027 ; 250 рублей ; 1920 ;  ;  ;  ; 38 ; loyig ; 510 
 3028 ; 250 рублей ; 1920 ;  ;  ;  ; 41 ; 1968 ; 1224 
 3029 ; 500 рублей ; 1920 ;  ;  ;  ; 16 ; AIK60 ; 90 
 3030 ; 500 рублей ; 1920 ;  ;  ;  ; 25 ; o.k. ; 101 
 3031 ; 500 рублей ; 1920 ;  ;  ;  ; 9 ; инга ; 185 
 3032 ; 50 лат ; 1934 ; Латвия ;  ;  ; 46 ; ejik ; 459 
 3033 ; 5 рублей, Одесса ; 1917 ;  ;  ;  ; 70 ; Cashman ; 375 
 3034 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 16 ; 1968 ; 267 
 3035 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 61 ; Антон-15 ; 1219 
 3036 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 13 ; verazal ; 357 
 3037 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 30 ; 1968 ; 410 
 3038 ; 1 червонец ; 1937 ; Билет ;  ;  ; 81 ; Cashman ; 1020 
 3039 ; 1 червонец ; 1937 ; Билет ;  ;  ; 48 ; dog009 ; 1989 
 3040 ; 3 червонца ; 1932 ; Билет ;  ;  ; 16 ; сми ; 357 
 3041 ; 3 червонца ; 1932 ; Билет ;  ;  ; 31 ; сми ; 269 
 3042 ; 3 червонца ; 1932 ; Билет ;  ;  ; 149 ; Genadij ; 2040 
 3043 ; 10 рублей, Одесса ; 1917 ;  ;  ;  ; 29 ; torus72 ; 360 
 3044 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 44 ; vlkorchev ; 125 
 3045 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 18 ; bolik ; 108 
 3046 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 18 ; vlkorchev ; 82 
 3047 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 29 ; bolik ; 108 
 3048 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 22 ; alex1974 ; 82 
 3049 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 27 ; alex1974 ; 77 
 3050 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 21 ; Argnist3000 ; 100 
 3051 ; 50 пенни ; 1919 ; Эстония ;  ;  ; 42 ; lesnik1 ; 175 
 3052 ; 10 рублей, Баку ; 1918 ;  ;  ;  ; 43 ; kaa123 ; 156 
 3053 ; 25 рублей ; 1919 ; Азербайджан ;  ;  ; 47 ; ejik ; 169 
 3054 ; 5 марок ; 1919 ; Эстония ;  ;  ; 49 ; vvp500 ; 650 
 3055 ; 25 рублей, Баку ; 1918 ;  ;  ;  ; 34 ; sher60 ; 153 
 3056 ; 50 рублей, Баку ; 1918 ;  ;  ;  ; 78 ; Bagrin ; 682 
 3057 ; 3 рубля, Лысьва ;  ;  ;  ;  ; 20 ; сми ; 347 
 3058 ; 10 рублей ; 1918 ; Разменные знаки.Совнарком Терс ;  ;  ; 32 ; derk02 ; 510 
 3059 ; 1 рубль ; 1918 ; Разменные знаки.Совнарком Терс ;  ;  ; 57 ; Bagrin ; 625 
 3060 ; 3 рубля ; 1918 ; Разменные знаки.Совнарком Терс ;  ;  ; 34 ; цц ; 327 
 3061 ; 5 рублей ; 1918 ; Разменные знаки.Совнарком Терс ;  ;  ; 58 ; k212 ; 450 
 3062 ; 3 рубля, Либавское г.с. ; 1915 ;  ;  ;  ; 41 ; seaman ; 816 
 3063 ; 10 лат ; 1937 ; Латвия ;  ;  ; 33 ; ejik ; 306 
 2814 ; Лот монет Германии: 1 пфенниг (43шт) ; 1940-1944 ;  ; Zn ; F/VF- ; 79 ; Григорий ; 531 
 2815 ; Лот монет Германии. Нотгельд: 50,10,5 пфеннигов (7шт) ; 1918-1928 ;  ; Zn,Fe ; F+/VF ; 57 ; Sterh ; 261 
 2816 ; Лот монет ФРГ: 10,5,2,1 пфеннигов (4шт) ; 1988F ;  ; Латунь/St, ; AU ; 25 ; solder13 ; 51 
 2817 ; Лот монет Испании: 38шт ; 20 век ;  ; Латунь,Cu- ; VF-/XF+ ; 56 ; efge ; 306 
 2818 ; Лот монет Германии: 10 пфеннигов (20шт) ; 1916-1919 ;  ; Fe ; F/VF- ; 41 ; Григорий ; 46 
 2819 ; Лот монет Франции: 34шт ; 20 век ;  ; Al/Br,Al,C ; VF-/XF+ ; 45 ; efge ; 450 
 2820 ; Лот монет Греции: 27шт ; 20 век ;  ; Латунь,Cu- ; VF-/XF+ ; 31 ; efge ; 230 
 2821 ; Лот монет Нидерландов: 36шт ; 20 век ;  ; Cu-Ni,Br ; VF/AU ; 44 ; alno51 ; 225 
 2822 ; Лот монет Джерси: 5шт ; 20 век ;  ; Br,Cu-Ni ; AU ; 66 ; МАВ21 ; 324 
 2823 ; Набор монет Каймановых островов: 4шт ; 20 век ;  ; Cu-Ni,Cu/S ; AU ; 21 ; Pasha ; 232 
 2824 ; Набор монет Новой Макао: 6шт ; 20 век ;  ; Латунь,Cu/ ; AU ; 45 ; Graphic ; 306 
 2825 ; Набор монет Гаити: 5шт ; 20 век ;  ; Cu-Ni,Лату ; AU ; 46 ; Pasha ; 192 
 2826 ; Набор монет Никарагуа: 6шт ; 20 век ;  ; Cu-Ni,Лату ; AU ; 22 ; Pasha ; 181 
 2827 ; Набор монет Тимор-Лешти: 5шт ; 20 век ;  ; Cu-Ni,Лату ; AU ; 27 ; Ромбор ; 352 
 2828 ; Лот монет Руанды: 5шт ; 2003 ;  ; Al,St,Лату ; AU ; 49 ; Graphic ; 334 
 2829 ; Набор монет Эритреи: 6шт ; 20 век ;  ; Cu-Ni ; AU ; 49 ; Graphic ; 340 
 2830 ; Набор монет Ливана: 5шт ; 20 век ;  ; Cu-Ni,Лату ; AU ; 15 ; МАВ21 ; 222 
 2831 ; Набор монет Уругвая: 5шт ; 20 век ;  ; Би/м,латун ; AU ; 11 ; МАВ21 ; 222 
 2832 ; Лот монет Нидерландов:32шт ; 20 век ;  ; Cu-Ni,Br ; VF-/XF+ ; 46 ; efge ; 179 
 2833 ; Набор монет Нового Катара: 4шт ; 20 век ;  ; Br,Cu/Ni ; AU ; 29 ; Ромбор ; 267 
 2834 ; Набор монет Новой Индии: 4шт ; 20 век ;  ; Ni/St ; AU ; 13 ; alex751 ; 201 
 2835 ; Набор монет Сейшелл: 6шт ; 20 век ;  ; Cu-Ni,Лату ; AU ; 25 ; Pasha ; 233 
 2836 ; Набор монет Макао: 6шт ; 20 век ;  ; Латунь,Cu- ; AU ; 43 ; Pasha ; 277 
 2837 ; Набор монет Туркмении: 6шт ; 20 век ;  ; Латунь,Ni/ ; AU ; 30 ; stroitel61 ; 104 
 2838 ; Набор монет Киргизии: 5шт ; 20 век ;  ; Cu-Ni,Лату ; AU ; 8 ; alex751 ; 169 
 2839 ; Набор монет Узбекистана: 6шт ; 20 век ;  ; Латунь,Cu/ ; AU ; 20 ; crazybober ; 97 
 2840 ; Набор монет Азербайджана: 4шт ; 20 век ;  ; Al ; VF/XF+ ; 33 ; crazybober ; 179 
 2841 ; Набор монет Туркменистана: 1000, 500 манат, 10,5,1 теннеси (5шт) ; 1993,1999 ;  ; Cu/St,Ni/S ; XF+/AU ; 58 ; crazybober ; 175 
 2842 ; Набор монет Туркменистана: 50,20,10,5,2,1 тенне (6шт) ; 2009 ;  ; Латунь, Ni ; AU ; 57 ; jj ; 97 
 2843 ; Жетон. Италия. Первенство мира по футболу в Германии. Упаковка ; 2006 ;  ; Ag999 ; Proof ; 23 ; Graphic ; 201 
 2844 ; Жетон. США. Первенство мира по футболу в Германии. Упаковка ; 2006 ;  ; Ag999 ; Proof ; 14 ; Graphic ; 197 
 2845 ; Жетон. Швейцария. Первенство мира по футболу в Германии. Упаковка ; 2006 ;  ; Ag999 ; Proof ; 13 ; Graphic ; 193 
 2846 ; Жетон. Южная Корея. Первенство мира по футболу в Германии. Упаковка ; 2006 ;  ; Ag999 ; Proof ; 12 ; Mike! ; 189 
 2847 ; Жетон. Швеция. Первенство мира по футболу в Германии. Упаковка ; 2006 ;  ; Ag999 ; Proof ; 12 ; Mike! ; 189 
 2848 ; Жетон. Англия. Первенство мира по футболу в Германии. Упаковка ; 2006 ;  ; Ag999 ; Proof ; 16 ; Graphic ; 201 
 2849 ; Жетон. Иран. Первенство мира по футболу в Германии. Упаковка ; 2006 ;  ; Ag999 ; Proof ; 12 ; Mike! ; 189 
 2850 ; Жетон. Бразилия. Первенство мира по футболу в Германии. Упаковка ; 2006 ;  ; Ag999 ; Proof ; 12 ; Mike! ; 189 
 3001 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 4 ; AIK60 ; 83 
 3002 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 3 ; svu14 ; 65 
 3003 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 7 ; kaa123 ; 77 
 3004 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 94 ; Cashman ; 152 
 3005 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 6 ; vitas123 ; 53 
 3006 ; 5 рублей ; 1920 ; Расчетные знаки РСФСР образца  ;  ;  ; 14 ; Cashman ; 157 
 3007 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца  ;  ;  ; 81 ; Cashman ; 209 
 3008 ; 2 копейки, Ростов ;  ;  ;  ;  ; 14 ; Fedor_K ; 227 
 3009 ; 2 копейки, Ростов ;  ;  ;  ;  ; 63 ; цц ; 227 
 3010 ; 2 копейки, Ростов ;  ;  ;  ;  ; 42 ; Fedor_K ; 317 
 3011 ; 20 гривен, Проскуров ; 1919 ;  ;  ;  ; 44 ; цц ; 500 
 3012 ; 50 копеек, Минводы ;  ;  ;  ;  ; 30 ; Fedor_K ; 1203 
 3013 ; 10 рублей ; 1918 ; Азербайджан ;  ;  ; 45 ; Bagrin ; 510 
 2764 ; 1 пенни. Финляндия ; 1922 ;  ; Cu ; AU ; 21 ; Shrrv ; 20 
 2765 ; 1 пенни. Финляндия ; 1923 ;  ; Cu ; AU ; 14 ; solder13 ; 57 
 2766 ; 1 пенни. Финляндия ; 1924 ;  ; Cu ; AU ; 24 ; Бендер ; 97 
 2767 ; 25 эре. Швеция ; 1883 ;  ; Ag ; F-VF ; 15 ; aleks-2007 ; 67 
 2768 ; 25 эре. Швеция ; 1914 ;  ; Ag ; F-VF ; 15 ; aleks-2007 ; 72 
 2769 ; 25 эре. Швеция ; 1917 ;  ; Ag ; F-VF ; 6 ; aleks-2007 ; 62 
 2770 ; Жетон. Вольфганг Оверат. Первенство мира по футболу ;  ;  ; Б/м ; AU ; 38 ; bolik ; 47 
