 4816 ; 2 доллара. США ; 1917 ;  ;  ;  ; 53 ; lamazo ; 2521 
 4614 ; Бона иностранная ;  ;  ;  ;  ; 2 ; spstudio ; 30 
 4615 ; Бона иностранная ;  ;  ;  ;  ; 6 ; krft ; 34 
 4616 ; Бона иностранная ;  ;  ;  ;  ; 16 ; lamazo ; 45 
 4617 ; Бона иностранная ;  ;  ;  ;  ; 28 ; spstudio ; 30 
 4618 ; Бона иностранная ;  ;  ;  ;  ; 5 ; spstudio ; 44 
 4619 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ppp ; 34 
 4620 ; Бона иностранная ;  ;  ;  ;  ; 10 ; vladimir-sirke ; 32 
 4621 ; Бона иностранная ;  ;  ;  ;  ; 10 ; vladimir-sirke ; 32 
 4622 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Опятор ; 34 
 4623 ; Бона иностранная ;  ;  ;  ;  ; 16 ; mirumir ; 42 
 4624 ; Бона иностранная ;  ;  ;  ;  ; 8 ; vladimir-sirke ; 30 
 4625 ; Бона иностранная ;  ;  ;  ;  ; 8 ; vladimir-sirke ; 30 
 4626 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Gold_42 ; 36 
 4627 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Опятор ; 42 
 4628 ; Бона иностранная ;  ;  ;  ;  ; 18 ; vladimir-sirke ; 30 
 4629 ; Бона иностранная ;  ;  ;  ;  ; 21 ; astra-53 ; 34 
 4630 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ppp ; 34 
 4631 ; Бона иностранная ;  ;  ;  ;  ; 4 ; astra-53 ; 14 
 4632 ; Бона иностранная ;  ;  ;  ;  ; 4 ; astra-53 ; 14 
 4633 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Enter ; 13 
 4634 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Enter ; 15 
 4635 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Enter ; 27 
 4636 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Василевс ; 31 
 4637 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Василевс ; 42 
 4638 ; Бона иностранная ;  ;  ;  ;  ; 5 ; vladimir-sirke ; 33 
 4639 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Майкл ; 201 
 4640 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sobiranel ; 102 
 4641 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sobiranel ; 102 
 4542 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Скрудж ; 32 
 4543 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 36 
 4544 ; Бона иностранная ;  ;  ;  ;  ; 25 ; 34 ; 26 
 4545 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 36 
 4546 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 46 
 4547 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 34 ; 27 
 4548 ; Бона иностранная ;  ;  ;  ;  ; 19 ; 34 ; 29 
 4549 ; Бона иностранная ;  ;  ;  ;  ; 2 ; сс400 ; 35 
 4550 ; Бона иностранная ;  ;  ;  ;  ; 13 ; krft ; 22 
 4551 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 36 
 4552 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Скрудж ; 33 
 4553 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Enter ; 31 
 4554 ; Бона иностранная ;  ;  ;  ;  ; 21 ; 34 ; 26 
 4555 ; Бона иностранная ;  ;  ;  ;  ; 21 ; 34 ; 27 
 4556 ; Бона иностранная ;  ;  ;  ;  ; 21 ; sobiranel ; 30 
 4557 ; Бона иностранная ;  ;  ;  ;  ; 19 ; krft ; 30 
 4558 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 34 ; 27 
 4559 ; Бона иностранная ;  ;  ;  ;  ; 8 ; krft ; 30 
 4560 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kozerog ; 25 
 4561 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kapital51 ; 42 
 4562 ; Бона иностранная ;  ;  ;  ;  ; 19 ; spstudio ; 30 
 4563 ; Бона иностранная ;  ;  ;  ;  ; 11 ; spstudio ; 30 
 4564 ; Бона иностранная ;  ;  ;  ;  ; 25 ; kozerog ; 43 
 4565 ; Бона иностранная ;  ;  ;  ;  ; 60 ; krft ; 72 
 4566 ; Бона иностранная ;  ;  ;  ;  ; 57 ; kapital51 ; 65 
 4567 ; Бона иностранная ;  ;  ;  ;  ; 31 ; ИЮМов1 ; 153 
 4568 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ИЮМов1 ; 153 
 4569 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ИЮМов1 ; 153 
 4570 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ИЮМов1 ; 153 
 4571 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ИЮМов1 ; 153 
 4572 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ИЮМов1 ; 153 
 4573 ; Бона иностранная ;  ;  ;  ;  ; 42 ; FOCU$ ; 61 
 4574 ; Бона иностранная ;  ;  ;  ;  ; 39 ; don-juras ; 37 
 4575 ; Бона иностранная ;  ;  ;  ;  ; 22 ; spstudio ; 30 
 4576 ; Бона иностранная ;  ;  ;  ;  ; 32 ; astra-53 ; 36 
 4577 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 40 
 4578 ; Бона иностранная ;  ;  ;  ;  ; 25 ; В1951 ; 51 
 4579 ; Бона иностранная ;  ;  ;  ;  ; 36 ; astra-53 ; 35 
 4580 ; Бона иностранная ;  ;  ;  ;  ; 36 ; krft ; 37 
 4581 ; Бона иностранная ;  ;  ;  ;  ; 26 ; don-juras ; 35 
 4582 ; Бона иностранная ;  ;  ;  ;  ; 28 ; spstudio ; 30 
 4583 ; Бона иностранная ;  ;  ;  ;  ; 11 ; FOCU$ ; 34 
 4584 ; Бона иностранная ;  ;  ;  ;  ; 26 ; krft ; 31 
 4585 ; Бона иностранная ;  ;  ;  ;  ; 4 ; krft ; 31 
 4586 ; Бона иностранная ;  ;  ;  ;  ; 30 ; spstudio ; 36 
 4587 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Василевс ; 50 
 4588 ; Бона иностранная ;  ;  ;  ;  ; 29 ; astra-53 ; 35 
 4589 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Василевс ; 48 
 4590 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Василевс ; 34 
 4591 ; Бона иностранная ;  ;  ;  ;  ; 3 ; astra-53 ; 31 
 4304 ; 10000 рублей ; 1992 ; банкнота ;  ;  ; 37 ; VVIB ; 368 
 4305 ; 50000 рублей ; 1995 ; банкнота ;  ;  ; 45 ; sasha14 ; 637 
 4306 ; 1 рубль ; 1991 ; билет ;  ;  ; 22 ; KYZIA ; 68 
 4307 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 17 ; ges ; 114 
 4308 ; 200 рублей ; 1992 ; билет ;  ;  ; 20 ; vladimir-sirke ; 41 
 4309 ; Лот Банкнот банка России образца 1993г: 100 и 500 рублей (2шт) ; 1993 ;  ;  ;  ; 31 ; sasha14 ; 45 
 4310 ; Лот Банкнот банка России образца 1995г: 1000, 5000,10000 рублей (3шт) ; 1995 ;  ;  ;  ; 51 ; sasha14 ; 340 
 4311 ; Лот Билетов гос. банка СССР образца 1991г: 1,50,1000 рублей (4шт) ; 1991 ;  ;  ;  ; 2 ; aleks7 ; 94 
 4312 ; Лот Денежных знаков образца 1961г: 1,5,10,25 рублей (7шт) ; 1961 ;  ;  ;  ; 20 ; BIgor81 ; 51 
 4501 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kapital51 ; 47 
 4502 ; Бона иностранная ;  ;  ;  ;  ; 10 ; andrej888 ; 32 
 4503 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 32 
 4504 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Скрудж ; 36 
 4505 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 45 
 4506 ; Бона иностранная ;  ;  ;  ;  ; 5 ; andrej888 ; 30 
 4507 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 31 
 4508 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 31 
 4509 ; Бона иностранная ;  ;  ;  ;  ; 10 ; kapital51 ; 90 
 4510 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Скрудж ; 40 
 4511 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 45 
 4512 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Скрудж ; 31 
 4513 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Скрудж ; 30 
 4514 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 36 
 4515 ; Бона иностранная ;  ;  ;  ;  ; 3 ; tpls ; 30 
 4516 ; Бона иностранная ;  ;  ;  ;  ; 20 ; sasha14 ; 22 
 4517 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Gera_K ; 21 
 4518 ; Бона иностранная ;  ;  ;  ;  ; 21 ; spstudio ; 27 
 4519 ; Бона иностранная ;  ;  ;  ;  ; 22 ; spstudio ; 27 
 4520 ; Бона иностранная ;  ;  ;  ;  ; 26 ; spstudio ; 29 
 4521 ; Бона иностранная ;  ;  ;  ;  ; 11 ; andrej888 ; 47 
 4522 ; Бона иностранная ;  ;  ;  ;  ; 12 ; andrej888 ; 45 
 4523 ; Бона иностранная ;  ;  ;  ;  ; 6 ; andrej888 ; 30 
 4524 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kapital51 ; 30 
 4525 ; Бона иностранная ;  ;  ;  ;  ; 16 ; krft ; 31 
 4526 ; Бона иностранная ;  ;  ;  ;  ; 21 ; sos1 ; 83 
 4527 ; Бона иностранная ;  ;  ;  ;  ; 6 ; andrej888 ; 46 
 4528 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 36 
 4529 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 36 
 4530 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Скрудж ; 41 
 4531 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 30 
 4532 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 30 
 4533 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 30 
 4534 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 30 
 4535 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 31 
 4536 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Скрудж ; 30 
 4537 ; Бона иностранная ;  ;  ;  ;  ; 32 ; Скрудж ; 34 
 4538 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sos1 ; 70 
 4539 ; Бона иностранная ;  ;  ;  ;  ; 17 ; sos1 ; 74 
 4540 ; Бона иностранная ;  ;  ;  ;  ; 19 ; sos1 ; 70 
 4541 ; Бона иностранная ;  ;  ;  ;  ; 19 ; sos1 ; 70 
 4119 ; 10 шагив ; 1918 ; Украина.Тип почтовых марок ;  ; AU ; 39 ; SANGOLD1 ; 745 
 4120 ; 20 шагив ; 1918 ; Украина.Тип почтовых марок ;  ; AU ; 23 ; monos72 ; 723 
 4121 ; 30 шагив ; 1918 ; Украина.Тип почтовых марок ;  ; AU ; 23 ; filat100 ; 893 
 4122 ; 30 шагив ; 1918 ; Украина.Тип почтовых марок ;  ; AU ; 17 ; Як-40 ; 903 
 4123 ; 40 шагив ; 1918 ; Украина.Тип почтовых марок ;  ; AU ; 13 ; monos72 ; 723 
 4124 ; 50 шагив ; 1918 ; Украина.Тип почтовых марок ;  ; AU ; 9 ; sergoizadlera ; 652 
 4125 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ; AU ; 33 ; Злой 2 ; 455 
 4126 ; 50 копеек ; 1923 ; Денежные знаки (с рисунком монеты) ;  ; AU ; 43 ; sdfg ; 1280 
 4127 ; 1 копейка ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 71 ; verunk1 ; 306 
 4128 ; 2 копейки ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 70 ; verunk1 ; 309 
 4129 ; 3 копейки ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 63 ; verunk1 ; 408 
 4130 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ; AU ; 55 ; verunk1 ; 408 
 4131 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; AU ; 14 ; Як-40 ; 459 
 4132 ; 250 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; AU ; 131 ; lvd ; 1524 
 4133 ; 25 копеек. Юденич ; 1919 ;  ;  ; AU ; 78 ; кве ; 1587 
 4134 ; 50 копеек. Юденич ; 1919 ;  ;  ; AU ; 17 ; monos72 ; 1479 
 4135 ; 5 рублей. Нижегородский ГСПО ; 1922 ;  ;  ; AU ; 56 ; kropkomp ; 1530 
 4136 ; 50 рублей. Нижегородский ГСПО ; 1922 ;  ;  ; AU ; 11 ; kropkomp ; 1530 
 4137 ; 100 рублей. Нижегородский ГСПО ; 1922 ;  ;  ; AU ; 19 ; kropkomp ; 1530 
 4138 ; 500 рублей. Нижегородский ГСПО ; 1922 ;  ;  ; AU ; 19 ; kropkomp ; 1530 
 4139 ; 1000 рублей. Нижегородский ГСПО ; 1922 ;  ;  ; AU ; 20 ; kropkomp ; 1530 
 4140 ; 1500 рублей. Нижегородский ГСПО ; 1922 ;  ;  ; AU ; 16 ; kropkomp ; 1530 
 4141 ; 2000 рублей. Нижегородский ГСПО ; 1922 ;  ;  ; AU ; 17 ; kropkomp ; 1530 
 4142 ; 2500 рублей. Нижегородский ГСПО ; 1922 ;  ;  ; AU ; 21 ; kropkomp ; 1530 
 4143 ; 5000 рублей ; 1920 ; Туркестан ;  ; AU ; 93 ; sergoizadlera ; 6908 
 4144 ; 25 рублей ; 1918 ; Чек (без штампов регистрации) ;  ; AU ; 96 ; lvd ; 3253 
 4145 ; 50 копеек ; 1924 ; Разменные казн.боны ;  ; AU ; 89 ; seaman ; 22667 
 4146 ; Донецкое об-во Железоделательного и сталелит.производства. Акция ; 1911 ;  ;  ;  ; 18 ; abrek112 ; 411 
 4147 ; Соединенный банк. Акция ; 1912 ;  ;  ;  ; 21 ; abrek112 ; 408 
 4148 ; Свидетельство поземельного банка ; 1912 ;  ;  ;  ; 17 ; ек ; 337 
 4149 ; Об-во Брянского рельсопрокатного завода. Акция ; 1913 ;  ;  ;  ; 33 ; gendalf ; 509 
 4150 ; Об-во Керченских метал.заводов и рудников. Акция ; 1899 ;  ;  ;  ; 18 ; abrek112 ; 457 
 4151 ; Закладной лист ; 1898 ;  ;  ;  ; 33 ; abrek112 ; 408 
 4152 ; Облигация Волго-Бугульминскоц ж/д ; 1908 ;  ;  ;  ; 23 ; gendalf ; 343 
 4153 ; Облигация об-ва Юго-Восточных ж/д ; 1908 ;  ;  ;  ; 15 ; gendalf ; 343 
 4154 ; Облигация Алтайской ж/д ; 1912 ;  ;  ;  ; 20 ; gendalf ; 310 
 4155 ; Облигация Черноморской ж/д ; 1913 ;  ;  ;  ; 21 ; gendalf ; 334 
 4156 ; Облигация Черноморской ж/д ; 1916 ;  ;  ;  ; 37 ; gendalf ; 507 
 4157 ; Облигация Ферганской ж/д ; 1914 ;  ;  ;  ; 35 ; abrek112 ; 1530 
 4158 ; Облигация Ачинск-Минусинской ж/д ; 1914 ;  ;  ;  ; 21 ; gendalf ; 363 
 4159 ; Облигация Московско-Казанской ж/д ; 1914 ;  ;  ;  ; 10 ; gendalf ; 357 
 4160 ; Облигация Северо-Донецкой ж/д ; 1914 ;  ;  ;  ; 14 ; gendalf ; 306 
 4161 ; Облигация Николаевской ж/д ; 1869 ;  ;  ;  ; 62 ; viktorB77 ; 813 
 4162 ; Облигация ; 1896 ;  ;  ;  ; 16 ; gendalf ; 371 
 4163 ; Облигация ; 1891 ;  ;  ;  ; 21 ; gendalf ; 377 
 4164 ; Облигация ; 1906 ;  ;  ;  ; 39 ; gendalf ; 357 
 4165 ; Купоны (10 шт) ;  ;  ;  ;  ; 13 ; koga ; 57 
 4301 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 67 ; USS ; 104 
 4302 ; 2 червонца ; 1928 ; Калманович, Горбунов. Билет ;  ;  ; 78 ; егор ; 1586 
 4303 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 35 ; VVIB ; 227 
 4069 ; 200 рублей ; 1992 ; билет ;  ;  ; 41 ; sasha14 ; 65 
 4070 ; 200 рублей ; 1991 ; билет ;  ;  ; 112 ; сиротка ; 234 
 4071 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 11 ; stivenson ; 25 
 4072 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 6 ; 34 ; 21 
 4073 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 3 ; Ратамахатта ; 30 
 4074 ; 3 рубля ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 45 ; kazdmi ; 507 
 4075 ; 500 рублей ; 1920 ;  ;  ;  ; 16 ; юденич ; 252 
 4076 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 27 ; СЁМА ; 449 
 4077 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 15 ; ъхз ; 461 
 4078 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 67 ; fanil ; 917 
 4079 ; Приватизационный чек ; 1992 ;  ;  ;  ; 5 ; murka1973 ; 105 
 4080 ; Приватизационный чек ; 1992 ;  ;  ;  ; 3 ; ppp ; 102 
 4081 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 5 ; nordbolivar ; 101 
 4082 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 28 ; koga ; 104 
 4083 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 51 ; у44 ; 91 
 4084 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 17 ; Gera_K ; 40 
 4085 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 23 ; BIgor81 ; 48 
 4086 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 44 ; Gera_K ; 43 
 4087 ; 250000 рублей ; 1923 ; Закавказье ;  ;  ; 82 ; kirkar ; 1563 
 4088 ; 1000 рублей ; 1923 ; Закавказье ;  ;  ; 107 ; kirkar ; 1163 
 4089 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 10 ; andrej888 ; 102 
 4090 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 12 ; kapital51 ; 101 
 4091 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 14 ; kapital51 ; 101 
 4092 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 13 ; fanil ; 151 
 4093 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 12 ; ек ; 74 
 4094 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 9 ; у44 ; 87 
 4095 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 6 ; 34 ; 153 
 4096 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 27 ; Опятор ; 153 
 4097 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 21 ; 34 ; 120 
 4098 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 31 ; krft ; 153 
 4099 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; юденич ; 157 
 4100 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; ati2011 ; 214 
 4101 ; 50 копеек ;  ;  ;  ; AU ; 42 ; turner ; 464 
 4102 ; 50 копеек с подписью ;  ;  ;  ; AU ; 35 ; turner ; 722 
 4103 ; 5000 украинских карбованцев ; 1995 ; Украина Купон ;  ; AU ; 29 ; сиротка ; 161 
 4104 ; 10000 украинских карбованцев ; 1995 ; Украина Купон ;  ; AU ; 3 ; у44 ; 123 
 4105 ; 20000 украинских карбованцев ; 1996 ; Украина Купон ;  ; AU ; 25 ; сиротка ; 310 
 4106 ; 3 рубля ; 1919 ; Латвия. Разменный знак ;  ; AU ; 126 ; ъхз ; 447 
 4107 ; 5 рублей ; 1919 ; Латвия. Разменный знак ;  ; AU ; 34 ; DATR ; 650 
 4108 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 80 ; tars7777 ; 114 
 4109 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 8 ; SANGOLD1 ; 114 
 4110 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ; AU ; 5 ; DATR ; 108 
