 151 ; Медаль за Восточную войну (1853-1856). Санкт-Петербургский монетный двор. D-28мм ;  ;  ; светлая Br ; AU/XF ; 20 ; Участник № 462 ; 4500 
 165 ; Жетон. Пр.кл.им. Фрунзе I м. по л/а Е.Н. Бибиковой 1928г. Р-ры:35х23мм ;  ;  ; Ag, эмаль ; XF+ ; 26 ; al69 ; 7140 
 166 ; Жетон. XVI  ТРГ. Тшибка 7.V- 3944. Р-ры: 35х19мм ;  ;  ; Ag?, эмаль ; XF+ ; 7 ; hugo ; 4080 
 167 ; Жетон ГТРШС. Пишба 10.X.36-41. Р-ры: 35х20мм ;  ;  ; Ag?,эмаль ; XF+ ; 5 ; hugo ; 3060 
 168 ; Медаль. Военные успехи 1710года. D-48мм. Медальер: Н. Прокофьев ; 2-ая пол XIX в ;  ; Cu ; AU ; 22 ; Участник № 30 ; 11000 
 169 ; Медаль. На учреждение коллегий 20 декабря 1717г. D-48мм. Медальер: не известен ; 2-ая пол XIX в ;  ; Cu ; AU ; 20 ; Участник № 30 ; 10500 
 170 ; Медаль. Ништадтский мир 30 августа 1721г. D-60мм ;  ;  ; Cu ; AU ; 23 ; Участник № 30 ; 11500 
 171 ; Настольная медаль. Исаакиевский собор-перестройка собора началась при Александре I и продолжалась при Николае I, кончилась в царствование Александра III. D-80мм ;  ;  ; Ж/м ; XF+ ; 20 ; 439 ; 12000 
 172 ; Медаль. Троицкий мост (1897-1903). Имп. Александр III, Мария Федоровна, Николай II. D-63мм ;  ;  ; Ж/м ; AU ; 18 ; Участник № 30 ; 6500 
 101 ; Дукат. Нидерланды. Петербургский чекан. Признаки № 4,7. М-3,49г ; 1849 ;  ; Au ; XF/AU ; 50 ; М О С К В А ; 17000 
 102 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF ; 16 ; patriot ; 9282 
 103 ; 10 копеек (Ильин-5р). Деформация ; 1850 ; СПБ ПА ; Ag ; VF+ ; 25 ; Участник № 9 ; 10000 
 104 ; 10 копеек ; 1850 ; СПБ ПА ; Ag ; VF-XF ; 28 ; ИВОЛГА ; 1334 
 105 ; Денежка ; 1851 ; ЕМ ; Cu ; VF-XF ; 107 ; М О С К В А ; 709 
 106 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF ; 39 ; омт ; 11118 
 107 ; Полтина ; 1854 ; СПБ HI ; Ag ; XF- ; 51 ; омт ; 6026 
 108 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; XF- ; 15 ; patriot ; 5111 
 109 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 50 ; lvd ; 6891 
 110 ; 20 копеек ; 1859 ; СПБ ФБ ; Ag ; XF- ; 76 ; andreisss ; 11573 
 111 ; 2 копейки ; 1859 ; ЕМ ; Cu ; VF+ ; 15 ; нумизмат ; 1237 
 112 ; Копейка ; 1859 ; ВМ ; Cu ; VF ; 39 ; al69 ; 1084 
 113 ; Денежка ; 1859 ; ЕМ ; Cu ; XF- ; 17 ; lvd ; 3400 
 114 ; 25 копеек ; 1860 ; СПБ ФБ ; Ag ; XF- ; 17 ; Участник № 1389 ; 4000 
 115 ; 15 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 20 ; ZOLTAN333 ; 1200 
 116 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 28 ; patriot ; 3444 
 117 ; 2 копейки ; 1862 ; ЕМ ; Cu ; VF+ ; 25 ; al69 ; 340 
 118 ; Копейка ; 1864 ; ЕМ ; Cu ; XF/AU ; 32 ; Участник № 30 ; 3200 
 119 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 38 ; toto ; 2141 
 120 ; 5 копеек ; 1865 ; ЕМ ; Cu ; VF-XF ; 39 ; нумизмат ; 3570 
 121 ; 2 копейки ; 1866 ; ЕМ ; Cu ; VF-XF ; 9 ; нумизмат ; 2142 
 122 ; Рубль ; 1868 ; СПБ HI ; Ag ; VF+ ; 34 ; TDN ; 20298 
 123 ; 1/4 копейки ; 1868 ; СПБ ; Cu ; XF+ ; 41 ; SSK ; 7140 
 124 ; 5 копеек ; 1869 ; ЕМ ; Cu ; XF+ ; 44 ; Участник № 114 ; 5800 
 125 ; 2 копейки ; 1869 ; ЕМ ; Cu ; AU ; 31 ; AVA01 ; 5355 
 126 ; 1/2 копейки ; 1869 ; СПБ ; Cu ; XF- ; 19 ; dimon46 ; 4000 
 127 ; 25 пенни ; 1872 ; S Финляндия ; Ag ; VF+ ; 11 ; омт ; 1152 
 128 ; Копейка ; 1875 ; ЕМ ; Cu ; AU/XF ; 126 ; SSK ; 5667 
 129 ; Полтина ; 1877 ; СПБ HI ; Ag ; AU ; 23 ; нумизмат ; 9234 
 130 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF ; 34 ; oduvan ; 5071 
 131 ; Копейка ; 1878 ; СПБ ; Cu ; AU/XF ; 43 ; toto ; 4490 
 132 ; 2 копейки ; 1880 ; СПБ ; Cu ; AU ; 24 ; Участник № 18 ; 4000 
 133 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 42 ; sg1945 ; 13770 
 134 ; 1/2 копейки ; 1883 ; СПБ ; Cu ; XF- ; 14 ; SSK ; 1796 
 135 ; Копейка ; 1889 ; СПБ ; Cu ; XF+ ; 75 ; saal ; 1000 
 136 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 9 ; sg1945 ; 1476 
 137 ; 5 копеек ; 1890 ; СПБ АГ ; Ag ; Unc/AU ; 17 ; ААФ ; 668 
 138 ; Полтина ; 1896 ; (АГ) АГ ; Ag ; XF- ; 101 ; andreisss ; 2244 
 139 ; Копейка ; 1901 ; СПБ ; Cu ; AU ; 17 ; SSK ; 1800 
 140 ; 15 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 13 ; ZOLTAN333 ; 2506 
 141 ; Копейка ; 1904 ; СПБ ; Cu ; AU ; 20 ; AVA01 ; 4070 
 142 ; 5 рублей. М-4,3г ; 1909 ; (ЭБ) ; Au ; AU ; 28 ; тигр ; 21111 
 143 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; XF+ ; 34 ; patriot ; 6222 
 144 ; Полтина ; 1913 ; (ЭБ) АГ ; Ag ; XF+ ; 25 ; TDN ; 4082 
 145 ; 15 копеек. Фальшивая в ущерб обращения ; 1916 ;  ; Ag ; VF+ ; 6 ; Fedor_K ; 900 
 146 ; 1/2 копейки ; 1916 ;  ; Cu ; XF+ ; 65 ; TDN ; 8500 
 147 ; Знак отличия военного ордена Св.Георгия IV ст. №35325. Санкт-Петербургский монетный дворР-ры: 34х34мм ; 1877 ;  ; Ag ; F-VF ; 48 ; лена ; 37886 
 148 ; Георгиевский крест IV ст. № 747750. Р-ры: 34х34мм ; 1914-1915 ;  ; Ag ; VF+ ; 29 ; Ohotnik ; 16830 
 149 ; Медаль За войну 1812 г. "Кавалерийская". Частная чеканка. D-23мм ;  ;  ; темная Br ; XF ; 9 ; smirnoff ; 4590 
 150 ; Медаль за Русско-Турецкую войну (1877-1878). Санкт-Петербургский Монетный двор. D-26мм ;  ;  ; темная Br ; XF- ; 16 ; Участник № 623 ; 3400 
 51 ; 5 копеек ; 1793 ; АМ ; Cu ; VF-XF ; 65 ; Участник № 66 ; 950 
 52 ; Денга (Петров-2,5, Ильин-5р) ; 1793 ;  ; Cu ; F-VF ; 16 ; арбат ; 3821 
 53 ; 5 копеек ; 1794 ; КМ ; Cu ; XF+ ; 37 ; Участник № 9 ; 3800 
 54 ; 5 копеек ; 1795 ; ЕМ ; Cu ; XF ; 10 ; al69 ; 612 
 55 ; Копейка (Петров-1,5р, Ильин-3р) ; 1795 ;  ; Cu ; F-VF ; 17 ; Участник № 9 ; 2200 
 56 ; 5 копеек (Прямой перечекан с 5 копеек Екатерины II, более 90%  шнурового гурта) ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF ; 32 ; Участник № 9 ; 8000 
 57 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; VF- ; 36 ; art67 ; 7419 
 58 ; Копейка (Петров-1,5р, Ильин-3р) ; 1798 ; КМ ; Cu ; F-VF ; 13 ; art67 ; 3059 
 59 ; Деньга ; 1798 ; ЕМ ; Cu ; VF- ; 19 ; Участник № 66 ; 430 
 60 ; Деньга (Петров-1р, Ильин-3р). Деформация ; 1798 ; КМ ; Cu ; VF ; 45 ; VAG ; 6222 
 61 ; Копейка ; 1799 ; ЕМ ; Cu ; VF-XF ; 52 ; Участник № 133 ; 950 
 62 ; 5 копеек (Петров-2р) ; 1802 ; КМ ; Cu ; VF+ ; 29 ; VAG ; 12000 
 63 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF-XF ; 20 ; Участник № 30 ; 8500 
 64 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 42 ; Участник № 30 ; 7000 
 65 ; 5 копеек ; 1804 ; КМ ; Cu ; VF+ ; 22 ; Участник № 51 ; 7000 
 66 ; 5 копеек ; 1805 ; КМ ; Cu ; VF- ; 13 ; Участник № 30 ; 6000 
 67 ; Деньга (Петров-2,25р, Ильин-3р) ; 1805 ; КМ ; Cu ; F-VF ; 31 ; Сыч ; 6630 
 68 ; 5 копеек (Ильин-3р) ; 1808 ; ЕМ ; Cu ; VF-XF ; 29 ; Участник № 30 ; 9500 
 69 ; Рубль (Петров-3р) ; 1809 ; СПБ МК ; Ag ; VF ; 66 ; al69 ; 19103 
 70 ; 5 копеек ; 1809 ; ЕМ ; Cu ; VF- ; 22 ; Участник № 30 ; 2800 
 71 ; 10 копеек ; 1811 ; СПБ ФГ ; Ag ; VF ; 55 ; TDN ; 3213 
 72 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF ; 7 ; клотик 2 ; 1134 
 73 ; 10 копеек ; 1814 ; СПБ ПС ; Ag ; VF+ ; 30 ; al69 ; 1195 
 74 ; Деньга ; 1814 ; ИМ ПС ; Cu ; XF/AU ; 22 ; SSK ; 2652 
 75 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF+ ; 58 ; coinavt ; 13600 
 76 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; XF ; 30 ; dimon46 ; 1020 
 77 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; VF-XF ; 44 ; Олег2401 ; 1326 
 78 ; Копейка ; 1824 ; ЕМ ПГ ; Cu ; VF ; 62 ; saal ; 520 
 79 ; 5 злотых ; 1829 ; FH Польша ; Ag ; VF-XF ; 57 ; Участник № 1757 ; 9000 
 80 ; Копейка ; 1829 ; ЕМ ИК ; Cu ; VF ; 37 ; saal ; 500 
 81 ; Рубль ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 30 ; Участник № 1739 ; 6000 
 82 ; 20 копеек ; 1830 ; СПБ НГ ; Ag ; XF- ; 27 ; Участник № 18 ; 7200 
 83 ; Рубль ; 1833 ; СПБ НГ ; Ag ; VF-XF ; 40 ; patriot ; 5660 
 84 ; Копейка ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 19 ; Участник № 147 ; 1400 
 85 ; Копейка ; 1834 ; ЕМ ФХ ; Cu ; VF-XF ; 19 ; saal ; 1122 
 86 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; VF-XF ; 33 ; pmaster ; 700 
 87 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF ; 103 ; омт ; 8364 
 88 ; 3/4 рубля-5 злотых ; 1837 ; MW Рус.-Пол. ; Ag ; XF ; 40 ; нумизмат ; 12000 
 89 ; 5 копеек ; 1837 ; СПБ НГ ; Ag ; XF+ ; 13 ; patriot ; 1200 
 90 ; 5 копеек ; 1838 ; СПБ НГ ; Ag ; XF+ ; 12 ; ShSerg ; 2000 
 91 ; 2 копейки ; 1838 ; ЕМ НА ; Cu ; VF ; 32 ; dimon46 ; 3000 
 92 ; 25 копеек ; 1839 ; СПБ НГ ; Ag ; XF+ ; 25 ; омт ; 3009 
 93 ; Рубль ; 1840 ; СПБ НГ ; Ag ; XF- ; 23 ; toto ; 4786 
 94 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF ; 10 ; patriot ; 3751 
 95 ; 1/2 копейки ; 1841 ; СПМ ; Cu ; VF-XF ; 35 ; Sky2 ; 714 
 96 ; Рубль ; 1844 ; СПБ КБ ; Ag ; VF-XF ; 27 ; patriot ; 5812 
 97 ; 20 копеек ; 1845 ; СПБ КБ ; Ag ; VF+ ; 88 ; Участник № 133 ; 10500 
 98 ; Полтина ; 1847 ; MW ; Ag ; VF+ ; 63 ; Участник № 9 ; 9000 
 99 ; 25 копеек ; 1847 ; СПБ ПА ; Ag ; XF ; 36 ; sg1945 ; 2062 
 100 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF ; 29 ; Участник № 9 ; 9400 
 1 ; Рубль. Большая голова ; 1731 ;  ; Ag ; VF ; 70 ; al69 ; 20500 
 2 ; Денга ; 1731 ;  ; Cu ; VF ; 43 ; Участник № 66 ; 340 
 3 ; Рубль ; 1732 ;  ; Ag ; VF+ ; 35 ; М О С К В А ; 16000 
 4 ; Рубль ; 1733 ;  ; Ag ; AU ; 55 ; Участник № 5 ; 62000 
 5 ; Рубль ; 1733 ;  ; Ag ; VF+ ; 23 ; Ohotnik ; 16000 
 6 ; Полтина (Петров-3р) ; 1736 ;  ; Ag ; VF ; 29 ; Сыч ; 24718 
 7 ; Рубль ; 1742 ; СПБ ; Ag ; VF+ ; 19 ; М О С К В А ; 18728 
 8 ; Гривенник ; 1745 ;  ; Ag ; VF-XF ; 41 ; Участник № 1461 ; 5000 
 9 ; Рубль ; 1747 ; СПБ ; Ag ; XF ; 31 ; лена ; 35000 
 10 ; Гривенник ; 1747 ;  ; Ag ; VF-XF ; 31 ; Ч.С. ; 3547 
 11 ; Гривенник ; 1748 ;  ; Ag ; VF-XF ; 16 ; Участник № 1461 ; 4200 
 12 ; Гривенник ; 1750 ;  ; Ag ; VF-XF ; 15 ; Участник № 1461 ; 4200 
 13 ; Рубль ; 1751 ; ММД ; Ag ; VF+ ; 32 ; Участник № 30 ; 17000 
 14 ; Полуполтинник ; 1754 ; ММД ЕI ; Ag ; VF ; 26 ; TDN ; 4692 
 15 ; Копейка ; 1756 ; СПБ ; Cu ; VF+ ; 86 ; швед ; 17850 
 16 ; 20 копеек ; 1764 ; ММД ; Ag ; VF ; 28 ; омт ; 4700 
 17 ; 5 копеек ; 1766 ; ЕМ ; Cu ; VF+ ; 48 ; клотик 2 ; 462 
 18 ; 2 копейки ; 1766 ; ММ ; Cu ; VF ; 29 ; ANK ; 2457 
 19 ; 20 копеек ; 1767 ; ММД ; Ag ; VF-XF ; 24 ; andreisss ; 14000 
 20 ; Копейка (Петров-3р, Ильин-3р) ; 1770 ; КМ "Сибирь" ; Cu ; F-VF ; 40 ; SSK ; 4550 
 21 ; 15 копеек ; 1771 ; ММД ; Ag ; VF+ ; 27 ; Участник № 30 ; 8200 
 22 ; 2 пара-3 копейки ; 1772 ; Валахия ; Cu ; VF- ; 31 ; lvd ; 4500 
 23 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; VF- ; 23 ; Участник № 1757 ; 2900 
 24 ; 2 пара-3 копейки ; 1773 ; Валахия ; Cu ; VF+ ; 48 ; Fedor_K ; 11730 
 25 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 15 ; Участник № 30 ; 8500 
 26 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 20 ; Участник № 147 ; 6000 
 27 ; Полушка (Редкая) ; 1774 ; ЕМ ; Cu ; VF- ; 10 ; ААФ ; 0 
 28 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF+ ; 19 ; Участник № 147 ; 7200 
 29 ; 2 копейки ; 1775 ; КМ "Сибирь" ; Cu ; VF ; 31 ; Участник № 9 ; 2600 
 30 ; Полушка (Петров-5р, Ильин-3р) ; 1775 ; ЕМ ; Cu ; F-VF ; 41 ; Участник № 9 ; 3600 
 31 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF+ ; 26 ; Участник № 1739 ; 6800 
 32 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF+ ; 49 ; Участник № 30 ; 9000 
 33 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF+ ; 25 ; art67 ; 9100 
 34 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF- ; 57 ; andreisss ; 18131 
 35 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; VF-XF ; 24 ; patriot ; 5840 
 36 ; 5 копеек (Петров-5р, Ильин-1р) ; 1780 ; КМ "Сибирь" ; Cu ; VF- ; 21 ; арбат ; 7777 
 37 ; 5 копеек (Петров-10р, Ильин-2р) ; 1781 ; КМ ; Cu ; VF+ ; 53 ; Участник № 30 ; 11000 
 38 ; Рубль ; 1782 ; СПБ ИЗ ; Ag ; VF-XF/XF ; 51 ; Участник № 1344 ; 16000 
 39 ; 5 копеек ; 1782 ; КМ ; Cu ; VF-XF ; 30 ; Участник № 9 ; 2400 
 40 ; 5 копеек ; 1782 ; КМ ; Cu ; VF-XF ; 26 ; Участник № 30 ; 3200 
 41 ; 5 копеек ; 1784 ; КМ ; Cu ; VF+ ; 9 ; Участник № 9 ; 3200 
 42 ; 5 копеек ; 1784 ; КМ ; Cu ; VF+ ; 11 ; Участник № 9 ; 3000 
 43 ; Полуполтинник ; 1785 ; СПБ ЯА ; Ag ; AU/XF ; 123 ; andreisss ; 32536 
 44 ; Рубль ; 1786 ; СПБ ЯА TI ; Ag ; VF-XF ; 47 ; VAG ; 22000 
 45 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 28 ; Участник № 66 ; 1100 
 46 ; 2 копейки ; 1790 ; ЕМ ; Cu ; XF ; 42 ; Участник № 30 ; 14000 
 47 ; 5 копеек ; 1791 ; АМ ; Cu ; XF- ; 9 ; Участник № 1699 ; 1300 
 48 ; 5 копеек ; 1792 ; АМ ; Cu ; VF-XF ; 39 ; Участник № 66 ; 1400 
 49 ; Денга (Петров-2,5, Ильин-5р) ; 1792 ;  ; Cu ; F-VF ; 25 ; арбат ; 4405 
 50 ; Полушка (Ильин-4р) ; 1792 ; КМ ; Cu ; F-VF ; 29 ; арбат ; 1907 
