 101 ; 5 копеек ; 1804 ; ЕМ ; Cu ; XF+ ; 23 ; Продано в зале ; 5200 
 126 ; Жетон мир с Портою 1791г. D-23мм ;  ;  ; Ag ; XF+ ; 42 ; Lisik ; 20298 
 127 ; Жетон на коронацию Александра II ; 1856 ;  ; Ag ; XF+ ; 42 ; 222211 ; 5226 
 128 ; Медаль За взятие Парижа 19 марта. 1814г. D-21мм ;  ;  ; Ag ; XF ; 80 ; Продано в зале ; 27000 
 129 ; Медаль. Николай I. В память царствования (1825-1855гг). D-28мм ;  ;  ; Ag ; VF-XF ; 33 ; Продано в зале ; 11000 
 130 ; Медаль "За усердие". Александр II. D-28мм ;  ;  ; Ag ; VF- ; 30 ; Продано в зале ; 12000 
 131 ; Медаль "За усердие". Александр II. D-28мм ;  ;  ; Ag ; VF- ; 81 ; Продано в зале ; 11000 
 132 ; Медаль "За усердие". Александр III. D-28мм ;  ;  ; Ag ; VF- ; 26 ; Костян 92 ; 6581 
 133 ; Медаль "За труды по отличному выполнению всеобщей мобилизации 1914г". D-28мм ;  ;  ; Br ; XF- ; 16 ; 222211 ; 1530 
 134 ; Медаль. Финляндия. Николай II. "За знание и труды от финляндского общества сельского хозяйства" ;  ;  ; Br ; XF+ ; 12 ; Продано в зале ; 5500 
 135 ; Знак в память столетия Императорской медицинской академии. Клейма: пробирное «84 с гербом Санкт-Петербурга», фирменное "ФГ".  Размер 47x28 мм ;  ;  ; Ag,эмаль ; VF-XF ; 40 ; Продано в зале ; 25000 
 136 ; Знак. За успешное окончание учебного заведения ; 1916 ;  ; Ag, эмаль ; XF ; 30 ; Продано в зале ; 11000 
 137 ; Знак Член ЦИК Украинской ССР №260 ; 20-30 е гг ;  ; Ag,эмаль ; VF+ ; 19 ; Продано в зале ; 54000 
 138 ; Знак Член ЦИК Бурят-Монгольской АССР №32 ; 1924 ;  ; Br,эмаль ; VF-XF ; 28 ; Продано в зале ; 25000 
 139 ; Знак Депутат ВС Аз ССР. 5-й созыв №95 ; 1959 ;  ; Ag,эмаль ; XF+ ; 39 ; MИГ ; 8235 
 140 ; Знак Депутат ВС Молдавской ССР №255-х. 7-11 созывы. Удостоверение ; 1963-1985ММД ;  ; Ag,эмаль ; XF+ ; 15 ; Продано в зале ; 9000 
 141 ; 20 копеек. В капсуле NGC ; 1864 ; СПБ НФ ; Ag ; MS62 ; 19 ; Продано в зале ; 2500 
 142 ; 20 копеек. В капсуле PCGS ; 1878 ; СПБ НФ ; Ag ; MS62 ; 8 ; Продано в зале ; 5000 
 143 ; 20 копеек. В капсуле PCGS ; 1893 ; СПБ АГ ; Ag ; Unc Details ; 19 ; Продано в зале ; 5000 
 144 ; 20 копеек. В капсуле PCGS ; 1907 ; СПБ ЭБ ; Ag ; MS62 ; 11 ; Продано в зале ; 3200 
 145 ; 10 копеек. В капсуле NGC ; 1864 ; СПБ НФ ; Ag ; MS 63 ; 3 ; Продано в зале ; 8000 
 146 ; 5 копеек. В капсуле NGC ; 1900 ; СПБ ФЗ ; Ag ; MS63 ; 34 ; Продано в зале ; 4800 
 147 ; Копейка. В капсуле PCGS ; 1728 ;  ; Cu ; AU58 ; 29 ; Продано в зале ; 29000 
 148 ; 1/2 копейки. В капсуле NGC ; 1873 ; ЕМ ; Cu ; MS64 ; 10 ; Продано в зале ; 14000 
 51 ; 10 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 35 ; Продано в зале ; 3400 
 52 ; 10 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 10 ; Продано в зале ; 2200 
 53 ; 5 копеек ; 1755 ; СПБ ; Ag ; VF-XF ; 31 ; Продано в зале ; 16000 
 54 ; 5 копеек (Петров-3р, Ильи-4р) ; 1817 ; СПБ ПС ; Ag ; XF+ ; 56 ; Продано в зале ; 32000 
 55 ; 5 копеек ; 1818 ; СПБ ПС ; Ag ; XF ; 33 ; maka ; 5500 
 56 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; XF+ ; 19 ; Продано в зале ; 4600 
 57 ; 5 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 55 ; MUPS ; 5053 
 58 ; 5 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 33 ; Lisik ; 3621 
 59 ; 5 копеек ; 1852 ; СПБ ПА ; Ag ; AU ; 25 ; Продано в зале ; 6500 
 60 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 31 ; Продано в зале ; 4200 
 61 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 42 ; maka ; 4884 
 62 ; 5 копеек ; 1857 ; СПБ ФБ ; Ag ; XF ; 45 ; Lisik ; 17340 
 63 ; 5 копеек ; 1858 ; СПБ ФБ ; Ag ; XF+ ; 54 ; Костян 92 ; 24480 
 64 ; 5 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 36 ; tisa66 ; 12000 
 65 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 32 ; птичкин ; 3572 
 66 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 18 ; птичкин ; 4001 
 67 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 19 ; Продано в зале ; 7500 
 68 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 57 ; o. k. ; 17001 
 69 ; 5 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 46 ; Продано в зале ; 9500 
 70 ; 5 копеек ; 1901 ; СПБ АР ; Ag ; AU/XF ; 15 ; Lisik ; 2154 
 71 ; 5 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 22 ; Продано в зале ; 5200 
 72 ; 5 копеек ; 1908 ; СПБ ЭБ ; Ag ; AU ; 12 ; Эфес ; 2060 
 73 ; 1 марка ; 1865 ; S Финляндия ; Ag ; XF+ ; 37 ; elac ; 2320 
 74 ; 1 марка ; 1866 ; S Финляндия ; Ag ; AU ; 21 ; Продано в зале ; 5200 
 75 ; 50 пенни ; 1889 ; L Финляндия ; Ag ; AU ; 21 ; 06031983 ; 4200 
 76 ; 50 пенни ; 1891 ; L Финляндия ; Ag ; XF+ ; 15 ; Продано в зале ; 1200 
 77 ; 50 пенни ; 1893 ; L Финляндия ; Ag ; AU/XF ; 16 ; Продано в зале ; 1300 
 78 ; 25 пенни ; 1866 ; S Финляндия ; Ag ; AU ; 63 ; Продано в зале ; 8000 
 79 ; 10 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; XF+ ; 17 ; Продано в зале ; 2000 
 80 ; 5 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 37 ; Продано в зале ; 4600 
 81 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; XF- ; 17 ; evgenijzhuk ; 14794 
 82 ; 10 копеек ; 1832 ; ЕМ ФХ ; Cu ; VF-XF ; 47 ; Продано в зале ; 18000 
 83 ; 5 копеек (Петров-12р, Ильин-5р) ; 1730 ; ДМ ; Cu ; VF-XF ; 68 ; Продано в зале ; 80000 
 84 ; 5 копеек ; 1763 ; ММ ; Cu ; VF+ ; 37 ; redis ; 1275 
 85 ; 5 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF-XF ; 23 ; Продано в зале ; 21000 
 86 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; XF ; 17 ; 439 ; 14943 
 87 ; 5 копеек (Петров-10р, Ильин-2р) ; 1781 ; КМ ; Cu ; VF ; 35 ; нумизмат ; 13000 
 88 ; 5 копеек ; 1782 ; КМ ; Cu ; VF-XF ; 17 ; Lisik ; 3000 
 89 ; 5 копеек ; 1784 ; КМ ; Cu ; VF-XF ; 41 ; Продано в зале ; 2900 
 90 ; 5 копеек ; 1785 ; КМ ; Cu ; VF-XF ; 14 ; Продано в зале ; 1900 
 91 ; 5 копеек ; 1786 ; КМ ; Cu ; VF-XF ; 16 ; Продано в зале ; 2200 
 92 ; 5 копеек ; 1787 ; КМ ; Cu ; XF- ; 25 ; Продано в зале ; 7500 
 93 ; 5 копеек (Петров-10р, Ильин-10р) ; 1788 ; ММ ; Cu ; F-VF ; 60 ; Продано в зале ; 46000 
 94 ; 5 копеек ; 1788 ; КМ ; Cu ; VF-XF ; 29 ; Продано в зале ; 1900 
 95 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 16 ; Амоксиклав ; 2011 
 96 ; 5 копеек ; 1802 ; ЕМ ; Cu ; VF-XF ; 4 ; Lisik ; 2800 
 97 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 36 ; Продано в зале ; 2700 
 98 ; 5 копеек (Ильин-3р) ; 1803 ; ЕМ ; Cu ; VF+ ; 24 ; Костян 92 ; 15606 
 99 ; 5 копеек (Ильин-3р) ; 1803 ; ЕМ ; Cu ; VF+ ; 36 ; Костян 92 ; 8535 
 100 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF-XF ; 8 ; Продано в зале ; 1900 
 1 ; 5 рублей. М-6,57 г ; 1833 ; СПБ ПД ; Au ; AU ; 47 ; Продано в зале ; 75000 
 2 ; 5 рублей. М-6,5 г ; 1846 ; СПБ АГ ; Au ; AU/XF ; 51 ; Продано в зале ; 44000 
 3 ; 5 рублей. М-6,51 г ; 1846 ; АГ АГ ; Au ; AU/XF ; 39 ; sts ; 44653 
 4 ; Дукат. Нидерланды. Петербургской чеканки (признаки по В.Уздеников-1,5,12 ) М-3,45г ; 1841 ;  ; Au ; AU/XF ; 35 ; dsidorov ; 20067 
 5 ; Рубль ; 1718 ; OK ; Ag ; VF ; 48 ; Костян 92 ; 30418 
 6 ; Рубль ; 1726 ; СПБ ; Ag ; VF-XF ; 44 ; WCN ; 32474 
 7 ; Рубль ; 1727 ;  ; Ag ; VF-XF ; 31 ; Продано в зале ; 25000 
 8 ; Рубль ; 1732 ;  ; Ag ; AU ; 62 ; Румата ; 42657 
 9 ; Рубль ; 1737 ;  ; Ag ; XF- ; 44 ; Продано в зале ; 32000 
 10 ; Рубль ; 1749 ; СПБ ; Ag ; VF-XF ; 55 ; ты кто такой? ; 20400 
 11 ; Рубль ; 1751 ; ММД ; Ag ; VF-XF ; 39 ; Сыч ; 25000 
 12 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF/AU ; 64 ; Sky2 ; 13443 
 13 ; Рубль ; 1823 ; СПБ ПД ; Ag ; XF+ ; 31 ; Продано в зале ; 18000 
 14 ; Рубль ; 1844 ; MW ; Ag ; XF+ ; 42 ; keen ; 14790 
 15 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF+ ; 60 ; Продано в зале ; 220000 
 16 ; 3/4 рубля-5 злотых ; 1838 ; MW Рус.-Пол. ; Ag ; XF- ; 68 ; Sky2 ; 10049 
 17 ; Полтина ; 1913 ; (ЭБ) АГ ; Ag ; XF+ ; 40 ; paranoy ; 8123 
 18 ; 25 копеек-50 грошей (Петров-7р.) ; 1844 ; MW Рус.-Пол. ; Ag ; F-VF ; 18 ; Продано в зале ; 11000 
 19 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 25 ; амбал ; 6075 
 20 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; VF+ ; 28 ; Продано в зале ; 7000 
 21 ; 20 копеек ; 1835 ; СПБ НГ ; Ag ; XF ; 101 ; Lisik ; 8384 
 22 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 67 ; Продано в зале ; 14000 
 23 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 16 ; Продано в зале ; 4200 
 24 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU/XF ; 21 ; Lisik ; 2450 
 25 ; 20 копеек ; 1861 ; СПБ ; Ag ; AU ; 7 ; Lisik ; 1530 
 26 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 67 ; berin ; 3642 
 27 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 7 ; Lisik ; 1530 
 28 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 15 ; Lisik ; 2403 
 29 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 22 ; Lisik ; 2450 
 30 ; 20 копеек ; 1869 ; СПБ HI ; Ag ; AU ; 23 ; Продано в зале ; 4000 
 31 ; 20 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 23 ; electra ; 1352 
 32 ; 20 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 27 ; electra ; 13000 
 33 ; 20 копеек ; 1903 ; СПБ АР ; Ag ; AU ; 45 ; Продано в зале ; 7500 
 34 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 31 ; 222211 ; 4600 
 35 ; 20 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 30 ; ZOLTAN333 ; 4750 
 36 ; 15 копеек ; 1767 ; ММД ; Ag ; XF- ; 50 ; Продано в зале ; 18000 
 37 ; 15 копеек ; 1788 ; СПБ ; Ag ; VF-XF ; 46 ; Костян 92 ; 9588 
 38 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 18 ; Lisik ; 6000 
 39 ; 15 копеек ; 1861 ; СПБ ; Ag ; AU ; 23 ; electra ; 2552 
 40 ; 15 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 43 ; Продано в зале ; 2400 
 41 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 25 ; Продано в зале ; 5500 
 42 ; Гривенник ; 1784 ; СПБ ; Ag ; XF+ ; 50 ; maka ; 9000 
 43 ; 10 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 18 ; Lisik ; 3786 
 44 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 20 ; maka ; 8000 
 45 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 14 ; Lisik ; 722 
 46 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 20 ; Lisik ; 2333 
 47 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 22 ; Lisik ; 2505 
 48 ; 10 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 25 ; Продано в зале ; 2600 
 49 ; 10 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 19 ; 108 ; 3800 
 50 ; 10 копеек ; 1888 ; СПБ АГ ; Ag ; AU ; 32 ; Продано в зале ; 4400 
