 5868 ; Бона иностранная ;  ;  ;  ;  ; 33 ; VOLKODAVS5 ; 147 
 5857 ; Лот нотгельдов 32 шт ;  ;  ;  ;  ; 21 ; sikachai ; 1051 
 5858 ; Лот бон иностранных 4 шт ;  ;  ;  ;  ; 10 ; Jan Grandier ; 102 
 5859 ; Бона иностранная ;  ;  ;  ;  ; 12 ; sikachai ; 157 
 5860 ; Бона иностранная ;  ;  ;  ;  ; 12 ; jj ; 92 
 5861 ; Бона иностранная ;  ;  ;  ;  ; 34 ; VOLKODAVS5 ; 124 
 5862 ; Бона иностранная ;  ;  ;  ;  ; 22 ; jesi ; 133 
 5863 ; Бона иностранная ;  ;  ;  ;  ; 14 ; demodex ; 114 
 5864 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ALEX150 ; 174 
 5865 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ALEX150 ; 150 
 5866 ; Бона иностранная ;  ;  ;  ;  ; 25 ; jesi ; 104 
 5867 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 666425 ; 88 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Lada-2108 ; 30 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 22 ; val211 ; 30 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 12 ; кузяка ; 59 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 12 ; bva150979 ; 272 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 666425 ; 66 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Slava O ; 30 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Slava O ; 30 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Slava O ; 121 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 30 ; кузяка ; 50 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 38 ; кузяка ; 123 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 8 ; я8844 ; 26 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Vitaly26 ; 50 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 2128508 ; 152 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 2128508 ; 120 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 18 ; val211 ; 30 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 3 ; bva150979 ; 50 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ppp ; 51 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 14 ; jj ; 51 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 5 ; syslik ; 30 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 4 ; 666425 ; 30 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Slava O ; 61 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Slava O ; 61 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 7 ; я8844 ; 28 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 13 ; dmivanych ; 146 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 9 ; smel ; 194 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 26 ; demodex ; 86 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Lada-2108 ; 30 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Lada-2108 ; 51 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 11 ; VOLKODAVS5 ; 31 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Jiamer57rus ; 34 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Хаа ; 157 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ALEX150 ; 67 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 34 ; demodex ; 102 
 5801 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 47 ; синий ; 113 
 5802 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 57 ; синий ; 101 
 5803 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 23 ; dima1-9-8-5 ; 104 
 5804 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 25 ; Jiamer57rus ; 53 
 5805 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 15 ; синий ; 62 
 5806 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 37 ; наташа2712 ; 147 
 5807 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 21 ; smel ; 137 
 5808 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 11 ; наташа2712 ; 90 
 5809 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 16 ; наташа2712 ; 101 
 5810 ; Бона иностранная ;  ;  ;  ;  ; 15 ; нв1975 ; 153 
 5811 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Майкл ; 104 
 5812 ; Бона иностранная ;  ;  ;  ;  ; 13 ; наташа2712 ; 41 
 5813 ; Бона иностранная ;  ;  ;  ;  ; 7 ; dima1-9-8-5 ; 32 
 5814 ; Бона иностранная ;  ;  ;  ;  ; 21 ; smel ; 128 
 5815 ; Бона иностранная ;  ;  ;  ;  ; 14 ; наташа2712 ; 51 
 5816 ; Бона иностранная ;  ;  ;  ;  ; 15 ; наташа2712 ; 58 
 5817 ; Бона иностранная ;  ;  ;  ;  ; 9 ; наташа2712 ; 62 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Хаа ; 33 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 42 ; кузяка ; 122 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Dino Zavr ; 137 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 52 ; 2128508 ; 201 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 12 ; 2128508 ; 163 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 2128508 ; 171 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 2128508 ; 255 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 5 ; bva150979 ; 122 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 2128508 ; 239 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Опятор ; 30 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 15 ; val211 ; 30 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 666425 ; 30 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 7 ; я8844 ; 21 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 15 ; cochu ; 141 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Jan Grandier ; 63 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Jiamer57rus ; 25 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Rusik ; 30 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 3 ; синий ; 37 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 22 ; dmytrylat ; 51 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 666425 ; 41 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 8 ; vangog3 ; 30 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ъхз ; 62 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Vitaly26 ; 40 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Vitaly26 ; 40 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 11 ; max2008 ; 522 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 9 ; dmytrylat ; 45 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 9 ; syslik ; 30 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Lada-2108 ; 30 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Хаа ; 30 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 10 ; pref ; 30 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 333985 ; 113 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Rusik ; 38 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 20 ; demodex ; 81 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 23 ; demodex ; 122 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 22 ; dmytrylat ; 53 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 43 ; demodex ; 75 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Jiamer57rus ; 25 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 34 ; grond ; 53 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Jiamer57rus ; 25 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Jiamer57rus ; 25 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Vitaly26 ; 31 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 10 ; val211 ; 30 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 16 ; 666425 ; 30 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ъхз ; 69 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ъхз ; 68 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 8 ; я8844 ; 26 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 28 ; val211 ; 30 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ъхз ; 32 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sikachai ; 60 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 22 ; val211 ; 30 
 5377 ; 5000 рублей ; 1923 ; Закавказье ;  ;  ; 18 ; Волк33 ; 276 
 5378 ; 25000 рублей ; 1921 ; Азербайджан ;  ;  ; 11 ; alex241 ; 444 
 5379 ; 10000 рублей ; 1921 ; Азербайджан ;  ;  ; 13 ; Александр60 ; 288 
 5380 ; Бона 3 карбованца г.Житомир ; 1918 ;  ;  ;  ; 21 ; market_spb ; 306 
 5381 ; Бона 5 карбованцев г.Житомир ; 1918 ;  ;  ;  ; 13 ; bon15041980 ; 567 
 5382 ; Бона 50 карбованцев г.Житомир ; 1919 ;  ;  ;  ; 21 ; cash ; 555 
 5383 ; Бона 100 рублей. Сочи 2014. Серия aa ;  ;  ;  ;  ; 22 ; markos ; 306 
 5384 ; Бона 100 рублей. Сочи 2014. Серия aa ;  ;  ;  ;  ; 17 ; markos ; 306 
 5385 ; Бона 100 рублей. Сочи 2014. Серия aa ;  ;  ;  ;  ; 16 ; markos ; 306 
 5386 ; Бона 100 рублей. Сочи 2014. Серия АА ;  ;  ;  ;  ; 25 ; val211 ; 309 
 5387 ; Бона 100 рублей. Сочи 2014. Серия АА ;  ;  ;  ;  ; 17 ; markos ; 306 
 5388 ; Бона 100 рублей. Сочи 2014. Серия АА ;  ;  ;  ;  ; 30 ; neron.73 ; 309 
 5500 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 8 ; mkm1968 ; 30 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 34 ; 333985 ; 80 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 28 ; jj ; 100 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 3 ; jesi ; 51 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 17 ; jesi ; 51 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 26 ; dmivanych ; 137 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 2128508 ; 130 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 2128508 ; 130 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 2128508 ; 212 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 12 ; 2128508 ; 202 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 24 ; dmivanych ; 101 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 11 ; syslik ; 20 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 21 ; синий ; 68 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 9 ; синий ; 75 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 47 ; demodex ; 121 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Хаа ; 153 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 7 ; кузяка ; 50 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Genrix ; 104 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Genrix ; 104 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Genrix ; 104 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 9 ; bilfox ; 107 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 15 ; dmytrylat ; 40 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 20 ; von_Schwarz ; 422 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ъхз ; 67 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 19 ; sikachai ; 101 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 33 ; sikachai ; 101 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Slava O ; 34 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ъхз ; 59 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Vitaly26 ; 30 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Хаа ; 120 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 22 ; середа ; 30 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 20 ; val211 ; 30 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 9 ; vangog3 ; 30 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 23 ; середа ; 31 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 25 ; vangog3 ; 32 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 10 ; vangog3 ; 30 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 14 ; vangog3 ; 30 
 5327 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 10 ; Ксения ; 81 
 5328 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 29 ; Ксения ; 81 
 5329 ; 10 рублей. 5 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 20 ; Genrix ; 133 
 5330 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 3 ; Bess78 ; 51 
 5331 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 11 ; 666425 ; 91 
 5332 ; 5 рублей. 5 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 12 ; 200800 ; 159 
 5333 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 10 ; Ксения ; 81 
 5334 ; 3 рубля. 5 шт ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; Vitaly26 ; 123 
 5335 ; Лот бон 3 шт. 3,5,10 рублей ; 1905-1909 ;  ;  ;  ; 9 ; xramovnik ; 120 
 5336 ; 1 червонец ; 1937 ; Билет ;  ;  ; 15 ; бортик ; 257 
 5337 ; 1 червонец. 10 шт ; 1937 ; Билет ;  ;  ; 37 ; alex241 ; 1387 
 5338 ; 3 червонца ; 1937 ; Билет ;  ;  ; 16 ; картуш ; 365 
 5339 ; 3 червонца. 3 шт ; 1937 ; Билет ;  ;  ; 10 ; картуш ; 807 
 5340 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 44 ; Алек ; 856 
 5341 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 25 ; апрол ; 306 
 5342 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 44 ; Семирек ; 327 
 5343 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 52 ; nils5 ; 459 
 5344 ; 5 рублей. 5 шт ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 16 ; alex241 ; 1275 
 5345 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 35 ; Ксения ; 363 
 5346 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 10 ; 1974 ; 122 
 5347 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 12 ; Artemon ; 124 
 5348 ; Лот бон 5 шт. 250 и 1000 рублей ; 1917 ;  ;  ;  ; 18 ; Алек ; 585 
 5349 ; 5 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 39 ; edik.tar ; 920 
 5350 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 37 ; alik434 ; 1530 
 5351 ; Лот бон 2 шт. 3 и 5 рублей ; 1905-1909 ;  ;  ;  ; 8 ; апрол ; 104 
 5352 ; 10 рублей ; 1909 ; Перфорация ГБСО на билетах 1898-1917 ;  ;  ; 36 ; bonipari ; 87 
 5353 ; 3 рубля ; 1905 ; Перфорация ГБСО на билетах 1898-1917 ;  ;  ; 15 ; bonipari ; 57 
 5354 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 4 ; mwd ; 90 
 5355 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 24 ; Carca^ss ; 305 
 5356 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 16 ; Artemon ; 151 
 5357 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 32 ; Солнышко ; 340 
 5358 ; 1 рубль ; 1918 ;  ;  ;  ; 47 ; market_spb ; 543 
 5359 ; 3 рубля ; 1918 ;  ;  ;  ; 17 ; alex241 ; 444 
 5360 ; 10 рублей ; 1918 ;  ;  ;  ; 33 ; market_spb ; 694 
 5361 ; 10000 рублей ; 1919 ;  ;  ;  ; 41 ; Чародей ; 607 
 5362 ; 5000 рублей ; 1919 ;  ;  ;  ; 27 ; Алек ; 691 
 5363 ; 5000 рублей ; 1919 ;  ;  ;  ; 32 ; alik434 ; 691 
 5364 ; Бона 3 копейки ;  ;  ;  ;  ; 17 ; XXVII ; 340 
 5365 ; Обязательство на 250 рублей ; 1920 ;  ;  ;  ; 50 ; alex.141 ; 1852 
 5366 ; Бона 5000 рублей С.С.Р.Закавказья ;  ;  ;  ;  ; 27 ; alex.141 ; 614 
 5367 ; Бона 10000 рублей С.С.Р.Закавказья ;  ;  ;  ;  ; 14 ; синий ; 479 
 5368 ; Бона 50000 рублей С.С.Р.Закавказья ;  ;  ;  ;  ; 23 ; alex.141 ; 614 
 5369 ; 3 рубля ; 1918 ; Закавказье ;  ;  ; 23 ; alex241 ; 444 
 5370 ; 5 рублей ; 1918 ; Закавказье ;  ;  ; 30 ; altunin ; 567 
 5371 ; 10 рублей ; 1918 ; Закавказье ;  ;  ; 24 ; Fliege1 ; 567 
 5372 ; Лот бон 2 шт. 10000 рублей Фед.С.С.Р. рублей С.С.Р.Закавказья ; 1923 ;  ;  ;  ; 24 ; Александр007 ; 413 
 5373 ; 25000 рублей ; 1923 ; Закавказье ;  ;  ; 44 ; bonipari ; 518 
 5374 ; 100000 рублей ; 1923 ; Закавказье ;  ;  ; 32 ; cochu ; 303 
 5375 ; 250000 рублей ; 1923 ; Закавказье ;  ;  ; 18 ; Александр007 ; 273 
 5376 ; 1000000 рублей ; 1923 ; Закавказье ;  ;  ; 40 ; cochu ; 428 
