 151 ; Знак Депутат Вс Аз.ССР 1 созыв №52 ; 1938 ;  ; Ag ; XF- ; 40 ; Lisik ; 30000 
 120 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; AU ; 9 ; Продано в зале ; 2400 
 121 ; 1/2 копейки ; 1893 ; СПБ ; Cu ; AU/XF ; 8 ; 37577 ; 3600 
 122 ; Полушка ; 1757 ;  ; Cu ; VF-XF ; 37 ; привет227 ; 42840 
 123 ; 1/4 копейки ; 1885 ; СПБ ; Cu ; AU ; 14 ; 37577 ; 3915 
 124 ; 1/4 копейки ; 1891 ; СПБ ; Cu ; AU ; 18 ; Продано в зале ; 5000 
 125 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; XF+ ; 11 ; 37577 ; 2907 
 126 ; 1/4 копейки ; 1895 ; СПБ ; Cu ; XF ; 95 ; Продано в зале ; 19000 
 127 ; 3 гроша ; 1830 ; FH Польша ; Cu ; VF+ ; 31 ; Брат ; 10000 
 128 ; 3 гроша ; 1840 ; MW Рус.-Пол. ; Cu ; VF-XF ; 75 ; ГдРъ ; 2346 
 129 ; 10 копеек ; 1958 ;  ; Cu-Ni ; XF+/XF- ; 32 ; фанто-мас ; 32521 
 130 ; Жетон. 25 литров воды. Водопровод Сталинградского комтреста ;  ;  ; Ж/м ;  ; 7 ; Продано в зале ; 2800 
 131 ; Жетон в память коронации Елизаветы Петровны  в 1742г. D-21мм ;  ;  ; Ag ; XF- ; 19 ; Продано в зале ; 17000 
 132 ; Жетон На коронацию Александра III. D-26мм ; 1883 ;  ; Ag ; XF/AU ; 94 ; Продано в зале ; 7400 
 133 ; Жетон На коронацию Александра III. D-26мм ; 1883 ;  ; Сu ; XF/AU ; 44 ; Продано в зале ; 4200 
 134 ; Жетон На коронацию Александра III. D-25,5мм ; 1883 ;  ; Br, серебрение ; AU ; 68 ; прощай,Родина ; 2988 
 135 ; Жетон На коронацию Александра III. D-25,5мм ; 1883 ;  ; Br ; AU ; 39 ; ddv kv ; 3264 
 136 ; Жетон На коронацию Александра III. D-25,5мм ; 1883 ;  ; Br ; AU ; 59 ; ddv kv ; 3679 
 137 ; Жетон На коронацию Александра III. D-25,5мм ; 1883 ;  ; Br ; XF+ ; 26 ; Sky2 ; 3264 
 138 ; Георгиевский крест III ст.№ 90540. Р-ры: 34х34мм ; 1914-1915 ;  ; Ag ; VF-XF ; 18 ; Продано в зале ; 15500 
 139 ; Георгиевский крест III ст. № 8434. Р-ры: 34х34мм ; 1914-1915 ;  ; Ag ; VF+ ; 32 ; Продано в зале ; 22000 
 140 ; Георгиевский крест IV ст.№ 161910. Р-ры: 34х34мм ; 1914-1915 ;  ; Ag ; XF ; 34 ; Продано в зале ; 63000 
 141 ; Георгиевская медаль IV степени №339789. D-28мм ;  ;  ; Ag ; XF- ; 18 ; Продано в зале ; 5000 
 142 ; Медаль. В память коронации Александра III, D-29мм ;  ;  ; Cu ; XF+ ; 12 ; Продано в зале ; 13000 
 143 ; Медаль "В память освобождения болгар" d-28мм ; 1878 ;  ; Cu ; XF- ; 25 ; ddv kv ; 2714 
 144 ; Медаль в память восшествия на престол Императрицы Екатерины II, 28 июня 1762г. Медальер И.Г.Вехтер. D-66мм ;  ;  ; Cu ; VF-XF ; 26 ; Продано в зале ; 15000 
 145 ; Медали "В память коронации Александра I". Медальер К.Леберехт. D-66мм ;  ;  ; Cu ; XF+ ; 32 ; Продано в зале ; 17000 
 146 ; Медаль в честь открытия памятника императору Николаю I биржевым купечеством на С.-Петербургской бирже в 1859 году. D-77мм ;  ;  ; Cu ; XF+ ; 23 ; Продано в зале ; 13000 
 147 ; Медаль Бой при Кульме. D-65мм ;  ;  ; Cu ; XF ; 20 ; АКМ ; 12012 
 148 ; Медаль. От императорской медико-хирургической академии, заслуженному профессору И.В. Буяльскому. Резал П. Брусницын.D-62мм ; 1864 ;  ; Cu ; AU/XF ; 16 ; Продано в зале ; 11500 
 149 ; Медаль. В память коронации Александра III и Марии Федоровны. D-65мм ;  ;  ; Cu ; AU ; 31 ; Продано в зале ; 18000 
 150 ; Медаль В память 300-летия Дома Романовых 1613-1913гг. D-74мм ;  ;  ; Cu ; AU ; 27 ; тигр ; 10993 
 51 ; Полтина ; 1850 ; СПБ ПА ; Ag ; AU ; 30 ; verunk1 ; 12240 
 52 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; AU ; 48 ; Продано в зале ; 19000 
 53 ; Полуполтинник ; 1739 ;  ; Ag ; XF- ; 52 ; Продано в зале ; 125000 
 54 ; 25 копеек ; 1830 ; СПБ НГ ; Ag ; XF+ ; 42 ; Продано в зале ; 18000 
 55 ; 25 копеек ; 1831 ; СПБ НГ ; Ag ; XF ; 74 ; Продано в зале ; 34000 
 56 ; 25 копеек ; 1836 ; СПБ НГ ; Ag ; VF-XF ; 42 ; Продано в зале ; 7500 
 57 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; XF ; 25 ; Продано в зале ; 5500 
 58 ; 25 копеек ; 1839 ; СПБ НГ ; Ag ; AU ; 24 ; Продано в зале ; 8000 
 59 ; 25 копеек-50 грошей ; 1846 ; MW Рус.-Пол. ; Ag ; XF+ ; 59 ; Продано в зале ; 35000 
 60 ; 20 копеек ; 1784 ; СПБ ; Ag ; AU ; 38 ; Продано в зале ; 32000 
 61 ; 20 копеек ; 1821 ; СПБ ПД ; Ag ; XF/AU ; 62 ; Продано в зале ; 6000 
 62 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; XF+ ; 18 ; dsa ; 3400 
 63 ; 20 копеек ; 1847 ; СПБ ПА ; Ag ; AU ; 22 ; Продано в зале ; 13000 
 64 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 31 ; Продано в зале ; 4400 
 65 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 20 ; Продано в зале ; 7500 
 66 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 18 ; Продано в зале ; 3400 
 67 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 10 ; Продано в зале ; 3200 
 68 ; 15 копеек ; 1785 ; СПБ ; Ag ; XF+ ; 23 ; Продано в зале ; 12000 
 69 ; 15 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 24 ; Продано в зале ; 7500 
 70 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 37 ; Продано в зале ; 6000 
 71 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 29 ; sotnik ; 7500 
 72 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; AU ; 20 ; Продано в зале ; 11000 
 73 ; 10 копеек ; 1825 ; СПБ ПД ; Ag ; XF ; 21 ; verunk1 ; 6120 
 74 ; 10 копеек ; 1833 ; СПБ НГ ; Ag ; XF ; 31 ; verunk1 ; 5897 
 75 ; 10 копеек ; 1844 ; СПБ КБ ; Ag ; XF- ; 21 ; Продано в зале ; 5600 
 76 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; AU/XF ; 27 ; Продано в зале ; 3400 
 77 ; 10 копеек ; 1853 ; СПБ HI ; Ag ; AU/XF ; 39 ; verunk1 ; 14111 
 78 ; 10 копеек ; 1855 ; СПБ HI ; Ag ; XF+ ; 18 ; Продано в зале ; 4400 
 79 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 22 ; Продано в зале ; 6200 
 80 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 31 ; Продано в зале ; 5000 
 81 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 19 ; Продано в зале ; 4000 
 82 ; 10 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 23 ; Продано в зале ; 4000 
 83 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 20 ; Продано в зале ; 8800 
 84 ; 10 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 35 ; Продано в зале ; 11200 
 85 ; 10 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 8 ; Продано в зале ; 2200 
 86 ; 10 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 33 ; Продано в зале ; 9200 
 87 ; 10 копеек ; 1899 ; СПБ ЭБ ; Ag ; AU ; 38 ; Продано в зале ; 3800 
 88 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; AU/XF ; 39 ; fgd ; 4930 
 89 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; XF ; 23 ; Продано в зале ; 4800 
 90 ; 5 копеек ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 25 ; Продано в зале ; 12000 
 91 ; 5 копеек ; 1832 ; СПБ НГ ; Ag ; AU ; 62 ; Продано в зале ; 32000 
 92 ; 5 копеек ; 1857 ; СПБ ФБ ; Ag ; XF+ ; 31 ; Продано в зале ; 18000 
 93 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 32 ; Продано в зале ; 5200 
 94 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 11 ; Продано в зале ; 4800 
 95 ; 5 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 17 ; Lisik ; 10000 
 96 ; 2 марки ; 1872 ; S Финляндия ; Ag ; AU/XF ; 60 ; verunk1 ; 5914 
 97 ; 2 марки ; 1908 ; L Финляндия ; Ag ; AU ; 23 ; Продано в зале ; 3400 
 98 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; XF- ; 27 ; Продано в зале ; 23000 
 99 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF+ ; 5 ; Продано в зале ; 4200 
 100 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF+ ; 39 ; Продано в зале ; 8200 
 1 ; 10 рублей. М-12,89г ; 1894 ; (АГ) АГ ; Au ; XF+ ; 38 ; Продано в зале ; 180000 
 2 ; 10 рублей. M-8,58гр ; 1909 ; (ЭБ) АГ ; Au ; XF ; 16 ; Продано в зале ; 29000 
 3 ; 5 рублей. M-6,5гр ; 1830 ; СПБ ПД ; Au ; XF ; 52 ; Продано в зале ; 90000 
 4 ; 5 рублей. M-6,55гр ; 1834 ; СПБ ПД ; Au ; XF ; 43 ; Продано в зале ; 36000 
 5 ; 5 рублей. M-4,3гр ; 1909 ; (ЭБ) ; Au ; AU ; 23 ; Продано в зале ; 44000 
 6 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; XF ; 27 ; Sky2 ; 9366 
 7 ; Рубль ; 1720 ; OK ; Ag ; XF- ; 39 ; Продано в зале ; 110000 
 8 ; Рубль ; 1724 ;  ; Ag ; VF-XF ; 27 ; Продано в зале ; 36000 
 9 ; Рубль ; 1725 ;  ; Ag ; VF+ ; 29 ; dav_79_2010 ; 23850 
 10 ; Рубль (Петров-10р) ; 1725 ;  ; Ag ; VF ; 32 ; Продано в зале ; 28000 
 11 ; Рубль ; 1726 ;  ; Ag ; XF- ; 19 ; sotnik ; 36000 
 12 ; Рубль ; 1726 ; СПБ ; Ag ; XF- ; 25 ; Продано в зале ; 96000 
 13 ; Рубль ; 1727 ;  ; Ag ; VF+ ; 33 ; Продано в зале ; 34000 
 14 ; Рубль ; 1728 ;  ; Ag ; XF- ; 17 ; Продано в зале ; 36000 
 15 ; Рубль (Ильин-5р) ; 1734 ;  ; Ag ; XF+ ; 41 ; Продано в зале ; 210000 
 16 ; Рубль ; 1734 ;  ; Ag ; XF ; 36 ; Продано в зале ; 38000 
 17 ; Рубль ; 1746 ; СПБ ; Ag ; XF- ; 20 ; Продано в зале ; 24000 
 18 ; Рубль ; 1753 ; СПБ ЯI ; Ag ; XF/AU ; 41 ; Продано в зале ; 52000 
 19 ; Рубль. (Петров-10р) ; 1762 ; СПБ НК ; Ag ; XF- ; 28 ; ddv kv ; 310000 
 20 ; Рубль ; 1763 ; СПБ НК TI ; Ag ; AU ; 52 ; Продано в зале ; 29000 
 21 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; AU ; 48 ; Продано в зале ; 92000 
 22 ; Рубль (Петров-4р, Ильин-4р) ; 1797 ; СМ ФЦ ; Ag ; XF- ; 37 ; Костян 92 ; 160000 
 23 ; Рубль ; 1798 ; СМ МБ ; Ag ; AU/XF ; 50 ; Продано в зале ; 43000 
 24 ; Рубль ; 1809 ; СПБ ФГ ; Ag ; VF-XF ; 22 ; arsenich-s ; 17511 
 25 ; Рубль (Ильин - 10 р.) ; 1818 ; СПБ ПС ; Ag ; VF-XF ; 70 ; Продано в зале ; 107000 
 26 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF ; 24 ; nordbolivar ; 10200 
 27 ; Рубль ; 1839 ; H.Gube F. "На открытие Бородинского памятника-часовни" ; Ag ; AU/XF ; 39 ; 78gen ; 108123 
 28 ; "Медальный рубль" (Вес - 26,9 г) ; 1841 ; H.GUBE FECIT На бракосочетание Александра Николаевича ; Ag ; XF- ; 53 ; Продано в зале ; 205000 
 29 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF+ ; 33 ; Продано в зале ; 12000 
 30 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF/AU ; 37 ; Продано в зале ; 20000 
 31 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF+ ; 28 ; Продано в зале ; 17000 
 32 ; Рубль ; 1868 ; СПБ HI ; Ag ; AU ; 54 ; Продано в зале ; 42000 
 33 ; Рубль ; 1880 ; СПБ НФ ; Ag ; AU ; 33 ; Продано в зале ; 56000 
 34 ; Рубль ; 1882 ; СПБ НФ ; Ag ; AU ; 53 ; Продано в зале ; 32000 
 35 ; Рубль ; 1886 ; (АГ) ; Ag ; XF+ ; 50 ; Продано в зале ; 54000 
 36 ; Рубль ; 1887 ; (АГ) ; Ag ; XF ; 15 ; Продано в зале ; 50000 
 37 ; Рубль ; 1888 ; (АГ) ; Ag ; AU ; 54 ; Продано в зале ; 115000 
 38 ; Рубль ; 1890 ; (АГ) ; Ag ; XF/AU ; 28 ; Продано в зале ; 110000 
 39 ; Рубль ; 1891 ; (АГ) ; Ag ; XF+ ; 41 ; Продано в зале ; 40000 
 40 ; Рубль ; 1892 ; (АГ) ; Ag ; AU ; 45 ; Продано в зале ; 52000 
 41 ; Рубль ; 1893 ; (АГ) ; Ag ; AU ; 44 ; Продано в зале ; 58000 
 42 ; Рубль ; 1894 ; (АГ) ; Ag ; Unc/AU ; 36 ; Продано в зале ; 205000 
 43 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; AU ; 53 ; Продано в зале ; 205000 
 44 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF+ ; 64 ; Продано в зале ; 14000 
 45 ; Рубль ; 1901 ; (ФЗ) ; Ag ; AU ; 57 ; Продано в зале ; 62000 
 46 ; Рубль ; 1909 ; (ЭБ) ; Ag ; AU ; 54 ; Продано в зале ; 110000 
 47 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU ; 53 ; Продано в зале ; 104000 
 48 ; Полтина (Петров-3р) ; 1719 ;  ; Ag ; VF-XF ; 41 ; Продано в зале ; 84000 
 49 ; Полтина ; 1836 ; СПБ НГ ; Ag ; XF ; 21 ; Продано в зале ; 8000 
 50 ; Полтина ; 1848 ; СПБ HI ; Ag ; XF/AU ; 29 ; Продано в зале ; 10000 
