 301 ; 1/4 копейки ; 1916 ;  ; Cu ; VF- ; 21 ; Участник № 147 ; 14000 
 287 ; Полушка (Петров-5р, Ильин-1р) ; 1850 ; ВМ ; Cu ; XF- ; 46 ; Участник № 147 ; 16000 
 288 ; Полушка ; 1852 ; ВМ ; Cu ; VF+ ; 15 ; Участник № 9 ; 38000 
 289 ; Полушка ; 1858 ; ЕМ ; Cu ; VF-XF ; 17 ; Участник № 18 ; 1400 
 290 ; Полушка ; 1861 ; ЕМ ; Cu ; VF-XF ; 17 ; stalker71 ; 5214 
 291 ; 1/4 копейки ; 1867 ; СПБ ; Cu ; XF- ; 17 ; dimon46 ; 6800 
 292 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; AU ; 23 ; stalker71 ; 5214 
 293 ; 1/4 копейки ; 1870 ; ЕМ ; Cu ; AU ; 10 ; stalker71 ; 5214 
 294 ; 1/4 копейки (Ильин-2р) ; 1871 ; ЕМ ; Cu ; XF/AU ; 31 ; desr ; 19890 
 295 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; XF+ ; 5 ; stalker71 ; 2200 
 296 ; 1/4 копейки (Ильин-2р) ; 1879 ; СПБ ; Cu ; VF-XF ; 15 ; Участник № 140 ; 12000 
 297 ; 1/4 копейки (Петров-1р) ; 1881 ; СПБ ; Cu ; AU/XF ; 27 ; М О С К В А ; 14065 
 298 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 35 ; stalker71 ; 1500 
 299 ; 1/4 копейки ; 1909 ; СПБ ; Cu ; AU ; 41 ; volod ; 841 
 300 ; 1/4 копейки ; 1915 ;  ; Cu ; AU ; 16 ; М О С К В А ; 1500 
 201 ; 5 злотых (Ильин-3р) ; 1818 ; IB Польша ; Ag ; VF-/VF+ ; 24 ; Участник № 462 ; 13000 
 202 ; 5 злотых (Петров-5р) ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ; VF-XF ; 15 ; stalker71 ; 8500 
 203 ; 2 злотых ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ; VF-XF ; 21 ; Участник № 18 ; 7500 
 204 ; 30 копеек-2 злотых ; 1838 ; MW Рус.-Пол. ; Ag ; VF-XF ; 15 ; monos72 ; 5214 
 205 ; 25 копеек-50 грошей ; 1842 ; MW Рус.-Пол. ; Ag ; VF+/XF- ; 22 ; Участник № 30 ; 24000 
 206 ; 20 копеек-40 грошей ; 1850 ; MW Рус.-Пол. ; Ag ; VF+ ; 19 ; нумизмат ; 8000 
 207 ; 10 грошей ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ; AU ; 42 ; int1965708 ; 7140 
 208 ; 5 грошей (Петров-5р, Ильин-4р) ; 1824 ; IB Польша ; Ag ; VF+ ; 31 ; Участник № 30 ; 25000 
 209 ; 3 гроша ; 1831 ; KG польское восстание 1830-1831 гг. ; Cu ; VF-XF ; 30 ; int1965708 ; 7652 
 210 ; 10 пенни (Петров-4р). Редка ; 1875 ; Финляндия ; Cu ; VF- ; 15 ; leo 2 ; 3570 
 211 ; 10 пенни. Редка ; 1889 ; Финляндия ; Cu ; VF+ ; 12 ; Участник № 520 ; 1800 
 212 ; 5 пенни. Редка ; 1910 ; Финляндия ; Cu ; VF+ ; 17 ; elac ; 3174 
 213 ; 1 пенни ; 1866 ; Финляндия ; Cu ; VF-XF ; 12 ; sts ; 2800 
 214 ; 1 пенни ; 1867 ; Финляндия ; Cu ; VF+ ; 9 ; serg2010 ; 1900 
 215 ; 5 копеек. Крым. Шахин-Гирей. 5-й год правления ; 1191лх(1777) ;  ; Cu ; F-VF ; 11 ; boroda ; 5564 
 216 ; Копейка. Крым. Шахин-Гирей. 4-й год правления ; 1191лх(1777) ;  ; Cu ; F-VF ; 9 ; Участник № 1362 ; 800 
 217 ; 10 копеек ; 1762 ;  ; Cu ; VF ; 46 ; Участник № 18 ; 55000 
 218 ; 10 копеек (Петров-2р) ; 1767 ; КМ "Сибирь" ; Cu ; VF ; 19 ; Участник № 7 ; 4200 
 219 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; VF-XF ; 24 ; serg2010 ; 6687 
 220 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF-XF ; 15 ; dimon46 ; 4182 
 221 ; 10 копеек ; 1836 ; ЕМ ФХ ; Cu ; VF+ ; 45 ; Участник № 51 ; 10000 
 222 ; 5 копеек (Петров-5р, Ильин-3р) ; 1760 ; ММ ; Cu ; F-VF ; 5 ; Участник № 523 ; 1300 
 223 ; 5 копеек ; 1762 ;  ; Cu ; VF ; 25 ; Участник № 140 ; 5000 
 224 ; 5 копеек (Ильин-1р) ; 1764 ; СМ ; Cu ; VF- ; 19 ; Участник № 140 ; 6000 
 225 ; 5 копеек (Петров-10р) ; 1781 ; КМ ; Cu ; VF ; 22 ; SSK ; 8691 
 226 ; 5 копеек (Петров-1р) ; 1788 ; СПМ ; Cu ; VF+ ; 32 ; 439 ; 5891 
 227 ; 5 копеек (Петров-1р) ; 1788 ; ММ ; Cu ; VF ; 16 ; Участник № 9 ; 1100 
 228 ; 5 копеек (Петров-3р) ; 1788 ; КМ ; Cu ; VF-XF ; 21 ; ZOLTAN333 ; 10304 
 229 ; 5 копеек ; 1789 ; АМ ; Cu ; VF-XF ; 39 ; Участник № 140 ; 1600 
 230 ; 5 копеек (Петров-8р, Ильин-5р) ; 1791 ; ЕМ Павл.перечекан ; Cu ; VF ; 38 ; Участник № 2 ; 38000 
 231 ; 5 копеек ; 1792 ; КМ ; Cu ; VF-XF ; 18 ; leo 2 ; 2754 
 232 ; 5 копеек ; 1792 ; АМ ; Cu ; VF-XF ; 7 ; Участник № 520 ; 1300 
 233 ; 5 копеек (Петров-15р, Ильин-10р) ; 1793 ; Павл.перечекан ; Cu ; F ; 20 ; Участник № 23 ; 9500 
 234 ; 5 копеек (Петров-10р, Ильин-15р) ; 1794 ; ЕМ Павл.перечекан ; Cu ; F+ ; 19 ; Участник № 2 ; 16000 
 235 ; 5 копеек ; 1795 ; АМ ; Cu ; VF-XF ; 9 ; boroda ; 1200 
 236 ; 5 копеек (Ильин-3р) ; 1803 ; ЕМ ; Cu ; VF+ ; 26 ; Участник № 147 ; 21000 
 237 ; 5 копеек (Петров-2, Ильин-1р) ; 1803 ; КМ ; Cu ; VF+ ; 17 ; alex-05 ; 4641 
 238 ; 5 копеек (Петров-10р, Ильин-5р) ; 1804 ; ЕМ ; Cu ; F-VF ; 57 ; Участник № 114 ; 42000 
 239 ; 5 копеек (Петров-2р, Ильин-1р) ; 1804 ; КМ ; Cu ; VF- ; 9 ; АВлад ; 2400 
 240 ; 5 копеек (Петров-2р, Ильин-1р) ; 1805 ; КМ ; Cu ; VF-XF ; 12 ; клотик 2 ; 6295 
 241 ; 5 копеек (Петров-2,5р, Ильин-2р) ; 1806 ; КМ ; Cu ; VF+ ; 82 ; partanen ; 8676 
 242 ; 5 копеек (Петров-3р, Ильин-2р) ; 1807 ; КМ ; Cu ; VF ; 9 ; Участник № 1385 ; 4200 
 243 ; 5 копеек (Петров-1р) ; 1809 ; ЕМ ; Cu ; VF+ ; 21 ; SSK ; 5202 
 244 ; 5 копеек (Петров-5р, Ильин-3р) ; 1809 ; КМ ; Cu ; F-VF ; 14 ; Участник № 1390 ; 4900 
 245 ; 5 копеек ; 1810 ; ЕМ ; Cu ; VF ; 11 ; Участник № 147 ; 9750 
 246 ; 5 копеек ; 1880 ; СПБ ; Cu ; AU ; 43 ; foma71 ; 12000 
 247 ; 3 копейки (Ильин-2р) ; 1852 ; ВМ ; Cu ; XF- ; 44 ; stalker71 ; 19686 
 248 ; 3 копейки ; 1859 ; ЕМ ; Cu ; AU ; 11 ; stalker71 ; 10202 
 249 ; 3 копейки ; 1860 ; ВМ ; Cu ; XF+ ; 38 ; stalker71 ; 36141 
 250 ; 2 копейки ; 1788 ; СПМ ; Cu ; F-VF ; 11 ; leo 2 ; 306 
 151 ; 10 сот.пуда хлеба ; 1921 ; Натурально-расчетный союз "Разум и совесть" (Киев , 1921 г.) ;  ; XF+ ; 87 ; Участник № 54 ; 19000 
 152 ; 5 копеек ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ;  ; XF+ ; 26 ; Цукерман ; 10940 
 153 ; 2 копейки ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ;  ; XF/AU ; 17 ; Zигмунт ; 11500 
 154 ; 1 копейка ; 1922 ; Вторая государственная шорно-футлярная и чемоданная фабрика (Петроград) ;  ; XF+ ; 93 ; seaman ; 32517 
 155 ; 20 копеек. Надчеканка ; 1922 ; Николо-Павдиевский кооператив (Екатеринбург, 1922 г.) ;  ; XF- ; 59 ; Gnom numizmat ; 8888 
 156 ; 20 копеек ; 1958 ;  ; Cu-Ni ; XF-/XF+ ; 46 ; destroer ; 88434 
 157 ; Рубль. В капсуле NGC ; 1832 ; СПБ НГ ; Ag ; AU 55 ; 34 ; kor ; 8918 
 158 ; Рубль. В капсуле ANACS ; 1843 ; СПБ АЧ ; Ag ; AU 55 ; 29 ; 1088 ; 14280 
 159 ; Рубль. В капсуле NGC ; 1846 ; СПБ ПА ; Ag ; AU 53 ; 21 ; kor ; 10200 
 160 ; Рубль. В капсуле ANACS ; 1855 ; СПБ HI ; Ag ; AU 53 ; 33 ; kor ; 11787 
 161 ; Рубль. В капсуле ANACS ; 1871 ; СПБ HI ; Ag ; XF 45 ; 26 ; Участник № 462 ; 13000 
 162 ; Рубль. В капсуле ANACS ; 1878 ; СПБ НФ ; Ag ; AU 55 ; 23 ; Участник № 1362 ; 7500 
 163 ; Полтина. В капсуле ANACS ; 1855 ; СПБ HI ; Ag ; AU 58 ; 23 ; int1965708 ; 8727 
 164 ; 20 копеек. В капсуле ANACS ; 1862 ; СПБ МИ ; Ag ; AU 55 ; 19 ; Участник № 462 ; 740 
 165 ; 20 копеек. В капсуле ANACS ; 1873 ; СПБ HI ; Ag ; AU 50 ; 7 ; Zигмунт ; 650 
 166 ; 15 копеек. В капсуле ANACS ; 1905 ; СПБ АР ; Ag ; AU 50 ; 4 ; Zигмунт ; 308 
 167 ; 10 копеек. В капсуле ANACS ; 1862 ; СПБ МИ ; Ag ; AU 50 ; 9 ; Участник № 1362 ; 760 
 168 ; 10 копеек. В капсуле ANACS ; 1917 ; ВС ; Ag ; MS 60 ; 6 ; Zигмунт ; 3106 
 169 ; 5 копеек. В капсуле NGC ; 1834 ; СПБ НГ ; Ag ; MS 64 ; 32 ; Участник № 520 ; 13000 
 170 ; 5 копеек. В капсуле ANACS ; 1852 ; СПБ ПА ; Ag ; AU 53 ; 24 ; Zигмунт ; 1632 
 171 ; 5 копеек. В капсуле NGC ; 1889 ; СПБ АГ ; Ag ; MS 64 ; 82 ; 525 ; 2754 
 172 ; 5 копеек. В капсуле NGC ; 1890 ; СПБ АГ ; Ag ; MS 64 ; 85 ; kor ; 2550 
 173 ; 4 копейки. В капсуле NGC ; 1757 ; Ливонез ; Ag ; F 15 ; 19 ; dimon46 ; 5768 
 174 ; 1/2 копейки. В капсуле NGC ; 1889 ; СПБ ; Cu ; XF 45 ; 11 ; SSK ; 1071 
 175 ; 1/4 копейки. В капсуле NGC ; 1876 ; СПБ ; Cu ; AU 58 ; 19 ; Участник № 140 ; 4200 
 176 ; 1 пенни. В капсуле NGC ; 1883 ; Финляндия ; Cu ; AU 58 ; 9 ; Участник № 545 ; 850 
 177 ; 5 рублей. М-6,54гр ; 1818 ; СПБ МФ ; Au ; VF+ ; 19 ; Zигмунт ; 42842 
 178 ; 5 рублей. М-6,54гр ; 1823 ; СПБ ПС ; Au ; VF-XF ; 20 ; int1965708 ; 49980 
 179 ; 5 рублей. М-6,54гр ; 1831 ; СПБ ПД ; Au ; XF- ; 30 ; 448844 ; 62560 
 180 ; 10 марок. М-3,23гр ; 1904 ; L Финляндия ; Au ; XF-/VF- ; 50 ; int1965708 ; 25998 
 181 ; Рубль (Петров-3р) ; 1762 ; ММД ДМ ; Ag ; VF+ ; 48 ; Участник № 1362 ; 60000 
 182 ; Рубль ; 1763 ; СПБ НК TI ; Ag ; XF/XF+ ; 21 ; Участник № 520 ; 29000 
 183 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; VF-XF ; 17 ; serg2010 ; 13974 
 184 ; Рубль ; 1768 ; СПБ АШ TI ; Ag ; XF- ; 37 ; Участник № 51 ; 15000 
 185 ; Рубль (Петров-3р) ; 1768 ; ММД EI ; Ag ; VF+ ; 24 ; Участник № 51 ; 19000 
 186 ; Рубль ; 1770 ; СПБ ЯЧ TI ; Ag ; XF+ ; 16 ; клотик 2 ; 19380 
 187 ; Рубль ; 1771 ; СПБ ЯЧ TI ; Ag ; XF+ ; 17 ; клотик 2 ; 17748 
 188 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; VF+ ; 25 ; Zигмунт ; 11057 
 189 ; Рубль (Петров-4р) ; 1777 ; СПБ ФЛ ; Ag ; XF ; 27 ; 67 ; 30000 
 190 ; Рубль (Ильин-10р) ; 1793 ; СПБ TI ; Ag ; F-VF ; 19 ; Участник № 520 ; 23000 
 191 ; Рубль (Петров-4р, Ильин-3р) ; 1795 ; СПБ АК TI ; Ag ; VF+/VF-XF ; 21 ; int1965708 ; 27274 
 192 ; Рубль. На гурте 27 21/25 доль ; 1840 ; СПБ НГ ; Ag ; VF+ ; 24 ; Участник № 147 ; 7500 
 193 ; Рубль ; 1868 ; СПБ HI ; Ag ; AU/XF ; 27 ; stalker71 ; 36083 
 194 ; Рубль ; 1869 ; СПБ HI ; Ag ; XF+/XF- ; 59 ; Участник № 54 ; 65000 
 195 ; Рубль ; 1870 ; СПБ HI ; Ag ; XF+ ; 41 ; Участник № 520 ; 70000 
 196 ; Рубль ; 1896 ; ( * ) ; Ag ; XF+ ; 9 ; Cjhjc ; 9500 
 197 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 198 ; 3/4 рубля-5 злотых ; 1837 ; MW Рус.-Пол. ; Ag ; VF+ ; 15 ; Участник № 133 ; 3600 
 199 ; 3/4 рубля-5 злотых ; 1840 ; MW Рус.-Пол. ; Ag ; VF-XF/VF+ ; 17 ; boroda ; 4194 
 200 ; 5 злотых (Петров-2р) ; 1817 ; IB Польша ; Ag ; VF-XF ; 22 ; Участник № 18 ; 15500 
 101 ; Копейка ; 1840 ; СПМ ; Cu ; VF-XF ; 11 ; Участник № 30 ; 600 
 102 ; 1/4 копейки ; 1840 ; СПМ ; Cu ; XF- ; 41 ; Участник № 523 ; 600 
 103 ; 3 гроша ; 1840 ; MW Рус.-Пол. ; Cu ; XF ; 37 ; Участник № 168 ; 13000 
 104 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; VF+ ; 18 ; Zигмунт ; 4533 
 105 ; 25 копеек-50 грошей ; 1842 ; MW Рус.-Пол. ; Ag ; VF-XF ; 32 ; Участник № 30 ; 22000 
 106 ; 5 копеек ; 1843 ; СПБ АЧ ; Ag ; XF+ ; 77 ; Участник № 623 ; 5000 
 107 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF- ; 25 ; elac ; 10314 
 108 ; Полтина ; 1847 ; СПБ ПА ; Ag ; VF-XF ; 32 ; int1965708 ; 6222 
 109 ; Полтина (Ильин-3р). Редка. Тип герба 1846 года ; 1847 ; СПБ ПА ; Ag ; VF+ ; 14 ; Участник № 133 ; 6400 
 110 ; Полушка ; 1850 ; ЕМ ; Cu ; AU/XF ; 50 ; Участник № 133 ; 2200 
 111 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF- ; 26 ; Zигмунт ; 6234 
 112 ; 2 копейки (Ильин-2р) ; 1855 ; ВМ ; Cu ; VF+ ; 56 ; alex-05 ; 2030 
 113 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 20 ; 439 ; 2714 
 114 ; 2 копейки (Ильин-2р) ; 1856 ; ВМ ; Cu ; VF+ ; 25 ; Участник № 147 ; 3200 
 115 ; Денежка ; 1857 ; ЕМ ; Cu ; XF+ ; 51 ; Участник № 18 ; 2800 
 116 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; XF- ; 18 ; Участник № 520 ; 5400 
 117 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; VF-XF ; 19 ; Участник № 147 ; 37000 
 118 ; Копейка ; 1859 ; ВМ ; Cu ; VF+ ; 55 ; Участник № 133 ; 1600 
 119 ; 5 копеек ; 1860 ; ЕМ ; Cu ; XF- ; 13 ; Участник № 523 ; 1600 
 120 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 14 ; int1965708 ; 1977 
 121 ; 5 копеек ; 1865 ; ЕМ ; Cu ; VF-XF ; 24 ; dimon46 ; 1439 
 122 ; Рубль. Ремонт гурта 12 часов ; 1868 ; СПБ HI ; Ag ; VF- ; 11 ; Участник № 147 ; 13000 
 123 ; 20 копеек ; 1869 ; СПБ HI ; Ag ; AU/XF ; 44 ; int1965708 ; 1318 
 124 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 51 ; UFO ; 4811 
 125 ; Полтина. Редкая датировка ; 1876 ; СПБ HI ; Ag ; VF- ; 23 ; АВлад ; 11322 
 126 ; 10 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 106 ; Участник № 18 ; 4000 
 127 ; 5 копеек ; 1876 ; СПБ HI ; Ag ; AU/XF ; 75 ; Участник № 133 ; 4200 
 128 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU/XF ; 9 ; Участник № 147 ; 750 
 129 ; Копейка ; 1879 ; СПБ ; Cu ; XF ; 8 ; Участник № 7 ; 1300 
 130 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF/AU ; 35 ; Fedor_K ; 16241 
 131 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU ; 14 ; stalker71 ; 2200 
 132 ; 10 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 65 ; Участник № 147 ; 2400 
 133 ; 10 пенни ; 1890 ; Финляндия ; Cu ; VF+ ; 16 ; Участник № 9 ; 2000 
 134 ; 5 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 31 ; int1965708 ; 805 
 135 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; AU ; 14 ; Участник № 133 ; 1100 
 136 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; XF- ; 28 ; Участник № 133 ; 1800 
 137 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; AU ; 18 ; elac ; 2040 
 138 ; Копейка ; 1894 ; СПБ ; Cu ; XF- ; 12 ; Участник № 1362 ; 340 
 139 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF ; 22 ; Участник № 132 ; 6500 
 140 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF+ ; 86 ; М О С К В А ; 18726 
 141 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 29 ; ZOLTAN333 ; 6120 
 142 ; Рубль ; 1898 ; (АГ) ; Ag ; AU ; 35 ; Участник № 462 ; 16500 
 143 ; Рубль ; 1899 ; ( ** ) ; Ag ; XF ; 84 ; elac ; 10204 
 144 ; 1/2 копейки ; 1899 ; СПБ ; Cu ; AU ; 11 ; stalker71 ; 691 
 145 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; AU ; 35 ; Участник № 133 ; 9000 
 146 ; Рубль ; 1912 ; (ЭБ) ; Ag ; XF+ ; 13 ; int1965708 ; 6120 
 147 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF- ; 13 ; niki ; 51002 
 148 ; Рубль ; 1913 ; (ЭБ) ; Ag ; VF-XF ; 30 ; int1965708 ; 35700 
 149 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF/AU ; 25 ; Участник № 133 ; 10000 
 150 ; 1 рубль ; 1918 ; кружок меньше ;  ; VF+ ; 104 ; seaman ; 40000 
 51 ; 2 копейки (Ильин-2р) ; 1803 ; ЕМ ; Cu ; VF- ; 32 ; АВлад ; 7263 
 52 ; 5 копеек (Петров-1р) ; 1809 ; ЕМ ; Cu ; VF ; 16 ; Участник № 1 ; 3500 
 53 ; 2 копейки ; 1810 ; ЕМ НМ ; Cu ; VF-XF ; 11 ; fktyrfd ; 500 
 54 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; VF-XF ; 44 ; SSK ; 1200 
 55 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF- ; 42 ; SSK ; 1729 
 56 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; VF-XF ; 11 ; dimon46 ; 470 
 57 ; 2 копейки ; 1812 ; КМ АМ ; Cu ; VF-XF ; 9 ; SSK ; 1200 
 58 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; XF+ ; 21 ; Участник № 133 ; 3600 
 59 ; 1 грош ; 1816 ; IB Польша ; Cu ; VF ; 20 ; destroer ; 7142 
 60 ; 5 злотых ; 1817 ; IB Польша ; Ag ; VF- ; 15 ; Участник № 1362 ; 5000 
 61 ; 1 грош ; 1817 ; IB Польша ; Cu ; VF- ; 16 ; SSK ; 3114 
 62 ; 5 рублей. М-6,5г ; 1819 ; СПБ МФ ; Au ; VF ; 15 ; int1965708 ; 42840 
 63 ; 2 копейки ; 1820 ; ЕМ НМ ; Cu ; VF-XF ; 46 ; ST ; 347 
 64 ; Рубль ; 1823 ; СПБ ПД ; Ag ; XF ; 65 ; partanen ; 10409 
 65 ; 5 рублей. М-6,54г ; 1826 ; СПБ ПД ; Au ; VF+ ; 13 ; int1965708 ; 42222 
 66 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; VF+ ; 20 ; pmaster ; 1381 
 67 ; 1 грош ; 1828 ; FH Польша ; Cu ; VF+ ; 20 ; destroer ; 9000 
 68 ; Рубль ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 16 ; Zигмунт ; 5679 
 69 ; 5 злотых ; 1829 ; FH Польша ; Ag ; XF- ; 29 ; Участник № 462 ; 15000 
 70 ; 1 грош ; 1829 ; FH Польша ; Cu ; VF- ; 14 ; Участник № 520 ; 5500 
 71 ; Копейка ; 1829 ; ЕМ ИК ; Cu ; VF+ ; 6 ; dimon46 ; 174 
 72 ; Копейка ; 1829 ; ЕМ ИК ; Cu ; VF+ ; 6 ; Участник № 523 ; 280 
 73 ; 5 рублей. М-6,5г ; 1830 ; СПБ ПД ; Au ; VF- ; 10 ; стрелец ; 34000 
 74 ; Рубль ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 26 ; Zигмунт ; 8285 
 75 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; XF ; 28 ; int1965708 ; 5107 
 76 ; 1 грош ; 1830 ; FH Польша ; Cu ; VF ; 60 ; monos72 ; 9533 
 77 ; 5 рублей. М-6,54 ; 1831 ; СПБ ПД ; Au ; VF ; 17 ; Zигмунт ; 31837 
 78 ; 10 копеек ; 1831 ; ЕМ ФХ ; Cu ; F-VF ; 3 ; fktyrfd ; 2040 
 79 ; 3 гроша ; 1831 ; KG Польша ; Cu ; VF+ ; 44 ; Участник № 140 ; 14000 
 80 ; 3 гроша ; 1831 ; KG польское восстание 1830-1831 гг. ; Cu ; VF+ ; 15 ; SSK ; 4500 
 81 ; 5 копеек ; 1832 ; ЕМ ФХ ; Cu ; VF+ ; 13 ; pmaster ; 1599 
