 5824 ; Ценная бумага Германия ;  ;  ;  ;  ; 14 ; tikhomirius ; 141 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 7 ; bigben ; 30 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 10 ; koppolo ; 50 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 32 ; nikfed ; 100 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 14 ; jj ; 50 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 9 ; VOLKODAVS5 ; 40 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Pipe ; 182 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Gera_K ; 102 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 6 ; .gk ; 30 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 15 ; grond ; 61 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 29 ; sahakala ; 154 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Винни Пух ; 313 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 9 ; tss ; 181 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 9 ; jj ; 99 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 23 ; nikfed ; 328 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 8 ; koppolo ; 29 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ignatovanton ; 101 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sterh ; 26 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sam ; 30 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 23 ; leff ; 373 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 18 ; VOLKODAVS5 ; 73 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Ratmen ; 100 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Andy.Andr ; 105 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Pipe ; 235 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 7 ; bva150979 ; 121 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 29 ; leff ; 93 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Jiamer57rus ; 25 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 6 ; .gk ; 30 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 333985 ; 99 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 333985 ; 99 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Ratmen ; 101 
 5336 ; Облигации на 100 рублей 2 шт ; 1951,1956 ;  ;  ;  ; 47 ; ReSeRVeD ; 157 
 5337 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 13 ; boroda ; 99 
 5338 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 38 ; konus ; 1242 
 5339 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 11 ; alex241 ; 282 
 5340 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 38 ; xoron666 ; 385 
 5341 ; 1000 рублей. Модификация 2004 г. № 1111111 ; 1997 ; банкнота ;  ;  ; 28 ; vlkorchev ; 2083 
 5342 ; 10000 рублей ; 1992 ; банкнота ;  ;  ; 40 ; Armando ; 701 
 5343 ; Лот бон 4 шт. 50,100,500,1000 рублей ; 1992,1993,1995 ;  ;  ;  ; 44 ; kvs ; 565 
 5344 ; Лот бон 2 шт ;  ;  ;  ;  ; 13 ; Georgy ; 27 
 5345 ; Лот бон 3 шт. 1,3,5 рублей ; 1961 ;  ;  ;  ; 73 ; Alex V ; 250 
 5346 ; Акция в 100 рублей. АО"Каучук" ; 1913 ;  ;  ;  ; 21 ; 10alex10 ; 341 
 5347 ; Облигаций 5х125 ; 1890 ;  ;  ;  ; 84 ; тютю ; 1019 
 5348 ; Лот деньги-марки 3 шт ;  ;  ;  ;  ; 31 ; ReSeRVeD ; 222 
 5349 ; Ценные бумаги 2 шт ;  ;  ;  ;  ; 26 ; ЛАВ-13 ; 87 
 5350 ; Лот бон 3 шт ;  ;  ;  ;   ; 9 ; Александр007 ; 206 
 5351 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 7 ; skumat ; 26 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 36 ; Sky2 ; 90 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 45 ; leff ; 94 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 7 ; VOLKODAVS5 ; 26 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 11 ; VOLKODAVS5 ; 30 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 4 ; газета ; 60 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 29 ; leff ; 53 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 53 ; leff ; 194 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 5 ; bva150979 ; 101 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 7 ; VOLKODAVS5 ; 26 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 15 ; sikachai ; 101 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 4 ; газета ; 42 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Jiamer57rus ; 24 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sterh ; 41 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sahakala ; 89 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Slava O ; 30 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Slava O ; 30 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Slava O ; 51 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 9 ; VOLKODAVS5 ; 26 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Jiamer57rus ; 23 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Slava O ; 51 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Jiamer57rus ; 23 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Slava O ; 26 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Slava O ; 27 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Jiamer57rus ; 25 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Slava O ; 26 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 5 ; bva150979 ; 101 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 33 ; НЭРИ ; 89 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Slava O ; 61 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Slava O ; 61 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 15 ; НЭРИ ; 50 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 13 ; VOLKODAVS5 ; 99 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Винни Пух ; 125 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 4758 ; 32 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 5 ; bva150979 ; 101 
 5093 ; 2 червонца ; 1928 ; Калманович, Горбунов. Билет ;  ;  ; 30 ; ctepanovich ; 3570 
 5094 ; 3 рубля. Асмолов ; 1919 ;  ;  ;  ; 16 ; master_mt5 ; 1019 
 5095 ; 1000 рублей. Азовско - Донской коммерческий банк. ;  ;  ;  ;  ; 24 ; kont ; 1274 
 5096 ; 5 червонцев ; 1928 ; Билет ;  ;  ; 33 ; газета ; 6630 
 5097 ; 100 гривен ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 19 ; sato ; 273 
 5098 ; 500 гривен ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 17 ; sato ; 347 
 5099 ; Акционерное об-во "Каучук". Акция ; 1913 ;  ;  ;  ; 42 ; тютю ; 918 
 5100 ; Соединенный заем г. Санкт - Петербурга. Облигация ; 1908 ;  ;  ;  ; 25 ; тютю ; 453 
 5101 ; 1 рубль (2 шт) ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 12 ; Gera_K ; 102 
 5102 ; 10 рублей (2 шт) ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 14 ; 333985 ; 74 
 5103 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 26 ; xoron666 ; 502 
 5104 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 16 ; bonist-3A ; 407 
 5105 ; Лот бон (8 шт) ;  ;  ;  ;  ; 53 ; ъхз ; 261 
 5106 ; Лот бон (8 шт) ;  ;  ;  ;  ; 46 ; ъхз ; 263 
 5107 ; Купоны (36 шт) ;  ;  ;  ;  ; 30 ; Чернов ; 50 
 5301 ; Лот бон 3 шт. 2,3,5 копеек ;  ;  ;  ;  ; 83 ; ReSeRVeD ; 563 
 5302 ; Лот бон 2 шт. 250 и 500 рублей ; 1921 ;  ;  ;  ; 23 ; Александр60 ; 387 
 5303 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 35 ; xoron666 ; 417 
 5304 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 33 ; ИБК ; 875 
 5305 ; 3 рубля ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 21 ; ИБК ; 816 
 5306 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 22 ; ЛАВ-13 ; 803 
 5307 ; 50 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 40 ; nikfed ; 2550 
 5308 ; 100 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 33 ; ewgen ; 816 
 5309 ; 500 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 41 ; nikfed ; 6120 
 5310 ; Лот бон 3 шт. 1 и 3 рубля ;  ;  ;  ;  ; 87 ; lesnik1 ; 2601 
 5311 ; 3 червонца ; 1937 ; Билет ;  ;  ; 142 ; 10alex10 ; 5213 
 5312 ; 10 рублей ; 1947 ; билет ;  ;  ; 53 ; rad22 ; 934 
 5313 ; 50 рублей ; 1947 ; билет ;  ;  ; 63 ; Запруда ; 1619 
 5314 ; Лот бон 2 шт. 100 и 5000 рублей ; 1991,1992 ;  ;  ;  ; 44 ; Ratmen ; 441 
 5315 ; 1000 марок. Ковно ; 1918 ;  ;  ;  ; 69 ; unkas79 ; 2039 
 5316 ; 50 карбованцев. Ровно ; 1942 ;  ;  ;  ; 44 ; Глеб ; 567 
 5317 ; Облигация на 100 рублей ; 1950 ;  ;  ;  ; 22 ; bonipari ; 155 
 5318 ; Облигация на 100 рублей ; 1943 ;  ;  ;  ; 58 ; Baikal ; 1020 
 5319 ; Облигация на 100 рублей ; 1944 ;  ;  ;  ; 57 ; Baikal ; 1020 
 5320 ; Облигация на 100 рублей ; 1952 ;  ;  ;  ; 31 ; ReSeRVeD ; 179 
 5321 ; Облигация на 25 рублей ; 1945 ;  ;  ;  ; 14 ; Baikal ; 248 
 5322 ; Лотерейный билет "ОСОАВИАХИМА" ;  ;  ;  ;  ; 17 ; solder13 ; 386 
 5323 ; Лотерейный билет "ОСОАВИАХИМА" ;  ;  ;  ;  ; 23 ; solder13 ; 204 
 5324 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 42 ; viktor2205 ; 169 
 5325 ; Лот 2 шт. 1 и 5 рублей ; 1918 ;  ;  ;  ; 38 ; ЛАВ-13 ; 459 
 5326 ; 50 копеек ;  ;  ;  ;  ; 20 ; xoron666 ; 357 
 5327 ; Бона 50 копеек ;  ;  ;  ;  ; 21 ; ЛАВ-13 ; 207 
 5328 ; 5000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 48 ; ivanptm ; 1224 
 5329 ; 1000 рублей ; 1919 ;  ;  ;  ; 40 ; bugor ; 591 
 5330 ; 2 червонца ; 1928 ; Калманович, Карклин. Билет ;  ;  ; 27 ; ИБК ; 3060 
 5331 ; 3 червонца ; 1932 ; Билет ;  ;  ; 63 ; Александр60 ; 427 
 5332 ; 1 рубль ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 72 ; nikfed ; 567 
 5333 ; 1 червонец ; 1937 ; Билет ;  ;  ; 41 ; 10alex10 ; 1501 
 5334 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 71 ; 10alex10 ; 2267 
 5335 ; 100 рублей ; 1991 ; билет ;  ;  ; 20 ; zlobniy ; 204 
 5043 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 14 ; GERo ; 204 
 5044 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 23 ; АЛАН-ШИРЕР ; 204 
 5045 ; 1 рубль ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 35 ; ИБК ; 714 
 5046 ; 25 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 21 ; ИБК ; 610 
 5047 ; 3 рубля. Благовещенское об-во трезвости ; 1921 ;  ;  ;  ; 54 ; 收集者 ; 1814 
 5048 ; 10 рублей. Читинское п.о. "Эконом" ; 1919 ;  ;  ;  ; 39 ; Соколов ; 3488 
 5049 ; 25 рублей. Читинское п.о. "Эконом" ; 1919 ;  ;  ;  ; 19 ; Соколов ; 1947 
 5050 ; 5 рублей. Крым ; 1918 ;  ;  ;  ; 12 ; ZIMOGOR ; 202 
 5051 ; 1 рубль. Елисаветоград ; 1918 ;  ;  ;  ; 64 ; cochu ; 510 
 5052 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбницi ;  ;  ; 27 ; скорпион_48 ; 159 
 5053 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбницi ;  ;  ; 25 ; sahakala ; 254 
 5054 ; 10 карбованцев ;  ; Украина Знак Державноi скарбицi ;  ;  ; 16 ; vasek ; 503 
 5055 ; 5 рублей ; 1947 ; Гос.казначейский билет ;  ;  ; 19 ; Димыч ; 512 
 5056 ; 10 рублей ; 1947 ; билет ;  ;  ; 29 ; Armando ; 303 
 5057 ; 250 карбованцев ; 1918 ; Украина Знак Державноi скарбицi ;  ;  ; 16 ; станислав-август ; 617 
 5058 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 20 ; GERo ; 104 
 5059 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 22 ; ivanptm ; 206 
 5060 ; 25 рублей ; 1947 ; билет ;  ;  ; 15 ; Александр007 ; 509 
 5061 ; 25 рублей ; 1918 ; Чек. Со штампом регистрации ;  ;  ; 16 ; leff ; 550 
 5062 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 14 ; АЛАН-ШИРЕР ; 62 
 5063 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 15 ; ivanptm ; 72 
 5064 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 18 ; sahakala ; 100 
 5065 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 16 ; АЛАН-ШИРЕР ; 62 
 5066 ; 5 рублей ; 1919 ; Латвия. Обязательство гос.казначейства ;  ;  ; 15 ; bdd48 ; 200 
 5067 ; 10 лит ; 1927 ; Литва ;  ;  ; 7 ; 333985 ; 330 
 5068 ; 10 рублей. Крым ; 1918 ;  ;  ;  ; 14 ; cochu ; 406 
 5069 ; 25 рублей. Крым ; 1918 ;  ;  ;  ; 18 ; ZIMOGOR ; 301 
 5070 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 13 ; ctepanovich ; 417 
 5071 ; 10000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 11 ; ctepanovich ; 522 
 5072 ; 25 карбованцев ; 1919 ; Украина Знак Державноi скарбицi ;  ;  ; 32 ; Виталий 64 ; 1405 
 5073 ; 5 рублей. Одесса ; 1917 ;  ;  ;  ; 7 ; скорпион_48 ; 203 
 5074 ; 3 рубля. Одесса ; 1917 ;  ;  ;  ; 1 ; bon15041980 ; 755 
 5075 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 12 ; Gera_K ; 62 
 5076 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 10 ; t_v_v ; 53 
 5077 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 15 ; tdmnogopiwa ; 136 
 5078 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;   ; 12 ; ivanptm ; 191 
 5079 ; 10 рублей. Одесса ; 1917 ;  ;  ;  ; 65 ; Туборг ; 456 
 5080 ; 100 рублей. Терская рес-ка. ; 1918 ; Разменные знаки.Совнарком Терской республики ;  ;  ; 23 ; Vb[fksx ; 1632 
 5081 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 18 ; ivanptm ; 51 
 5082 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 11 ; solder13 ; 216 
 5083 ; 1000 рублей. Благовещенск ; 1920 ;  ;  ;  ; 21 ; Соколов ; 3060 
 5084 ; 5000 рублей.  Благовещенск ; 1920 ;  ;  ;  ; 24 ; lesnik1 ; 2040 
 5085 ; 100 рублей.  Благовещенск ; 1920 ;  ;  ;  ; 33 ; lesnik1 ; 2040 
 5086 ; 500 рублей.  Благовещенск ; 1920 ;  ;  ;  ; 27 ; lesnik1 ; 2040 
 5087 ; 1000 рублей. Кооператив "Севморкооп" ;  ;  ;  ;  ; 9 ; pavelvdis ; 1041 
 5088 ; 10 рублей. О.П. при Алафузовских Ф. и З. в Казани ; 1918 ;  ;  ;  ; 10 ; kehha ; 1134 
 5089 ; 100 рублей. Кооператив работников просвещения в г. Перми. ; 1922 ;  ;  ;  ; 23 ; kehha ; 1134 
 5090 ; 300 рублей. Архангельский губсоюз. ; 1921 ;  ;  ;  ; 30 ; master_mt5 ; 1560 
 5091 ; 1 рубль. ОПО "Правильный путь" ; 1924 ;  ;  ;  ; 26 ; cash ; 1134 
 5092 ; 250 рублей. Иркутское общественное собрание ;  ;  ;  ;  ; 5 ; Соколов ; 1209 
 4137 ; Лот монет Хорватии: 7шт ;  ;  ; Cu-Ni,al,Лат ; VF/XF ; 17 ; Скрудж ; 77 
 4138 ; Лот монет Сан-Марино: 5,2,1 евроцент (3шт) ; 2006 ;  ; Cu-St ; AU ; 18 ; vc57 ; 113 
 4139 ; Лот монет США: 11шт ; 1964-2011 ;  ; Cu-Ni ; VF/AU ; 11 ; paweka1 ; 101 
 4140 ; Лот монет Финляндии: 12шт ; 2011,2012 ;  ; Лат,Cu/St ; AU ; 15 ; gavrosh ; 106 
 4141 ; Лот монет США: 1 доллар (10шт) ; 2007-2011 ;  ; Cu-Ni-Zn ; AU ; 40 ; taa ; 687 
 4142 ; Лот монет Австрии: 1 евро, 50,20,10,5,2,1 евроцент (7шт) ; 2012 ;  ; Лат,Cu/St,Би/м ; AU ; 13 ; banks ; 177 
 4143 ; Лот монет Словении: 20,10,5,2,1 евроцент (5шт) ; 2007 ;  ; Лат,Cu/St ; AU ; 29 ; Jiamer57rus ; 130 
 4144 ; Лот монет Франции: 2 евро, 50,20,10,5,2,1 евроцент (7шт) ; 1999-2001 ;  ; Лат,Cu/St ; AU ; 9 ; DVZ ; 130 
 5001 ; 5 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ;  ; 21 ; Александр60 ; 413 
 5002 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 11 ; Baikal ; 255 
 5003 ; 2 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 15 ; Baikal ; 276 
 5004 ; 1 рубль ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 13 ; Baikal ; 167 
 5005 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ;  ; 28 ; intelligent4 ; 461 
 5006 ; 15 рублей ;  ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 33 ; xoron666 ; 379 
 5007 ; 1 копейка ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 13 ; kent01 ; 261 
 5008 ; 3 копейки ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 49 ; ИБК ; 453 
 5009 ; 5 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 15 ; ИБК ; 197 
 5010 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 10 ; лайк ; 104 
 5011 ; 1 рубль ; 1919 ; Грузия ;  ;  ; 13 ; div ; 210 
 5012 ; 60 рублей ;  ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 19 ; xoron666 ; 173 
