 6674 ; Часы  наручные Победа ПЧЗ с браслетом. ;  ;  ; Б/м ;  ; 9 ; basil ; 1530 
 6657 ; Мерка для дымного пороха. ;  ;  ; Ж/м ;  ; 47 ; Dмитрий ; 465 
 6658 ; Бронзовая накладка "двухглавый орел". Диаметр 140 мм. ;  ;  ;  ;  ; 30 ; WENDIGO ; 2425 
 6659 ; Прибор для точки и правки лезвий ;  ;  ;  ;  ; 38 ; service ; 360 
 6660 ; Чеканка. 225 х 160 мм ;  ;  ;  ;  ; 23 ; hobby19 ; 408 
 6661 ; Икорница фарфоровая. ;  ;  ;  ;  ; 30 ; никсер ; 602 
 6662 ; Часы карманные "Молния". Тетерев. 1970-1980 года. Челябинский часовой завод. Диаметр 50 мм. На ходу ;  ;  ;  ;  ; 51 ; Леонс ; 1043 
 6663 ; Часы наручные POLJOT, 17 камней. ;  ;  ; Б/м ;  ; 9 ; vadsob ; 114 
 6664 ; Часы наручные ЗАРЯ. РОССИЯ, 21 камень. ;  ;  ; Б/м ;  ; 9 ; vadsob ; 206 
 6665 ; Часы наручные РАКЕТА. ;  ;  ; Б/м ;  ; 16 ; CoinM ; 153 
 6666 ; Часы наручные Ракета для слабовидящих. ;  ;  ; Ж/м ;  ; 4 ; antiquar ; 114 
 6667 ; Часы наручные POLJOT, 17 камней. ;  ;  ; Ж/м ;  ; 7 ; vadsob ; 150 
 6668 ; Часы наручные Защитнику отечества 1945-1995. ;  ;  ; Ж/м ;  ; 19 ; боровик ; 227 
 6669 ; Часы наручные ЗиМ. ;  ;  ; Б/м ;  ; 7 ; volkova21 ; 111 
 6670 ; Часы наручные ЗиМ. ;  ;  ; Б/м ;  ; 7 ; volkova21 ; 111 
 6671 ; Часы наручные Слава, 21 камень. ;  ;  ; Ж/м ;  ; 7 ; barbos ; 112 
 6672 ; Часы наручные ПОБЕДА. ;  ;  ; Б/м ;  ; 11 ; vadsob ; 261 
 6673 ; Лот наручных часов 3 шт. ;  ;  ; Ж/м ;  ; 23 ; antiquar ; 261 
 6460 ; В.М. Потин. Монеты, клады, коллекции. Санкт-Петербург 1993г ;  ;  ;  ;  ; 37 ; Affliction ; 223 
 6461 ; Леонид Шепелёв. Титулы, мундиры и ордена Российской Империи ;  ;  ;  ;  ; 50 ; горный ; 793 
 6462 ; Российская держава. Символы и награды. Москва 2010г. ;  ;  ;  ;  ; 42 ; vit2503 ; 541 
 6463 ; Х. Фенглер, Г. Гироу, В. Унгер. Словарь нумизмата. 2-е изд.переработанное и дополненное. Москва 1993г ;  ;  ;  ;  ; 26 ; vadimex ; 521 
 6464 ; В.Д. Доценко, А.Д. Бойнович, В.А. Купрюхин. Знаки и жетоны Российского флота 1696-1917гг. Санкт-Петербург 1993г ;  ;  ;  ;  ; 16 ; Kurgan ; 438 
 6465 ; Г.А. Мурашев. Титулы, чины, награды. 2004г ;  ;  ;  ;  ; 17 ; Affliction ; 305 
 6466 ; Г.Я, Зейниев. Выпуск денежных знаков Азербайджанского национального правительства. Монография-каталог. Москва 2020г. ;  ;  ;  ;  ; 38 ; Sky2 ; 473 
 6467 ; Атлас-справочник. Всё о самых знаменитых орденах мира. Вильнюс 2012г. ;  ;  ;  ;  ; 22 ; 78gen ; 378 
 6468 ; Старинный часы XVI-XIXвв. ;  ;  ;  ;  ; 43 ; Мигрант ; 374 
 6469 ; Каталог Юбилейные и памятные монеты СССР СССР- Москва Внешторгиздат, 1989 ;  ;  ;  ;  ; 5 ; FIHCHAR ; 53 
 6470 ; Каталог монет Польши 2010г. ;  ;  ;  ;  ; 24 ; Alexim ; 254 
 6471 ; Каталог серебряных монет КНР 2006г. ;  ;  ;  ;  ; 73 ; Alexim ; 657 
 6472 ; Каталог современных монет КНР ;  ;  ;  ;  ; 15 ; Alexim ; 153 
 6473 ; Каталог бронзовых монет КНР 2012г. ;  ;  ;  ;  ; 93 ; alten ; 1154 
 6474 ; Кузнецов В.Н. Монетный брак, монетное производство, фальсифицированные монеты СССР и современной России. Москва 2009г ;  ;  ;  ;  ; 29 ; alten ; 1599 
 6475 ; Каталог транспортных металлических жетонов Самары, Чапаевска и Сызрани. Сувенирные самарские деньги. Е.М.Фролов. Москва,2002 ;  ;  ;  ;  ; 19 ; alten ; 92 
 6476 ; В.Д. Кривцов. Аверс №5. Том первый. Москва 2001 ;  ;  ;  ;  ; 78 ; Agava ; 842 
 6477 ; И.М. Станиславский. Монеты Боспорского царства и их стоимость I вв. до н.э. - IV н.э. ;  ;  ;  ;  ; 40 ; bor6312 ; 890 
 6478 ; Валюта?Валюта…Валюта! - 2-е изд.,перераб.и доп.-М.:"Технополис", Мн.: "Гэлэкси", 1993.-192с., ил. ;  ;  ;  ; Б/у ; 16 ; Ravak_1981 ; 258 
 6479 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 19 ; Гений ; 241 
 6480 ; Оптовый лот, 20 книг. Каталог-справочник. Монеты РСФСР, СССР и России 1921-2014 годов, 38 редакция ;  ;  ;  ;  ; 21 ; zabor ; 57 
 6481 ; Оптовый лот, 20 книг. Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 58 ; svetin ; 1529 
 6482 ; Оптовый лот, 10 книг.  Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 32 ; Sky2 ; 750 
 6483 ; Оптовый лот. 7 книг (коробка).  В.Е. Семенов. Монетный передел 1700-1917 гг ;  ;  ;  ;  ; 13 ; альф13 ; 1573 
 6484 ; Оптовый лот, 20 книг (коробка). Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 28 ; альф13 ; 3456 
 6485 ; Оптовый лот. 8 книг (коробка). Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 12 ; альф13 ; 1117 
 6486 ; Оптовый лот. 8 книг (2 коробки).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 23 ; garikms ; 6346 
 6601 ; Поднос с двумя рюмками, серебро, чернение. ;  ;  ; Ag875 ;  ; 31 ; манома ; 13119 
 6602 ; Чаша серебро. Финляндия. ;  ;  ; Ag813 ;  ; 72 ; olancepok ; 7670 
 6603 ; Сахарница с ручкой, серебро 84, В.С1873 ;  ;  ; Ag84 ;  ; 73 ; olancepok ; 10200 
 6604 ; Сахарница серебро 84, ИСХ. ;  ;  ; Ag84 ;  ; 57 ; Руслан1981 ; 7283 
 6605 ; Кошелек серебро 84, PJS. ;  ;  ; Ag84 ;  ; 55 ; service ; 5253 
 6606 ; Половник для соуса, серебро в оригинальном футляре. Финляндия. ;  ;  ; Ag813 ;  ; 42 ; volkova21 ; 2711 
 6607 ; Ситечко, серебро 84, ЭМК, И.Е1878. ;  ;  ; Ag84 ;  ; 35 ; AN54 ; 3684 
 6608 ; Вилка столовая, серебро 84, П.ОВЧИННИКОВЪ. ;  ;  ; Ag84 ;  ; 49 ; Рамзес2 ; 6075 
 6609 ; Ложка столовая , серебро 84, КП, А.К1849. ;  ;  ; Ag84 ;  ; 25 ; Рамзес2 ; 4000 
 6610 ; Ложка столовая, серебро 84, ;  ;  ; Ag84 ;  ; 25 ; Бигль ; 3276 
 6611 ; Щипцы серебро 84, PIS?. ;  ;  ; Ag84 ;  ; 69 ; maks1986 ; 3071 
 6612 ; Флакон для духов, серебро, эмаль. ;  ;  ; Ag916 ;  ; 48 ; Pipe ; 5100 
 6613 ; Флакон для духов Харьков, серебро. ;  ;  ; Ag875 ;  ; 31 ; Гектор8 ; 1240 
 6614 ; Флакон для духов, серебро. ;  ;  ; Ag875 ;  ; 29 ; mask ; 1581 
 6615 ; Ложка чайная витая, серебро 84, Л.О1896. ;  ;  ; Ag84 ;  ; 35 ; SLOV ; 1509 
 6616 ; Ложка чайная, серебро 84. АЮ. ;  ;  ; Ag84 ;  ; 26 ; Dimius ; 968 
 6617 ; Ложка чайная, серебро 84, ФД. ;  ;  ; Ag84 ;  ; 15 ; Бигль ; 1064 
 6618 ; Ложка чайная Белочка, серебро, золочение. ;  ;  ; Ag925 ;  ; 43 ; 7932574 ; 3335 
 6619 ; Ситечко для чая, серебро. ;  ;  ; Ag875 ;  ; 61 ; Vova1950 ; 1224 
 6620 ; Сахарница хрустальная, ножка серебро. Финляндия. ;  ;  ; Ag813 ;  ; 51 ; никсер ; 903 
 6621 ; Солонка серебро, хрусталь. ;  ;  ; Ag875 ;  ; 41 ; Fireman ; 700 
 6622 ; Медальон серебро. ;  ;  ; Фп875 ;  ; 15 ; Meshok ; 449 
 6623 ; Брошь серебро. СССР. ;  ;  ; Ag875 ;  ; 46 ; Логистик ; 1125 
 6410 ; Капсулы для монет – 19 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343996 ;  ;  ;  ;  ; 17 ; val_diver ; 236 
 6411 ; Капсулы для монет – 29 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344006 ;  ;  ;  ;  ; 14 ; PamVan ; 308 
 6412 ; Капсулы для монет – 30 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344007 ;  ;  ;  ;  ; 13 ; PamVan ; 258 
 6413 ; "Капсулы для монет – 34 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344011 " ;  ;  ;  ;  ; 47 ; PamVan ; 276 
 6414 ; Капсулы для монет – 36 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #334013 ;  ;  ;  ;  ; 29 ; PamVan ; 286 
 6415 ; Капсулы для монет – 38 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 23 ; PamVan ; 261 
 6416 ; Капсулы для монет – 40 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344017 ;  ;  ;  ;  ; 13 ; PamVan ; 308 
 6417 ; Капсулы Quadrum для монет – 25 мм, упаковка 10 шт. Leuchtturm, #331951 ;  ;  ;  ;  ; 33 ; металлург9 ; 211 
 6418 ; Капсулы Quadrum для монет – 25 мм, упаковка 10 шт. Leuchtturm, #331951 ;  ;  ;  ;  ; 9 ; металлург9 ; 227 
 6419 ; Капсулы QUADRUM 30 для монет – 30 мм, упаковка 10 шт. Leuchtturm, #330443 ;  ;  ;  ;  ; 26 ; металлург9 ; 447 
 6420 ; Капсулы Quadrum 32 для монет – 32 мм, упаковка 10 шт. Leuchtturm, #312172 ;  ;  ;  ;  ; 26 ; PamVan ; 420 
 6421 ; Капсулы Quadrum 32 для монет – 32 мм, упаковка 10 шт. Leuchtturm, #312172 ;  ;  ;  ;  ; 30 ; металлург9 ; 429 
 6422 ; Капсулы QUADRUM 36 для монет – 36 мм, упаковка 10 шт. Leuchtturm, #309045 ;  ;  ;  ;  ; 22 ; металлург9 ; 368 
 6423 ; Капсулы QUADRUM 36 для монет – 36 мм, упаковка 10 шт. Leuchtturm, #309045 ;  ;  ;  ;  ; 24 ; металлург9 ; 368 
 6424 ; Листы GRANDE SH312 на 1 банкноту. Упаковка (5 шт.). Leuchtturm, #358072 ;  ;  ;  ;  ; 32 ; num ; 455 
 6425 ; Листы GRANDE SH312 на 2 банкноты. Упаковка (5 шт.). Leuchtturm, #358073 ;  ;  ;  ;  ; 45 ; num ; 404 
 6426 ; Листы GRANDE SH312 на 3 банкноты. Упаковка (5 шт.). Leuchtturm, #358074 ;  ;  ;  ;  ; 25 ; ask ; 413 
 6427 ; Листы GRANDE SH312 на 4 ячейки. Упаковка (5 шт.). Leuchtturm, #358076 ;  ;  ;  ;  ; 55 ; ask ; 380 
 6428 ; Листы GRANDE SH312 на 4 банкноты. Упаковка (5 шт.). Leuchtturm, #358075 ;  ;  ;  ;  ; 19 ; Степан_81 ; 404 
 6429 ; Листы GRANDE SH312 на 9 ячеек. Упаковка (5 шт.). Leuchtturm, #358077 ;  ;  ;  ;  ; 27 ; ask ; 297 
 6430 ; Разделитель картонный в альбом "Numis". Упаковка (20 шт.) Производство "Lindner" ;  ;  ;  ;  ; 15 ; fadeev.dima ; 246 
 6431 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 39 ; vadimex ; 1275 
 6432 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 37 ; CoinM ; 1243 
 6433 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 37 ; Starushka ; 315 
 6434 ; Псевдонимы российского рубля ;  ;  ;  ;  ; 15 ; Starushka ; 114 
 6435 ; Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 10 ; Ferpmnsg ; 159 
 6436 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 7 ; Starushka ; 114 
 6437 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 13 ; Гений ; 79 
 6438 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 20 ; Russman ; 72 
 6439 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 19 ; Russman ; 72 
 6440 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 14 ; Ferpmnsg ; 90 
 6441 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 12 ; serg901 ; 82 
 6442 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 25 ; serg901 ; 87 
 6443 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 16 ; ska ; 208 
 6444 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 24 ; Sky2 ; 152 
 6445 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 13 ; Sky2 ; 152 
 6446 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 20 ; FIHCHAR ; 229 
 6447 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 14 ; Sky2 ; 152 
 6448 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 10, 2014 год ;  ;  ;  ;  ; 35 ; slemnum ; 255 
 6449 ; Каталог-справочник. Награды Российской Империи. Часть I. Ордена и знаки отличия. Редакция 5 ;  ;  ;  ;  ; 9 ; vborisevich1 ; 77 
 6450 ; Каталог-справочник. Монеты Молдовы и Приднестровья. Редакция 1, 2019 год ;  ;  ;  ;  ; 32 ; Silberman ; 153 
 6451 ; Каталог-справочник «Монеты Казахстана 1993 – 2021 гг.», 5-я редакция ;  ;  ;  ;  ; 29 ; Alexim ; 73 
 6452 ; Каталог-справочник. Монеты Украины 1992-2013 гг. Редакция 5, 2013 год ;  ;  ;  ;  ; 21 ; Alexim ; 57 
 6453 ; Каталог-справочник. Монеты Беларуси 1996-2013 гг. Редакция 4, 2013 год ;  ;  ;  ;  ; 10 ; an78gg ; 17 
 6454 ; Хр. Гиль и А. Ильин. Русские монеты с 1801-1904 гг. Репринтное издание ;  ;  ;  ;  ; 7 ; Bankomat ; 11 
 6455 ; Каталог-справочник "Бумажные деньги России". Часть II. 7-я редакция.  2012 год ;  ;  ;  ;  ; 13 ; Гений ; 63 
 6456 ; В. П. Малышев. ЭНЦИКЛОПЕДИЯ. Денежные эмиссии региональных и местных правительств России 1917-1923 гг ;  ;  ;  ;  ; 19 ; milich973 ; 204 
 6457 ; Аукционный каталог Конрос, 35. Петербургские продажи. 16 мая 2009 г ;  ;  ;  ;  ; 15 ; Zakhapisty ; 136 
 6458 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 9 ; bobbar ; 43 
 6459 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2014 годов, 38 редакция ;  ;  ;  ;  ; 5 ; Снежный Барс ; 26 
 6281 ; Лот почтовых карточек  (2 штуки)  Изд. "Искусство" ; 1943 ;  ;  ;  ; 46 ; Fortyna 12 ; 680 
 6282 ; Лот почтовых карточек  (2 штуки) ВОВ ; 1941? ;  ;  ;  ; 47 ; Fortyna 12 ; 541 
 6283 ; Лот почтовых карточек  (3 штуки) Автолитография Медельского ; 1943 ;  ;  ;  ; 64 ; barsa15 ; 1224 
 6284 ; Лот почтовых карточек  (3 штуки) "Лен. Область. В тылу врага" ; 1943 ;  ;  ;  ; 49 ; Fortyna 12 ; 816 
 6285 ; Почтовая карточка. С Рождеством Христовым ;  ;  ;  ;  ; 48 ; electra ; 51 
 6286 ; Почтовая карточка. С Рождеством Христовым ;  ;  ;  ;  ; 28 ; dsp ; 91 
 6287 ; Почтовая карточка. С Праздником Рождества ;  ;  ;  ;  ; 8 ; electra ; 41 
 6288 ; Почтовая карточка. Изд . Компания Зингер ;  ;  ;  ;  ; 2 ; Meshok ; 95 
 6289 ; Почтовая карточка. Pin-Ups Vintage ;  ;  ;  ;  ; 2 ; Agava ; 140 
 6290 ; Почтовая карточка. Коронация (РЕПРИНТ) ;  ;  ;  ;  ; 12 ; Meshok ; 160 
 6291 ; Почтовая карточка. Коронация (РЕПРИНТ) ;  ;  ;  ;  ; 8 ; Meshok ; 161 
 6292 ; Почтовая карточка. Коронация (РЕПРИНТ) ;  ;  ;  ;  ; 8 ; Meshok ; 162 
 6293 ; Почтовая карточка. Фредди Меркьюри ;  ;  ;  ;  ; 6 ; Meshok ; 140 
 6294 ; Почтовая карточка. Фредди Меркьюри ;  ;  ;  ;  ; 6 ; Meshok ; 140 
 6295 ; Почтовая карточка. Орнелла Мути ;  ;  ;  ;  ; 7 ; fadeev.dima ; 204 
 6296 ; Почтовая карточка. Орнелла Мути ;  ;  ;  ;  ; 3 ; attila375 ; 140 
 6297 ; Почтовая карточка. Орнелла Мути ;  ;  ;  ;  ; 3 ; fadeev.dima ; 159 
 6298 ; Почтовая карточка. Шерон Стоун ;  ;  ;  ;  ; 2 ; Meshok ; 140 
 6299 ; Почтовая карточка. Шерон Стоун ;  ;  ;  ;  ; 4 ; Meshok ; 140 
 6300 ; Почтовая карточка. Анжелина Джоли ;  ;  ;  ;  ; 3 ; cr2952 ; 137 
 6301 ; Почтовая карточка. Мерлин Монро ;  ;  ;  ;  ; 3 ; cr2952 ; 137 
 6302 ; Почтовая карточка. Мерлин Монро ;  ;  ;  ;  ; 3 ; cr2952 ; 137 
 6303 ; Почтовая карточка. Мерлин Монро ;  ;  ;  ;  ; 3 ; cr2952 ; 137 
 6304 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6305 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6306 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6307 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 3 ; cr2952 ; 137 
 6308 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 3 ; cr2952 ; 137 
 6309 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 4 ; птичка16 ; 140 
 6310 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 4 ; птичка16 ; 140 
 6311 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 11 ; птичка16 ; 160 
 6312 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 4 ; птичка16 ; 140 
 6313 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 3 ; 220W ; 140 
 6314 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 2 ; cr2952 ; 137 
 6315 ; Лот почтовых карточек  (4 штуки)  "Военные песни" ; 1942-1943 ;  ;  ;  ; 26 ; Fortyna 12 ; 592 
 6316 ; Лот почтовых карточек  (4 штуки) "Белкин, Ксенофонтов, Авилов,Заколодин" подряд 4 заказа типографии №№ 346, 347,348,349 ; 1944 ;  ;  ;  ; 49 ; лена ; 1281 
 6317 ; Лот почтовых карточек (5 штук) Изд. "Искусство",  "ВОВ" ; 1943 ;  ;  ;  ; 44 ; Fortyna 12 ; 995 
 6318 ; Лот почтовых конвертов со спецгашением (15 штук) Олимпиада-80 ;  ;  ;  ;  ; 23 ; Макай ; 38 
 6319 ; Лот почтовых карточек, конвертов и писем( 10 штук) ;  ;  ;  ;  ; 22 ; Приор ; 340 
 6320 ; Лот почтовых конвертов со спецгашением (14 штук) 60-тилетие образования СССР ;  ;  ;  ;  ; 3 ; кравчий ; 34 
 6321 ; Лот почтовых конвертов со спецгашением (15 штук)  "Филателистические выставки" ;  ;  ;  ;  ; 11 ; Мигрант ; 51 
 6401 ; Работа Татьяны Викторовой. Первый снег. 2020 ;  ;  ;  ;  ; 27 ; hmel-v ; 465 
 6402 ; Работа Татьяны Викторовой. Память. 2019 ;  ;  ;  ;  ; 56 ; hmel-v ; 614 
 6403 ; Авторский принт Марии Мишкарёвой. Маффины с ягодами ;  ;  ;  ;  ; 18 ; ska ; 319 
 6404 ; Капсулы для монет – 14 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 16 ; кандрат ; 199 
 6405 ; Капсулы для монет – 15 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 46 ; CoinM ; 202 
 6406 ; Капсулы для монет – 16 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343993 ;  ;  ;  ;  ; 13 ; Анатолий57 ; 216 
