 4420 ; Бона иностранная ;  ;  ;  ;  ; 34 ; kozerog ; 36 
 4321 ; Бона иностранная ;  ;  ;  ;  ; 2 ; у44 ; 33 
 4322 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Беломорочка ; 31 
 4323 ; Бона иностранная ;  ;  ;  ;  ; 16 ; кве ; 101 
 4324 ; Бона иностранная ;  ;  ;  ;  ; 26 ; vitalik19 ; 30 
 4325 ; Бона иностранная ;  ;  ;  ;  ; 30 ; kaa123 ; 31 
 4326 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ИЮМов1 ; 30 
 4327 ; Бона иностранная ;  ;  ;  ;  ; 13 ; vitalik19 ; 30 
 4328 ; Бона иностранная ;  ;  ;  ;  ; 13 ; vitalik19 ; 30 
 4329 ; Бона иностранная ;  ;  ;  ;  ; 15 ; vitalik19 ; 30 
 4330 ; Бона иностранная ;  ;  ;  ;  ; 19 ; vitalik19 ; 36 
 4331 ; Бона иностранная ;  ;  ;  ;  ; 11 ; andysayan ; 12 
 4332 ; Бона иностранная ;  ;  ;  ;  ; 30 ; andysayan ; 30 
 4333 ; Бона иностранная ;  ;  ;  ;  ; 30 ; andysayan ; 30 
 4334 ; Бона иностранная ;  ;  ;  ;  ; 25 ; vitalik19 ; 30 
 4335 ; Бона иностранная ;  ;  ;  ;  ; 31 ; kaa123 ; 31 
 4336 ; Бона иностранная ;  ;  ;  ;  ; 31 ; kaa123 ; 31 
 4337 ; Бона иностранная ;  ;  ;  ;  ; 17 ; vitalik19 ; 34 
 4338 ; Бона иностранная ;  ;  ;  ;  ; 26 ; kaa123 ; 31 
 4339 ; Бона иностранная ;  ;  ;  ;  ; 22 ; vitalik19 ; 30 
 4340 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 661 ; 24 
 4341 ; Бона иностранная ;  ;  ;  ;  ; 23 ; kozerog ; 30 
 4342 ; Бона иностранная ;  ;  ;  ;  ; 23 ; vitalik19 ; 30 
 4343 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Матадор ; 50 
 4344 ; Бона иностранная ;  ;  ;  ;  ; 19 ; kozerog ; 30 
 4345 ; Бона иностранная ;  ;  ;  ;  ; 3 ; AIK60 ; 40 
 4346 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 661 ; 24 
 4347 ; Бона иностранная ;  ;  ;  ;  ; 25 ; 661 ; 25 
 4348 ; Бона иностранная ;  ;  ;  ;  ; 7 ; СЁМА ; 61 
 4349 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kozerog ; 30 
 4350 ; Бона иностранная ;  ;  ;  ;  ; 2 ; kozerog ; 33 
 4351 ; Бона иностранная ;  ;  ;  ;  ; 26 ; vitalik19 ; 30 
 4352 ; Бона иностранная ;  ;  ;  ;  ; 27 ; sasa1369 ; 27 
 4353 ; Бона иностранная ;  ;  ;  ;  ; 2 ; mirumir ; 33 
 4354 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 32 
 4355 ; Бона иностранная ;  ;  ;  ;  ; 30 ; sasa1369 ; 30 
 4356 ; Бона иностранная ;  ;  ;  ;  ; 28 ; andysayan ; 30 
 4357 ; Бона иностранная ;  ;  ;  ;  ; 17 ; kent01 ; 44 
 4358 ; Бона иностранная ;  ;  ;  ;  ; 30 ; vitalik19 ; 30 
 4359 ; Бона иностранная ;  ;  ;  ;  ; 4 ; СЁМА ; 31 
 4360 ; Бона иностранная ;  ;  ;  ;  ; 12 ; СЁМА ; 39 
 4361 ; Бона иностранная ;  ;  ;  ;  ; 18 ; vitalik19 ; 30 
 4362 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kent01 ; 30 
 4363 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Беломорочка ; 31 
 4364 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Беломорочка ; 41 
 4365 ; Бона иностранная ;  ;  ;  ;  ; 32 ; kaa123 ; 44 
 4366 ; Бона иностранная ;  ;  ;  ;  ; 16 ; sikachai ; 80 
 4367 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 30 
 4368 ; Бона иностранная ;  ;  ;  ;  ; 16 ; kotyamoi ; 37 
 4369 ; Бона иностранная ;  ;  ;  ;  ; 21 ; kotyamoi ; 37 
 4270 ; Бона иностранная ;  ;  ;  ;  ; 23 ; сс400 ; 24 
 4271 ; Бона иностранная ;  ;  ;  ;  ; 23 ; andysayan ; 30 
 4272 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 32 
 4273 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 32 
 4274 ; Бона иностранная ;  ;  ;  ;  ; 25 ; kozerog ; 26 
 4275 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 661 ; 24 
 4276 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 661 ; 24 
 4277 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 32 
 4278 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 661 ; 24 
 4279 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 661 ; 24 
 4280 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 32 
 4281 ; Бона иностранная ;  ;  ;  ;  ; 13 ; vitalik19 ; 30 
 4282 ; Бона иностранная ;  ;  ;  ;  ; 13 ; vitalik19 ; 30 
 4283 ; Бона иностранная ;  ;  ;  ;  ; 34 ; mirumir ; 130 
 4284 ; Бона иностранная ;  ;  ;  ;  ; 40 ; mirumir ; 130 
 4285 ; Бона иностранная ;  ;  ;  ;  ; 27 ; andorf ; 30 
 4286 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 661 ; 24 
 4287 ; Бона иностранная ;  ;  ;  ;  ; 25 ; andorf ; 30 
 4288 ; Бона иностранная ;  ;  ;  ;  ; 25 ; СЁМА ; 40 
 4289 ; Бона иностранная ;  ;  ;  ;  ; 30 ; kozerog ; 30 
 4290 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kent01 ; 35 
 4291 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ек ; 34 
 4292 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 661 ; 24 
 4293 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kozerog ; 30 
 4294 ; Бона иностранная ;  ;  ;  ;  ; 5 ; сс400 ; 24 
 4295 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 661 ; 23 
 4296 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 32 
 4297 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 32 
 4298 ; Бона иностранная ;  ;  ;  ;  ; 2 ; kozerog ; 33 
 4299 ; Бона иностранная ;  ;  ;  ;  ; 10 ; у44 ; 30 
 4300 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 32 
 4301 ; Бона иностранная ;  ;  ;  ;  ; 2 ; kaa123 ; 33 
 4302 ; Бона иностранная ;  ;  ;  ;  ; 18 ; mirumir ; 53 
 4303 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 32 
 4304 ; Бона иностранная ;  ;  ;  ;  ; 2 ; СЁМА ; 33 
 4305 ; Бона иностранная ;  ;  ;  ;  ; 8 ; mirumir ; 56 
 4306 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kozerog ; 38 
 4307 ; Бона иностранная ;  ;  ;  ;  ; 13 ; mirumir ; 123 
 4308 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Almarc ; 44 
 4309 ; Бона иностранная ;  ;  ;  ;  ; 30 ; andysayan ; 30 
 4310 ; Бона иностранная ;  ;  ;  ;  ; 2 ; kent01 ; 33 
 4311 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ек ; 47 
 4312 ; Бона иностранная ;  ;  ;  ;  ; 8 ; ек ; 51 
 4313 ; Бона иностранная ;  ;  ;  ;  ; 14 ; ИЮМов1 ; 80 
 4314 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Almarc ; 33 
 4315 ; Бона иностранная ;  ;  ;  ;  ; 6 ; у44 ; 71 
 4316 ; Бона иностранная ;  ;  ;  ;  ; 6 ; AIK60 ; 60 
 4317 ; Бона иностранная ;  ;  ;  ;  ; 19 ; andorf ; 218 
 4318 ; Бона иностранная ;  ;  ;  ;  ; 16 ; andorf ; 106 
 4319 ; Бона иностранная ;  ;  ;  ;  ; 13 ; AIK60 ; 81 
 4220 ; Бона иностранная ;  ;  ;  ;  ; 16 ; сс400 ; 24 
 4221 ; Бона иностранная ;  ;  ;  ;  ; 40 ; andorf ; 48 
 4222 ; Бона иностранная ;  ;  ;  ;  ; 22 ; kozerog ; 34 
 4223 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kozerog ; 30 
 4224 ; Бона иностранная ;  ;  ;  ;  ; 21 ; ек ; 22 
 4225 ; Бона иностранная ;  ;  ;  ;  ; 24 ; kozerog ; 25 
 4226 ; Бона иностранная ;  ;  ;  ;  ; 24 ; kozerog ; 25 
 4227 ; Бона иностранная ;  ;  ;  ;  ; 21 ; ек ; 22 
 4228 ; Бона иностранная ;  ;  ;  ;  ; 26 ; kozerog ; 25 
 4229 ; Бона иностранная ;  ;  ;  ;  ; 24 ; kozerog ; 24 
 4230 ; Бона иностранная ;  ;  ;  ;  ; 23 ; andorf ; 30 
 4231 ; Бона иностранная ;  ;  ;  ;  ; 21 ; ек ; 22 
 4232 ; Бона иностранная ;  ;  ;  ;  ; 24 ; andysayan ; 25 
 4233 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kozerog ; 30 
 4234 ; Бона иностранная ;  ;  ;  ;  ; 21 ; ек ; 22 
 4235 ; Бона иностранная ;  ;  ;  ;  ; 9 ; у44 ; 70 
 4236 ; Бона иностранная ;  ;  ;  ;  ; 21 ; 661 ; 24 
 4237 ; Бона иностранная ;  ;  ;  ;  ; 21 ; 661 ; 22 
 4238 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Матадор ; 100 
 4239 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kozerog ; 30 
 4240 ; Бона иностранная ;  ;  ;  ;  ; 21 ; 661 ; 24 
 4241 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Germanfox ; 47 
 4242 ; Бона иностранная ;  ;  ;  ;  ; 23 ; ек ; 24 
 4243 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Матадор ; 30 
 4244 ; Бона иностранная ;  ;  ;  ;  ; 23 ; andysayan ; 30 
 4245 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Матадор ; 30 
 4246 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Беломорочка ; 91 
 4247 ; Бона иностранная ;  ;  ;  ;  ; 23 ; сс400 ; 24 
 4248 ; Бона иностранная ;  ;  ;  ;  ; 16 ; 661 ; 28 
 4249 ; Бона иностранная ;  ;  ;  ;  ; 19 ; 661 ; 21 
 4250 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kozerog ; 31 
 4251 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kozerog ; 30 
 4252 ; Бона иностранная ;  ;  ;  ;  ; 20 ; kozerog ; 32 
 4253 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kozerog ; 30 
 4254 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 661 ; 25 
 4255 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kozerog ; 30 
 4256 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kozerog ; 30 
 4257 ; Бона иностранная ;  ;  ;  ;  ; 37 ; Беломорочка ; 101 
 4258 ; Бона иностранная ;  ;  ;  ;  ; 30 ; sobiranel ; 30 
 4259 ; Бона иностранная ;  ;  ;  ;  ; 2 ; kozerog ; 33 
 4260 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Матадор ; 55 
 4261 ; Бона иностранная ;  ;  ;  ;  ; 29 ; Беломорочка ; 111 
 4262 ; Бона иностранная ;  ;  ;  ;  ; 24 ; сс400 ; 24 
 4263 ; Бона иностранная ;  ;  ;  ;  ; 25 ; andorf ; 30 
 4264 ; Бона иностранная ;  ;  ;  ;  ; 25 ; andorf ; 30 
 4265 ; Бона иностранная ;  ;  ;  ;  ; 25 ; andorf ; 30 
 4266 ; Бона иностранная ;  ;  ;  ;  ; 24 ; vitalik19 ; 30 
 4267 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ек ; 24 
 4268 ; Бона иностранная ;  ;  ;  ;  ; 18 ; andysayan ; 25 
 4269 ; Бона иностранная ;  ;  ;  ;  ; 17 ; andorf ; 30 
 4170 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 4171 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4172 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4173 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4174 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4175 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4176 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4177 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 30 
 4178 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 30 
 4179 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4180 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4181 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 30 
 4182 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4183 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4184 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 30 
 4185 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Майкл ; 42 
 4186 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Майкл ; 42 
 4187 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 30 
 4188 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 30 
 4189 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 4190 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 30 
 4191 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 30 
 4192 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 30 
 4193 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 31 
 4194 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4195 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 32 
 4196 ; Бона иностранная ;  ;  ;  ;  ; 2 ; у44 ; 23 
 4197 ; Бона иностранная ;  ;  ;  ;  ; 2 ; у44 ; 24 
 4198 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 32 
 4199 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4200 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4201 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kotyamoi ; 37 
 4202 ; Бона иностранная ;  ;  ;  ;  ; 4 ; sos1 ; 47 
 4203 ; Бона иностранная ;  ;  ;  ;  ; 22 ; sos1 ; 53 
 4204 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 32 
 4205 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 32 
 4206 ; Бона иностранная ;  ;  ;  ;  ; 6 ; у44 ; 24 
 4207 ; Бона иностранная ;  ;  ;  ;  ; 6 ; у44 ; 24 
 4208 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 30 
 4209 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 30 
 4210 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 30 
 4211 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Матадор ; 30 
 4212 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kozerog ; 26 
 4213 ; Бона иностранная ;  ;  ;  ;  ; 17 ; kozerog ; 25 
 4214 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 661 ; 25 
 4215 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 661 ; 15 
 4216 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kozerog ; 26 
 4217 ; Бона иностранная ;  ;  ;  ;  ; 26 ; kozerog ; 26 
 4218 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Матадор ; 49 
 4219 ; Бона иностранная ;  ;  ;  ;  ; 24 ; andysayan ; 25 
 4120 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 33 ; 661 ; 306 
 4121 ; 250 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 53 ; у44 ; 1054 
 4122 ; 5 рублей ; 1919 ; Закаспийское Временное Правительство ;  ;  ; 44 ; monos72 ; 1106 
 4123 ; 50 рублей ; 1919 ; Закаспийское Временное Правительство ;  ;  ; 44 ; QSCl ; 1003 
 4124 ; 100 рублей ; 1919 ; Закаспийское Временное Правительство ;  ;  ; 71 ; koga ; 572 
 4125 ; 50 рублей ; 1919 ; Закаспийское Временное Правительство ;  ;  ; 31 ; monos72 ; 1000 
 4126 ; 500 рублей ; 1919 ; Грузия ;  ;  ; 12 ; raise ; 189 
 4127 ; 1000 рублей ; 1920 ; Грузия ;  ;  ; 19 ; raise ; 112 
 4128 ; 10000 рублей ; 1923 ; Закавказье ;  ;  ; 34 ; Vb[fksx ; 540 
 4129 ; 1000 рублей ; 1923 ; Закавказье ;  ;  ; 15 ; Vb[fksx ; 400 
 4130 ; 5000 рублей ; 1921 ; Грузия ;  ;  ; 11 ; koga ; 104 
 4131 ; 10000 рублей ; 1922 ; Грузия ;  ;  ; 35 ; GenyM ; 317 
 4132 ; Билет 2 вещевой лотереи деткомиссии при ВЦИК ; 1927 ;  ;  ;  ; 38 ; flyfisher74 ; 862 
 4133 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 32 ; raise ; 836 
 4134 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 54 ; Germanfox ; 966 
 4135 ; 50 рублей ; 1899 ; Тимашев 1903. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 40 ; uz ; 5667 
 4136 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 9 ; koga ; 35 
 4137 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 31 ; Let ; 220 
 4138 ; 250 рублей. Кооператив Володарец ; 1923 ;  ;  ;   ; 42 ; lvd ; 1249 
 4139 ; 1 рубль. Крюковское ОП ;  ;  ;  ;  ; 23 ; lvd ; 1106 
 4140 ; 5 рублей. Крюковское ОП ;  ;  ;  ;  ; 106 ; сс400 ; 997 
 4141 ; 1 рубль. Александровское пожарное общество ;  ;  ;  ;  ; 55 ; lvd ; 1191 
 4142 ; 1 рубль. Второе Нижне-Тагильское ОП ; 1916 ;  ;  ;  ; 46 ; lvd ; 1488 
 4143 ; 2 копейки. Волгубрабкоп ; 1924 ;  ;  ;  ; 25 ; сс400 ; 969 
 4144 ; 25 копеек. Волгубрабкоп ; 1924 ;  ;  ;  ; 21 ; сс400 ; 1000 
 4145 ; 50 копеек. Волгубрабкоп ; 1924 ;  ;  ;  ; 34 ; lvd ; 1414 
 4146 ; 1 рубль. Волгубрабкоп ; 1924 ;  ;  ;  ; 38 ; shneyder ; 1010 
 4147 ; 1 рубль ; 1864 ; Гос.кредитные билеты разменных касс экспедиции кредитных билетов ;  ;  ; 102 ; ек ; 6250 
 4148 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 42 ; 661 ; 276 
 4149 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 44 ; elefant1965 ; 459 
 4150 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 22 ; KROT151 ; 459 
 4151 ; Облигация Военного займа ; 1915 ;  ;  ;  ; 11 ; УФА ; 351 
 4152 ; Облигация Военного займа ; 1916 ;  ;  ;  ; 6 ; 661 ; 267 
 4153 ; Облигация Военного займа ; 1916 ;  ;  ;  ; 19 ; 661 ; 348 
 4154 ; Облигация Военного займа ; 1916 ;  ;  ;  ; 3 ; 661 ; 250 
 4155 ; Облигация Военного займа ; 1916 ;  ;  ;  ; 3 ; 661 ; 250 
 4156 ; Российский 3% золотой заем. Облигация ; 1896 ;  ;  ;  ; 55 ; armu ; 350 
 4157 ; Свидетельство крестьянского поземельного банка ; 1912 ;  ;  ;  ; 25 ; УФА ; 357 
 4158 ; Облигация Северо-Восточной уральской ж/д ; 1912 ;  ;  ;  ; 10 ; 661 ; 369 
 4159 ; Облигация Алтайской ж/д ; 1912 ;  ;  ;  ; 34 ; lvovich ; 500 
 4160 ; Облигация Олонецкой ж/д ; 1914 ;  ;  ;  ; 41 ; lvovich ; 1456 
 4161 ; Облигация Бухарской ж/д ; 1914 ;  ;  ;  ; 16 ; Майкл ; 393 
 4162 ; Облигация Ферганской ж/д ; 1914 ;  ;  ;  ; 26 ; lvovich ; 663 
 4163 ; Облигация Черноморской ж/д ; 1913 ;  ;  ;  ; 54 ; lvovich ; 663 
 4164 ; Облигация Кахетинской ж/д ; 1912 ;  ;  ;  ; 53 ; lvovich ; 1554 
 4165 ; 25 рублей. Образец ; 1947 ; билет ;  ;  ; 60 ; QSCl ; 2756 
 4166 ; 50 рублей. Образец ; 1947 ; билет ;  ;  ; 41 ; у44 ; 2756 
 4167 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 34 
 4168 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 30 
 4169 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 4070 ; 10000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 34 ; shneyder ; 510 
 4071 ; 10 рублей ; 1953 ;  ;  ;  ; 11 ; lina-I ; 120 
 4072 ; 50 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 8 ; AnvlaSar6216 ; 185 
 4073 ; 100 рублей ; 1919 ; Азербайджан ;  ;  ; 30 ; koga ; 179 
 4074 ; 50 рублей ; 1919 ;  ;  ;  ; 23 ; у44 ; 185 
 4075 ; 25 рублей ; 1918 ;  ;  ;  ; 31 ; Germanfox ; 158 
 4076 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 24 ; RICH ; 55 
 4077 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 9 ; RICH ; 37 
