 5972 ; Бона иностранная Югославия ;  ;  ;  ; AU ; 15 ; sneg ; 39 
 5851 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 58 ; dinkini ; 501 
 5852 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 53 ; Экзот ; 869 
 5853 ; Бона иностранная Испания ;  ;  ;  ; AU ; 17 ; sibirian ; 111 
 5854 ; Бона иностранная Испания ;  ;  ;  ; AU ; 22 ; Stanislavskiy-89 ; 411 
 5855 ; Бона иностранная Люксенбург ;  ;  ;  ;  ; 14 ; derk02 ; 164 
 5856 ; Бона иностранная Израиль ;  ;  ;  ; AU ; 21 ; maksbelov ; 112 
 5857 ; Бона иностранная Финляндия ; 1918 ;  ;  ;  ; 25 ; Stanislavskiy-89 ; 159 
 5858 ; Бона иностранная Финляндия ; 1918 ;  ;  ;  ; 65 ; alex241 ; 806 
 5859 ; Бона иностранная Финляндия ; 1918 ;  ;  ;  ; 37 ; alex241 ; 357 
 5860 ; Ценная бумага Великобритания ; 1895 ;  ;  ;  ; 24 ; von_Schwarz ; 556 
 5861 ; Ценная бумага Нидерланды ; 1916 ;  ;  ;  ; 9 ; sneg ; 116 
 5862 ; Лот бон иностранных 2 шт. Индонезия ;  ;  ;  ;  ; 29 ; maximilian2204 ; 308 
 5863 ; Бона иностранная Финляндия ; 1922 ;  ;  ;  ; 35 ; nikfed ; 2154 
 5864 ; Бона иностранная Финляндия ; 1945 ;  ;  ;  ; 27 ; Monata ; 969 
 5865 ; Бона иностранная Финляндия ; 1955 ;  ;  ;  ; 30 ; tss ; 250 
 5866 ; Бона иностранная Финляндия ; 1922 ;  ;  ;  ; 13 ; mishael07 ; 143 
 5867 ; Бона иностранная Финляндия ; 1945 ;  ;  ;  ; 23 ; alex241 ; 478 
 5868 ; Бона иностранная Финляндия ; 1918 ;  ;  ;  ; 19 ; alex241 ; 567 
 5869 ; Бона иностранная Финляндия ; 1945 ;  ;  ;  ; 22 ; папашаГарпагон ; 277 
 5870 ; Бона иностранная Финляндия ; 1963 ;  ;  ;  ; 34 ; Hamlet ; 128 
 5871 ; Бона иностранная Финляндия ; 1980 ;  ;  ;  ; 22 ; середа ; 100 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 50 ; electra ; 204 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 15 ; flutter ; 102 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Моряк-собиратель ; 408 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 10 ; flutter ; 80 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 19 ; медалькин ; 85 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 34 ; трутень ; 290 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 16 ; flutter ; 101 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 25 ; медалькин ; 165 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 10 ; цеховик ; 40 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 9 ; медалькин ; 101 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 45 ; FonPaul ; 216 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 6 ; цеховик ; 50 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 5 ; FonPaul ; 101 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 18 ; FonPaul ; 153 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 19 ; flutter ; 159 
 5629 ; Бона иностранная ;  ;  ;  ;  ; 13 ; FonPaul ; 123 
 5630 ; Бона иностранная ;  ;  ;  ;  ; 14 ; flutter ; 101 
 5631 ; Бона иностранная ;  ;  ;  ;  ; 22 ; FonPaul ; 204 
 5632 ; Бона иностранная ;  ;  ;  ;  ; 17 ; flutter ; 136 
 5633 ; Бона иностранная ;  ;  ;  ;  ; 16 ; aleks51 ; 50 
 5634 ; Бона иностранная ;  ;  ;  ;  ; 12 ; maximilian2204 ; 31 
 5635 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Бармалей ; 160 
 5636 ; Бона иностранная ;  ;  ;  ;  ; 14 ; FonPaul ; 101 
 5637 ; Бона иностранная ;  ;  ;  ;  ; 9 ; wwn ; 100 
 5638 ; Бона иностранная ;  ;  ;  ;  ; 20 ; flutter ; 80 
 5639 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ек ; 116 
 5640 ; Бона иностранная ;  ;  ;  ;  ; 19 ; я8844 ; 128 
 5641 ; Бона иностранная ;  ;  ;  ;  ; 21 ; ек ; 80 
 5800 ; Бона иностранная Германия ;  ;  ;  ; AU ; 24 ; vicktor_2014 ; 354 
 5801 ; Бона иностранная Германия ;  ;  ;  ; AU ; 31 ; nikfed ; 680 
 5802 ; Бона иностранная Германия ;  ;  ;  ;  ; 29 ; nikfed ; 999 
 5803 ; Бона иностранная Германия ;  ;  ;  ;  ; 42 ; u10257 ; 681 
 5804 ; Бона иностранная Германия ;  ;  ;  ;  ; 25 ; torbey ; 906 
 5805 ; Бона иностранная Германия ;  ;  ;  ;  ; 22 ; smel ; 270 
 5806 ; Нотгельд  Германия на ткани ;  ;  ;  ; XF ; 34 ; air ; 1734 
 5807 ; Бона иностранная Франция ;  ;  ;  ; XF ; 22 ; flutter ; 969 
 5808 ; Бона иностранная Франция ;  ;  ;  ; XF ; 28 ; vasek ; 918 
 5809 ; Бона иностранная Польша ;  ;  ;  ;  ; 7 ; Бармалей ; 339 
 5810 ; Бона иностранная Польша ;  ;  ;  ;  ; 17 ; Бармалей ; 408 
 5811 ; Бона иностранная Польша ;  ;  ;  ;  ; 35 ; doc2 ; 833 
 5812 ; Бона иностранная Польша ;  ;  ;  ;  ; 8 ; doc2 ; 300 
 5813 ; Бона иностранная Польша ;  ;  ;  ;  ; 5 ; bogdlena ; 201 
 5814 ; Бона иностранная Польша ;  ;  ;  ;  ; 22 ; doc2 ; 680 
 5815 ; Бона иностранная Польша ;  ;  ;  ;  ; 38 ; doc2 ; 1122 
 5816 ; Бона иностранная Польша ;  ;  ;  ;  ; 33 ; doc2 ; 1122 
 5817 ; Бона иностранная Польша ;  ;  ;  ;  ; 10 ; doc2 ; 400 
 5818 ; Бона иностранная Польша ;  ;  ;  ;  ; 35 ; doc2 ; 1122 
 5819 ; Бона иностранная Польша ;  ;  ;  ;  ; 41 ; doc2 ; 1428 
 5820 ; Бона иностранная Польша ;  ;  ;  ;  ; 4 ; doc2 ; 327 
 5821 ; Бона иностранная Литва ;  ;  ;  ;  ; 24 ; bonipari ; 611 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 13 ; maksbelov ; 73 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 20 ; середа ; 68 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Папа с рацией ; 101 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sneg ; 30 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 34 ; smel ; 164 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 19 ; derk02 ; 149 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 9 ; maximilian2204 ; 30 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 9 ; maximilian2204 ; 34 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 10 ; maximilian2204 ; 32 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 17 ; середа ; 39 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 11 ; середа ; 120 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 42 ; derk02 ; 528 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 15 ; середа ; 135 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 42 ; electra ; 408 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Hamlet ; 34 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 7 ; teso ; 101 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ъхз ; 36 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 21 ; середа ; 118 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 7 ; середа ; 91 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 15 ; maximilian2204 ; 31 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Rober ; 23 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 12 ; maximilian2204 ; 35 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 6 ; maximilian2204 ; 30 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 5 ; maximilian2204 ; 34 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Моряк-собиратель ; 102 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 12 ; akula ; 79 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 9 ; maximilian2204 ; 34 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 21 ; karman ; 42 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 8 ; курт ; 38 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 7 ; середа ; 34 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 37 ; трутень ; 55 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 18 ; prostor.71 ; 69 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 8 ; prostor.71 ; 36 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 6 ; prostor.71 ; 41 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 333985 ; 104 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Hamlet ; 57 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 18 ; flutter ; 80 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 11 ; FonPaul ; 51 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 5 ; FonPaul ; 51 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 5 ; FonPaul ; 51 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 14 ; FonPaul ; 82 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 6 ; FonPaul ; 51 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 14 ; FonPaul ; 123 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 11 ; середа ; 106 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 33 ; pref ; 181 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 13 ; stabah ; 65 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 28 ; середа ; 32 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 6 ; sneg ; 30 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 9 ; середа ; 44 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 21 ; flutter ; 153 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Бармалей ; 179 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Monata ; 113 
