 5888 ; Бона иностранная 2 шт ;  ;  ;  ;  ; 11 ; doiu33 ; 339 
 5874 ; Лот бон 6 шт ;  ;  ;  ;  ; 8 ; Папа с рацией ; 340 
 5875 ; Лот бон 14 шт ;  ;  ;  ;  ; 40 ; VOLKODAVS5 ; 513 
 5876 ; Лот бон 6 шт ;  ;  ;  ;  ; 27 ; bva150979 ; 227 
 5877 ; Лот бон 8 шт ;  ;  ;  ;  ; 36 ; VOLKODAVS5 ; 306 
 5878 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ZIMOGOR ; 226 
 5879 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Fliege1 ; 262 
 5880 ; Бона иностранная ;  ;  ;  ;  ; 32 ; nikfed ; 1530 
 5881 ; Бона иностранная ;  ;  ;  ;  ; 13 ; andreyM ; 111 
 5882 ; Бона иностранная ;  ;  ;  ;  ; 16 ; nikfed ; 283 
 5883 ; Бона иностранная ;  ;  ;  ;  ; 33 ; nikfed ; 215 
 5884 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Приор ; 112 
 5885 ; Лот бон 3 шт ;  ;  ;  ;  ; 23 ; mart_si ; 278 
 5886 ; Бона иностранная 2 шт ;  ;  ;  ;  ; 36 ; altunin ; 420 
 5887 ; Бона иностранная 3 шт ;  ;  ;  ;  ; 14 ; andreyM ; 360 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 13 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 15 ; veter44 ; 30 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 16 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 16 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 17 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 6 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 17 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 23 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 23 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 23 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 23 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 23 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 23 
 5801 ; Бона иностранная. Бельгия ; 1947 ;  ;  ;  ; 62 ; Wasabi ; 793 
 5802 ; Бона иностранная. Испания ; 1979 ;  ;  ;  ; 51 ; nikfed ; 440 
 5803 ; Бона иностранная. Испания ; 1925 ;  ;  ;  ; 20 ; VOLKODAVS5 ; 153 
 5804 ; Бона иностранная. Испания ; 1928 ;  ;  ;  ; 26 ; VOLKODAVS5 ; 169 
 5805 ; Бона иностранная. Испания ; 1928 ;  ;  ;  ; 18 ; mart_si ; 164 
 5806 ; Бона иностранная. Испания ; 1928 ;  ;  ;  ; 17 ; VOLKODAVS5 ; 163 
 5807 ; Бона иностранная. Испания ; 1951 ;  ;  ;  ; 17 ; nikfed ; 166 
 5808 ; Бона иностранная. Испания ; 1953 ;  ;  ;  ; 23 ; nikfed ; 147 
 5809 ; Бона иностранная. Испания ; 1951 ;  ;  ;  ; 18 ; demodex ; 129 
 5810 ; Бона иностранная. Испания ; 1948 ;  ;  ;  ; 20 ; nikfed ; 156 
 5811 ; Бона иностранная. Барселона ; 1937 ;  ;  ;  ; 40 ; Wasabi ; 261 
 5812 ; Бона иностранная. Нидерланды ; 1949 ;  ;  ;  ; 18 ; Папа с рацией ; 71 
 5813 ; Бона иностранная. Нидерланды ; 1949 ;  ;  ;  ; 14 ; Папа с рацией ; 63 
 5814 ; Бона иностранная. Франция ; 1980 ;  ;  ;  ; 14 ; bva150979 ; 45 
 5815 ; Лот бон 3 шт. Лихтенштейн ;  ;  ;  ;  ; 10 ; ctepanovich ; 837 
 5816 ; Бона иностранная. Аргентина ; 1947 ;  ;  ;  ; 11 ; val211 ; 38 
 5817 ; Бона иностранная. Аргентина ;  ;  ;  ;  ; 10 ; парам ; 38 
 5818 ; Бона иностранная. Германия ;  ;  ;  ;  ; 8 ; electra ; 104 
 5819 ; Бона иностранная. Германия ;  ;  ;  ;  ; 5 ; luda ; 53 
 5820 ; Бона иностранная. Германия ;  ;  ;  ;  ; 12 ; torbey ; 79 
 5821 ; Бона иностранная. Германия ;  ;  ;  ;  ; 17 ; 06031983 ; 201 
 5822 ; Бона иностранная. Германия ;  ;  ;  ;  ; 26 ; nikfed ; 257 
 5823 ; Бона иностранная. Германия ;  ;  ;  ;  ; 12 ; Elephant ; 26 
 5824 ; Бона иностранная. Германия ;  ;  ;  ;  ; 12 ; 7755 ; 31 
 5825 ; Бона иностранная. Германия ;  ;  ;  ;  ; 21 ; nikfed ; 55 
 5826 ; Бона иностранная. Германия ;  ;  ;  ;  ; 16 ; nikfed ; 102 
 5827 ; Бона иностранная. Германия ;  ;  ;  ;  ; 18 ; ВалеН ; 72 
 5828 ; Бона иностранная. Германия ;  ;  ;  ;  ; 7 ; 06031983 ; 101 
 5829 ; Бона иностранная. Германия ;  ;  ;  ;  ; 22 ; electra ; 236 
 5830 ; Бона иностранная. Германия ;  ;  ;  ;  ; 22 ; SANGOLD1 ; 359 
 5831 ; Бона иностранная. Германия ;  ;  ;  ;  ; 13 ; 06031983 ; 118 
 5832 ; Бона иностранная. Германия ;  ;  ;  ;  ; 12 ; doiu33 ; 124 
 5833 ; Бона иностранная. Германия ;  ;  ;  ;  ; 18 ; SANGOLD1 ; 554 
 5834 ; Бона иностранная. Германия ;  ;  ;  ;  ; 11 ; 06031983 ; 97 
 5835 ; Бона иностранная. Германия ;  ;  ;  ;  ; 26 ; gerber68 ; 192 
 5836 ; Лот бон иностранных 6 шт ;  ;  ;  ;  ; 35 ; MaRgo ; 159 
 5837 ; Лот нотгельдов 2 шт ;  ;  ;  ;  ; 15 ; ВалеН ; 82 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 23 ; ZIMOGOR ; 101 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Папа с рацией ; 101 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Папа с рацией ; 101 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 15 ; vicktor_2014 ; 228 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ъхз ; 192 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ББосс ; 30 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Bambr ; 81 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 5 ; газета ; 28 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Папа с рацией ; 70 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 14 ; парам ; 112 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ББосс ; 30 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 6 ; я8844 ; 34 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Алёша ; 101 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Алёша ; 317 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 333985 ; 226 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Алёша ; 227 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 21 ; 333985 ; 57 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Алёша ; 31 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 68 ; Guu_chi ; 120 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Guu_chi ; 128 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Папа с рацией ; 101 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Папа с рацией ; 101 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ъхз ; 99 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 21 ; газета ; 63 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 17 ; 06031983 ; 143 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 11 ; газета ; 84 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 14 ; MaRgo ; 42 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 13 ; electra ; 63 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 15 ; VOLKODAVS5 ; 38 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 12 ; скорпион_48 ; 30 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 6 ; electra ; 102 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Папа с рацией ; 99 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ъхз ; 69 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 11 ; газета ; 101 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 333985 ; 143 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 15 ; demodex ; 77 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Bambr ; 110 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 7755 ; 36 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 27 ; 333985 ; 83 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 30 ; torbey ; 204 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 14 ; torbey ; 204 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 333985 ; 41 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 38 ; Туборг ; 305 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 27 ; nikfed ; 150 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 42 ; 06031983 ; 901 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 20 ; 06031983 ; 301 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 15 ; torbey ; 120 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 6 ; я8844 ; 23 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 4 ; я8844 ; 23 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 12 
 5390 ; Лист купонов от облигации. Российский 4% золотой заем. ОБРАЗЕЦ ; 1894 ;  ;  ;  ; 19 ; kont ; 510 
 5391 ; Лист купонов от облигации. Российский 3% золотой заем. ОБРАЗЕЦ ; 1891 ;  ;  ;  ; 29 ; kont ; 510 
 5392 ; Бона 100 рублей. Сочи 2014. Серия АА ;  ;  ;  ;  ; 35 ; Henneberg_A ; 303 
 5393 ; Бона 100 рублей. Сочи 2014. Серия АА ;  ;  ;  ;  ; 29 ; Henneberg_A ; 305 
 5394 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 36 ; Henneberg_A ; 305 
 5395 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 14 ; ddrakon44ik ; 299 
 5396 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ;  ; 40 ; idalgo-17 ; 2654 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 9 ; VOLKODAVS5 ; 47 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 14 ; electra ; 77 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 3 ; sos1 ; 114 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 19 ; nikfed ; 226 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 17 ; nikfed ; 155 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 8 ; ББосс ; 30 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 333985 ; 45 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 333985 ; 34 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 333985 ; 36 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 9 ; я8844 ; 26 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 16 ; vitaliy036 ; 79 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 11 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Gorood ; 51 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 13 ; val211 ; 30 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Приор ; 175 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Папа с рацией ; 102 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 10 ; скорпион_48 ; 57 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 16 ; MaRgo ; 31 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 06031983 ; 50 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 117 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Приор ; 204 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 8 ; VOLKODAVS5 ; 55 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 11 ; газета ; 51 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Папа с рацией ; 87 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 19 ; 333985 ; 50 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 7 ; tss ; 101 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 33 ; nikfed ; 173 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Папа с рацией ; 60 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Папа с рацией ; 102 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 4 ; val211 ; 30 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Папа с рацией ; 102 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Запруда ; 38 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 8 ; val211 ; 30 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Папа с рацией ; 102 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Папа с рацией ; 101 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 12 ; MaRgo ; 48 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Запруда ; 46 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Gorood ; 36 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Gorood ; 38 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 45 ; газета ; 48 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 9 ; VOLKODAVS5 ; 30 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 30 ; 06031983 ; 301 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 25 ; andreyM ; 101 
 5340 ; Лот бон 4 шт. 50,100,200 рублей ; 1961-1992 ;  ;  ;  ; 69 ; Ксения ; 642 
 5341 ; 50 тысяч рублей №АА 5412356 ; 1995 ; банкнота ;  ;  ; 30 ; alex241 ; 738 
 5342 ; 5000 рублей. Брак (загиб листа) ; 1997 ;  ;  ;  ; 60 ; 收集者 ; 9180 
 5343 ; 10 рублей. 10 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; VOLKODAVS5 ; 319 
 5344 ; 10 рублей. 10 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 5 ; VOLKODAVS5 ; 281 
 5345 ; 10 рублей. 10 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; сортам70 ; 312 
 5346 ; 5 рублей. 10 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; VagusUltra ; 312 
 5347 ; 5 рублей. 10 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 11 ; VagusUltra ; 318 
 5348 ; 5000 рублей ; 1919 ;  ;  ;  ; 23 ; zsefvg ; 510 
 5349 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 27 ; zsefvg ; 208 
 5350 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 29 ; xladon ; 1889 
 5351 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 28 ; yuri.gruzdev ; 317 
 5352 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 17 ; fouli ; 232 
 5353 ; Лот бон 5 шт. 5 рублей ; 1934,1938 ;  ;  ;  ; 17 ; mart_si ; 944 
 5354 ; Лот бон 5 шт. 5 рублей ; 1938 ;  ;  ;  ; 26 ; сортам70 ; 776 
 5355 ; Лот бон 3 шт. 3 червонца ; 1937 ;  ;  ;  ; 24 ; сортам70 ; 509 
 5356 ; Лотерейный билет "ОСОАВИАХИМА" ; 1939 ;  ;  ;  ; 19 ; Туборг ; 212 
 5357 ; Лот бон 2 шт ;  ;  ;  ;  ; 12 ; DNV73 ; 62 
 5358 ; Лот бон 5 шт ;  ;  ;  ;  ; 40 ; 111111 ; 816 
 5359 ; Лот бон 3 шт ;  ;  ;  ;  ; 10 ; MaRgo ; 312 
 5360 ; Лот бон 4 шт ;  ;  ;  ;  ; 37 ; MaRgo ; 542 
 5361 ; Лот бон 3 шт ;  ;  ;  ;  ; 42 ; Алек ; 724 
 5362 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 41 ; 06031983 ; 1326 
 5363 ; 1000 рублей ; 1919 ;  ;  ;  ; 43 ; zsefvg ; 510 
 5364 ; 500 рублей ; 1918 ;  ;  ;  ; 43 ; Волк33 ; 463 
 5365 ; 5 рублей ; 1918 ;  ;  ;  ; 42 ; xladon ; 1275 
 5366 ; Облигация в 125 рублей золотом. Императорское Российское Правительство. ; 1889 ;  ;  ;  ; 5 ; зимой ; 306 
 5367 ; Облигация в 187 рублей 50 копеек. Российский государственный 5% заем ; 1906 ;  ;  ;  ; 31 ; luda ; 452 
 5368 ; Облигация в 187 рублей 50 копеек. Российский государственный 4.5% заем ; 1909 ;  ;  ;  ; 24 ; denis2225 ; 439 
 5369 ; Облигация в 1000 германских марок. Общество Курско-Харьково-Азовской железной дороги ; 1889 ;  ;  ;  ; 16 ; luda ; 368 
 5370 ; Облигация в 125 рублей. Николаевская железная дорога ; 1867 ;  ;  ;  ; 18 ; Максимус ; 354 
 5371 ; Закладной лист на 150 рублей. Государственный дворянский земельный банк ; 1897 ;  ;  ;  ; 14 ; shnitt1 ; 261 
 5372 ; Облигация в 125 рублей. Императорское Российское правительство ; 1889 ;  ;  ;  ; 12 ; Максимус ; 300 
 5373 ; Облигация в 125 рублей. Российский 3% золотой заем ; 1894 ;  ;  ;  ; 14 ; solder13 ; 368 
 5374 ; Облигация в 125 рублей. Российский 3% золотой заем. ; 1891 ;  ;  ;  ; 16 ; Максимус ; 407 
 5375 ; Облигация на 125 рублей. Императорское Российское Правительство ; 1880 ;  ;  ;  ; 16 ; Максимус ; 300 
 5376 ; Облигация ; 1955 ;  ;  ;  ; 46 ; veter44 ; 59 
 5377 ; Лот бон 5 шт ;  ;  ;  ;  ; 22 ; Алёша ; 793 
 5378 ; Лот бон 6 шт ;  ;  ;  ;  ; 19 ; master_mt5 ; 1505 
 5379 ; Лот бон 6 шт ;  ;  ;  ;  ; 14 ; Алёша ; 532 
 5380 ; Облигация 6 шт ;  ;  ;  ;  ; 10 ; volkov ; 513 
 5381 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 29 ; 06031983 ; 1101 
 5382 ; 1000 рублей ; 1919 ;  ;  ;  ; 23 ; SANGOLD1 ; 357 
 5383 ; Облигация в сто рублей. Государственный военный краткосрочный заем ; 1915 ;  ;  ;  ; 13 ; GtF ; 327 
 5384 ; Облигация в сто рублей. Государственный военный краткосрочный заем ; 1916 ;  ;  ;  ; 9 ; тютю ; 255 
 5385 ; Облигация в сто рублей. Государственный военный краткосрочный заем ; 1916 ;  ;  ;  ; 10 ; solder13 ; 255 
 5386 ; Лист купонов от облигации. Российский 4% золотой заем. ОБРАЗЕЦ ; 1889 ;  ;  ;  ; 17 ; kont ; 510 
 5387 ; Лист купонов от облигации. Российский 3.5% золотой заем.ОБРАЗЕЦ ; 1894 ;  ;  ;  ; 19 ; kont ; 510 
 5388 ; Лист купонов от облигации. Российский 4% золотой заем. ОБРАЗЕЦ ; 1889 ;  ;  ;  ; 19 ; master_mt5 ; 153 
 5389 ; Лист купонов от облигации. Российский 4% золотой заем. ОБРАЗЕЦ ; 1889 ;  ;  ;  ; 17 ; kont ; 510 
 5090 ; 3 рубля.Ставрополь ; 1919 ;  ;  ;  ; 16 ; bonist-3A ; 946 
 5091 ; 10 рублей ; 1920 ;  ;  ;  ; 11 ; скорпион_48 ; 575 
 5092 ; 50 рублей ; 1919 ;  ;  ;  ; 15 ; bon15041980 ; 1329 
 5093 ; 1 рубль золотом ; 1928 ; Гос.казначейские билеты СССР ;  ;  ; 21 ; RusScat ; 2040 
 5094 ; 1 червонец ; 1926 ; Калманович, Горбунов. Билет ;  ;  ; 30 ; unkas79 ; 1303 
 5095 ; 100 рублей ; 1898 ; Коншин 1910 г. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 32 ; Deathbrain ; 3978 
 5096 ; 1000000 рублей ; 1921 ; Обязательства РСФСР 1921 г. ;  ;  ; 16 ; bva150979 ; 3538 
 5097 ; 10000 рублей ; 1922 ; Обязательства РСФСР ;  ;  ; 20 ; masterovoi ; 6120 
 5098 ; 1000 рублей ; 1916 ; 5% кр.обязательства ;  ;  ; 33 ; Nikkk ; 3401 
 5099 ; 5000 рублей ; 1918 ;  ;  ;  ; 32 ; sos1 ; 3183 
 5100 ; 5000 рублей ; 1917 ; 5% кр.обязательства ;  ;  ; 15 ; 4758 ; 2030 
 5301 ; 5 рублей ; 1866 ; вензель А II Гос.кредитные билеты разменной касы гос.банка ;  ;  ; 85 ; nb ; 11111 
 5302 ; 1 рубль ; 1861 ; упр.Ламанский Гос.кредитные билеты разменных касс экспедиции кредитных билетов ;  ;  ; 46 ; masterovoi ; 13266 
 5303 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 44 ; Vitaly26 ; 480 
 5304 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 27 ; Vitaly26 ; 410 
 5305 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 21 ; cr2952 ; 225 
