 251 ; 2 копейки ; 1862 ; ВМ ; Cu ; VF ; 19 ; Участник № 9 ; 3800 
 212 ; Жетон. В память коронации Николая I ; 1826 ;  ; Ag ; XF/AU ; 70 ; 995953 ; 5327 
 213 ; 5 копеек. Очень редкие ; 1726 ; НД Дата сверху вниз ; Cu ; VF- ; 54 ; Участник № 9 ; 95000 
 214 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF ; 28 ; Hauk ; 2607 
 215 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; F-VF ; 11 ; 55-ILIA ; 2790 
 216 ; 5 копеек ; 1911 ; СПБ ; Cu ; XF+ ; 15 ; Hauk ; 1000 
 217 ; 2 копейки ; 1860 ; ЕМ ; Cu ; VF-XF ; 15 ; Sky2 ; 1134 
 218 ; Деньга ; 1797 ; ЕМ ; Cu ; VF ; 21 ; Участник № 100 ; 1500 
 219 ; Денежка ; 1858 ; ЕМ ; Cu ; XF- ; 22 ; patriot ; 1122 
 220 ; 1/4 копейки ; 1840 ; ЕМ ; Cu ; XF+ ; 31 ; Участник № 100 ; 2400 
 221 ; 1/4 копейки ; 1842 ; СПМ ; Cu ; XF+ ; 17 ; rizovtpl ; 1587 
 222 ; Полушка ; 1850 ; ЕМ ; Cu ; XF ; 32 ; 55-ILIA ; 567 
 223 ; Полушка ; 1853 ; ЕМ ; Cu ; XF+ ; 27 ; Участник № 18 ; 2500 
 224 ; Полушка ; 1856 ; ЕМ ; Cu ; XF ; 30 ; Участник № 100 ; 1700 
 225 ; 1/4 копейки ; 1876 ; СПБ ; Cu ; AU ; 25 ; нумизмат ; 3000 
 226 ; 1/4 копейки ; 1883 ; СПБ ; Cu ; AU ; 17 ; Участник № 18 ; 4400 
 227 ; 1/4 копейки ; 1885 ; СПБ ; Cu ; AU ; 13 ; нумизмат ; 3000 
 228 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; XF ; 22 ; Hauk ; 1969 
 229 ; 2 копейки ; 1810 ; КМ ; Cu ; VF+ ; 13 ; Седой ; 1334 
 230 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; VF-XF ; 17 ; SSK ; 561 
 231 ; 2 копейки ; 1812 ; КМ ; Cu ; VF+ ; 15 ; ddr ; 1632 
 232 ; 5 копеек ; 1912 ; СПБ ; Cu ; VF-XF ; 14 ; Sky2 ; 4000 
 233 ; Рубль ; 1835 ; СПБ НГ ; Ag ; VF ; 26 ; Участник № 9 ; 9500 
 234 ; 3/4 рубля-5 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; VF-XF ; 18 ; boroda ; 3927 
 235 ; 10 копеек (Петров-6р, Ильин-3р) ; 1766 ; "Сибирь" ; Cu ; F-VF ; 47 ; boroda ; 15447 
 236 ; 5 копеек (Петров-9р, Ильин-10р) ; 1787 ; ТМ ; Cu ; VF ; 43 ; kristofel ; 41820 
 237 ; 5 копеек (Петров-40, Ильин-20р) ; 1787 ; ТМ ; Cu ; VF ; 32 ; 55555 ; 75000 
 238 ; 5 копеек (Петров-1р) ; 1788 ; СПМ ; Cu ; VF+ ; 38 ; 439 ; 6500 
 239 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 15 ; Участник № 140 ; 4000 
 240 ; 5 копеек (Петров-2р, Ильин-1р) ; 1802 ; КМ ; Cu ; VF-XF ; 70 ; boroda ; 23926 
 241 ; 5 копеек ; 1810 ; ЕМ ; Cu ; VF+ ; 39 ; нумизмат ; 12909 
 242 ; 3 копейки (Ильин-1р) ; 1861 ; ВМ ; Cu ; XF ; 51 ; Участник № 392 ; 41000 
 243 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF+ ; 43 ; Участник № 147 ; 3200 
 244 ; 2 копейки (Петров-7р, Ильин-3р) ; 1767 ; СПМ ; Cu ; F-VF ; 17 ; boroda ; 3062 
 245 ; 2 копейки ; 1767 ; КМ "Сибирь" ; Cu ; VF- ; 14 ; 3458 ; 3600 
 246 ; 2 копейки ; 1788 ; ММ ; Cu ; VF ; 11 ; Участник № 9 ; 1400 
 247 ; 2 копейки (Петров-1р, Ильин-2р) ; 1803 ; ЕМ ; Cu ; VF-XF ; 28 ; Участник № 100 ; 19000 
 248 ; 2 копейки (Петров-3р, Ильин-3р) ; 1810 ; КМ МК ; Cu ; VF- ; 23 ; Участник № 140 ; 12500 
 249 ; 2 копейки ; 1811 ; СПБ ПС ; Cu ; AU ; 52 ; Участник № 51 ; 15000 
 250 ; 2 копейки ; 1843 ; СПМ ; Cu ; VF ; 7 ; Участник № 51 ; 4400 
 151 ; 10 пенни ; 1891 ; Финляндия ; Cu ; XF- ; 24 ; andreyx  ; 8500 
 152 ; 1 пенни ; 1891 ; Финляндия ; Cu ; XF ; 11 ; hugo ; 465 
 153 ; Копейка ; 1892 ; СПБ ; Cu ; XF ; 19 ; saal ; 1900 
 154 ; 5 пенни ; 1892 ; Финляндия ; Cu ; VF ; 16 ; Участник № 18 ; 1700 
 155 ; 1 пенни ; 1892 ; Финляндия ; Cu ; AU ; 13 ; hugo ; 465 
 156 ; 1 пенни ; 1893 ; Финляндия ; Cu ; Unc/AU ; 3 ; 0987654321 ; 1530 
 157 ; Полтина ; 1894 ; (АГ) ; Ag ; VF-XF ; 30 ; Zигмунт ; 9552 
 158 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; AU ; 45 ; kosta ; 18728 
 159 ; 1 пенни ; 1894 ; Финляндия ; Cu ; VF-XF ; 9 ; hugo ; 453 
 160 ; 25 копеек ; 1895 ; АГ ; Ag ; XF/AU ; 39 ; andreyx  ; 5156 
 161 ; 1/2 копейки ; 1895 ; СПБ ; Cu ; AU/XF ; 34 ; Участник № 147 ; 1200 
 162 ; 10 пенни ; 1895 ; Финляндия ; Cu ; AU/XF ; 12 ; Участник № 392 ; 3200 
 163 ; 1 пенни ; 1895 ; Финляндия ; Cu ; XF ; 13 ; hugo ; 453 
 164 ; 25 копеек ; 1896 ; АГ ; Ag ; XF/AU ; 19 ; Участник № 1104 ; 2700 
 165 ; Копейка ; 1896 ; СПБ ; Cu ; AU ; 16 ; Участник № 51 ; 3400 
 166 ; Рубль ; 1897 ; ( ** ) ; Ag ; AU ; 22 ; Участник № 1341 ; 6200 
 167 ; 1 пенни ; 1898 ; Финляндия ; Cu ; Unc/AU ; 3 ; Участник № 147 ; 260 
 168 ; 25 пенни ; 1899 ; L Финляндия ; Ag ; XF ; 5 ; Участник № 9 ; 340 
 169 ; 3 копейки ; 1899 ; СПБ ; Cu ; XF/AU ; 83 ; Участник № 147 ; 3200 
 170 ; 1 пенни ; 1899 ; Финляндия ; Cu ; AU ; 9 ; 462 ; 340 
 171 ; 10 пенни ; 1900 ; Финляндия ; Cu ; XF- ; 21 ; leo 2 ; 1530 
 172 ; 1 пенни ; 1900 ; Финляндия ; Cu ; Unc/AU ; 6 ; Участник № 132 ; 280 
 173 ; 25 пенни ; 1901 ; L Финляндия ; Ag ; XF+ ; 3 ; Участник № 392 ; 160 
 174 ; 5 пенни ; 1901 ; Финляндия ; Cu ; Unc/AU ; 9 ; Участник № 545 ; 3400 
 175 ; 1 пенни ; 1901 ; Финляндия ; Cu ; AU ; 9 ; 462 ; 255 
 176 ; 1 пенни ; 1902 ; Финляндия ; Cu ; AU ; 17 ; AVA01 ; 1100 
 177 ; 1 пенни ; 1903 ; Финляндия ; Cu ; AU ; 5 ; Участник № 147 ; 160 
 178 ; 1 пенни ; 1904 ; Финляндия ; Cu ; AU ; 9 ; Участник № 9 ; 900 
 179 ; 2 марки ; 1906 ; L Финляндия ; Ag ; XF- ; 11 ; АВлад ; 1700 
 180 ; 3 копейки ; 1906 ; СПБ ; Cu ; XF ; 27 ; VYZ ; 6120 
 181 ; 2 копейки ; 1906 ; СПБ ; Cu ; AU ; 7 ; AVA01 ; 5500 
 182 ; 1 марка ; 1907 ; L Финляндия ; Ag ; AU/XF ; 12 ; Участник № 132 ; 900 
 183 ; 2 марки ; 1908 ; L Финляндия ; Ag ; AU/XF ; 19 ; Участник № 51 ; 2600 
 184 ; 3 копейки ; 1908 ; СПБ ; Cu ; AU ; 17 ; AVA01 ; 4500 
 185 ; 10 пенни ; 1908 ; Финляндия ; Cu ; XF+/XF- ; 16 ; hugo ; 1020 
 186 ; 5 пенни ; 1908 ; Финляндия ; Cu ; AU/XF ; 3 ; Участник № 18 ; 1500 
 187 ; 3 копейки ; 1909 ; СПБ ; Cu ; AU ; 15 ; AVA01 ; 5500 
 188 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; XF- ; 21 ; qwesda ; 8000 
 189 ; 25 пенни ; 1910 ; L Финляндия ; Ag ; AU/XF ; 9 ; Участник № 392 ; 2000 
 190 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; AU ; 23 ; Участник № 1341 ; 5400 
 191 ; 50 пенни ; 1911 ; L Финляндия ; Ag ; AU ; 7 ; Участник № 132 ; 160 
 192 ; Полтина ; 1912 ; (ЭБ) АГ ; Ag ; AU ; 10 ; 0987654321 ; 2400 
 193 ; 3 копейки ; 1912 ; СПБ ; Cu ; AU ; 15 ; Участник № 18 ; 2600 
 194 ; 25 пенни ; 1913 ; S Финляндия ; Ag ; Unc/AU ; 3 ; Участник № 132 ; 110 
 195 ; Рубль ; 1914 ; (ВС) ; Ag ; XF- ; 30 ; krokodil ; 23800 
 196 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; AU ; 34 ; Участник № 132 ; 7000 
 197 ; Рубль ; 1915 ; (ВС) ; Ag ; AU ; 40 ; Участник № 1104 ; 20000 
 198 ; 1 марка ; 1915 ; S Финляндия ; Ag ; Unc/AU ; 9 ; pmaster ; 906 
 199 ; 5 пенни ; 1915 ; Финляндия ; Cu ; AU ; 6 ; Участник № 132 ; 160 
 200 ; 10 пенни ; 1916 ; Финляндия ; Cu ; Unc/AU ; 5 ; Участник № 100 ; 270 
 101 ; 2 копейки ; 1863 ; ВМ ; Cu ; VF+ ; 22 ; serg2010 ; 3570 
 102 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 31 ; Участник № 1080 ; 1300 
 103 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 37 ; Участник № 51 ; 3600 
 104 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; XF+ ; 29 ; Участник № 4 ; 4000 
 105 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; XF/AU ; 19 ; Участник № 51 ; 3200 
 106 ; 2 марки ; 1865 ; S Финляндия ; Ag ; XF- ; 14 ; rizovtpl ; 1347 
 107 ; 1 марка ; 1865 ; S Финляндия ; Ag ; XF- ; 7 ; dimon46 ; 819 
 108 ; 2 копейки ; 1865 ; ЕМ ; Cu ; XF- ; 19 ; Участник № 18 ; 2200 
 109 ; 5 пенни ; 1865 ; Финляндия ; Cu ; VF+ ; 11 ; Участник № 392 ; 2100 
 110 ; 1 пенни ; 1865 ; Финляндия ; Cu ; AU ; 60 ; ShSerg ; 7500 
 111 ; 2 марки ; 1866 ; S Финляндия ; Ag ; VF-XF ; 9 ; Олег2401 ; 1200 
 112 ; 1 марка ; 1866 ; S Финляндия ; Ag ; AU/XF ; 55 ; Участник № 100 ; 17000 
 113 ; 5 пенни ; 1866 ; Финляндия ; Cu ; AU/XF ; 8 ; Участник № 636 ; 14000 
 114 ; 10 пенни ; 1867 ; Финляндия ; Cu ; XF ; 16 ; Участник № 392 ; 2700 
 115 ; 5 пенни ; 1867 ; Финляндия ; Cu ; XF ; 12 ; Участник № 636 ; 1500 
 116 ; 1 пенни ; 1867 ; Финляндия ; Cu ; AU/XF ; 31 ; Участник № 51 ; 2900 
 117 ; 5 рублей. М-6,54г ; 1868 ; СПБ НI ; Au ; XF ; 26 ; Участник № 51 ; 29000 
 118 ; 5 копеек ; 1868 ; СПБ HI ; Ag ; XF/AU ; 11 ; Участник № 4 ; 4400 
 119 ; 2 марки ; 1870 ; S Финляндия ; Ag ; XF- ; 10 ; leo 2 ; 1532 
 120 ; 5 пенни ; 1870 ; Финляндия ; Cu ; VF+ ; 15 ; нумизмат ; 4000 
 121 ; 5 копеек ; 1871 ; СПБ HI ; Ag ; XF/AU ; 43 ; Участник № 51 ; 4600 
 122 ; 5 копеек ; 1872 ; СПБ HI ; Ag ; XF+ ; 33 ; AVA01 ; 13000 
 123 ; 50 пенни ; 1872 ; S Финляндия ; Ag ; AU ; 39 ; Участник № 51 ; 16000 
 124 ; 5 пенни ; 1873 ; Финляндия ; Cu ; XF ; 9 ; Участник № 636 ; 3000 
 125 ; 20 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 25 ; 25 ; 2200 
 126 ; 2 марки ; 1874 ; S Финляндия ; Ag ; XF- ; 7 ; Олег2401 ; 1020 
 127 ; Рубль ; 1875 ; СПБ HI ; Ag ; VF+/VF ; 51 ; Zигмунт ; 15222 
 128 ; 1 пенни ; 1875 ; Финляндия ; Cu ; XF ; 24 ; Участник № 392 ; 2300 
 129 ; 10 копеек ; 1876 ; СПБ HI ; Ag ; XF+ ; 71 ; Участник № 7 ; 850 
 130 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 97 ; ddr ; 6505 
 131 ; 5 копеек ; 1879 ; СПБ НФ ; Ag ; AU/XF ; 35 ; ddr ; 6500 
 132 ; Полтина ; 1880 ; СПБ НФ ; Ag ; XF+/XF ; 72 ; krokodil ; 30600 
 133 ; 15 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 21 ; vvt ; 6500 
 134 ; 10 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 16 ; serg2010 ; 2040 
 135 ; 5 копеек ; 1880 ; СПБ НФ ; Ag ; XF+ ; 71 ; serg2010 ; 8941 
 136 ; 5 копеек ; 1881 ; СПБ НФ ; Ag ; VF-XF ; 39 ; Участник № 636 ; 4000 
 137 ; 1 пенни ; 1883 ; Финляндия ; Cu ; AU ; 27 ; 0987654321 ; 510 
 138 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 34 ; stalker71 ; 2948 
 139 ; 20 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 15 ; Участник № 1080 ; 3200 
 140 ; 15 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 67 ; AVA01 ; 11000 
 141 ; 1/2 копейки ; 1887 ; СПБ ; Cu ; AU ; 33 ; tisa66 ; 2163 
 142 ; 1/4 копейки ; 1888 ; СПБ ; Cu ; XF ; 21 ; ZOLTAN333 ; 3600 
 143 ; 5 пенни ; 1888 ; Финляндия ; Cu ; VF-XF ; 16 ; Участник № 636 ; 550 
 144 ; 1 пенни ; 1888 ; Финляндия ; Cu ; XF ; 7 ; hugo ; 498 
 145 ; 1/2 копейки ; 1889 ; СПБ ; Cu ; AU/XF ; 11 ; Участник № 1341 ; 1300 
 146 ; 5 пенни ; 1889 ; Финляндия ; Cu ; AU ; 7 ; Участник № 392 ; 3200 
 147 ; 1 марка ; 1890 ; L Финляндия ; Ag ; AU/XF ; 13 ; int1965708 ; 2652 
 148 ; 10 пенни ; 1890 ; Финляндия ; Cu ; VF-XF ; 19 ; andreyx  ; 5500 
 149 ; 50 пенни ; 1891 ; L Финляндия ; Ag ; AU/XF ; 13 ; int1965708 ; 2400 
 150 ; 25 пенни ; 1891 ; L Финляндия ; Ag ; AU ; 13 ; Участник № 392 ; 3100 
 51 ; Полтина ; 1819 ; СПБ ПС ; Ag ; VF+ ; 39 ; Участник № 392 ; 11000 
 52 ; Абаз ; 1819 ; АТ Грузия ; Ag ; VF+ ; 35 ; Участник № 392 ; 22000 
 53 ; 2 копейки ; 1820 ; ЕМ НМ ; Cu ; VF-XF ; 15 ; Участник № 51 ; 6500 
 54 ; 20 копеек ; 1821 ; СПБ ПД ; Ag ; VF-XF ; 20 ; Участник № 18 ; 1200 
 55 ; Рубль ; 1823 ; СПБ ПД ; Ag ; VF+ ; 28 ; serg2010 ; 3776 
 56 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; VF+ ; 22 ; antiquar ; 4400 
 57 ; 25 копеек ; 1827 ; СПБ НГ ; Ag ; VF+ ; 41 ; Zигмунт ; 4533 
 58 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF ; 22 ; int1965708 ; 6276 
 59 ; 5 копеек ; 1833 ; СПБ НГ ; Ag ; XF+ ; 28 ; Fedor_K ; 3944 
 60 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF ; 11 ; kosta ; 5000 
 61 ; Рубль (Ильин-3р) ; 1835 ; СПБ НГ ; Ag ; VF- ; 18 ; Zигмунт ; 11334 
 62 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; VF+ ; 7 ; ААФ ; 453 
 63 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF ; 17 ; Участник № 51 ; 5800 
 64 ; Рубль ; 1837 ; СПБ НГ ; Ag ; XF ; 22 ; 55555 ; 8767 
 65 ; 25 копеек ; 1838 ; СПБ НГ ; Ag ; XF ; 36 ; Zигмунт ; 1738 
 66 ; 5 копеек ; 1838 ; СПБ НГ ; Ag ; XF+ ; 17 ; qwesda ; 2200 
 67 ; 3 копейки ; 1840 ; ЕМ ; Cu ; VF+ ; 27 ; Участник № 168 ; 6500 
 68 ; 5 рублей. М-6,42г ; 1841 ; СПБ АЧ ; Au ; XF+/XF- ; 115 ; saal ; 23930 
 69 ; Рубль ; 1841 ; СПБ НГ ; Ag ; AU ; 15 ; dim20022 ; 8000 
 70 ; 2 копейки ; 1842 ; СПМ ; Cu ; VF-XF ; 27 ; ddr ; 4070 
 71 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF- ; 35 ; kosta ; 5202 
 72 ; 5 копеек ; 1843 ; СПБ АЧ ; Ag ; VF-XF ; 72 ; Участник № 636 ; 2600 
 73 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF+ ; 38 ; Участник № 100 ; 11500 
 74 ; 5 копеек ; 1844 ; СПБ КБ ; Ag ; XF+ ; 113 ; Участник № 636 ; 3800 
 75 ; Полтина ; 1845 ; СПБ КБ ; Ag ; VF+ ; 26 ; Участник № 7 ; 4200 
 76 ; 25 копеек-50 грошей ; 1847 ; MW Рус.-Пол. ; Ag ; VF+ ; 29 ; serg2010 ; 3740 
 77 ; 10 копеек ; 1847 ; СПБ ПА ; Ag ; AU/XF ; 18 ; antiquar ; 3966 
 78 ; Рубль ; 1849 ; СПБ ПА ; Ag ; VF-XF ; 26 ; Zигмунт ; 6222 
 79 ; 25 копеек ; 1849 ; СПБ ПА ; Ag ; XF+/XF- ; 30 ; serg2010 ; 3050 
 80 ; Рубль. В капсуле NGC ; 1851 ; СПБ ПА ; Ag ; AU55 ; 30 ; 0987654321 ; 14620 
 81 ; 25 копеек ; 1851 ; СПБ ПА ; Ag ; XF- ; 25 ; Ч.С. ; 2213 
 82 ; Денежка ; 1851 ; ВМ ; Cu ; AU ; 33 ; Участник № 100 ; 26000 
 83 ; 5 рублей. М-6,54г ; 1853 ; СПБ АГ ; Au ; VF+ ; 35 ; sd555 ; 23523 
 84 ; 10 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 44 ; antiquar ; 10082 
 85 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; AU/XF ; 21 ; Участник № 636 ; 2800 
 86 ; Рубль ; 1855 ; СПБ HI ; Ag ; AU/XF ; 43 ; 0987654321 ; 17265 
 87 ; 3 копейки ; 1855 ; ЕМ ; Cu ; VF+ ; 25 ; ddr ; 7130 
 88 ; Полушка ; 1855 ; ЕМ ; Cu ; XF+ ; 33 ; kol ; 2965 
 89 ; Полушка ; 1855 ; ВМ ; Cu ; VF-XF ; 38 ; Участник № 9 ; 16000 
 90 ; Денежка ; 1856 ; ВМ ; Cu ; XF ; 37 ; Участник № 51 ; 22000 
 91 ; Полушка ; 1856 ; ЕМ ; Cu ; XF- ; 22 ; antiquar ; 1328 
 92 ; Рубль ; 1857 ; СПБ ФБ ; Ag ; VF-XF ; 60 ; Участник № 147 ; 42000 
 93 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 19 ; Участник № 51 ; 3200 
 94 ; 20 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 31 ; 462 ; 4000 
 95 ; 3 копейки ; 1858 ; ЕМ ; Cu ; VF ; 22 ; pmaster ; 878 
 96 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF ; 28 ; Fedor_K ; 8500 
 97 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 11 ; Участник № 132 ; 1100 
 98 ; Денежка ; 1861 ; ВМ ; Cu ; VF-XF ; 26 ; Участник № 100 ; 9000 
 99 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 21 ; tisa66 ; 1530 
 100 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 25 ; Участник № 51 ; 3200 
 1 ; Полтина ; 1704 ; МД ; Ag ; F-VF ; 47 ; dim20022 ; 48000 
 2 ; Рубль ; 1723 ;  ; Ag ; VF-XF ; 23 ; Zигмунт ; 26067 
 3 ; Полтина (Петров-3р) ; 1723 ;  ; Ag ; VF ; 30 ; dim20022 ; 34794 
 4 ; Рубль ; 1727 ;  ; Ag ; VF-XF ; 43 ; int1965708 ; 44268 
 5 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; F-VF ; 45 ; lsp25 ; 2193 
 6 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; F-VF ; 37 ; Участник № 9 ; 2100 
 7 ; Рубль ; 1732 ;  ; Ag ; VF-XF ; 38 ; dantist ; 18207 
 8 ; Полтина ; 1733 ;  ; Ag ; VF+ ; 36 ; dim20022 ; 17723 
 9 ; Полуполтинник ; 1746 ; ММД ; Ag ; VF ; 29 ; Участник № 18 ; 5500 
 10 ; Рубль ; 1754 ; СПБ IM BS ; Ag ; VF+ ; 57 ; Участник № 100 ; 30000 
 11 ; Копейка (Петров-2р, Ильин-1р) ; 1756 ;  ; Cu ; VF+ ; 30 ; Участник № 147 ; 16000 
 12 ; 2 копейки (Ильин-10р) ; 1759 ; Номинал над гербом ; Cu ; F-VF ; 63 ; Участник № 147 ; 21000 
 13 ; 6 грошей ; 1760 ; Для Пруссии ; Ag ; VF ; 32 ; PSP ; 3245 
 14 ; 10 копеек ; 1762 ;  ; Cu ; VF- ; 28 ; serg2010 ; 21828 
 15 ; 4 копейки ; 1762 ;  ; Cu ; F-VF ; 28 ; гуддил ; 8491 
 16 ; 2 копейки ; 1762 ;  ; Cu ; F-VF ; 39 ; гуддил ; 9492 
 17 ; Рубль ; 1764 ; ММД EI TI ; Ag ; VF+ ; 50 ; Участник № 66 ; 26000 
 18 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; VF+ ; 40 ; Sky2 ; 12000 
 19 ; 10 копеек (Петров-5р, Ильин-3р) ; 1767? ; "Сибирь" ; Cu ; F-VF ; 13 ; 1234567 ; 4080 
 20 ; 5 копеек (Ильин-3р) ; 1768 ; ММ ; Cu ; F-VF ; 89 ; 55555 ; 7747 
 21 ; Гривенник ; 1769 ; СПБ TI ; Ag ; VF/XF- ; 20 ; Участник № 51 ; 2400 
 22 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; VF- ; 40 ; Sky2 ; 6630 
 23 ; Рубль (Петров-4р) ; 1777 ; СПБ ФЛ ; Ag ; XF/AU ; 27 ; нумизмат ; 36727 
 24 ; 5 копеек (Петров-5р) ; 1780 ; КМ "Сибирь" ; Cu ; VF+ ; 23 ; кабан ; 13000 
 25 ; Полубисти ; 1781 ; Грузия ; Cu ; F-VF ; 66 ; Участник № 545 ; 14000 
 26 ; 20 копеек ; 1784 ; СПБ ; Ag ; AU ; 38 ; Участник № 51 ; 19000 
 27 ; 5 копеек. Брак гурчения. М-35,16гр ; 1785 ; ЕМ ; Cu ; F-VF ; 5 ; Участник № 147 ; 650 
 28 ; 5 копеек ; 1787 ; ТМ ; Cu ; F-VF ; 23 ; Участник № 100 ; 24000 
