 5865 ; Бона иностранная. Перу ;  ;  ;  ; AU ; 63 ; mart_si ; 223 
 5830 ; Бона иностранная. Аргентина ;  ;  ;  ; AU ; 33 ; цеховик ; 102 
 5831 ; Бона иностранная. Аргентина ;  ;  ;  ; AU ; 24 ; Cosmos ; 50 
 5832 ; Бона иностранная. Аргентина ;  ;  ;  ; AU ; 20 ; zamectitel ; 73 
 5833 ; Бона иностранная. Аргентина ;  ;  ;  ; AU ; 26 ; Cosmos ; 39 
 5834 ; Бона иностранная. Аргентина ;  ;  ;  ; AU ; 12 ; scipion ; 58 
 5835 ; Бона иностранная. Аргентина ;  ;  ;  ; AU ; 43 ; Cosmos ; 102 
 5836 ; Бона иностранная. Аргентина ;  ;  ;  ; AU ; 4 ; цеховик ; 21 
 5837 ; Бона иностранная. Эквадор ;  ;  ;  ; AU ; 27 ; джон08 ; 128 
 5838 ; Бона иностранная. Боливия ;  ;  ;  ; AU ; 13 ; Папа с рацией ; 88 
 5839 ; Бона иностранная. Доминикана ;  ;  ;  ; AU ; 23 ; джон08 ; 121 
 5840 ; Бона иностранная. Колумбия ;  ;  ;  ; AU ; 42 ; Hamlet ; 164 
 5841 ; Бона иностранная. Перу ;  ;  ;  ; AU ; 36 ; 2128508 ; 203 
 5842 ; Бона иностранная. Уругвай ;  ;  ;  ; AU ; 28 ; -IROKEZ- ; 124 
 5843 ; Бона иностранная. Перу ;  ;  ;  ; AU ; 8 ; Папа с рацией ; 41 
 5844 ; Бона иностранная. Перу ;  ;  ;  ; AU ; 10 ; Папа с рацией ; 62 
 5845 ; Бона иностранная. Перу ;  ;  ;  ; AU ; 25 ; джон08 ; 108 
 5846 ; Бона иностранная. Перу ;  ;  ;  ; AU ; 20 ; джон08 ; 118 
 5847 ; Бона иностранная. Венесуела ;  ;  ;  ; AU ; 40 ; bva150979 ; 134 
 5848 ; Бона иностранная. Венесуела ;  ;  ;  ; AU ; 42 ; bva150979 ; 108 
 5849 ; Бона иностранная. Никарагуа ;  ;  ;  ; AU ; 10 ; mart_si ; 82 
 5850 ; Бона иностранная. Никарагуа ;  ;  ;  ; AU ; 35 ; cr2952 ; 91 
 5851 ; Бона иностранная. Никарагуа ;  ;  ;  ; AU ; 19 ; джон08 ; 115 
 5852 ; Бона иностранная. Никарагуа ;  ;  ;  ; AU ; 19 ; джон08 ; 105 
 5853 ; Бона иностранная. Никарагуа ;  ;  ;  ; AU ; 9 ; джон08 ; 89 
 5854 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 10 ; Ксения ; 51 
 5855 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 15 ; zamectitel ; 100 
 5856 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 7 ; Ксения ; 30 
 5857 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 7 ; zamectitel ; 100 
 5858 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 15 ; Papanator62 ; 102 
 5859 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 23 ; zamectitel ; 100 
 5860 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 14 ; aurin1 ; 46 
 5861 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 20 ; scipion ; 87 
 5862 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 14 ; aurin1 ; 46 
 5863 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 10 ; scipion ; 89 
 5864 ; Бона иностранная. Бразилия ;  ;  ;  ; AU ; 20 ; aurin1 ; 41 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 16 ; scipion ; 55 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 15 ; -IROKEZ- ; 150 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Папа с рацией ; 105 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 10 ; -IROKEZ- ; 124 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Кoчeвниk ; 61 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 21 ; MDV ; 133 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Cosmos ; 23 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 19 ; gdrg2 ; 92 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 12 ; scipion ; 153 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 4 ; я8844 ; 21 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 8 ; -IROKEZ- ; 114 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 14 ; strutikut ; 363 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Cosmos ; 21 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 10 ; скорпион_48 ; 40 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Брик ; 21 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 29 ; gos ; 453 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Cosmos ; 114 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 16 ; -IROKEZ- ; 108 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 13 ; -IROKEZ- ; 60 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Djek ; 20 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 17 ; vlkorchev ; 108 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 9 ; цеховик ; 53 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Брик ; 21 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Cosmos ; 21 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 20 ; vlkorchev ; 203 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Djek ; 20 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 17 ; vlkorchev ; 203 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 15 ; VOLKODAVS5 ; 147 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Hamlet ; 155 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 17 ; MDV ; 172 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 12 ; cochu ; 164 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 6 ; скорпион_48 ; 25 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 9 ; electra ; 354 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 9 ; electra ; 306 
 5629 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 4758 ; 349 
 5630 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Майкл ; 408 
 5801 ; Бона иностранная. Болгария ;  ;  ;  ; AU ; 28 ; scipion ; 81 
 5802 ; Бона иностранная. Болгария ;  ;  ;  ; AU ; 66 ; scipion ; 609 
 5803 ; Бона иностранная. Турция ;  ;  ;  ; AU ; 14 ; nikfed ; 313 
 5804 ; Бона иностранная. Польша ;  ;  ;  ; AU ; 25 ; станислав-август ; 279 
 5805 ; Бона иностранная. Польша ;  ;  ;  ; AU ; 39 ; нв1975 ; 123 
 5806 ; Бона иностранная. Югославия ;  ;  ;  ; AU ; 11 ; Кoчeвниk ; 46 
 5807 ; Бона иностранная. Югославия ;  ;  ;  ; AU ; 12 ; Кoчeвниk ; 58 
 5808 ; Бона иностранная. Югославия ;  ;  ;  ; AU ; 17 ; Кoчeвниk ; 55 
 5809 ; Бона иностранная. Югославия ;  ;  ;  ; AU ; 12 ; Кoчeвниk ; 48 
 5810 ; Бона иностранная. Югославия ;  ;  ;  ; AU ; 13 ; Кoчeвниk ; 69 
 5811 ; Бона иностранная. Югославия ;  ;  ;  ; AU ; 13 ; Кoчeвниk ; 69 
 5812 ; Бона иностранная. Югославия ;  ;  ;  ; AU ; 17 ; спарта ; 77 
 5813 ; Бона иностранная. Эстония ;  ;  ;  ; AU ; 31 ; dima85 ; 114 
 5814 ; Бона иностранная. Латвия ;  ;  ;  ; AU ; 25 ; -IROKEZ- ; 90 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 13 ; cr2952 ; 31 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Livon ; 42 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 19 ; -IROKEZ- ; 50 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 5 ; -IROKEZ- ; 50 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 14 ; -IROKEZ- ; 100 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 17 ; scipion ; 51 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 11 ; gos ; 60 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 5 ; -IROKEZ- ; 30 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Rober ; 26 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 13 ; -IROKEZ- ; 106 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Папа с рацией ; 101 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Sterh ; 31 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 7 ; scipion ; 23 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 32 ; Gallery ; 203 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 31 ; нв1975 ; 222 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Фест ; 73 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Кoчeвниk ; 104 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 11 ; -IROKEZ- ; 125 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 12 ; -IROKEZ- ; 53 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 8 ; я8844 ; 24 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 18 ; scipion ; 65 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 5 ; scipion ; 30 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 7 ; cr2952 ; 30 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 11 ; max2008 ; 227 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 7 ; -IROKEZ- ; 53 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 12 ; -IROKEZ- ; 123 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 25 ; гугл= ; 43 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 18 ; scipion ; 39 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 6 ; трутень ; 101 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 36 ; Hamlet ; 153 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 17 ; vlkorchev ; 201 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 8 ; -IROKEZ- ; 57 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 17 ; vlkorchev ; 201 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 4 ; gdrg2 ; 36 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 3 ; TiBuL ; 30 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 3 ; TiBuL ; 30 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 24 ; electra ; 150 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 3 ; TiBuL ; 30 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 12 ; zamectitel ; 150 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 15 ; vlkorchev ; 204 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Hamlet ; 153 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 32 ; vlkorchev ; 201 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 21 ; scipion ; 153 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 3 ; гугл= ; 24 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 18 ; -IROKEZ- ; 150 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 10 ; -IROKEZ- ; 57 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 10 ; -IROKEZ- ; 57 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 13 ; я8844 ; 42 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 12 ; -IROKEZ- ; 150 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 10 ; -IROKEZ- ; 150 
 5371 ; Облигация в 400 гульденов. Трамвайное общество Роттердама ; 1960 ;  ;  ;  ; 17 ; siemеns ; 306 
 5372 ; Доля участника. Общество электрических предприятий Брюсселя ; 1944 ;  ;  ;  ; 27 ; siemеns ; 408 
 5373 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 22 ; MDV ; 227 
 5374 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 17 ; MDV ; 225 
 5375 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 16 ; MDV ; 225 
 5376 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 15 ; MDV ; 225 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ВалеН ; 41 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ВалеН ; 46 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 6 ; gdrg2 ; 31 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 6 ; gdrg2 ; 31 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Sky2 ; 621 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ВалеН ; 46 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ВалеН ; 41 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ВалеН ; 41 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ВалеН ; 41 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 12 ; TiBuL ; 50 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 10 ; TiBuL ; 50 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 10 ; TiBuL ; 50 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 14 ; TiBuL ; 50 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 11 ; gdrg2 ; 51 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 9 ; gdrg2 ; 36 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 5 ; TiBuL ; 31 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 5 ; TiBuL ; 31 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 7 ; gdrg2 ; 36 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 7 ; TiBuL ; 35 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 5 ; gdrg2 ; 36 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 15 ; gdrg2 ; 37 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 13 ; suvorova ; 61 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 4758 ; 38 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 9 ; oksmi ; 70 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 9 ; gdrg2 ; 37 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Livon ; 62 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Livon ; 62 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Livon ; 61 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Livon ; 62 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 13 ; vlkorchev ; 101 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 3 ; -IROKEZ- ; 30 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 31 ; -IROKEZ- ; 101 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Рубчик ; 153 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 65reg ; 30 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 17 ; -IROKEZ- ; 135 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 15 ; scipion ; 28 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Кoчeвниk ; 43 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 31 ; -IROKEZ- ; 105 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 8 ; scipion ; 23 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bva150979 ; 109 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 12 ; gdrg2 ; 30 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 28 ; -IROKEZ- ; 100 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 18 ; scipion ; 32 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Кoчeвниk ; 101 
 5321 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 21 ; Hamlet ; 650 
 5322 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 34 ; bonipari ; 357 
 5323 ; Лот бон 5 шт ;  ;  ;  ;  ; 29 ; сортам70 ; 153 
 5324 ; Лот бон 2 шт ;  ;  ;  ;  ; 46 ; Ruabovaa ; 452 
 5325 ; 50 рублей ; 1919 ;  ;  ;  ; 41 ; Хаа ; 420 
 5326 ; 200 рублей ; 1919 ;  ;  ;  ; 66 ; Для души ; 1505 
 5327 ; 100 рублей ; 1919 ;  ;  ;  ; 57 ; kuzma-1 ; 348 
 5328 ; 500 рублей ; 1918 ;  ;  ;  ; 41 ; Александр007 ; 354 
 5329 ; 1 рубль ; 1918 ;  ;  ;  ; 28 ; Рубчик ; 555 
 5330 ; 3 рубля ; 1918 ;  ;  ;  ; 42 ; Рубчик ; 414 
 5331 ; 5 рублей ; 1918 ;  ;  ;  ; 16 ; Хаа ; 357 
 5332 ; 10 рублей ; 1918 ;  ;  ;  ; 48 ; Александр007 ; 456 
 5333 ; 25 рублей ; 1918 ;  ;  ;  ; 38 ; аймир ; 431 
 5334 ; 100 рублей ; 1918 ;  ;  ;  ; 68 ; Рубчик ; 793 
 5335 ; Лот бон 3 шт ;  ;  ;  ;  ; 43 ; Ruabovaa ; 454 
 5336 ; Лот бон 5 шт ;  ;  ;  ;  ; 42 ; Дима31 ; 681 
 5337 ; 50 рублей. 2 шт ; 1919 ;  ;  ;  ; 22 ; я8844 ; 371 
 5338 ; Лот бон 10 шт ; 1918 ;  ;  ;  ; 46 ; VOLKODAVS5 ; 579 
 5339 ; Лот бон 7 шт ;  ;  ;  ;  ; 31 ; Дима31 ; 607 
 5340 ; Лот бон 5 шт ;  ;  ;  ;  ; 25 ; Vasilyi9 ; 633 
 5341 ; Лот бон 20 шт ;  ;  ;  ;  ; 16 ; я8844 ; 900 
 5342 ; 10 рублей ; 1919 ;  ;  ;  ; 77 ; Рубчик ; 567 
 5343 ; 10 рублей ; 1919 ;  ;  ;  ; 47 ; спарта ; 424 
 5344 ; Лот бон 6 шт ;  ;  ;  ;  ; 24 ; dpekin ; 736 
 5345 ; Лот бон 3 шт ;  ;  ;  ;  ; 20 ; скорпион_48 ; 726 
 5346 ; Лот бон 2 шт ;  ;  ;  ;  ; 49 ; я8844 ; 811 
 5347 ; Лот бон 4 шт ;  ;  ;  ;  ; 13 ; я8844 ; 357 
 5348 ; Лот бон 3 шт. 1,3,5 рублей ; 1947 ;  ;  ;  ; 33 ; Ferros ; 1734 
 5349 ; Лот марок 12 шт ;  ;  ;  ;  ; 22 ; Ferros ; 771 
 5350 ; Лотетейный билет ; 1931 ;  ;  ;  ; 17 ; gregori ; 1500 
 5351 ; Лот лотетейных билетов 2 шт ; 1931 ;  ;  ;  ; 23 ; nikfed ; 443 
 5352 ; Лот лотетейных билетов 2 шт ;  ;  ;  ;  ; 18 ; спарта ; 459 
 5353 ; Облигация в 625 рублей золотом. С купонами. Императорское Российское Правительство ; 1894 ;  ;  ;  ; 28 ; siemеns ; 573 
 5354 ; Облигация в 1000 марок. С купонами. Общество Владикавказской железной дороги ; 1912 ;  ;  ;  ; 11 ; siemеns ; 561 
 5355 ; Облигация в 2000 марок. С купонами. Общество Московско-Казанской железной дороги ; 1911 ;  ;  ;  ; 36 ; Для души ; 761 
 5356 ; Облигация в 2000 марок. С купонами. Общество Владикавказской железной дороги ; 1912 ;  ;  ;  ; 20 ; siemеns ; 591 
 5357 ; Пять облигаций на 937 руб.50коп. С купонами. Российский государственный заем ; 1909 ;  ;  ;  ; 24 ; siemеns ; 578 
 5358 ; Облигация на 125 рублей. Императорское Российское Правительство ; 1880 ;  ;  ;  ; 17 ; siemеns ; 510 
 5359 ; Облигация в 125 рублей. С купонами. Общество Юго-Западных железных дорог ; 1885 ;  ;  ;  ; 38 ; siemеns ; 463 
 5360 ; Облигация в 125 рублей золотом. С купонами. Императорское Российское Правительство ; 1894 ;  ;  ;  ; 19 ; ММД ; 582 
 5361 ; Ценная бумага. Роттердам ; 1925 ;  ;  ;  ; 18 ; siemеns ; 408 
 5362 ; Акция в 100 франков. Румынское нефтяное общество ; 1906 ;  ;  ;  ; 15 ; siemеns ; 306 
 5363 ; Акция. Общество Marche-les-Dames ; 1906 ;  ;  ;  ; 25 ; siemеns ; 408 
 5364 ; Ценная бумага. Общество кожевенных производителей Francois Coppin ; 1919 ;  ;  ;  ; 12 ; siemеns ; 408 
 5365 ; Акция в 500 франков. Учреждение Henri Nogues ; 1939 ;  ;  ;  ; 14 ; siemеns ; 408 
 5366 ; Доля участника. Горнопромышленное общество Тамеги ; 1923 ;  ;  ;  ; 16 ; siemеns ; 408 
 5367 ; Ценная бумага в 500 гульденов. Голландия ; 1947 ;  ;  ;  ; 12 ; siemеns ; 306 
 5368 ; Акция в 100 песет. Испания ; 1933 ;  ;  ;  ; 14 ; siemеns ; 408 
 5369 ; Акция в 100 франков. Общество Moreni-Tuicani ; 1920 ;  ;  ;  ; 12 ; siemеns ; 408 
 5370 ; Акция в 100 франков. Трамвайное общество Бухареста ; 1899 ;  ;  ;  ; 16 ; siemеns ; 408 
 5071 ; 250 рублей ; 1919 ;  ;  ;  ; 14 ; svv ; 612 
 5072 ; 250 рублей ; 1919 ;  ;  ;  ; 13 ; bonist-3A ; 501 
 5073 ; 250 рублей ; 1919 ;  ;  ;  ; 27 ; Александр007 ; 410 
 5074 ; 250 рублей ; 1919 ;  ;  ;  ; 9 ; Ferros ; 600 
 5075 ; 500 рублей ; 1919 ;  ;  ;  ; 17 ; cochu ; 322 
 5076 ; 500 рублей ; 1919 ;  ;  ;  ; 17 ; аймир ; 612 
 5077 ; 500 рублей ; 1919 ;  ;  ;  ; 11 ; Ferros ; 600 
 5078 ; 500 рублей ; окт.1918 ; 5% краткоср.обязательство Гос.Казнач.Сибири ;  ;  ; 37 ; bonist-3A ; 7148 
 5079 ; 1000 рублей ; 1919 ;  ;  ;  ; 25 ; mart_si ; 308 
 5080 ; 1000 рублей ; 1919 ;  ;  ;  ; 27 ; mart_si ; 315 
 5081 ; 1000 рублей ; 1919 ;  ;  ;  ; 45 ; bonist-3A ; 1247 
