 3563 ; 10 рублей ; 1923 ;  ;  ;  ; 45 ; ka20 ; 152 
 3600 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Pronoza ; 51 
 3601 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Prooof ; 46 
 3602 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Rober ; 12 
 3603 ; Бона иностранная ;  ;  ;  ;  ; 35 ; Pronoza ; 67 
 3604 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Coolik ; 25 
 3605 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Coolik ; 62 
 3606 ; Бона иностранная ;  ;  ;  ;  ; 41 ; rachkowsky ; 232 
 3513 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Rober ; 20 
 3514 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Taptun ; 20 
 3515 ; Бона иностранная ;  ;  ;  ;  ; 32 ; 090 ; 36 
 3516 ; Бона иностранная ;  ;  ;  ;  ; 22 ; derbnik ; 83 
 3517 ; Бона иностранная ;  ;  ;  ;  ; 44 ; derbnik ; 91 
 3518 ; Бона иностранная ;  ;  ;  ;  ; 27 ; сми ; 73 
 3519 ; Бона иностранная ;  ;  ;  ;  ; 28 ; 090 ; 45 
 3520 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Prooof ; 39 
 3521 ; Бона иностранная ;  ;  ;  ;  ; 38 ; derbnik ; 93 
 3522 ; Бона иностранная ;  ;  ;  ;  ; 43 ; rachkowsky ; 126 
 3523 ; Бона иностранная ;  ;  ;  ;  ; 31 ; smel ; 110 
 3524 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Taptun ; 45 
 3525 ; Бона иностранная ;  ;  ;  ;  ; 21 ; derbnik ; 165 
 3526 ; Бона иностранная ;  ;  ;  ;  ; 13 ; keldish ; 69 
 3527 ; Бона иностранная ;  ;  ;  ;  ; 3 ; rachkowsky ; 41 
 3528 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Prooof ; 70 
 3529 ; Бона иностранная ;  ;  ;  ;  ; 32 ; derbnik ; 72 
 3530 ; Бона иностранная ;  ;  ;  ;  ; 42 ; rachkowsky ; 73 
 3531 ; Бона иностранная ;  ;  ;  ;  ; 18 ; derbnik ; 73 
 3532 ; Бона иностранная ;  ;  ;  ;  ; 78 ; derk02 ; 130 
 3533 ; Бона иностранная ;  ;  ;  ;  ; 72 ; derk02 ; 161 
 3534 ; Бона иностранная ;  ;  ;  ;  ; 25 ; сми ; 182 
 3535 ; Бона иностранная ;  ;  ;  ;  ; 7 ; сми ; 181 
 3536 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Taptun ; 32 
 3537 ; Бона иностранная ;  ;  ;  ;  ; 22 ; derbnik ; 51 
 3538 ; Бона иностранная ;  ;  ;  ;  ; 33 ; derk02 ; 41 
 3539 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ТУК2 ; 40 
 3540 ; Бона иностранная ;  ;  ;  ;  ; 54 ; smel ; 72 
 3541 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Taptun ; 44 
 3542 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ТУК2 ; 33 
 3543 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ТУК2 ; 32 
 3544 ; Бона иностранная ;  ;  ;  ;  ; 28 ; derk02 ; 100 
 3545 ; Бона иностранная ;  ;  ;  ;  ; 44 ; derk02 ; 200 
 3546 ; Бона иностранная ;  ;  ;  ;  ; 27 ; й12 ; 131 
 3547 ; Бона иностранная ;  ;  ;  ;  ; 23 ; й12 ; 113 
 3548 ; Бона иностранная ;  ;  ;  ;  ; 20 ; й12 ; 21 
 3549 ; Бона иностранная ;  ;  ;  ;  ; 3 ; dimon-2007 ; 33 
 3550 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Pronoza ; 123 
 3551 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Coolik ; 62 
 3552 ; Бона иностранная ;  ;  ;  ;  ; 23 ; й12 ; 113 
 3553 ; Бона иностранная ;  ;  ;  ;  ; 26 ; й12 ; 273 
 3554 ; Бона иностранная ;  ;  ;  ;  ; 11 ; derk02 ; 51 
 3555 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Coolik ; 137 
 3556 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Coolik ; 204 
 3557 ; Бона иностранная ;  ;  ;  ;  ; 10 ; smel ; 152 
 3558 ; Бона иностранная ;  ;  ;  ;  ; 70 ; derk02 ; 140 
 3559 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Полянка ; 50 
 3560 ; Бона иностранная ;  ;  ;  ;  ; 25 ; derbnik ; 91 
 3561 ; 3 рубля ;  ;  ;  ;  ; 76 ; ka20 ; 204 
 3562 ; 1 рубль ;  ;  ;  ;  ; 7 ; k212 ; 37 
 3463 ; Бона иностранная ;  ;  ;  ;  ; 6 ; von_Schwarz ; 111 
 3464 ; Бона иностранная ;  ;  ;  ;  ; 19 ; цц ; 20 
 3465 ; Бона иностранная ;  ;  ;  ;  ; 10 ; цц ; 20 
 3466 ; Бона иностранная ;  ;  ;  ;  ; 8 ; цц ; 20 
 3467 ; Бона иностранная ;  ;  ;  ;  ; 24 ; 090 ; 39 
 3468 ; Бона иностранная ;  ;  ;  ;  ; 15 ; pristav61 ; 20 
 3469 ; Бона иностранная ;  ;  ;  ;  ; 29 ; Prooof ; 53 
 3470 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Coolik ; 16 
 3471 ; Бона иностранная ;  ;  ;  ;  ; 2 ; derk02 ; 11 
 3472 ; Бона иностранная ;  ;  ;  ;  ; 18 ; derbnik ; 63 
 3473 ; Бона иностранная ;  ;  ;  ;  ; 46 ; derk02 ; 150 
 3474 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Полянка ; 46 
 3475 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Полянка ; 46 
 3476 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ТУК2 ; 40 
 3477 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ТУК2 ; 31 
 3478 ; Бона иностранная ;  ;  ;  ;  ; 20 ; derbnik ; 51 
 3479 ; Бона иностранная ;  ;  ;  ;  ; 13 ; derk02 ; 22 
 3480 ; Бона иностранная ;  ;  ;  ;  ; 17 ; psergey ; 21 
 3481 ; Бона иностранная ;  ;  ;  ;  ; 17 ; psergey ; 20 
 3482 ; Бона иностранная ;  ;  ;  ;  ; 56 ; strestas ; 61 
 3483 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Coolik ; 153 
 3484 ; Бона иностранная ;  ;  ;  ;  ; 9 ; strestas ; 79 
 3485 ; Бона иностранная ;  ;  ;  ;  ; 26 ; strestas ; 102 
 3486 ; Бона иностранная ;  ;  ;  ;  ; 25 ; strestas ; 157 
 3487 ; Бона иностранная ;  ;  ;  ;  ; 12 ; derbnik ; 35 
 3488 ; Бона иностранная ;  ;  ;  ;  ; 8 ; derbnik ; 34 
 3489 ; Бона иностранная ;  ;  ;  ;  ; 10 ; derbnik ; 28 
 3490 ; Бона иностранная ;  ;  ;  ;  ; 10 ; psergey ; 10 
 3491 ; Бона иностранная ;  ;  ;  ;  ; 11 ; psergey ; 10 
 3492 ; Бона иностранная ;  ;  ;  ;  ; 15 ; derbnik ; 11 
 3493 ; Бона иностранная ;  ;  ;  ;  ; 33 ; keldish ; 34 
 3494 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kostian1284 ; 31 
 3495 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Полянка ; 30 
 3496 ; Бона иностранная ;  ;  ;  ;  ; 23 ; derk02 ; 55 
 3497 ; Бона иностранная ;  ;  ;  ;  ; 28 ; derk02 ; 55 
 3498 ; Бона иностранная ;  ;  ;  ;  ; 26 ; 090 ; 50 
 3499 ; Бона иностранная ;  ;  ;  ;  ; 21 ; pristav61 ; 20 
 3500 ; Бона иностранная ;  ;  ;  ;  ; 49 ; derbnik ; 125 
 3501 ; Бона иностранная ;  ;  ;  ;  ; 49 ; smel ; 160 
 3502 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Prooof ; 53 
 3503 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Taptun ; 28 
 3504 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Полянка ; 40 
 3505 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Prooof ; 46 
 3506 ; Бона иностранная ;  ;  ;  ;  ; 14 ; цц ; 16 
 3507 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Prooof ; 25 
 3508 ; Бона иностранная ;  ;  ;  ;  ; 15 ; цц ; 20 
 3509 ; Бона иностранная ;  ;  ;  ;  ; 15 ; psergey ; 37 
 3510 ; Бона иностранная ;  ;  ;  ;  ; 11 ; цц ; 12 
 3511 ; Бона иностранная ;  ;  ;  ;  ; 28 ; rachkowsky ; 50 
 3512 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Полянка ; 21 
 3413 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ;  ; 38 ; Zlabka ; 381 
 3414 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ;  ; 22 ; belovaanna ; 250 
 3415 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ;  ; 65 ; Zlabka ; 416 
 3416 ; 500 рублей ; 1912 ; Коншин. Гос.кредитные билеты 1 ;  ;  ; 49 ; alex241 ; 373 
 3417 ; 50 копеек. Лужский совдеп ;  ;  ;  ; AU ; 29 ; ТУК2 ; 1236 
 3418 ; 10 копеек. Лужский совдеп ;  ;  ;  ; AU ; 15 ; v2v2 ; 2448 
 3419 ; 1 рубль. Лужский совдеп ;  ;  ;  ; AU ; 7 ; ТУК2 ; 1236 
 3420 ; 3 рубля. Лужский совдеп ;  ;  ;  ; AU ; 13 ; ТУК2 ; 1236 
 3421 ; 5 рублей. Лужский совдеп ;  ;  ;  ; AU ; 9 ; ТУК2 ; 1236 
 3422 ; 5 рублей. Лужский совдеп ;  ;  ;  ; AU ; 37 ; ТУК2 ; 2003 
 3423 ; 1 рубль. Родзянко ; 1919 ;  ;  ; AU ; 17 ; sergoizadlera ; 1224 
 3424 ; 3 рубля. Родзянко ; 1919 ;  ;  ; AU ; 26 ; sergoizadlera ; 1632 
 3425 ; 10 рублей. Родзянко ; 1919 ;  ;  ; AU ; 19 ; sergoizadlera ; 1224 
 3426 ; 100 рейс. Бразилия ;  ;  ;  ; AU ; 44 ; 090 ; 322 
 3427 ; 500 рублей. Государство Российское ; 1919 ;  ;  ; AU ; 112 ; Cashman ; 5100 
 3428 ; 1 рубль ; 1866 ; вензедь А II Гос.кредитные бил ;  ;  ; 49 ; derk02 ; 6119 
 3429 ; 1 рубль ; 1874 ; вензель А II Гос.кредитные бил ;  ;  ; 48 ; derk02 ; 12239 
 3430 ; 1 рубль ; 1863 ; Гос.кредитные билеты разменных ;  ;  ; 141 ; сс400 ; 4263 
 3431 ; 5 рублей (2 шт) ; 1909 ;  ;  ; AU ; 21 ; Balula ; 147 
 3432 ; 5 рублей (2 шт) ; 1909 ;  ;  ; AU ; 44 ; sman ; 135 
 3433 ; 5 рублей (2 шт) ; 1909 ;  ;  ; AU ; 35 ; Balula ; 117 
 3434 ; 5 рублей (2 шт) ; 1909 ;  ;  ; AU ; 16 ; sman ; 117 
 3435 ; 10 рублей (2 шт) ; 1909 ;  ;  ; AU ; 14 ; Balula ; 117 
 3436 ; 10 рублей (2 шт) ; 1909 ;  ;  ; AU ; 41 ; sman ; 117 
 3437 ; 10 рублей (2 шт) ; 1909 ;  ;  ; AU ; 23 ; sergoizadlera ; 144 
 3438 ; 10 рублей (2 шт) ; 1909 ;  ;  ; AU ; 31 ; Balula ; 129 
 3439 ; 10 рублей (2 шт) ; 1909 ;  ;  ; AU ; 24 ; normad ; 126 
 3440 ; 250 рублей (2 шт) ; 1918 ;  ;  ;  ; 11 ; za-via ; 100 
 3441 ; 250 рублей (2 шт) ; 1918 ;  ;  ;  ; 6 ; veektor ; 102 
 3442 ; 250 рублей (2 шт) ; 1918 ;  ;  ;  ; 28 ; veektor ; 101 
 3443 ; 250 рублей (2 шт) ; 1918 ;  ;  ;  ; 5 ; Balula ; 102 
 3444 ; 10 копеек. Сцепка 14 шт ; 1915 ;  ;  ;  ; 44 ; o.k. ; 587 
 3445 ; 10 копеек. Сцепка 15 шт ; 1915 ;  ;  ;  ; 53 ; Balula ; 693 
 3446 ; 10 копеек. Сцепка 15 шт ; 1915 ;  ;  ;  ; 52 ; Balula ; 711 
 3447 ; Листовка ;  ;  ;  ;  ; 68 ; lvovich ; 211 
 3448 ; 5 рублей (23 шт) ; 1909 ;  ;  ;  ; 19 ; alex241 ; 479 
 3449 ; 10 рублей (35 шт) ; 1909 ;  ;  ;  ; 20 ; alex241 ; 560 
 3450 ; 1 рубль (60 шт) ; 1898 ;  ;  ;  ; 25 ; vital73 ; 1377 
 3451 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Coolik ; 37 
 3452 ; Бона иностранная ;  ;  ;  ;  ; 46 ; Майкл ; 59 
 3453 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Coolik ; 35 
 3454 ; Бона иностранная ;  ;  ;  ;  ; 30 ; вий444 ; 36 
 3455 ; Бона иностранная ;  ;  ;  ;  ; 4 ; brent ; 34 
 3456 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Coolik ; 66 
 3457 ; Бона иностранная ;  ;  ;  ;  ; 55 ; kont ; 119 
 3458 ; Бона иностранная ;  ;  ;  ;  ; 46 ; dimon-2007 ; 99 
 3459 ; Бона иностранная ;  ;  ;  ;  ; 3 ; derbnik ; 35 
 3460 ; Бона иностранная ;  ;  ;  ;  ; 39 ; kont ; 698 
 3461 ; Бона иностранная ;  ;  ;  ;  ; 6 ; von_Schwarz ; 111 
 3462 ; Бона иностранная ;  ;  ;  ;  ; 16 ; von_Schwarz ; 117 
 3363 ; 10000 рублей ; 1994 ; банкнота ;  ;  ; 29 ; rad22 ; 159 
 3364 ; 25 рублей ; 1918 ;  ;  ;  ; 2 ; koga ; 31 
 3365 ; 25 рублей ; 1918 ;  ;  ;  ; 11 ; 090 ; 105 
 3366 ; 25 рублей ; 1918 ;  ;  ;  ; 20 ; Taptun ; 146 
 3367 ; 25 рублей ; 1918 ;  ;  ;  ; 76 ; Шаман ; 257 
 3368 ; 50 марок ; 1933 ;  ;  ;  ; 56 ; vd2008 ; 163 
 3369 ; 50 марок ; 1933 ;  ;  ;  ; 14 ; й12 ; 159 
 3370 ; 50 марок ; 1933 ;  ;  ;  ; 22 ; Coolik ; 163 
 3371 ; 100 карбованцев ; 1942 ;  ;  ;  ; 49 ; alex241 ; 319 
 3372 ; 100 рублей ; 1919 ;  ;  ;  ; 25 ; normad ; 156 
 3373 ; 100 рублей ; 1919 ;  ;  ;  ; 9 ; сми ; 108 
 3374 ; 100 рублей ; 1919 ;  ;  ;  ; 17 ; Coolik ; 133 
 3375 ; 10000 марок ; 1922 ;  ;  ;  ; 19 ; derbnik ; 148 
 3376 ; 10000 марок ; 1922 ;  ;  ;  ; 13 ; Coolik ; 145 
 3377 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 7 ; росвет ; 55 
 3378 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 10 ; veektor ; 62 
 3379 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 37 ; Teremok ; 131 
 3380 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 4 ; veektor ; 53 
 3381 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 29 ; росвет ; 223 
 3382 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 36 ; vital73 ; 208 
 3383 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 13 ; vital73 ; 186 
 3384 ; 50 рублей ; 1919 ;  ;  ;  ; 28 ; maximus121282 ; 107 
 3385 ; 10 гривень ; 1918 ; Украина.Державный Кредитовий б ;  ;  ; 12 ; Симыч ; 126 
 3386 ; 3 червонца ; 1932 ; Билет ;  ;  ; 27 ; Полянка ; 509 
 3387 ; 3 червонца ; 1932 ; Билет ;  ;  ; 33 ; Полянка ; 509 
 3388 ; 3 червонца ; 1932 ; Билет ;  ;  ; 14 ; dimon-2007 ; 520 
 3389 ; 3 червонца ; 1932 ; Билет ;  ;  ; 30 ; normad ; 520 
 3390 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 17 ; Pronoza ; 63 
 3391 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 28 ; veektor ; 51 
 3392 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 55 ; росвет ; 160 
 3393 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 26 ; za-via ; 50 
 3394 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 30 ; slovjnin ; 51 
 3395 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 20 ; росвет ; 79 
 3396 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 12 ; AMG ; 72 
 3397 ; 50 рублей ; 1899 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 31 ; koga ; 61 
 3398 ; 50 рублей ; 1899 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 54 ; sher60 ; 287 
 3399 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ;  ; 75 ; vital73 ; 714 
 3400 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ;  ; 55 ; slovjnin ; 410 
 3401 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ;  ; 48 ; vital73 ; 714 
 3402 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ;  ; 14 ; Coolik ; 337 
 3403 ; 1000 рублей ; 1919 ;  ;  ;  ; 58 ; росвет ; 300 
 3404 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 65 ; росвет ; 308 
 3405 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 33 ; slovjnin ; 503 
 3406 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 13 ; elpohit ; 408 
 3407 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 39 ; Zlabka ; 426 
 3408 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 56 ; Zlabka ; 471 
 3409 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 40 ; strestas ; 439 
 3410 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 31 ; Zlabka ; 467 
 3411 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ;  ; 11 ; elpohit ; 243 
 3412 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ;  ; 22 ; slovjnin ; 500 
 2790 ; Жетон "Олимпиада 1972". Германия, г Киль ; 1972 ;  ; Ag1000 ; Proof-Like ; 21 ; Igorek81 ; 413 
 2791 ; Жетон. США ;  ;  ; Ж/м ; AU ; 18 ; SadKo ; 55 
 2792 ; Жетон. США ;  ;  ; Ж/м ; AU ; 25 ; Tche ; 74 
 2793 ; Жетон. Мексика ; 1865 ;  ; Ж/м ; AU ; 18 ; AIK60 ; 155 
 2794 ; Жетон. Южная Африка ; 1978 ;  ; Латунь ; AU ; 18 ; koga ; 57 
 2795 ; Набор монет Финляндии (6шт): 5,1 марка, 50,20,10,5 пенни. Упаковка ; 1982-1983 ;  ; Cu/Ni,Al/B ; AU ; 64 ; sveta6369 ; 207 
 2796 ; Набор монет США (6шт): 1доллар, 50,25,10,5,1 цент. Упаковка ; 1980-1985 ;  ; Cu/Ni,Cu в ; AU ; 5 ; sveta6369 ; 234 
 2797 ; Набор монет Югославии (6шт): 10,5,2,1 динар, 50,20 пара. Упаковка ; 1982-1983 ;  ; Cu/Ni,Ni/Л ; AU ; 41 ; piterline ; 114 
 2798 ; Набор монет Китая (7шт): 1юань, 5,2,1 джао, 5,2,1 фен. Упаковка ; 1981-1982 ;  ; Cu/Ni,Al,  ; Unc/AU ; 10 ; Slava O ; 291 
 2799 ; Набор монет Болгарии (6шт): 50,20,10,5,2,1 стотинок. Упаковка ; 1974 ;  ; Ni/Латунь, ; Unc/AU ; 26 ; Dozen ; 204 
 2800 ; Набор монет Израиля (7шт): 10,5,1,1/2, шекелей, 10,5,1 агора. Упаковка ; XX в ;  ; Cu/Ni,Br,A ; AU ; 90 ; piterline ; 143 
 2801 ; Набор монет Германии (8шт): 5,2,1 марка, 50,10,5,2,1 пфенниг. Упаковка ; 1986-1987 ;  ; Cu/Ni, Лат ; Unc ; 5 ; sveta6369 ; 214 
 2802 ; Набор евромонет Португалии (8шт) ; 2002-2003 ;  ; Cu-St, Би/ ; AU ; 2 ; Mike! ; 375 
 2803 ; Набор евромонет Ирландии (8шт) ; 2002-2006 ;  ; Cu-St, Би/ ; AU ; 22 ; serggei ; 408 
 2804 ; Набор евромонет Германии (8шт) ; 2003-2005 ;  ; Cu-St, Би/ ; AU ; 3 ; ворон_2009 ; 391 
 2805 ; Набор евромонет Люксембурга (8шт) ; 2002-2006 ;  ; Cu-St, Би/ ; AU ; 13 ; чижик ; 472 
 2806 ; Набор евромонет Испании (8шт) ; 1999-2002 ;  ; Cu-St, Би/ ; AU ; 10 ; чижик ; 452 
 2807 ; Набор евромонет Греции (8шт) ; 2002 ;  ; Cu-St, Би/ ; AU ; 11 ; чижик ; 452 
 3331 ; 10 рублей. Ростово Нахичев ;  ;  ;  ;  ; 34 ; gelo ; 333 
 3332 ; Марка адресного сбора ;  ;  ;  ;  ; 47 ; gelo ; 184 
 3333 ; Марка адресного сбора ;  ;  ;  ;  ; 24 ; gelo ; 165 
 3334 ; 10 рублей ; 1922 ;  ;  ;  ; 32 ; Balula ; 164 
 3335 ; 10 рублей ; 1922 ;  ;  ;  ; 25 ; 001951 ; 203 
 3336 ; Благотворительная марка ; 1916 ;  ;  ;  ; 22 ; Luidor ; 203 
 3337 ; Благотворительная марка ; 1916 ;  ;  ;  ; 19 ; Balula ; 199 
 3338 ; 3 копейки. Квартблок ; 1915 ; Деньги-марки ;  ;  ; 58 ; o.k. ; 318 
 3339 ; 3 копейки. Квартблок ; 1915 ; Деньги-марки ;  ;  ; 41 ; o.k. ; 312 
 3340 ; 10 копеек. Квартблок ; 1915 ; Деньги-марки ;  ;  ; 19 ; andreyx  ; 318 
 3341 ; 10 копеек. Квартблок ; 1915 ; Деньги-марки ;  ;  ; 19 ; Balula ; 244 
 3342 ; 10 копеек. Квартблок ; 1915 ; Деньги-марки ;  ;  ; 23 ; ls1870 ; 226 
 3343 ; 15 копеек. Квартблок ; 1915 ; Деньги-марки ;  ;  ; 18 ; andreyx  ; 318 
 3344 ; 15 копеек. Квартблок ; 1915 ; Деньги-марки ;  ;  ; 28 ; Balula ; 302 
 3345 ; 30 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 23 ; belovaanna ; 104 
 3346 ; 30 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 24 ; veektor ; 92 
 3347 ; 30 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 37 ; Анатоль ; 153 
 3348 ; 30 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 18 ; solder13 ; 102 
 3349 ; 60 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 48 ; Анатоль ; 153 
 3350 ; 60 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 10 ; solder13 ; 82 
 3351 ; 60 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 13 ; solder13 ; 72 
 3352 ; 60 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 13 ; normad ; 72 
