 352 ; 5 копеек (Ильин-4р) ; 1851 ; ВМ ; Cu ; VF ; 26 ; Участник № 100 ; 28000 
 374 ; 2 пара-3 копейки ; 1772 ; Валахия ; Cu ; VF- ; 19 ; Участник № 100 ; 6200 
 375 ; 2 пара-3 копейки ; 1773 ; Валахия ; Cu ; F-VF ; 10 ; 156264 ; 1020 
 376 ; 2 пара-3 копейки ; 1774 ; Валахия ; Cu ; F-VF ; 22 ; Участник № 523 ; 3200 
 377 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; F-VF ; 18 ; 156264 ; 2042 
 378 ; Бисти ; 1781 ; Грузия ; Cu ; F-VF ; 18 ; Участник № 392 ; 14000 
 379 ; Бисти ; 1789 ; Грузия ; Cu ; F-VF ; 51 ; Участник № 392 ; 14000 
 380 ; Бисти ; 1796 ; Грузия ; Cu ; VF- ; 18 ; Участник № 9 ; 9000 
 381 ; Полубисти ; 1781 ; Грузия ; Cu ; F-VF ; 16 ; Участник № 392 ; 16000 
 382 ; Полубисти ; 1787 ; Грузия ; Cu ; F-VF ; 15 ; Участник № 392 ; 16000 
 383 ; Полубисти ; 1796 ; Грузия ; Cu ; VF- ; 27 ; Участник № 392 ; 17000 
 384 ; Двойной абаз. Редка  (Петров-25р, Ильин-10р) ; 1804 ; ПЗ Грузия ; Ag ; F+ ; 15 ; Участник № 9 ; 18000 
 385 ; Двойной абаз ; 1828 ; АТ Грузия ; Ag ; F-VF ; 29 ; Участник № 545 ; 7000 
 386 ; Двойной абаз ; 1831 ; АТ Грузия ; Ag ; VF- ; 8 ; Участник № 44 ; 3400 
 387 ; Двойной абаз ; 1833 ; ВК Грузия ; Ag ; VF ; 22 ; Участник № 140 ; 6000 
 388 ; Полуабаз. Редка  (Петров-10р, Ильин-10р) ; 1820 ; АТ Грузия ; Ag ; VF+ ; 42 ; Участник № 30 ; 50000 
 389 ; Полуабаз ; 1823 ; АК Грузия ; Ag ; VF-XF ; 33 ; Участник № 30 ; 52000 
 390 ; Полуабаз ; 1831 ; АТ Грузия ; Ag ; VF- ; 29 ; Участник № 9 ; 21000 
 391 ; Бисти ; 1810 ; Грузия ; Cu ; VF ; 14 ; Ликвидация ; 4590 
 392 ; Полубисти ; 1810 ; Грузия ; Cu ; VF ; 21 ; Участник № 9 ; 9000 
 393 ; Копейка. Крым. Шахин-Гирей. 4-й год правления ; 1777(1191лх) ;  ; Cu ; F+ ; 9 ; Участник № 9 ; 950 
 394 ; Копейка. Крым. Шахин-Гирей. 5-й год правления ; 1777(1191лх) ;  ; Cu ; VF ; 7 ; Участник № 9 ; 2000 
 395 ; Копейка. Крым. Шахин-Гирей. 5-й год правления ; 1777(1191лх) ;  ; Cu ; F-VF ; 9 ; Участник № 140 ; 1500 
 396 ; 4 дуката с Болгарской контрамаркой. Лицевая сторона: портрет Александра II. Отверстие 12 часов. М-12,89г ; 1905 ;  ; Au ; XF ; 28 ; dim20022 ; 15300 
 302 ; 3/4 рубля-5 злотых ; 1838 ; MW Рус.-Пол. ; Ag ; VF+ ; 11 ; monos72 ; 5667 
 303 ; 30 копеек-2 злотых. Редка (Петров-4,5р, Ильин-3р) ; 1834 ; MW Рус.-Пол. ; Ag ; F-VF ; 5 ; Участник № 100 ; 13000 
 304 ; 30 копеек-2 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; XF- ; 33 ; нумизмат ; 2042 
 305 ; 20 копеек-40 грошей ; 1842 ; MW Рус.-Пол. ; Ag ; VF ; 27 ; Участник № 9 ; 6000 
 306 ; 20 копеек-40 грошей ; 1845 ; MW Рус.-Пол. ; Ag ; VF+ ; 57 ; Участник № 30 ; 12000 
 307 ; 15 копеек-1 злотый ; 1832 ; НГ Рус.-Пол. ; Ag ; VF- ; 20 ; Участник № 9 ; 6000 
 308 ; Копейка ; 1711 ; ·Б·К· ; Cu ; VF+ ; 23 ; Участник № 100 ; 13000 
 309 ; Копейка ; 1713 ; НД ; Cu ; F-VF ; 51 ; Senjor ; 13213 
 310 ; Копейка ; 1713 ; М Д ; Cu ; VF ; 17 ; Участник № 523 ; 3800 
 311 ; Денга (Петров-5р, Ильин-2р) ; 1700 ;  ; Cu ; F+ ; 27 ; dimon46 ; 5214 
 312 ; Денга (Петров-5р, Ильин-3р) ; 1700 ;  ; Cu ; F+ ; 16 ; Участник № 51 ; 4700 
 313 ; Денга ; 1700 ;  ; Cu ; F-VF ; 20 ; SSK ; 1937 
 314 ; Денга ; 1701 ;  ; Cu ; VF- ; 15 ; monos72 ; 9066 
 315 ; Денга ; 1705 ;  ; Cu ; F-VF ; 21 ; Участник № 51 ; 3800 
 316 ; Денга ; 1706 ;  ; Cu ; F-VF ; 19 ; Участник № 51 ; 5000 
 317 ; Денга ; 1708 ;  ; Cu ; VF ; 27 ; fikus ; 10000 
 318 ; Денга (Ильин-3р) ; 1712 ;  ; Cu ; F-VF ; 24 ; Участник № 1 ; 4800 
 319 ; Денга ; 1714 ;  ; Cu ; VF+ ; 11 ; monos72 ; 4400 
 320 ; Полушка ; 1702 ;  ; Cu ; F-VF ; 12 ; Участник № 147 ; 2100 
 321 ; Полушка ; 1707 ;  ; Cu ; VF+ ; 11 ; Участник № 1 ; 8000 
 322 ; Полушка ; 1719 ; НД ; Cu ; XF ; 23 ; Участник № 621 ; 9500 
 323 ; Полушка (Ильин-5р) ; 1721 ;  ; Cu ; F-VF ; 18 ; Участник № 140 ; 6500 
 324 ; Полушка ; 1721 ;  ; Cu ; F+ ; 7 ; Участник № 66 ; 220 
 325 ; Копейка. Очень редка  (Петров-20р, Ильин-8р) ; 1724 ;  ; Cu ; F-VF ; 40 ; Адреналин ; 30014 
 326 ; Копейка ; 1728 ;  ; Cu ; XF+ ; 34 ; Участник № 100 ; 40000 
 327 ; 5 копеек ; 1723 ; Дата снизу вверх ; Cu ; VF- ; 28 ; Участник № 147 ; 12000 
 328 ; 5 копеек ; 1723 ; Дата снизу вверх ; Cu ; VF- ; 21 ; Участник № 523 ; 18000 
 329 ; 5 копеек ; 1726 ; НД Дата снизу вверх ; Cu ; F-VF ; 15 ; SSK ; 3000 
 330 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; F-VF ; 19 ; SSK ; 2200 
 331 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; F-VF ; 11 ; Участник № 7 ; 1600 
 332 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; F-VF ; 9 ; Участник № 140 ; 2400 
 333 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; F+ ; 12 ; vitas123 ; 2040 
 334 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF- ; 12 ; Basilio ; 6000 
 335 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF- ; 20 ; Участник № 133 ; 7000 
 336 ; 5 копеек ; 1729 ; МД Хвост широкий ; Cu ; VF ; 28 ; Участник № 621 ; 2200 
 337 ; Денга ; 1741 ;  ; Cu ; F-VF ; 6 ; volod ; 126 
 338 ; Полушка (Петров-1р) ; 1741 ; Орёл 1730 г. ; Cu ; F-VF ; 5 ; Участник № 23 ; 800 
 339 ; 2 копейки. Павловский перечекан ; 1793 ; Е- М Павл.перечекан ; Cu ; VF- ; 45 ; Участник № 392 ; 9600 
 340 ; 2 копейки ; 1797 ;  ; Cu ; F-VF ; 28 ; Mmm ; 5100 
 341 ; 2 копейки ; 1797 ;  ; Cu ; F-VF ; 25 ; 156264 ; 4600 
 342 ; Деньга. Деформация ; 1798 ; ЕМ ; Cu ; VF ; 43 ; Участник № 9 ; 2800 
 343 ; Копейка (Петров-2р, Ильин-3р) ; 1804 ; КМ ; Cu ; F ; 46 ; 156264 ; 10200 
 344 ; Копейка (Петров-2,5р, Ильин-3р) ; 1805 ; КМ ; Cu ; F ; 30 ; 156264 ; 8137 
 345 ; Копейка ; 1838 ; СМ ; Cu ; F-VF ; 7 ; Седой ; 750 
 346 ; 2 копейки ; 1810 ; СПБ ФГ ; Cu ; VF- ; 25 ; SSK ; 2607 
 347 ; Копейка ; 1812 ; ИМ ПС ; Cu ; VF+ ; 23 ; Участник № 9 ; 2600 
 348 ; Деньга. Редка  (Петров-10р, Ильин-10р) ; 1811 ; КМ ПБ ; Cu ; F-VF ; 22 ; ААФ ; 10001 
 349 ; Деньга (Петров-4р, Ильин-3р) ; 1813 ; КМ АМ ; Cu ; VF- ; 25 ; VAG ; 6375 
 350 ; Деньга ; 1825 ; ЕМ ИК ; Cu ; VF+ ; 19 ; destroer ; 3572 
 351 ; Деньга ; 1827 ; ЕМ ИК ; Cu ; VF+ ; 8 ; нумизмат ; 1532 
 252 ; Рубль ; 1738 ;  ; Ag ; VF-XF ; 20 ; 156264 ; 16000 
 253 ; Рубль ; 1738 ; СПБ ; Ag ; VF-XF ; 29 ; Участник № 1344 ; 13000 
 254 ; Рубль ; 1739 ; СПБ ; Ag ; VF-XF ; 35 ; Участник № 59 ; 22000 
 255 ; Рубль ; 1801 ; СМ АИ ; Ag ; VF-XF ; 42 ; Участник № 100 ; 38000 
 256 ; Рубль ; 1805 ; СПБ ФГ ; Ag ; XF ; 13 ; Участник № 100 ; 32000 
 257 ; Рубль ; 1807 ; СПБ ФГ ; Ag ; VF-XF ; 47 ; Участник № 1204 ; 58000 
 258 ; Рубль (редкая, Ильин-10р) ; 1807 ; СПБ ФГ ; Ag ; VF- ; 17 ; Участник № 51 ; 22000 
 259 ; Рубль ; 1813 ; СПБ ПС ; Ag ; AU ; 51 ; coins king ; 23460 
 260 ; Рубль ; 1819 ; СПБ ПС ; Ag ; VF-XF ; 17 ; Участник № 1032 ; 3200 
 261 ; Рубль ; 1827 ; СПБ НГ ; Ag ; XF+ ; 59 ; Участник № 100 ; 90000 
 262 ; Рубль ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 50 ; Участник № 66 ; 10500 
 263 ; Рубль (Ильин-5р) ; 1835 ; СПБ НГ ; Ag ; VF+ ; 44 ; Участник № 51 ; 32000 
 264 ; Рубль  (Ильин-4р) ; 1837 ; СПБ НГ ; Ag ; VF+ ; 22 ; ААФ ; 9000 
 265 ; Рубль (Ильин-5р) ; 1838 ; СПБ НГ ; Ag ; VF ; 35 ; Участник № 2 ; 26000 
 266 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF ; 15 ; Участник № 51 ; 5700 
 267 ; Рубль (Ильин-6р) ; 1846 ; MW ; Ag ; VF+ ; 48 ; Basilio ; 60000 
 268 ; Рубль ; 1850 ; СПБ ПА ; Ag ; AU ; 43 ; Участник № 1204 ; 32000 
 269 ; Рубль (редкий, Ильин-10р) ; 1851 ; СПБ ПА ; Ag ; VF-XF ; 60 ; Участник № 51 ; 135000 
 270 ; Полтина ; 1704 ; МД ; Ag ; VF+ ; 30 ; ZOLTAN333 ; 62000 
 271 ; Полтина (Петров-5р) ; 1705 ;  ; Ag ; VF-XF ; 20 ; Участник № 9 ; 72000 
 272 ; Полтина (Петров-5р) ; 1707 ;  ; Ag ; XF ; 65 ; Участник № 100 ; 220000 
 273 ; Полтина (редкая, Петров-8р) ; 1712 ;  ; Ag ; VF- ; 63 ; Участник № 51 ; 200000 
 274 ; Полтина (редкая, Петров-12р) ; 1726 ; СПБ ; Ag ; VF- ; 7 ; Участник № 51 ; 54000 
 275 ; Полтина ; 1726 ; СПБ ; Ag ; F-VF ; 22 ; Участник № 59 ; 28000 
 276 ; Полтина ; 1733 ;  ; Ag ; XF-45 ; 26 ; Участник № 44 ; 26000 
 277 ; Полтина ; 1749 ; ММД ; Ag ; F-VF ; 27 ; 156264 ; 15302 
 278 ; Полтина (Петров-5р, Ильин-4р) ; 1749 ; СПБ ; Ag ; XF ; 36 ; Участник № 51 ; 155000 
 279 ; Полтина (Петров-3р) ; 1762 ; ММД ДМ ; Ag ; VF- ; 35 ; Участник № 1460 ; 26000 
 280 ; Полтина ; 1785 ; СПБ ЯА ; Ag ; VF-XF ; 24 ; Участник № 30 ; 100000 
 281 ; Полтина ; 1798 ; СМ МБ ; Ag ; XF- ; 24 ; Участник № 1204 ; 58000 
 282 ; Полтина (Ильин-3р) ; 1833 ; СПБ НГ ; Ag ; VF-XF ; 48 ; Участник № 51 ; 52000 
 283 ; Полтина ; 1846 ; MW ; Ag ; AU ; 45 ; Участник № 100 ; 26000 
 284 ; Полтина ; 1849 ; СПБ ПА ; Ag ; AU ; 30 ; Участник № 584 ; 12000 
 285 ; Полтина ; 1852 ; СПБ ПА ; Ag ; AU ; 27 ; Участник № 636 ; 12000 
 286 ; Полуполтинник (Петров-4р) ; 1713 ; G ; Ag ; F-VF ; 27 ; Участник № 100 ; 32000 
 287 ; Полуполтинник ; 1801 ; СМ АИ ; Ag ; VF- ; 31 ; ZOLTAN333 ; 15302 
 288 ; 25 копеек ; 1838 ; СПБ НГ ; Ag ; VF-XF ; 22 ; monos72 ; 5100 
 289 ; 25 копеек ; 1849 ; СПБ ПА ; Ag ; XF+ ; 13 ; Участник № 584 ; 4000 
 290 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 34 ; Участник № 147 ; 16000 
 291 ; 20 копеек ; 1848 ; СПБ HI ; Ag ; VF-XF ; 21 ; pmaster ; 1400 
 292 ; 20 копеек ; 1852 ; СПБ ПА ; Ag ; XF+ ; 18 ; Участник № 392 ; 9000 
 293 ; 5 злотых ; 1816 ; IB Польша ; Ag ; VF- ; 13 ; Участник № 9 ; 6500 
 294 ; 5 злотых ; 1830 ; KG Польша ; Ag ; VF-XF ; 29 ; monos72 ; 17000 
 295 ; 2 злотых ; 1818 ; IB Польша ; Ag ; VF- ; 29 ; monos72 ; 4909 
 296 ; 1 злотый ; 1827 ; IB Польша ; Ag ; AU ; 54 ; Участник № 100 ; 46000 
 297 ; 1,5 рубля-10 злотых ; 1834 ; НГ Рус.-Пол. ; Ag ; VF+ ; 31 ; Участник № 18 ; 9500 
 298 ; 1,5 рубля-10 злотых (Ильин-4р) ; 1837 ; НГ Рус.-Пол. ; Ag ; VF+ ; 25 ; Участник № 51 ; 11500 
 299 ; 1,5 рубля-10 злотых (Ильин-3р) ; 1840 ; MW Рус.-Пол. ; Ag ; VF-XF ; 38 ; Участник № 100 ; 40000 
 300 ; 1,5 рубля-10 злотых (Петров-3р, Ильин-3р) ; 1841 ; MW Рус.-Пол. ; Ag ; VF ; 11 ; Участник № 100 ; 10500 
 301 ; 3/4 рубля-5 злотых. Очень редка (Ильин-7р) ; 1837 ; НГ Рус.-Пол. ; Ag ; XF ; 32 ; Участник № 51 ; 60000 
 201 ; Полтина ; 1909 ; (ЭБ) АГ ; Ag ; VF-XF ; 18 ; Участник № 51 ; 8500 
 202 ; 2 копейки ; 1909 ; СПБ ; Cu ; AU ; 30 ; tisa66 ; 3627 
 203 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 19 ; kor ; 10616 
 204 ; Рубль ; 1912 ; На столетие отечественной войн ; Ag ; AU ; 29 ; abogdan ; 76500 
 205 ; Полтина. Редкие буквы минцмейстера для этого года ; 1913 ; (ЭБ) АГ ; Ag ; VF-XF ; 33 ; dimon46 ; 5078 
 206 ; Рубль ; 1915 ; (ВС) ; Ag ; Unc/AU ; 40 ; tisa66 ; 35555 
 207 ; Рубль. Очень редка. Рельефный чекан ; 1915 ; (ВС) ; Ag ; AU ; 57 ; Участник № 54 ; 75000 
 208 ; 20 копеек ; 1916 ; ВС ; Ag ; Proof ; 47 ; Участник № 100 ; 20000 
 209 ; Жетон в память заключения мира с Турцией ; 1791 ;  ; Ag ; XF+ ; 38 ; Участник № 42 ; 11000 
 211 ; Рубль ; 1725 ; СПБ ; Ag ; VF-XF ; 47 ; Участник № 520 ; 64000 
 212 ; Рубль (редкая, Петров-10р, Ильин-5р) ; 1725 ;  ; Ag ; F-VF ; 20 ; Участник № 51 ; 26000 
 213 ; Рубль ; 1726 ; СПБ ; Ag ; XF- ; 28 ; Участник № 621 ; 72000 
 214 ; Рубль ; 1726 ; СПБ ; Ag ; VF- ; 31 ; Участник № 1362 ; 22000 
 215 ; Рубль ; 1726 ;  ; Ag ; VF-XF ; 45 ; Участник № 1389 ; 54000 
 216 ; Рубль (редкая, Петров-7р, Ильин-5р) ; 1727 ; СПБ ; Ag ; VF+ ; 20 ; Участник № 100 ; 74000 
 217 ; Рубль ; 1727 ;  ; Ag ; VF ; 52 ; Участник № 9 ; 34000 
 218 ; Рубль ; 1727 ;  ; Ag ; F-VF ; 25 ; Участник № 59 ; 18000 
 219 ; Рубль ; 1727 ;  ; Ag ; VF ; 28 ; Участник № 59 ; 24000 
 220 ; Рубль ; 1727 ;  ; Ag ; VF+ ; 34 ; Участник № 59 ; 34000 
 221 ; Рубль ; 1728 ;  ; Ag ; VF ; 26 ; Участник № 59 ; 36000 
 222 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 26 ; Участник № 59 ; 26000 
 223 ; Рубль ; 1728 ;  ; Ag ; VF ; 43 ; М О С К В А ; 24725 
 224 ; Рубль ; 1728 ;  ; Ag ; VF+ ; 30 ; skylink ; 18626 
 225 ; Рубль ; 1728 ;  ; Ag ; XF- ; 25 ; Участник № 1 ; 54000 
 226 ; Рубль ; 1728 ;  ; Ag ; VF+ ; 35 ; Участник № 59 ; 25000 
 227 ; Рубль ; 1728 ;  ; Ag ; VF ; 32 ; Участник № 1444 ; 27000 
 228 ; Рубль ; 1728 ;  ; Ag ; VF- ; 30 ; 156264 ; 20400 
 229 ; Рубль ; 1728 ;  ; Ag ; VF+ ; 31 ; Участник № 520 ; 28000 
 230 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 25 ; нумизмат ; 33664 
 231 ; Рубль ; 1730 ;  ; Ag ; VF ; 36 ; Basilio ; 35100 
 232 ; Рубль ; 1730 ;  ; Ag ; VF+ ; 60 ; Участник № 51 ; 64000 
 233 ; Рубль ; 1731 ;  ; Ag ; VF+ ; 19 ; Участник № 59 ; 34000 
 234 ; Рубль ; 1731 ;  ; Ag ; VF-XF ; 16 ; Участник № 1389 ; 19000 
 235 ; Рубль ; 1732 ;  ; Ag ; VF- ; 21 ; Участник № 1362 ; 8500 
 236 ; Рубль ; 1732 ;  ; Ag ; VF ; 23 ; Участник № 1344 ; 11500 
 237 ; Рубль ; 1732 ;  ; Ag ; VF-XF ; 36 ; нумизмат ; 18000 
 238 ; Рубль ; 1733 ;  ; Ag ; VF+ ; 18 ; инга ; 15000 
 239 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 35 ; kor ; 12342 
 240 ; Рубль ; 1733 ;  ; Ag ; VF+ ; 20 ; int1965708 ; 13773 
 241 ; Рубль ; 1733 ;  ; Ag ; VF- ; 19 ; Участник № 1362 ; 9000 
 242 ; Рубль ; 1733 ;  ; Ag ; VF ; 32 ; Участник № 51 ; 11000 
 243 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 28 ; Участник № 51 ; 13000 
 244 ; Рубль ; 1735 ;  ; Ag ; VF-XF ; 33 ; Участник № 59 ; 17000 
 245 ; Рубль ; 1736 ;  ; Ag ; VF+ ; 32 ; Alexdav ; 16924 
 246 ; Рубль ; 1736 ;  ; Ag ; VF+ ; 17 ; Участник № 66 ; 13000 
 247 ; Рубль ; 1736 ;  ; Ag ; VF-XF ; 31 ; нумизмат ; 18362 
 248 ; Рубль ; 1737 ;  ; Ag ; VF-XF ; 17 ; Ликвидация ; 11000 
 249 ; Рубль ; 1737 ;  ; Ag ; XF- ; 29 ; М О С К В А ; 19380 
 250 ; Рубль ; 1737 ;  ; Ag ; VF-XF ; 23 ; М О С К В А ; 11568 
 251 ; Рубль ; 1737 ;  ; Ag ; VF-XF ; 38 ; Участник № 51 ; 22000 
 151 ; 5 копеек ; 1848 ; СПБ HI ; Ag ; XF+ ; 31 ; kosta ; 1887 
 152 ; 10 копеек ; 1849 ; СПБ ПА ; Ag ; XF+/XF- ; 61 ; monos72 ; 3995 
 153 ; 5 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 13 ; tisa66 ; 1836 
 154 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; Unc/AU ; 27 ; tisa66 ; 5204 
 155 ; Полушка ; 1851 ; ЕМ ; Cu ; XF ; 19 ; Участник № 1390 ; 1200 
 156 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF ; 31 ; kosta ; 8600 
 157 ; 2 копейки ; 1854 ; ЕМ ; Cu ; XF ; 23 ; ZOLTAN333 ; 3389 
 158 ; Полтина ; 1855 ; СПБ HI ; Ag ; XF+ ; 19 ; нафаня ; 6222 
 159 ; 10 копеек ; 1855 ; СПБ HI ; Ag ; XF+ ; 25 ; ААФ ; 1700 
 160 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; Unc/AU ; 26 ; tisa66 ; 5100 
 161 ; 20 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 39 ; tisa66 ; 5555 
 162 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU/XF ; 19 ; int1965708 ; 1947 
 163 ; 5 копеек ; 1858 ; СПБ ФБ ; Ag ; VF-XF ; 40 ; Участник № 392 ; 21000 
 164 ; 3 копейки (Ильин-1р) ; 1858 ; ВМ ; Cu ; XF ; 36 ; Участник № 100 ; 26000 
 165 ; 2 копейки ; 1858 ; ЕМ ; Cu ; XF- ; 17 ; Участник № 100 ; 2400 
 166 ; Рубль ; 1859 ; На открытие памятника Николаю  ; Ag ; AU ; 27 ; Участник № 640 ; 75000 
 167 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; AU/XF ; 19 ; нафаня ; 5102 
 168 ; 3 копейки ; 1859 ; ВМ ; Cu ; VF- ; 22 ; 156264 ; 4400 
 169 ; 3 копейки (Ильин-1р) ; 1860 ; ВМ ; Cu ; XF ; 58 ; Участник № 100 ; 42000 
 170 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 9 ; Участник № 147 ; 360 
 171 ; Полушка ; 1861 ; ЕМ ; Cu ; XF+ ; 9 ; Участник № 100 ; 3600 
 172 ; 5 копеек.  В капсуле NGCA ; 1865 ; ЕМ ; Cu ; AU 50 ; 13 ; клотик 2 ; 2700 
 173 ; 10 копеек ; 1866 ; СПБ HI ; Ag ; AU ; 31 ; antiquar ; 8500 
 174 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 27 ; Участник № 1204 ; 6500 
 175 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; XF+ ; 16 ; Участник № 100 ; 3600 
 176 ; 15 копеек ; 1872 ; СПБ HI ; Ag ; XF/AU ; 13 ; Участник № 18 ; 3400 
 177 ; 2 копейки ; 1874 ; ЕМ ; Cu ; XF+ ; 9 ; vindmitrij ; 4080 
 178 ; 5 рублей. М-6,54гр ; 1877 ; СПБ НI ; Au ; AU ; 36 ; tisa66 ; 37274 
 179 ; 5 копеек ; 1877 ; СПБ HI ; Ag ; Unc/AU ; 26 ; Участник № 1204 ; 6800 
 180 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 16 ; Участник № 100 ; 1900 
 181 ; 15 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 75 ; Участник № 9 ; 5200 
 182 ; 1/2 копейки ; 1879 ; СПБ ; Cu ; AU ; 38 ; tisa66 ; 2756 
 183 ; Рубль ; 1884 ; СПБ АГ ; Ag ; VF+ ; 35 ; нафаня ; 14733 
 184 ; 15 копеек ; 1884 ; СПБ АГ ; Ag ; AU ; 22 ; Участник № 636 ; 8500 
 185 ; 1/2 копейки ; 1884 ; СПБ ; Cu ; XF+ ; 59 ; vindmitrij ; 5355 
 186 ; 1/4 копейки ; 1885 ; СПБ ; Cu ; AU ; 56 ; maka ; 3173 
 187 ; Рубль ; 1887 ; (АГ) ; Ag ; Unc/AU ; 78 ; destroer ; 96423 
 188 ; 10 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 19 ; Участник № 7 ; 1000 
 189 ; Полтина ; 1891 ; (АГ) ; Ag ; AU ; 66 ; Участник № 1204 ; 69000 
 190 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 56 ; Участник № 100 ; 4800 
 191 ; 1/2 копейки ; 1893 ; СПБ ; Cu ; AU ; 44 ; Участник № 100 ; 3800 
 192 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; Unc/AU ; 20 ; Участник № 392 ; 5000 
 193 ; Копейка ; 1895 ; СПБ ; Cu ; XF+ ; 14 ; maka ; 1734 
 194 ; 1/2 копейки ; 1895 ; СПБ ; Cu ; AU ; 4 ; kol ; 1703 
 195 ; Рубль ; 1896 ; (АГ) ; Ag ; Unc/AU ; 31 ; Участник № 392 ; 27000 
 196 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF ; 33 ; нафаня ; 18572 
 197 ; 1/2 копейки ; 1896 ; СПБ ; Cu ; AU ; 10 ; 462 ; 1587 
 198 ; Рубль ; 1898 ; (АГ) ; Ag ; XF/AU ; 10 ; Участник № 1444 ; 12000 
 199 ; 2 копейки ; 1899 ; СПБ ; Cu ; AU/XF ; 7 ; Участник № 1504 ; 950 
