 5879 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ewgen ; 18 
 5823 ; Лот иностранных бон. Болгария (3 шт) ; 1951 ;  ;  ;  ; 23 ; Pipe ; 191 
 5824 ; Лот иностранных бон. Бирма (5 шт) ; 1994-1997 ;  ;  ;  ; 19 ; .gk ; 72 
 5825 ; Лот иностранных бон. Шри-Ланка (4 шт) ; 1979-1995 ;  ;  ;  ; 17 ; ИЮМов1 ; 210 
 5826 ; Лот иностранных бон. Колумбия (3 шт) ; 1980, 1983 ;  ;  ;  ; 40 ; прохожий ; 204 
 5827 ; Бона иностранная. Заир. 1 новый ликута ; 1993 ;  ;  ;  ; 10 ; Моряк-собиратель ; 57 
 5828 ; Лот иностранных бон. Коста-Рика (3 шт) ; 1989, 1993 ;  ;  ;  ; 15 ; atk ; 42 
 5405 ; Талон. Три копейки. Министерство угольной промышленности. Государственный трест "Арктикуголь" ; 1957 ;  ;  ;  ; 27 ; k212 ; 714 
 5406 ; Разменный сертификат. Десять копеек. Всесоюзное объединение "Внешпосылторг" ; 1966 ;  ;  ;  ; 13 ; Lenchik_2M ; 261 
 5407 ; Билет государственного банка СССР. 50 рублей ; 1961 ;  ;  ;  ; 11 ; dron0506 ; 17 
 5408 ; 10 копеек ; б/г ; Гос.кредитный билет "Северная Россия" ;  ;  ; 19 ; lvd ; 1530 
 5409 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; AU ; 33 ; svv ; 1813 
 5410 ; 25 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 26 ; bonist-3A ; 1530 
 5411 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 37 ; Nik74 ; 633 
 5412 ; Лот бон 5 шт. 1,3,5,10 рублей ; 1898-1909 ;  ;  ;  ; 23 ; market_spb ; 161 
 5413 ; Лот бон 5 шт. 1,3,5,10 рублей ; 1898-1909 ;  ;  ;  ; 35 ; ursus ; 261 
 5414 ; Лот бон 5 шт. 1,3,5,10,25 рублей ; 1898-1909 ;  ;  ;  ; 24 ; cherry ; 308 
 5415 ; Лот бон 5 шт. 1,5,10 рублей ; 1898-1909 ;  ;  ;  ; 17 ; HILL1874 ; 184 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Опятор ; 92 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Опятор ; 82 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Опятор ; 72 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Farah ; 116 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Опятор ; 72 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Опятор ; 72 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Опятор ; 72 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ъхз ; 72 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Опятор ; 72 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Опятор ; 72 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 3 ; газета ; 59 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Опятор ; 82 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Опятор ; 82 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Опятор ; 82 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Опятор ; 82 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ъхз ; 28 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ъхз ; 24 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 35 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 16 ; potters.3 ; 253 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 11 ; .gk ; 100 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ъхз ; 11 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ъхз ; 11 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ъхз ; 13 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 7 ; buba1986 ; 30 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 6 ; potters.3 ; 253 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 23 ; lemofo ; 30 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 9 ; .gk ; 30 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 7 ; som-media ; 101 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Woker ; 101 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 7 ; som-media ; 101 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 17 ; lemofo ; 65 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 6 ; газета ; 90 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Woker ; 101 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 18 ; lemofo ; 100 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 32 ; Ставро ; 500 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Ставро ; 404 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 19 ; imago ; 30 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 18 ; markov-m ; 40 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ек ; 46 
 5355 ; 50 рублей ; 1919 ;  ;  ;  ; 17 ; Antys10 ; 255 
 5356 ; 50 рублей ; 1919 ;  ;  ;  ; 14 ; Ритм ; 225 
 5357 ; 50 рублей ; 1919 ;  ;  ;  ; 15 ; Ритм ; 209 
 5358 ; 500 рублей ; 1919 ;  ;  ;  ; 25 ; Antys10 ; 560 
 5359 ; 1000 рублей ; 1919 ;  ;  ;  ; 34 ; Ритм ; 1102 
 5360 ; 10 рублей ; 1918 ; Гос.кредитный билет "Северная Россия" ;  ;  ; 20 ; НЕВО ; 1529 
 5361 ; 100 рублей ; 1918 ; Заемные билеты.Общество Владикавказской ж/д ;  ;  ; 54 ; bon15041980 ; 2999 
 5362 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты(не выпущены) ;  ;  ; 26 ; ewgen ; 885 
 5363 ; Бона 50 рублей. Елисаветград ; 1920 ;  ;  ;  ; 29 ; alex241 ; 900 
 5364 ; Бона 25 рублей. Елисаветград ; 1919 ;  ;  ;  ; 21 ; НЕВО ; 1134 
 5365 ; Бона 5 рублей. Елисаветград ; 1919 ;  ;  ;  ; 33 ; alex241 ; 1000 
 5366 ; 50 рублей ; 1918 ; Туркестан ;  ;  ; 27 ; _1111_ ; 461 
 5367 ; 25 рублей ; 1918 ; Чек. Со штампом регистрации ;  ;  ; 32 ; Searcher ; 465 
 5368 ; Бона 100 рублей Могилев ; 1918 ;  ;  ;  ; 15 ; ек ; 1224 
 5369 ; Чек на 100 рублей Кисловодск ;  ;  ;  ;  ; 51 ; Antys10 ; 918 
 5370 ; Лот 2 шт. 100 и 1000 рублей ; 1919 ;  ;  ;  ; 18 ; Юбер ; 411 
 5371 ; 500 рублей ; 1920 ;  ;  ;  ; 33 ; Serzh ; 373 
 5372 ; 500 рублей ; 1920 ;  ;  ;  ; 17 ; я8844 ; 306 
 5373 ; Бона 5 рублей Одесса ; 1917 ;  ;  ;  ; 39 ; altunin ; 408 
 5374 ; Лот 12 шт. 1,3,5,10,25 рублей ; 1918 ;  ;  ;  ; 38 ; KNK ; 621 
 5375 ; 50 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 23 ; Antys10 ; 227 
 5376 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 16 ; Serzh ; 82 
 5377 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 48 ; xandexoxa ; 131 
 5378 ; Лот 9 шт. 500 и 1000 рублей. В/З-разные ; 1921 ;  ;  ;  ; 23 ; Serg51 ; 465 
 5379 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 57 ; Serg51 ; 188 
 5380 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 20 ; Ритм ; 202 
 5381 ; 500 рублей. 2 шт ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 24 ; Serg51 ; 300 
 5382 ; 250 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 20 ; никсер ; 255 
 5383 ; Лот 3 шт. 100 рублей ; 1919 ;  ;  ;  ; 29 ; 333985 ; 271 
 5384 ; Лот бон 4 шт. 1,3,5,10 рублей ; 1947 ;  ;  ;  ; 64 ; WOLK ; 875 
 5385 ; Лот бон 6 шт. 15,30,60 рублей ;  ;  ;  ;  ; 34 ; я8844 ; 793 
 5386 ; Лот бон 4 шт. 1,2,3,5 рублей ;  ;  ;  ;  ; 30 ; Serg51 ; 567 
 5387 ; Лот бон 2 шт. 25 и 50 рублей ; 1947 ;  ;  ;  ; 67 ; Serg51 ; 1224 
 5388 ; 100 рублей ; 1947 ; билет ;  ;  ; 48 ; Lenchik_2M ; 1224 
 5389 ; Лот бон 5 шт. 1,3,5 рублей ; 1938 ;  ;  ;  ; 61 ; Serg51 ; 1122 
 5390 ; Георгиевская благотворительная лотерея ; 1919 ;  ;  ;  ; 30 ; kont ; 2380 
 5391 ; Лотерейный билет ; 1923 ;  ;  ;  ; 25 ; AKi ; 1224 
 5392 ; Лотерейный билет ; 1923 ;  ;  ;  ; 27 ; sdfg ; 3436 
 5393 ; Лотерейный билет ; 1942 ;  ;  ;  ; 62 ; Ставро ; 363 
 5394 ; Лот лотерейных билетов 4 шт ;  ;  ;  ;  ; 22 ; я8844 ; 459 
 5395 ; Лот облигаций 3 шт ;  ;  ;  ;  ; 36 ; market_spb ; 302 
 5396 ; Лот облигаций 6 шт ;  ;  ;  ;  ; 22 ; 333985 ; 306 
 5397 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 43 ; Serzh ; 561 
 5398 ; Лот бон 2 шт. 5 и 25 рублей ; 1918 ;  ;  ;  ; 11 ; g.s.g ; 333 
 5399 ; Лот бон 2 шт. 5 и 25 рублей ; 1917,1938 ;  ;  ;  ; 19 ; ZIMOGOR ; 453 
 5400 ; 5000 рублей ; 1921 ; Грузия ;  ;  ; 42 ; Ставро ; 567 
 5401 ; 5000 рублей ; 1992 ; банкнота ;  ;  ; 37 ; Harlock ; 244 
 5402 ; 1000 рублей ; 1997 ; банкнота ;  ;  ; 23 ; gigajohn ; 1275 
 5403 ; Талон. Одна копейка. Министерство морского флота. Государственный трест "Артикуголь" ; 1961 ;  ;  ;  ; 31 ; _1111_ ; 255 
 5404 ; Талон. Две копейки. Министерство угольной промышленности. Государственный трест "Артикуголь" ;  ;  ;  ;  ; 14 ; _1111_ ; 179 
 5305 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 26 ; Antys10 ; 2210 
 5306 ; 25 рублей ; 1918 ; 2 подписи Гос.кредитные билеты(не выпущены) ;  ;  ; 17 ; Инвестор ; 714 
 5307 ; 100 рублей ; 1918 ; Разменные знаки.Совнарком Терской республики ;  ;  ; 25 ; НЕВО ; 1249 
 5308 ; 100 рублей. Оренбургское отделение Государсвенного Банка ; 1917 ;  ;  ;  ; 9 ; НЕВО ; 1041 
 5309 ; Чек на сумму 1000 рублей. Владивостокское отделение Государсвенного Банка ; 1920 ;  ;  ;  ; 33 ; Antys10 ; 1473 
 5310 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 16 ; Northman ; 521 
 5311 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 8 ; atk ; 357 
 5312 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 17 ; messerer ; 350 
 5313 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 17 ; ewgen ; 100 
 5314 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 15 ; xandexoxa ; 123 
 5315 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 10 ; sedoy66 ; 120 
 5316 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 21 ; Northman ; 225 
 5317 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 26 ; Serzh ; 612 
 5318 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 21 ; OlegFox ; 500 
 5319 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 25 ; ursus ; 56 
 5320 ; 1 рубль ; 1898 ; Тимашев. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 17 ; GERo ; 261 
 5321 ; Лот бон России (2 шт): 3 рубля ; 1905 ;  ;  ;  ; 21 ; ALEX150 ; 102 
 5322 ; Лот бон России (3 шт): 25, 10, 5 рублей ; 1909 ;  ;  ;  ; 21 ; Ставро ; 184 
 5323 ; Лот бон России (3 шт: 1, 5, 50 копеек ; 1915 ;  ;  ;  ; 26 ; Trien ; 252 
 5324 ; Лот бон России (2 шт): 1000 и 250 рублей ; 1917 ;  ;  ;  ; 16 ; Юбер ; 204 
 5325 ; 500 рублей ; 1919 ;  ;  ;  ; 31 ; Vb[fksx ; 2346 
 5326 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 31 ; bonist-3A ; 1224 
 5327 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ;  ; 29 ; Lenchik_2M ; 509 
 5328 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 24 ; xandexoxa ; 188 
 5329 ; 10 рублей ; 1922 ; Гос.денежные знаки 1922 г.(образца почтовой марки) ;  ;  ; 25 ; 333985 ; 464 
 5330 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 29 ; ЛАВ-13 ; 167 
 5331 ; 25 копеек. Авансовая карточка. Дальне-Восточный Горный Кооператив ;  ;  ;  ;  ; 33 ; kehha ; 756 
 5332 ; 25 рублей ; 1918 ; без подписей Гос.кредитные билеты(не выпущены) ;  ;  ; 33 ; svv ; 2200 
 5333 ; 5 рублей. Бухара ; 1922 ;  ;  ;  ; 17 ; vitiaz ; 969 
 5334 ; 25 рублей. Бухара ; 1922 ;  ;  ;  ; 14 ; vitiaz ; 969 
 5335 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 25 ; GERo ; 918 
 5336 ; 100 рублей. ОБРАЗЕЦ ; 1947 ; билет ;  ;  ; 24 ; priwet ; 3570 
