 5814 ; Бона иностранная. Бельгия ; 1942 ;  ;  ;  ; 61 ; Первый Самураец ; 2550 
 5811 ; Бона иностранная. США ; 1963 ;  ;  ;  ; 26 ; Sky2 ; 534 
 5812 ; Бона иностранная. США ; 1928 ;  ;  ;  ; 29 ; vladimir12 ; 1005 
 5813 ; Бона иностранная. Албания ;  ;  ;  ;  ; 53 ; Первый Самураец ; 572 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 2128508 ; 123 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Первый Самураец ; 101 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 31 ; ZIMOGOR ; 104 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 17 ; anno70 ; 239 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Ratmen ; 60 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 38 ; Первый Самураец ; 203 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 2128508 ; 137 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 29 ; 2128508 ; 116 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 43 ; Первый Самураец ; 306 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Первый Самураец ; 357 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Первый Самураец ; 203 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ZOLTAN333 ; 209 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 21 ; chex88 ; 123 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 17 ; chex88 ; 107 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 20 ; chex88 ; 110 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 16 ; chex88 ; 104 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 49 ; Pipe ; 291 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Первый Самураец ; 306 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 18 ; ъхз ; 41 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 333985 ; 53 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 33 ; demodex ; 117 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Первый Самураец ; 203 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 17 ; tpkkarat ; 62 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 29 ; demodex ; 108 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Первый Самураец ; 306 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 6 ; сс400 ; 31 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 21 ; я8844 ; 36 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 29 ; nikfed ; 577 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 7 ; скорпион_48 ; 23 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 24 ; sahakala ; 204 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Юбер ; 114 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Первый Самураец ; 306 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 29 ; demodex ; 105 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Первый Самураец ; 204 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 5 ; bethowen ; 184 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 19 ; трутень ; 133 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 79 ; nikfed ; 184 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Первый Самураец ; 204 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 18 ; nikfed ; 305 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 48 ; grond ; 122 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 14 ; sahakala ; 74 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 16 ; sahakala ; 62 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 30 ; 333985 ; 85 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 3 ; max2008 ; 221 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 9 ; сс400 ; 26 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 7 ; doiu33 ; 79 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 17 ; ъхз ; 148 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Юбер ; 102 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 11 ; я8844 ; 46 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 14 ; tpkkarat ; 62 
 5336 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 28 ; Хаа ; 340 
 5337 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 21 ; nils5 ; 1428 
 5338 ; Бона 5 рублей. Либавское городское самоуправление ; 1915 ;  ;  ;  ; 19 ; kropkomp ; 635 
 5339 ; Облигация в 2000 марок, о-во Московско-Казанской ж.д ; 1901 ;  ;  ;  ; 38 ; svv ; 969 
 5340 ; Облигация в 2000 марок, о-во Московско-Ярославско-Архангельской ж.д ; 1897 ;  ;  ;  ; 17 ; тютю ; 674 
 5341 ; Облигация в 500 рублей, о-во Варшавско-Венской ж.д. ; 1890 ;  ;  ;  ; 37 ; Первый Самураец ; 3242 
 5342 ; Облигация в 625 рублей, о-во Варшавско-Венской ж.д. ; 1890 ;  ;  ;  ; 37 ; Первый Самураец ; 2654 
 5343 ; Учредительский пай. А.О. электрической ж.д. в Курске ; 1895 ;  ;  ;  ; 42 ; kropkomp ; 8001 
 5344 ; Облигация в 937,5 рублей о-во подъездных железных путей ; 1913 ;  ;  ;  ; 24 ; 10alex10 ; 625 
 5345 ; Облигация 189 рублей заём г. Николаева ; 1912 ;  ;  ;  ; 48 ; luda ; 1046 
 5346 ; Облигация 189 рублей заём г. С-Петербурга ; 1913 ;  ;  ;  ; 18 ; Максимус ; 469 
 5347 ; Облигация 189 рублей заём г. Баку ; 1910 ;  ;  ;  ; 17 ; Максимус ; 444 
 5348 ; Акция на 250 франков трамвай г. Казань ; 1898 ;  ;  ;  ; 31 ; Первый Самураец ; 2550 
 5349 ; Акция на 100 франков трамвай г. Киев ; 1905 ;  ;  ;  ; 32 ; Первый Самураец ; 2550 
 5350 ; Облигация 500 франков трамвай г. Тифлис ; 1904 ;  ;  ;  ; 22 ; Первый Самураец ; 2550 
 5351 ; Акция на 100 франков трамвай г. С-Петербург ; 1912 ;  ;  ;  ; 15 ; Максимус ; 579 
 5352 ; Облигация 200 рублей заём г. Екатеринослава ; 1904 ;  ;  ;  ; 25 ; Первый Самураец ; 2550 
 5353 ; Облигация 189 рублей заём г. Киева ; 1914 ;  ;  ;  ; 30 ; kehha ; 1020 
 5354 ; Облигация 500 рублей заём г. Одессы ; 1902 ;  ;  ;  ; 58 ; Первый Самураец ; 3060 
 5355 ; Лотерейный билет ; 1929 ;  ;  ;  ; 66 ; Первый Самураец ; 5102 
 5356 ; Лотерейный билет ; 1963 ;  ;  ;  ; 19 ; kropkomp ; 5001 
 5357 ; Облигация в 100 рублей ; 1952 ;  ;  ;  ; 16 ; Первый Самураец ; 105 
 5358 ; Чек на 50 копеек ; 1985 ;  ;  ;  ; 11 ; Первый Самураец ; 126 
 5359 ; Облигация на 500 рублей ; 1952 ;  ;  ;  ; 51 ; Первый Самураец ; 3734 
 5360 ; Облигация на 200 рублей ; 1947 ;  ;  ;  ; 45 ; LDD ; 510 
 5361 ; Облигация на 100 рублей ; 1950 ;  ;  ;  ; 39 ; Первый Самураец ; 1530 
 5362 ; 1 рубль ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 19 ; ЛАВ-13 ; 551 
 5363 ; 25 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 37 ; medved09 ; 1171 
 5364 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 29 ; ctepanovich ; 906 
 5365 ; 3 рубля ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 36 ; ctepanovich ; 3060 
 5367 ; Бона 100 рублей. Россия ; 2014 ;  ;  ;   ; 24 ; musik ; 572 
 5368 ; Бона 100 рублей. Россия ; 2014 ;  ;  ;  ; 36 ; victorsa ; 516 
 5369 ; Бона 100 рублей. Россия ; 2014 ;  ;  ;  ; 47 ; victorsa ; 520 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 15 ; tpkkarat ; 34 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 21 ; kent01 ; 53 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 11 ; трутень ; 70 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Первый Самураец ; 136 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 18 ; середа ; 42 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Первый Самураец ; 126 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Gera_K ; 60 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Monata ; 254 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Первый Самураец ; 237 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Первый Самураец ; 107 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 16 ; fisher_amur ; 57 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 10 ; середа ; 46 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 23 ; середа ; 32 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Первый Самураец ; 50 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 15 ; ZIMOGOR ; 101 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 37 ; Первый Самураец ; 106 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 39 ; ZIMOGOR ; 116 
 5096 ; 5000 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 23 ; сс400 ; 7661 
 5097 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 34 ; nast33 ; 2040 
 5098 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 26 ; ewgen ; 1100 
 5099 ; 50 рублей ; 1899 ; Коншин 1910 г. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 17 ; Gera_K ; 2040 
 5100 ; 500 гривень ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 10 ; станислав-август ; 608 
 5101 ; 1000 гривень ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 26 ; ЛАВ-13 ; 512 
 5102 ; 2000 гривень ; 1918 ; Украина.Державный Кредитовий бiлет. ;  ;  ; 18 ; станислав-август ; 901 
 5103 ; 100 гривень ; 1918 ; Украина.3,6% билет Державной скарбницы.Сер. II-IV ;  ;  ; 24 ; Первый Самураец ; 1529 
 5104 ; 200 гривень ; 1918 ; Украина.3,6% билет Державной скарбницы.Сер. V-VIII ;  ;  ; 24 ; Первый Самураец ; 1529 
 5105 ; 3 рубля (2 шт) ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 10 ; alik434 ; 113 
 5106 ; 10 рублей (2 шт) ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 26 ; fisher_amur ; 87 
 5107 ; 10 рублей (2 шт) ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 17 ; лайк ; 87 
 5108 ; Купоны Лист 18 шт. ; 1917 ;  ;  ;  ; 11 ; kropkomp ; 152 
 5109 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 6 ; середа ; 200 
 5110 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 25 ; Baisel ; 500 
 5301 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 31 ; середа ; 1016 
 5302 ; 5000 рублей ; 1919 ;  ;  ;  ; 23 ; kim64 ; 408 
 5303 ; 250 рублей ; 1918 ;  ;  ;  ; 31 ; kim64 ; 388 
 5304 ; 10000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 39 ; svv ; 3060 
 5305 ; 5000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 38 ; nikfed ; 6120 
 5306 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 47 ; Risaris ; 806 
 5307 ; 5000 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 31 ; nikfed ; 15300 
 5308 ; 1000 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 32 ; nikfed ; 1552 
 5309 ; Бона 5 рублей ; 1918 ;  ;  ;  ; 19 ; Первый Самураец ; 2142 
 5310 ; 25 рублей ; 1918 ;  ;  ;  ; 28 ; RusScat ; 1258 
 5311 ; 25 рублей ; 1918 ; 2 подписи Гос.кредитные билеты(не выпущены) ;  ;  ; 32 ; Baisel ; 1168 
 5312 ; 2 червонца ; 1928 ; Калманович, Горбунов. Билет ;  ;  ; 35 ; alex241 ; 3957 
 5313 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 21 ; kdn7 ; 357 
 5314 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 25 ; JanPol ; 602 
 5315 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ;  ; 15 ; Димыч ; 624 
 5316 ; 10 рублей ; 1947 ; билет ;  ;  ; 33 ; LDD ; 1134 
 5317 ; 25 рублей ; 1947 ; билет ;  ;  ; 17 ; idalgo-17 ; 3060 
 5318 ; 100 рублей ; 1947 ; билет ;  ;  ; 28 ; RemTro ; 1689 
 5319 ; 10000 рублей ; 1993 ; банкнота ;  ;  ; 34 ; RemTro ; 419 
 5320 ; 100000 рублей ; 1995 ; банкнота ;  ;  ; 91 ; Инвестор ; 700 
 5321 ; 100 рублей ; 1991 ; билет ;  ;  ; 22 ; Ratmen ; 354 
 5322 ; 1 рубль ; 1898 ; Плеске. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 45 ; андрей&ка ; 340 
 5323 ; 1 рубль ; 1898 ; Плеске. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 26 ; андрей&ка ; 371 
 5324 ; 3 рубля. 4 шт ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 31 ; Юбер ; 257 
 5325 ; Лот бон 3 шт ;  ;  ;  ;  ; 13 ; Инвестор ; 255 
 5326 ; Лот бон 3 шт ;  ;  ;  ;  ; 55 ; ЛАВ-13 ; 469 
 5327 ; 500 рублей. 2 шт ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 23 ; GERo ; 308 
 5328 ; Лот бон 2 шт. 500 и 1000 рублей ; 1918 ;  ;  ;  ; 12 ; fouli ; 153 
 5329 ; Лот бон 4 шт. 250 и 1000 рублей ; 1917 ;  ;  ;  ; 22 ; апрол ; 510 
 5330 ; Лот бон 3 шт. 250 и 1000 рублей ; 1917 ;  ;  ;  ; 7 ; середа ; 400 
 5331 ; 5 рублей. 10 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 40 ; ЛАВ-13 ; 1224 
 5332 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 27 ; idalgo-17 ; 1409 
 5333 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 31 ; Risaris ; 554 
 5334 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 33 ; Baisel ; 713 
 5335 ; 3 червонца ; 1937 ; Билет ;  ;  ; 37 ; rad22 ; 2935 
 5046 ; 1 рубль Либавское Г.С. ; 1915 ;  ;  ;  ; 28 ; я8844 ; 296 
 5047 ; 1 карбованец. Житомир ; 1918 ;  ;  ;  ; 18 ; 333985 ; 354 
 5048 ; 3 рубля. Либавское Г.С. ; 1915 ;  ;  ;  ; 25 ; я8844 ; 310 
 5049 ; 20 копеек Познань ; 1916 ;  ;  ;  ; 10 ; скорпион_48 ; 102 
 5050 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 17 ; VagusUltra ; 255 
 5051 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 23 ; GERo ; 153 
 5052 ; 25 рублей Крым ; 1918 ;  ;  ;  ; 15 ; ЛАВ-13 ; 371 
 5053 ; 1 Марка. Ковно ; 1918 ;  ;  ;  ; 38 ; Первый Самураец ; 1018 
 5054 ; 50 копеек Познань ; 1916 ;  ;  ;  ; 18 ; сс400 ; 128 
 5055 ; 100 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 19 ; medved09 ; 794 
 5056 ; 250 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 42 ; nikfed ; 3056 
 5057 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 20 ; Gera_K ; 151 
 5058 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; Gera_K ; 113 
 5059 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 15 ; Gera_K ; 102 
 5060 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 21 ; андрей&ка ; 207 
 5061 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 11 ; Ритм ; 204 
 5062 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 13 ; Ритм ; 160 
 5063 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 11 ; bilfox ; 160 
 5064 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 11 ; Хаа ; 100 
 5065 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 35 ; jugla ; 365 
 5066 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 9 ; xramovnik ; 134 
 5067 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 21 ; jugla ; 365 
 5068 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 13 ; Хаа ; 206 
 5069 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 23 ; vladimir12 ; 510 
 5070 ; 50 рублей ; 1961 ; билет ;  ;  ; 24 ; chebeer ; 243 
 5071 ; 3 рубля Одесса ; 1917 ;  ;  ;  ; 27 ; yuri.gruzdev ; 501 
 5072 ; 5 рублей Одесса ; 1917 ;  ;  ;  ; 24 ; Nico ; 512 
 5073 ; 1 червонец ; 1937 ; Билет ;  ;  ; 17 ; Хаа ; 265 
 5074 ; 1 червонец ; 1937 ; Билет ;  ;  ; 11 ; kronprinz ; 319 
 5075 ; 500 рублей Чита ; 1920 ;  ;  ;  ; 19 ; ZIMOGOR ; 355 
 5076 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 11 ; ъхз ; 161 
 5077 ; 10 рублей ; 1947 ; билет ;  ;  ; 18 ; лайк ; 218 
 5078 ; 25 рублей ; 1947 ; билет ;  ;  ; 19 ; kim64 ; 371 
 5079 ; 50 рублей Одесса ; 1917 ;  ;  ;  ; 45 ; Ритм ; 1044 
 5080 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 19 ; Торг приостановлен ; 337 
 5081 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 21 ; Drill ; 407 
 5082 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 25 ; satyrn1 ; 255 
 5083 ; 3 рубля Владивосток ;  ;  ;  ;  ; 24 ; Первый Самураец ; 3060 
