 5979 ; 1000000 злотых Польша ; 1991 ;  ; AU ;  ; 45 ; Бармалей ; 1707 
 5953 ; Бона иностранная Индокитай ;  ;  ;  ;  ; 18 ; bvi ; 118 
 5954 ; Бона иностранная Гамбия ;  ;  ;  ;  ; 21 ; 000SABik ; 126 
 5955 ; Бона иностранная Гамбия ;  ;  ;  ;  ; 14 ; 000SABik ; 155 
 5956 ; Бона иностранная Немецкая Восточная Африка ; 1916 ;  ;  ;  ; 25 ; nikfed ; 900 
 5957 ; Бона иностранная Немецкая Восточная Африка ; 1915 ;  ;  ;  ; 31 ; nikfed ; 900 
 5958 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 17 ; Monata ; 214 
 5959 ; Бона иностранная Испания ; 1928 ;  ;  ;  ; 16 ; bvi ; 104 
 5960 ; Бона иностранная Испания ; 1925 ;  ;  ;  ; 14 ; bvi ; 104 
 5961 ; Бона иностранная Финляндия ; 1918 ;  ;  ;  ; 22 ; flutter ; 171 
 5962 ; Бона иностранная Финляндия ;  ;  ;  ;  ; 9 ; 2128508 ; 92 
 5963 ; Чек ;  ;  ;  ;  ; 38 ; bvi ; 203 
 5964 ; Чек ;  ;  ;  ;  ; 21 ; Valeev ; 255 
 5965 ; Бона иностранная Ливан ;  ;  ; AU ;  ; 19 ; divergent ; 79 
 5966 ; Бона иностранная Польша ; 1916 ;  ;  ;  ; 13 ; murew ; 122 
 5967 ; Бона иностранная Польша ; 1916 ;  ;  ;  ; 13 ; murew ; 204 
 5968 ; Бона иностранная Польша ; 1916 ;  ;  ;  ; 7 ; murew ; 105 
 5969 ; Бона иностранная Польша ; 1916 ;  ;  ;  ; 11 ; murew ; 106 
 5970 ; Бона иностранная Польша ; 1916 ;  ;  ;  ; 42 ; 2262н ; 261 
 5971 ; Бона иностранная Литва ; 1918 ;  ;  ;  ; 8 ; варяг42 ; 306 
 5972 ; Бона иностранная Литва ; 1918 ;  ;  ;  ; 61 ; flutter ; 310 
 5973 ; Бона иностранная Литва ; 1918 ;  ;  ;  ; 18 ; варяг42 ; 510 
 5974 ; 20000 злотых Польша ; 1989 ;  ; AU ;  ; 22 ; Volniy ; 636 
 5975 ; 50000 злотых Польша ; 1989 ;  ; AU ;  ; 28 ; Volniy ; 682 
 5976 ; 100000 злотых Польша ; 1993 ;  ; AU ;  ; 34 ; Volniy ; 768 
 5977 ; 200000 злотых Польша ; 1989 ;  ; AU ;  ; 32 ; Бармалей ; 2038 
 5978 ; 500000 злотых Польша ; 1990 ;  ; AU ;  ; 30 ; Бармалей ; 1493 
 5879 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 15 ; smel ; 200 
 5880 ; Бона иностранная Германия ; 1918 ;  ;  ; AU ; 31 ; air ; 306 
 5881 ; Бона иностранная Германия ; 1918 ;  ;  ; AU ; 13 ; MG ; 124 
 5882 ; Бона иностранная Германия ; 1918 ;  ;  ;  ; 9 ; наташа2712 ; 132 
 5883 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 7 ; 2128508 ; 204 
 5884 ; Бона иностранная Германия ; 1923 ;  ;  ; AU ; 16 ; gdrg2 ; 215 
 5885 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 11 ; наташа2712 ; 146 
 5886 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 15 ; Tral ; 126 
 5887 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 4 ; lsp25 ; 105 
 5888 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 18 ; наташа2712 ; 155 
 5889 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 16 ; smel ; 203 
 5890 ; Бона иностранная Германия ; 1918 ;  ;  ;  ; 19 ; стадник ; 150 
 5891 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 7 ; Владимир Михайлов ; 102 
 5892 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 6 ; nikfed ; 135 
 5893 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 13 ; 06031983 ; 344 
 5894 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 10 ; nikfed ; 320 
 5895 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 36 ; smel ; 220 
 5896 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 12 ; smel ; 198 
 5897 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 12 ; Майкл ; 185 
 5898 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 10 ; smel ; 185 
 5899 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 10 ; smel ; 181 
 5900 ; Бона иностранная Германия ; 1955 ;  ;  ;  ; 20 ; Gera_K ; 192 
 5901 ; Бона иностранная Германия ; 1964 ;  ;  ;  ; 20 ; стадник ; 230 
 5902 ; Ценная бумага Германия ; 1922 ;  ;  ;  ; 29 ; Boss Orange ; 317 
 5903 ; 50 крон Терезиенштадт ; 1943 ;  ;  ;  ; 19 ; Boss Orange ; 882 
 5904 ; Бона иностранная Германия ; 1993 ;  ;  ;  ; 7 ; Boss Orange ; 278 
 5905 ; Бона иностранная Германия ; 1993 ;  ;  ;  ; 8 ; всыня ; 561 
 5906 ; Бона иностранная Германия ; 1996 ;  ;  ;  ; 31 ; nikfed ; 2122 
 5907 ; Бона иностранная Нидерланды ; 1945 ;  ;  ;  ; 16 ; Хаа ; 114 
 5908 ; Бона иностранная Нидерланды ; 1945 ;  ;  ;  ; 22 ; bvi ; 114 
 5909 ; Бона иностранная Нидерланды ; 1953 ;  ;  ;  ; 13 ; Boss Orange ; 273 
 5910 ; Бона иностранная Бельгия ;  ;  ;  ;  ; 7 ; Папа с рацией ; 128 
 5911 ; Бона иностранная Бельгия ; 1972 ;  ;  ;  ; 18 ; танкер Дербент ; 306 
 5912 ; Бона иностранная Чехословакия ; 1960 ;  ;  ;  ; 15 ; divergent ; 51 
 5913 ; Лот нотгельдов 10 шт. Германия ;  ;  ;  ;  ; 20 ; smel ; 454 
 5914 ; Лот нотгельдов 10 шт. Германия ;  ;  ;  ;  ; 27 ; 330 каждому ; 414 
 5915 ; Лот нотгельдов 10 шт. Германия ;  ;  ;  ;  ; 22 ; Tral ; 453 
 5916 ; Лот нотгельдов 10 шт. Германия ;  ;  ;  ;  ; 23 ; smel ; 565 
 5917 ; Лот нотгельдов 10 шт. Германия ;  ;  ;  ;  ; 15 ; наташа2712 ; 484 
 5918 ; Лот нотгельдов 10 шт. Германия ;  ;  ;  ;  ; 15 ; smel ; 510 
 5919 ; Лот нотгельдов 4 шт. Германия ;  ;  ;  ;  ; 16 ; divergent ; 185 
 5920 ; Бона иностранная Германия ;  ;  ;  ;  ; 46 ; flutter ; 601 
 5921 ; Бона иностранная Германия ;  ;  ;  ;  ; 38 ; flutter ; 411 
 5922 ; Бона иностранная Германия ;  ;  ;  ;  ; 45 ; flutter ; 554 
 5923 ; Бона иностранная Германия ;  ;  ;  ;  ; 29 ; Fillipiy ; 235 
 5924 ; Бона иностранная Германия ;  ;  ;  ;  ; 39 ; flutter ; 502 
 5925 ; Бона иностранная Германия ;  ;  ;  ;  ; 36 ; flutter ; 502 
 5926 ; Бона иностранная Гонг-Конг ;  ;  ;  ;  ; 29 ; 7578 ; 429 
 5927 ; Бона иностранная Гонг-Конг ;  ;  ;  ;  ; 17 ; SS2008 ; 201 
 5928 ; Бона иностранная Гонг-Конг ;  ;  ;  ;  ; 33 ; стадник ; 204 
 5829 ; Бона иностранная Латвия ; 1939 ;  ;  ;  ; 19 ; gdrg2 ; 535 
 5830 ; Бона иностранная Латвия ; 1992 ;  ;  ; AU ; 9 ; Мурзик ; 22 
 5831 ; Бона иностранная Латвия ; 1992 ;  ;  ; AU ; 17 ; Фест ; 107 
 5832 ; Бона иностранная Латвия ; 1992 ;  ;  ; AU ; 14 ; solder13 ; 126 
 5833 ; Бона иностранная Латвия ; 1992 ;  ;  ; AU ; 10 ; Vb[fksx ; 162 
 5834 ; Бона иностранная Латвия ; 1992 ;  ;  ; AU ; 15 ; стадник ; 226 
 5835 ; Бона иностранная Франция ; 1940 ;  ;  ;  ; 51 ; mart_si ; 197 
 5836 ; Бона иностранная Франция ; 1926 ;  ;  ;  ; 40 ; mart_si ; 163 
 5837 ; Бона иностранная Франция ; 1925 ;  ;  ;  ; 17 ; стадник ; 217 
 5838 ; Бона иностранная Франция ; 1944 ;  ;  ;  ; 23 ; елец ; 123 
 5839 ; Бона иностранная Франция ; 1944 ;  ;  ;  ; 31 ; елец ; 453 
 5840 ; Бона иностранная Франция ; 1726 ;  ;  ;  ; 12 ; 2128508 ; 510 
 5841 ; Бона иностранная Франция ; 1793 ;  ;  ;  ; 7 ; mart_si ; 367 
 5842 ; Бона иностранная Франция ; 1793 ;  ;  ;  ; 13 ; kimavva ; 505 
 5843 ; Бона иностранная Франция ; 1988 ;  ;  ;  ; 26 ; divergent ; 108 
 5844 ; Бона иностранная Франция ; 1993 ;  ;  ; AU ; 17 ; нв1975 ; 276 
 5845 ; Бона иностранная Франция ; 1978 ;  ;  ;  ; 20 ; divergent ; 104 
 5846 ; Бона иностранная Франция ; 1973 ;  ;  ;  ; 31 ; mart_si ; 127 
 5847 ; Бона иностранная Финляндия ; 1980 ;  ;  ;  ; 34 ; tss ; 182 
 5848 ; Бона иностранная Финляндия ; 1986 ;  ;  ;  ; 23 ; tss ; 153 
 5849 ; Лот бон 2 шт. Финляндия ; 1963 ;  ;  ; AU ; 18 ; Jek327 ; 107 
 5850 ; Бона иностранная Австрия ; 1902 ;  ;  ;  ; 19 ; stal88 ; 261 
 5851 ; Бона иностранная Германия ; 1923 ;  ;  ; AU ; 11 ; СТРЕКОЗА ; 126 
 5852 ; Бона иностранная Германия ; 1918 ;  ;  ;  ; 62 ; nikfed ; 175 
 5853 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 9 ; gdrg2 ; 137 
 5854 ; Бона иностранная Германия ; 1904 ;  ;  ;  ; 18 ; gdrg2 ; 545 
 5855 ; Бона иностранная Германия ; 1917 ;  ;  ; AU ; 13 ; СТРЕКОЗА ; 101 
 5856 ; Бона иностранная Германия ; 1922 ;  ;  ;  ; 6 ; Tral ; 102 
 5857 ; Бона иностранная Польша ; 1919 ;  ;  ; XF ; 7 ; СЁМА ; 222 
 5858 ; Бона иностранная Германия ; 1922 ;  ;  ; AU ; 3 ; СТРЕКОЗА ; 102 
 5859 ; Бона иностранная Германия ; 1935 ;  ;  ;  ; 21 ; k212 ; 228 
 5860 ; Бона иностранная Германия ; 1923 ;  ;  ; AU ; 7 ; 06031983 ; 322 
 5861 ; Бона иностранная Германия ; 1924 ;  ;  ;  ; 43 ; nikfed ; 1500 
 5862 ; Бона иностранная Германия ; 1923 ;  ;  ; AU ; 21 ; murew ; 284 
 5863 ; Бона иностранная Германия ; 1910 ;  ;  ; XF ; 10 ; nikfed ; 1134 
 5864 ; Бона иностранная Германия ; 1922 ;  ;  ;  ; 11 ; stabah ; 153 
 5865 ; Бона иностранная Германия ;  ;  ;  ;  ; 33 ; kimavva ; 272 
 5866 ; Бона иностранная Германия ; 1948 ;  ;  ;  ; 11 ; mart_si ; 101 
 5867 ; Бона иностранная Германия ; 1948 ;  ;  ;  ; 17 ; nikfed ; 567 
 5868 ; Бона иностранная Германия ; 1944 ;  ;  ; AU ; 15 ; mart_si ; 262 
 5869 ; Бона иностранная Германия ;  ;  ;  ; AU ; 15 ; нв1975 ; 328 
 5870 ; Бона иностранная Германия ;  ;  ;  ; AU ; 17 ; 06031983 ; 459 
 5871 ; Бона иностранная Германия ; 1920 ;  ;  ; AU ; 23 ; Tral ; 181 
 5872 ; Бона иностранная Германия ; 1920 ;  ;  ; AU ; 31 ; Tritiy2 ; 144 
 5873 ; Бона иностранная Германия ; 1920 ;  ;  ; AU ; 36 ; Tral ; 61 
 5874 ; Бона иностранная Германия ; 1937 ;  ;  ; AU ; 28 ; gdrg2 ; 104 
 5875 ; Бона иностранная Германия ; 1948 ;  ;  ; AU ; 25 ; gdrg2 ; 308 
 5876 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 19 ; Tral ; 261 
 5877 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 10 ; Tral ; 169 
 5878 ; Бона иностранная Германия ; 1918 ;  ;  ;  ; 33 ; smel ; 312 
 5635 ; Бона иностранная ;  ;  ;  ;  ; 9 ; stal88 ; 125 
 5636 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bvi ; 50 
 5637 ; Бона иностранная ;  ;  ;  ;  ; 24 ; bvi ; 117 
 5638 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Emv ; 26 
 5639 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Emv ; 31 
 5640 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Emv ; 31 
 5641 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 000SABik ; 107 
 5642 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Mihai6 ; 81 
 5643 ; Бона иностранная ;  ;  ;  ;  ; 9 ; bvi ; 28 
 5644 ; Бона иностранная ;  ;  ;  ;  ; 12 ; YG2013 ; 32 
 5645 ; Бона иностранная ;  ;  ;  ;  ; 21 ; divergent ; 22 
 5646 ; Бона иностранная ;  ;  ;  ;  ; 13 ; divergent ; 49 
 5647 ; Бона иностранная ;  ;  ;  ;  ; 23 ; murew ; 161 
 5648 ; Бона иностранная ;  ;  ;  ;  ; 5 ; divergent ; 32 
 5649 ; Бона иностранная ;  ;  ;  ;  ; 12 ; divergent ; 51 
 5650 ; Бона иностранная ;  ;  ;  ;  ; 24 ; gdrg2 ; 123 
 5651 ; Бона иностранная ;  ;  ;  ;  ; 15 ; филипок ; 23 
 5652 ; Бона иностранная ;  ;  ;  ;  ; 21 ; divergent ; 55 
 5653 ; Бона иностранная ;  ;  ;  ;  ; 8 ; flutter ; 51 
 5654 ; Бона иностранная ;  ;  ;  ;  ; 14 ; divergent ; 46 
 5655 ; Бона иностранная ;  ;  ;  ;  ; 8 ; divergent ; 57 
 5800 ; Бона иностранная Великобритания ;  ;  ;  ;  ; 39 ; стадник ; 262 
 5801 ; Бона иностранная Великобритания ;  ;  ;  ;  ; 30 ; serg901 ; 304 
 5802 ; Бона иностранная Австрия ; 1882 ;  ;  ;  ; 38 ; murew ; 3009 
 5803 ; Бона иностранная Германия ; 1910 ;  ;  ; AU ; 21 ; Volniy ; 306 
 5804 ; Бона иностранная Литва ; 1928 ;  ;  ;  ; 59 ; Boss Orange ; 1791 
 5805 ; Лот бон 3 шт. Литва ; 1922 ;  ;  ;  ; 20 ; nikfed ; 3831 
 5806 ; Бона иностранная Литва ; 1993 ;  ;  ; AU ; 41 ; Vb[fksx ; 273 
 5807 ; Бона иностранная Литва ; 1993 ;  ;  ; AU ; 37 ; svv ; 385 
 5808 ; Бона иностранная Литва ; 1993 ;  ;  ; AU ; 30 ; bva150979 ; 1247 
 5809 ; Бона иностранная Литва ; 1993 ;  ;  ; AU ; 29 ; divergent ; 71 
 5810 ; Бона иностранная Литва ; 1992 ;  ;  ; AU ; 17 ; СТРЕКОЗА ; 114 
 5811 ; Бона иностранная Литва ; 1993 ;  ;  ; AU ; 10 ; sts ; 138 
 5812 ; Бона иностранная Литва ; 1992 ;  ;  ; AU ; 36 ; Vb[fksx ; 285 
 5813 ; Бона иностранная Литва ; 1992 ;  ;  ; AU ; 33 ; D-503 ; 200 
 5814 ; Бона иностранная Литва ; 1992 ;  ;  ; AU ; 14 ; Фест ; 90 
 5815 ; Бона иностранная Литва ; 1991 ;  ;  ; AU ; 28 ; Фест ; 104 
 5816 ; Бона иностранная Литва ; 1991 ;  ;  ; AU ; 9 ; gdrg2 ; 30 
 5817 ; Бона иностранная Литва ; 1991 ;  ;  ; AU ; 15 ; Фест ; 68 
 5818 ; Бона иностранная Литва ; 1991 ;  ;  ; AU ; 13 ; СЁМА ; 312 
 5819 ; Бона иностранная Литва ; 1991 ;  ;  ; AU ; 16 ; стадник ; 340 
 5820 ; Бона иностранная Эстония ; 1935 ;  ;  ;  ; 30 ; MG ; 3555 
 5821 ; Бона иностранная Эстония ; 1937 ;  ;  ;  ; 63 ; avilych ; 867 
 5822 ; Бона иностранная Эстония ; 1992 ;  ;  ; AU ; 21 ; Vb[fksx ; 100 
 5823 ; Бона иностранная Эстония ; 1992 ;  ;  ; AU ; 9 ; стадник ; 68 
 5824 ; Бона иностранная Эстония ; 1991 ;  ;  ; AU ; 20 ; svv ; 263 
 5825 ; Бона иностранная Эстония ; 1994 ;  ;  ; AU ; 14 ; svv ; 148 
 5826 ; Бона иностранная Латвия ; 1919 ;  ;  ;  ; 36 ; nikfed ; 900 
 5827 ; Бона иностранная Латвия ; 1919 ;  ;  ;  ; 21 ; bva150979 ; 903 
 5828 ; Бона иностранная Латвия ; 1919 ;  ;  ; XF+ ; 28 ; D-503 ; 1019 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 9 ; bvi ; 30 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 15 ; murew ; 172 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 12 ; доллар  капут ; 28 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 4 ; maksbelov ; 57 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 12 ; bvi ; 126 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 21 ; bvi ; 114 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 25 ; СЁМА ; 177 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 29 ; bvi ; 140 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 47154 ; 14 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 9 ; bvi ; 50 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 13 ; bvi ; 57 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 12 ; bvi ; 57 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 12 ; MG ; 378 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 11 ; stabah ; 51 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Владимир Михайлов ; 34 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 9 ; велес ; 34 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 11 ; maximilian2204 ; 20 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 3 ; вулканолог ; 34 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 3 ; pref ; 22 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 15 ; tss ; 113 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 8 ; maksbelov ; 71 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bvi ; 110 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Monata ; 57 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 7 ; tss ; 101 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 19 ; tss ; 153 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 11 ; вулканолог ; 90 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 5 ; доллар  капут ; 64 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Mihai6 ; 159 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Mihai6 ; 170 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Mihai6 ; 122 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Maz ; 122 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Рубчик ; 309 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 10 ; murew ; 131 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 13 ; вулканолог ; 114 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 16 ; murew ; 128 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 5 ; bva150979 ; 114 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 13 ; divergent ; 72 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 3 ; maximilian2204 ; 11 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 11 ; divergent ; 40 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 6 ; flutter ; 45 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 9 ; bvi ; 50 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 12 ; елец ; 51 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 3 ; YG2013 ; 16 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 1 ; mega ; 2 
 5629 ; Бона иностранная ;  ;  ;  ;  ; 13 ; divergent ; 51 
 5630 ; Бона иностранная ;  ;  ;  ;  ; 3 ; maximilian2204 ; 13 
