 5825 ; Бона иностранная. Германия ; 1922 ;  ;  ;  ; 11 ; ZIMOGOR ; 93 
 5859 ; Лот бон Перу (9шт) ;  ;  ;  ;  ; 21 ; torbey ; 1001 
 5860 ; Лот бон Египта (4шт) ;  ;  ;  ;  ; 23 ; alik434 ; 118 
 5861 ; Лот бон Ливана (3шт) ;  ;  ;  ;  ; 25 ; Monata ; 141 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Slava O ; 31 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Slava O ; 31 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Gera_K ; 78 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 7 ; bva150979 ; 101 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ZIMOGOR ; 124 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kozerog ; 50 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 11 ; НЭРИ ; 203 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kozerog ; 50 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 15 ; max2008 ; 309 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 15 ; НЭРИ ; 261 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Dino Zavr ; 334 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 12 ; НЭРИ ; 305 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 3 ; газета ; 62 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 9 ; toros ; 71 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 7 ; toros ; 66 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Dino Zavr ; 204 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Dino Zavr ; 316 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 10 ; НЭРИ ; 203 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 9 ; max2008 ; 276 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 9 ; max2008 ; 333 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 23 ; aleantf ; 171 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ZIMOGOR ; 102 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 5 ; bva150979 ; 100 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 21 ; ОВМ ; 63 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 19 ; НЭРИ ; 303 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 13 ; кашира ; 101 
 5801 ; 3 рубля ; 1919 ; Латвия. Разменный знак ;  ;  ; 20 ; Bambr ; 228 
 5802 ; Бона иностранная 25 лат. Латвия ; 1928 ;  ;  ;  ; 37 ; umbrella ; 1010 
 5803 ; Бона иностранная. 20 крон Эстония ; 1932 ;  ;  ;  ; 43 ; nikfed ; 439 
 5804 ; Лот бон иностранных 6 шт ;  ;  ;  ;  ; 19 ; Dino Zavr ; 408 
 5805 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 40 ; torbey ; 281 
 5806 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 26 ; Slava O ; 377 
 5807 ; Лот бон иностранных 7 шт ;  ;  ;  ;  ; 35 ; torbey ; 1019 
 5808 ; Бона иностранная. 20 лев Болгария ;  ;  ;  ;  ; 13 ; vasek ; 450 
 5809 ; Лот бон иностранных 6 шт ;  ;  ;  ;  ; 23 ; torbey ; 453 
 5810 ; Лот бон иностранных 2 шт ;  ;  ;  ;  ; 13 ; vasek ; 793 
 5811 ; Лот бон иностранных 18 шт ;  ;  ;  ;  ; 30 ; пасечник ; 240 
 5812 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 17 ; парам ; 198 
 5813 ; Лот бон иностранных 27 шт ;  ;  ;  ;  ; 28 ; Drunja33 ; 477 
 5814 ; Лот бон иностранных 7 шт ;  ;  ;  ;  ; 14 ; pref ; 72 
 5815 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 15 ; mart_si ; 255 
 5816 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 13 ; brat52 ; 57 
 5817 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ratmen ; 41 
 5818 ; Бона иностранная ;  ;  ;  ;  ; 16 ; ZIMOGOR ; 124 
 5819 ; Бона иностранная ;  ;  ;  ;  ; 13 ; grond ; 62 
 5820 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 8 ; aleantf ; 77 
 5821 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 20 ; serg07_67 ; 99 
 5822 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 12 ; ZIMOGOR ; 100 
 5823 ; Бона иностранная. Германия ; 1923 ;  ;  ;  ; 14 ; nikfed ; 159 
 5824 ; Бона иностранная. Германия ; 1902 ;  ;  ;  ; 22 ; 3458 ; 268 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 18 ; _1111_ ; 61 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Papanator62 ; 95 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 29 ; Gera_K ; 82 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 13 ; bingo71 ; 43 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Jiamer57rus ; 25 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 13 ; alexpakh ; 50 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kozerog ; 50 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 10 ; (moskvich) ; 121 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 11 ; аймир ; 118 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Нум24 ; 115 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Andy.Andr ; 26 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kozerog ; 64 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 24 ; unkas79 ; 364 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 18 ; НЭРИ ; 100 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 24 ; 4758 ; 86 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 9 ; .gk ; 48 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 29 ; alex1974 ; 152 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 17 ; alex1974 ; 153 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Papanator62 ; 113 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Стрепет ; 249 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 17 ; kozerog ; 53 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kozerog ; 90 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Dino Zavr ; 204 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 42 ; _1111_ ; 102 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 15 ; alexpakh ; 51 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Monata ; 70 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 12 ; VOLKODAVS5 ; 31 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 11 ; _1111_ ; 32 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 14 ; _1111_ ; 129 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Gera_K ; 181 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 35 ; alex1974 ; 152 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 5 ; кашира ; 99 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 22 ; _1111_ ; 102 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 12 ; VOLKODAVS5 ; 31 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 27 ; smel ; 215 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 16 ; кашира ; 101 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 11 ; nikfed ; 203 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 9 ; igor39 ; 50 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 7 ; igor39 ; 50 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Drunja33 ; 149 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 18 ; SANGOLD1 ; 310 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 5 ; igor39 ; 50 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 9 ; bingo71 ; 30 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ZIMOGOR ; 119 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ZIMOGOR ; 70 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ZIMOGOR ; 70 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 22 ; kozerog ; 62 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 18 ; kozerog ; 50 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 11 ; max2008 ; 260 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Gera_K ; 117 
 5429 ; 1000 рублей ; 1995 ; банкнота ;  ; AU ; 13 ; torbey ; 658 
 5430 ; 100000 рублей ; 1995 ; банкнота ;  ;  ; 25 ; rbcrf ; 636 
 5431 ; 50 копеек ; 1923 ; Денежные знаки (с рисунком монеты) ;  ;  ; 34 ; ЛАВ-13 ; 634 
 5432 ; 10 рублей ; 1918 ; Закавказье ;  ;  ; 35 ; ЛАВ-13 ; 625 
 5433 ; Лотерейный билет "ОСОАВИАХИМА" ; 1934 ;  ;  ;  ; 27 ; solder13 ; 420 
 5434 ; Облигация на 10 рублей ; 1953 ;  ;  ;  ; 23 ; LDD ; 408 
 5435 ; Облигация на 100 рублей ; 1956 ;  ;  ;  ; 20 ; кашира ; 160 
 5436 ; Облигация на 100 рублей ; 1955 ;  ;  ;  ; 12 ; кашира ; 160 
 5437 ; Облигация на 100 рублей ; 1953 ;  ;  ;  ; 16 ; svv ; 283 
 5438 ; Лот билетов МММ. 10 шт ;  ;  ;  ;  ; 32 ; serg07_67 ; 410 
 5439 ; Лот купон 5 и 10 рублей ;  ;  ;  ;  ; 8 ; 4758 ; 30 
 5440 ; Банковский вексель. Латвия ;  ;  ;  ;  ; 5 ; аймир ; 62 
 5441 ; Банковский вексель. Латвия ;  ;  ;  ;  ; 23 ; benc ; 285 
 5442 ; Облигация на 10000 рублей. ОБРАЗЕЦ ; 1992 ;  ;  ;  ; 17 ; LDD ; 555 
 5443 ; Лот облигаций 3 шт. ОБРАЗЦЫ ;  ;  ;  ;  ; 23 ; kont ; 1387 
 5444 ; Золотой чек ;  ;  ;  ;  ; 28 ; Guerras ; 1122 
 5445 ; Лот платежных средств Березовская ГРЭС-1 (4шт): 1000,500 единиц ; 1992 ;  ;  ;  ; 11 ; Ratmen ; 453 
 5446 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 19 ; смит ; 110 
 5447 ; 20 рублей. Квартблок ;  ;  ;  ;  ; 25 ; 4758 ; 104 
 5448 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 20 ; dimer ; 33 
 5449 ; 50 рублей. Заем свободы ; 1917 ;  ;  ;  ; 11 ; bonist-3A ; 518 
 5450 ; 1 копейка ; 1917 ; Деньги-марки ;  ;  ; 23 ; Александр60 ; 79 
 5451 ; 100000 рублей ; 1995 ; банкнота ;  ; AU ; 35 ; zima ; 1326 
 5452 ; 50000 рублей ; 1995 ; банкнота ;  ; AU ; 38 ; Lenchik_2M ; 1950 
 5453 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 11 ; Numizmat2013 ; 370 
 5454 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 17 ; dima85 ; 57 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 8 ; ZIMOGOR ; 101 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 9 ; grond ; 61 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 13 ; кашира ; 102 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 14 ; кашира ; 70 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 27 ; alexpakh ; 40 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 9 ; кашира ; 50 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 15 ; toros ; 22 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 15 ; любитель555 ; 36 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 21 ; кашира ; 101 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 10 ; bva150979 ; 130 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 17 ; toros ; 100 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Jan Grandier ; 107 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 18 ; toros ; 71 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 12 ; toros ; 51 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 6 ; bva150979 ; 130 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 8 ; toros ; 31 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 33 ; Стрепет ; 140 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 8 ; toros ; 36 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 20 ; кашира ; 155 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 23 ; .gk ; 48 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 333985 ; 46 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Monata ; 130 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 13 ; bethowen ; 203 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 17 ; alex1974 ; 153 
 5379 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 13 ; xladon ; 332 
 5380 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 27 ; nikfed ; 2601 
 5381 ; 25 рублей ; 1947 ; билет ;  ;  ; 28 ; torbey ; 3526 
 5382 ; 10000 рублей ; 1992 ; банкнота ;  ; AU ; 12 ; смит ; 512 
 5383 ; 10000 рублей ; 1995 ; банкнота ;  ; AU ; 32 ; 17 ; 874 
 5384 ; 100000 рублей ; 1995 ; банкнота ;  ; AU ; 38 ; torbey ; 1129 
 5385 ; Лот бон 4 шт. 10,50,5000 рублей ; 1961-1995 ;  ;  ;  ; 27 ; zima ; 2301 
 5386 ; Облигация в 1 рубль ; 1924 ;  ;  ;  ; 53 ; sher60 ; 2152 
 5387 ; Лотерейный билет "ОСОАВИАХИМА" ; 1929 ;  ;  ;  ; 36 ; НЕВО ; 1473 
 5388 ; Талон 5 рублей "АРКТИКУГОЛЬ" ;  ;  ;  ;  ; 47 ; vladzory ; 2550 
 5389 ; Лот 15 шт. Гербовые марки в листе. 20 рублей ; 1923 ;  ;  ;  ; 45 ; Dino Zavr ; 408 
 5390 ; 1 рубль ; 1898 ; Коншин. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 36 ; SlavA ; 11985 
 5391 ; 1 рубль ; 1898 ; Плеске. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 21 ; gsv0703 ; 306 
 5392 ; 1 рубль ; 1898 ; Тимашев. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 23 ; solder13 ; 641 
 5393 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 29 ; GERo ; 153 
 5394 ; 3 рубля ; 1905 ; Тимашев. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 11 ; GERo ; 1326 
 5395 ; Лот бон 3 шт. 3 рубля (Тимашов,Коншин,Шипов) ; 1905 ;  ;  ;  ; 28 ; zima ; 1020 
 5396 ; 5 рублей. 3 шт ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 15 ; 4758 ; 120 
 5397 ; Лот бон 5 шт. 1,3,5 рублей ; 1898-1909 ;  ;  ;  ; 22 ; vizer ; 155 
 5398 ; Лот бон 3 шт. 50 копеек ;  ;  ;  ;  ; 15 ; апрол ; 92 
 5399 ; Лот бон 2 шт. 500 и 1000 рублей ; 1918 ;  ;  ;  ; 13 ; yunonik ; 67 
 5400 ; Лот бон 3 шт. 20 рублей ;  ;  ;  ;  ; 13 ; апрол ; 16 
 5401 ; 5 копеек ;  ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ;  ; 21 ; Vb[fksx ; 697 
 5402 ; 10 копеек ;  ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ;  ; 27 ; 4758 ; 357 
 5403 ; 30 копеек ;  ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ;  ; 23 ; ЛАВ-13 ; 522 
 5404 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ; XF+ ; 52 ; Numizmat2013 ; 1326 
 5405 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ; AU ; 65 ; rad22 ; 3189 
 5406 ; 5 рублей ; 1947 ; Гос.казначейский билет ;  ; XF+ ; 65 ; Numizmat2013 ; 3009 
 5407 ; 10000 рублей ; 1994 ; банкнота ;  ; AU ; 53 ; ЛАВ-13 ; 1994 
 5408 ; 5 рублей ; 1997 ; банкнота ;  ; XF+ ; 20 ; xladon ; 534 
 5409 ; 3 червонца ; 1937 ; Билет ;  ;  ; 29 ; kronprinz ; 1326 
 5410 ; Облигация на 100 рублей ; 1951 ;  ;  ;  ; 12 ; вован-61 ; 100 
 5411 ; Облигация на 100 рублей ; 1956 ;  ;  ;  ; 17 ; спарта ; 69 
 5412 ; 500 рублей ; 1898 ; Коншин 1910 г. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 48 ; Eilenau ; 4840 
 5413 ; 50 рублей ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 15 ; ЛАВ-13 ; 561 
 5414 ; Лот бон 5 шт ;  ;  ;  ;  ; 18 ; 4758 ; 1928 
 5415 ; 50 марок золотом ; 1898 ; Финляндия билет ;  ;  ; 27 ; себер ; 4164 
 5416 ; 50 рублей ; 1899 ; Коншин 1910 г. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 17 ; спарта ; 1027 
 5417 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 29 ; смит ; 1020 
 5418 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 24 ; nikfed ; 1125 
 5419 ; Дорожный чек на 10 рублей. Гос.банк СССР ; 1966 ;  ;  ;  ; 26 ; luchsva ; 722 
 5420 ; Облигация на 100 рублей ; 1951 ;  ;  ;  ; 13 ; спарта ; 90 
 5421 ; Сертификат 50 копеек "ВНЕШПОСЫЛТОРГ" ; 1965 ;  ;  ;  ; 54 ; шев ; 1938 
 5422 ; Сертификат  "ВНЕШПОСЫЛТОРГА" 1 рубль ; 1966 ;  ;  ;  ; 41 ; шев ; 1143 
 5423 ; Облигация на 500 рублей ; 1952 ;  ;  ;  ; 32 ; Guerras ; 3958 
 5424 ; Облигация на 100 рублей ; 1946 ;  ;  ;  ; 24 ; LDD ; 131 
 5425 ; Облигация на 10 рублей ; 1936 ;  ;  ;  ; 35 ; 4758 ; 509 
 5426 ; 50 рублей ; 1919 ;  ;  ;  ; 22 ; LDD ; 216 
 5427 ; 10000 рублей ; 1992 ; банкнота ;  ; AU ; 18 ; John16 ; 510 
 5428 ; 5000 рублей ; 1992 ; банкнота ;  ; AU ; 11 ; Numizmat2013 ; 426 
 5329 ; 3 червонца ; 1937 ; Билет ;  ;  ; 21 ; nikfed ; 1428 
 5330 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 36 ; lesnik1 ; 319 
 5331 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ;  ; 57 ; LDD ; 920 
 5332 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 39 ; toros ; 408 
 5333 ; 100 рублей ; 1947 ; билет ;  ; AU ; 39 ; zima ; 13444 
 5334 ; 10000000 рублей ; 1923 ; Закавказье ;  ;  ; 47 ; cochu ; 1080 
 5335 ; 500000 рублей ; 1995 ; банкнота ;  ;  ; 92 ; Potap ; 14880 
 5336 ; Лот бон 2 шт. 50 и 100 рублей ; 1961 ;  ;  ; AU ; 20 ; смит ; 739 
 5337 ; Лот бон 6 шт. ;  ;  ;  ;  ; 26 ; Georgy ; 663 
 5338 ; 500 рублей ; 1992 ; билет ;  ; AU ; 16 ; Numizmat2013 ; 531 
 5339 ; 1000 рублей ; 1992 ; билет ;  ; AU ; 15 ; Georgy ; 418 
 5340 ; 5000 рублей ; 1992 ; банкнота ;  ; AU ; 21 ; John16 ; 357 
 5341 ; 10000 рублей ; 1992 ; банкнота ;  ; AU ; 20 ; victorsa ; 908 
 5342 ; Лот деньги-марки 5 шт ;  ;  ;  ;  ; 26 ; LDD ; 340 
 5343 ; Лот гербовые марки 2 шт. 2 и 300 рублей ;  ;  ;  ;  ; 23 ; Guerras ; 567 
 5344 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 70 ; аймир ; 333 
 5345 ; Лот бон 5 шт. 1,2,3,5,50 копеек ;  ;  ;  ;  ; 47 ; всё моё ; 611 
 5346 ; Лот бон 3 шт. 250,1000,5000 рублей ; 1917,1918 ;  ;  ;  ; 47 ; market_spb ; 582 
 5347 ; 500 рублей ; 1919 ;  ;  ;  ; 11 ; LDD ; 462 
 5348 ; 1000 рублей ; 1919 ;  ;  ;  ; 22 ; LDD ; 623 
 5349 ; Лот бон 2 шт. 25 и 250 рублей ; 1919 ;  ;  ;  ; 20 ; sato ; 482 
 5350 ; 50 рублей ; 1919 ;  ;  ;  ; 17 ; zima ; 510 
 5351 ; 1000 рублей ; 1919 ;  ;  ;  ; 22 ; смит ; 669 
 5352 ; Лот бон 2 шт. 1 и 3 рубля ; 1918 ;  ;  ;  ; 12 ; maxm812 ; 765 
 5353 ; Лот бон 3 шт. 5,25,50 рублей ; 1918 ;  ;  ;  ; 36 ; скорпион_48 ; 218 
 5354 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 25 ; bonipari ; 189 
 5355 ; 250 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 24 ; bonipari ; 225 
 5356 ; Лот бон 2 шт. 500 и 1000 рублей ; 1918 ;  ;  ;  ; 30 ; GERo ; 114 
 5357 ; Лот бон 3 шт. 1,5,10 рублей ; 1918 ;  ;  ;  ; 17 ; Александр60 ; 364 
 5358 ; Лот бон 2 шт. 100 и 250 рублей ; 1919 ;  ;  ;  ; 10 ; idalgo-17 ; 130 
 5359 ; 50 копеек ;  ;  ;  ;  ; 21 ; dima85 ; 227 
 5360 ; Лот бон 2 шт. ;  ;  ;  ;  ; 37 ; ЛАВ-13 ; 722 
 5361 ; 25 рублей ; 1947 ; билет ;  ;  ; 32 ; Fliege1 ; 934 
 5362 ; Лот бон 4 шт. 1,2.3,5 рублей ;  ;  ;  ;  ; 29 ; LDD ; 420 
 5363 ; Лот бон 6 шт.1.5.10,500 рублей ; 1961-2004 ;  ;  ;  ; 17 ; 8888 ; 239 
 5364 ; Лот бон 10 шт. ; 1961,1991 ;  ;  ;  ; 10 ; Ratmen ; 816 
 5365 ; Дорожный чек 2 шт. на 50 и 100 рублей. Банк для внешней торговли СССР. ;  ;  ;  ;  ; 19 ; svv ; 510 
 5366 ; Чек Внешэкономбанка СССР на 5 и 10 копеек ;  ;  ;  ;  ; 6 ; Gera_K ; 102 
 5367 ; Облигация на 100 рублей ; 1955 ;  ;  ;  ; 9 ; Emv ; 22 
 5368 ; Облигация на 100 рублей ; 1956 ;  ;  ;  ; 15 ; трутень ; 57 
 5369 ; Лот деньги-марки 6 шт ;  ;  ;  ;  ; 23 ; LDD ; 555 
 5370 ; 250 рублей ; 1918 ;  ;  ;  ; 17 ; bon15041980 ; 918 
 5371 ; 25 рублей ; 1918 ;  ;  ;  ; 23 ; SANGOLD1 ; 1631 
 5372 ; 50 копеек ;  ;  ;  ;  ; 27 ; ЛАВ-13 ; 357 
