 5619 ; Лот бон 100 штук Китай ;  ;  ;  ; AU ; 22 ; USS ; 558 
 5552 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 18 ; Wulf ; 101 
 5553 ; Бона иностранная Аргентина ;  ;  ;  ; AU ; 15 ; Wulf ; 104 
 5554 ; Бона иностранная Бирма ;  ;  ;  ; AU ; 12 ; alfredo ; 104 
 5555 ; Бона иностранная Египет ;  ;  ;  ; AU ; 15 ; alfredo ; 104 
 5556 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 30 ; alfredo ; 77 
 5557 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 19 ; divergent ; 101 
 5558 ; Бона иностранная Гана ;  ;  ;  ; AU ; 16 ; Wulf ; 184 
 5559 ; Бона иностранная Египет ;  ;  ;  ;  ; 14 ; alfredo ; 72 
 5560 ; Бона иностранная Египет ;  ;  ;  ;  ; 8 ; alfredo ; 68 
 5561 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 26 ; alfredo ; 72 
 5562 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 13 ; Аленка ; 102 
 5563 ; Бона иностранная Иран ;  ;  ;  ;  ; 17 ; alfredo ; 72 
 5564 ; Бона иностранная Иран ;  ;  ;  ;  ; 16 ; Аленка ; 104 
 5565 ; Бона иностранная Иран ;  ;  ;  ;  ; 31 ; Sky2 ; 104 
 5566 ; Бона иностранная Иран ;  ;  ;  ;  ; 17 ; Sky2 ; 108 
 5567 ; Бона иностранная Кувейт ;  ;  ;  ;  ; 29 ; alfredo ; 104 
 5568 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 9 ; alesjane ; 114 
 5469 ; 200 метикаис Мозамбик ; 2011 ;  ;  ; AU ; 32 ; СТРЕКОЗА ; 508 
 5470 ; 100 метикаис Мозамбик ; 2011 ;  ;  ; AU ; 19 ; Wulf ; 357 
 5471 ; 50 цедис Гана ; 1983 ;  ;  ;  ; 13 ; yuvg ; 264 
 5472 ; 20 леон Сиерра-Леоне ; 1984 ;  ;  ;  ; 30 ; nero ; 357 
 5473 ; 10000 песо Гвинея-Биссау ; 1993 ;  ;  ; AU ; 25 ; СТРЕКОЗА ; 612 
 5474 ; 1000 песо Гвинея-Биссау ; 1993 ;  ;  ; AU ; 15 ; bagsy ; 114 
 5475 ; 100 песо Гвинея-Биссау ; 1990 ;  ;  ; AU ; 39 ; bagsy ; 114 
 5476 ; 100 франков Гвинея ; 1960 ;  ;  ; AU ; 26 ; bagsy ; 104 
 5477 ; 1 гульден Суринам ; 1960 ;  ;  ;  ; 18 ; murew ; 179 
 5478 ; 25 гульденов Суринам ; 2000 ;  ;  ;  ; 52 ; bagsy ; 555 
 5479 ; 100 гульденов Суринам ; 2000 ;  ;  ;  ; 13 ; bagsy ; 227 
 5480 ; 5 гульденов Суринам ; 1996 ;  ;  ;  ; 30 ; yuvg ; 340 
 5481 ; 5 гульденов Суринам ; 1963 ;  ;  ; AU ; 23 ; bagsy ; 175 
 5482 ; 25 гульденов Суринам ; 1985 ;  ;  ; AU ; 25 ; bagsy ; 155 
 5483 ; 1000 гульденов Суринам ; 1995 ;  ;  ; AU ; 34 ; bagsy ; 869 
 5484 ; 5 наир Нигерия ;  ;  ;  ;  ; 13 ; bagsy ; 239 
 5485 ; 1 наир Нигерия ;  ;  ;  ;  ; 29 ; bagsy ; 257 
 5486 ; Лот бон 2 штуки Биафра ;  ;  ;  ;  ; 13 ; alesjane ; 466 
 5487 ; 1 доллар Канада ; 1973 ;  ;  ;  ; 33 ; Семен ; 340 
 5488 ; 5 долларов Барбадос ;  ;  ;  ;  ; 19 ; стадник ; 202 
 5489 ; 50 боливар Венесуэла ;  ;  ;  ;  ; 13 ; alfredo ; 72 
 5490 ; 100 боливар Венесуэла ;  ;  ;  ;  ; 10 ; alfredo ; 67 
 5491 ; Бона иностранная Тайланд ;  ;  ;  ;  ; 9 ; СТРЕКОЗА ; 175 
 5492 ; Бона иностранная Тайланд ;  ;  ;  ;  ; 12 ; alfredo ; 72 
 5493 ; 50 шилингов Кения ; 1987 ;  ;  ; AU ; 17 ; СТРЕКОЗА ; 399 
 5494 ; 100 шилингов Кения ; 1992 ;  ;  ; AU ; 8 ; plushka123 ; 234 
 5495 ; 10 франков Конго ; 1997 ;  ;  ;  ; 14 ; alfredo ; 72 
 5496 ; 100 франков Конго ;  ;  ;  ;  ; 17 ; ufa ; 414 
 5497 ; Бона иностранная Марокко ;  ;  ;  ;  ; 25 ; murew ; 227 
 5498 ; 20 наир Нигерия ;  ;  ;  ;  ; 12 ; alesjane ; 238 
 5499 ; Бона иностранная Свазиленд ;  ;  ;  ; AU ; 29 ; СТРЕКОЗА ; 227 
 5500 ; Бона иностранная Свазиленд ;  ;  ;  ; AU ; 26 ; nero ; 417 
 5501 ; Бона иностранная Свазиленд ;  ;  ;  ; AU ; 29 ; nero ; 317 
 5502 ; 2 доллара. США ; 1928 ;  ;  ;  ; 29 ; yuvg ; 1000 
 5503 ; 20 лит Литва ; 1993 ;  ;  ;  ; 14 ; всыня ; 370 
 5504 ; 100 силис Гвинея ; 1960 ;  ;  ;  ; 20 ; SS2008 ; 193 
 5505 ; 10 динар Ливия ;  ;  ;  ;  ; 37 ; doc2 ; 426 
 5506 ; 1/4 динара Ливия ;  ;  ;  ;  ; 36 ; doc2 ; 450 
 5507 ; 10 динар Алжир ; 1970 ;  ;  ; AU ; 17 ; murew ; 570 
 5508 ; Бона иностранная Китай ;  ;  ;  ;  ; 32 ; boroda ; 368 
 5509 ; Бона иностранная Япония ;  ;  ;  ;  ; 40 ; Monata ; 570 
 5510 ; Бона иностранная Япония ;  ;  ;  ;  ; 47 ; Monata ; 816 
 5511 ; Бона иностранная Япония ;  ;  ;  ;  ; 34 ; Monata ; 624 
 5512 ; Бона иностранная Гонг-Конг ;  ;  ;  ;  ; 8 ; boroda ; 227 
 5513 ; Бона иностранная Китай ;  ;  ;  ;  ; 51 ; Monata ; 306 
 5514 ; Бона иностранная Египет ;  ;  ;  ;  ; 22 ; boroda ; 466 
 5515 ; 100 риал Иран ;  ;  ;  ; AU ; 22 ; vad52 ; 83 
 5516 ; Бона иностранная. Куба ;  ;  ;  ;  ; 45 ; 4758 ; 281 
 5517 ; Бона иностранная. Мексика ;  ;  ;  ;  ; 23 ; max2008 ; 999 
 5518 ; Бона иностранная. Мексика ;  ;  ;  ;  ; 14 ; max2008 ; 2222 
 5419 ; 100 франков Франция ; 1942 ;  ;  ;  ; 43 ; Lex2000 ; 241 
 5420 ; 100 франков Франция ; 1976 ;  ;  ;  ; 22 ; gdrg2 ; 229 
 5421 ; 100 франков Франция ; 1980 ;  ;  ;  ; 35 ; Lex2000 ; 217 
 5422 ; 100 франков Франция ; 1944 ;  ;  ;  ; 42 ; Sky2 ; 340 
 5423 ; 2 франка Франция ; 1944 ;  ;  ;  ; 18 ; Sky2 ; 171 
 5424 ; 5 франков Франция ; 1942 ;  ;  ;  ; 29 ; вэл ; 121 
 5425 ; 5 франков Франция ; 1947 ;  ;  ;  ; 14 ; трутень ; 115 
 5426 ; Бона иностранная Франция ;  ;  ;  ;  ; 10 ; boroda ; 340 
 5427 ; 1 фунт Великобритания ;  ;  ;  ;  ; 40 ; pentagr ; 206 
 5428 ; Бона иностранная Бельгия ;  ;  ;  ;  ; 34 ; boroda ; 400 
 5429 ; Бона иностранная Италия ;  ;  ;  ; AU ; 54 ; Lex2000 ; 684 
 5430 ; 1 фунт Австралия ;  ;  ;  ;  ; 32 ; nero ; 1134 
 5431 ; 1 фунт Мальта ;  ;  ;  ;  ; 32 ; nero ; 1134 
 5432 ; Бона иностранная Франция ;  ;  ;  ;  ; 80 ; boroda ; 518 
 5433 ; Бона иностранная Швеция ;  ;  ;  ;  ; 44 ; Lex2000 ; 227 
 5434 ; Бона иностранная Дания ;  ;  ;  ;  ; 29 ; bagsy ; 408 
 5435 ; Бона иностранная. Финляндия ;  ;  ;  ;  ; 22 ; 333985 ; 175 
 5436 ; Бона иностранная. Финляндия ;  ;  ;  ;  ; 9 ; 333985 ; 87 
 5437 ; 2 доллара США ; 1963 ;  ;  ;  ; 43 ; moss76 ; 1632 
 5438 ; 1 доллар США ; 1957 ;  ;  ; AU ; 79 ; Sky2 ; 809 
 5439 ; 1 доллар США ; 1969 ;  ;  ;  ; 27 ; tss ; 118 
 5440 ; Бона иностранная. США ;  ;  ;  ;  ; 18 ; alfredo ; 105 
 5441 ; Бона иностранная. США ;  ;  ;  ;  ; 10 ; alfredo ; 104 
 5442 ; Бона иностранная. США ;  ;  ;  ;  ; 14 ; alfredo ; 104 
 5443 ; Бона иностранная. США ;  ;  ;  ;  ; 12 ; alfredo ; 107 
 5444 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 16 ; 4758 ; 88 
 5445 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 23 ; alesjane ; 155 
 5446 ; Бона иностранная. Австрия ;  ;  ;  ;  ; 8 ; 4758 ; 91 
 5447 ; Бона иностранная. Испания ;  ;  ;  ;  ; 15 ; гш888 ; 101 
 5448 ; Бона иностранная. Приднестровье ;  ;  ;  ;  ; 22 ; bagsy ; 102 
 5449 ; Бона иностранная. Приднестровье ;  ;  ;  ;  ; 32 ; gdrg2 ; 114 
 5450 ; Бона иностранная. Венгрия ;  ;  ;  ;  ; 5 ; SIBPROPILOT ; 100 
 5451 ; Бона иностранная. Литва ;  ;  ;  ;  ; 7 ; prostor.71 ; 153 
 5452 ; Бона иностранная. Финляндия ;  ;  ;  ;  ; 22 ; Monata ; 126 
 5453 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 19 ; Аленка ; 91 
 5454 ; Бона иностранная. Италия ;  ;  ;  ;  ; 9 ; yuvg ; 150 
 5455 ; Бона иностранная. Швеция ;  ;  ;  ;  ; 23 ; krugerrand ; 200 
 5456 ; Бона иностранная Болгария ;  ;  ;  ;  ; 37 ; Lex2000 ; 91 
 5457 ; Бона иностранная Болгария ;  ;  ;  ;  ; 33 ; alfredo ; 89 
 5458 ; Бона иностранная. Югославия ;  ;  ;  ;  ; 11 ; Аленка ; 91 
 5459 ; 5000 динар СФРЮ ;  ;  ;  ;  ; 10 ; alfredo ; 72 
 5460 ; 5000 франков Западная Африка ;  ;  ;  ;  ; 14 ; Моряк-собиратель ; 567 
 5461 ; 1000 франков Западная Африка ; 1987 ;  ;  ;  ; 8 ; ufa ; 466 
 5462 ; 1000 франков Западная Африка ;  ;  ;  ; AU ; 28 ; Wulf ; 801 
 5463 ; 500 франков Мали ;  ;  ;  ;  ; 57 ; nero ; 1800 
 5464 ; 100 эскудо Мозамбик ; 1961 ;  ;  ;  ; 11 ; Аленка ; 91 
 5465 ; 20 шиллингов Кения ; 1973 ;  ;  ;  ; 6 ; alesjane ; 228 
 5466 ; 50 пул Ботсвана ;  ;  ;  ;  ; 24 ; yuvg ; 340 
 5467 ; 1000 шилингов Танзания ;  ;  ;  ;  ; 12 ; divergent ; 105 
 5468 ; 1000 шилингов Танзания ;  ;  ;  ;  ; 15 ; yuvg ; 212 
 5369 ; 500 динар Сербия ; 1941 ;  ;  ;  ; 76 ; Ok203 ; 338 
 5370 ; 100 динар Сербия ; 1941 ;  ;  ;  ; 11 ; Ok203 ; 114 
 5371 ; 5000 кун Хорватия ; 1943 ;  ;  ;  ; 26 ; nero ; 408 
 5372 ; 100 кун Хорватия ; 1941 ;  ;  ;  ; 17 ; doc2 ; 453 
 5373 ; 10 кун Хорватия ; 1941 ;  ;  ;  ; 18 ; nero ; 340 
 5374 ; 50 динар Сербия ; 1942 ;  ;  ;  ; 28 ; air ; 340 
 5375 ; 100 динар Югославия ; 1953 ;  ;  ;  ; 52 ; nero ; 2600 
 5376 ; 100 динар Югославия ; 1946 ;  ;  ;  ; 13 ; nero ; 567 
 5377 ; 50 динар Югославия ; 1946 ;  ;  ;  ; 9 ; nero ; 340 
 5378 ; 20 динар Югославия ;  ;  ;  ;  ; 10 ; nero ; 340 
 5379 ; 2 куны Хорватия ; 1942 ;  ;  ;  ; 25 ; nero ; 340 
 5380 ; Бона иностранная Македония ; 1992 ;  ;  ; AU ; 20 ; bagsy ; 104 
 5381 ; Бона иностранная Македония ; 1992 ;  ;  ; AU ; 22 ; vad52 ; 91 
 5382 ; 1000000 динар Сербская Краина ; 1994 ;  ;  ; AU ; 39 ; air ; 340 
 5383 ; 500000 динар Сербская Краина ; 1993 ;  ;  ; AU ; 24 ; asternox ; 333 
 5384 ; 500000 динар Сербская Краина ; 1994 ;  ;  ; AU ; 26 ; Жигурда ; 340 
 5385 ; 50000000000 динар Сербская Краина ; 1993 ;  ;  ; AU ; 39 ; air ; 453 
 5386 ; 10000000000 динар Сербская Краина ; 1993 ;  ;  ; AU ; 19 ; asternox ; 357 
 5387 ; 100000000 динар Сербская Краина ; 1993 ;  ;  ; AU ; 26 ; tss ; 453 
 5388 ; 1000 динар Сербская Краина ; 1994 ;  ;  ; AU ; 10 ; air ; 340 
 5389 ; 100000 кун Хорватия ; 1993 ;  ;  ; AU ; 31 ; plushka123 ; 150 
 5390 ; 1 песета Испания ; 1953 ;  ;  ;  ; 12 ; alfredo ; 79 
 5391 ; 100 песет Испания ; 1953 ;  ;  ;  ; 15 ; alfredo ; 69 
 5392 ; 1000 песет Испания ; 1965 ;  ;  ;  ; 15 ; ufa ; 408 
 5393 ; 1000 песет Испания ; 1971 ;  ;  ;  ; 58 ; Lex2000 ; 907 
 5394 ; 100 песет Испания ; 1925 ;  ;  ;  ; 35 ; Lex2000 ; 100 
 5395 ; 100 песет Испания ; 1928 ;  ;  ;  ; 31 ; fadeev.dima ; 195 
 5396 ; 100 песет Испания ; 1965 ;  ;  ;  ; 41 ; Lex2000 ; 216 
 5397 ; 100 песет Испания ; 1970 ;  ;  ;  ; 18 ; plushka123 ; 125 
 5398 ; 50 песет Испания ; 1928 ;  ;  ;  ; 35 ; vaps ; 153 
 5399 ; 50 песет Испания ; 1935 ;  ;  ;  ; 53 ; архыз ; 329 
 5400 ; 25 песет Испания ; 1928 ;  ;  ;  ; 36 ; Lex2000 ; 171 
 5401 ; 5 песет Испания ; 1935 ;  ;  ;  ; 21 ; Ok203 ; 101 
 5402 ; 1000 песет Испания ; 1992 ;  ;  ; AU ; 53 ; Lex2000 ; 781 
 5403 ; 1000 песет Испания ; 1979 ;  ;  ; AU ; 37 ; Lex2000 ; 582 
 5404 ; 10 гульденов Нидерланды ; 1968 ;  ;  ;  ; 42 ; Lex2000 ; 352 
 5405 ; 10 крон Норвегия ; 1976 ;  ;  ;  ; 31 ; alesjane ; 134 
 5406 ; 5 крон Швеция ; 1977 ;  ;  ;  ; 45 ; Lex2000 ; 151 
 5407 ; 10 крон Швеция ; 1990 ;  ;  ;  ; 35 ; Lex2000 ; 164 
 5408 ; 10000 злотых Польша ; 1988 ;  ;  ;  ; 18 ; Новик ; 284 
 5409 ; 50 крон Чехия ; 1994 ;  ;  ;  ; 27 ; Olimpia ; 377 
 5410 ; 200 крон Чехия ; 1993 ;  ;  ; AU ; 49 ; агрессор ; 1666 
 5411 ; Лот бон Чехословакия, 2 шт ; 1987-88 ;  ;  ;  ; 15 ; divergent ; 104 
 5412 ; 1000 драхм Греция ; 1987 ;  ;  ;  ; 12 ; alfredo ; 72 
 5413 ; 50000 лир Турция ; 1970 ;  ;  ;  ; 13 ; majkl ; 91 
 5414 ; 100 франков Швейцария ; 1972 ;  ;  ;  ; 15 ; dmivanych ; 1000 
 5415 ; 10 франков Швейцария ; 1970 ;  ;  ;  ; 59 ; Lex2000 ; 143 
 5416 ; 5 франков Швейцария ; 1936 ;  ;  ;  ; 24 ; alesjane ; 306 
 5417 ; 2 1/2 гульдена Нидерланды ; 1949 ;  ;  ;  ; 26 ; divergent ; 117 
 5418 ; 100 франков Франция ; 1938 ;  ;  ;  ; 16 ; antongor ; 192 
 5319 ; 2 рубля Латвия ; 1992 ;  ;  ; AU ; 25 ; dencon ; 104 
 5320 ; 1 рубль Латвия ; 1992 ;  ;  ; AU ; 24 ; vad52 ; 75 
 5321 ; ЛотЛот бон Латвия, 3 шт ; 1992 ;  ;  ;  ; 37 ; филипок ; 303 
 5322 ; Лот бон Латвия, 6 шт ; 1992 ;  ;  ;  ; 48 ; СТРЕКОЗА ; 340 
 5323 ; 100 марок Ковно ; 1918 ;  ;  ;  ; 21 ; ЛАВ-13 ; 600 
 5324 ; Бона иностранная Литва ; 1991 ;  ;  ; AU ; 16 ; prostor.71 ; 101 
 5325 ; Лот бон Литва 10 шт ; 1992 ;  ;  ; AU ; 12 ; Жигурда ; 128 
 5326 ; Бона 50 марок. Германия ;  ;  ;  ;  ; 16 ; uj ; 1530 
 5327 ; Бона 10 марок. Германия ;  ;  ;  ;  ; 23 ; всыня ; 291 
 5328 ; 50 марок  Германия ; 1948 ;  ;  ;  ; 23 ; nero ; 1599 
 5329 ; 10 марок  Германия ; 1948 ;  ;  ;  ; 44 ; alesjane ; 929 
 5330 ; 2 марки  Германия ; 1948 ;  ;  ;  ; 14 ; nero ; 510 
 5331 ; 1 марка  Германия ; 1948 ;  ;  ;  ; 14 ; nero ; 197 
 5332 ; 5 пфеннигов  Германия ;  ;  ;  ;  ; 30 ; трутень ; 99 
 5333 ; Бона иностранная  Германия ;  ;  ;  ;  ; 21 ; prostor.71 ; 179 
 5334 ; Бона иностранная  Германия ;  ;  ;  ;  ; 9 ; трутень ; 137 
 5335 ; Бона иностранная  Германия ;  ;  ;  ; AU ; 47 ; 06031983 ; 850 
 5336 ; Бона иностранная  Германия ;  ;  ;  ;  ; 23 ; трутень ; 218 
 5337 ; Бона иностранная  Германия ;  ;  ;  ; AU ; 83 ; Alekss_27 ; 521 
 5338 ; Бона иностранная  Германия ;  ;  ;  ; AU ; 48 ; Lex2000 ; 214 
 5339 ; 100 марок Германия ; 1922 ;  ;  ;  ; 35 ; gdrg2 ; 203 
 5340 ; 5 марок Германия ; 1917 ;  ;  ;  ; 30 ; Yuri1966 ; 160 
 5341 ; 1 рупия Немецкая-Восточная-Африка ; 1916 ;  ;  ;  ; 19 ; Mike! ; 510 
 5342 ; 3 рубля Познань ; 1916 ;  ;  ;  ; 63 ; Жигурда ; 475 
 5343 ; Бона иностранная Германия ;  ;  ;  ;  ; 25 ; Mike! ; 250 
 5344 ; Бона иностранная  Германия ;  ;  ;  ;  ; 43 ; alesjane ; 476 
 5345 ; Бона иностранная Германия ;  ;  ;  ;  ; 21 ; Аленка ; 125 
 5346 ; Бона иностранная Германия ;  ;  ;  ;  ; 15 ; Аленка ; 125 
 5347 ; 5 марок ГДР ; 1975 ;  ;  ;  ; 59 ; 06031983 ; 1023 
 5348 ; 10 марок ГДР ; 1971 ;  ;  ;  ; 20 ; Olimpia ; 306 
 5349 ; 20 марок ГДР ; 1975 ;  ;  ;  ; 6 ; Жигурда ; 192 
 5350 ; 50 марок ГДР ; 1971 ;  ;  ;  ; 24 ; Olimpia ; 290 
 5351 ; 5 марок Германия ; 1991 ;  ;  ;  ; 26 ; asternox ; 155 
 5352 ; 5 марок Германия ; 1960 ;  ;  ;  ; 27 ; Olimpia ; 509 
