 3629 ; Бона иностранная ;  ;  ;  ;  ; 16 ; валери ; 34 
 3549 ; Бона иностранная ;  ;  ;  ;  ; 19 ; валери ; 50 
 3550 ; Бона иностранная ;  ;  ;  ;  ; 22 ; В1951 ; 59 
 3551 ; Бона иностранная ;  ;  ;  ;  ; 20 ; В1951 ; 39 
 3552 ; Бона иностранная ;  ;  ;  ;  ; 26 ; В1951 ; 38 
 3553 ; Бона иностранная ;  ;  ;  ;  ; 14 ; В1951 ; 37 
 3554 ; Бона иностранная ;  ;  ;  ;  ; 13 ; В1951 ; 37 
 3555 ; Бона иностранная ;  ;  ;  ;  ; 29 ; al69 ; 57 
 3556 ; Бона иностранная ;  ;  ;  ;  ; 8 ; валери ; 31 
 3557 ; Бона иностранная ;  ;  ;  ;  ; 19 ; sasha14 ; 30 
 3558 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Germanfox ; 36 
 3559 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Germanfox ; 34 
 3560 ; Бона иностранная ;  ;  ;  ;  ; 35 ; kazdmi ; 35 
 3561 ; Бона иностранная ;  ;  ;  ;  ; 40 ; brindamur ; 37 
 3562 ; Бона иностранная ;  ;  ;  ;  ; 30 ; валери ; 42 
 3563 ; Бона иностранная ;  ;  ;  ;  ; 7 ; salim ; 35 
 3564 ; Бона иностранная ;  ;  ;  ;  ; 14 ; валери ; 34 
 3565 ; Бона иностранная ;  ;  ;  ;  ; 6 ; валери ; 36 
 3566 ; Бона иностранная ;  ;  ;  ;  ; 5 ; salim ; 34 
 3567 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Smit ; 41 
 3568 ; Бона иностранная ;  ;  ;  ;  ; 25 ; валери ; 34 
 3569 ; Бона иностранная ;  ;  ;  ;  ; 10 ; salim ; 31 
 3570 ; Бона иностранная ;  ;  ;  ;  ; 21 ; kazdmi ; 32 
 3571 ; Бона иностранная ;  ;  ;  ;  ; 16 ; ask ; 41 
 3572 ; Бона иностранная ;  ;  ;  ;  ; 7 ; валери ; 35 
 3573 ; Бона иностранная ;  ;  ;  ;  ; 8 ; валери ; 37 
 3574 ; Бона иностранная ;  ;  ;  ;  ; 7 ; слива ; 35 
 3575 ; Бона иностранная ;  ;  ;  ;  ; 11 ; sveta6369 ; 33 
 3576 ; Бона иностранная ;  ;  ;  ;  ; 18 ; AIK60 ; 30 
 3577 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Gera_K ; 15 
 3578 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Gera_K ; 15 
 3479 ; Бона иностранная ;  ;  ;  ;  ; 4 ; raise ; 33 
 3480 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Lasto4kaSPB ; 31 
 3481 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Lasto4kaSPB ; 31 
 3482 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Lasto4kaSPB ; 31 
 3483 ; Бона иностранная ;  ;  ;  ;  ; 15 ; валери ; 42 
 3484 ; Бона иностранная ;  ;  ;  ;  ; 16 ; валери ; 43 
 3485 ; Бона иностранная ;  ;  ;  ;  ; 6 ; валери ; 33 
 3486 ; Бона иностранная ;  ;  ;  ;  ; 5 ; валери ; 31 
 3487 ; Бона иностранная ;  ;  ;  ;  ; 4 ; scooter ; 30 
 3488 ; Бона иностранная ;  ;  ;  ;  ; 3 ; scooter ; 30 
 3489 ; Бона иностранная ;  ;  ;  ;  ; 4 ; dikiy17 ; 31 
 3490 ; Бона иностранная ;  ;  ;  ;  ; 3 ; scooter ; 30 
 3491 ; Бона иностранная ;  ;  ;  ;  ; 17 ; гарик ; 32 
 3492 ; Бона иностранная ;  ;  ;  ;  ; 4 ; raise ; 31 
 3493 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Lasto4kaSPB ; 32 
 3494 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Lasto4kaSPB ; 32 
 3495 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Lasto4kaSPB ; 32 
 3496 ; Бона иностранная ;  ;  ;  ;  ; 7 ; gelind ; 32 
 3497 ; Бона иностранная ;  ;  ;  ;  ; 32 ; kotyamoi ; 53 
 3498 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kotyamoi ; 32 
 3499 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Lasto4kaSPB ; 31 
 3500 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Lasto4kaSPB ; 31 
 3501 ; Бона иностранная ;  ;  ;  ;  ; 8 ; валери ; 33 
 3502 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Lasto4kaSPB ; 32 
 3503 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Lasto4kaSPB ; 31 
 3504 ; Бона иностранная ;  ;  ;  ;  ; 5 ; scooter ; 30 
 3505 ; Бона иностранная ;  ;  ;  ;  ; 15 ; sos1 ; 41 
 3506 ; Бона иностранная ;  ;  ;  ;  ; 9 ; _1111_ ; 34 
 3507 ; Бона иностранная ;  ;  ;  ;  ; 33 ; _1111_ ; 63 
 3508 ; Бона иностранная ;  ;  ;  ;  ; 30 ; murew ; 61 
 3509 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kotyamoi ; 34 
 3510 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 34 
 3511 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kotyamoi ; 34 
 3512 ; Бона иностранная ;  ;  ;  ;  ; 4 ; murew ; 31 
 3513 ; Бона иностранная ;  ;  ;  ;  ; 3 ; sasha14 ; 30 
 3514 ; Бона иностранная ;  ;  ;  ;  ; 12 ; scooter ; 30 
 3515 ; Бона иностранная ;  ;  ;  ;  ; 25 ; scooter ; 30 
 3516 ; Бона иностранная ;  ;  ;  ;  ; 3 ; scooter ; 30 
 3517 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Lasto4kaSPB ; 31 
 3518 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Lasto4kaSPB ; 31 
 3519 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kazdmi ; 32 
 3520 ; Бона иностранная ;  ;  ;  ;  ; 19 ; sos1 ; 53 
 3521 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Lasto4kaSPB ; 31 
 3522 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Lasto4kaSPB ; 31 
 3523 ; Бона иностранная ;  ;  ;  ;  ; 4 ; scooter ; 30 
 3524 ; Бона иностранная ;  ;  ;  ;  ; 4 ; raise ; 31 
 3525 ; Бона иностранная ;  ;  ;  ;  ; 5 ; гарик ; 32 
 3526 ; Бона иностранная ;  ;  ;  ;  ; 3 ; scooter ; 30 
 3527 ; Бона иностранная ;  ;  ;  ;  ; 5 ; гарик ; 31 
 3528 ; Бона иностранная ;  ;  ;  ;  ; 5 ; гарик ; 31 
 3429 ; 5 карбованцев. Креминецк ; 1919 ;  ;  ;  ; 117 ; al69 ; 1022 
 3430 ; 10 рублей. Елисаветоград ; 1918 ;  ;  ;  ; 72 ; Bagrin ; 833 
 3431 ; 3 марки серебром ; 1867 ; Финляндия билет ;  ;  ; 116 ; dog009 ; 7652 
 3432 ; 200 рублей. Разряд 1 ; 1917 ;  ;  ;  ; 42 ; shudmit ; 368 
 3433 ; 200 рублей. Разряд 2 ; 1917 ;  ;  ;  ; 28 ; ф555 ; 360 
 3434 ; 200 рублей. Разряд 2 ; 1917 ;  ;  ;  ; 34 ; кве ; 368 
 3435 ; 200 рублей. Разряд 2 ; 1917 ;  ;  ;  ; 53 ; nik23455 ; 368 
 3436 ; 200 рублей. Разряд 2 ; 1917 ;  ;  ;  ; 50 ; ф555 ; 360 
 3437 ; 200 рублей. Разряд 3 ; 1917 ;  ;  ;  ; 29 ; нумизмат ; 368 
 3438 ; 200 рублей. Разряд 3 ; 1917 ;  ;  ;  ; 69 ; ф555 ; 360 
 3439 ; 200 рублей. Разряд 3 ; 1917 ;  ;  ;  ; 47 ; кве ; 368 
 3440 ; 200 рублей. Разряд 3 ; 1917 ;  ;  ;  ; 47 ; ф555 ; 351 
 3441 ; 200 рублей. Разряд 4 ; 1917 ;  ;  ;  ; 24 ; shudmit ; 368 
 3442 ; 200 рублей. Разряд 5 ; 1917 ;  ;  ;  ; 53 ; кве ; 363 
 3443 ; 10000 рублей. Сертификат ;  ;  ;  ;  ; 74 ; kont ; 354 
 3444 ; 20000 рублей. Сертификат ;  ;  ;  ;  ; 26 ; kont ; 360 
 3445 ; Купоны лист - 20 шт ;  ;  ;  ;  ; 85 ; mirmirmir ; 369 
 3446 ; 1000 рублей ; 1917 ;  ;  ;  ; 47 ; Gera_K ; 287 
 3447 ; 1000 рублей ; 1917 ;  ;  ;  ; 40 ; Gera_K ; 281 
 3448 ; 1000 рублей ; 1917 ;  ;  ;  ; 39 ; o.k. ; 206 
 3449 ; 5 рублей (2 шт) ; 1909 ;  ;  ;  ; 38 ; GenyM ; 161 
 3450 ; 5 рублей (2 шт) ; 1909 ;  ;  ;  ; 75 ; brindamur ; 173 
 3451 ; 5 рублей (2 шт) ; 1909 ;  ;  ;  ; 39 ; хъ0 ; 132 
 3452 ; Бона иностранная ;  ;  ;  ;  ; 22 ; raise ; 31 
 3453 ; Бона иностранная ;  ;  ;  ;  ; 19 ; kotyamoi ; 39 
 3454 ; Бона иностранная ;  ;  ;  ;  ; 31 ; QSL ; 32 
 3455 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Lasto4kaSPB ; 31 
 3456 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Lasto4kaSPB ; 31 
 3457 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Lasto4kaSPB ; 31 
 3458 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Lasto4kaSPB ; 31 
 3459 ; Бона иностранная ;  ;  ;  ;  ; 32 ; kotyamoi ; 33 
 3460 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Lasto4kaSPB ; 31 
 3461 ; Бона иностранная ;  ;  ;  ;  ; 3 ; QSL ; 36 
 3462 ; Бона иностранная ;  ;  ;  ;  ; 12 ; scooter ; 30 
 3463 ; Бона иностранная ;  ;  ;  ;  ; 4 ; raise ; 31 
 3464 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kotyamoi ; 33 
 3465 ; Бона иностранная ;  ;  ;  ;  ; 7 ; murew ; 35 
 3466 ; Бона иностранная ;  ;  ;  ;  ; 22 ; murew ; 48 
 3467 ; Бона иностранная ;  ;  ;  ;  ; 3 ; scooter ; 30 
 3468 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kotyamoi ; 36 
 3469 ; Бона иностранная ;  ;  ;  ;  ; 2 ; QSL ; 34 
 3470 ; Бона иностранная ;  ;  ;  ;  ; 5 ; QSL ; 32 
 3471 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 32 
 3472 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Lasto4kaSPB ; 32 
 3473 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Lasto4kaSPB ; 31 
 3474 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Lasto4kaSPB ; 31 
 3475 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Lasto4kaSPB ; 31 
 3476 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Lasto4kaSPB ; 31 
 3477 ; Бона иностранная ;  ;  ;  ;  ; 5 ; gelind ; 31 
 3478 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kotyamoi ; 32 
 3379 ; 10000 рублей ; 1919 ;  ;  ;  ; 33 ; 990099 ; 216 
 3380 ; 10000 рублей ; 1919 ;  ;  ;  ; 57 ; GenyM ; 265 
 3381 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 18 ; AIK60 ; 200 
 3382 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 63 ; слива ; 896 
 3383 ; 3 рубля ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 62 ; temichek ; 466 
 3384 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 44 ; art67 ; 561 
 3385 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 67 ; кве ; 510 
 3386 ; 5 рублей ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 180 ; 001951 ; 2142 
 3387 ; 5 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 94 ; SANGOLD1 ; 705 
 3388 ; 500 рублей ; 1920 ;  ;  ;  ; 52 ; al69 ; 374 
 3389 ; 500 рублей ; 1920 ;  ;  ;  ; 26 ; гриша ; 308 
 3390 ; 250 рублей ; 1920 ;  ;  ;  ; 40 ; shudmit ; 459 
 3391 ; 250 рублей ; 1920 ;  ;  ;  ; 24 ; art67 ; 459 
 3392 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 75 ; al69 ; 514 
 3393 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 35 ; temichek ; 344 
 3394 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 101 ; purr ; 1548 
 3395 ; 3 червонца ; 1937 ; Билет ;  ;  ; 29 ; temichek ; 408 
 3396 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 35 ; Gera_K ; 123 
 3397 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 56 ; sasha14 ; 80 
 3398 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 26 ; ringo ; 143 
 3399 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 28 ; imi ; 63 
 3400 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 40 ; Gera_K ; 132 
 3401 ; 3 рубля ; 1919 ;  ;  ;  ; 72 ; unkas79 ; 1080 
 3402 ; Бона Бухара ;  ;  ;  ;  ; 57 ; Grosh ; 520 
 3403 ; 1 рубль ; 1920 ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ;  ; 61 ; Grosh ; 612 
 3404 ; 5 рублей ; 1922 ; Бухарская Республика ;  ;  ; 94 ; Bagrin ; 625 
 3405 ; 1 рубль. Урал ; 1918 ; Областной кредитный билет Урала. ;  ;  ; 32 ; kazdmi ; 352 
 3406 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 17 ; tehnadzor ; 161 
 3407 ; 10 рублей ; 1922 ; Бухарская Республика ;  ;  ; 47 ; Bagrin ; 765 
 3408 ; 10 рублей=100000 р ; 1922 ; Хорезмская Республика ;  ;  ; 64 ; Bagrin ; 637 
 3409 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 13 ; GenyM ; 65 
 3410 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 21 ; Gera_K ; 64 
 3411 ; 100 рублей ; 1922 ; Бухарская Республика ;  ;  ; 97 ; ф555 ; 600 
 3412 ; 100 рублей ; 1922 ; Бухарская Республика ;  ;  ; 94 ; ф555 ; 597 
 3413 ; 1 рубль ; 1898 ; Тимашев. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 141 ; al69 ; 716 
 3414 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 38 ; uz ; 50 
 3415 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 32 ; brindamur ; 67 
 3416 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 33 ; Gera_K ; 53 
 3417 ; 50 рублей. Житомир ; 1919 ;  ;  ;  ; 67 ; purr ; 1071 
 3418 ; 100 рублей. Житомир ; 1919 ;  ;  ;  ; 43 ; purr ; 728 
 3419 ; 3 карбованца. Житомир ; 1918 ;  ;  ;  ; 30 ; al69 ; 374 
 3420 ; 5 рублей. Владикавказ ; 1918 ;  ;  ;  ; 84 ; Grosh ; 382 
 3421 ; 100 рублей ; 1918 ; Разменные знаки.Совнарком Терской республики ;  ;  ; 97 ; purr ; 2550 
 3422 ; 1 коп. золотом ; 1921 ; Билеты Приамурского Края ;  ;  ; 109 ; kropkomp ; 11043 
 3423 ; 5 коп. золотом ; 1921 ; Билеты Приамурского Края ;  ;  ; 87 ; kropkomp ; 11043 
 3424 ; 2 копейки. Лагери особого назначения ОГПУ ; 1929 ;  ;  ;  ; 95 ; armadavls ; 4680 
 3425 ; 50 копеек ; 1918 ; Семиреченский Областной Совет ;  ;  ; 46 ; kropkomp ; 5382 
 3426 ; 250 рублей ; 1920 ; Разменные билеты.Исполком Николаевского-на -Амуре округа ;  ;  ; 92 ; al69 ; 2492 
 3427 ; 5 рублей ; 1920 ;  ;  ;  ; 78 ; сс400 ; 7187 
 3428 ; 50 рублей ; 1918 ; Сибирский кредитный билет.Правительство Центросибири ;  ;  ; 112 ; титан ; 2415 
 3058 ; Лот монет Южной Африки: 1 ранд, 50,20,10,5,2,1 цент  (8шт). Упаковка ; 1979 ;  ; Cu-Ni,Br ; XF-/AU ; 59 ; zx123 ; 365 
 3059 ; Набор монет Тайланада: 10,5,1 бат (12шт) ; 1966-2003 ;  ; Cu-Ni,Би/м ; VF/AU ; 49 ; zx123 ; 322 
 3331 ; 1 копейка ; 1917 ; Деньги-марки ;  ;  ; 70 ; SANGOLD1 ; 258 
 3332 ; 2 копейки ; 1917 ; Деньги-марки ;  ;  ; 60 ; SANGOLD1 ; 261 
 3333 ; 3 копейки ; 1917 ; Деньги-марки ;  ;  ; 80 ; SANGOLD1 ; 297 
 3334 ; 3 копейки ; 1915 ; Деньги-марки ;  ;  ; 38 ; SANGOLD1 ; 270 
 3335 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 33 ; temichek ; 77 
 3336 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 38 ; Gera_K ; 79 
 3337 ; 20 копеек ; 1915 ; Деньги-марки ;  ;  ; 50 ; temichek ; 101 
 3338 ; 20 копеек ; 1915 ; Деньги-марки ;  ;  ; 9 ; ф555 ; 27 
 3339 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ;  ; 52 ; 001951 ; 293 
 3340 ; 50 копеек ;  ;  ;  ;  ; 65 ; temichek ; 357 
 3341 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 19 ; temichek ; 57 
 3342 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 23 ; SANGOLD1 ; 51 
 3343 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 44 ; Gera_K ; 51 
 3344 ; 250 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 17 ; GenyM ; 132 
 3345 ; 250 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 32 ; temichek ; 204 
 3346 ; 250 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 31 ; purr ; 285 
 3347 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 39 ; GenyM ; 255 
 3348 ; 10 рублей ; 1919 ; Грузия ;  ;  ; 35 ; ZOLTAN333 ; 519 
 3349 ; 5 рублей ; 1918 ; Казначейский знак Сибирского временного правительства ;  ;  ; 54 ; MAD_B ; 285 
 3350 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 14 ; валери ; 36 
 3351 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 20 ; Gera_K ; 102 
 3352 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 29 ; GenyM ; 142 
 3353 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 45 ; purr ; 279 
 3354 ; 10 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 23 ; temichek ; 108 
