 5988 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 9 ; USS ; 41 
 5980 ; Бона иностранная Перу ;  ;  ;  ; AU ; 28 ; русь ; 168 
 5981 ; Бона иностранная Перу ;  ;  ;  ; AU ; 11 ; zamectitel ; 94 
 5982 ; Бона иностранная Перу ;  ;  ;  ; AU ; 9 ; zamectitel ; 98 
 5983 ; Бона иностранная Перу ;  ;  ;  ; AU ; 12 ; Димон777 ; 104 
 5984 ; Бона иностранная Перу ;  ;  ;  ; AU ; 9 ; bliznetz ; 155 
 5985 ; Бона иностранная Перу ;  ;  ;  ; AU ; 5 ; zamectitel ; 90 
 5986 ; Бона иностранная Перу ;  ;  ;  ; AU ; 3 ; zamectitel ; 90 
 5987 ; Бона иностранная Перу ;  ;  ;  ; AU ; 21 ; USS ; 48 
 5888 ; Бона иностранная Никарагуа 50 кордоб ;  ;  ;  ; AU ; 11 ; USS ; 55 
 5889 ; Бона иностранная Бразилия 5000 Крузейро ;  ;  ;  ; AU ; 9 ; sveta6369 ; 59 
 5890 ; Бона иностранная Бразилия 1000 Крузейро ;  ;  ;  ; AU ; 10 ; sveta6369 ; 59 
 5891 ; Бона иностранная Колумбия 1000 песо ;  ;  ;  ;  ; 3 ; Danilos ; 31 
 5892 ; Бона иностранная Колумбия 500 песо ;  ;  ;  ;  ; 7 ; Danilos ; 31 
 5893 ; Бона иностранная Египет 50 пиастров ;  ;  ;  ; AU ; 13 ; RIDDIC ; 59 
 5894 ; Бона иностранная Египет 50 пиастров ;  ;  ;  ;  ; 6 ; orlov2015 ; 31 
 5895 ; Бона иностранная Египет 25 пиастров ;  ;  ;  ;  ; 5 ; UnPreacher ; 26 
 5896 ; Бона иностранная Иран 50 риалов ;  ;  ;  ;  ; 5 ; ZIMOGOR ; 34 
 5897 ; Бона иностранная Иран 100 риалов ;  ;  ;  ;  ; 3 ; тикси3 ; 31 
 5898 ; Бона иностранная Иран 200 риалов ;  ;  ;  ;  ; 7 ; 6719 ; 34 
 5899 ; Бона иностранная Иран 500 риалов ;  ;  ;  ;  ; 3 ; тикси3 ; 31 
 5900 ; Бона иностранная Кувейт 1/4 динара ;  ;  ;  ;  ; 11 ; _Gera_ ; 23 
 5901 ; Бона иностранная Кувейт 1/2 динара ;  ;  ;  ;  ; 7 ; _Gera_ ; 30 
 5902 ; Бона иностранная Гана 1седи ;  ;  ;  ;  ; 9 ; vladmarkin ; 31 
 5903 ; Бона иностранная Ямайка 1 доллар ;  ;  ;  ;  ; 9 ; Лаванда-НН ; 31 
 5904 ; Бона иностранная Ямайка 2 доллара ;  ;  ;  ;  ; 8 ; UnPreacher ; 31 
 5905 ; Бона иностранная Ямайка 5 долларов ;  ;  ;  ;  ; 11 ; sub215 ; 36 
 5906 ; Бона иностранная Ямайка 10 долларов ;  ;  ;  ;  ; 6 ; alesjane ; 34 
 5907 ; Бона иностранная Ямайка 20 долларов ;  ;  ;  ;  ; 5 ; Danilos ; 26 
 5908 ; Бона иностранная Перу 50000 солей ;  ;  ;  ;  ; 5 ; UnPreacher ; 24 
 5909 ; Бона иностранная Перу 50 интис ;  ;  ;  ;  ; 3 ; Danilos ; 21 
 5910 ; Бона иностранная Перу 5000 солей ;  ;  ;  ;  ; 5 ; _Gera_ ; 16 
 5911 ; Бона иностранная Перу 1000 интис ;  ;  ;  ;  ; 4 ; Danilos ; 26 
 5912 ; Бона иностранная Аргентина 10000 песо ;  ;  ;  ;  ; 6 ; Crimea ; 21 
 5913 ; Бона иностранная Аргентина 100000 песо ;  ;  ;  ;  ; 8 ; Danilos ; 30 
 5914 ; Бона иностранная Бразилия 100 крузейро ;  ;  ;  ;  ; 4 ; UnPreacher ; 26 
 5915 ; Бона иностранная Бразилия 200 крузейро ;  ;  ;  ;  ; 4 ; UnPreacher ; 26 
 5916 ; Бона иностранная Бразилия 5000 крузейро ;  ;  ;  ;  ; 7 ; zamectitel ; 23 
 5917 ; Бона иностранная Бразилия 100000 крузейро ;  ;  ;  ;  ; 5 ; zamectitel ; 24 
 5918 ; Бона иностранная Италия 1000 лир ;  ;  ;  ;  ; 8 ; orlov2015 ; 23 
 5919 ; Бона иностранная Болгария 200 лева ;  ;  ;  ; AU ; 15 ; Arlekino82 ; 95 
 5920 ; Бона иностранная Болгария 25 лева ;  ;  ;  ; AU ; 16 ; 462 ; 100 
 5921 ; Бона иностранная Нагорный Карабах ;  ;  ;  ;  ; 27 ; Ratmen ; 102 
 5922 ; Бона иностранная Нагорный Карабах ;  ;  ;  ;  ; 15 ; Ratmen ; 105 
 5923 ; Бона иностранная Япония ;  ;  ;  ;  ; 58 ; елец ; 305 
 5924 ; Бона иностранная Япония ;  ;  ;  ;  ; 23 ; zamectitel ; 107 
 5925 ; Лот бон иностранных 2 шт. ;  ;  ;  ;  ; 27 ; ВНВ ; 666 
 5926 ; Бона иностранная Швеция 20 крон ;  ;  ;  ;  ; 7 ; karal ; 143 
 5927 ; Бона иностранная Швеция 100 крон ;  ;  ;  ;  ; 33 ; doc2 ; 956 
 5928 ; Бона иностранная Куба 10 песо ;  ;  ;  ;  ; 30 ; Новик ; 102 
 5929 ; Лот бон иностранных Украины 4 шт. ;  ;  ;  ;  ; 29 ; Zorro ; 148 
 5930 ; Лот бон иностранных 8 шт. ;  ;  ;  ;  ; 14 ; Scorpionchic-sun ; 111 
 5931 ; Лот бон иностранных 5шт. ;  ;  ;  ;  ; 21 ; Scorpionchic-sun ; 156 
 5932 ; Лот бон иностранных 5 шт. ;  ;  ;  ;  ; 27 ; Arlekino82 ; 155 
 5933 ; Лот бон иностранных Испания 3 шт. ;  ;  ;  ;  ; 15 ; елец ; 261 
 5934 ; Лот бон иностранных 7 шт. ;  ;  ;  ;  ; 17 ; alapabula ; 407 
 5935 ; 5000000 марок Кёльн ; 1923 ;  ;  ; AU ; 44 ; kn157736 ; 1008 
 5936 ; 5000000 марок Бремен ; 1923 ;  ;  ; AU ; 17 ; Майкл ; 217 
 5937 ; 200000 марок Бремен ; 1923 ;  ;  ; AU ; 6 ; Mike! ; 133 
 5838 ; Бона иностранная Великобритания ;  ;  ;  ;  ; 16 ; boroda ; 515 
 5839 ; Бона иностранная Шотландия ;  ;  ;  ;  ; 17 ; boroda ; 533 
 5840 ; Бона иностранная Франция ;  ;  ;  ;  ; 33 ; boroda ; 566 
 5841 ; Бона иностранная Швеция ;  ;  ;  ;  ; 20 ; boroda ; 99 
 5842 ; Бона иностранная Швеция ;  ;  ;  ;  ; 13 ; boroda ; 72 
 5843 ; Бона иностранная Швеция ;  ;  ;  ;  ; 18 ; doc2 ; 104 
 5844 ; Бона иностранная Финляндия ;  ;  ;  ;  ; 18 ; AndrCh58 ; 144 
 5845 ; Бона иностранная Барбадос ;  ;  ;  ;  ; 14 ; karal ; 120 
 5846 ; Лот бон 13 шт ;  ;  ;  ;  ; 62 ; vlkorchev ; 732 
 5847 ; Бона иностранная Бахрейн 1/2 динара ;  ;  ;  ;  ; 10 ; orlov2015 ; 53 
 5848 ; Бона иностранная Марокко 25 дирхам ;  ;  ;  ;  ; 10 ; orlov2015 ; 261 
 5849 ; Бона иностранная Тринидад и Тобаго 5 долларов ;  ;  ;  ;  ; 16 ; grizlimays ; 215 
 5850 ; Лот бон иностранных Беларусь 2 шт. ;  ;  ;  ;  ; 54 ; bva150979 ; 1542 
 5851 ; Лот бон иностранных Украины 2 шт. ;  ;  ;  ;  ; 28 ; alex241 ; 528 
 5852 ; Бона иностранная Литва 50 талонов ;  ;  ;  ;  ; 29 ; flutter ; 692 
 5853 ; Бона иностранная Англия 5 фунтов ;  ;  ;  ;  ; 24 ; Maz ; 612 
 5854 ; Бона иностранная Финляндия 100 марок ;  ;  ;  ;  ; 37 ; tss ; 1144 
 5855 ; Бона иностранная Австрия 50 шилингов ;  ;  ;  ;  ; 17 ; alesjane ; 271 
 5856 ; Лот бон иностранных Молдова 4шт. ;  ;  ;  ;  ; 7 ; vladzory ; 107 
 5857 ; Бона иностранная Исландия 5 крон ;  ;  ;  ;  ; 4 ; orlov2015 ; 104 
 5858 ; Бона иностранная Израиль. 20 новых шекелей ;  ;  ;  ;  ; 17 ; fillin ; 312 
 5859 ; Бона иностранная Болгария 500 лева ;  ;  ;  ;  ; 17 ; dima85 ; 179 
 5860 ; Бона иностранная Узбекистан 5000 сом ;  ;  ;  ;  ; 6 ; orlov2015 ; 104 
 5861 ; Бона иностранная Польша 20 злотых ;  ;  ;  ;  ; 11 ; Бармалей ; 315 
 5862 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 19 ; alesjane ; 124 
 5863 ; Лот бон иностранных 2 шт. ;  ;  ;  ;  ; 13 ; русь ; 148 
 5864 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 48 ; елец ; 169 
 5865 ; Бона иностранная Боливия 50000 песо ;  ;  ;  ;  ; 30 ; СТРЕКОЗА ; 73 
 5866 ; Бона иностранная Марокко 10 дирхам ;  ;  ;  ;  ; 9 ; Моряк-собиратель ; 54 
 5867 ; Лот бон иностранных 4 шт. ;  ;  ;  ;  ; 29 ; Scorpionchic-sun ; 123 
 5868 ; Лот бон иностранных  Польша 2 шт. ;  ;  ;  ;  ; 17 ; Rusik ; 338 
 5869 ; Лот бон иностранных 3 шт. ;  ;  ;  ;  ; 22 ; alesjane ; 896 
 5870 ; Лот бон иностранных 2 шт. ;  ;  ;  ;  ; 22 ; Scorpionchic-sun ; 91 
 5871 ; Бона иностранная Чехословакия. 100 крон ;  ;  ;  ;  ; 33 ; doc2 ; 1037 
 5872 ; Бона иностранная Албания 50 лек ;  ;  ;  ;  ; 19 ; orlov2015 ; 142 
 5873 ; Бона иностранная Камбоджия ;  ;  ;  ;  ; 22 ; karal ; 204 
 5874 ; Бона иностранная Китай ;  ;  ;  ;  ; 28 ; Monata ; 969 
 5875 ; Бона иностранная Албания 500 лек ;  ;  ;  ;  ; 17 ; demodex ; 201 
 5876 ; Бона иностранная Болгария 200 лев ;  ;  ;  ;  ; 9 ; von_Schwarz ; 101 
 5877 ; Бона иностранная Туркменистан 5000 манат ;  ;  ;  ;  ; 26 ; 6719 ; 114 
 5878 ; Бона иностранная Турция 10 лир ;  ;  ;  ;  ; 33 ; Monata ; 816 
 5879 ; Сертификат на товар ;  ;  ;  ;  ; 30 ; kont ; 829 
 5880 ; Бона иностранная Германия 100 марок ;  ;  ;  ;  ; 26 ; alex09-63 ; 125 
 5881 ; Бона иностранная Венгрия 10000 пенго ;  ;  ;  ;  ; 13 ; 6719 ; 36 
 5882 ; Бона иностранная Венгрия 100 пенго ;  ;  ;  ;  ; 3 ; Danilos ; 36 
 5883 ; Бона иностранная Харватия 5 динар ;  ;  ;  ; AU ; 7 ; Arlekino82 ; 21 
 5884 ; Бона иностранная Аргентина 500 песо ;  ;  ;  ; AU ; 13 ; USS ; 42 
 5885 ; Бона иностранная Аргентина 1000 песо ;  ;  ;  ; AU ; 17 ; uyAHWLcn5486ZMN ; 59 
 5886 ; Бона иностранная Колумбия 1 песо ;  ;  ;  ; AU ; 17 ; русь ; 59 
 5887 ; Бона иностранная Бирма 1 кьят ;  ;  ;  ; AU ; 5 ; тикси3 ; 30 
 5648 ; Бона иностранная ;  ;  ;  ;  ; 5 ; alapabula ; 51 
 5649 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 51 
 5650 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 51 
 5651 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 51 
 5652 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 51 
 5653 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 51 
 5654 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 51 
 5655 ; Бона иностранная ;  ;  ;  ;  ; 4 ; тикси3 ; 33 
 5656 ; Бона иностранная ;  ;  ;  ;  ; 12 ; von_Schwarz ; 1699 
 5657 ; Бона иностранная ;  ;  ;  ;  ; 15 ; alesjane ; 350 
 5658 ; Бона иностранная ;  ;  ;  ;  ; 14 ; stabah ; 355 
 5659 ; Бона иностранная ;  ;  ;  ;  ; 16 ; гш888 ; 237 
 5800 ; Бона иностранная Австрия ;  ;  ;  ;  ; 20 ; doc2 ; 404 
 5801 ; Бона иностранная Австрия ;  ;  ;  ;  ; 38 ; maximilian2204 ; 663 
 5802 ; Лот бон 2 шт. Австро-Венгрия ;  ;  ;  ;  ; 16 ; 000SABik ; 107 
 5803 ; Бона иностранная Франция ;  ;  ;  ;  ; 20 ; 230269 ; 148 
 5804 ; Бона иностранная Чехословакия ;  ;  ;  ;  ; 46 ; doc2 ; 939 
 5805 ; Бона иностранная Йемен ;  ;  ;  ;  ; 24 ; СТРЕКОЗА ; 206 
 5806 ; Бона иностранная Сейшельские о-ва ;  ;  ;  ; AU ; 21 ; sveta6369 ; 89 
 5807 ; Бона иностранная Сейшельские о-ва ;  ;  ;  ; AU ; 36 ; karal ; 206 
 5808 ; Лот бон Израиль 3 шт ;  ;  ;  ;  ; 25 ; orlov2015 ; 328 
 5809 ; Лот бон Израиль 2 шт ;  ;  ;  ;  ; 20 ; СЁМА ; 356 
 5810 ; Бона иностранная Египет ;  ;  ;  ;  ; 38 ; doc2 ; 1438 
 5811 ; Бона иностранная Египет ;  ;  ;  ;  ; 23 ; doc2 ; 959 
 5812 ; Бона иностранная Египет ;  ;  ;  ;  ; 25 ; Моряк-собиратель ; 243 
 5813 ; Бона иностранная Египет ;  ;  ;  ;  ; 28 ; alesjane ; 1224 
 5814 ; Бона иностранная Египет ;  ;  ;  ;  ; 13 ; alesjane ; 364 
 5815 ; Бона иностранная Судан ;  ;  ;  ; AU ; 30 ; Моряк-собиратель ; 306 
 5816 ; Бона иностранная Судан ;  ;  ;  ; AU ; 14 ; kehha ; 69 
 5817 ; Бона иностранная Судан ;  ;  ;  ; AU ; 6 ; orlov2015 ; 102 
 5818 ; Бона иностранная Судан ;  ;  ;  ; AU ; 21 ; orlov2015 ; 114 
 5819 ; Бона иностранная Судан ;  ;  ;  ; AU ; 20 ; kehha ; 88 
 5820 ; Бона иностранная Судан ;  ;  ;  ; AU ; 16 ; kehha ; 68 
 5821 ; Бона иностранная Судан ;  ;  ;  ; AU ; 20 ; kehha ; 65 
 5822 ; Бона иностранная Судан ;  ;  ;  ; AU ; 12 ; alesjane ; 65 
 5823 ; Лот бон 2 шт. Японская оккупация ;  ;  ;  ;  ; 31 ; kont ; 612 
 5824 ; Бона иностранная Японская оккупация ;  ;  ;  ;  ; 31 ; ВНВ ; 611 
 5825 ; Лот бон 3 шт. Тайланд ;  ;  ;  ;  ; 20 ; maximilian2204 ; 350 
 5826 ; Бона иностранная Литва ;  ;  ;  ;  ; 32 ; MG ; 1532 
 5827 ; Лот бон 3 шт. Латвия, Эстония ;  ;  ;  ;  ; 10 ; елец ; 227 
 5828 ; Лот бон 3 шт. Финляндия ;  ;  ;  ;  ; 14 ; bliznetz ; 431 
 5829 ; Лот бон 2 шт. Финляндия ;  ;  ;  ;  ; 24 ; cr2952 ; 303 
 5830 ; Бона иностранная Германия ;  ;  ;  ;  ; 77 ; nikfed ; 1266 
 5831 ; Бона иностранная Германия ;  ;  ;  ;  ; 26 ; doiu33 ; 259 
 5832 ; Бона иностранная Германия ;  ;  ;  ;  ; 19 ; doiu33 ; 306 
 5833 ; Бона иностранная Германия ;  ;  ;  ;  ; 51 ; kont ; 662 
 5834 ; Бона иностранная Германия ;  ;  ;  ;  ; 28 ; doiu33 ; 281 
 5835 ; Бона иностранная Германия ;  ;  ;  ;  ; 27 ; alapabula ; 248 
 5836 ; Лот бон 9 шт. Германия ;  ;  ;  ;  ; 31 ; nikfed ; 702 
 5837 ; Лот бон 3 шт. Тайланд ;  ;  ;  ;  ; 14 ; Westin ; 332 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 6 ; alapabula ; 69 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Mike! ; 101 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Mike! ; 130 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 12 ; archy ; 600 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 6 ; alapabula ; 70 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 16 ; alesjane ; 238 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Mike! ; 131 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ек ; 72 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 23 ; наташа2712 ; 235 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Мурзик ; 101 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 51 ; alesjane ; 1236 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 20 ; smel ; 221 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 14 ; smel ; 206 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 2128508 ; 102 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Mike! ; 177 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 19 ; alapabula ; 224 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 20 ; von_Schwarz ; 1607 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 3 ; FoxSF ; 51 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 3 ; FoxSF ; 51 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 12 ; vladmarkin ; 126 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 12 ; vladmarkin ; 126 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Mike! ; 130 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Mike! ; 129 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 6 ; alapabula ; 70 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Mike! ; 177 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 8 ; alapabula ; 70 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 14 ; alapabula ; 203 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Mike! ; 189 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 22 ; mmmm ; 200 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 3 ; FoxSF ; 51 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 19 ; филипок ; 42 
 5629 ; Бона иностранная ;  ;  ;  ;  ; 6 ; alapabula ; 100 
 5630 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 333985 ; 60 
 5631 ; Бона иностранная ;  ;  ;  ;  ; 5 ; FoxSF ; 58 
 5632 ; Бона иностранная ;  ;  ;  ;  ; 6 ; alapabula ; 100 
 5633 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 333985 ; 77 
 5634 ; Бона иностранная ;  ;  ;  ;  ; 12 ; цеховик ; 104 
 5635 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alapabula ; 160 
 5636 ; Бона иностранная ;  ;  ;  ;  ; 10 ; трутень ; 193 
 5637 ; Бона иностранная ;  ;  ;  ;  ; 5 ; FoxSF ; 101 
 5638 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 333985 ; 61 
 5639 ; Бона иностранная ;  ;  ;  ;  ; 6 ; alapabula ; 100 
 5640 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 61 
 5641 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 61 
 5642 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 61 
 5643 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 61 
 5644 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 61 
 5645 ; Бона иностранная ;  ;  ;  ;  ; 4 ; alapabula ; 61 
 5646 ; Бона иностранная ;  ;  ;  ;  ; 3 ; alapabula ; 51 
 5647 ; Бона иностранная ;  ;  ;  ;  ; 5 ; alapabula ; 50 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Danilos ; 30 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 14 ; филипок ; 50 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 19 ; гш888 ; 117 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Crimea ; 20 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 4 ; orlov2015 ; 50 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 17 ; orlov2015 ; 63 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 34 ; русь ; 116 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 5 ; FoxSF ; 50 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 7 ; orlov2015 ; 204 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 12 ; 333985 ; 104 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 333985 ; 220 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 22 ; dima85 ; 178 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 9 ; alapabula ; 163 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 14 ; stabah ; 404 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 333985 ; 159 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 14 ; orlov2015 ; 151 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 22 ; филипок ; 50 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 16 ; alesjane ; 381 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 17 ; СТРЕКОЗА ; 233 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 9 ; mudritos ; 239 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 10 ; orlov2015 ; 158 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Моряк-собиратель ; 227 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 15 ; orlov2015 ; 192 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 9 ; diskus72 ; 60 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 7 ; FoxSF ; 58 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Danilos ; 30 
