 3245 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Михалыч ; 22 
 3209 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Михалыч ; 22 
 3210 ; Бона иностранная ;  ;  ;  ;  ; 5 ; S8D36 ; 24 
 3211 ; Бона иностранная ;  ;  ;  ;  ; 6 ; alexvad ; 30 
 3212 ; Бона иностранная ;  ;  ;  ;  ; 3 ; belyakow ; 22 
 3213 ; Бона иностранная ;  ;  ;  ;  ; 12 ; belyakow ; 22 
 3214 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Fans ; 21 
 3215 ; Бона иностранная ;  ;  ;  ;  ; 12 ; кузин ; 22 
 3216 ; Бона иностранная ;  ;  ;  ;  ; 5 ; alexvad ; 30 
 3217 ; Бона иностранная ;  ;  ;  ;  ; 42 ; topotun ; 51 
 3218 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Fans ; 21 
 3219 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Fans ; 21 
 3220 ; Бона иностранная ;  ;  ;  ;  ; 50 ; 542 ; 81 
 3221 ; Бона иностранная ;  ;  ;  ;  ; 18 ; tati1545 ; 41 
 3222 ; Бона иностранная ;  ;  ;  ;  ; 60 ; кузин ; 92 
 3223 ; Бона иностранная ;  ;  ;  ;  ; 8 ; alexvad ; 30 
 3224 ; Бона иностранная ;  ;  ;  ;  ; 14 ; alexvad ; 33 
 3225 ; Бона иностранная ;  ;  ;  ;  ; 45 ; Михалыч ; 51 
 3226 ; Бона иностранная ;  ;  ;  ;  ; 6 ; кузин ; 50 
 3227 ; Бона иностранная ;  ;  ;  ;  ; 13 ; topotun ; 40 
 3228 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ds133 ; 44 
 3229 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Михалыч ; 22 
 3230 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Fans ; 20 
 3231 ; Бона иностранная ;  ;  ;  ;  ; 29 ; topotun ; 43 
 3232 ; Бона иностранная ;  ;  ;  ;  ; 39 ; topotun ; 147 
 3233 ; Бона иностранная ;  ;  ;  ;  ; 22 ; topotun ; 43 
 3234 ; Бона иностранная ;  ;  ;  ;  ; 13 ; topotun ; 147 
 3235 ; Бона иностранная ;  ;  ;  ;  ; 9 ; belyakow ; 23 
 3236 ; Бона иностранная ;  ;  ;  ;  ; 31 ; von_Schwarz ; 61 
 3237 ; Бона иностранная ;  ;  ;  ;  ; 57 ; 542 ; 117 
 3238 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Михалыч ; 22 
 3239 ; Бона иностранная ;  ;  ;  ;  ; 71 ; topotun ; 81 
 3240 ; Бона иностранная ;  ;  ;  ;  ; 29 ; lesnik1 ; 29 
 3241 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Fans ; 20 
 3242 ; Бона иностранная ;  ;  ;  ;  ; 26 ; lesnik1 ; 81 
 3243 ; Бона иностранная ;  ;  ;  ;  ; 89 ; lesnik1 ; 198 
 3244 ; Бона иностранная ;  ;  ;  ;  ; 61 ; lesnik1 ; 230 
 3145 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ;  ; 45 ; igo ; 397 
 3146 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ;  ; 22 ; golov11 ; 253 
 3147 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ;  ; 24 ; golov11 ; 303 
 3148 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ;  ; 49 ; alexvad ; 408 
 3149 ; 250 рублей   ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 146 ; kostian1284 ; 631 
 3150 ; 250 рублей   ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 79 ; golov11 ; 668 
 3151 ; 1 рубль. Ташкент ; 1918 ; Туркестан  ;  ;  ; 45 ; proletarium ; 510 
 3152 ; Листовка ;  ;  ;  ;  ; 19 ; димитрий ; 195 
 3153 ; Листовка ;  ;  ;  ;  ; 34 ; Михалыч ; 403 
 3154 ; 100 марок. Польша ; 1916 ;  ;  ;  ; 35 ; бездельник22 ; 462 
 3155 ; 100 злотых. Польша ; 1944 ;  ;  ;  ; 64 ; MG ; 255 
 3156 ; 10 злотых. Польша ; 1944 ;  ;  ;  ; 22 ; dtdt ; 107 
 3157 ; 20 рублей (13 шт.) ;  ;  ;  ;  ; 48 ; oks ; 86 
 3158 ; 40 рублей (41 шт.) ;  ;  ;  ;  ; 39 ; oks ; 108 
 3159 ; 1 рубль (30 шт.) ; 1898 ;  ;  ;  ; 9 ; AGAT D ; 442 
 3160 ; 5 рублей (35 шт.) ; 1905 ;  ;  ;  ; 7 ; den_ff ; 735 
 3161 ; Бона иностранная ;  ;  ;  ;  ; 27 ; 542 ; 62 
 3162 ; Бона иностранная ;  ;  ;  ;  ; 42 ; 542 ; 41 
 3163 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Михалыч ; 67 
 3164 ; Бона иностранная ;  ;  ;  ;  ; 22 ; afanas ; 53 
 3165 ; Бона иностранная ;  ;  ;  ;  ; 34 ; Михалыч ; 51 
 3166 ; Бона иностранная ;  ;  ;  ;  ; 24 ; afanas ; 67 
 3167 ; Бона иностранная ;  ;  ;  ;  ; 44 ; Михалыч ; 57 
 3168 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Михалыч ; 57 
 3169 ; Бона иностранная ;  ;  ;  ;  ; 49 ; Михалыч ; 57 
 3170 ; Бона иностранная ;  ;  ;  ;  ; 54 ; Михалыч ; 59 
 3171 ; Бона иностранная ;  ;  ;  ;  ; 11 ; afanas ; 42 
 3172 ; Бона иностранная ;  ;  ;  ;  ; 14 ; afanas ; 33 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 6 ; afanas ; 30 
 3174 ; Бона иностранная ;  ;  ;  ;  ; 13 ; afanas ; 25 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 34 ; afanas ; 54 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 26 ; afanas ; 44 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 12 ; MAD_B ; 31 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 34 ; lesnik1 ; 53 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 27 ; S8D36 ; 42 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 11 ; belyakow ; 32 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 31 ; lesnik1 ; 50 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Fans ; 21 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Михалыч ; 60 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 19 ; afanas ; 55 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 58 ; alexvad ; 132 
 3186 ; Бона иностранная ;  ;  ;  ;  ; 49 ; бездельник22 ; 150 
 3187 ; Бона иностранная ;  ;  ;  ;  ; 45 ; afanas ; 45 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 26 ; afanas ; 45 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 48 ; lesnik1 ; 62 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 16 ; jagerV ; 111 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 11 ; topotun ; 25 
 3192 ; Бона иностранная ;  ;  ;  ;  ; 17 ; afanas ; 47 
 3193 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Михалыч ; 26 
 3194 ; Бона иностранная ;  ;  ;  ;  ; 37 ; afanas ; 57 
 3095 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 38 ; shtuka ; 816 
 3096 ; 250 рублей. Николаевск на Амуре ; 1920 ;  ;  ;  ; 25 ; Fedor_K ; 1179 
 3097 ; 500 рублей. Николаевск на Амуре ; 1920 ;  ;  ;  ; 12 ; Fedor_K ; 1179 
 3098 ; 1000 рублей. Николаевск на Амуре ; 1920 ;  ;  ;  ; 47 ; Fedor_K ; 1179 
 3099 ; 12 марок серебром. Редкая ; 1862 (1875) ; Финляндия билет  ;  ;  ; 113 ; dog009 ; 73955 
 3100 ; 12 марок серебром. Редкая ; 1862 ; Финляндия билет  ;  ;  ; 76 ; dog009 ; 71400 
 3101 ; 3 рубля ; 1947 ; Гос.казначейский билет  ;  ;  ; 27 ; do_cent ; 41 
 3102 ; 3 рубля ; 1947 ; Гос.казначейский билет  ;  ;  ; 22 ; alexvad ; 34 
 3103 ; 3 рубля ; 1947 ; Гос.казначейский билет  ;  ;  ; 64 ; do_cent ; 102 
 3104 ; 1 червонец ; 1937 ; Билет  ;  ;  ; 24 ; lesnik1 ; 173 
 3105 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 8 ; alexvad ; 30 
 3106 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 8 ; alexvad ; 30 
 3107 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 6 ; alexvad ; 30 
 3108 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 2 ; alexvad ; 31 
 3109 ; 50 рублей ; 1914 ; Билеты государственного казнач ;  ;  ; 20 ; Михалыч ; 152 
 3110 ; 50 рублей ; 1915 ; Билеты государственного казнач ;  ;  ; 35 ; dtdt ; 119 
 3111 ; Облигация, Дедово ; 1913 ;  ;  ;  ; 8 ; fillin ; 348 
 3112 ; Южно-русское Днепровское металлургическое о-во. Акция ; 1898 ;  ;  ;  ; 11 ; fillin ; 516 
 3113 ; Акция, Варшава ; 1899 ;  ;  ;  ; 13 ; fillin ; 394 
 3114 ; Акция, Дедово ; 1912 ;  ;  ;  ; 11 ; fillin ; 391 
 3115 ; Облигация. Франко-Русские заводы (бывшие оружейные заводы баярд) в С.-Петербурге ; 1911 ;  ;  ;  ; 36 ; fillin ; 605 
 3116 ; А. О. Николаевских заводов и верфей. Акция ; 1911 ;  ;  ;  ; 33 ; hotin ; 1200 
 3117 ; А. О. Николаевских заводов и верфей. Пай на прибыль ; 1911 ;  ;  ;  ; 22 ; hotin ; 1200 
 3118 ; Российский 5% Госзаем. Облигация ; 1906 ;  ;  ;  ; 16 ; fillin ; 412 
 3119 ; Консолидированная облигация Российских ж/д (5 облигаций) ; 1880 ;  ;  ;  ; 24 ; fillin ; 516 
 3120 ; Консолидированная облигация Российских ж/д ; 1880 ;  ;  ;  ; 14 ; fillin ; 516 
 3121 ; 250000000 рублей ; 1924 ; Закавказье  ;  ;  ; 76 ; alexvad ; 355 
 3122 ; 250000000 рублей ; 1924 ; Закавказье  ;  ;  ; 33 ; trie ; 1224 
 3123 ; 75000000 рублей ; 1924 ; Закавказье  ;  ;  ; 86 ; golov11 ; 618 
 3124 ; 75000000 рублей ; 1924 ; Закавказье  ;  ;  ; 25 ; trie ; 796 
 3125 ; 75000000 рублей ; 1924 ; Закавказье  ;  ;  ; 39 ; бездельник22 ; 1022 
 3126 ; 1000000000 рублей ; 1924 ; Закавказье  ;  ;  ; 36 ; golov11 ; 1813 
 3127 ; 1 рубль. Русско-азиатский банк ; 1919 ;  ;  ;  ; 124 ; golov11 ; 306 
 3128 ; 1 рубль. Русско-азиатский банк ; 1919 ;  ;  ;  ; 18 ; Михалыч ; 177 
 3129 ; 50 рублей. Обязательство ; 1919 ;  ;  ;  ; 51 ; golov11 ; 108 
 3130 ; 25 рублей. Обязательство ; 1919 ;  ;  ;  ; 11 ; ds133 ; 58 
 3131 ; 25 рублей. Обязательство ; 1919 ;  ;  ;  ; 14 ; oks ; 32 
 3132 ; Билет лотереи. Москва ; 1931 ;  ;  ;  ; 23 ; dtdt ; 197 
 3133 ; Билет лотереи. Ростов ; 1931 ;  ;  ;  ; 5 ; ppp612 ; 203 
 3134 ; 500 рублей. Обязательство ; 1919 ;  ;  ;  ; 24 ; tati1545 ; 150 
 3135 ; 500 рублей. Обязательство ; 1919 ;  ;  ;  ; 35 ; golov11 ; 331 
 3136 ; 250 рублей. Обязательство ; 1919 ;  ;  ;  ; 18 ; golov11 ; 130 
 3137 ; 250 рублей. Обязательство ; 1919 ;  ;  ;  ; 39 ; tati1545 ; 159 
 3138 ; 1000 рублей. Обязательство ; 1919 ;  ;  ;  ; 37 ; golov11 ; 323 
 3139 ; Вексель. Латвия ;  ;  ;  ;  ; 11 ; badiba-coin ; 177 
 3140 ; 100 гривень ; 1918 ; Украина.3,6% билет Державной с ;  ;  ; 38 ; dtdt ; 516 
 3141 ; 5000 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 98 ; kostian1284 ; 412 
 3142 ; 5000 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 73 ; golov11 ; 507 
 3143 ; 5000 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 16 ; necator ; 771 
 3144 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ;  ; 45 ; Чичибан ; 323 
 3045 ; 500 рублей. Грузия. Бум.тонкая ; 1919 ; Грузия  ;  ;  ; 59 ; 542 ; 395 
 3046 ; 250 рублей. Закавказье. Бум.тонкая ; 1918 ; Закавказье  ;  ;  ; 62 ; Михалыч ; 387 
 3047 ; 250 рублей. Закавказье. Бум.толстая ; 1918 ; Закавказье  ;  ;  ; 50 ; Loko ; 453 
 3048 ; 250 рублей ; 1917 ; Денежные знаки  ;  ;  ; 31 ; Itamin ; 105 
 3049 ; 250 рублей ; 1917 ; Денежные знаки  ;  ;  ; 16 ; Itamin ; 101 
 3050 ; 250 рублей ; 1917 ; Денежные знаки  ;  ;  ; 10 ; buzykin ; 80 
 3051 ; 1 крона ; 1944 ;  ;  ; AU ; 14 ; 67 ; 204 
 3052 ; 10 копеек. Либавское г.с. ;  ;  ;  ; AU ; 29 ; Даймлер ; 921 
 3053 ; 1 рубль. Без подписи ; 1934 ; Гос.казначейские билеты  ;  ; AU ; 63 ; 67 ; 4682 
 3054 ; 1 рубль. С подписью. ; 1934 ; Гос.казначейские билеты  ;  ; AU ; 83 ; dog009 ; 4935 
 3055 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР  ;  ; AU ; 6 ; seaman ; 334 
 3056 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР  ;  ; AU ; 18 ; SlavA ; 261 
 3057 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР  ;  ; AU ; 23 ; SlavA ; 259 
 3058 ; 25 рублей. Обязательство ; 1919 ;  ;  ; AU ; 18 ; Fedor_K ; 159 
 3059 ; 50 рублей. Обязательство ; 1919 ;  ;  ; AU ; 59 ; shtuka ; 620 
 3060 ; 10000 рублей ; 1995 ; банкнота  ;  ; AU ; 54 ; den_ff ; 1409 
 3061 ; 50000 рублей ; 1995 ; банкнота  ;  ; AU ; 139 ; SlavA ; 740 
 3062 ; 100000 рублей ; 1995 ; банкнота  ;  ; AU ; 54 ; AGAT D ; 1512 
 3063 ; 50 рублей ; 1961 ; билет  ;  ; AU ; 39 ; hotin ; 408 
 3064 ; 100 рублей ; 1961 ; билет  ;  ; AU ; 34 ; hotin ; 462 
 3065 ; 1000 рублей ; 1992 ; билет  ;  ; AU ; 42 ; and000 ; 199 
 3066 ; 1000 рублей ; 1993 ; банкнота  ;  ; AU ; 24 ; hotin ; 224 
 3067 ; 5000 рублей ; 1993 ; банкнота  ;  ; AU ; 18 ; nord17 ; 1377 
 3068 ; 5000 рублей ; 1993 (94) ; банкнота  ;  ; AU ; 35 ; nord17 ; 1326 
 3069 ; 10000 рублей ; 1993 ; банкнота  ;  ; AU ; 63 ; igors1969 ; 1300 
 3070 ; 10000 рублей ; 1993 (94) ; банкнота  ;  ; AU ; 24 ; nord17 ; 1326 
 3071 ; 50000 рублей ; 1993 ; банкнота  ;  ; AU ; 43 ; nord17 ; 1527 
 3072 ; 50000 рублей ; 1993 (94) ; банкнота  ;  ; AU ; 62 ; Михалыч ; 2210 
 3073 ; 5 рублей ; 1925 ; Гос.казначейские билеты СССР  ;  ; AU ; 62 ; 67 ; 26366 
 3074 ; 1 червонец ; 1937 ; Билет  ;  ; AU ; 39 ; 67 ; 7883 
 3075 ; 3 червонца ; 1937 ; Билет  ;  ; AU ; 86 ; 67 ; 7806 
 3076 ; 5 червонцев ; 1937 ; Билет  ;  ; AU ; 102 ; dog009 ; 5493 
 3077 ; 10 червонцев ; 1937 ; Билет  ;  ; AU ; 18 ; tisa66 ; 1428 
 3078 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты  ;  ; AU ; 17 ; alexvad ; 32 
 3079 ; 250 рублей   ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 58 ; topotun ; 334 
 3080 ; 250 рублей   ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 37 ; SlavA ; 317 
 3081 ; 5 рублей. Квартблок ; 1920 ; Расчетные знаки РСФСР образца  ;  ; AU ; 54 ; shtuka ; 1532 
 3082 ; 1 рубль ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 124 ; Ksn ; 1758 
 3083 ; 10 рублей ; 1918 ; Закавказье  ;  ; AU ; 51 ; Loko ; 557 
 3084 ; 1 рубль ; 1947 ; Гос.казначейский билет  ;  ; AU ; 11 ; seaman ; 406 
 3085 ; 1 рубль ; 1947 ; Гос.казначейский билет  ;  ; AU ; 23 ; topotun ; 521 
 3086 ; 3 рубля ; 1947 ; Гос.казначейский билет  ;  ; AU ; 125 ; Dj ; 2020 
 3087 ; 5 рублей ; 1947 ; Гос.казначейский билет  ;  ; AU ; 53 ; 67 ; 2550 
 3088 ; 5 рублей (образец) ; 1947 ;  ;  ; AU ; 44 ; Dj ; 2039 
 3089 ; 100 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ; AU ; 169 ; seaman ; 5050 
 3090 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 77 ; Ksn ; 2199 
 3091 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; AU ; 85 ; denzil ; 2199 
 3092 ; 10 рублей ; 1947 ; билет  ;  ; AU ; 59 ; dog009 ; 5100 
 3093 ; 10 рублей (образец) ; 1947 ;  ;  ; AU ; 66 ; Dj ; 4167 
 3094 ; 25 рублей ; 1947 ; билет  ;  ; AU ; 60 ; dog009 ; 18997 
 2410 ; 1 крона. Швеция. Густав V ; 1946 ;  ; Ag ; AU ; 21 ; bad2002 ; 82 
 2411 ; 25 эре. Швеция ; 1910 ;  ; Ag ; VF+ ; 27 ; Михалыч ; 62 
 2412 ; 25 эре. Швеция ; 1943 ;  ; Ag ; XF ; 19 ; vansy ; 31 
 2413 ; 25 эре. Швеция ; 1953 ;  ; Ag ; AU ; 2 ; SSS777 ; 21 
 2414 ; 25 эре. Швеция ; 1956 ;  ; Ag ; XF+ ; 14 ; vansy ; 25 
 2415 ; Набор монет США (5 шт): 1/4 доллара. Арканзас, Алабама, Иллинойс, Миссури, Мэн. В коробке с сертификатом ; 2003 ;  ; Cu/Ni ; AU ; 96 ; nikoniko ; 1046 
 3001 ; 10 бани. Румыния ; 1917 ;  ;  ;  ; 21 ; golov11 ; 204 
 3002 ; 1 рубль ; 1919 ; Расчетные знаки РСФСР  ;  ;  ; 18 ; alexvad ; 72 
 3003 ; 2 рубля ; 1919 ; Расчетные знаки РСФСР  ;  ;  ; 8 ; Copirchik ; 72 
 3004 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР  ;  ;  ; 35 ; skif ; 135 
 3005 ; 5 рублей ; 1920 ; Расчетные знаки РСФСР образца  ;  ;  ; 30 ; Itamin ; 225 
 3006 ; 50 копеек. Баку ;  ;  ;  ;  ; 48 ; golov11 ; 239 
 3007 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца  ;  ;  ; 49 ; AGAT D ; 259 
 3008 ; 50 копеек. Екатеринбург ; 1918 ; Разменная марка.Екатер.ОГБ вре ;  ;  ; 33 ; golov11 ; 479 
 3009 ; 5 рублей. Сцепка 2 шт. ; 1920 ; Расчетные знаки РСФСР образца  ;  ;  ; 33 ; AGAT D ; 102 
 3010 ; 15 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 24 ; igors1969 ; 250 
 3011 ; 1 копейка ; 1915 ; Разменные (казнач.)билеты  ;  ;  ; 44 ; skv-nov ; 102 
 3012 ; 500 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 23 ; Itamin ; 189 
 3013 ; 1000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 31 ; igors1969 ; 108 
 3014 ; 50 копеек. Пятигорск ;  ;  ;  ;  ; 94 ; Ksn ; 1949 
 3015 ; 50 копеек. Сибирское в.п. ; 1919 ;  ;  ;  ; 2 ; 1396 ; 250 
 3016 ; 50 копеек. Ростов ;  ;  ;  ;  ; 4 ; AGAT D ; 313 
 3017 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты  ;  ;  ; 13 ; alexvad ; 36 
 3018 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 31 ; skif ; 170 
 3019 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 27 ; golov11 ; 102 
 3020 ; 5 рублей. Сибирское в.п. ; 1918 ; Казначейский знак Сибирского в ;  ;  ; 47 ; golov11 ; 153 
 3021 ; 10 рублей. Сибирское в.п. ; 1918 ; Казначейский знак Сибирского в ;  ;  ; 59 ; rambov65 ; 164 
 3022 ; Билет лотереи ; 1944 ;  ;  ;  ; 12 ; ds133 ; 186 
 3023 ; Билет лотереи ; 1943 ;  ;  ;  ; 31 ; Sezon ; 253 
 3024 ; 25 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 37 ; kostian1284 ; 400 
 3025 ; 50 рублей ; 1918 ; Закавказье  ;  ;  ; 2 ; golov11 ; 204 
 3026 ; 50 рублей. Ростов ; 1919 ;  ;  ;  ; 18 ; trie ; 530 
 3027 ; 1 рубль. Ростов ; 1918 ;  ;  ;  ; 20 ; димитрий ; 408 
 3028 ; 10 рублей. Облигация ; 1953 ;  ;  ;  ; 16 ; alexvad ; 35 
 3029 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 18 ;  ;  ; 12 ; alexvad ; 30 
 3030 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 18 ;  ;  ; 9 ; alexvad ; 32 
 3031 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 18 ;  ;  ; 7 ; alexvad ; 30 
 3032 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 18 ;  ; . ; 20 ; alexvad ; 30 
 3033 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 18 ;  ; . ; 10 ; alexvad ; 30 
 3034 ; 10 рублей. Облигация ; 1954 ;  ;  ;  ; 16 ; alexvad ; 40 
 3035 ; 10 рублей. Облигация ; 1954 ;  ;  ;  ; 8 ; alexvad ; 40 
 3036 ; 250 рублей   ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 16 ; alexvad ; 39 
