 101 ; Знак Отличник финансовой работы  Мин финансов СССР №012271. Удостоверение ; ММД ;  ; Ж/м,эмаль ; XF+ ; 41 ; boroda ; 5712 
 59 ; 2 копейки ; 1762 ;  ; Cu ; VF- ; 18 ; fgd ; 15198 
 60 ; 2 копейки ; 1762 ;  ; Cu ; VG ; 62 ; Продано в зале ; 8500 
 61 ; 2 копейки (Петров-7р) ; 1814 ; СПБ ПС ; Cu ; F-VF ; 35 ; Продано в зале ; 6500 
 62 ; 2 копейки. Новодел ; 1840 ; С.П.Б. Пробная ; Cu ; XF+ ; 43 ; Продано в зале ; 32000 
 63 ; 2 копейки (Ильин-5р) ; 1841 ; ЕМ ; Cu ; F+ ; 14 ; ААФ ; 1100 
 64 ; 2 копейки ; 1850 ; ЕМ ; Cu ; XF- ; 43 ; Продано в зале ; 10000 
 65 ; 2 копейки ; 1852 ; ЕМ ; Cu ; VF-XF ; 29 ; Продано в зале ; 6000 
 66 ; 2 копейки (Ильин-2р) ; 1855 ; ВМ ; Cu ; VF-XF ; 45 ; Продано в зале ; 19000 
 67 ; 2 копейки ; 1906 ; СПБ ; Cu ; AU ; 23 ; sergius ; 6500 
 68 ; Копейка (Ильин-3р) ; 1704 ; БК ; Cu ; F-VF ; 45 ; Продано в зале ; 6000 
 69 ; Копейка ; 1713 ; М Д ; Cu ; F-VF ; 34 ; ВОДКОЙ НАДО ; 2550 
 70 ; Копейка ; 1756 ; СПБ ; Cu ; VF+ ; 72 ; Продано в зале ; 23000 
 71 ; Копейка (Петров-8р, Ильин-8р) ; 1764 ; ММ ; Cu ; F- ; 26 ; Изид ; 6303 
 72 ; Копейка (Петров-15р, Ильин-8р) ; 1764 ; СПМ ; Cu ; VG ; 22 ; vvt ; 14000 
 73 ; Копейка ; 1766 ; ММ ; Cu ; VF ; 39 ; Изид ; 4500 
 74 ; Копейка. (Петров-10руб. Ильин-5 руб.) ; 1811 ; ЕМ НМ ; Cu ; VG ; 37 ; Продано в зале ; 16000 
 75 ; Копейка ; 1830 ; КМ АМ ; Cu ; VF+ ; 18 ; Продано в зале ; 1100 
 76 ; Копейка ; 1855 ; ЕМ ; Cu ; AU ; 21 ; Продано в зале ; 8000 
 77 ; Копейка ; 1858 ; ЕМ ; Cu ; XF ; 38 ; Продано в зале ; 4700 
 78 ; Копейка (Петров-1р) ; 1870 ; СПБ ; Cu ; XF- ; 11 ; Продано в зале ; 3500 
 79 ; Копейка ; 1911 ; СПБ ; Cu ; AU ; 10 ; 222211 ; 1600 
 80 ; Денга (Ильин-10р) ; 1730 ;  ; Cu ; VG ; 49 ; Изид ; 46014 
 81 ; Деньга. Новодел ; 1802 ; Новодел ; Cu ; VF ; 31 ; СВИ ; 10710 
 82 ; Деньга ; 1825 ; ЕМ ИК ; Cu ; XF+ ; 68 ; Продано в зале ; 12000 
 83 ; 1/2 копейки (Петров-3р, Ильин-3р) ; 1847 ; СМ ; Cu ; F-VF ; 50 ; Продано в зале ; 4600 
 84 ; 1/2 копейки ; 1873 ; ЕМ ; Cu ; AU ; 45 ; max96 ; 6122 
 85 ; 1/2 копейки ; 1895 ; СПБ ; Cu ; AU ; 33 ; sergius ; 4600 
 86 ; 1/2 копейки ; 1916 ;  ; Cu ; AU ; 69 ; Продано в зале ; 13000 
 87 ; 1/4 копейки ; 1872 ; ЕМ ; Cu ; AU ; 45 ; Продано в зале ; 7500 
 88 ; 1/4 копейки ; 1899 ; СПБ ; Cu ; AU ; 15 ; rom11 ; 2267 
 89 ; 1/4 копейки ; 1909 ; СПБ ; Cu ; AU ; 18 ; rom11 ; 2087 
 90 ; 10 пенни ; 1889 ; Финляндия ; Cu ; VF+ ; 31 ; lupus47 ; 5103 
 91 ; Знак ордена Святого Равноапостольного князя Владимира. Р-ры: 44*44мм.М-13,11г Клейма на ушке ; до 1916 ; Владимира III ст. ; Au,эмаль ; AU ; 70 ; Начальник ; 174274 
 92 ; Знак ордена Святого Равноапостольного князя Владимира. Р-ры: 34*34мм. М-7,16г. Клейма на ушке ; до 1916 ; Владимира IV ст. ; Au,эмаль ; AU ; 57 ; lastfast ; 123614 
 93 ; Знак для врачей, имеющих степень лекаря. Клейма на о/с ;  ;  ; Ag,эмаль ; XF+ ; 54 ; krugerrand ; 26000 
 94 ; Знак Царский медик ;  ;  ; Br, поз,эмаль ; XF ; 23 ; Продано в зале ; 8000 
 95 ; Медаль "За сельскохозяйственные произведения". "От Министерства земледелия и государственных имуществ" D-65мм. М-136,66г ;  ;  ; Ag ; AU ; 72 ; Продано в зале ; 30000 
 96 ; Медаль "От главного управления землеустройства и земледелия" D-50мм. М-61,99г ;  ;  ; Ag ; AU ; 49 ; 234 ; 27507 
 97 ; Жетон На коронацию Александра II. D-21мм ; 1856 ;  ; Ag ; XF+ ; 90 ; cr4068 ; 10500 
 98 ; Знак Отличник сорвевнования МГПМР СССР №3742 ;  ;  ; Ж/м,эмаль ; XF+ ; 24 ; boroda ; 8000 
 99 ; Знак Отличник соц соревнования легкой промышленности №5849 ;  ;  ; Ж/м,эмаль ; XF+ ; 12 ; boroda ; 5000 
 100 ; Знак Отличник финансовой работы  Мин финансов СССР №5631. Удостоверение ;  ;  ; Ж/м,эмаль ; XF- ; 28 ; boroda ; 4303 
 1 ; 10 рублей. М-8,6г ; 1910 ; (ЭБ) АГ ; Au ; XF/XF+ ; 48 ; papinazu ; 82888 
 2 ; Рубль ; 1725 ; СПБ ; Ag ; VF ; 85 ; Историк ; 30500 
 3 ; Рубль ; 1755 ; ММД МБ ; Ag ; XF ; 41 ; Продано в зале ; 34000 
 4 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; XF- ; 32 ; Продано в зале ; 15000 
 5 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; XF- ; 30 ; Продано в зале ; 12000 
 6 ; Рубль ; 1772 ; СПБ АШ TI ; Ag ; XF- ; 26 ; Продано в зале ; 16000 
 7 ; Рубль ; 1804 ; СПБ ФГ ; Ag ; VF-XF ; 61 ; Продано в зале ; 14000 
 8 ; Рубль ; 1807 ; СПБ ФГ ; Ag ; VF-XF ; 42 ; Продано в зале ; 18000 
 9 ; Рубль ; 1814 ; СПБ МФ ; Ag ; XF+ ; 13 ; 78gen ; 18000 
 10 ; Рубль (Ильин-3р) ; 1816 ; СПБ ПС ; Ag ; XF+/AU ; 27 ; 78gen ; 38000 
 11 ; Рубль ; 1816 ; СПБ ПС ; Ag ; XF+ ; 25 ; 78gen ; 22000 
 12 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 23 ; 78gen ; 29308 
 13 ; Рубль ; 1819 ; СПБ ПС ; Ag ; AU ; 65 ; Продано в зале ; 56000 
 14 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF ; 56 ; Продано в зале ; 17000 
 15 ; Рубль ; 1833 ; СПБ НГ ; Ag ; XF ; 20 ; ЛАВ-13 ; 15000 
 16 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF+ ; 48 ; 78gen ; 15300 
 17 ; Рубль "4" в дате открытые ; 1844 ; СПБ КБ ; Ag ; VF-XF ; 32 ; Продано в зале ; 10500 
 18 ; Полтина ; 1766 ; СПБ АШ ; Ag ; VF+/VF-XF ; 49 ; Sky2 ; 22440 
 19 ; Полтина ; 1819 ; СПБ ПС ; Ag ; XF- ; 24 ; Sky2 ; 14000 
 20 ; Полтина ; 1839 ; СПБ НГ ; Ag ; VF-XF ; 26 ; Продано в зале ; 4000 
 21 ; Полтина ; 1844 ; СПБ КБ ; Ag ; XF- ; 29 ; sergius ; 9127 
 22 ; Полуполтинник. М - 6.63 г ; 1704 ; МД ; Ag ; VF+ ; 73 ; Историк ; 36720 
 23 ; 25 копеек ; 1835 ; СПБ НГ ; Ag ; VF-XF ; 18 ; sergius ; 2154 
 24 ; 20 копеек (Петров-10р, Ильин-5р) ; 1765 ; СПБ TI ; Ag ; VF/VF+ ; 37 ; Продано в зале ; 20000 
 25 ; 20 копеек ; 1768 ; ММД ; Ag ; VF-XF ; 27 ; Продано в зале ; 7200 
 26 ; 20 копеек ; 1785 ; СПБ ; Ag ; XF-/XF+ ; 43 ; Продано в зале ; 11000 
 27 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 24 ; ЛАВ-13 ; 2000 
 28 ; 20 копеек ; 1829 ; СПБ НГ ; Ag ; XF ; 22 ; alex-54 ; 12364 
 29 ; Гривенник (Петров-20р). Отверстие ; 1704 ;  ; Ag ; VF- ; 41 ; Изид ; 30000 
 30 ; Гривенник ; 1744 ;  ; Ag ; VF-XF ; 24 ; маманя ; 3399 
 31 ; Гривенник (Петров-10р, Ильин-3р) ; 1776 ; СПБ TI ; Ag ; VF ; 45 ; Хаа ; 18000 
 32 ; Гривенник (Петров-12р, Ильин-20р) ; 1777 ; СПБ ; Ag ; F-VF ; 32 ; Изид ; 23985 
 33 ; Гривенник ; 1781 ; СПБ ; Ag ; XF ; 24 ; Продано в зале ; 8500 
 34 ; 10 копеек (Петров-5р) ; 1852 ; СПБ HI ; Ag ; VF ; 42 ; ЛАВ-13 ; 15555 
 35 ; 10 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 16 ; zuza ; 2244 
 36 ; 5 копеек ; 1758 ; СПБ ; Ag ; VF-XF ; 26 ; ravs ; 2142 
 37 ; 5 копеек ; 1759 ; СПБ ; Ag ; VF-XF ; 32 ; Продано в зале ; 2600 
 38 ; 5 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 41 ; sergius ; 4812 
 39 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 27 ; sergius ; 5202 
 40 ; 5 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 22 ; Продано в зале ; 7000 
 41 ; 1 марка ; 1867 ; S Финляндия ; Ag ; XF ; 20 ; lupus47 ; 9066 
 42 ; 50 пенни ; 1866 ; S Финляндия ; Ag ; XF+/XF ; 34 ; VAG ; 4964 
 43 ; 25 пенни ; 1868 ; S Финляндия ; Ag ; XF- ; 70 ; lupus47 ; 23119 
 44 ; 25 пенни ; 1869 ; S Финляндия ; Ag ; VF+ ; 23 ; Продано в зале ; 1900 
 45 ; 25 пенни ; 1871 ; S Финляндия ; Ag ; XF- ; 15 ; lupus47 ; 5080 
 46 ; Один полтинник (гурт-ПЛ 9 грамм. 2з. 10,5 д. ; 1925 ; (ПЛ 9 грамм. 2з. 10,5 д.) ; Ag ; XF ; 35 ; Sky2 ; 15611 
 47 ; 10 копеек (Петров - 5 руб, Ильин - 3 руб) ; 1767 ; "Сибирь" ; Cu ; VF ; 63 ; 234 ; 28345 
 48 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; VF-XF ; 36 ; Продано в зале ; 13500 
 49 ; 10 копеек ; 1838 ; ЕМ НА ; Cu ; VF+ ; 21 ; Kubus ; 6136 
 50 ; 5 копеек ; 1763 ; СПМ ; Cu ; VF- ; 7 ; Продано в зале ; 3000 
