 3271 ; Бона иностранная ;  ;  ;  ;  ; 6 ; тнн ; 214 
 3262 ; Бона иностранная ;  ;  ;  ;  ; 21 ; wadwadwad ; 22 
 3263 ; Бона иностранная ;  ;  ;  ;  ; 18 ; amd4200 ; 17 
 3264 ; Бона иностранная ;  ;  ;  ;  ; 93 ; Vict_1 ; 140 
 3265 ; Бона иностранная ;  ;  ;  ;  ; 25 ; amd4200 ; 23 
 3266 ; Бона иностранная ;  ;  ;  ;  ; 20 ; жора ; 20 
 3267 ; Бона иностранная ;  ;  ;  ;  ; 24 ; iloverockandroll ; 22 
 3268 ; Бона иностранная ;  ;  ;  ;  ; 18 ; gelind ; 49 
 3269 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Захар ; 101 
 3270 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Гарин ; 70 
 3171 ; Бона иностранная ;  ;  ;  ;  ; 18 ; тнн ; 18 
 3172 ; Бона иностранная ;  ;  ;  ;  ; 18 ; тнн ; 19 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 15 ; тнн ; 16 
 3174 ; Бона иностранная ;  ;  ;  ;  ; 9 ; тнн ; 19 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 13 ; iloverockandroll ; 20 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 20 ; iloverockandroll ; 20 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 20 ; iloverockandroll ; 20 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 16 ; тнн ; 17 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 10 ; alex995 ; 15 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 8 ; and000 ; 34 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 13 ; тнн ; 14 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 16 ; alex995 ; 16 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 26 ; тнн ; 24 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 19 ; wadwadwad ; 20 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 18 ; amd4200 ; 20 
 3186 ; Бона иностранная ;  ;  ;  ;  ; 12 ; wadwadwad ; 22 
 3187 ; Бона иностранная ;  ;  ;  ;  ; 48 ; Vict_1 ; 57 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 26 ; 542 ; 125 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 26 ; lesnik1 ; 143 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 13 ; amd4200 ; 26 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 16 ; alex995 ; 15 
 3192 ; Бона иностранная ;  ;  ;  ;  ; 17 ; тнн ; 27 
 3193 ; Бона иностранная ;  ;  ;  ;  ; 8 ; тнн ; 21 
 3194 ; Бона иностранная ;  ;  ;  ;  ; 20 ; vanamo ; 21 
 3195 ; Бона иностранная ;  ;  ;  ;  ; 68 ; 542 ; 73 
 3196 ; Бона иностранная ;  ;  ;  ;  ; 9 ; жора ; 16 
 3197 ; Бона иностранная ;  ;  ;  ;  ; 28 ; жора ; 28 
 3198 ; Бона иностранная ;  ;  ;  ;  ; 2 ; buzykin ; 30 
 3199 ; Бона иностранная ;  ;  ;  ;  ; 4 ; and000 ; 25 
 3200 ; Бона иностранная ;  ;  ;  ;  ; 18 ; natallli ; 31 
 3201 ; Бона иностранная ;  ;  ;  ;  ; 18 ; den_ff ; 30 
 3202 ; Бона иностранная ;  ;  ;  ;  ; 18 ; тнн ; 24 
 3203 ; Бона иностранная ;  ;  ;  ;  ; 36 ; bethowen ; 60 
 3204 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Grod ; 26 
 3205 ; Бона иностранная ;  ;  ;  ;  ; 33 ; тнн ; 46 
 3206 ; Бона иностранная ;  ;  ;  ;  ; 16 ; MAD_B ; 25 
 3207 ; Бона иностранная ;  ;  ;  ;  ; 30 ; den_ff ; 32 
 3208 ; Бона иностранная ;  ;  ;  ;  ; 15 ; alex995 ; 16 
 3209 ; Бона иностранная ;  ;  ;  ;  ; 23 ; жора ; 24 
 3210 ; Бона иностранная ;  ;  ;  ;  ; 10 ; тнн ; 31 
 3211 ; Бона иностранная ;  ;  ;  ;  ; 10 ; alex995 ; 15 
 3212 ; Бона иностранная ;  ;  ;  ;  ; 16 ; alex995 ; 17 
 3213 ; Бона иностранная ;  ;  ;  ;  ; 15 ; alex995 ; 16 
 3214 ; Бона иностранная ;  ;  ;  ;  ; 15 ; den_ff ; 61 
 3215 ; Бона иностранная ;  ;  ;  ;  ; 11 ; bh ; 35 
 3216 ; Бона иностранная ;  ;  ;  ;  ; 11 ; жора ; 17 
 3217 ; Бона иностранная ;  ;  ;  ;  ; 29 ; den_ff ; 92 
 3218 ; Бона иностранная ;  ;  ;  ;  ; 28 ; тнн ; 39 
 3219 ; Бона иностранная ;  ;  ;  ;  ; 15 ; den_ff ; 16 
 3220 ; Бона иностранная ;  ;  ;  ;  ; 14 ; dimitri ; 17 
 3121 ; 10 крон. Дания ; 1943 ;  ;  ;  ; 31 ; MG ; 202 
 3122 ; 10 крон. Исландия ; 1961 ;  ;  ;  ; 27 ; dtdt ; 57 
 3123 ; 100 крон. Исландия ; 1961 ;  ;  ;  ; 39 ; smel ; 175 
 3124 ; 1000 драхм. Греция ; 1939 ;  ;  ;  ; 22 ; oxana ; 294 
 3125 ; 100 лей. Румыния ; 1945 ;  ;  ;  ; 36 ; Vict_1 ; 131 
 3126 ; 10 лей. Румыния ; 1952 ;  ;  ;  ; 35 ; MG ; 157 
 3127 ; 5 лей. Румыния ; 1928 ;  ;  ;  ; 40 ; dog009 ; 305 
 3128 ; 100 лей. Румыния ; 1966 ;  ;  ;  ; 6 ; and000 ; 115 
 3129 ; 1000 лей. Румыния ; 1941 ;  ;  ;  ; 13 ; den_ff ; 192 
 3130 ; 2000 лей. Румыния ; 1941 ;  ;  ;  ; 50 ; S8D36 ; 273 
 3131 ; 10 злотых. Польша ; 1940 ;  ;  ;  ; 37 ; ICEK ; 157 
 3132 ; 20 злотых. Польша ; 1948 ;  ;  ;  ; 3 ; oire ; 102 
 3133 ; 50 злотых. Польша ; 1948 ;  ;  ;  ; 30 ; ICEK ; 490 
 3134 ; 10 злотых. Польша ; 1944 ;  ;  ;  ; 24 ; ICEK ; 305 
 3135 ; 20 злотых. Польша ; 1944 ;  ;  ;  ; 7 ; ICEK ; 270 
 3136 ; 50 злотых. Польша ; 1944 ;  ;  ;  ; 26 ; ICEK ; 305 
 3137 ; 20 крон. Словения ; 1939 ;  ;  ;  ; 7 ; 542 ; 160 
 3138 ; 100 крон. Чехословакия ; 1961 ;  ;  ;  ; 5 ; oire ; 126 
 3139 ; 100 крон. Чехословакия ; 1931 ;  ;  ;  ; 21 ; 542 ; 396 
 3140 ; 1000 крон. Чехословакия ; 1945 ;  ;  ;  ; 9 ; S8D36 ; 306 
 3141 ; Листовка ; 1944 ;  ;  ;  ; 15 ; alexx183 ; 230 
 3142 ; Листовка ; 1944 ;  ;  ;  ; 30 ; alexx183 ; 240 
 3143 ; Листовка ; 1944 ;  ;  ;  ; 6 ; ura 57 ; 130 
 3144 ; Листовка ; 1944 ;  ;  ;  ; 17 ; gelind ; 176 
 3145 ; Листовка ; 1944 ;  ;  ;  ; 26 ; димитрий ; 203 
 3146 ; 100 рублей. Облигация ; 1955 ;  ;  ;  ; 8 ; svm-1 ; 40 
 3147 ; 200 рублей. Облигация ; 1955 ;  ;  ;  ; 20 ; wadwadwad ; 37 
 3148 ; 100 рублей. Облигация ; 1954 ;  ;  ;  ; 21 ; solder13 ; 41 
 3149 ; 10 рублей. Облигация ; 1956 ;  ;  ;  ; 23 ; natallli ; 31 
 3150 ; 25 рублей. Облигация ; 1956 ;  ;  ;  ; 20 ; wadwadwad ; 31 
 3151 ; 100 рублей. Облигация ; 1956 ;  ;  ;  ; 17 ; тнн ; 28 
 3152 ; 200 рублей. Облигация ; 1956 ;  ;  ;  ; 9 ; svm-1 ; 50 
 3153 ; 200 рублей. Облигация ; 1948 ;  ;  ;  ; 23 ; natallli ; 100 
 3154 ; 100 рублей. Облигация ; 1948 ;  ;  ;  ; 18 ; natallli ; 101 
 3155 ; 100 рублей. Облигация ; 1947 ;  ;  ;  ; 15 ; ЧАС ; 104 
 3156 ; 100 рублей. Облигация ; 1949 ;  ;  ;  ; 12 ; natallli ; 101 
 3157 ; 100 рублей. Облигация ; 1950 ;  ;  ;  ; 39 ; тнн ; 94 
 3158 ; 100 рублей. Облигация ; 1944 ;  ;  ;  ; 71 ; gelind ; 305 
 3159 ; 100 рублей. Облигация ; 1945 ;  ;  ;  ; 64 ; тнн ; 171 
 3160 ; 100 рублей. Облигация ; 1956 ;  ;  ;  ; 27 ; wadwadwad ; 32 
 3161 ; Бона иностранная ;  ;  ;  ;  ; 17 ; amd4200 ; 20 
 3162 ; Бона иностранная ;  ;  ;  ;  ; 18 ; amd4200 ; 17 
 3163 ; Бона иностранная ;  ;  ;  ;  ; 17 ; amd4200 ; 16 
 3164 ; Бона иностранная ;  ;  ;  ;  ; 24 ; allur65 ; 27 
 3165 ; Бона иностранная ;  ;  ;  ;  ; 10 ; allur65 ; 27 
 3166 ; Бона иностранная ;  ;  ;  ;  ; 10 ; allur65 ; 27 
 3167 ; Бона иностранная ;  ;  ;  ;  ; 10 ; allur65 ; 27 
 3168 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Vict_1 ; 36 
 3169 ; Бона иностранная ;  ;  ;  ;  ; 22 ; natallli ; 21 
 3170 ; Бона иностранная ;  ;  ;  ;  ; 23 ; QSL ; 40 
 3071 ; 1000 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 96 ; AAE2006 ; 225 
 3072 ; 500 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 17 ; AAE2006 ; 225 
 3073 ; 1000 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 33 ; den_ff ; 1255 
 3074 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 15 ; AAE2006 ; 108 
 3075 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 21 ; AAE2006 ; 114 
 3076 ; 50 рублей ; 1992  ; билет  ;  ; AU ; 43 ; AAE2006 ; 206 
 3077 ; 200 рублей ; 1992 ; билет  ;  ; AU ; 23 ; AAE2006 ; 313 
 3078 ; 1000 рублей ; 1992 ; билет  ;  ; AU ; 48 ; AAE2006 ; 171 
 3079 ; 5000 рублей ; 1992 ; банкнота  ;  ; AU ; 71 ; Grod ; 176 
 3080 ; 10000 рублей ; 1992 ; банкнота  ;  ; AU ; 20 ; AAE2006 ; 216 
 3081 ; 1 копейка. Сцепка 6 шт. ;  ;  ;  ; AU ; 84 ; 67 ; 520 
 3082 ; 50 рублей. Владикавказ ; 1918 ; Заемные билеты.Общество Владик ;  ; AU ; 44 ; Copirchik ; 1938 
 3083 ; 250 рублей ; 1919 ; Армения  ;  ; AU ; 35 ; тнн ; 714 
 3084 ; 100 рублей. Квартблок ; 1921 ; Расчетные знаки РСФСР образца  ;  ; AU ; 81 ; Dj ; 2530 
 3085 ; 10 червонцев ; 1937 ; Билет  ;  ; AU ; 53 ; AAE2006 ; 1224 
 3086 ; 10 червонцев ; 1937 ; Билет  ;  ; AU ; 34 ; AAE2006 ; 1381 
 3087 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 60 ; Dj ; 2907 
 3088 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 44 ; bia1982 ; 3054 
 3089 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 84 ; bia1982 ; 3054 
 3090 ; 1 рубль ; 1898 ; Коншин. Гос.кредитные билеты 1 ;  ;  ; 9 ; kot006 ; 6120 
 3091 ; 5000 рублей. Туркестан ; 1920 ;  ;  ;  ; 31 ; Fedor_K ; 1001 
 3092 ; 50 рублей ; 1899 ; Тимашев 1903. Гос.кредитные би ;  ;  ; 49 ; kunia ; 9052 
 3093 ; Билет 1 всесоюзной авиа-лотереи ; 1926 ;  ;  ;  ; 74 ; Isa ; 1020 
 3094 ; 25 рублей серебром. Крайне редкая ; 1842 ; Финляндия билет  ;  ;  ; 95 ; kunia ; 254490 
 3095 ; "Тов-во русско-французских заводов ""Проводник"". Пай в 100 рублей" ; 1913 ;  ;  ;  ; 50 ; kot006 ; 647 
 3096 ; "Акция тов-во ""Т. Д. Гурлянд"" в 1000 рублей. 2 выпуск" ; 1911 ;  ;  ;  ; 28 ; joi ; 3008 
 3097 ; Акция. Государев байрак ; 1899 ;  ;  ;  ; 22 ; димитрий ; 421 
 3098 ; Акция. С.-Петербург ; 1912 ;  ;  ;  ; 9 ; нумизмат ; 600 
 3099 ; Облигация ; 1894 ;  ;  ;  ; 3 ; нумизмат ; 350 
 3100 ; Облигация ; 1885 ;  ;  ;  ; 10 ; нумизмат ; 300 
 3101 ; 1000 рублей ; 1917 ; Денежные знаки  ;  ;  ; 14 ; AAE2006 ; 334 
 3102 ; 5000 рублей. Ростов ; 1919 ;  ;  ;  ; 28 ; AAE2006 ; 612 
 3103 ; 10 крон ; 1928 ;  ;  ;  ; 23 ; 542 ; 356 
 3104 ; 10 крон ; 1937 ;  ;  ;  ; 52 ; den_ff ; 357 
 3105 ; 25 лат ; 1938 ;  ;  ;  ; 75 ; dtdt ; 193 
 3106 ; 1 червонец ; 1926 ; Шейнман. Билет  ;  ;  ; 27 ; svm-1 ; 214 
 3107 ; 1 миллиард рублей. Закавказье ; 1924 ;  ;  ;  ; 21 ; ЧАС ; 1135 
 3108 ; Бона, Бухара ;  ;  ;  ;  ; 4 ; тнн ; 500 
 3109 ; 5 марок. Гдр ; 1975 ;  ;  ;  ; 16 ; and000 ; 60 
 3110 ; 10 марок. Гдр ; 1971 ;  ;  ;  ; 39 ; dog009 ; 143 
 3111 ; 20 марок. Гдр ; 1975 ;  ;  ;  ; 31 ; Grod ; 77 
 3112 ; 5 марок. Гдр ; 1964 ;  ;  ;  ; 56 ; den_ff ; 125 
 3113 ; 50 марок. Гдр ; 1971 ;  ;  ;  ; 22 ; Grod ; 72 
 3114 ; 1 пиастр ;  ;  ;  ;  ; 2 ; тнн ; 100 
 3115 ; 1000 кун. Хорватия ; 1941 ;  ;  ;  ; 61 ; тнн ; 400 
 3116 ; 50 франков. Бельгия ;  ;  ;  ;  ; 28 ; 542 ; 306 
 3117 ; 100 франков. Бельгия ;  ;  ;  ;  ; 27 ; 542 ; 396 
 3118 ; 100 эскудо. Португалия ; 1985 ;  ;  ;  ; 6 ; 542 ; 179 
 3119 ; 100 эскудо. Португалия ; 1987 ;  ;  ;  ; 5 ; and000 ; 168 
 3120 ; 10 крон. Дания ; 1972 ;  ;  ;  ; 45 ; Tilla ; 151 
 3021 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты  ;  ;  ; 75 ; AAE2006 ; 107 
 3022 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты  ;  ;  ; 78 ; AAE2006 ; 108 
 3023 ; Билет лотереи ; 1936 ;  ;  ;  ; 34 ; Sezon ; 273 
 3024 ; Билет лотереи ; 1933 ;  ;  ;  ; 23 ; Sezon ; 223 
 3025 ; Билет лотереи ; 1935 ;  ;  ;  ; 37 ; Sezon ; 281 
 3026 ; Билет лотереи ; 1939 ;  ;  ;  ; 13 ; Sezon ; 250 
 3027 ; Билет лотереи ; 1943 ;  ;  ;  ; 23 ; den_ff ; 255 
 3028 ; 10 гривень ; 1918 ; Украина.Державный Кредитовий б ;  ;  ; 59 ; Copirchik ; 204 
 3029 ; 50 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 34 ; AAE2006 ; 204 
 3030 ; 50 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 21 ; тнн ; 165 
 3031 ; 5 рублей. Одесса ; 1917 ;  ;  ;  ; 13 ; AAE2006 ; 175 
 3032 ; 5 рублей. Одесса ; 1917 ;  ;  ;  ; 17 ; AAE2006 ; 208 
 3033 ; 500 рублей. Чита ; 1920 ;  ;  ;  ; 4 ; Банзай ; 209 
 3034 ; 500 рублей. Чита ; 1920 ;  ;  ;  ; 14 ; 542 ; 308 
 3035 ; 100 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 7 ; Гарин ; 177 
 3036 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 10 ; AAE2006 ; 177 
 3037 ; 100 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 7 ; AAE2006 ; 177 
 3038 ; 25 рублей. Одесса ; 1917 ;  ;  ;  ; 37 ; fvm ; 298 
 3039 ; 25 рублей. Одесса ; 1917 ;  ;  ;  ; 62 ; AAE2006 ; 1122 
 3040 ; Приватизационный чек ; 1992 ;  ;  ;   ; 39 ; hotin ; 510 
 3041 ; 250 рублей (квартблок) ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 33 ; Grisha7 ; 710 
 3042 ; 10 рублей. Облигация ; 1956 ;  ;  ;  ; 20 ; wadwadwad ; 34 
 3043 ; 50 рублей. Облигация ; 1952 ;  ;  ;  ; 25 ; natallli ; 38 
 3044 ; 50 рублей. Облигация ; 1947 ;  ;  ;  ; 28 ; natallli ; 82 
 3045 ; 25 рублей. Облигация ; 1955 ;  ;  ;  ; 30 ; svm-1 ; 46 
 3046 ; 100 рублей. Облигация ; 1953 ;  ;  ;  ; 14 ; wadwadwad ; 34 
 3047 ; 100 рублей. Облигация ; 1955 ;  ;  ;  ; 19 ; svm-1 ; 40 
 3048 ; 100 рублей. Облигация ; 1956 ;  ;  ;  ; 12 ; wadwadwad ; 35 
 3049 ; 500 рублей. Облигация ; 1992 ;  ;  ;  ; 15 ; svm-1 ; 40 
 3050 ; 1000 рублей. Облигация (образец) ; 1992 ;  ;  ;  ; 28 ; and000 ; 82 
 3051 ; 1 копейка. Елгава ; 1915 ;  ;  ;  ; 12 ; MG ; 250 
 3052 ; 2 копейки. Елгава ; 1915 ;  ;  ;  ; 11 ; MG ; 250 
 3053 ; 3 копейки. Елгава ; 1915 ;  ;  ;  ; 6 ; and000 ; 250 
 3054 ; 5 копеек. Елгава ; 1915 ;  ;  ;  ; 5 ; shmatko24 ; 255 
 3055 ; 6 копеек. Елгава ; 1915 ;  ;  ;  ; 23 ; MG ; 327 
 3056 ; 10 копеек. Елгава ; 1915 ;  ;  ;  ; 11 ; MG ; 255 
 3057 ; 15 копеек. Елгава ; 1915 ;  ;  ;  ; 13 ; MG ; 255 
 3058 ; 30 копеек. Елгава ; 1915 ;  ;  ;  ; 7 ; MG ; 255 
 3059 ; 20 копеек. Елгава ; 1915 ;  ;  ;  ; 3 ; MG ; 296 
 3060 ; 50 копеек. Елгава ; 1915 ;  ;  ;  ; 25 ; MG ; 317 
 3061 ; 1 рубль. Урал ; 1918 ; Областной кредитный билет Урал ;  ;  ; 31 ; fvm ; 219 
 3062 ; 5 рублей. Гомельское земство ;  ;  ;  ;  ; 14 ; and000 ; 655 
 3063 ; 25 рублей ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 83 ; Alex821 ; 408 
 3064 ; 5 рублей. Царицин ;  ;  ;  ;  ; 15 ; димитрий ; 510 
 3065 ; 10 рублей ; 1920 ;  ;  ;  ; 8 ; MG ; 408 
 3066 ; 1000 рублей ; 1920 ; Туркестан  ;  ;  ; 22 ; димитрий ; 503 
 3067 ; 10 гривень ; 1918 ; Украина.Державный Кредитовий б ;  ;  ; 5 ; oxana ; 113 
 3068 ; 10000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ;  ; 68 ; Grisha7 ; 405 
 3069 ; 1 рубль. Елгава ; 1915 ;  ;  ;  ; 57 ; and000 ; 816 
 3070 ; 250 рублей   ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 9 ; and000 ; 210 
 2410 ; 1 марка. Финляндия ; 1964 ;  ; Ag ; XF- ; 28 ; 542 ; 114 
 2411 ; 1 марка. Финляндия ; 1965 ;  ; Ag ; VF+ ; 24 ; hantas ; 79 
 2412 ; 1 марка. Финляндия ; 1967 ;  ; Ag ; XF- ; 46 ; hantas ; 87 
 2413 ; 1 марка. Финляндия ; 1974 ;  ; Cu-Ni ; VF-XF ; 5 ; sts ; 24 
 2414 ; 1 марка. Финляндия ; 1990 ;  ; Cu-Ni ; AU ; 7 ; sts ; 46 
 2415 ; 1 марка. Финляндия ; 1998 ;  ; Al-Br ; AU ; 7 ; 542 ; 46 
 2416 ; 5 крон. Швеция ; 1935 ;  ; Ag ; XF+ ; 98 ; ВЯЗ ; 408 
 2417 ; 2 кроны. Швеция ; 1876 ;  ; Ag ; VF+ ; 43 ; smel ; 370 
 2418 ; "2 кроны. Швеция Над головой ""о""" ; 1880 ;  ; Ag ; VF+ ; 18 ; Poiuyt ; 270 
 2419 ; "2 кроны. Швеция Над головой ""осн""" ; 1880 ;  ; Ag ; VF+ ; 42 ; xabib ; 357 
 2420 ; 2 кроны. Швеция ; 1893 ;  ; Ag ; VF+ ; 32 ; Poiuyt ; 261 
 2421 ; 2 кроны. Швеция ; 1907 ;  ; Ag ; VF-XF ; 43 ; xabib ; 290 
 2422 ; 2 кроны. Швеция ; 1934 ; G ; Ag ; XF- ; 32 ; Poiuyt ; 214 
 2423 ;  2 кроны. Швеция ; 1942 ; G ; Ag ; AU ; 33 ; kay2 ; 296 
 2424 ; 2 кроны. Швеция ; 1949 ; TS ; Ag ; AU ; 39 ; vitapool ; 300 
 2425 ;  2 кроны. Швеция ; 1952 ; TS ; Ag ; AU ; 59 ; hantas ; 209 
 2426 ;  2 кроны. Швеция ; 1956 ; TS ; Ag ; AU ; 17 ; vitapool ; 127 
 2427 ;  2 кроны. Швеция ; 1961 ; TS ; Ag ; AU ; 29 ; rizovtpl ; 117 
 2428 ;  2 кроны. Швеция ; 1965 ; U ; Ag ; AU ; 30 ; kpblca ; 89 
 2429 ; 1 крона. Швеция ; 1939 ;  ; Ag ; XF ; 87 ; kay2 ; 238 
 2430 ; 1 крона. Швеция ; 1945 ;  ; Ag ; VF+ ; 9 ; jef688 ; 57 
 2431 ; 1 крона. Швеция ; 1956 ;  ; Ag ; XF- ; 22 ; vitapool ; 101 
 2432 ; 1 крона. Швеция ; 1964 ;  ; Ag ; XF+ ; 43 ; Dozen ; 82 
 2433 ; 50 эре. Швеция ; 1934 ;  ; Ag ; VF+ ; 66 ; 542 ; 113 
