 1161 ; 200 рублей. М-31,1г ; 1994 ; ММД Сохраним наш мир. Соболя ; Au999 ; Proof ; 0 ; Участник № 44 ; 60000 
 1068 ; Полтина (Ильин-3р) ; 1726 ;  ; Ag ; F-VF ; 1 ; АЦТЕК ; 40800 
 1069 ; Полтина (Петров-4р, Ильин-3р) ; 1727 ; СПБ ; Ag ; F ; 1 ; sky22 ; 30600 
 1070 ; Полтина (Ильин-20р, очень редкая ) ; 1741 ; СПБ ; Ag ; VF ; 0 ; Участник № 116 ; 230000 
 1071 ; Полтина (Петров-3,5р) ; 1745 ; ММД ; Ag ; VF- ; 16 ; Сыч ; 40800 
 1072 ; Полтина (Петров-3р, Ильин-4р, редкая) ; 1752 ; СПБ ; Ag ; VF ; 9 ; нумизмат ; 45048 
 1073 ; Полтина. Петров-3р ; 1762 ; СПБ НК TI ; Ag ; VF- ; 0 ; Не продан ; 0 
 1074 ; Полтина (Петров-3р) ; 1763 ; СПБ ЯI ; Ag ; VF ; 0 ; Не продан ; 0 
 1075 ; Полтина. Петров-3р, Ильин-3р ; 1810 ; СПБ ФГ ; Ag ; F/VF ; 0 ; Не продан ; 0 
 1076 ; Полтина ; 1860 ; СПБ ФБ ; Ag ; XF- ; 1 ; OMT ; 10200 
 1077 ; Полтина (Петров-3р, редкая) ; 1862 ; СПБ МИ ; Ag ; VF-XF ; 3 ; Участник № 7 ; 42000 
 1078 ; Полтина (редкая) ; 1873 ; СПБ HI ; Ag ; VF+ ; 1 ; Участник № 100 ; 34000 
 1079 ; Полуполтинник (Петров-4,5р) ; 1704 ; МД ; Ag ; VF- ; 18 ; нумизмат ; 71400 
 1080 ; Полуполтинник ; 1704 ; МД ; Ag ; VF ; 3 ; sky22 ; 53061 
 1081 ; Полуполтинник (Петров-7р) ; 1704 ;  ; Ag ; VF ; 0 ; Не продан ; 0 
 1082 ; Полуполтинник (Ильин-3р, редкий) ; 1797 ; СМ ФЦ ; Ag ; XF- ; 11 ; Team ; 149207 
 1083 ; Полуполтинник (Петров-2р) ; 1798 ; СП  ОМ ; Ag ; F-VF/VF ; 1 ; Участник № 147 ; 18000 
 1084 ; Полуполтинник ; 1799 ; СМ МБ ; Ag ; VF- ; 12 ; Участник № 1344 ; 18000 
 1085 ; Полуполтинник ; 1801 ; СМ АИ ; Ag ; VF+ ; 18 ; Сыч ; 35700 
 1086 ; Полуполтинник (Ильин-5р, редкий) ; 1805 ; СПБ ФГ ; Ag ; VF+ ; 7 ; Team ; 123420 
 1087 ; 25 копеек ; 1827 ; СПБ НГ ; Ag ; XF- ; 0 ; Участник № 392 ; 8500 
 1088 ; 25 копеек (Ильин-3р, редкие) ; 1852 ; СПБ HI ; Ag ; VF-XF ; 0 ; Участник № 116 ; 32000 
 1089 ; 25 копеек (редкие) ; 1854 ; MW ; Ag ; VF+ ; 3 ; Au ; 81600 
 1090 ; 25 копеек (редкие) ; 1857 ; MW ; Ag ; XF- ; 5 ; Участник № 51 ; 102000 
 1091 ; 25 копеек (Петров-25р, Ильин-4р) ; 1858 ; СПБ ; Ag ; VF+ ; 0 ; Участник № 87 ; 40000 
 1092 ; 25 копеек (Ильин-3р, редкие) ; 1861 ; СПБ ФБ ; Ag ; XF- ; 1 ; Team ; 65000 
 1093 ; 25 копеек (редкие) ; 1863 ; СПБ АБ ; Ag ; VF+ ; 7 ; Участник № 87 ; 36000 
 1094 ; 25 копеек (Ильин-3р, редкие) ; 1866 ; СПБ НФ ; Ag ; VF-XF ; 5 ; Участник № 87 ; 46000 
 1095 ; 25 копеек (Петров-2р) ; 1870 ; СПБ HI ; Ag ; VF+ ; 3 ; Au ; 45900 
 1096 ; 25 копеек ; 1872 ; СПБ HI ; Ag ; VF-XF ; 1 ; Team ; 30600 
 1097 ; 25 копеек (Ильин-6р, редкие) ; 1873 ; СПБ HI ; Ag ; VF-XF ; 5 ; Team ; 36000 
 1098 ; 25 копеек ; 1874 ; СПБ HI ; Ag ; VF-XF ; 1 ; Team ; 24000 
 1099 ; 25 копеек ; 1875 ; СПБ HI ; Ag ; XF- ; 1 ; Участник № 392 ; 51000 
 1100 ; 25 копеек ; 1876 ; СПБ HI ; Ag ; XF- ; 1 ; Team ; 34000 
 1101 ; 25 копеек (Петров-2р, редкие) ; 1881 ; СПБ НФ ; Ag ; VF-XF ; 1 ; Team ; 102000 
 1102 ; 25 копеек ; 1886 ; (АГ) АГ ; Ag ; VF+ ; 3 ; sky22 ; 33864 
 1103 ; 25 копеек ; 1887 ; (АГ) АГ ; Ag ; XF- ; 5 ; Team ; 39796 
 1104 ; 25 копеек (редкие) ; 1888 ; (АГ) АГ ; Ag ; VF-XF ; 7 ; Участник № 51 ; 46000 
 1105 ; 25 копеек (Петров-3р, Ильин-3р, очень редкие) ; 1889 ; (АГ) АГ ; Ag ; VF-XF ; 3 ; Team ; 190000 
 1106 ; 25 копеек ; 1891 ; (АГ) АГ ; Ag ; XF- ; 7 ; 462 ; 40100 
 1107 ; 25 копеек ; 1893 ; (АГ) АГ ; Ag ; XF- ; 1 ; Участник № 147 ; 26000 
 1108 ; 25 копеек (Петров-15р, редкие). В капсуле NGC ; 1900 ; АГ ; Ag ; AU 55 ; 1 ; Team ; 30600 
 1109 ; 25 копеек-50 грошей ; 1843 ; MW Рус.-Пол. ; Ag ; XF- ; 15 ; nero ; 30600 
 1110 ; 20 копеек ; 1768 ; СПБ TI ; Ag ; VF-XF ; 0 ; Не продан ; 0 
 1011 ; 5 рублей ; 1874 ; СПБ НI ; Au ; XF- ; 7 ; TDN ; 25500 
 1012 ; 5 рублей ; 1876 ; СПБ НI ; Au ; XF+ ; 19 ; 28 ; 34000 
 1013 ; 5 рублей ; 1877 ; СПБ НI ; Au ; XF- ; 7 ; Mol ; 24480 
 1014 ; 5 рублей ; 1885 ; СПБ АГ Новый орел ; Au ; XF+/AU ; 20 ; 28 ; 54000 
 1015 ; 5 рублей ; 1892 ; (АГ) ; Au ; VF+ ; 1 ; Mol ; 35700 
 1016 ; 5 рублей ; 1893 ; (АГ) ; Au ; XF- ; 3 ; Mol ; 32130 
 1017 ; 3 рубля ; 1875 ; СПБ НI ; Au ; XF- ; 1 ; finger ; 56100 
 1018 ; 10 злотых (Петров-7р, Ильин-7р). Ремонт гурта ; 1821 ; IB Польша ; Ag ; VF ; 5 ; sky22 ; 112200 
 1019 ; 10 злотых (Петров-7р, Ильин-6р) ; 1822 ; IB Польша ; Ag ; XF- ; 3 ; Участник № 51 ; 125000 
 1020 ; 10 злотых (Петров-7р, Ильин-6р) ; 1823 ; IB Польша ; Ag ; VF ; 5 ; ZOLTAN333 ; 106121 
 1021 ; 10 злотых (Петров-6,5р, Ильин-15р) ; 1824 ; IB Польша ; Ag ; VF- ; 7 ; sky22 ; 89352 
 1022 ; 5 злотых ; 1834 ; IP Польша ; Ag ; VF-XF ; 21 ; skylink ; 15300 
 1023 ; Рубль ; 1721 ;  ;  ; VF-XF ; 13 ; kazbec ; 58219 
 1024 ; Рубль. Петров-15р ; 1725 ; СПБ ; Ag ; VF ; 0 ; Участник № 116 ; 70000 
 1025 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 1 ; kazbec ; 30600 
 1026 ; Рубль ; 1729 ;  ; Ag ; VF+ ; 1 ; Mol ; 48000 
 1027 ; Рубль (редкий тип о/с) ; 1732 ;  ; Ag ; VF-XF ; 0 ; Участник № 51 ; 42000 
 1028 ; Рубль ; 1736 ;  ; Ag ; VF+ ; 5 ; нумизмат ; 25000 
 1029 ; Рубль ; 1740 ; СПБ ; Ag ; VF-XF ; 0 ; Не продан ; 0 
 1030 ; Рубль (Петров-3р) ; 1740 ;  ; Ag ; XF+ ; 0 ; Участник № 1867 ; 60000 
 1031 ; Рубль ; 1742 ; СПБ ; Ag ;  ; 0 ; Не продан ; 0 
 1032 ; Рубль ; 1743 ; СПБ ; Ag ; XF ; 0 ; Не продан ; 0 
 1033 ; Рубль ; 1749 ; СПБ ; Ag ; XF- ; 1 ; 439 ; 20400 
 1034 ; Рубль ; 1756 ; СПБ IM BS ; Ag ; VF-XF ; 0 ; Не продан ; 0 
 1035 ; 96 копеек. Позолота (Петров-6р, Ильин-6р) ; 1757 ; Ливонез ; Ag ; VF ; 7 ; sky22 ; 94512 
 1036 ; Рубль (Петров-3р) ; 1762 ; ММД ДМ ; Ag ; VF ; 19 ; TDN ; 45900 
 1037 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; XF- ; 12 ; Sky2 ; 19380 
 1038 ; Рубль ; 1765 ; СПБ СА TI ; Ag ; XF ; 11 ; Участник № 7 ; 21000 
 1039 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; VF-XF ; 1 ; Участник № 1867 ; 21000 
 1040 ; Рубль (Петров-12р, Ильин-5р, редкий) ; 1772 ; СПБ ЯЧ TИ ; Ag ; VF- ; 0 ; Не продан ; 0 
 1041 ; Рубль (Петров-100р, Ильин-50р, очень редкий) ; 1775 ; ММД СА ; Ag ; F ; 1 ; TDN ; 71400 
 1042 ; Талер.  Курляндия под протекторатом России. Петр Бирон (1769-1795гг) ; 1780 ;  ; Ag ; VF+ ; 12 ; Au ; 31960 
 1043 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF ; 0 ; Не продан ; 0 
 1044 ; Рубль (Петров-25р, Ильин-20р, редкий) ; 1783 ; СПБ ММ TI ; Ag ; F ; 0 ; Не продан ; 0 
 1045 ; Рубль. Петров-3р ; 1792 ; СПБ ЯА TI ; Ag ; VF-XF ; 1 ; Mol ; 20400 
 1046 ; Рубль. Петров-3,5р, Ильин-3р ; 1796 ; СПБ IC TI ; Ag ; VF-XF ; 1 ; Mol ; 20400 
 1047 ; Рубль. Петров-2.25р ; 1799 ; СМ МБ ; Ag ; XF ; 0 ; Не продан ; 0 
 1048 ; Рубль ; 1799 ; СМ МБ ; Ag ; VF-XF ; 1 ; Сыч ; 20400 
 1049 ; Рубль ; 1801 ; СМ АИ ; Ag ; VF-XF ; 0 ; Участник № 1792 ; 27000 
 1050 ; Рубль ; 1802 ; СПБ АИ ; Ag ; XF- ; 5 ; kazbec ; 49980 
 1051 ; Рубль ; 1808 ; СПБ МК ; Ag ; XF ; 8 ; Участник № 44 ; 54000 
 1052 ; Рубль ; 1828 ; СПБ НГ ; Ag ; VF-XF ; 0 ; Участник № 636 ; 16000 
 1053 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF- ; 0 ; Участник № 520 ; 21000 
 1054 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF+ ; 3 ; Участник № 636 ; 15000 
 1055 ; Рубль ; 1840 ; СПБ НГ ; Ag ; XF+ ; 15 ; OMT ; 7960 
 1056 ; Рубль (Петров-5р, Ильин-5р, редкий) ; 1862 ; СПБ МИ ; Ag ; VF-XF ; 5 ; Участник № 100 ; 115000 
 1057 ; Рубль. Петров-2.25р ; 1868 ; СПБ HI ; Ag ; XF- ; 0 ; Участник № 520 ; 21000 
 1058 ; Рубль ; 1876 ; СПБ HI ; Ag ; VF-XF ; 0 ; Участник № 520 ; 16000 
 1059 ; Рубль ; 1880 ; СПБ НФ ; Ag ; VF-XF ; 1 ; kazbec ; 18000 
 1060 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF/AU ; 8 ; Участник № 636 ; 14000 
 151 ; 1 золотн. ;  ; АД ; Ag ; XF- ; 32 ; Участник № 392 ; 8000 
 152 ; 5 копеек ; 1924 ; Гурт гладкий ; Cu ; AU/XF ; 25 ; bazis ; 6018 
 153 ; 1 рубль ; 1922 ; Николо-Павдиевский кооператив (Екатеринбург, 1922 г.) ; Ж/м ; VF-XF ; 20 ; Участник № 54 ; 10500 
 154 ; 20 копеек ; 1922 ; Николо-Павдиевский кооператив (Екатеринбург, 1922 г.) ; Ж/м ; VF-XF ; 30 ; CELIKA ; 7905 
 155 ; Медаль за благонравие и успехи в науках. Государственная императрица Мария Федоровна. D-43мм. В коробке ;  ;  ; Ag ; XF ; 32 ; OMT ; 9967 
 156 ; Медаль. Открытие памятника Александру II в Гельсингфорсе в 1894г. D-69мм  . D-69мм ;  ;  ; Cu ; AU ; 7 ; hugo ; 5779 
 157 ; Медаль "За трудолюбие и искусство". Казанская научно-промышленная выставка. D-34мм ; 1890 ;  ; Ag ; AU ; 17 ; крымчак ; 28000 
 158 ; Медаль. За полезные труды в области Сельско-Хозяйственного птицеводства. D-41мм ;  ;  ; Cu ; XF ; 3 ; hugo ; 7293 
 159 ; Георгиевский крест III ст. №96433 ; 1914-1915 ;  ; Ag ; VF-XF ; 33 ; sail ; 20000 
 160 ; Георгиевский крест IV ст. №780717 ; 1914-1915 ;  ; Ag ; XF ; 16 ; sail ; 13260 
 161 ; Медаль "В память Русско-Турецкой войны 1877-1878гг". D-26мм ;  ;  ; Ag ; VF+ ; 26 ; Участник № 115 ; 15000 
 162 ; Медаль. За беспорочную службу в полиции. Имп. Николай II. D-36мм ;  ;  ; Ag ; VF-XF ; 19 ; Участник № 54 ; 15000 
