 5909 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; aleksander2015 ; 36 
 5869 ; Бона иностранная Германия ;  ;  ;  ;  ; 3 ; Darik75 ; 101 
 5870 ; Бона иностранная Кувейт ;  ;  ;  ; AU ; 24 ; СТРЕКОЗА ; 81 
 5871 ; Бона иностранная Иордания ;  ;  ;  ; AU ; 21 ; СТРЕКОЗА ; 124 
 5872 ; Бона иностранная Кабо-Верде ;  ;  ;  ;  ; 26 ; maksbelov ; 200 
 5873 ; Бона иностранная Сингапур ;  ;  ;  ;  ; 13 ; 000SABik ; 440 
 5874 ; Лот бон иностранных 6 шт ;  ;  ;  ;  ; 17 ; Maks87 ; 147 
 5875 ; Бона иностранная Германия ;  ;  ;  ;  ; 16 ; цеховик ; 113 
 5876 ; Лот бон 3 шт. Германия ;  ;  ;  ;  ; 41 ; елец ; 517 
 5877 ; Лот бон 2 шт. Польша ;  ;  ;  ;  ; 33 ; елец ; 453 
 5878 ; 10 злотых Польша ; 1982 ;  ;  ; AU ; 26 ; стадник ; 234 
 5879 ; 2000 злотых Польша ; 1979 ;  ;  ; AU ; 23 ; vicktor_2014 ; 347 
 5880 ; 5000 злотых Польша ; 1982 ;  ;  ; AU ; 24 ; Мотя ; 501 
 5881 ; 10000 злотых Польша ; 1987 ;  ;  ; AU ; 17 ; Мотя ; 502 
 5882 ; 20000 злотых Польша ; 1989 ;  ;  ; AU ; 20 ; нв1975 ; 818 
 5883 ; 50000 злотых Польша ; 1993 ;  ;  ; AU ; 14 ; Мотя ; 701 
 5884 ; 100000 злотых Польша ; 1993 ;  ;  ; AU ; 13 ; Мотя ; 680 
 5885 ; 200000 злотых Польша ; 1989 ;  ;  ; AU ; 25 ; Мотя ; 1882 
 5886 ; 500000 злотых Польша ; 1990 ;  ;  ; AU ; 19 ; Мотя ; 2061 
 5887 ; 1000000 злотых Польша ; 1991 ;  ;  ; AU ; 25 ; Мотя ; 2040 
 5888 ; 2000000 злотых Польша ; 1993 ;  ;  ; AU ; 42 ; Мотя ; 3941 
 5889 ; 50 гривен Украина ; 2014 ;  ;  ; AU ; 56 ; u10257 ; 363 
 5890 ; Бона иностранная Латвия ; 1992 ;  ;  ; AU ; 13 ; yuri.gruzdev ; 57 
 5891 ; Бона иностранная Эстония ; 1994 ;  ;  ; AU ; 32 ; vicktor_2014 ; 99 
 5892 ; Бона иностранная Эстония ; 1932 ;  ;  ;  ; 57 ; karal ; 797 
 5893 ; Бона иностранная Эстония ; 1937 ;  ;  ;  ; 41 ; sos1 ; 498 
 5894 ; Бона иностранная Болгария ;  ;  ;  ;  ; 12 ; alexnn ; 90 
 5895 ; Бона иностранная Болгария ;  ;  ;  ;  ; 12 ; alexnn ; 90 
 5896 ; Бона иностранная Колумбия ;  ;  ;  ;  ; 17 ; grimbo ; 90 
 5897 ; Бона иностранная Египет ;  ;  ;  ;  ; 7 ; СТРЕКОЗА ; 31 
 5898 ; Бона иностранная Египет ;  ;  ;  ;  ; 7 ; СТРЕКОЗА ; 34 
 5899 ; Бона иностранная Египет ;  ;  ;  ;  ; 3 ; Фонарь ; 12 
 5900 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 5 ; Фонарь ; 27 
 5901 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 9 ; СТРЕКОЗА ; 45 
 5902 ; Бона иностранная Венгрия ;  ;  ;  ;  ; 17 ; ВНВ ; 69 
 5903 ; Бона иностранная Харватия ;  ;  ;  ;  ; 9 ; melkore ; 20 
 5904 ; Бона иностранная Доминикана ;  ;  ;  ;  ; 10 ; Фонарь ; 48 
 5905 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 26 ; sampler22 ; 36 
 5906 ; Бона иностранная Аргентина ;  ;  ;  ;  ; 7 ; велес ; 36 
 5907 ; Бона иностранная Никарагуа ;  ;  ;  ;  ; 7 ; grimbo ; 48 
 5908 ; Бона иностранная Бразилия ;  ;  ;  ;  ; 7 ; Ssid ; 45 
 5809 ; Бона иностранная Сербия ; 1993 ;  ;  ; AU ; 52 ; yuvg ; 235 
 5810 ; Бона иностранная Сербия ; 1993 ;  ;  ; AU ; 34 ; air ; 313 
 5811 ; Бона иностранная Бельгия ; 1932 ;  ;  ;  ; 25 ; Maks87 ; 155 
 5812 ; Бона иностранная Сен-Пьер и Микелон ;  ;  ;  ; AU ; 67 ; kont ; 1561 
 5813 ; Бона иностранная Индокитай ;  ;  ;  ;  ; 18 ; derk02 ; 306 
 5814 ; Бона иностранная Египет ;  ;  ;  ; AU ; 31 ; nikfed ; 277 
 5815 ; Бона иностранная Сьерра-Леоне ;  ;  ;  ; AU ; 34 ; СТРЕКОЗА ; 237 
 5816 ; Бона иностранная Гамбия ;  ;  ;  ; AU ; 18 ; 000SABik ; 320 
 5817 ; Бона иностранная Гамбия ;  ;  ;  ; AU ; 9 ; 000SABik ; 306 
 5818 ; Бона иностранная Кения ;  ;  ;  ; AU ; 55 ; yuvg ; 261 
 5819 ; Бона иностранная Кения ;  ;  ;  ; AU ; 27 ; СТРЕКОЗА ; 156 
 5820 ; Бона иностранная Кения ;  ;  ;  ; AU ; 19 ; стадник ; 146 
 5821 ; Бона иностранная Филиппины ;  ;  ;  ; AU ; 14 ; СТРЕКОЗА ; 61 
 5822 ; Бона иностранная Филиппины ;  ;  ;  ; AU ; 25 ; karal ; 201 
 5823 ; Бона иностранная японская оккупация ;  ;  ;  ; AU ; 26 ; 462 ; 164 
 5824 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 24 ; karal ; 227 
 5825 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 42 ; ВНВ ; 255 
 5826 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 31 ; ВНВ ; 257 
 5827 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 33 ; ВНВ ; 222 
 5828 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 46 ; ВНВ ; 510 
 5829 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 18 ; ВНВ ; 306 
 5830 ; Бона иностранная Эквадор ;  ;  ;  ; AU ; 22 ; yuvg ; 402 
 5831 ; Бона иностранная Чили ;  ;  ;  ;  ; 11 ; mart_si ; 57 
 5832 ; Бона иностранная Великобритания ;  ;  ;  ;  ; 11 ; yuvg ; 204 
 5833 ; Бона иностранная Франция ;  ;  ; 1975 ; AU ; 46 ; torbey ; 921 
 5834 ; Бона иностранная Франция ;  ;  ; 1942 ;  ; 74 ; karal ; 651 
 5835 ; Бона иностранная Франция ;  ;  ; 1993 ; AU ; 52 ; u10257 ; 960 
 5836 ; Бона иностранная Франция ;  ;  ; 1940 ; AU ; 78 ; Глеб ; 624 
 5837 ; Бона иностранная Греция ;  ;  ;  ;  ; 23 ; dmivanych ; 170 
 5838 ; Лот бон 5 шт. Греция ;  ;  ;  ;  ; 9 ; yuvg ; 340 
 5839 ; Бона иностранная Италия ;  ;  ;  ;  ; 18 ; елец ; 77 
 5840 ; Лот бон 8 шт. Италия ;  ;  ;  ;  ; 25 ; елец ; 204 
 5841 ; Бона иностранная Германия ; 1908 ;  ;  ; AU ; 11 ; nikfed ; 343 
 5842 ; Бона иностранная Германия ; 1910 ;  ;  ; AU ; 25 ; attila375 ; 1134 
 5843 ; Бона иностранная Германия ; 1923 ;  ;  ; AU ; 16 ; k212 ; 227 
 5844 ; Бона иностранная Германия ; 1922 ;  ;  ;  ; 20 ; k212 ; 419 
 5845 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 23 ; k212 ; 174 
 5846 ; Бона иностранная Германия ; 1935 ;  ;  ;  ; 24 ; yuvg ; 334 
 5847 ; Бона иностранная Германия ; 1917 ;  ;  ; AU ; 18 ; ирренн ; 204 
 5848 ; Бона иностранная Германия ; 1923 ;  ;  ;  ; 15 ; k212 ; 454 
 5849 ; Бона иностранная Германия ; 1924 ;  ;  ;  ; 13 ; attila375 ; 359 
 5850 ; Бона иностранная Германия ; 1920 ;  ;  ; AU ; 3 ; Boss Orange ; 153 
 5851 ; Бона иностранная Германия ;  ;  ;  ;  ; 12 ; Darik75 ; 153 
 5852 ; Бона иностранная Германия ;  ;  ;  ;  ; 12 ; electra ; 105 
 5853 ; Бона иностранная Германия ;  ;  ;  ;  ; 20 ; Darik75 ; 261 
 5854 ; Бона иностранная Германия ;  ;  ;  ;  ; 15 ; TiBuL ; 101 
 5855 ; Бона иностранная Германия ;  ;  ;  ;  ; 34 ; electra ; 161 
 5856 ; Бона иностранная Германия ;  ;  ;  ;  ; 17 ; electra ; 126 
 5857 ; Бона иностранная Германия ;  ;  ;  ;  ; 16 ; electra ; 209 
 5858 ; Бона иностранная Германия ;  ;  ;  ;  ; 10 ; electra ; 169 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ВНВ ; 104 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 13 ; geracon2009 ; 41 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Maks87 ; 30 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 9 ; alexnn ; 101 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Darik75 ; 131 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 16 ; наташа2712 ; 203 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Darik75 ; 208 
 5583 ; Бона иностранная ;  ;  ;  ;  ; 7 ; елец ; 175 
 5584 ; Бона иностранная ;  ;  ;  ;  ; 23 ; цеховик ; 148 
 5585 ; Бона иностранная ;  ;  ;  ;  ; 5 ; yuvg ; 71 
 5586 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Maks87 ; 30 
 5587 ; Бона иностранная ;  ;  ;  ;  ; 17 ; geracon2009 ; 96 
 5588 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 000SABik ; 306 
 5589 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Darik75 ; 114 
 5590 ; Бона иностранная ;  ;  ;  ;  ; 8 ; наташа2712 ; 124 
 5591 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Darik75 ; 120 
 5592 ; Бона иностранная ;  ;  ;  ;  ; 10 ; гш888 ; 99 
 5593 ; Бона иностранная ;  ;  ;  ;  ; 7 ; attila375 ; 50 
 5594 ; Бона иностранная ;  ;  ;  ;  ; 6 ; трутень ; 101 
 5595 ; Бона иностранная ;  ;  ;  ;  ; 16 ; наташа2712 ; 203 
 5596 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Sky2 ; 40 
 5597 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Darik75 ; 113 
 5598 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 000SABik ; 299 
 5599 ; Бона иностранная ;  ;  ;  ;  ; 13 ; yuvg ; 193 
 5600 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Darik75 ; 119 
 5601 ; Бона иностранная ;  ;  ;  ;  ; 5 ; joker2008_08 ; 30 
 5602 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ек ; 42 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 8 ; ек ; 46 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 20 ; ВНВ ; 257 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 13 ; geracon2009 ; 61 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 8 ; елец ; 101 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Darik75 ; 152 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 5 ; гш888 ; 99 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 16 ; mart_si ; 216 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 13 ; наташа2712 ; 122 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 8 ; гш888 ; 37 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 000SABik ; 300 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ВНВ ; 114 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 56 ; ВНВ ; 310 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 9 ; газета ; 59 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 13 ; mmmm ; 107 
 5800 ; 1 доллар США ; 1899 ;  ;  ;  ; 64 ; nikfed ; 11029 
 5801 ; 1 доллар США ; 1917 ;  ;  ;  ; 61 ; Dmitry21 ; 6513 
 5802 ; 1 рупия Немецкая-Восточная Африка ; 1916 ;  ;  ;  ; 27 ; bva150979 ; 1530 
 5803 ; Бона иностранная Сербия ; 1994 ;  ;  ; AU ; 57 ; air ; 346 
 5804 ; Бона иностранная Сербия ; 1994 ;  ;  ; AU ; 46 ; air ; 401 
 5805 ; Бона иностранная Сербия ; 1994 ;  ;  ; AU ; 34 ; air ; 360 
 5806 ; Бона иностранная Сербия ; 1993 ;  ;  ; AU ; 30 ; air ; 360 
 5807 ; Бона иностранная Сербия ; 1993 ;  ;  ; AU ; 36 ; air ; 360 
 5808 ; Бона иностранная Сербия ; 1993 ;  ;  ; AU ; 30 ; air ; 360 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 9 ; pref ; 32 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 7 ; yuvg ; 100 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 9 ; yuvg ; 100 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 9 ; газета ; 23 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 14 ; аулгуцул ; 1000 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 8 ; аулгуцул ; 1000 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 10 ; аулгуцул ; 1000 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 12 ; аулгуцул ; 1000 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Leszek ; 1001 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kont ; 1259 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 25 ; стадник ; 305 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 7 ; велес ; 71 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 000SABik ; 101 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Dmitry21 ; 71 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Руслан531 ; 20 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Maks87 ; 50 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alexnn ; 50 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 11 ; трутень ; 30 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alexnn ; 30 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 8 ; трутень ; 50 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 11 ; collector64 ; 20 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 7 ; газета ; 18 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 7 ; aleksander2015 ; 50 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 13 ; трутень ; 101 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 9 ; страус ; 30 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 9 ; yuvg ; 300 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 7 ; страус ; 30 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 11 ; yuvg ; 100 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ек ; 18 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 22 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 5 ; yuvg ; 100 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 6 ; 2128508 ; 102 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 5 ; yuvg ; 101 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 23 ; mart_si ; 201 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 7 ; yuvg ; 466 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 13 ; mart_si ; 201 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Maks87 ; 31 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 13 ; газета ; 90 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 9 ; трутень ; 87 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 17 ; yuvg ; 199 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ек ; 10 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 10 ; газета ; 255 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 9 ; я8844 ; 28 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Maks87 ; 101 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 10 ; гш888 ; 100 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 7 ; аулгуцул ; 153 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 7 ; yuvg ; 101 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 12 ; TiBuL ; 86 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 13 ; bva150979 ; 159 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Maks87 ; 30 
 5332 ; 1000 рублей ; 1919 ;  ;  ;  ; 74 ; paul196262 ; 5956 
 5333 ; 10000 рублей ; 1919 ;  ;  ;  ; 20 ; Руслан531 ; 396 
 5334 ; 1000 рублей ; 1919 ;  ;  ;  ; 36 ; bonipari ; 826 
 5335 ; 500 рублей ; 1918 ;  ;  ;  ; 36 ; Ustin ; 1012 
 5336 ; 5000 рублей ; 1919 ;  ;  ;  ; 35 ; dmivanych ; 811 
 5337 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 30 ; аймир ; 816 
 5338 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 44 ; yuvg ; 792 
 5339 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 34 ; bonipari ; 816 
 5340 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 52 ; benc ; 799 
 5341 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 36 ; yuvg ; 1353 
 5342 ; 500 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 28 ; медалькин ; 1022 
 5343 ; 1000 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 41 ; mart_si ; 1747 
 5344 ; 5000 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 62 ; mart_si ; 2459 
 5345 ; 5 червонцев ; 1928 ; Билет ;  ;  ; 72 ; жулик ; 13010 
 5346 ; Лот бон 1,3,10 рублей ; 1898-1909 ;  ;  ;  ; 32 ; Siringa ; 357 
 5347 ; Лот карточки 2 шт ; 1941 ;  ;  ;  ; 20 ; bva150979 ; 414 
 5348 ; Лот карточки 2 шт ; 1942 ;  ;  ;  ; 20 ; варяг42 ; 526 
 5349 ; Карточка ; 1943 ;  ;  ;  ; 32 ; варяг42 ; 526 
 5350 ; 50 рублей ; 1961 ; билет ;  ;  ; 13 ; samos ; 104 
 5351 ; 10000 рублей ; 1992 ; банкнота ;  ;  ; 47 ; trio ; 407 
 5352 ; 1000 рублей ; 1992 ; билет ;  ;  ; 12 ; samos ; 301 
 5353 ; 500 рублей ; 1992 ; билет ;  ;  ; 19 ; samos ; 107 
 5354 ; 5000 рублей ; 1992 ; банкнота ;  ;  ; 20 ; samos ; 109 
 5355 ; Бона 100 рублей. Сочи 2014. Серия АА ;  ;  ;  ;  ; 22 ; yuri.gruzdev ; 214 
 5356 ; Бона 100 рублей. Сочи 2014. Серия Аа ;  ;  ;  ;  ; 21 ; kvs ; 184 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 11 ; alexnn ; 85 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Maks87 ; 77 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 16 ; k212 ; 77 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 15 ; derk02 ; 340 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 17 ; alexnn ; 47 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 8 ; chag1985 ; 30 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 11 ; LoG85 ; 36 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 7 ; aleksander2015 ; 30 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 13 ; pref ; 68 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Maks87 ; 55 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 7 ; велес ; 30 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 11 ; alexnn ; 30 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 6 ; aleksander2015 ; 30 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 7 ; скорпион_48 ; 30 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 11 ; alexnn ; 101 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 15 ; alexnn ; 101 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 8 ; гш888 ; 38 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Sky2 ; 153 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 12 ; трутень ; 101 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 7 ; аулгуцул ; 70 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Nik488 ; 118 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 10 ; CASABLANCA ; 101 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 29 ; alexnn ; 110 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 14 ; tpls ; 57 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 7 ; страус ; 30 
 5083 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; XF ; 31 ; kop ; 1192 
 5084 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; XF ; 45 ; kop ; 1657 
 5085 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 31 ; trio ; 1022 
 5086 ; 1000 рублей. Юденич. ; 1919 ;  ;  ; XF/AU ; 74 ; paul196262 ; 3875 
 5087 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; XF ; 66 ; 000SABik ; 1940 
 5088 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 43 ; konst ; 1601 
 5089 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ; AU ; 46 ; 000SABik ; 1835 
 5090 ; 3 червонца ; 1924 ; Билеты гос.банка СССР ;  ;  ; 62 ; sax ; 26954 
