 101 ; 2 копейки ; 1800 ; КМ ; Cu ; VF-XF ; 24 ; I3 ; 2000 
 95 ; 2 копейки ; 1763 ; ММ ; Cu ; VF- ; 12 ; electra ; 1300 
 96 ; 2 копейки ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 15 ; Кто там ; 2200 
 97 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF-XF ; 29 ; Кто там ; 1900 
 98 ; 2 копейки ; 1797 ; КМ ; Cu ; XF ; 22 ; Foks ; 1900 
 99 ; 2 копейки ; 1798 ; КМ ; Cu ; XF ; 16 ; Продано в зале ; 2000 
 100 ; 2 копейки ; 1799 ; КМ ; Cu ; XF ; 23 ; anna53 ; 2200 
 1 ; Платежный слиток. Гривна. Новгородского типа. М-194,2г ;  ; Новгородская ; Ag ;  ; 45 ; Продано в зале ; 26000 
 2 ; Рубль (Петров - 6р.) ; 1719 ; ILL OK ; Ag ; VF ; 69 ; Продано в зале ; 36000 
 3 ; Рубль ; 1720 ;  ; Ag ; XF ; 45 ; ацетон ; 66867 
 4 ; Рубль ; 1729 ;  ; Ag ; VF+ ; 35 ; gelo ; 27777 
 5 ; Рубль ; 1729 ;  ; Ag ; VF+ ; 93 ; gelo ; 40800 
 6 ; Рубль ; 1731 ;  ; Ag ; XF- ; 31 ; а1945 ; 23000 
 7 ; Рубль ; 1733 ;  ; Ag ; XF- ; 36 ; а1945 ; 25000 
 8 ; Рубль ; 1735 ;  ; Ag ; XF ; 13 ; Ok203 ; 26594 
 9 ; Рубль ; 1744 ; СПБ ; Ag ; XF- ; 22 ; бриз33 ; 26531 
 10 ; Рубль ; 1745 ; СПБ ; Ag ; VF-XF ; 76 ; бриз33 ; 24000 
 11 ; Рубль ; 1747 ; СПБ ; Ag ; XF ; 89 ; Foks ; 30000 
 12 ; Рубль ; 1749 ; СПБ ; Ag ; XF- ; 47 ; Moryak ; 26777 
 13 ; Рубль ; 1750 ; ММД ; Ag ; VF-XF ; 30 ; 462 ; 26000 
 14 ; Рубль ; 1752 ; ММД Е ; Ag ; XF- ; 49 ; Продано в зале ; 29000 
 15 ; Рубль ; 1752 ; СПБ ЯI ; Ag ; XF ; 37 ; Продано в зале ; 34000 
 16 ; Рубль (Петров - 3р.) ; 1754 ; ММД EI ; Ag ; VF-XF ; 40 ; icebreaker ; 27030 
 17 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; XF- ; 42 ; а1945 ; 28000 
 18 ; Рубль ; 1762 ; СПБ НК ; Ag ; XF ; 66 ; Valera G ; 90005 
 19 ; Рубль (Петров-4р, Ильин-4р) ; 1797 ; СМ ФЦ ; Ag ; XF ; 52 ; Как-то так... ; 221000 
 20 ; Рубль ; 1802 ; СПБ АИ ; Ag ; VF-XF ; 49 ; Acronis ; 38000 
 21 ; Рубль ; 1808 ; СПБ МК ; Ag ; XF ; 49 ; 160367 ; 38000 
 22 ; Рубль ; 1823 ; СПБ ПД ; Ag ; XF+/AU ; 25 ; 462 ; 16000 
 23 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF+ ; 37 ; -- --- . ; 25602 
 24 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF/AU ; 21 ; бриз33 ; 18000 
 25 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF+ ; 50 ; I3 ; 15000 
 26 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF ; 24 ; vonrussel ; 9500 
 27 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF- ; 42 ; ctr ; 6250 
 28 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF- ; 49 ; I3 ; 10000 
 29 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF ; 68 ; snupi ; 9500 
 30 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF ; 27 ; I3 ; 13000 
 31 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF ; 44 ; I3 ; 10500 
 32 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF+ ; 23 ; Fast ; 9000 
 33 ; Рубль "4" в дате открытые ; 1844 ; СПБ КБ ; Ag ; XF+ ; 95 ; I3 ; 38000 
 34 ; Рубль "4" в дате закрытые ; 1844 ; СПБ КБ ; Ag ; XF ; 41 ; top1 ; 12000 
 35 ; Рубль ; 1845 ; СПБ КБ ; Ag ; XF ; 55 ; I3 ; 16000 
 36 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF+ ; 33 ; max96 ; 14000 
 37 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 49 ; Продано в зале ; 30000 
 38 ; Рубль ; 1872 ; СПБ HI ; Ag ; XF+/AU ; 43 ; *@*#* ; 34000 
 39 ; Рубль ; 1874 ; СПБ HI ; Ag ; XF ; 47 ; manti-M ; 32000 
 40 ; Рубль ; 1875 ; СПБ HI ; Ag ; XF+ ; 34 ; бриз33 ; 26000 
 41 ; Рубль ; 1876 ; СПБ HI ; Ag ; XF+/AU ; 35 ; Продано в зале ; 27000 
 42 ; Рубль ; 1878 ; СПБ НФ ; Ag ; AU ; 37 ; 462 ; 12000 
 43 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 37 ; manti-M ; 28000 
 44 ; Рубль ; 1886 ; (АГ) ; Ag ; XF+ ; 36 ; Sky2 ; 67322 
 45 ; Рубль ; 1895 ; (АГ) ; Ag ; XF ; 53 ; Продано в зале ; 65000 
 46 ; Рубль ; 1897 ; ( ** ) ; Ag ; AU ; 39 ; 160367 ; 17888 
 47 ; Рубль ; 1902 ; (АР) ; Ag ; XF- ; 72 ; NikTop ; 38000 
 48 ; Рубль ; 1903 ; (АР) ; Ag ; VF+ ; 42 ; уда ; 37886 
 49 ; Рубль ; 1904 ; (АР) ; Ag ; VF+ ; 56 ; NikTop ; 95000 
 50 ; Рубль ; 1905 ; (АР) ; Ag ; VF+ ; 62 ; NikTop ; 95000 
