 201 ; 15 копеек. В капсуле NGC ; 1875 ; СПБ HI ; Ag ; MS 62 ; 9 ; Участник № 520 ; 2600 
 192 ; Медаль. В память 100-летия Министерства финансов. D-64мм ;  ;  ; Ж/м ; VF+ ; 13 ; Участник № 30 ; 3800 
 193 ; Медаль. На открытие Троицкого моста (1897-1903гг). D-64мм ;  ;  ; Ж/м ; VF-XF ; 14 ; Участник № 6 ; 8500 
 194 ; Медаль. В память 50-летия русского общества пароходства и торговли. D-69мм ;  ;  ; Ж/м ; VF-XF ; 31 ; Участник № 6 ; 8000 
 195 ; Медаль. Памятник Александру III в Москве. D-78мм ;  ;  ; Ж/м ; VF-XF ; 25 ; Участник № 30 ; 11500 
 196 ; 5 копеек. В капсуле ANACS ; 1853 ; СПБ HI ; Ag ; AU 50 ; 16 ; dsidorov ; 1563 
 197 ; 5 копеек. В капсуле NGC ; 1856 ; СПБ ФБ ; Ag ; AU 55 ; 11 ; dsidorov ; 1714 
 198 ; 10 копеек. В капсуле ANACS ; 1869 ; СПБ HI ; Ag ; AU 50 ; 22 ; Участник № 133 ; 1600 
 199 ; 10 копеек. В капсуле ANACS ; 1917 ; ВС ; Ag ; MS 60 ; 11 ; dsidorov ; 2946 
 200 ; 50 пенни. В капсуле ANACS ; 1915 ; S Финляндия ; Ag ; AU 58 ; 5 ; dsidorov ; 238 
 101 ; 1/2 копейки ; 1841 ; СПМ ; Cu ; VF-XF ; 24 ; 3458 ; 347 
 102 ; Копейка ; 1842 ; СПМ ; Cu ; VF+ ; 21 ; dimon46 ; 313 
 103 ; 3 копейки ; 1843 ; ЕМ ; Cu ; VF ; 39 ; ravs ; 920 
 104 ; Рубль ; 1844 ; MW ; Ag ; XF- ; 78 ; Участник № 520 ; 13000 
 105 ; Полтина ; 1844 ; СПБ КБ ; Ag ; VF+ ; 15 ; 155оа ; 3876 
 106 ; 5 копеек ; 1844 ; СПБ КБ ; Ag ; AU ; 52 ; Участник № 147 ; 3400 
 107 ; 5 копеек ; 1844 ; СПБ КБ ; Ag ; AU ; 9 ; Участник № 6 ; 4000 
 108 ; 3 копейки ; 1844 ; ЕМ ; Cu ; VF ; 57 ; ravs ; 930 
 109 ; Рубль ; 1846 ; MW ; Ag ; XF ; 26 ; Участник № 30 ; 21000 
 110 ; 10 копеек ; 1847 ; СПБ ПА ; Ag ; VF-XF ; 35 ; PIT ; 1632 
 111 ; Рубль ; 1848 ; СПБ HI ; Ag ; VF-XF ; 22 ; PIT ; 5103 
 112 ; Рубль ; 1848 ; СПБ HI ; Ag ; AU/XF ; 36 ; 1177 ; 10098 
 113 ; 25 копеек-50 грошей ; 1848 ; MW Рус.-Пол. ; Ag ; VF-XF ; 40 ; al69 ; 6171 
 114 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF- ; 61 ; al69 ; 9058 
 115 ; Рубль ; 1850 ; СПБ ПА ; Ag ; AU/XF ; 31 ; Участник № 51 ; 13000 
 116 ; Полушка ; 1852 ; ВМ ; Cu ; XF- ; 67 ; foma71 ; 12229 
 117 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 18 ; TDN ; 1274 
 118 ; Полушка ; 1854 ; ЕМ ; Cu ; AU ; 33 ; Участник № 133 ; 2200 
 119 ; Копейка ; 1855 ; ВМ ; Cu ; VF+ ; 25 ; al69 ; 1471 
 120 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 20 ; Участник № 133 ; 3200 
 121 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; VF-XF ; 22 ; PIT ; 3956 
 122 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 30 ; ravs ; 1226 
 123 ; 15 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; AU/XF ; 17 ; Участник № 133 ; 4200 
 124 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 8 ; Участник № 133 ; 3000 
 125 ; Копейка ; 1860 ; ВМ ; Cu ; AU ; 78 ; Участник № 520 ; 7500 
 126 ; 20 копеек ; 1861 ; СПБ ; Ag ; AU/XF ; 20 ; ААФ ; 714 
 127 ; 15 копеек ; 1861 ; СПБ ; Ag ; AU ; 15 ; ААФ ; 650 
 128 ; 10 копеек ; 1861 ; СПБ ФБ ; Ag ; AU/XF ; 25 ; М О С К В А ; 306 
 129 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 12 ; pmaster ; 714 
 130 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 8 ; ААФ ; 901 
 131 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; AU/XF ; 20 ; pmaster ; 614 
 132 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 13 ; Участник № 133 ; 3200 
 133 ; 15 копеек ; 1863 ; СПБ АБ ; Ag ; XF+ ; 9 ; ААФ ; 1122 
 134 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 12 ; Участник № 132 ; 900 
 135 ; 15 копеек ; 1865 ; СПБ НФ ; Ag ; AU/XF ; 12 ; мишок ; 5202 
 136 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 5 ; Участник № 132 ; 1300 
 137 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 10 ; мишок ; 1800 
 138 ; 1/4 копейки ; 1868 ; СПБ ; Cu ; XF/AU ; 44 ; Участник № 1032 ; 6400 
 139 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; VF+ ; 214 ; Участник № 1341 ; 3400 
 140 ; 1/2 копейки ; 1876 ; СПБ ; Cu ; AU ; 37 ; Участник № 1341 ; 3400 
 141 ; Полтина ; 1877 ; СПБ HI ; Ag ; VF-XF ; 19 ; PIT ; 5800 
 142 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 47 ; Участник № 1341 ; 3200 
 143 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF ; 19 ; PIT ; 9950 
 144 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 33 ; SSK ; 3275 
 145 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; XF+ ; 22 ; Участник № 1341 ; 2800 
 146 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; XF- ; 30 ; Участник № 1341 ; 2800 
 147 ; Копейка ; 1889 ; СПБ ; Cu ; AU ; 25 ; Участник № 147 ; 1400 
 148 ; Рубль ; 1892 ; (АГ) ; Ag ; XF ; 55 ; Участник № 1341 ; 17000 
 149 ; 25 копеек ; 1893 ; (АГ) АГ ; Ag ; XF- ; 29 ; Ч.С. ; 16000 
 150 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; XF ; 21 ; Ч.С. ; 8730 
 51 ; Копейка. Крым. Шахин-Гирей. 4-й год правления ; 1191лх (1777) ;  ; Cu ; F-VF ; 25 ; sd555 ; 1949 
 52 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; XF+ ; 24 ; kosta ; 24000 
 53 ; 5 копеек ; 1778 ; ЕМ ; Cu ; VF- ; 33 ; ААФ ; 880 
 54 ; Рубль ; 1782 ; СПБ ИЗ ; Ag ; XF- ; 22 ; Участник № 6 ; 13000 
 55 ; 5 копеек ; 1785 ; КМ ; Cu ; VF-XF ; 57 ; dimon46 ; 2922 
 56 ; Денга ; 1785 ; КМ ; Cu ; VF+ ; 15 ; Pontriagin ; 1226 
 57 ; 5 копеек (Ильин-5р) ; 1788 ; ЕМ ; Cu ; VF ; 28 ; кабан ; 11561 
 58 ; 5 копеек (Петров-10р, Ильин-10р) ; 1788 ; ММ ; Cu ; F-VF ; 90 ; TDN ; 12016 
 59 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 14 ; Участник № 66 ; 1300 
 60 ; 5 копеек ; 1792 ; ЕМ ; Cu ; AU ; 36 ; Участник № 11 ; 5500 
 61 ; Денга (Ильин-5р) ; 1792 ;  ; Cu ; F-VF ; 21 ; SSK ; 8262 
 62 ; Денга ; 1795 ; КМ ; Cu ; VF ; 38 ; Участник № 1362 ; 3000 
 63 ; Полушка (Ильин-5р) ; 1795 ; КМ ; Cu ; F-VF ; 28 ; TDN ; 2289 
 64 ; Деньга (Петров-1р, Ильин-3р) ; 1797 ; КМ ; Cu ; F-VF ; 9 ; Ч.С. ; 3570 
 65 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF-XF ; 32 ; Ч.С. ; 20604 
 66 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF ; 25 ; Sky2 ; 16331 
 67 ; 5 копеек ; 1798 ; СМ МБ ; Ag ; VF-XF ; 69 ; М О С К В А ; 16000 
 68 ; Копейка ; 1800 ; ЕМ ; Cu ; VF-XF ; 5 ; кабан ; 340 
 69 ; 2 копейки ; 1801 ; ЕМ ; Cu ; VF-XF ; 21 ; 9876543210 ; 502 
 70 ; Рубль ; 1802 ; СПБ АИ ; Ag ; XF- ; 30 ; Участник № 133 ; 32000 
 71 ; 2 копейки ; 1803 ; ЕМ ; Cu ; VF ; 116 ; TDN ; 8162 
 72 ; Деньга (Ильин-3р) ; 1804 ; КМ ; Cu ; VF- ; 28 ; SSK ; 11730 
 73 ; Рубль (Ильин-3р) ; 1807 ; СПБ ФГ ; Ag ; VF ; 22 ; ААФ ; 16089 
 74 ; 5 копеек (Петров-3р, Ильин-2р) ; 1807 ; КМ ; Cu ; F-VF ; 8 ; serg2010 ; 4246 
 75 ; Деньга (Ильин-3р) ; 1807 ; КМ ; Cu ; F+ ; 26 ; нумизмат ; 7296 
 76 ; Рубль ; 1810 ; СПБ ФГ ; Ag ; VF+ ; 19 ; Участник № 1556 ; 9000 
 77 ; Полтина (Петров-3р, Ильин-3р) ; 1810 ; СПБ ФГ ; Ag ; F-VF ; 15 ; АЦТЕК ; 18771 
 78 ; Деньга (Петров-3,75р, Ильин-3р) ; 1816 ; КМ АМ ; Cu ; F+ ; 17 ; SSK ; 5099 
 79 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF ; 28 ; 0987654321 ; 6699 
 80 ; 5 злотых ; 1817 ; IB Польша ; Ag ; VF+ ; 51 ; int1965708 ; 15555 
 81 ; 2 злотых ; 1819 ; IB Польша ; Ag ; VF/VF+ ; 32 ; SSK ; 7130 
 82 ; 20 копеек ; 1822 ; СПБ ПД ; Ag ; XF- ; 37 ; Участник № 6 ; 2600 
 83 ; 10 копеек ; 1822 ; СПБ ПД ; Ag ; VF-XF ; 18 ; Участник № 1032 ; 1500 
 84 ; Рубль ; 1825 ; СПБ ПД ; Ag ; XF- ; 19 ; denizen ; 5903 
 85 ; 1 злотый ; 1827 ; IB Польша ; Ag ; VF ; 35 ; 155оа ; 9747 
 86 ; Рубль ; 1828 ; СПБ НГ ; Ag ; XF ; 41 ; Участник № 133 ; 8800 
 87 ; 5 злотых ; 1829 ; FH Польша ; Ag ; VF+ ; 34 ; Участник № 520 ; 8500 
 88 ; Копейка ; 1830 ; КМ АМ ; Cu ; VF ; 7 ; ААФ ; 401 
 89 ; 10 копеек (Петров-5р) ; 1832 ; СПБ НГ ; Ag ; VF- ; 16 ; dim20022 ; 5747 
 90 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; VF-XF ; 30 ; crackjack ; 1129 
 91 ; 3 рубля. М-10,18г ; 1834 ; СПБ ; Pt ; VF+ ; 12 ; Kato ; 60001 
 92 ; 5 копеек (Ильин-1р) ; 1834 ; СМ ; Cu ; VF ; 26 ; SSK ; 1328 
 93 ; 5 рублей. М-6,54 ; 1835 ; СПБ ПД ; Au ; VF-XF ; 28 ; Участник № 520 ; 22000 
 94 ; 1,5 рубля-10 злотых ; 1836 ; НГ Рус.-Пол. ; Ag ; XF- ; 20 ; Участник № 147 ; 9000 
 95 ; 15 копеек-1 злотый ; 1836 ; MW Рус.-Пол. ; Ag ; AU ; 17 ; Участник № 30 ; 9000 
 96 ; 10 копеек ; 1836 ; ЕМ ФХ ; Cu ; VF ; 47 ; ZOLTAN333 ; 3335 
 97 ; 15 копеек-1 злотый ; 1837 ; MW Рус.-Пол. ; Ag ; VF-XF ; 18 ; Участник № 520 ; 950 
 98 ; 5 копеек ; 1838 ; СПБ НГ ; Ag ; XF- ; 47 ; PIT ; 1734 
 99 ; 3/4 рубля-5 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; VF-XF ; 14 ; al69 ; 2540 
 100 ; 30 копеек-2 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; XF ; 25 ; al69 ; 3513 
 1 ; Денга ; 1707 ;  ; Cu ; F-VF ; 33 ; кабан ; 1200 
 2 ; Копейка ; 1712 ; БК ; Cu ; F-VF ; 37 ; нумизмат ; 2000 
 3 ; Копейка ; 1713 ; М Д ; Cu ; VF ; 41 ; Участник № 51 ; 3600 
 4 ; Копейка (Петров-15р, Ильин-12р) ; 1713 ; Н Д ; Cu ; F+ ; 7 ; Олег33 ; 1848 
 5 ; Копейка ; 1714 ; НД ; Cu ; F-VF ; 15 ; Участник № 66 ; 850 
 6 ; Копейка ; 1716 ; МД ; Cu ; VF- ; 32 ; al69 ; 2103 
 7 ; Рубль ; 1721 ; K ; Ag ; VF+ ; 40 ; ВДВ ; 40000 
 8 ; Полтина ; 1723 ;  ; Ag ; VF ; 40 ; профит ; 23460 
 9 ; Полтина ; 1723 ;  ; Ag ; VF+ ; 32 ; нумизмат ; 40000 
 10 ; Рубль ; 1724 ;  ; Ag ; VF-/VF+ ; 55 ; Участник № 132 ; 20000 
 11 ; Полтина ; 1725 ;  ; Ag ; VF ; 33 ; Участник № 1362 ; 21000 
 12 ; Рубль ; 1725 ; СПБ ; Ag ; F-VF ; 44 ; TDN ; 11334 
 13 ; Рубль ; 1726 ;  ; Ag ; VF- ; 35 ; Участник № 147 ; 24000 
 14 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; F-VF ; 29 ; Ohotnik ; 1259 
 15 ; Рубль ; 1731 ;  ; Ag ; XF- ; 37 ; kosta ; 21225 
 16 ; Рубль ; 1732 ;  ; Ag ; XF- ; 48 ; al69 ; 16086 
 17 ; Рубль ; 1734 ;  ; Ag ; VF-XF ; 19 ; Участник № 51 ; 13000 
 18 ; Рубль ; 1737 ;  ; Ag ; VF+ ; 20 ; Участник № 6 ; 13000 
 19 ; Рубль ; 1738 ; СПБ ; Ag ; VF-XF ; 9 ; Участник № 51 ; 26000 
 20 ; Гривенник ; 1744 ;  ; Ag ; VF+ ; 16 ; TDN ; 2350 
 21 ; Рубль ; 1745 ; СПБ ; Ag ; VF/VF+ ; 21 ; TDN ; 15000 
 22 ; Денга. Брак чеканки ; 1747 ;  ; Cu ; VF ; 29 ; dim20022 ; 1600 
 23 ; Рубль ; 1748 ; СПБ ; Ag ; XF ; 47 ; al69 ; 32130 
 24 ; Рубль ; 1748 ; СПБ ; Ag ; VF+/VF-XF ; 17 ; Участник № 133 ; 16000 
 25 ; Гривенник ; 1750 ;  ; Ag ; VF-XF ; 21 ; Участник № 6 ; 5500 
 26 ; Рубль ; 1754 ; СПБ ЯI ; Ag ; VF+ ; 12 ; Участник № 6 ; 24000 
 27 ; Копейка ; 1755 ; СПБ ; Cu ; VF+ ; 25 ; Pontriagin ; 10000 
 28 ; Полуполтинник ; 1756 ; ММД МБ ; Ag ; VF+ ; 24 ; belka ; 4732 
 29 ; 5 копеек ; 1757 ; СПБ ; Ag ; VF-XF ; 41 ; Участник № 133 ; 2500 
 30 ; Полушка ; 1757 ; Новодел ; Cu ; AU ; 59 ; dim20022 ; 14292 
 31 ; 5 копеек ; 1758 ; СПБ ; Ag ; VF+ ; 63 ; al69 ; 2309 
 32 ; 2 копейки (Ильин-10р) ; 1758 ; Номинал над гербом ; Cu ; F-VF ; 17 ; кабан ; 11832 
 33 ; 2 копейки ; 1759 ;  ; Cu ; VF- ; 37 ; кабан ; 2492 
 34 ; 5 копеек ; 1760 ;  ; Cu ; VF ; 36 ; vvt ; 918 
 35 ; 4 копейки ; 1762 ;  ; Cu ; VF- ; 72 ; al69 ; 11421 
 36 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 37 ; 2 копейки ; 1762 ;  ; Cu ; F-VF ; 24 ; SSK ; 9792 
 38 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 39 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; VF ; 27 ; TDN ; 6742 
 40 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; VF+ ; 15 ; denizen ; 9384 
 41 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; VF+ ; 45 ; Участник № 7 ; 11500 
 42 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; VF-XF ; 12 ; al69 ; 11118 
 43 ; 5 копеек ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 9 ; Pontriagin ; 5106 
 44 ; Полуполтинник ; 1770 ; ММД ДМ ; Ag ; VF+ ; 35 ; Участник № 6 ; 7500 
 45 ; Рубль ; 1771 ; СПБ ЯЧ TI ; Ag ; VF+ ; 9 ; Sky2 ; 10935 
 46 ; Денга ; 1771 ; КМ "Сибирь" ; Cu ; VF ; 10 ; Mike! ; 368 
 47 ; 2 пара-3 копейки ; 1772 ; Валахия ; Cu ; F-VF ; 78 ; SSK ; 6958 
 48 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; VF-XF ; 18 ; Участник № 6 ; 12000 
 49 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF/AU ; 56 ; Участник № 2 ; 30000 
 50 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 18 ; Участник № 51 ; 8500 
