 3283 ; Бона иностранная ;  ;  ;  ;  ; 33 ; jj ; 34 
 3243 ; Бона иностранная ;  ;  ;  ;  ; 30 ; kro ; 61 
 3244 ; Бона иностранная ;  ;  ;  ;  ; 3 ; buzykin ; 30 
 3245 ; Бона иностранная ;  ;  ;  ;  ; 7 ; spektr ; 28 
 3246 ; Бона иностранная ;  ;  ;  ;  ; 21 ; S8D36 ; 35 
 3247 ; Бона иностранная ;  ;  ;  ;  ; 16 ; S8D36 ; 32 
 3248 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Михалыч ; 50 
 3249 ; Бона иностранная ;  ;  ;  ;  ; 28 ; kro ; 59 
 3250 ; Бона иностранная ;  ;  ;  ;  ; 7 ; S8D36 ; 30 
 3251 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Михалыч ; 31 
 3252 ; Бона иностранная ;  ;  ;  ;  ; 21 ; spektr ; 70 
 3253 ; Бона иностранная ;  ;  ;  ;  ; 16 ; kro ; 59 
 3254 ; Бона иностранная ;  ;  ;  ;  ; 25 ; aleksius ; 61 
 3255 ; Бона иностранная ;  ;  ;  ;  ; 13 ; smel ; 74 
 3256 ; Бона иностранная ;  ;  ;  ;  ; 10 ; spektr ; 60 
 3257 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kro ; 67 
 3258 ; Бона иностранная ;  ;  ;  ;  ; 31 ; 542 ; 101 
 3259 ; Бона иностранная ;  ;  ;  ;  ; 17 ; kro ; 63 
 3260 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Михалыч ; 61 
 3261 ; Бона иностранная ;  ;  ;  ;  ; 22 ; kro ; 40 
 3262 ; Бона иностранная ;  ;  ;  ;  ; 20 ; 542 ; 99 
 3263 ; Бона иностранная ;  ;  ;  ;  ; 10 ; kro ; 50 
 3264 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Михалыч ; 45 
 3265 ; Бона иностранная ;  ;  ;  ;  ; 21 ; kro ; 51 
 3266 ; Бона иностранная ;  ;  ;  ;  ; 26 ; kro ; 53 
 3267 ; Бона иностранная ;  ;  ;  ;  ; 24 ; 542 ; 104 
 3268 ; Бона иностранная ;  ;  ;  ;  ; 18 ; kro ; 51 
 3269 ; Бона иностранная ;  ;  ;  ;  ; 22 ; skir ; 61 
 3270 ; Бона иностранная ;  ;  ;  ;  ; 24 ; kro ; 55 
 3271 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kro ; 40 
 3272 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kro ; 40 
 3273 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kro ; 40 
 3274 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Майкл ; 53 
 3275 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kro ; 40 
 3276 ; Бона иностранная ;  ;  ;  ;  ; 14 ; бездельник22 ; 81 
 3277 ; Бона иностранная ;  ;  ;  ;  ; 16 ; kro ; 50 
 3278 ; Бона иностранная ;  ;  ;  ;  ; 20 ; kro ; 53 
 3279 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kro ; 42 
 3280 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kro ; 42 
 3281 ; Бона иностранная ;  ;  ;  ;  ; 5 ; skir ; 30 
 3282 ; Бона иностранная ;  ;  ;  ;  ; 11 ; skir ; 29 
 3183 ; Бона иностранная ;  ;  ;  ;  ; 9 ; lesnik1 ; 51 
 3184 ; Бона иностранная ;  ;  ;  ;  ; 10 ; lesnik1 ; 55 
 3185 ; Бона иностранная ;  ;  ;  ;  ; 8 ; lesnik1 ; 51 
 3186 ; Бона иностранная ;  ;  ;  ;  ; 40 ; lesnik1 ; 65 
 3187 ; Бона иностранная ;  ;  ;  ;  ; 14 ; lesnik1 ; 53 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 21 ; lesnik1 ; 67 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 5 ; lesnik1 ; 51 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 7 ; lesnik1 ; 55 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 8 ; ton2519 ; 18 
 3192 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ton2519 ; 16 
 3193 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ton2519 ; 16 
 3194 ; Бона иностранная ;  ;  ;  ;  ; 7 ; dnm ; 25 
 3195 ; Бона иностранная ;  ;  ;  ;  ; 12 ; von_Schwarz ; 16 
 3196 ; Бона иностранная ;  ;  ;  ;  ; 9 ; dnm ; 25 
 3197 ; Бона иностранная ;  ;  ;  ;  ; 6 ; and000 ; 39 
 3198 ; Бона иностранная ;  ;  ;  ;  ; 7 ; S8D36 ; 20 
 3199 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ds133 ; 49 
 3200 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ds133 ; 50 
 3201 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ds133 ; 19 
 3202 ; Бона иностранная ;  ;  ;  ;  ; 4 ; selezsi ; 12 
 3203 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 542 ; 25 
 3204 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Grod ; 19 
 3205 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Grod ; 18 
 3206 ; Бона иностранная ;  ;  ;  ;  ; 8 ; skir ; 32 
 3207 ; Бона иностранная ;  ;  ;  ;  ; 39 ; spektr ; 45 
 3208 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Михалыч ; 50 
 3209 ; Бона иностранная ;  ;  ;  ;  ; 38 ; 542 ; 105 
 3210 ; Бона иностранная ;  ;  ;  ;  ; 21 ; skir ; 57 
 3211 ; Бона иностранная ;  ;  ;  ;  ; 39 ; kro ; 61 
 3212 ; Бона иностранная ;  ;  ;  ;  ; 7 ; obob999 ; 16 
 3213 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kro ; 41 
 3214 ; Бона иностранная ;  ;  ;  ;  ; 9 ; kro ; 40 
 3215 ; Бона иностранная ;  ;  ;  ;  ; 18 ; S8D36 ; 61 
 3216 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kro ; 40 
 3217 ; Бона иностранная ;  ;  ;  ;  ; 27 ; lesnik1 ; 161 
 3218 ; Бона иностранная ;  ;  ;  ;  ; 21 ; kro ; 31 
 3219 ; Бона иностранная ;  ;  ;  ;  ; 53 ; kro ; 51 
 3220 ; Бона иностранная ;  ;  ;  ;  ; 53 ; kro ; 51 
 3221 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kro ; 30 
 3222 ; Бона иностранная ;  ;  ;  ;  ; 4 ; selezsi ; 14 
 3223 ; Бона иностранная ;  ;  ;  ;  ; 22 ; 542 ; 135 
 3224 ; Бона иностранная ;  ;  ;  ;  ; 7 ; selezsi ; 15 
 3225 ; Бона иностранная ;  ;  ;  ;  ; 6 ; holder ; 14 
 3226 ; Бона иностранная ;  ;  ;  ;  ; 29 ; kro ; 51 
 3227 ; Бона иностранная ;  ;  ;  ;  ; 12 ; kro ; 49 
 3228 ; Бона иностранная ;  ;  ;  ;  ; 4 ; skir ; 20 
 3229 ; Бона иностранная ;  ;  ;  ;  ; 32 ; 542 ; 80 
 3230 ; Бона иностранная ;  ;  ;  ;  ; 12 ; holder ; 30 
 3231 ; Бона иностранная ;  ;  ;  ;  ; 49 ; spektr ; 71 
 3232 ; Бона иностранная ;  ;  ;  ;  ; 33 ; smel ; 160 
 3133 ; 2 злотых. Польша ; 1941 ;  ;  ;  ; 10 ; ds133 ; 100 
 3134 ; 10 злотых. Польша ; 1940 ;  ;  ;  ; 72 ; Alekss_27 ; 187 
 3135 ; 1 марка. Ковко ; 1918 ;  ;  ;  ; 40 ; бездельник22 ; 259 
 3136 ; 5 шиллингов ; 1944 ;  ;  ;  ; 11 ; lesnik1 ; 148 
 3137 ; 10000 пенго ; 1946 ;  ;  ;  ; 31 ; Peugene ; 299 
 3138 ; 100 миллионов пенго ; 1946 ;  ;  ;  ; 19 ; Peugene ; 266 
 3139 ; 100 миллионов пенго ; 1946 ;  ;  ;  ; 75 ; Peugene ; 387 
 3140 ; 25 марок. Эстония ;  ;  ;  ;  ; 89 ; cochu ; 204 
 3141 ; 250 карбованцев ; 1918 ;  ;  ;  ; 9 ; 542 ; 240 
 3142 ; 250 карбованцев ; 1918 ;  ;  ;  ; 8 ; fine ; 245 
 3143 ; 10 рублей. Обяз. Госказначейства Латвии ; 1919 ;  ;  ;  ; 37 ; димитрий ; 314 
 3144 ; 1 рубль. Долговое обяз.г. Риги ; 1919 ;  ;  ;  ; 36 ; ura 57 ; 418 
 3145 ; 1 карбованец. Житомир ; 1918 ;  ;  ;  ; 21 ; Даймлер ; 216 
 3146 ; 50 карбованцев ; 1942 ;  ;  ;  ; 18 ; fen ; 194 
 3147 ; 5 рублей. Ейское ОГБ ;  ;  ;  ;  ; 52 ; MG ; 767 
 3148 ; Листовка ; 1944 ;  ;  ;  ; 27 ; skir ; 227 
 3149 ; Листовка ; 1944 ;  ;  ;  ; 25 ; gelind ; 200 
 3150 ; Листовка ; 1944 ;  ;  ;  ; 18 ; natallli ; 179 
 3151 ; Бона, Польша ;  ;  ;  ;  ; 7 ; MG ; 159 
 3152 ; Бона, Польша ;  ;  ;  ;  ; 4 ; ds133 ; 55 
 3153 ; Бона, Польша ;  ;  ;  ;  ; 4 ; ds133 ; 55 
 3154 ; Бона, Польша ;  ;  ;  ;  ; 4 ; ds133 ; 55 
 3155 ; Бона, Польша ;  ;  ;  ;  ; 5 ; holder ; 57 
 3156 ; Бона, Польша ;  ;  ;  ;  ; 4 ; ds133 ; 55 
 3157 ; Бона, Польша ;  ;  ;  ;  ; 4 ; ds133 ; 55 
 3158 ; Бона, Польша ;  ;  ;  ;  ; 4 ; ds133 ; 55 
 3159 ; Бона, Польша ;  ;  ;  ;  ; 4 ; ds133 ; 55 
 3160 ; Бона, Польша ;  ;  ;  ;  ; 4 ; ds133 ; 55 
 3161 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Михалыч ; 32 
 3162 ; Бона иностранная ;  ;  ;  ;  ; 7 ; holder ; 31 
 3163 ; Бона иностранная ;  ;  ;  ;  ; 28 ; lesnik1 ; 50 
 3164 ; Бона иностранная ;  ;  ;  ;  ; 24 ; 542 ; 51 
 3165 ; Бона иностранная ;  ;  ;  ;  ; 31 ; Захар ; 64 
 3166 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Михалыч ; 26 
 3167 ; Бона иностранная ;  ;  ;  ;  ; 16 ; MAD_B ; 33 
 3168 ; Бона иностранная ;  ;  ;  ;  ; 14 ; oks ; 23 
 3169 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ds133 ; 19 
 3170 ; Бона иностранная ;  ;  ;  ;  ; 18 ; MAD_B ; 35 
 3171 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Захар ; 36 
 3172 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Захар ; 36 
 3173 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Захар ; 38 
 3174 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Захар ; 32 
 3175 ; Бона иностранная ;  ;  ;  ;  ; 11 ; oks ; 23 
 3176 ; Бона иностранная ;  ;  ;  ;  ; 10 ; lesnik1 ; 50 
 3177 ; Бона иностранная ;  ;  ;  ;  ; 13 ; lesnik1 ; 50 
 3178 ; Бона иностранная ;  ;  ;  ;  ; 23 ; lesnik1 ; 50 
 3179 ; Бона иностранная ;  ;  ;  ;  ; 35 ; lesnik1 ; 53 
 3180 ; Бона иностранная ;  ;  ;  ;  ; 24 ; lesnik1 ; 59 
 3181 ; Бона иностранная ;  ;  ;  ;  ; 22 ; lesnik1 ; 57 
 3182 ; Бона иностранная ;  ;  ;  ;  ; 12 ; lesnik1 ; 51 
 3083 ; 1000 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 71 ; Ksn ; 1328 
 3084 ; 1000 рублей. Облигация (образец) ; 1923 ;  ;  ;  ; 19 ; and000 ; 145 
 3085 ; 1000 рублей. Дальневосточная рес-ка ; 1920 ;  ;  ;  ; 51 ; Захар ; 711 
 3086 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 ;  ;  ; 59 ; Sezon ; 399 
 3087 ; 50 рублей ; 1899 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 69 ; dog009 ; 4445 
 3088 ; 1 червонец ; 1923 ; Армения  ;  ; AU ; 143 ; Ksn ; 12127 
 3089 ; 500 марок золотом ; 1909 ; Финляндия билет  ;  ; AU ; 155 ; А2007 ; 10188 
 3090 ; 500 рублей ; 1922 ;  ;  ; AU ; 21 ; Dj ; 11779 
 3091 ; 1000 рублей ; 1922 ;  ;  ; AU ; 26 ; Dj ; 16224 
 3092 ; 5000 рублей ; 1922 ;  ;  ; AU ; 56 ; Dj ; 26923 
 3093 ; 10000 рублей ; 1922 ;  ;  ; AU ; 61 ; А2007 ; 25211 
 3094 ; Акция. Грозненская нефтяная компания ; 1895 ;  ;  ;  ; 64 ; dsl33 ; 461 
 3095 ; Закладной лист Нижегородско-Самарского земельного банка ; 1913 ;  ;  ;  ; 26 ; avs ; 2593 
 3096 ; "Акция Горнопромышленное об-во ""желтая речка"". Кривой рог" ; 1899 ;  ;  ;  ; 17 ; dsl33 ; 1275 
 3097 ; Билет Гос.комиссии погашения долгов российского 3% займа ; 1859 ;  ;  ;  ; 57 ; Oliveer ; 3366 
 3098 ; Акция. Южно-Русское Днепровское металлургическое об-во ; 1898 ;  ;  ;  ; 46 ; dsl33 ; 461 
 3099 ; Акция. Государев байрак ; 1899 ;  ;  ;  ; 8 ; dsl33 ; 406 
 3100 ; Акция. Санкт-Петербург ; 1912 ;  ;  ;  ; 117 ; dsl33 ; 420 
 3101 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 35 ; hotin ; 561 
 3102 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 56 ; zero ; 482 
 3103 ; 500 рублей. Дальневосточная рес-ка ; 1920 ;  ;  ;  ; 61 ; shmatko24 ; 469 
 3104 ; 1000 рублей. Благовещенск ; 1920 ;  ;  ;  ; 40 ; Ksn ; 1032 
 3105 ; 3 рубля. Ростов ; 1918 ;  ;  ;  ; 44 ; AAE2006 ; 257 
 3106 ; 5 рублей. Ростов ; 1918 ;  ;  ;  ; 36 ; AAE2006 ; 263 
 3107 ; 10 рублей. Ростов ; 1918 ;  ;  ;  ; 80 ; AAE2006 ; 177 
 3108 ; 25 рублей. Ростов ; 1918 ;  ;  ;  ; 18 ; AAE2006 ; 185 
 3109 ; 100 рублей ; 1919 ; Азербайджан  ;  ;  ; 8 ; dnm ; 101 
 3110 ; 50 рублей ; 1914 ; Билеты государственного казнач ;  ;  ; 65 ; dog009 ; 255 
 3111 ; 50 рублей ; 1914 ; Билеты государственного казнач ;  ;  ; 28 ; 1396 ; 201 
 3112 ; 100 рублей ; 1915 ; Билеты государственного казнач ;  ;  ; 53 ; AAE2006 ; 206 
 3113 ; 100 рублей ; 1915 ; Билеты государственного казнач ;  ;  ; 49 ; fen ; 211 
 3114 ; 50 рублей. Чек ; 1989 ;  ;  ;  ; 31 ; KORNEJ ; 101 
 3115 ; 1 рубль ; 1918 ; Туркестан  ;  ;  ; 31 ; димитрий ; 344 
 3116 ; 3 рубля ; 1918 ; Туркестан  ;  ;  ; 15 ; нумизмат ; 203 
 3117 ; 1 рубль. Лысьва ;  ;  ;  ;  ; 34 ; MG ; 250 
 3118 ; 3 рубля. Лысьва ;  ;  ;  ;  ; 8 ; shmatko24 ; 257 
 3119 ; 10 рублей. Лысьва ;  ;  ;  ;  ; 23 ; shmatko24 ; 357 
 3120 ; 1 рубль. Лысьва ;  ;  ;  ;  ; 37 ; ura 57 ; 255 
 3121 ; 10 рублей. Лысьва ;  ;  ;  ;  ; 7 ; shmatko24 ; 357 
 3122 ; 5 рублей. Лысьва ;  ;  ;  ;  ; 11 ; shmatko24 ; 357 
 3123 ; 25 рублей. Лысьва ;  ;  ;  ;  ; 9 ; MG ; 261 
 3124 ; 25 рублей. Лысьва ;  ;  ;  ;  ; 25 ; ura 57 ; 403 
 3125 ; 1 рубль. Либавское г.с. ; 1915 ;  ;  ;  ; 55 ; dog009 ; 726 
 3126 ; 100 марок ; 1920 ;  ;  ;  ; 22 ; Михалыч ; 57 
 3127 ; 100 марок ; 1920 ;  ;  ;  ; 20 ; Алла ; 53 
 3128 ; 100 марок ; 1920 ;  ;  ;  ; 3 ; S8D36 ; 36 
 3129 ; Бона, Франция ;  ;  ;  ;  ; 8 ; skir ; 459 
 3130 ; Бона, Франция ;  ;  ;  ;  ; 33 ; skir ; 550 
 3131 ; 1 пиастр ;  ;  ;  ;  ; 34 ; димитрий ; 208 
 3132 ; 2 злотых. Польша ; 1940 ;  ;  ;  ; 14 ; 542 ; 105 
 3033 ; 50 рублей. Юг России ; 1919 ;  ;  ;  ; 77 ; KKK ; 246 
 3034 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 18 ;  ;  ; 10 ; AAE2006 ; 55 
 3035 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 18 ;  ;  ; 12 ; AAE2006 ; 55 
 3036 ; 5 рублей. Ростов ; 1918 ;  ;  ;  ; 83 ; AAE2006 ; 397 
 3037 ; 25 рублей. Ростов ;  ;  ;  ;  ; 49 ; AAE2006 ; 257 
 3038 ; 250 рублей   ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 42 ; KORNEJ ; 150 
 3039 ; 250 рублей   ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 26 ; AAE2006 ; 125 
 3040 ; 250 рублей   ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 14 ; Fedor_K ; 105 
 3041 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 26 ; AAE2006 ; 133 
 3042 ; 10 рублей ; 1947 ; билет  ;  ;  ; 45 ; AAE2006 ; 276 
 3043 ; 3 червонца ; 1937 ; Билет  ;  ;  ; 28 ; den_ff ; 230 
 3044 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 21 ; AAE2006 ; 126 
 3045 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 38 ; AAE2006 ; 128 
 3046 ; 250 рублей ; 1917 ; Денежные знаки  ;  ;  ; 15 ; AAE2006 ; 102 
 3047 ; 250 рублей ; 1917 ; Денежные знаки  ;  ;  ; 13 ; AAE2006 ; 98 
 3048 ; 250 рублей ; 1917 ; Денежные знаки  ;  ;  ; 35 ; AAE2006 ; 117 
 3049 ; 250 рублей ; 1917 ; Денежные знаки  ;  ;  ; 8 ; AAE2006 ; 105 
 3050 ; 250 рублей ; 1917 ; Денежные знаки  ;  ;  ; 13 ; AAE2006 ; 98 
 3051 ; 1 марка. Западная Добров. Армия ; 1919 ;  ;  ; AU ; 80 ; 67 ; 1733 
 3052 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 70 ; Dj ; 704 
 3053 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 93 ; Dj ; 993 
 3054 ; 1 рубль, с подписью ; 1934 ; Гос.казначейские билеты  ;  ; AU ; 124 ; Fedor_K ; 4013 
 3055 ; 1 рубль, без подписи ; 1934 ; Гос.казначейские билеты  ;  ; AU ; 38 ; Dj ; 4021 
 3056 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР  ;  ; AU ; 31 ; fen ; 334 
 3057 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР  ;  ; AU ; 46 ; SlavA ; 308 
 3058 ; 1 рубль. Кувшинов ;  ;  ;  ; AU ; 130 ; shtuka ; 1579 
 3059 ; 3 рубля. Кувшинов ;  ;  ;  ; AU ; 59 ; shtuka ; 1434 
 3060 ; 10 рублей. Кувшинов ;  ;  ;  ; AU ; 48 ; shtuka ; 1450 
 3061 ; 3 рубля. Сцепка 6 шт. ; 1919 ; Расчетные знаки РСФСР  ;  ; AU ; 36 ; Fedor_K ; 1041 
 3062 ; 5 рублей. Сцепка 6 шт. ; 1920 ; Расчетные знаки РСФСР образца  ;  ; AU ; 114 ; Fedor_K ; 1530 
 3063 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты ;  ; AU ; 92 ; Dj ; 2550 
 3064 ; 15 рублей. Квартблок ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 88 ; Dj ; 1838 
 3065 ; 30 рублей. Квартблок ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 62 ; Dj ; 2109 
 3066 ; 100 рублей. Квартблок ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 149 ; Dj ; 2993 
 3067 ; 1 рубль. Родзянко. Квартблок ; 1919 ;  ;  ; AU ; 138 ; ulf ; 2346 
 3068 ; 3 рубля. Родзянко. Квартблок ; 1919 ;  ;  ; AU ; 70 ; ulf ; 2332 
 3069 ; 10 рублей. Родзянко. Квартблок ; 1919 ;  ;  ; AU ; 61 ; ulf ; 2346 
 3070 ; 25 рублей ; 1920 ; Разменные знаки.Комитет освобо ;  ;  ; 78 ; Ksn ; 1447 
 3071 ; 150 рублей. Армавир ; 1918 ;  ;  ;  ; 39 ; shmatko24 ; 483 
 3072 ; 50 рублей ; 1918 ; Денежн.знаки.Северо-кавказская ;  ;  ; 11 ; shmatko24 ; 408 
 3073 ; 3 рубля ; 1925 ; Гос.казначейские билеты СССР  ;  ;  ; 82 ; zero ; 902 
 3074 ; 3 рубля ; 1934 ; Гос.казначейские билеты  ;  ;  ; 59 ; zero ; 852 
 3075 ; 5 рублей ; 1934 ; Гос.казначейские билеты  ;  ;  ; 50 ; Михалыч ; 510 
 3076 ; 10 рублей ; 1920 ;  ;  ;  ; 74 ; trie ; 428 
 3077 ; 1 рубль ; 1919 ; "Гос.кредитный билет ""Северна ;  ;  ; 49 ; Захар ; 1441 
 3078 ; 3 червонца ; 1932 ; Билет  ;  ;  ; 51 ; ds133 ; 850 
 3079 ; 250 рублей   ; 1922 ; Гос.денежные знаки образца 192 ;  ;  ; 23 ; А2007 ; 700 
 3080 ; 250 рублей   ; 1923 ; Гос.денежные знаки. Первый вып ;  ;  ; 45 ; Захар ; 449 
 3081 ; 3 рубля ; 1919 ; "Гос.кредитный билет ""Северна ;  ;  ; 64 ; ura 57 ; 1434 
 3082 ; 500 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 7 ; Михалыч ; 398 
 2701 ; 10 эре. Швеция ; 1950 ;  ; Ag ; XF+ ; 8 ; jef688 ; 12 
 2702 ; 10 эре. Швеция ; 1953 ;  ; Ag ; AU ; 15 ; джон007 ; 15 
