 5577 ; Акция ; 1923 ;  ;  ;  ; 9 ; denis.davydov ; 120 
 5554 ; Бона иностранная. Эстония ;  ;  ;  ;  ; 6 ; тикси3 ; 22 
 5555 ; Лот бон. Китай ( 9шт.) ;  ;  ;  ;  ; 29 ; alesjane ; 803 
 5556 ; Лот бон иностранных ( 7шт.) ;  ;  ;  ;  ; 9 ; 333985 ; 100 
 5557 ; Лот бон иностранных ( 7шт.) ;  ;  ;  ;  ; 9 ; diskus72 ; 110 
 5558 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 15 ; бриз33 ; 170 
 5559 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 15 ; Скрудж ; 203 
 5560 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 17 ; sos1 ; 302 
 5561 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 16 ; ВЯЗЪ ; 207 
 5562 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 11 ; бриз33 ; 255 
 5563 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 15 ; Скрудж ; 202 
 5564 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 10 ; ВЯЗЪ ; 207 
 5565 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 16 ; бриз33 ; 161 
 5566 ; Лот нотгельдов ( 6шт.) ;  ;  ;  ;  ; 13 ; бриз33 ; 161 
 5567 ; Лот деньги-марки 4 шт ;  ;  ;  ;  ; 14 ; никсер ; 230 
 5568 ; 1 рубль ;  ;  ;  ;  ; 13 ; аймир ; 78 
 5569 ; 3 рубля ;  ;  ;  ;  ; 6 ; аймир ; 53 
 5570 ; Купон 15 рублей секретариат президиума Верховного совета СССР ;  ;  ;  ;  ; 53 ; аймир ; 419 
 5571 ; Лот билетов МММ 5 шт ;  ;  ;  ;  ; 16 ; 462 ; 123 
 5572 ; Лот билетов МММ 100 шт ;  ;  ;  ;  ; 19 ; Wulf ; 379 
 5573 ; Лот билетов МММ 100 шт ;  ;  ;  ;  ; 21 ; Wulf ; 379 
 5574 ; Лот билетов МММ 100 шт ;  ;  ;  ;  ; 18 ; Wulf ; 379 
 5575 ; Купоны ( 270шт.) ;  ;  ;  ;  ; 24 ; Винтаж ; 306 
 5576 ; Акция ; 1923 ;  ;  ;  ; 11 ; denis.davydov ; 120 
 5477 ; Бона иностранная. Иран ;  ;  ;  ;  ; 20 ; Yuraha76 ; 51 
 5478 ; Бона иностранная. Иран ;  ;  ;  ;  ; 12 ; Yuraha76 ; 71 
 5479 ; Бона иностранная. Иран ;  ;  ;  ;  ; 18 ; Yuraha76 ; 51 
 5480 ; Бона иностранная. Иран ;  ;  ;  ;  ; 16 ; pref ; 36 
 5481 ; Бона иностранная. Иран ;  ;  ;  ;  ; 16 ; pref ; 36 
 5482 ; Бона иностранная. Иран ;  ;  ;  ;  ; 6 ; Jon Snow ; 40 
 5483 ; Бона иностранная. Иран ;  ;  ;  ;  ; 37 ; бриз33 ; 41 
 5484 ; Бона иностранная. Иран ;  ;  ;  ;  ; 27 ; бриз33 ; 41 
 5485 ; Бона иностранная. Индия ;  ;  ;  ;  ; 8 ; SER 888 ; 40 
 5486 ; Бона иностранная. Индия ;  ;  ;  ;  ; 9 ; teso ; 41 
 5487 ; Бона иностранная. Индия ;  ;  ;  ;  ; 8 ; SER 888 ; 40 
 5488 ; Бона иностранная. Индия ;  ;  ;  ;  ; 12 ; ВЯЗЪ ; 55 
 5489 ; Бона иностранная. Индия ;  ;  ;  ;  ; 16 ; бриз33 ; 26 
 5490 ; Бона иностранная. Индия ;  ;  ;  ;  ; 9 ; dimon-2007 ; 41 
 5491 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 9 ; 1alexs111 ; 20 
 5492 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 15 ; 1alexs111 ; 28 
 5493 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 20 ; sifirot ; 81 
 5494 ; Бона иностранная. Пакистан ;  ;  ;  ;  ; 5 ; зуммер ; 16 
 5495 ; Бона иностранная. Кувейт ;  ;  ;  ;  ; 13 ; benosa ; 44 
 5496 ; Бона иностранная. Кувейт ;  ;  ;  ;  ; 18 ; бриз33 ; 28 
 5497 ; Бона иностранная. Катар ;  ;  ;  ;  ; 7 ; зуммер ; 45 
 5498 ; Бона иностранная. Египет ;  ;  ;  ;  ; 8 ; 1alexs111 ; 20 
 5499 ; Бона иностранная. Египет ;  ;  ;  ;  ; 13 ; бриз33 ; 22 
 5500 ; Бона иностранная. Египет ;  ;  ;  ;  ; 8 ; 100alf ; 20 
 5501 ; Бона иностранная. Ямайка ;  ;  ;  ;  ; 15 ; benosa ; 41 
 5502 ; Бона иностранная. Ямайка ;  ;  ;  ;  ; 16 ; dimon-2007 ; 46 
 5503 ; Бона иностранная. Ямайка ;  ;  ;  ;  ; 15 ; sub215 ; 63 
 5504 ; Бона иностранная. Ямайка ;  ;  ;  ;  ; 10 ; dimon-2007 ; 40 
 5505 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 11 ; Ostriy ; 41 
 5506 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 6 ; SER 888 ; 40 
 5507 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 5 ; Ostriy ; 41 
 5508 ; Бона иностранная. Колумбия ;  ;  ;  ;  ; 11 ; benosa ; 41 
 5509 ; Бона иностранная. Перу ;  ;  ;  ;  ; 12 ; benosa ; 41 
 5510 ; Бона иностранная. Перу ;  ;  ;  ;  ; 14 ; benosa ; 47 
 5511 ; Бона иностранная. Перу ;  ;  ;  ;  ; 9 ; 6x6 ; 51 
 5512 ; Бона иностранная. Перу ;  ;  ;  ;  ; 14 ; benosa ; 41 
 5513 ; Бона иностранная. Перу ;  ;  ;  ;  ; 10 ; benosa ; 41 
 5514 ; Бона иностранная. Перу ;  ;  ;  ;  ; 10 ; benosa ; 41 
 5515 ; Бона иностранная. Перу ;  ;  ;  ;  ; 10 ; benosa ; 41 
 5516 ; Бона иностранная. Перу ;  ;  ;  ;  ; 10 ; benosa ; 41 
 5517 ; Бона иностранная. Аргентина ;  ;  ;  ;  ; 10 ; benosa ; 41 
 5518 ; Бона иностранная. Аргентина ;  ;  ;  ;  ; 10 ; benosa ; 41 
 5519 ; Бона иностранная. Аргентина ;  ;  ;  ;  ; 8 ; benosa ; 41 
 5520 ; Бона иностранная. Аргентина ;  ;  ;  ;  ; 8 ; benosa ; 41 
 5521 ; Бона иностранная. Аргентина ;  ;  ;  ;  ; 8 ; benosa ; 41 
 5522 ; Бона иностранная. Аргентина ;  ;  ;  ;  ; 8 ; benosa ; 41 
 5523 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 8 ; benosa ; 41 
 5524 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 10 ; benosa ; 41 
 5525 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 21 ; fadeev.dima ; 101 
 5526 ; Бона иностранная. Бразилия ;  ;  ;  ;  ; 11 ; fadeev.dima ; 101 
 5427 ; Бона иностранная Япония ;  ;  ;  ;  ; 8 ; Roskur ; 75 
 5428 ; Бона иностранная Япония ;  ;  ;  ;  ; 21 ; diskus72 ; 155 
 5429 ; Бона иностранная. Камерун ;  ;  ;  ; AU ; 63 ; Andreyspb ; 601 
 5430 ; Бона иностранная. Куба ;  ;  ;  ; AU ; 26 ; Maxim914 ; 101 
 5431 ; Бона иностранная. Куба ;  ;  ;  ; AU ; 17 ; Ssid ; 101 
 5432 ; Бона иностранная. Япония ;  ;  ;  ;  ; 19 ; 47154 ; 151 
 5433 ; Бона иностранная. Япония ;  ;  ;  ;  ; 6 ; бриз33 ; 77 
 5434 ; Бона иностранная. Япония ;  ;  ;  ;  ; 16 ; maymuse ; 101 
 5435 ; Бона иностранная. Япония ;  ;  ;  ;  ; 7 ; бриз33 ; 46 
 5436 ; Бона иностранная. Япония ;  ;  ;  ;  ; 8 ; бриз33 ; 41 
 5437 ; Бона иностранная. Япония ;  ;  ;  ;  ; 13 ; бриз33 ; 68 
 5438 ; Бона иностранная. Япония ;  ;  ;  ;  ; 26 ; lsp25 ; 135 
 5439 ; Бона иностранная. Япония ;  ;  ;  ;  ; 22 ; diskus72 ; 138 
 5440 ; Бона иностранная. Япония ;  ;  ;  ;  ; 15 ; Вадим Скифский ; 62 
 5441 ; Бона иностранная. Мексика ;  ;  ;  ;  ; 7 ; Yuraha76 ; 100 
 5442 ; Бона иностранная. Малави ;  ;  ;  ;  ; 46 ; benosa ; 45 
 5443 ; Бона иностранная. Малави ;  ;  ;  ;  ; 15 ; бриз33 ; 65 
 5444 ; Бона иностранная. Малави ;  ;  ;  ;  ; 5 ; зуммер ; 69 
 5445 ; Бона иностранная. Мозамбик ;  ;  ;  ;  ; 6 ; Espaniol_2015 ; 60 
 5446 ; Бона иностранная. Мозамбик ;  ;  ;  ;  ; 4 ; бриз33 ; 57 
 5447 ; Бона иностранная. Мозамбик ;  ;  ;  ;  ; 5 ; Espaniol_2015 ; 61 
 5448 ; Бона иностранная. Мозамбик ;  ;  ;  ;  ; 52 ; бриз33 ; 55 
 5449 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 37 ; benosa ; 57 
 5450 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 8 ; Ssid ; 57 
 5451 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 9 ; sotnik ; 55 
 5452 ; Бона иностранная. Зимбабве ;  ;  ;  ;  ; 9 ; sotnik ; 55 
 5453 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 10 ; benosa ; 41 
 5454 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 14 ; benosa ; 46 
 5455 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 4 ; benosa ; 41 
 5456 ; Бона иностранная. Замбия ;  ;  ;  ;  ; 7 ; benosa ; 46 
 5457 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 4 ; benosa ; 41 
 5458 ; Бона иностранная. Гайана ;  ;  ;  ;  ; 6 ; benosa ; 41 
 5459 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 6 ; benosa ; 41 
 5460 ; Бона иностранная. Гондурас ;  ;  ;  ;  ; 22 ; benosa ; 41 
 5461 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 12 ; Yuraha76 ; 159 
 5462 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 12 ; зуммер ; 55 
 5463 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 11 ; Yuraha76 ; 51 
 5464 ; Бона иностранная. Венесуэла ;  ;  ;  ;  ; 6 ; Yuraha76 ; 50 
 5465 ; Бона иностранная. Бутан ;  ;  ;  ;  ; 8 ; bondars ; 41 
 5466 ; Бона иностранная. Бутан ;  ;  ;  ;  ; 7 ; bondars ; 41 
 5467 ; Бона иностранная. Афганистан ;  ;  ;  ;  ; 7 ; бриз33 ; 34 
 5468 ; Бона иностранная. Афганистан ;  ;  ;  ;  ; 10 ; бриз33 ; 34 
 5469 ; Бона иностранная. Афганистан ;  ;  ;  ;  ; 6 ; бриз33 ; 34 
 5470 ; Бона иностранная. Афганистан ;  ;  ;  ;  ; 9 ; бриз33 ; 34 
 5471 ; Бона иностранная. Афганистан ;  ;  ;  ;  ; 19 ; Maxim914 ; 57 
 5472 ; Бона иностранная. Ирак ;  ;  ;  ;  ; 14 ; бриз33 ; 24 
 5473 ; Бона иностранная. Ирак ;  ;  ;  ;  ; 19 ; Ssid ; 93 
 5474 ; Бона иностранная. Ирак ;  ;  ;  ;  ; 7 ; бриз33 ; 34 
 5475 ; Бона иностранная. Ирак ;  ;  ;  ;  ; 18 ; akula ; 101 
 5476 ; Бона иностранная. Иран ;  ;  ;  ;  ; 16 ; бриз33 ; 26 
 5377 ; 5 долларов Сингапур ;  ;  ;  ;  ; 23 ; sifirot ; 191 
 5378 ; 100 рупий Индия ;  ;  ;  ;  ; 15 ; 6x6 ; 235 
 5379 ; Бона иностранная Израиль ;  ;  ;  ;  ; 14 ; ВЯЗЪ ; 45 
 5380 ; 2 доллара Австралия ;  ;  ;  ;  ; 27 ; dmivanych ; 226 
 5381 ; Бона иностранная Бразилия ;  ;  ;  ; AU ; 22 ; benosa ; 97 
 5382 ; Бона иностранная Аргентина ; 1947 ;  ;  ;  ; 48 ; murew ; 116 
 5383 ; Бона иностранная Беларусь ; 200 ;  ;  ;  ; 5 ; 1alexs111 ; 11 
 5384 ; Лот бон Китай 3 шт ;  ;  ;  ;  ; 29 ; gusar ; 51 
 5385 ; Лот бон Греция 3 шт ; 1941-84 ;  ;  ;  ; 23 ; Васильич 71 ; 340 
 5386 ; Лот бон Болгария 4 шт ; 1951 ;  ;  ;  ; 41 ; Yuraha76 ; 239 
 5387 ; Лот бон Никарагуа 4 шт ;  ;  ;  ; AU ; 10 ; maks1 ; 72 
 5388 ; Лот бон Вьетнам 4 шт ;  ;  ;  ; AU ; 5 ; maks1 ; 51 
 5389 ; Лот бон Мианмар 5 шт ;  ;  ;  ; AU ; 17 ; SER 888 ; 100 
 5390 ; Лот бон КНДР 6 шт ;  ;  ;  ; AU ; 36 ; Вадим Скифский ; 168 
 5391 ; Лот бон КНДР 5 шт ;  ;  ;  ; AU ; 15 ; Вадим Скифский ; 161 
 5392 ; Лот бон Хорватия 5 шт ;  ;  ;  ; AU ; 21 ; Sky2 ; 102 
 5393 ; Лот бон Югославия 4 шт ;  ;  ;  ; AU ; 56 ; Sky2 ; 264 
 5394 ; Лот бон Босния и Герцеговина 4 шт ;  ;  ;  ;  ; 21 ; Ssid ; 102 
 5395 ; Лот бон иностранных 10 шт ;  ;  ;  ; AU ; 28 ; benosa ; 215 
 5396 ; Лот бон иностранных 10 шт ;  ;  ;  ; AU ; 27 ; benosa ; 184 
 5397 ; Лот бон иностранных 10 шт ;  ;  ;  ; AU ; 39 ; Вадим Скифский ; 184 
 5398 ; Лот бон иностранных 10 шт ;  ;  ;  ; AU ; 26 ; Вадим Скифский ; 180 
 5399 ; Лот бон иностранных 10 шт ;  ;  ;  ; AU ; 21 ; Вадим Скифский ; 164 
 5400 ; Лот бон иностранных 10 шт ;  ;  ;  ; AU ; 26 ; Вадим Скифский ; 204 
 5401 ; Бона иностранная Китай ; 1930 ;  ;  ;  ; 21 ; штурман ; 216 
 5402 ; Бона иностранная Китай ; 1940 ;  ;  ;  ; 16 ; noviyok ; 140 
 5403 ; Бона иностранная Китай ;  ;  ;  ;  ; 36 ; 47893 ; 318 
 5404 ; Бона иностранная Китай ;  ;  ;  ;  ; 37 ; smel ; 333 
 5405 ; Бона иностранная Китай ; 1936 ;  ;  ;  ; 21 ; noviyok ; 267 
 5406 ; Бона иностранная Китай ; 1937 ;  ;  ;  ; 15 ; boroda ; 153 
 5407 ; Бона иностранная Китай ; 1940 ;  ;  ;  ; 14 ; noviyok ; 201 
 5408 ; Бона иностранная Китай ;  ;  ;  ;  ; 25 ; sifirot ; 261 
 5409 ; Бона иностранная Китай ;  ;  ;  ;  ; 25 ; SKH ; 261 
 5410 ; Бона иностранная Гонг-Конг ; 1976 ;  ;  ;  ; 30 ; lsp25 ; 114 
 5411 ; 1 доллар Карибские о-ва ;  ;  ;  ;  ; 48 ; Плутос ; 445 
 5412 ; Бона иностранная Конго ;  ;  ;  ;  ; 11 ; спарта ; 140 
 5413 ; 1 доллар США ; 1935 ;  ;  ;  ; 20 ; Skit ; 1520 
 5414 ; 50 лев Болгария ; 1951 ;  ;  ; AU ; 23 ; Ceregga ; 102 
 5415 ; 100 лев Болгария ; 1951 ;  ;  ; AU ; 13 ; Yuraha76 ; 118 
 5416 ; 200 лев Болгария ; 1951 ;  ;  ; AU ; 15 ; Andreyspb ; 83 
 5417 ; Лот бон иностранных 10 шт ;  ;  ;  ; AU ; 23 ; Badger ; 184 
 5418 ; Лот бон иностранных 10 шт ;  ;  ;  ; AU ; 23 ; hoop ; 181 
 5419 ; Лот бон Югославия 5 шт ;  ;  ;  ; AU ; 19 ; Вадим Скифский ; 104 
 5420 ; Лот бон иностранных 9 шт ;  ;  ;  ;  ; 35 ; Вадим Скифский ; 245 
 5421 ; 20 франков Франция ; 1991 ;  ;  ; AU ; 31 ; Andreyspb ; 240 
 5422 ; 20 тугриков Монголия ; 1981 ;  ;  ;  ; 32 ; трутень ; 165 
 5423 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 9 ; спарта ; 126 
 5424 ; Лот бон Румыния 11 шт ;  ;  ;  ;  ; 15 ; viv007 ; 123 
 5425 ; 5 крон Швеция ; 1981 ;  ;  ; AU ; 19 ; gusar ; 64 
 5426 ; Бона иностранная Боливия ; 1962 ;  ;  ;  ; 49 ; СТРЕКОЗА ; 161 
 5327 ; Бона иностранная Венгрия ; 1946 ;  ;  ;  ; 11 ; sos1 ; 83 
 5328 ; Бона иностранная Венгрия ; 1920 ;  ;  ;  ; 17 ; dimon-2007 ; 128 
 5329 ; 10 крон Чехия и Моравия ; 1942 ;  ;  ;  ; 39 ; Четырехлистник ; 339 
 5330 ; 100 крон Чехия и Моравия ; 1940 ;  ;  ;  ; 28 ; vasek ; 567 
 5331 ; 50 динар Сербия ; 1942 ;  ;  ;  ; 11 ; ВЯЗЪ ; 133 
 5332 ; 10 динар Сербия ; 1941 ;  ;  ;  ; 10 ; air ; 127 
 5333 ; 50 крон Чехословакия ; 1964 ;  ;  ;  ; 32 ; полюбому ; 355 
 5334 ; 3 кроны Чехословакия ; 1961 ;  ;  ;  ; 10 ; 780 ; 93 
 5335 ; 5 марок ГДР ; 1964 ;  ;  ;  ; 13 ; yuri.gruzdev ; 114 
 5336 ; 1 фунт Кипр ; 1994 ;  ;  ;  ; 23 ; alesjane ; 113 
 5337 ; 10 лев Болгария ; 1999 ;  ;  ;  ; 37 ; avs ; 309 
 5338 ; 5 крон Швеция ; 1969 ;  ;  ;  ; 19 ; ВЯЗЪ ; 79 
 5339 ; 10 крон Швеция ; 1968 ;  ;  ; AU ; 44 ; 1879 ; 286 
 5340 ; 10 крон Швеция ; 1988 ;  ;  ;  ; 12 ; ВЯЗЪ ; 42 
 5341 ; 10 крон Норвегия ; 1983 ;  ;  ;  ; 11 ; krugerrand ; 94 
 5342 ; 20 долларов Белиз ; 2003 ;  ;  ;  ; 20 ; Maxim914 ; 480 
 5343 ; 5 долларов Белиз ; 2003 ;  ;  ;  ; 7 ; Serjd ; 165 
 5344 ; Лот бон Узбекистан 2 шт ;  ;  ;  ;  ; 19 ; bondars ; 57 
 5345 ; Лот бон иностранных 6 шт ;  ;  ;  ;  ; 9 ; Моряк-собиратель ; 152 
 5346 ; Лот бон иностранных 3 шт ;  ;  ;  ;  ; 20 ; Yuraha76 ; 102 
 5347 ; Лот бон Таджикистан 3 шт ;  ;  ;  ; AU ; 27 ; Badger ; 179 
 5348 ; Лот бон иностранных 5 шт ;  ;  ;  ;  ; 63 ; Моряк-собиратель ; 432 
 5349 ; Лот бон 7 шт ;  ;  ;  ;  ; 22 ; boroda ; 228 
 5350 ; Лот бон Югославия 4 шт ;  ;  ;  ;  ; 20 ; лампедуза ; 114 
 5351 ; Бона иностранная. Камерун ;  ;  ;  ; AU ; 64 ; dmivanych ; 408 
 5352 ; 500 добр Сан-Томе и Принсипи ; 1993 ;  ;  ; AU ; 54 ; benosa ; 267 
 5353 ; Бона иностранная Ангола ; 1995 ;  ;  ;  ; 36 ; ВЯЗЪ ; 135 
 5354 ; Бона иностранная Ангола ; 1995 ;  ;  ;  ; 13 ; Моряк-собиратель ; 276 
 5355 ; Бона иностранная Ангола ; 1995 ;  ;  ;  ; 12 ; Моряк-собиратель ; 276 
 5356 ; Бона иностранная Ангола ; 1991 ;  ;  ;  ; 34 ; dds ; 161 
 5357 ; Бона иностранная Ангола ; 1991 ;  ;  ;  ; 32 ; ВЯЗЪ ; 134 
 5358 ; Бона иностранная Египет ;  ;  ;  ;  ; 20 ; 6x6 ; 170 
 5359 ; Бона иностранная Египет ;  ;  ;  ;  ; 42 ; Моряк-собиратель ; 341 
 5360 ; Бона иностранная Кения ; 1978 ;  ;  ;  ; 14 ; Sammler ; 77 
 5361 ; Бона иностранная Кения ; 1978 ;  ;  ;  ; 31 ; diskus72 ; 74 
 5362 ; Бона иностранная Кения ; 2004 ;  ;  ;  ; 19 ; Espaniol_2015 ; 72 
 5363 ; Бона иностранная Нигерия ;  ;  ;  ;  ; 24 ; Моряк-собиратель ; 600 
 5364 ; Бона иностранная Нигерия ;  ;  ;  ;  ; 53 ; Моряк-собиратель ; 1345 
 5365 ; Бона иностранная Нигерия ;  ;  ;  ;  ; 47 ; Моряк-собиратель ; 1234 
 5366 ; Бона иностранная Зимбабве ; 1983 ;  ;  ;  ; 7 ; Моряк-собиратель ; 262 
 5367 ; Бона иностранная Зимбабве ; 1983 ;  ;  ;  ; 15 ; Ssid ; 262 
 5368 ; Бона иностранная Зимбабве ; 1983 ;  ;  ;  ; 19 ; Ssid ; 349 
 5369 ; Бона иностранная Танзия ;  ;  ;  ;  ; 9 ; SKH ; 125 
 5370 ; 10 динар Ирак ;  ;  ;  ;  ; 17 ; air ; 262 
 5371 ; 1/4 динара Ирак ;  ;  ;  ; AU ; 9 ; 6x6 ; 262 
 5372 ; 1 динар Ирак ;  ;  ;  ;  ; 11 ; yuri.gruzdev ; 204 
 5373 ; 1 фунт Сирия ;  ;  ;  ;  ; 17 ; sifirot ; 283 
 5374 ; 1 доллар Сингапур ;  ;  ;  ; AU ; 21 ; dmivanych ; 167 
 5375 ; 1 доллар Сингапур ;  ;  ;  ;  ; 7 ; viv007 ; 44 
 5376 ; 2 доллара Сингапур ;  ;  ;  ;  ; 9 ; sub215 ; 105 
 5277 ; Бона иностранная Италия ;  ;  ;  ;  ; 38 ; alesjane ; 404 
 5278 ; Бона иностранная Италия ;  ;  ;  ;  ; 11 ; dmivanych ; 79 
 5279 ; Бона иностранная Италия ;  ;  ;  ;  ; 17 ; murew ; 340 
 5280 ; Бона иностранная Италия ;  ;  ;  ; AU ; 63 ; sifirot ; 965 
 5281 ; Бона иностранная Италия ;  ;  ;  ;  ; 29 ; dmivanych ; 124 
 5282 ; Бона иностранная Италия ;  ;  ;  ;  ; 25 ; трутень ; 169 
 5283 ; Бона иностранная Италия ;  ;  ;  ;  ; 21 ; нв1975 ; 181 
 5284 ; Бона иностранная Италия ;  ;  ;  ;  ; 9 ; gusar ; 55 
 5285 ; Лот бон Италия 3 шт ;  ;  ;  ;  ; 20 ; murew ; 157 
 5286 ; 20 эскудо Португалия ; 1964 ;  ;  ; AU ; 42 ; 1879 ; 221 
 5287 ; 20 эскудо Португалия ; 1978 ;  ;  ;  ; 21 ; Teremok ; 144 
 5288 ; 20 эскудо Португалия ; 1971 ;  ;  ; AU ; 22 ; Andreyspb ; 222 
 5289 ; 50 эскудо Португалия ; 1980 ;  ;  ; AU ; 21 ; 1879 ; 319 
 5290 ; 50 эскудо Португалия ; 1964 ;  ;  ;  ; 41 ; murew ; 213 
 5291 ; 100 эскудо Португалия ; 1984 ;  ;  ;  ; 15 ; gusar ; 115 
 5292 ; 100 эскудо Португалия ; 1988 ;  ;  ;  ; 13 ; ВЯЗЪ ; 79 
 5293 ; 500 эскудо Португалия ; 1979 ;  ;  ; AU ; 64 ; Wulf ; 917 
 5294 ; 500 эскудо Португалия ; 1993 ;  ;  ; AU ; 55 ; Wulf ; 660 
 5295 ; 1000 эскудо Португалия ; 1996 ;  ;  ; AU ; 55 ; Andreyspb ; 983 
 5296 ; 2000 эскудо Португалия ; 1997 ;  ;  ; AU ; 57 ; Wulf ; 1841 
 5297 ; 50 франков Люксенбург ;  ;  ;  ;  ; 54 ; murew ; 450 
 5298 ; 100 франков Люксенбург ;  ;  ;  ;  ; 76 ; Плутос ; 1326 
 5299 ; 100 франков Люксенбург ;  ;  ;  ;  ; 47 ; Ostriy ; 352 
 5300 ; 5 гульденов Нидерланды ; 1973 ;  ;  ;  ; 16 ; кудашкин ; 121 
 5301 ; 10 гульденов Нидерланды ; 1953 ;  ;  ;  ; 24 ; кудашкин ; 328 
