 151 ; Медаль. В честь действительного статского советника П.А. Демидова. В память открытия Коммерческого училища в Москве. Медальер: Т. Иванов. D-40мм. М-46,14г ; 1772 ;  ; Au ; VF-XF ; 72 ; бибигон ; 600000 
 129 ; 1/2 копейки ; 1893 ; СПБ ; Cu ; AU ; 36 ; Продано в зале ; 2200 
 130 ; 1/2 копейки ; 1916 ;  ; Cu ; AU ; 28 ; Продано в зале ; 14000 
 131 ; Полушка (Петров-5р, Ильин-3р) ; 1775 ; ЕМ ; Cu ; VF ; 49 ; Продано в зале ; 7500 
 132 ; Полушка (Петров-3р, Ильин-3р) ; 1804 ; КМ ; Cu ; F-VF ; 71 ; Dzmitry ; 12750 
 133 ; 1/4 копейки (Ильин - 1р) ; 1841 ; СМ ; Cu ; XF- ; 78 ; Продано в зале ; 2100 
 134 ; Полушка ; 1853 ; ЕМ ; Cu ; VF-XF ; 40 ; electra ; 3400 
 135 ; Полушка ; 1854 ; ЕМ ; Cu ; XF ; 43 ; Продано в зале ; 2000 
 136 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; XF ; 37 ; CapsulЪ ; 4400 
 137 ; 1/4 копейки. Капсула ННР ; 1871 ; ЕМ ; Cu ;  ; 37 ; CapsulЪ ; 9000 
 138 ; 1/4 копейки. В капсуле NGC ; 1877 ; СПБ ; Cu ;  ; 47 ; dsidorov ; 9000 
 139 ; 1/4 копейки (Петров-2р, Ильин-2р) ; 1881 ; СПБ ; Cu ; AU ; 75 ; Продано в зале ; 95000 
 140 ; 1/4 копейки. В капсуле NGC ; 1891 ; СПБ ; Cu ;  ; 51 ; sax ; 14000 
 141 ; Кырмыз Шахин-Гирей 5-й год правления ; 1191 ;  ; Cu ; VF ; 40 ; Продано в зале ; 13000 
 142 ; Бисти ; 1805 ; Грузия ; Cu ; VF ; 28 ; N.A.S.A ; 17000 
 143 ; Полубисти ; 1808 ; Грузия ; Cu ; VF- ; 30 ; Продано в зале ; 18000 
 144 ; Один червонец. В капсуле NGC ; 1923 ; (ПЛ) ; Au ;  ; 47 ; papinazu ; 210000 
 145 ; 20 копеек ; 1931 ;  ; Ag ; XF ; 59 ; CapsulЪ ; 150000 
 146 ; 3 рубля. В капсуле NGC ; 1995 ; 50 лет освобождения Кенигсберга. Ошибка, 1994 год ; Cu-Ni ;  ; 40 ; Продано в зале ; 50000 
 147 ; Орден Святого Равноапостольного Князя Владимира ; до 1916 ; Владимира IV ст. ; Au ; XF- ; 76 ; verdade ; 59079 
 148 ; Георгиевский крест 1 ст № 39329. Р-ры 34х34мм ;  ;  ; Ж/м ; XF+ ; 82 ; icebreaker ; 70000 
 149 ; Георгиевский крест. 4 стенень. №113471 ;  ;  ; Ag ; VF+ ; 47 ; korovan67 ; 12342 
 150 ; Знак Императорская Военно Медицинская Академия. Р-ры30х22мм ;  ;  ; Ag ; XF+ ; 33 ; 462 ; 9282 
 51 ; Рубль ; 1893 ; (АГ) ; Ag ; XF+/AU ; 98 ; Продано в зале ; 48000 
 52 ; Рубль ; 1894 ; (АГ) ; Ag ; XF ; 42 ; CapsulЪ ; 21000 
 53 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF ; 46 ; мамана ; 31734 
 54 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF ; 64 ; мамана ; 8262 
 55 ; Рубль ; 1901 ; (ФЗ) ; Ag ; VF-XF ; 26 ; Продано в зале ; 6000 
 56 ; Рубль ; 1908 ; (ЭБ) ; Ag ; VF+ ; 32 ; eastern wind ; 48000 
 57 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 47 ; 78gen ; 19000 
 58 ; Рубль ; 1913 ; (ЭБ) ; Ag ; XF ; 48 ; Как-то так... ; 90000 
 59 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF+ ; 26 ; sm-dc ; 8254 
 60 ; Рубль ; 1914 ; (ВС) ; Ag ; XF ; 34 ; Prooflike ; 60000 
 61 ; Полтина ; 1725 ;  ; Ag ; VF-XF ; 16 ; CapsulЪ ; 32000 
 62 ; Полтина (Петров-4р, Ильин-4р) ; 1747 ; СПБ ; Ag ; XF ; 60 ; vonrussel ; 72500 
 63 ; Полтина ; 1762 ; СПБ НК TI ; Ag ; XF ; 41 ; Продано в зале ; 44000 
 64 ; Полтина ; 1768 ; СПБ СА ; Ag ; VF- ; 21 ; eastern wind ; 14000 
 65 ; Полтина (Ильин-6р) ; 1853 ; СПБ HI ; Ag ; AU ; 60 ; Продано в зале ; 520000 
 66 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF ; 39 ; Продано в зале ; 9000 
 67 ; 20 копеек ; 1769 ; СПБ TI ; Ag ; XF+ ; 57 ; papinazu ; 15000 
 68 ; 20 копеек ; 1772 ; СПБ TI ; Ag ; VF-XF ; 44 ; papinazu ; 12000 
 69 ; 20 копеек ; 1783 ; СПБ ; Ag ; XF+ ; 70 ; амбал ; 28000 
 70 ; 20 копеек ; 1784 ; СПБ ; Ag ; AU ; 78 ; Продано в зале ; 19000 
 71 ; 20 копеек (Петров-10р, Ильин-6р) ; 1825 ; СПБ НГ ; Ag ; VF- ; 31 ; max96 ; 13000 
 72 ; 20 копеек ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 33 ; Продано в зале ; 4200 
 73 ; 15 копеек ; 1778 ; СПБ ; Ag ; XF+ ; 54 ; Продано в зале ; 17000 
 74 ; 15 копеек ; 1783 ; СПБ ; Ag ; XF- ; 75 ; Продано в зале ; 15000 
 75 ; 15 копеек ; 1784 ; СПБ ; Ag ; XF+ ; 59 ; Продано в зале ; 18000 
 76 ; Гривенник. В капсуле NGC ; 1751 ;  ; Ag ;  ; 39 ; спарта ; 29500 
 77 ; Гривенник ; 1781 ; СПБ ; Ag ; XF ; 50 ; sax ; 10000 
 78 ; Гривенник ; 1783 ; СПБ ; Ag ; XF/AU ; 71 ; Krue ; 14000 
 79 ; Гривенник ; 1784 ; СПБ ; Ag ; XF+ ; 41 ; -- --- . ; 9500 
 80 ; Гривенник ; 1785 ; СПБ ; Ag ; XF+ ; 94 ; амбал ; 20000 
 81 ; 5 злотых ; 1830 ; KG Польша ; Ag ; XF ; 62 ; Braslav ; 26000 
 82 ; Двойной абаз ; 1814 ; АТ Грузия ; Ag ; VF+ ; 40 ; N.A.S.A ; 14000 
 83 ; Двойной абаз ; 1818 ; АТ Грузия ; Ag ; VF ; 47 ; Продано в зале ; 11000 
 84 ; Двойной абаз ; 1831 ; АТ Грузия ; Ag ; VF ; 56 ; skylink ; 10000 
 85 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF ; 41 ; Продано в зале ; 12000 
 86 ; 10 копеек (Петров-1,5р, Ильин-1р) ; 1833 ; СМ ; Cu ; VF-XF ; 32 ; Sky2 ; 8500 
 87 ; 10 копеек (Петров-1,5р, Ильин-2р) ; 1836 ; СМ ; Cu ; XF ; 93 ; DiatezЪ ; 44000 
 88 ; 10 копеек ; 1837 ; ЕМ КТ ; Cu ; VF-XF ; 26 ; Продано в зале ; 7000 
 89 ; 5 копеек ; 1763 ; СПМ ; Cu ; VF ; 20 ; БРАТ. ; 1134 
 90 ; 5 копеек ; 1767 ; КМ "Сибирь" ; Cu ; VF-XF ; 48 ; max96 ; 17223 
 91 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF ; 39 ; Продано в зале ; 8500 
 92 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF ; 36 ; Продано в зале ; 11500 
 93 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF ; 33 ; Продано в зале ; 9500 
 94 ; 5 копеек ; 1787 ; КМ ; Cu ; XF ; 21 ; Чук ; 4800 
 95 ; 5 копеек (Петров-3р) ; 1788 ; КМ ; Cu ; XF ; 30 ; Кабак ; 7289 
 96 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF ; 23 ; клотик 2 ; 9000 
 97 ; 5 копеек (Ильин-1р) ; 1832 ; СМ ; Cu ; XF ; 47 ; Продано в зале ; 9000 
 98 ; 5 копеек ; 1832 ; ЕМ ФХ ; Cu ; XF ; 28 ; Продано в зале ; 7500 
 99 ; 5 копеек ; 1833 ; СМ ; Cu ; XF ; 55 ; max96 ; 10000 
 100 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF ; 15 ; Продано в зале ; 3000 
 1 ; Платежный слиток. Гривна. Новгородского типа. М-187,3г ;  ; Новгородская ; Ag ;  ; 33 ; oleko ; 17930 
 2 ; Платежный слиток. Полтина. Новгородского типа. М-98г ;  ; Новгородская ; Ag ;  ; 26 ; oleko ; 9500 
 3 ; 10 рублей (Петров-22р, Ильин-20р). М-12,9г ; 1783 ; СПБ ТI Новый вар.-шея короче ; Au ; VF- ; 54 ; cr4987 ; 210000 
 4 ; 10 рублей. М-8,6г ; 1899 ; (АГ) АГ ; Au ; AU ; 40 ; амбал ; 36000 
 5 ; 5 рублей (Петров-12р). М-6,47г ; 1772 ; СПБ ТI ; Au ; VF+ ; 77 ; cr4987 ; 175000 
 6 ; 5 рублей. М-6,52г. Ремонт гурта 12 часов. Ильин-15р ; 1884 ; СПБ АГ ; Au ; VF+ ; 40 ; заяц побегаец ; 21624 
 7 ; 5 рублей. М-6,44г ; 1892 ; (АГ) ; Au ; XF+ ; 48 ; CapsulЪ ; 75000 
 8 ; 3 рубля. В капсуле PCGS ; 1874 ; СПБ НI ; Au ;  ; 24 ; Как-то так... ; 102014 
 9 ; 2 рубля (Петров-15р). М-4,1г ; 17-21 ;  ; Au ; XF ; 66 ; cr4987 ; 575000 
 10 ; Рубль. В капсуле NGC ; 1779 ; "Для дворцового обихода" ; Au ;  ; 44 ; papinazu ; 60000 
 11 ; Рубль (Петров-10р) ; 1707 ; Н ; Ag ; VF-XF ; 43 ; ValeriyL ; 231859 
 12 ; Рубль ; 1718 ; OK ; Ag ; VF+ ; 17 ; Olimpia ; 46546 
 13 ; Рубль ; 1725 ; ОК ВСЕРОСИIСКИI Голова больше ; Ag ; VF-XF ; 26 ; iustas ; 32209 
 14 ; Рубль (Петров-3р) ; 1727 ;  ; Ag ; XF ; 47 ; 78gen ; 59687 
 15 ; Рубль ; 1727 ;  ; Ag ; VF-XF ; 27 ; sm-dc ; 38292 
 16 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 31 ; eastern wind ; 32000 
 17 ; Рубль ; 1732 ;  ; Ag ; XF- ; 16 ; 78gen ; 34000 
 18 ; Рубль ; 1732 ;  ; Ag ; XF- ; 22 ; Продано в зале ; 18000 
 19 ; Рубль ; 1737 ;  ; Ag ; XF- ; 32 ; 78gen ; 95000 
 20 ; Рубль ; 1737 ;  ; Ag ; XF- ; 31 ; ValeriyL ; 22250 
 21 ; Рубль ; 1742 ; СПБ ; Ag ; VF-XF ; 11 ; Dzmitry ; 20000 
 22 ; Рубль ; 1742 ; СПБ ; Ag ; VF-XF ; 43 ; eastern wind ; 18000 
 23 ; Рубль ; 1746 ; СПБ ; Ag ; VF+ ; 24 ; Продано в зале ; 18000 
 24 ; Рубль ; 1746 ; ММД ; Ag ; XF- ; 22 ; -- --- . ; 22000 
 25 ; Рубль (Петров-3р) ; 1756 ; СПБ IM BS ; Ag ; VF+ ; 16 ; Продано в зале ; 16000 
 26 ; Рубль ; 1762 ; СПБ НК ; Ag ; XF ; 37 ; 78gen ; 142851 
 27 ; Рубль. В капсуле NGC ; 1762 ; ММД ДМ ; Ag ;  ; 51 ; *@*#* ; 170000 
 28 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; XF ; 10 ; Продано в зале ; 16000 
 29 ; Рубль ; 1771 ; СПБ ЯЧ TI ; Ag ; XF- ; 21 ; Продано в зале ; 16000 
 30 ; Рубль ; 1804 ; СПБ ФГ ; Ag ; VF-XF ; 31 ; мамана ; 22000 
 31 ; Рубль. Скипетр длиннее ; 1817 ; СПБ ПС ; Ag ; AU ; 54 ; амбал ; 34000 
 32 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 48 ; Моляр ; 25000 
 33 ; Рубль ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 31 ; iustas ; 8414 
 34 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; VF-XF ; 29 ; vic-dmitri ; 90000 
 35 ; Рубль. "зоаотинка" ; 1842 ; СПБ АЧ ; Ag ; VF-XF ; 67 ; Продано в зале ; 20000 
 36 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; AU/XF ; 38 ; мамана ; 11000 
 37 ; Рубль ; 1867 ; СПБ HI ; Ag ; XF- ; 33 ; vic-dmitri ; 32000 
 38 ; Рубль ; 1868 ; СПБ HI ; Ag ; VF-XF ; 56 ; sax ; 20000 
 39 ; Рубль ; 1871 ; СПБ HI ; Ag ; VF-XF ; 27 ; eastern wind ; 15000 
 40 ; Рубль ; 1875 ; СПБ HI ; Ag ; XF+/AU ; 48 ; Продано в зале ; 56000 
 41 ; Рубль ; 1876 ; СПБ HI ; Ag ; XF- ; 32 ; Продано в зале ; 12000 
 42 ; Рубль ; 1877 ; СПБ HI ; Ag ; AU/XF ; 38 ; CapsulЪ ; 11000 
 43 ; Рубль ; 1877 ; СПБ НФ ; Ag ; XF ; 33 ; top1 ; 8500 
 44 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF/AU ; 35 ; амбал ; 11000 
 45 ; Рубль ; 1880 ; СПБ НФ ; Ag ; VF-XF ; 46 ; мамана ; 14000 
 46 ; Рубль ; 1882 ; СПБ НФ ; Ag ; XF- ; 60 ; ValeriyL ; 22976 
 47 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; VF-XF ; 25 ; Продано в зале ; 19000 
 48 ; Рубль ; 1884 ; СПБ АГ ; Ag ; XF ; 20 ; Продано в зале ; 20000 
 49 ; Рубль ; 1885 ; СПБ АГ ; Ag ; XF ; 81 ; мамана ; 21000 
 50 ; Рубль ; 1891 ; (АГ) ; Ag ; XF+ ; 58 ; 78gen ; 37570 
