 4808 ; Бона иностранная ;  ;  ;  ;  ; 51 ; Etich ; 135 
 4651 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ъхз ; 55 
 4652 ; Бона иностранная ;  ;  ;  ;  ; 4 ; sobiranel ; 35 
 4653 ; Бона иностранная ;  ;  ;  ;  ; 3 ; raise ; 31 
 4654 ; Бона иностранная ;  ;  ;  ;  ; 2 ; я8844 ; 31 
 4655 ; Бона иностранная ;  ;  ;  ;  ; 6 ; sobiranel ; 34 
 4656 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Etich ; 50 
 4657 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ъхз ; 33 
 4658 ; Бона иностранная ;  ;  ;  ;  ; 40 ; Etich ; 105 
 4659 ; Бона иностранная ;  ;  ;  ;  ; 9 ; у44 ; 33 
 4660 ; Бона иностранная ;  ;  ;  ;  ; 32 ; lesnik1 ; 147 
 4661 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sobiranel ; 100 
 4662 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ИЮМов1 ; 124 
 4663 ; Бона иностранная ;  ;  ;  ;  ; 11 ; krut0803 ; 253 
 4664 ; Бона иностранная ;  ;  ;  ;  ; 9 ; krut0803 ; 255 
 4665 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Sky2 ; 356 
 4666 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sky2 ; 356 
 4667 ; Бона иностранная ;  ;  ;  ;  ; 29 ; ИЮМов1 ; 120 
 4668 ; Бона иностранная ;  ;  ;  ;  ; 6 ; lesnik1 ; 101 
 4669 ; Бона иностранная ;  ;  ;  ;  ; 48 ; pion-61 ; 101 
 4670 ; Бона иностранная ;  ;  ;  ;  ; 35 ; RusScat ; 150 
 4801 ; Бона иностранная. 2 шт ;  ;  ;  ;  ; 33 ; pref ; 48 
 4802 ; Бона иностранная. 2 шт ;  ;  ;  ;  ; 81 ; sobiranel ; 117 
 4803 ; Бона иностранная ;  ;  ;  ;  ; 40 ; SANGOLD1 ; 37 
 4804 ; Бона иностранная ;  ;  ;  ;  ; 48 ; pion-61 ; 46 
 4805 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Gera_K ; 24 
 4806 ; Бона иностранная ;  ;  ;  ;  ; 67 ; ИЮМов1 ; 189 
 4807 ; Бона иностранная ;  ;  ;  ;  ; 8 ; sobiranel ; 28 
 4578 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 33 
 4579 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 34 
 4580 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Etich ; 50 
 4581 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Etich ; 50 
 4582 ; Бона иностранная ;  ;  ;  ;  ; 23 ; карпер ; 57 
 4583 ; Бона иностранная ;  ;  ;  ;  ; 2 ; su27 ; 30 
 4584 ; Бона иностранная ;  ;  ;  ;  ; 2 ; su27 ; 30 
 4585 ; Бона иностранная ;  ;  ;  ;  ; 2 ; su27 ; 30 
 4586 ; Бона иностранная ;  ;  ;  ;  ; 3 ; su27 ; 26 
 4587 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 4758 ; 30 
 4588 ; Бона иностранная ;  ;  ;  ;  ; 5 ; su27 ; 32 
 4589 ; Бона иностранная ;  ;  ;  ;  ; 12 ; ask ; 104 
 4590 ; Бона иностранная ;  ;  ;  ;  ; 1 ; я8844 ; 10 
 4591 ; Бона иностранная ;  ;  ;  ;  ; 2 ; pref ; 11 
 4592 ; Бона иностранная ;  ;  ;  ;  ; 9 ; у44 ; 30 
 4593 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 4758 ; 25 
 4594 ; Бона иностранная ;  ;  ;  ;  ; 3 ; у44 ; 24 
 4595 ; Бона иностранная ;  ;  ;  ;  ; 3 ; su27 ; 34 
 4596 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Gera_K ; 11 
 4597 ; Бона иностранная ;  ;  ;  ;  ; 19 ; ъхз ; 47 
 4598 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Хакас ; 81 
 4599 ; Бона иностранная ;  ;  ;  ;  ; 3 ; RusScat ; 50 
 4600 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ъхз ; 32 
 4601 ; Бона иностранная ;  ;  ;  ;  ; 26 ; у44 ; 100 
 4602 ; Бона иностранная ;  ;  ;  ;  ; 19 ; у44 ; 99 
 4603 ; Бона иностранная ;  ;  ;  ;  ; 39 ; jj ; 101 
 4604 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Gera_K ; 104 
 4605 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Gera_K ; 105 
 4606 ; Бона иностранная ;  ;  ;  ;  ; 12 ; у44 ; 99 
 4607 ; Бона иностранная ;  ;  ;  ;  ; 21 ; у44 ; 99 
 4608 ; Бона иностранная ;  ;  ;  ;  ; 36 ; Gera_K ; 104 
 4609 ; Бона иностранная ;  ;  ;  ;  ; 41 ; jj ; 102 
 4610 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Lasto4kaSPB ; 105 
 4611 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Gera_K ; 104 
 4612 ; Бона иностранная ;  ;  ;  ;  ; 28 ; Sky2 ; 104 
 4613 ; Бона иностранная ;  ;  ;  ;  ; 29 ; Sky2 ; 100 
 4614 ; Бона иностранная ;  ;  ;  ;  ; 29 ; ъхз ; 100 
 4615 ; Бона иностранная ;  ;  ;  ;  ; 9 ; ъхз ; 79 
 4616 ; Бона иностранная ;  ;  ;  ;  ; 25 ; ъхз ; 48 
 4617 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Хакас ; 283 
 4618 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ask ; 46 
 4619 ; Бона иностранная ;  ;  ;  ;  ; 7 ; ask ; 37 
 4620 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Gera_K ; 30 
 4621 ; Бона иностранная ;  ;  ;  ;  ; 35 ; RusScat ; 188 
 4622 ; Бона иностранная ;  ;  ;  ;  ; 44 ; sidr ; 101 
 4623 ; Бона иностранная ;  ;  ;  ;  ; 13 ; ъхз ; 90 
 4624 ; Бона иностранная ;  ;  ;  ;  ; 27 ; RusScat ; 102 
 4625 ; Бона иностранная ;  ;  ;  ;  ; 26 ; pion-61 ; 101 
 4626 ; Бона иностранная ;  ;  ;  ;  ; 24 ; RusScat ; 39 
 4627 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Gera_K ; 30 
 4528 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sos1 ; 40 
 4529 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaktus ; 31 
 4530 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaktus ; 31 
 4531 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 31 
 4532 ; Бона иностранная ;  ;  ;  ;  ; 65 ; Etich ; 80 
 4533 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 31 
 4534 ; Бона иностранная ;  ;  ;  ;  ; 4 ; raise ; 32 
 4535 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 31 
 4536 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kaktus ; 33 
 4537 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaktus ; 32 
 4538 ; Бона иностранная ;  ;  ;  ;  ; 4 ; raise ; 35 
 4539 ; Бона иностранная ;  ;  ;  ;  ; 4 ; raise ; 35 
 4540 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Gera_K ; 30 
 4541 ; Бона иностранная ;  ;  ;  ;  ; 3 ; raise ; 31 
 4542 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kaktus ; 36 
 4543 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 4758 ; 32 
 4544 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Etich ; 50 
 4545 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Etich ; 72 
 4546 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 40 
 4547 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Gera_K ; 31 
 4548 ; Бона иностранная ;  ;  ;  ;  ; 3 ; raise ; 31 
 4549 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 4758 ; 33 
 4550 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Etich ; 72 
 4551 ; Бона иностранная ;  ;  ;  ;  ; 4 ; raise ; 35 
 4552 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 31 
 4553 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 34 
 4554 ; Бона иностранная ;  ;  ;  ;  ; 12 ; kaktus ; 34 
 4555 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Gera_K ; 30 
 4556 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Etich ; 50 
 4557 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Etich ; 51 
 4558 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 4758 ; 30 
 4559 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 4758 ; 33 
 4560 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 31 
 4561 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 40 
 4562 ; Бона иностранная ;  ;  ;  ;  ; 25 ; карпер ; 57 
 4563 ; Бона иностранная ;  ;  ;  ;  ; 17 ; карпер ; 55 
 4564 ; Бона иностранная ;  ;  ;  ;  ; 11 ; карпер ; 55 
 4565 ; Бона иностранная ;  ;  ;  ;  ; 9 ; карпер ; 55 
 4566 ; Бона иностранная ;  ;  ;  ;  ; 5 ; smel ; 40 
 4567 ; Бона иностранная ;  ;  ;  ;  ; 3 ; GBK ; 33 
 4568 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaktus ; 34 
 4569 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Etich ; 67 
 4570 ; Бона иностранная ;  ;  ;  ;  ; 27 ; Etich ; 67 
 4571 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Gera_K ; 30 
 4572 ; Бона иностранная ;  ;  ;  ;  ; 5 ; smel ; 40 
 4573 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 34 
 4574 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kaktus ; 36 
 4575 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 34 
 4576 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 34 
 4577 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 34 
 4352 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 41 ; Alex821 ; 306 
 4353 ; 5000 рублей ; 1919 ;  ;  ; AU ; 83 ; Sky2 ; 411 
 4354 ; 1000 рублей ; 1919 ;  ;  ;  ; 57 ; alex241 ; 354 
 4355 ; 1 марка ; 1919 ;  ;  ;  ; 70 ; ъхз ; 703 
 4356 ; 5 марок ; 1919 ;  ;  ; AU ; 60 ; verunk1 ; 3465 
 4357 ; 10 марок ; 1919 ;  ;  ;  ; 79 ; verunk1 ; 2657 
 4358 ; 50 марок ; 1919 ;  ;  ; AU ; 75 ; verunk1 ; 7885 
 4359 ; Талон 100 рублей. Гос. Трест "Арктикуголь" ;  ;  ;  ;  ; 69 ; nb ; 3965 
 4360 ; Квитанция 10000000 рублей. Тифлисский ЕРКООП ;  ;  ;  ;  ; 59 ; k212 ; 850 
 4361 ; Акция в 100 франков. Каменноугольная металлургическая и промышленная компания "Ломоватка" (Донецк) ; 1899 ;  ;  ;  ; 67 ; himik121 ; 363 
 4362 ; Облигация 12000000 de Francs Societe d`Electricite d`Odessa ;  ;  ;  ;  ; 117 ; teremm ; 433 
 4363 ; Облигация 8000000 de Francs Societe d`Electricite d`Odessa ;  ;  ;  ;  ; 29 ; Searcher ; 415 
 4364 ; Облигация 8000000 de Francs Societe d`Electricite d`Odessa ;  ;  ;  ;  ; 111 ; himik121 ; 513 
 4365 ; Облигация в 125 рублей золотом. Общ.Владикавказской железной дороги ; 1894 ;  ;  ;  ; 31 ; viktorB77 ; 315 
 4366 ; Свидетельство на капитал 150 рублей. Крестьянского поземельного банка ; 1912 ;  ;  ;  ; 65 ; tars7777 ; 354 
 4367 ; Облигация. 187 рублей. 50 копеек. Российский государственный 4 1/2 % заем ; 1909 ;  ;  ;  ; 24 ; fillin ; 206 
 4368 ; Облигация. Ташкентский трамвай ; 1917 ;  ;  ;  ; 73 ; himik121 ; 612 
 4369 ; Облигация. 125 рублей. Российский 3 1/2 % золотой заем ; 1894 ;  ;  ;  ; 27 ; viktorB77 ; 315 
 4370 ; Акция в 250 рублей. Русско-Бельское металлургическое общество ; 1897 ;  ;  ;  ; 18 ; himik121 ; 531 
 4371 ; Облигация. В 500 франков. Российское 4 %-е консолидированная рента ; 1901 ;  ;  ;  ; 34 ; tars7777 ; 354 
 4372 ; Облигация в 50 рублей. Государственный 5 1/2 % военный краткосрочный заем ; 1915 ;  ;  ;  ; 38 ; tars7777 ; 768 
 4373 ; Акция в 250 рублей. Южно-Русская Днепропетровская металлургическое общество ; 1898 ;  ;  ;  ; 6 ; tars7777 ; 450 
 4374 ; Облигация в 125 рублей металлических. Общ. Юго-западных железных дорог ; 1885 ;  ;  ;  ; 55 ; tars7777 ; 781 
 4501 ; Бона иностранная ;  ;  ;  ;  ; 13 ; АВС26 ; 39 
 4502 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 31 
 4503 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kaktus ; 33 
 4504 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaktus ; 32 
 4505 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Etich ; 50 
 4506 ; Бона иностранная ;  ;  ;  ;  ; 4 ; kaktus ; 32 
 4507 ; Бона иностранная ;  ;  ;  ;  ; 15 ; карпер ; 60 
 4508 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 31 
 4509 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 31 
 4510 ; Бона иностранная ;  ;  ;  ;  ; 5 ; smel ; 40 
 4511 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Sky2 ; 37 
 4512 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Sky2 ; 35 
 4513 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Gera_K ; 30 
 4514 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 31 
 4515 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 30 
 4516 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 4758 ; 30 
 4517 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kaktus ; 33 
 4518 ; Бона иностранная ;  ;  ;  ;  ; 4 ; and1972 ; 32 
 4519 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 31 
 4520 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 31 
 4521 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 4758 ; 30 
 4522 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 34 
 4523 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Etich ; 123 
 4524 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Etich ; 50 
 4525 ; Бона иностранная ;  ;  ;  ;  ; 3 ; kaktus ; 31 
 4526 ; Бона иностранная ;  ;  ;  ;  ; 21 ; карпер ; 60 
 4527 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Etich ; 50 
 4302 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 30 ; dimas ; 375 
 4303 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 8 ; fish77 ; 200 
 4304 ; 10000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 46 ; asternox ; 311 
 4305 ; 1 рубль ; 1919 ;  ;  ;  ; 76 ; fillin ; 847 
 4306 ; 3 рубля ; 1919 ;  ;  ;  ; 52 ; Sky2 ; 1064 
 4307 ; 100 рублей ; 1919 ;  ;  ;  ; 149 ; ъхз ; 9676 
 4308 ; 100 рублей ; 1918 ; Гос.кредитный билет Прибайкальской временной земской власти ;  ;  ; 89 ; Виталий 64 ; 1597 
 4309 ; 100 рублей ; 1920 ; Разменные знаки.Комитет освобожд.черном.побережья ;  ;  ; 166 ; k212 ; 4005 
 4310 ; 500 рублей ; 1919 ;  ;  ;  ; 43 ; ъхз ; 2607 
 4311 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 32 ; dimas ; 1274 
 4312 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 39 ; alex241 ; 179 
 4313 ; Лот 4 шт.1,3,5,10 рублей ;  ;  ;  ;  ; 40 ; and1972 ; 160 
 4314 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 20 ; Greenfields ; 102 
 4315 ; Лот 3 шт. 10,25,100 рублей ; 1918 ;  ;  ;  ; 14 ; Greenfields ; 139 
 4316 ; Лот 2 шт. 250,1000 рублей ; 1918 ;  ;  ;  ; 19 ; Greenfields ; 92 
 4317 ; 50 рублей ; 1918 ; Билеты Дальневосточного СНК ;  ;  ; 121 ; А2007 ; 20000 
 4318 ; 20 копеек ; 1915 ; Деньги-марки ;  ;  ; 8 ; Alex821 ; 41 
 4319 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 11 ; Alex821 ; 26 
 4320 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 7 ; Greenfields ; 24 
 4321 ; Лот 3 шт. 3,5,10 червонцев ; 1937 ;  ;  ;  ; 40 ; Lasto4kaSPB ; 306 
 4322 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 34 ; кве ; 216 
 4323 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 28 ; kent01 ; 465 
 4324 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 33 ; baron ; 284 
 4325 ; 3 рубля ; 1947 ; Гос.казначейский билет ;  ;  ; 37 ; кве ; 407 
 4326 ; 5 рублей ; 1947 ; Гос.казначейский билет ;  ;  ; 73 ; кве ; 612 
 4327 ; 50 рублей ; 1947 ; билет ;  ;  ; 79 ; RusScat ; 1020 
 4328 ; 25000 рублей ; 1922 ; Армения ;  ;  ; 44 ; alex241 ; 363 
 4329 ; Лот 2 шт. Казначейский знак сибирского временного правительства 3 и 10 рублей ;  ;  ;  ;  ; 62 ; Lasto4kaSPB ; 160 
 4330 ; 60 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 49 ; Alex821 ; 186 
 4331 ; Лот 2 шт. 1 и 50 копеек ;  ;  ;  ;  ; 31 ; a54 ; 89 
 4332 ; Лот 5 шт ;  ;  ;  ;  ; 46 ; Сёмга ; 230 
 4333 ; Билет 20 рублей. Вторая денежно-вещевая лотерея ;  ;  ;  ;  ; 28 ; Хакас ; 283 
 4334 ; Билет 25 рублей. Третья  денежно-вещевая лотерея ;  ;  ;  ;  ; 44 ; Хакас ; 271 
 4335 ; 500 рублей ; 1992 ; билет ;  ; AU ; 27 ; denis68 ; 258 
 4336 ; 1000 рублей ; 1992 ; билет ;  ; AU ; 68 ; kaktus ; 306 
 4337 ; Лот 2 шт. 10000 и 200 рублей ; 1992 ;  ;  ;  ; 70 ; denis68 ; 373 
 4338 ; Лот 2 шт. 1000 рублей ; 1993 ;  ;  ;  ; 26 ; viktorB77 ; 91 
 4339 ; Лот 7 шт. 1,3,5,10,50,100 рублей ; 1991 ;  ;  ;  ; 34 ; viktorB77 ; 197 
 4340 ; Лот 7 шт. 1,3,5,10,25,50,100 рублей ; 1961 ;  ;  ;  ; 48 ; viktorB77 ; 401 
 4341 ; 100 рублей ; 1961 ;  ;  ;  ; 38 ; denis68 ; 209 
 4342 ; Лот 3 шт. 100,200,500 рублей ; 1993 ;  ;  ;  ; 25 ; andreyM ; 100 
 4343 ; 5000 рублей ; 1992 ; банкнота ;  ; AU ; 20 ; Alex821 ; 240 
 4344 ; Лот 2 шт. 5000 и 10000 рублей ; 1993 ;  ;  ;  ; 25 ; rut24 ; 628 
 4345 ; Лот 2 шт. 1000 и 100000 рублей ; 1995 ;  ;  ;  ; 107 ; strestas ; 723 
 4346 ; Лот 2 шт. 5 рублей ; 1997 ;  ;  ;  ; 55 ; sdfg ; 257 
 4347 ; Бона. Гос. Кредитный билет 1 рубль ; 1920 ;  ;  ;  ; 40 ; DATR ; 453 
 4348 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 3 ; леший 88 ; 31 
 4349 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 43 ; RusScat ; 622 
 4350 ; 500 рублей ; 1912 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 58 ; sonegr ; 261 
 4351 ; 500 рублей. 2 шт ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 24 ; Lasto4kaSPB ; 267 
 4142 ; 25 рублей ; 1899 ; Тимашев 1903. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 78 ; ac ; 6762 
 4143 ; 5 рублей золотом ; 1923 ; Транспортный сертификат Комиссариата Путей Сообщения ;  ;  ; 39 ; 4758 ; 27640 
