 5633 ; Бона иностранная ;  ;  ;  ;  ; 7 ; северянин ; 30 
 5603 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 2128508 ; 79 
 5604 ; Бона иностранная ;  ;  ;  ;  ; 27 ; zamectitel ; 112 
 5605 ; Бона иностранная ;  ;  ;  ;  ; 10 ; CROWN78 ; 30 
 5606 ; Бона иностранная ;  ;  ;  ;  ; 20 ; spstudio ; 61 
 5607 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Папа с рацией ; 73 
 5608 ; Бона иностранная ;  ;  ;  ;  ; 18 ; ZIMOGOR ; 42 
 5609 ; Бона иностранная ;  ;  ;  ;  ; 5 ; bva150979 ; 102 
 5610 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Папа с рацией ; 50 
 5611 ; Бона иностранная ;  ;  ;  ;  ; 3 ; bva150979 ; 102 
 5612 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Папа с рацией ; 50 
 5613 ; Бона иностранная ;  ;  ;  ;  ; 16 ; ZIMOGOR ; 57 
 5614 ; Бона иностранная ;  ;  ;  ;  ; 7 ; газета ; 22 
 5615 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Папа с рацией ; 113 
 5616 ; Бона иностранная ;  ;  ;  ;  ; 8 ; CROWN78 ; 31 
 5617 ; Бона иностранная ;  ;  ;  ;  ; 5 ; doc2 ; 101 
 5618 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 2128508 ; 22 
 5619 ; Бона иностранная ;  ;  ;  ;  ; 5 ; zamectitel ; 50 
 5620 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 10 
 5621 ; Бона иностранная ;  ;  ;  ;  ; 7 ; zamectitel ; 50 
 5622 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 9 
 5623 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 9 
 5624 ; Бона иностранная ;  ;  ;  ;  ; 3 ; я8844 ; 9 
 5625 ; Бона иностранная ;  ;  ;  ;  ; 40 ; на полчасика ; 170 
 5626 ; Бона иностранная ;  ;  ;  ;  ; 9 ; CROWN78 ; 30 
 5627 ; Бона иностранная ;  ;  ;  ;  ; 9 ; CROWN78 ; 30 
 5628 ; Бона иностранная ;  ;  ;  ;  ; 10 ; SemAN ; 30 
 5629 ; Бона иностранная ;  ;  ;  ;  ; 7 ; газета ; 125 
 5630 ; Бона иностранная ;  ;  ;  ;  ; 24 ; bva150979 ; 110 
 5631 ; Бона иностранная ;  ;  ;  ;  ; 3 ; bva150979 ; 101 
 5632 ; Бона иностранная ;  ;  ;  ;  ; 7 ; северянин ; 30 
 5533 ; Бона иностранная ;  ;  ;  ;  ; 87 ; masterovoi ; 2093 
 5534 ; Бона иностранная ;  ;  ;  ;  ; 13 ; CROWN78 ; 51 
 5535 ; Бона иностранная ;  ;  ;  ;  ; 33 ; газета ; 82 
 5536 ; Бона иностранная ;  ;  ;  ;  ; 9 ; я8844 ; 16 
 5537 ; Бона иностранная ;  ;  ;  ;  ; 16 ; CROWN78 ; 30 
 5538 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Папа с рацией ; 50 
 5539 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Monata ; 106 
 5540 ; Бона иностранная ;  ;  ;  ;  ; 23 ; kozerog ; 100 
 5541 ; Бона иностранная ;  ;  ;  ;  ; 19 ; kozerog ; 60 
 5542 ; Бона иностранная ;  ;  ;  ;  ; 15 ; kozerog ; 50 
 5543 ; Бона иностранная ;  ;  ;  ;  ; 34 ; AID57 ; 260 
 5544 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 2128508 ; 101 
 5545 ; Бона иностранная ;  ;  ;  ;  ; 27 ; cr2952 ; 50 
 5546 ; Бона иностранная ;  ;  ;  ;  ; 12 ; kozerog ; 77 
 5547 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Виталий 64 ; 150 
 5548 ; Бона иностранная ;  ;  ;  ;  ; 19 ; zamectitel ; 120 
 5549 ; Бона иностранная ;  ;  ;  ;  ; 16 ; jugla ; 81 
 5550 ; Бона иностранная ;  ;  ;  ;  ; 17 ; cr2952 ; 60 
 5551 ; Бона иностранная ;  ;  ;  ;  ; 14 ; на полчасика ; 125 
 5552 ; Бона иностранная ;  ;  ;  ;  ; 9 ; cochu ; 62 
 5553 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Папа с рацией ; 117 
 5554 ; Бона иностранная ;  ;  ;  ;  ; 13 ; kont ; 260 
 5555 ; Бона иностранная ;  ;  ;  ;  ; 10 ; jj ; 81 
 5556 ; Бона иностранная ;  ;  ;  ;  ; 11 ; на полчасика ; 30 
 5557 ; Бона иностранная ;  ;  ;  ;  ; 19 ; kozerog ; 108 
 5558 ; Бона иностранная ;  ;  ;  ;  ; 13 ; газета ; 41 
 5559 ; Бона иностранная ;  ;  ;  ;  ; 13 ; я8844 ; 29 
 5560 ; Бона иностранная ;  ;  ;  ;  ; 31 ; на полчасика ; 123 
 5561 ; Бона иностранная ;  ;  ;  ;  ; 12 ; CROWN78 ; 25 
 5562 ; Бона иностранная ;  ;  ;  ;  ; 9 ; на полчасика ; 61 
 5563 ; Бона иностранная ;  ;  ;  ;  ; 6 ; я8844 ; 23 
 5564 ; Бона иностранная ;  ;  ;  ;  ; 14 ; CROWN78 ; 32 
 5565 ; Бона иностранная ;  ;  ;  ;  ; 4 ; я8844 ; 23 
 5566 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Папа с рацией ; 61 
 5567 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Папа с рацией ; 61 
 5568 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Monata ; 50 
 5569 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Папа с рацией ; 50 
 5570 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Monata ; 340 
 5571 ; Бона иностранная ;  ;  ;  ;  ; 12 ; я8844 ; 41 
 5572 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Папа с рацией ; 101 
 5573 ; Бона иностранная ;  ;  ;  ;  ; 20 ; demodex ; 113 
 5574 ; Бона иностранная ;  ;  ;  ;  ; 11 ; северянин ; 40 
 5575 ; Бона иностранная ;  ;  ;  ;  ; 15 ; cr2952 ; 50 
 5576 ; Бона иностранная ;  ;  ;  ;  ; 9 ; max2008 ; 199 
 5577 ; Бона иностранная ;  ;  ;  ;  ; 5 ; bva150979 ; 119 
 5578 ; Бона иностранная ;  ;  ;  ;  ; 21 ; scipion ; 110 
 5579 ; Бона иностранная ;  ;  ;  ;  ; 25 ; nikfed ; 508 
 5580 ; Бона иностранная ;  ;  ;  ;  ; 14 ; я8844 ; 57 
 5581 ; Бона иностранная ;  ;  ;  ;  ; 5 ; max2008 ; 199 
 5582 ; Бона иностранная ;  ;  ;  ;  ; 5 ; bva150979 ; 102 
 5371 ; 5 облигаций. Каждая в 125 рублей. Общество Юго-Западных железных дорог ; 1885 ;  ;  ;  ; 30 ; на полчасика ; 906 
 5372 ; Облигация на 1000 марок. Общество Юго-Восточных железных дорог ; 1897 ;  ;  ;  ; 34 ; на полчасика ; 906 
 5373 ; Ценная бумага. Общество Француа Копена ; 1919 ;  ;  ;  ; 36 ; на полчасика ; 899 
 5374 ; Доля получателя. Общество горнорудного и промышленного производство Тамеги ; 1913 ;  ;  ;  ; 20 ; на полчасика ; 889 
 5375 ; Доля получателя общества Verlica Momignies. Бельгия ; 1944 ;  ;  ;  ; 12 ; seimens ; 510 
 5376 ; Акция в 500 лей. Угледобывающее общество. Бухарест ; 1927 ;  ;  ;  ; 12 ; seimens ; 680 
 5377 ; Доля получателя общества Tabacofina. Бельгия ; 1944 ;  ;  ;  ; 14 ; на полчасика ; 889 
 5378 ; Акция в 1000 марок. Общество Бременских трамвайных путей ; 1912 ;  ;  ;  ; 14 ; на полчасика ; 889 
 5379 ; Акция в 500 песет. Испания ; 1929 ;  ;  ;  ; 12 ; seimens ; 612 
 5380 ; Акция на 100 долларов. Аргентинская железнодорожная комнапия ;  ;  ;  ;  ; 14 ; на полчасика ; 889 
 5381 ; 5 акций. Общество химической промышленности г. Кима. Египет ; 1956 ;  ;  ;  ; 12 ; seimens ; 612 
 5382 ; Акция. Общество кинематографистов. Брюссель ; 1920 ;  ;  ;  ; 27 ; на полчасика ; 889 
 5383 ; Акция в 500 песет. Общество воды г.Барселона ; 1959 ;  ;  ;  ; 7 ; seimens ; 680 
 5384 ; Лот ценных бумаг Европы. 4 шт ;  ;  ;  ;  ; 15 ; seimens ; 793 
 5385 ; Бона 100 рублей. Сочи 2014. Серия АА ;  ;  ;  ;  ; 21 ; Fray ; 209 
 5386 ; Бона 100 рублей. Сочи 2014. Серия АА ;  ;  ;  ;  ; 13 ; на полчасика ; 203 
 5387 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 22 ; на полчасика ; 223 
 5388 ; Бона 100 рублей. Сочи 2014. Серия аа ;  ;  ;  ;  ; 21 ; mishakl ; 201 
 5501 ; Бона иностранная ;  ;  ;  ;  ; 8 ; CROWN78 ; 25 
 5502 ; Бона иностранная ;  ;  ;  ;  ; 5 ; CROWN78 ; 24 
 5503 ; Бона иностранная ;  ;  ;  ;  ; 5 ; CROWN78 ; 24 
 5504 ; Бона иностранная ;  ;  ;  ;  ; 5 ; CROWN78 ; 24 
 5505 ; Бона иностранная ;  ;  ;  ;  ; 5 ; CROWN78 ; 24 
 5506 ; Бона иностранная ;  ;  ;  ;  ; 5 ; CROWN78 ; 24 
 5507 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 23 
 5508 ; Бона иностранная ;  ;  ;  ;  ; 4 ; я8844 ; 23 
 5509 ; Бона иностранная ;  ;  ;  ;  ; 4 ; я8844 ; 22 
 5510 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Папа с рацией ; 50 
 5511 ; Бона иностранная ;  ;  ;  ;  ; 5 ; я8844 ; 23 
 5512 ; Бона иностранная ;  ;  ;  ;  ; 35 ; Брик ; 36 
 5513 ; Бона иностранная ;  ;  ;  ;  ; 8 ; smel ; 30 
 5514 ; Бона иностранная ;  ;  ;  ;  ; 8 ; северянин ; 31 
 5515 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Скрудж ; 27 
 5516 ; Бона иностранная ;  ;  ;  ;  ; 7 ; advokatx ; 31 
 5517 ; Бона иностранная ;  ;  ;  ;  ; 5 ; smel ; 30 
 5518 ; Бона иностранная ;  ;  ;  ;  ; 10 ; CROWN78 ; 28 
 5519 ; Бона иностранная ;  ;  ;  ;  ; 12 ; CROWN78 ; 28 
 5520 ; Бона иностранная ;  ;  ;  ;  ; 23 ; CROWN78 ; 39 
 5521 ; Бона иностранная ;  ;  ;  ;  ; 12 ; CROWN78 ; 28 
 5522 ; Бона иностранная ;  ;  ;  ;  ; 14 ; sos1 ; 90 
 5523 ; Бона иностранная ;  ;  ;  ;  ; 14 ; sos1 ; 90 
 5524 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Папа с рацией ; 50 
 5525 ; Бона иностранная ;  ;  ;  ;  ; 10 ; CROWN78 ; 33 
 5526 ; Бона иностранная ;  ;  ;  ;  ; 8 ; CROWN78 ; 31 
 5527 ; Бона иностранная ;  ;  ;  ;  ; 5 ; smel ; 30 
 5528 ; Бона иностранная ;  ;  ;  ;  ; 7 ; smel ; 30 
 5529 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Майкл ; 50 
 5530 ; Бона иностранная ;  ;  ;  ;  ; 6 ; я8844 ; 41 
 5531 ; Бона иностранная ;  ;  ;  ;  ; 8 ; CROWN78 ; 41 
 5532 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Monata ; 61 
 5321 ; 5 рублей. 30 шт ; 1909 ; Денежные знаки ;  ;  ; 25 ; 200 ; 793 
 5322 ; 1000 рублей. 5 шт ; 1917 ; Денежные знаки ;  ;  ; 36 ; kop ; 655 
 5323 ; 250 рублей. 7 шт ; 1917 ; Денежные знаки ;  ;  ; 59 ; ac ; 680 
 5324 ; Лот бон 9 ш. 250 и 1000 рублей ; 1917 ;  ;  ;  ; 28 ; stark-2006 ; 717 
 5325 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 19 ; GERo ; 51 
 5326 ; 1 рубль ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 21 ; agent 007 ; 1561 
 5327 ; 5 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 95 ; картуш ; 5500 
 5328 ; 10 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 39 ; картуш ; 1800 
 5329 ; 1 червонец ; 1937 ; Билет ;  ;  ; 28 ; sts ; 286 
 5330 ; 10 рублей ; 1918 ;  ;  ;  ; 5 ; natalka ; 189 
 5331 ; 25 рублей ; 1918 ;  ;  ;  ; 11 ; vowa ; 465 
 5332 ; 100 рублей ; 1918 ;  ;  ;  ; 76 ; masterovoi ; 2607 
 5333 ; 1000 рублей ; 1923 ; Закавказье ;  ;  ; 13 ; DESIGNER ; 524 
 5334 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 27 ; Uri ; 665 
 5335 ; 5000 рублей ; 1919 ;  ;  ;  ; 14 ; Markel ; 500 
 5336 ; Лот бон 1 рубль. 12 шт ; 1898 ;  ;  ;  ; 32 ; 1879 ; 347 
 5337 ; Лот бон 1 рубль. 19 шт ; 1898 ;  ;  ;  ; 16 ; SANGOLD1 ; 578 
 5338 ; Лот бон 5 шт ;  ;  ;  ;  ; 15 ; kop ; 235 
 5339 ; Лот бон 4 шт ;  ;  ;  ;  ; 24 ; я8844 ; 139 
 5340 ; Лот бон 3 рубля 13 шт.( Коншин,Шипов) ; 1905 ;  ;  ;  ; 18 ; 1879 ; 340 
 5341 ; Лот бон 5 рублей 21 шт.( Коншин,Шипов) ; 1909 ;  ;  ;  ; 22 ; 1879 ; 559 
 5342 ; Лот бон 10 рублей 25 шт.( Коншин,Шипов) ; 1909 ;  ;  ;  ; 44 ; 1879 ; 675 
 5343 ; Лот бон 25 рублей 3 шт ; 1909 ;  ;  ;  ; 27 ; spstudio ; 451 
 5344 ; Лот бон 20 рублей 11 шт ;  ;  ;  ;  ; 15 ; cr2952 ; 63 
 5345 ; Лот бон 250 и 1000 рублей 5 шт ; 1917 ;  ;  ;  ; 35 ; cr2952 ; 450 
 5346 ; Лот бон 500,1000 и 5000 рублей. 5 шт ; 1918 ;  ;  ;  ; 14 ; malshy ; 420 
 5347 ; Лот бон 5000 и 1000 рублей ; 1919 ;  ;  ;  ; 24 ; malshy ; 1236 
 5348 ; Лот бон 7 шт ;  ;  ;  ;  ; 61 ; malshy ; 1529 
 5349 ; Лот бон 8 шт ;  ;  ;  ;  ; 24 ; malshy ; 828 
 5350 ; 100 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 48 ; картуш ; 1083 
 5351 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 35 ; Fliege1 ; 975 
 5352 ; Лот бон 3 шт ; 1910-1918 ;  ;  ;  ; 26 ; ЛАВ-13 ; 491 
 5353 ; Лот бон 5 шт ; 1905-1947 ;  ;  ;  ; 20 ; sts ; 410 
 5354 ; Талон 5 копеек "АРКТИКУГОЛЬ" ;  ;  ;  ;  ; 19 ; ЛАВ-13 ; 227 
 5355 ; Вексель 450 лат Латвия ; 1928 ;  ;  ;  ; 30 ; на полчасика ; 551 
 5356 ; Чек банка Латвии ;  ;  ;  ;  ; 45 ; benc ; 4590 
 5357 ; Билет в 10 лат ; 1937 ;  ;  ;  ; 39 ; на полчасика ; 708 
 5358 ; Квитанция Гос.банка ; 1913 ;  ;  ;  ; 25 ; на полчасика ; 531 
 5359 ; 5 облигаций, каждая в 125 рублей. С купонами. Общество Владикавказской железной дороги ; 1894 ;  ;  ;  ; 27 ; на полчасика ; 816 
 5360 ; Облигация в 125 рублей. Николаевская железная дорога ; 1869 ;  ;  ;  ; 18 ; на полчасика ; 906 
 5361 ; Облигация на 2000 марок. Общество Рязанско-Уральской железной дороги ; 1897 ;  ;  ;  ; 25 ; на полчасика ; 1134 
 5362 ; Свидетельство на гос.ренту на капитал в 100 рублей. С купонами.  Российское императорское правительство ; 1902 ;  ;  ;  ; 43 ; на полчасика ; 944 
 5363 ; Облигация в 125 рублей металлических. Четырехпроцентные облигации российских железных дорог ; 1880 ;  ;  ;  ; 28 ; на полчасика ; 891 
 5364 ; Облигация на 500 марок. Общество Московско-Виндаво-Рыбинской железной дороги ; 1897 ;  ;  ;  ; 23 ; на полчасика ; 906 
 5365 ; Облигация на 1000 марок. Общество Рыбинской железной дороги ; 1895 ;  ;  ;  ; 31 ; на полчасика ; 1593 
 5366 ; Облигация в 125 рублей золотом. Общество Рязанско-Уральской железной дороги ; 1894 ;  ;  ;  ; 45 ; андрей1957 ; 2081 
 5367 ; Облигация в 125 рублей золотом. Общество Ряжско-Вяземской железной дороги ; 1889 ;  ;  ;  ; 25 ; на полчасика ; 906 
 5368 ; Облигация в 189 рублей. Общество Черноморско-Кубанской железной дороги ; 1911 ;  ;  ;  ; 18 ; на полчасика ; 1020 
 5369 ; Облигация на 600 марок. Общество Козлово-Воронежско-Ростовской железной дороги ; 1887 ;  ;  ;  ; 23 ; на полчасика ; 906 
 5370 ; Облигация на 125 рублей металлических. Общесвто Тамбовско-Саратовской железной дороги ; 1881 ;  ;  ;  ; 31 ; на полчасика ; 1190 
 5081 ; 1 рубль ; 1898 ; Тимашев. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 24 ; 1879 ; 204 
 5082 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 16 ; GERo ; 56 
 5083 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 7 ; v81 ; 56 
 5084 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 28 ; Fliege1 ; 166 
 5085 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 21 ; SANGOLD1 ; 104 
 5086 ; 1 марка ; 1919 ;  ;  ;  ; 3 ; газета ; 327 
 5087 ; 1 рубль ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 39 ; Fliege1 ; 695 
 5088 ; 3 рубля ; 1919 ;  ;  ;  ; 26 ; vowa ; 463 
 5089 ; Билет лотереи Московской комиссии последгол. ; 1923 ;  ;  ;  ; 51 ; Andrew_78 ; 1652 
 5090 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 48 ; sts ; 348 
 5091 ; 10 червонцев ; 1937 ; Билет ;  ;  ; 5 ; Tritiy2 ; 500 
 5092 ; 1000 рублей ; 1919 ;  ;  ;  ; 24 ; ЛАВ-13 ; 2311 
 5093 ; 50 рублей ; 1899 ; Коншин 1910 г. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 47 ; Fliege1 ; 1338 
 5094 ; 100 рублей. Образец ; 1947 ; билет ;  ;  ; 38 ; ЛАВ-13 ; 3810 
 5095 ; 100 рублей ; 1898 ; Тимашев 1903. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 31 ; sts ; 2546 
 5096 ; 500 рублей ; 1912 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 35 ; Fliege1 ; 448 
 5097 ; 500 рублей ; 1912 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; sts ; 532 
 5098 ; 5000 рублей ; 1919 ;  ;  ;  ; 56 ; SANGOLD1 ; 3230 
 5099 ; 1000 рублей ; 1917 ; 5% кр.обязательства ;  ;  ; 13 ; ЛАВ-13 ; 3059 
 5100 ; 1000 рублей ; 1917 ; 5% кр.обязательства ;  ;  ; 26 ; кве ; 3059 
 5101 ; 10,15,20 копеек (12 шт) ; 1915 ;  ;  ;  ; 16 ; CROWN78 ; 102 
 5102 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 6 ; я8844 ; 78 
 5103 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 20 ; я8844 ; 73 
 5104 ; 100,200 рублей (9 шт) ; 1993 ;  ;  ;  ; 13 ; stark-2006 ; 80 
 5105 ; 10 рублей (6 шт) ; 1961 ;  ;  ;  ; 17 ; Livon ; 61 
 5106 ; 25 рублей (7 шт) ; 1961 ;  ;  ;  ; 7 ; Брик ; 70 
 5107 ; 5 рублей (9 шт) ; 1909 ;  ;  ;  ; 16 ; 1879 ; 255 
 5108 ; 10 рублей (8 шт) ; 1909 ;  ;  ;  ; 11 ; ga2012 ; 254 
 5109 ; Акция ; 1977 ;  ;  ;  ; 3 ; 333985 ; 12 
 5110 ; Акция ; 1925 ;  ;  ;  ; 16 ; von_Schwarz ; 612 
 5301 ; 10 рублей ; 1812 ; Ассигнация ;  ;  ; 45 ; Марик ; 42449 
 5302 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 32 ; bonipari ; 668 
 5303 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 12 ; molodes ; 204 
 5304 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 42 ; Fliege1 ; 1859 
 5305 ; 50 рублей ; 1899 ; Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 47 ; salim ; 444 
 5306 ; 25 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 45 ; фанто-мас ; 1700 
 5307 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 33 ; spstudio ; 465 
 5308 ; 10 рублей ; 1909 ; Тимашев. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 53 ; bonist-3A ; 1000 
 5309 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 26 ; нв1975 ; 375 
 5310 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 7 ; 1879 ; 50 
 5311 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 7 ; Aleksey 76 ; 56 
 5312 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 7 ; Aleksey 76 ; 56 
 5313 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 20 ; majkl ; 82 
 5314 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; SANGOLD1 ; 83 
 5315 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 15 ; Ксения ; 30 
 5316 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 7 ; CROWN78 ; 48 
 5317 ; 3 рубля ; 1905 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 16 ; Fliege1 ; 76 
 5318 ; 3 рубля ; 1905 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 24 ; cr2952 ; 110 
 5319 ; Лот бон 8 шт. 3,5,10,25 рублей ( Коншин) ; 1905-1909 ;  ;  ;  ; 38 ; 1879 ; 245 
 5320 ; 10 рублей. 30 шт ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 26 ; 1879 ; 793 
 5031 ; 10 рублей ; 1947 ; билет ;  ;  ; 37 ; картуш ; 2011 
 5032 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 3 ; dpekin ; 50 
 5033 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 5 ; CROWN78 ; 50 
 5034 ; 5 рублей ; 1909 ; Денежные знаки ;  ;  ; 26 ; CROWN78 ; 50 
 5035 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 14 ; Fliege1 ; 104 
 5036 ; 50 рублей ; 1947 ; билет ;  ;  ; 42 ; Carca^ss ; 1578 
 5037 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; dpekin ; 159 
 5038 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; тикси3 ; 123 
 5039 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 23 ; happy ; 357 
 5040 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 12 ; нв1975 ; 655 
 5041 ; 50 копеек ;  ;  ;  ;  ; 5 ; ек ; 22 
 5042 ; 10 копеек ;  ;  ;  ;  ; 3 ; ек ; 45 
