 6635 ; Часы наручные ORIENT UTAD-CO, кварц. Япония. ;  ;  ; Б/м ;  ; 33 ; Yamilov ; 1700 
 6675 ; Сочинения Лажечникова. Ледяной дом. Издание товарищества М.О. Вольфб. 1899. 200х135 мм. 250 стр. ;  ;  ;  ;  ; 17 ; Fortyna 12 ; 510 
 6676 ; Пуговица Санкт-Петербург D-25мм ;  ;  ; Ж/м ;  ; 82 ; svzg ; 665 
 6677 ; Пуговица Санкт-Петербург 1 сорт D-22мм ;  ;  ; Ж/м ;  ; 23 ; electra ; 89 
 6678 ; Пуговица "Слаба" 1 сорт D-22мм ;  ;  ; Б/м ;  ; 33 ; stilsb ; 327 
 6679 ; Пуговица Забойкальской D-15мм ;  ;  ; Ж/м ;  ; 86 ; doc2 ; 1976 
 6680 ; Лот пуговиц Швеции: 5шт ;  ;  ; Ж/м ;  ; 9 ; vladimirov ; 185 
 6450 ; Специализированный каталог почтовых марок 1923-1940 СССР 5. Часть 1. Санкт-Петербург Стандарт-Коллекция 1999 ;  ;  ;  ;  ; 26 ; NNN ; 153 
 6451 ; Российский императорский флота в знаках и жетонах. Санкт-Петербург ФОРТЭКС 2002 ;  ;  ;  ;  ; 73 ; Russman ; 234 
 6452 ; А.А. Жуков. В.П. Малышев. Энциклопедия Денежные эмиссии Закавказья. Грузия, Азербайджан, Армения. 1917-1924гг. Санкт-Петербург 2008 ;  ;  ;  ;  ; 72 ; vlad77 ; 903 
 6453 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 27 ; oliver ; 227 
 6454 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 23 ; Ydflpcs ; 184 
 6455 ; LEONID KATS. Монеты мира с животными 1800-06.2010г. ;  ;  ;  ;  ; 20 ; murew ; 614 
 6456 ; Петербург история банков. Санкт-Петербург 2001г. ;  ;  ;  ;  ; 24 ; Affliction ; 789 
 6457 ; Награды новой России. Санкт-Петербург 1997г. ;  ;  ;  ;  ; 28 ; cr5400 ; 297 
 6458 ; Каталог World Animal Coins 1800-06.2010. Выпуск 1 ;  ;  ;  ;  ; 10 ; murew ; 680 
 6459 ; Оптовый лот, 20 книг. Каталог-справочник. Монеты РСФСР, СССР и России 1921-2014 годов, 38 редакция ;  ;  ;  ;  ; 29 ; Rico ; 214 
 6460 ; Оптовый лот, 10 книг. Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, март 2020 год ;  ;  ;  ;  ; 60 ; статир ; 1104 
 6461 ; Оптовый лот, 10 книг.  Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 30 ; статир ; 602 
 6462 ; Оптовый лот, 52 книги (коробка). Псевдонимы российского рубля ;  ;  ;  ;  ; 3 ; оптовичок ; 306 
 6463 ; Оптовый лот, 20 книг. Подделки российских монет. В. Е. Семенов ;  ;  ;  ;  ; 29 ; статир ; 3333 
 6464 ; Оптовый лот. 10 книг. Русские деньги X-XVII вв. Редакция 7, 2019. В. Е. Семенов ;  ;  ;  ;  ; 23 ; garikms ; 724 
 6465 ; Оптовый лот, 20 книг. Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 34 ; статир ; 3498 
 6601 ; Икона Господь Вседержитель (Спас). ;  ;  ;  ;  ; 149 ; QSL ; 16830 
 6602 ; Статуэтка Лошадь, бронза, основание камень. ;  ;  ; Ж/м ;  ; 111 ; SNL ; 7854 
 6603 ; Половник для супа, серебро 84, КП, А.К1849. ;  ;  ; Ag84 ;  ; 75 ; лена ; 14135 
 6604 ; Ситечко серебро 84, А.Ш1893. ;  ;  ; Ag84 ;  ; 57 ; генадич ; 17375 
 6605 ; Ложка столовая, серебро 84, ГРАЧЕВЫ. ;  ;  ; Ag84 ;  ; 56 ; лена ; 5414 
 6606 ; Ложка столовая, серебро 84, И.Е1878. ;  ;  ; Ag84 ;  ; 33 ; lora ; 3514 
 6607 ; Половник для соуса, серебро. Европа. ;  ;  ; Ag830 ;  ; 23 ; MikeWinger ; 1767 
 6608 ; Вилка столовая, серебро 84, МОРОЗОВЪ, АН. ;  ;  ; Ag84 ;  ; 52 ; генадич ; 5100 
 6609 ; Ложка для меда, серебро 84, В.С1878. ;  ;  ; Ag84 ;  ; 95 ; ВЕПРЬ ; 2887 
 6610 ; Ложка чайная, серебро 84. ;  ;  ; Ag84 ;  ; 35 ; генадич ; 1650 
 6611 ; Ложка чайная витая, серебро 84, ХИ. ;  ;  ; Ag84 ;  ; 33 ; Бигль ; 1546 
 6612 ; Ложка чайнапя витая, серебро 84. ;  ;  ; Ag84 ;  ; 38 ; Alexander_Er ; 1500 
 6613 ; Ложка чайная витая, серебро 84, СТЮ ;  ;  ; Ag84 ;  ; 24 ; Alexander_Er ; 1286 
 6614 ; Две стопки серебро. ;  ;  ; Ag916 ;  ; 72 ; lora ; 4590 
 6615 ; Брошь серебро. Европа ;  ;  ; Ag830 ;  ; 49 ; murew ; 1111 
 6616 ; Перстень мужской, серебро, янтарь. Европа ;  ;  ; Ag830 ;  ; 75 ; barsa15 ; 3421 
 6617 ; Набор кольцо и серьги, серебро в подарочной упаковке. ;  ;  ; Ag925 ;  ; 35 ; Yamilov ; 1373 
 6618 ; Крест нательный, серебро. Европа ;  ;  ; Ag835 ;  ; 102 ; vit2503 ; 2493 
 6619 ; Кулон подкова, серебро. ;  ;  ; Ag925 ;  ; 51 ; Alexim ; 305 
 6620 ; Кулон серебрение. ;  ;  ; Б/м ;  ; 24 ; murew ; 906 
 6621 ; Компактное зеркальце, серебрение. ;  ;  ; Б/м ;  ; 53 ; боровик ; 1015 
 6622 ; Накладка на каску 1914-1918. Франция. ;  ;  ; Ж/м ;  ; 21 ; melkore ; 2267 
 6623 ; Икона БМ ;  ;  ;  ;  ; 23 ; Yamilov ; 1077 
 6624 ; Крест киотный, латунь. ;  ;  ; Ж/м ;  ; 86 ; Атлантик ; 2833 
 6625 ; Часы настольные Mauthe, латунь. Германия. ;  ;  ; Ж/м ;  ; 57 ; QSL ; 1926 
 6626 ; Статуэтка фарфоровая Мальчик пограничник. ЛФЗ ;  ;  ;  ;  ; 38 ; V5 ; 1988 
 6627 ; Плакетка ВМФ. ;  ;  ; Ж/м ;  ; 19 ; красносёл ; 365 
 6628 ; Статуэтка гипсовая Тайная вечеря. ;  ;  ;  ;  ; 20 ; никсер ; 347 
 6629 ; Зажим для галстука и запонки, янтарь. ;  ;  ; Ж/м ;  ; 34 ; Батя13 ; 526 
 6630 ; Брошь янтарь. ;  ;  ; Ж/м ;  ; 11 ; Бигимот ; 453 
 6631 ; Киносъемочная камера Спорт-2 в оригинальном футляре. ;  ;  ;  ;  ; 48 ; Nexus ; 10925 
 6632 ; Лот подстаканников 2 шт. ;  ;  ; Б/м ;  ; 28 ; Сильвестр ; 567 
 6633 ; Рог сувенирный. ;  ;  ;  ;  ; 57 ; Nexus ; 567 
 6634 ; Секундомер Агат, с паспортом в оригинальном футляре. ;  ;  ; Б/м ;  ; 69 ; QSL ; 612 
 6329 ; Лот почтовых конвертов со спецгашением (2 штуки) ;  ;  ;  ;  ; 9 ; спарта ; 26 
 6401 ; Картина. Ф. Бурцев. 1960-е годы ;  ;  ;  ;  ; 44 ; PROFAN2020 ; 1224 
 6402 ; Картина. Ф. Бурцев. 1960-е годы ;  ;  ;  ;  ; 19 ; Dimaoffo ; 465 
 6403 ; Картина. Ф. Бурцев. 1960-е годы ;  ;  ;  ;  ; 19 ; siw03 ; 816 
 6404 ; Картина. Ф. Бурцев. 1960-е годы ;  ;  ;  ;  ; 54 ; coiner ; 2560 
 6405 ; Картина. Ф. Бурцев. 1960-е годы ;  ;  ;  ;  ; 28 ; siw03 ; 2652 
 6406 ; Картина. Ф. Бурцев. 1960-е годы ;  ;  ;  ;  ; 30 ; Alexim ; 725 
 6407 ; Картина. Церковь. Подпись - Селезнев 86 ;  ;  ;  ;  ; 22 ; Meshok ; 256 
 6408 ; Картина. Неизвестный художник. Парк Монрепо, г. Выборг. СССР, 1980-е годы ;  ;  ;  ;  ; 19 ; palermo ; 319 
 6409 ; Картина. Кузнецов, Вагнер. Святочное гадание. 1953 г ;  ;  ;  ;  ; 35 ; Монеты России ; 5005 
 6410 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 93 ; canario ; 1047 
 6411 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 64 ; SSK ; 1250 
 6412 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 15 ; Ydflpcs ; 251 
 6413 ; Куда уходят деньги? В. Е. Семенов ;  ;  ;  ;  ; 26 ; АлексейЕ ; 99 
 6414 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 47 ; SSK ; 371 
 6415 ; Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 30 ; CoinM ; 260 
 6416 ; Подделки российских монет. В. Е. Семенов ;  ;  ;  ;  ; 13 ; SpAi ; 306 
 6417 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 31 ; canario ; 74 
 6418 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 12 ; canario ; 76 
 6419 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 16 ; Rico ; 76 
 6420 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 34 ; Barin13 ; 129 
 6421 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 28 ; predicat ; 135 
 6422 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 15 ; Angstrem ; 127 
 6423 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 17 ; Angstrem ; 250 
 6424 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 47 ; carre ; 261 
 6425 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 30 ; Svatoi88 ; 255 
 6426 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 24 ; Rico ; 200 
 6427 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 16 ; Rico ; 255 
 6428 ; Каталог-справочник "Бумажные деньги России". Часть II. Редакция 8, 2015 год ;  ;  ;  ;  ; 24 ; Barin13 ; 159 
 6429 ; Каталог-справочник. Награды Российской Империи. Часть I. Ордена и знаки отличия. Редакция 5 ;  ;  ;  ;  ; 31 ; Andre_Vladi ; 122 
 6430 ; Каталог-справочник. Монеты Молдовы и Приднестровья. Редакция 1, 2019 год ;  ;  ;  ;  ; 30 ; Бигль ; 79 
 6431 ; Каталог-справочник. Монеты Украины 1992-2020 годы. Редакция 7, 2020 год ;  ;  ;  ;  ; 30 ; Alexim ; 76 
 6432 ; В. П. Малышев. ЭНЦИКЛОПЕДИЯ. Денежные эмиссии региональных и местных правительств России 1917-1923 гг ;  ;  ;  ;  ; 10 ; Rico ; 132 
 6433 ; Репринтное издание. Ю. Иверсена. 1874 год. Неизданные и редкие русские медали ;  ;  ;  ;  ; 26 ; Андрей/Пермь ; 28 
 6434 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2014 годов, 38 редакция ;  ;  ;  ;  ; 38 ; Rico ; 90 
 6435 ; Каталог-справочник. Юбилейные и памятные монеты Казахстана 1995-2013 гг. Редакция 3, 2013 год ;  ;  ;  ;  ; 4 ; bobbar ; 10 
 6436 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 8, 2008 год ;  ;  ;  ;  ; 8 ; Rico ; 61 
 6437 ; Каталог-справочник "Бумажные деньги России". Часть II. 7-я редакция.  2012 год ;  ;  ;  ;  ; 20 ; NANDRE ; 44 
 6438 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 10, 2014 год ;  ;  ;  ;  ; 14 ; NANDRE ; 306 
 6439 ; Фалеристика всесоюзного студенческого отряда. Санкт-Петербург. Издательство "Александр Принт" 2009 ;  ;  ;  ;  ; 26 ; жених ; 340 
 6440 ; Журнал. Петербургский коллекционер 5 (109) 2018 ;  ;  ;  ;  ; 15 ; Сильвестр ; 112 
 6441 ; Журнал. Петербургский коллекционер 1 (105) 2018 ;  ;  ;  ;  ; 76 ; Alexim ; 101 
 6442 ; Журнал. Петербургский коллекционер 2 (88) 2015 ;  ;  ;  ;  ; 12 ; Бигль ; 104 
 6443 ; И.В. Гришин. В.Н. Клещинов. Каталог русских средневековых монет времени правления царя Михаила Федоровича (1613-1945гг.) ;  ;  ;  ;  ; 39 ; vit2503 ; 1156 
 6444 ; Журнал. Петербургский коллекционер 3 (89) 2015 ;  ;  ;  ;  ; 7 ; Dahan ; 101 
 6445 ; И.В. Гришин, Храменков А.В.  Типы русских монет от Ивана Грозного до Петра Великого с указанием цен. 2017 ;  ;  ;  ;  ; 46 ; vit2503 ; 1167 
 6446 ; И.В. Гришин, Храменков А.В.  Типы русских монет Великого Новгорода и Пскова с указанием цен. 2016 ;  ;  ;  ;  ; 37 ; vit2503 ; 1201 
 6447 ; И.В. Гришин, Храменков А.В.  Типы русских монет Великого Княжества Тверского с указанием цен. 2016 ;  ;  ;  ;  ; 94 ; vit2503 ; 1212 
 6448 ; В.В. Зайцев. Русские клейма на рублях и полтинах XIV-XVвв. 2018 ;  ;  ;  ;  ; 127 ; vit2503 ; 1274 
 6449 ; Каталог-справочник. Золотые монеты периода правления Николая II. ННР 2019 ;  ;  ;  ;  ; 42 ; 3457896 ; 751 
 6279 ; Почтовая карточка. Маргарет Нолан ;  ;  ;  ;  ; 2 ; cr2952 ; 137 
 6280 ; Почтовая карточка. Маргарет Нолан ;  ;  ;  ;  ; 2 ; cr2952 ; 137 
 6281 ; Почтовая карточка. Фредди Меркьюри ;  ;  ;  ;  ; 20 ; IgorPetrov51 ; 140 
 6282 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 2 ; cr2952 ; 137 
 6283 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 3 ; Бигль ; 140 
 6284 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 2 ; cr2952 ; 137 
 6285 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 2 ; cr2952 ; 137 
 6286 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 2 ; cr2952 ; 137 
 6287 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 10 ; Бигль ; 160 
 6288 ; Почтовая карточка ;  ;  ;  ;  ; 22 ; CoinM ; 108 
 6289 ; Почтовая карточка. Киев ;  ;  ;  ;  ; 52 ; Fortyna 12 ; 365 
 6290 ; Почтовая карточка. Киев ;  ;  ;  ;  ; 40 ; Сармат80 ; 670 
 6291 ; Почтовая карточка. Как у наших у ворот ;  ;  ;  ;  ; 27 ; Fortyna 12 ; 253 
 6292 ; Почтовая карточка. Вязьма ;  ;  ;  ;  ; 20 ; attila375 ; 266 
 6293 ; Почтовая карточка. Красноярск ;  ;  ;  ;  ; 23 ; benc ; 99 
 6294 ; Почтовая карточка. Петроград ;  ;  ;  ;  ; 20 ; nikkk1 ; 148 
 6295 ; Почтовая карточка. Типы студентов ;  ;  ;  ;  ; 22 ; doc2 ; 1395 
 6296 ; Лот почтовых карточек (3 штуки) ;  ;  ;  ;  ; 14 ; Бигль ; 148 
 6297 ; Лот почтовых конвертов со спецгашением (3 штуки) ;  ;  ;  ;  ; 12 ; vlatskyv ; 72 
 6298 ; Фотоальбом с жетоном "Соревнования по мотокроссу" Чехословакия ; 1957 ;  ;  ;  ; 60 ; IgorPetrov51 ; 1825 
 6299 ; Лот открыток в буклете (10 штук, неполный комплект) ""Кукрыниксы" ;  ;  ;  ;  ; 30 ; лена ; 227 
 6300 ; Почтовая карточка ;  ;  ;  ;  ; 62 ; Valera72 ; 340 
 6301 ; Лот почтовых карточек (5 штук) ;  ;  ;  ;  ; 27 ; Сильвестр ; 124 
 6302 ; Лот открыток в буклете (16 штук) "Сказки Бажова" ; 1976 ;  ;  ;  ; 18 ; vladmarkin ; 82 
 6303 ; Почтовый конверт с  гашением и марками ; 1975 ;  ;  ;  ; 16 ; QSL ; 63 
 6304 ; Конверт со спецгашением. "Космос" ; 1963 ;  ;  ;  ; 42 ; Сильвестр ; 118 
 6305 ; Конверт со спецгашением. "Космос" ;  ;  ;  ;  ; 36 ; Сильвестр ; 116 
 6306 ; Конверт "Всесоюзная Коммунистическая Партия (большевиков) ;  ;  ;  ;  ; 39 ; von_Schwarz ; 142 
 6307 ; Почтовый конверт с  гашением ;  ;  ;  ;  ; 30 ; ulf ; 81 
 6308 ; Почтовый конверт с  гашением ;  ;  ;  ;  ; 5 ; ulf ; 79 
 6309 ; Почтовый конверт с  гашением ;  ;  ;  ;  ; 7 ; ulf ; 57 
 6310 ; Почтовый конверт с  гашением ;  ;  ;  ;  ; 5 ; ulf ; 46 
 6311 ; Почтовый конверт с  гашением ;  ;  ;  ;  ; 27 ; ulf ; 108 
 6312 ; Лот конвертов со спецгашением (2 штуки) ; 1964 ;  ;  ;  ; 45 ; Сильвестр ; 189 
 6313 ; Конверт со спецгашением. Первая годовщина группового полёта ; 1963 ;  ;  ;  ; 35 ; Сильвестр ; 148 
 6314 ; Лот конвертов со спецгашением (2 штуки, Баку и Тбилиси) ; 1963 ;  ;  ;  ; 33 ; Сильвестр ; 81 
 6315 ; Конверт с гашением и маркой. 1886 год ;  ;  ;  ;  ; 71 ; carre ; 362 
 6316 ; Конверт с гашением. 1889 год ;  ;  ;  ;  ; 30 ; carre ; 340 
 6317 ; Лот: конверт и открытка со спецгашением ;  ;  ;  ;  ; 39 ; Сильвестр ; 167 
 6318 ; Почтовый конверт с  гашением и марками ;  ;  ;  ;  ; 59 ; Приор ; 310 
 6319 ; Лот почтовых конвертов (2 штуки) ; 2010 ;  ;  ;  ; 16 ; спасибо ; 25 
 6320 ; Лот почтовых конвертов (2 штуки) Азербайджан ;  ;  ;  ;  ; 3 ; cr5679 ; 20 
 6321 ; Лот почтовых конвертов (2 штуки) Трансантарктическая почта ; 1990 ;  ;  ;  ; 12 ; Сильвестр ; 68 
 6322 ; Лот почтовых конвертов (3 штуки) ;  ;  ;  ;  ; 15 ; cr5679 ; 34 
 6323 ; Лот КПД (4 штуки) ;  ;  ;  ;  ; 7 ; allur65 ; 30 
 6324 ; Лот КПД (4 штуки ) ;  ;  ;  ;  ; 7 ; cr5679 ; 31 
 6325 ; Конверт со спецгашением ; 1965 ;  ;  ;  ; 17 ; QSL ; 155 
 6326 ; Конверт со спецгашением ; 1960 ;  ;  ;  ; 18 ; vlatskyv ; 79 
 6327 ; Конверт со спецгашением ; 1963 ;  ;  ;  ; 19 ; Сильвестр ; 78 
 6328 ; Конверт со спецгашением ; 1962 ;  ;  ;  ; 7 ; спарта ; 13 
 6229 ; Почтовая карточка. Церковь Покрова на Нерли ;  ;  ;  ;  ; 49 ; oliver ; 567 
 6230 ; Почтовая карточка. Н.-Новгород ;  ;  ;  ;  ; 53 ; Agava ; 782 
 6231 ; Почтовая карточка. Н.-Новгород ;  ;  ;  ;  ; 45 ; Agava ; 495 
 6232 ; Почтовая карточка. Самара ;  ;  ;  ;  ; 27 ; barsa15 ; 153 
 6233 ; Лот почтовых карточек (3 штуки) ;  ;  ;  ;  ; 13 ; Чуча ; 125 
 6234 ; Лот почтовых карточек (2 штуки) ;  ;  ;  ;  ; 12 ; лена ; 90 
 6235 ; Лот почтовых карточек (3 штуки) Худ. В. Маяковский ;  ;  ;  ;  ; 54 ; dvm ; 592 
 6236 ; Почтовая карточка. С.-Петербург ;  ;  ;  ;  ; 58 ; Fortyna 12 ; 357 
 6237 ; Почтовая карточка. С.-Петербург ;  ;  ;  ;  ; 21 ; Gagarin ; 270 
 6238 ; Почтовая карточка. С.-Петербург ;  ;  ;  ;  ; 32 ; flutter ; 911 
 6239 ; Почтовая карточка. А.Беклин "Автопортрет" ;  ;  ;  ;  ; 17 ; Fortyna 12 ; 101 
 6240 ; Почтовая карточка. Ленинград в дни Отечественной войны ;  ;  ;  ;  ; 31 ; Fortyna 12 ; 255 
 6241 ; Почтовая карточка. Ленинград ;  ;  ;  ;  ; 18 ; Valera72 ; 55 
 6242 ; Лот почтовых карточек (3 штуки) ;  ;  ;  ;  ; 13 ; nikolas13 ; 90 
 6243 ; Лот почтовых карточек (3 штуки) ;  ;  ;  ;  ; 9 ; nikolas13 ; 61 
 6244 ; Лот почтовых карточек (4 штуки) ;  ;  ;  ;  ; 5 ; Markgraf ; 36 
 6245 ; Почтовая карточка ;  ;  ;  ;  ; 3 ; Markgraf ; 10 
 6246 ; Почтовая карточка ;  ;  ;  ;  ; 5 ; Gagarin ; 39 
 6247 ; Почтовая карточка. Какой простор! ;  ;  ;  ;  ; 1 ; Gagarin ; 78 
 6248 ; Лот почтовых карточек (7 штук) ;  ;  ;  ;  ; 13 ; CoinM ; 69 
 6249 ; Лот почтовых карточек (7 штук) "С праздником 1 мая!" ;  ;  ;  ;  ; 38 ; doc2 ; 615 
 6250 ; Лот почтовых карточек (7 штук) ;  ;  ;  ;  ; 13 ; никсер ; 80 
 6251 ; Лот почтовых карточек (8 штук) "За нашу Советскую Родину!" ;  ;  ;  ;  ; 15 ; никсер ; 239 
 6252 ; Лот почтовых карточек (8 штук) ;  ;  ;  ;  ; 18 ; Сильвестр ; 153 
 6253 ; Лот почтовых карточек (9 штук) ;  ;  ;  ;  ; 15 ; Сильвестр ; 114 
 6254 ; Почтовая карточка. Pin-Ups ;  ;  ;  ;  ; 16 ; Valera72 ; 51 
 6255 ; Почтовая карточка. Pin-Ups ;  ;  ;  ;  ; 6 ; ТАТ72 ; 50 
 6256 ; Почтовая карточка. Pin-Ups ;  ;  ;  ;  ; 7 ; ТАТ72 ; 50 
 6257 ; Почтовая карточка. Pin-Ups ;  ;  ;  ;  ; 6 ; ТАТ72 ; 50 
 6258 ; Почтовая карточка. Pin-Ups ;  ;  ;  ;  ; 6 ; ТАТ72 ; 50 
 6259 ; Почтовая карточка. Pin-Ups ;  ;  ;  ;  ; 6 ; ТАТ72 ; 50 
 6260 ; Почтовая карточка. Pin-Ups ;  ;  ;  ;  ; 7 ; ТАТ72 ; 50 
