 4816 ; Бона иностранная. Дания ; 1936 ;  ;  ; AU ; 68 ; POSHEXON ; 272 
 4808 ; Бона иностранная. Куба ;  ;  ;  ;  ; 58 ; Jan Grandier ; 611 
 4809 ; Бона иностранная. Республика СРПСКЕ ; 1993 ;  ;  ;  ; 30 ; Pro2 ; 102 
 4810 ; Бона иностранная. Республика СРПСКЕ ; 1993 ;  ;  ;  ; 37 ; SANGOLD1 ; 77 
 4811 ; Бона иностранная. Республика СРПСКЕ ; 1993 ;  ;  ;  ; 30 ; vladimir-sirke ; 82 
 4812 ; Бона иностранная. Республика СРПСКЕ ; 1993 ;  ;  ;  ; 20 ; vladimir-sirke ; 118 
 4813 ; Бона иностранная. Дания ; 1916 ;  ;  ; AU ; 42 ; asru ; 281 
 4814 ; Бона иностранная. Дания ; 1921 ;  ;  ; AU ; 46 ; tss ; 255 
 4815 ; Бона иностранная. Дания ; 1937 ;  ;  ;  ; 77 ; asru ; 238 
 4506 ; Бона иностранная ;  ;  ;  ;  ; 6 ; smel ; 40 
 4507 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 31 
 4508 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Oleg2000 ; 41 
 4509 ; Бона иностранная ;  ;  ;  ;  ; 1 ; у44 ; 40 
 4510 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Figaro65 ; 32 
 4511 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Figaro65 ; 31 
 4512 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 31 
 4513 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 86753 ; 32 
 4514 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Figaro65 ; 31 
 4515 ; Бона иностранная ;  ;  ;  ;  ; 6 ; afanas ; 35 
 4516 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Figaro65 ; 30 
 4517 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Figaro65 ; 32 
 4518 ; Бона иностранная ;  ;  ;  ;  ; 3 ; seechi ; 31 
 4519 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Figaro65 ; 30 
 4520 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Figaro65 ; 30 
 4521 ; Бона иностранная ;  ;  ;  ;  ; 3 ; -IROKEZ- ; 31 
 4522 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ъхз ; 30 
 4523 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ъхз ; 30 
 4524 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ъхз ; 30 
 4525 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ъхз ; 30 
 4526 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ъхз ; 30 
 4527 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ъхз ; 30 
 4528 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Ромбор ; 50 
 4529 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Ромбор ; 50 
 4530 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Ромбор ; 50 
 4531 ; Бона иностранная ;  ;  ;  ;  ; 3 ; raise ; 31 
 4532 ; Бона иностранная ;  ;  ;  ;  ; 3 ; raise ; 31 
 4533 ; Бона иностранная ;  ;  ;  ;  ; 6 ; raise ; 32 
 4534 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ъхз ; 30 
 4535 ; Бона иностранная ;  ;  ;  ;  ; 3 ; raise ; 31 
 4536 ; Бона иностранная ;  ;  ;  ;  ; 3 ; ъхз ; 30 
 4537 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ъхз ; 30 
 4538 ; Бона иностранная ;  ;  ;  ;  ; 9 ; smel ; 40 
 4539 ; Бона иностранная ;  ;  ;  ;  ; 7 ; raise ; 30 
 4540 ; Бона иностранная ;  ;  ;  ;  ; 6 ; raise ; 30 
 4541 ; Бона иностранная ;  ;  ;  ;  ; 6 ; raise ; 30 
 4542 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Ромбор ; 40 
 4543 ; Бона иностранная ;  ;  ;  ;  ; 6 ; raise ; 30 
 4544 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Ромбор ; 50 
 4545 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Ромбор ; 50 
 4546 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Ромбор ; 50 
 4547 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Ромбор ; 53 
 4548 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Ромбор ; 50 
 4549 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Ромбор ; 50 
 4550 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Ромбор ; 50 
 4551 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Ромбор ; 51 
 4552 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 30 
 4553 ; Бона иностранная ;  ;  ;  ;  ; 5 ; raise ; 30 
 4554 ; Бона иностранная ;  ;  ;  ;  ; 14 ; sos1 ; 71 
 4555 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Ромбор ; 79 
 4373 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ; XF+ ; 33 ; никсер ; 680 
 4374 ; 500 рублей ; 1919 ;  ;  ; XF ; 84 ; 收集者 ; 2601 
 4375 ; 500 рублей ; 1918 ;  ;  ;  ; 116 ; никсер ; 1485 
 4376 ; 1000 рублей ; 1920 ; Азербайджан ;  ;  ; 56 ; ЛАВ-13 ; 232 
 4377 ; 250000 рублей ; 1922 ; Азербайджан ;  ; AU ; 61 ; ЛАВ-13 ; 411 
 4378 ; Бона 50 рублей. Совет Бакинского городского хоз-ва ; 1918 ;  ;  ;  ; 89 ; ЛАВ-13 ; 255 
 4379 ; 1000000 рублей ; 1923 ; Закавказье ;  ;  ; 60 ; GEV ; 193 
 4380 ; 500000 рублей ; 1923 ; Закавказье ;  ; AU ; 31 ; verunk1 ; 1010 
 4381 ; 5000 рублей ; 1921 ; Грузия ;  ; AU ; 33 ; monos72 ; 725 
 4382 ; 5000 рублей ; 1922 ; Бухарская Республика ;  ;  ; 61 ; monos72 ; 2289 
 4383 ; 1000000 рублей ; 1922 ; Армения ;  ;  ; 102 ; k212 ; 1157 
 4384 ; 50 рублей ; 1918 ; Грузия ;  ;  ; 80 ; Виталий 64 ; 473 
 4385 ; 100 рублей ; 1918 ; Разменные знаки.Совнарком Терской республики ;  ;  ; 17 ; Виталий 64 ; 793 
 4386 ; Бона 1 рубль. Кисловодск ; 1918 ;  ;  ;  ; 86 ; k212 ; 464 
 4387 ; Бона 10 рублей. Красноярск ; 1919 ;  ;  ; XF ; 143 ; sdfg ; 696 
 4388 ; Бона 10 рублей. Сибирское временное правительство ; 1918 ;  ;  ; AU ; 78 ; нумизмат ; 364 
 4389 ; 50 рублей ; 1920 ; Денежный знак Дальне-Восточной республики ;  ;  ; 104 ; моторист ; 1699 
 4390 ; 10 рублей ; 1918 ; Чек (без штампов регистрации) ;  ;  ; 55 ; ЛАВ-13 ; 1695 
 4391 ; Бона 1 рубль. Урал ; 1918 ;  ;  ;  ; 74 ; Pushan ; 206 
 4392 ; 100 рублей ; 1918 ; 2 подписи Гос.кредитные билеты(не выпущены) ;  ;  ; 17 ; 333985 ; 1394 
 4393 ; 5 гривень ; 1920 ; Украина Розмiнний Знак Державноi скарбицi ;  ;  ; 133 ; нумизмат ; 379 
 4394 ; Бона 3 рубля. Одесса ; 1917 ;  ;  ;  ; 23 ; ЛАВ-13 ; 417 
 4395 ; Бона 3 карбованца. Житомир ; 1918 ;  ;  ; AU ; 76 ; SANGOLD1 ; 1039 
 4396 ; Бона 10 рублей. Либава ; 1915 ;  ;  ; AU ; 115 ; шев ; 680 
 4397 ; 5000 рублей ; 1921 ; Грузия ;  ; AU ; 120 ; ЛАВ-13 ; 377 
 4398 ; 500 рублей ; 1920 ;  ;  ;  ; 69 ; Инвестор ; 513 
 4399 ; 1000 рублей ; 1920 ; Грузия ;  ;  ; 48 ; Ритм ; 237 
 4400 ; 100000 рублей ; 1923 ; Закавказье ;  ;  ; 56 ; Ритм ; 227 
 4401 ; 1000000 рублей ; 1923 ; Закавказье ;  ;  ; 36 ; sonegr ; 141 
 4402 ; 500 рублей ; 1919 ; Азербайджан ;  ;  ; 25 ; Инвестор ; 112 
 4403 ; 10 рублей ; 1918 ; Азербайджан ;  ;  ; 44 ; Инвестор ; 309 
 4404 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 73 ; pari ; 466 
 4405 ; 50 рублей ; 1918 ; Заемные билеты.Общество Владикавказской ж/д ;  ;  ; 119 ; Des2011 ; 1064 
 4406 ; Бон 50 рублей. Екатеринодарского отделения гос. Банка ;  ;  ;  ;  ; 74 ; oleg61 ; 2395 
 4407 ; Лот 2 шт. 250,10000 рублей ;  ;  ;  ;  ; 64 ; veron ; 308 
 4408 ; 250 рублей. 2 шт ; 1919 ;  ;  ;  ; 5 ; MG ; 417 
 4409 ; Лот 3 шт. 5,10 рублей ;  ;  ;  ;  ; 18 ; Pushan ; 105 
 4410 ; Квитанция телавское казначейство ;  ;  ;  ;  ; 35 ; ЛАВ-13 ; 155 
 4411 ; Облигация в 1000 рублей ; 1917 ;  ;  ;  ; 58 ; 333985 ; 363 
 4412 ; Облигация на 10 рублей ; 1937 ;  ;  ;  ; 17 ; solder13 ; 321 
 4413 ; Облигация на 10 рублей ; 1940 ;  ;  ;  ; 9 ; 收集者 ; 396 
 4414 ; Лотерейный билет ; 1944 ;  ;  ;  ; 21 ; uz ; 181 
 4415 ; Бона 1 копейка. Митав ; 1915 ;  ;  ;  ; 24 ; MG ; 2042 
 4416 ; Бона 5 пунктов. Литва ;  ;  ;  ;  ; 33 ; шев ; 1226 
 4417 ; Лот 6 шт. 50,200,500,1000,5000,10000 рублей ; 1992 ;  ;  ; AU ; 39 ; 812 ; 2109 
 4501 ; Бона иностранная ;  ;  ;  ;  ; 3 ; faihu ; 36 
 4502 ; Бона иностранная ;  ;  ;  ;  ; 3 ; seechi ; 36 
 4503 ; Бона иностранная ;  ;  ;  ;  ; 31 ; raise ; 41 
 4504 ; Бона иностранная ;  ;  ;  ;  ; 30 ; Скрудж ; 31 
 4505 ; Бона иностранная ;  ;  ;  ;  ; 26 ; Oleg2000 ; 30 
 4323 ; 1000 рублей ; 1919 ;  ;  ;  ; 44 ; Ритм ; 818 
 4324 ; 50 рублей ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 4 ; ЛАВ-13 ; 313 
 4325 ; 1000 рублей ; 1918 ; 5% краткосрочное обязательство ;  ;  ; 39 ; ЛАВ-13 ; 2043 
 4326 ; 5000 рублей ; 1919 ;  ;  ;  ; 51 ; 333985 ; 1764 
 4327 ; 500 рублей ; 1919 ; Грузия ;  ;  ; 90 ; Fedor_K ; 2001 
 4328 ; Краткосрочное обязательство на 100 рублей ; 1918 ;  ;  ;  ; 111 ; кве ; 1587 
 4329 ; Билет 2 внутреннего выйгрышного займа на капитал в 100 рублей ; 1866 ;  ;  ;  ; 63 ; Des2011 ; 999 
 4330 ; Акция. Киевский трамвай ; 1905 ;  ;  ;  ; 2 ; 333985 ; 100 
 4331 ; Свидетельство на гос. Ренту ;  ;  ;  ;  ; 8 ; моторист ; 373 
 4332 ; Внутренний 5% заем. 50 рублей ; 1915 ;  ;  ;  ; 59 ; моторист ; 1300 
 4333 ; Гос. Военный заем. 100 рублей ; 1916 ;  ;  ;  ; 21 ; akula ; 185 
 4334 ; Облигация в 187р.50к. Гос. 5% заем ; 1906 ;  ;  ;  ; 2 ; моторист ; 159 
 4335 ; Билет на 100 рублей, внутреннего 5% выигрышного займа ; 1864 ;  ;  ;  ; 23 ; *sanek* ; 785 
 4336 ; Акция на 100 финских марок ; 1916 ;  ;  ;  ; 7 ; 542 ; 207 
 4337 ; Долговое обязательство 25 рейхсмарок ; 1925 ;  ;  ;  ; 7 ; afanas ; 72 
 4338 ; Облигация на 20 лат. Латвия ; 1931 ;  ;  ;  ; 10 ; bdd48 ; 114 
 4339 ; Лотерейный билет. Латвийского общества ветеранов войны ;  ;  ;  ;  ; 76 ; шев ; 214 
 4340 ; Лотерейный билет. 5 лат ; 1937 ;  ;  ;  ; 116 ; dog009 ; 514 
 4341 ; Лотерейный билет. 15 лат ; 1937 ;  ;  ;  ; 14 ; шев ; 553 
 4342 ; 500 рублей. 3 шт. ; 1912 ; Шипов. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 51 ; molodes ; 833 
 4343 ; 500 рублей ; 1912 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 37 ; Ulfan88 ; 411 
 4344 ; Лот 11 шт ;  ;  ;  ;  ; 53 ; Mironm ; 402 
 4345 ; Лот 2 шт. 3,25 рублей Коншин ;  ;  ;  ;  ; 14 ; admiral ; 102 
 4346 ; 5000 рублей ; 1919 ;  ;  ;  ; 142 ; gusar ; 564 
 4347 ; 250 рублей ; 1917 ; Денежные знаки ;  ;  ; 24 ; gusar ; 102 
 4348 ; 25 рублей ; 1918 ; 2 подписи Гос.кредитные билеты(не выпущены) ;  ; XF+ ; 7 ; 333985 ; 1659 
 4349 ; 1000 рублей ; 1920 ; Денежный знак Дальне-Восточной республики ;  ;  ; 25 ; ЛАВ-13 ; 775 
 4350 ; 500 рублей ; 1920 ; Денежный знак Дальне-Восточной республики ;  ;  ; 71 ; ЛАВ-13 ; 723 
 4351 ; 50 копеек ;  ;  ;  ;  ; 21 ; t_v_v ; 55 
 4352 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 36 ; щекин ; 206 
 4353 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ; AU ; 11 ; verunk1 ; 775 
 4354 ; Лот 6 шт. 1,2,3,5 копеек ; 1915 ;  ;  ;  ; 13 ; *sanek* ; 612 
 4355 ; Лот 4 шт ;  ;  ;  ;  ; 20 ; admiral ; 250 
 4356 ; Лот 2 шт. 50 рублей ;  ;  ;  ;  ; 73 ; pari ; 315 
 4357 ; Лот 5 шт ;  ;  ;  ;  ; 47 ; Mikola_1 ; 204 
 4358 ; Лот 5 шт ;  ;  ;  ; VF-AU ; 97 ; gusar ; 215 
 4359 ; Лот 5 шт ;  ;  ;  ; VF-AU ; 82 ; evgen 66 ; 324 
 4360 ; 10 червонцев. 2 шт ; 1937 ; Билет ;  ;  ; 53 ; GEV ; 306 
 4361 ; 10 марок ; 1919 ;  ;  ; AU ; 79 ; asru ; 2550 
 4362 ; 5 марок ; 1919 ;  ;  ; AU ; 61 ; asru ; 2612 
 4363 ; Бона 5 рублей Елгава ; 1918 ;  ;  ;  ; 129 ; MG ; 2397 
 4364 ; Бона 1 пункт Латвия ;  ;  ;  ;  ; 55 ; oleg61 ; 1000 
 4365 ; Бона 10 пунктов Латвия ;  ;  ;  ;  ; 71 ; oleg61 ; 1269 
 4366 ; Бона 25 копеек Либава ; 1915 ;  ;  ; AU ; 18 ; oleg61 ; 769 
 4367 ; Бона 50 копеек Либава ; 1915 ;  ;  ; AU ; 46 ; oleg61 ; 824 
 4368 ; 1 рубль ; 1919 ; Латвия. Разменный знак ;  ;  ; 19 ; ЛАВ-13 ; 184 
 4369 ; Бона 25 копеек. Объединенный кооператив ;  ;  ;  ; AU ; 52 ; verunk1 ; 1530 
 4370 ; Бона 5 рублей. Нарсвязь в Петрограде ;  ;  ;  ;  ; 52 ; oleg61 ; 1207 
 4371 ; Бона 1 рубль. Кооператив " Володарец" ;  ;  ;  ; AU ; 46 ; ЛАВ-13 ; 813 
 4372 ; 50 рублей ; 1961 ; билет ;  ; AU ; 67 ; BlackDragon88 ; 729 
 4163 ; Облигация ; 1889 ;  ;  ;  ; 20 ; ъхз ; 226 
 4164 ; Акция ; 1948 ;  ;  ;  ; 3 ; scooter ; 100 
 4165 ; Акция. США ;  ;  ;  ;  ; 4 ; scooter ; 100 
 4166 ; Акция. США ;  ;  ;  ;  ; 5 ; себер ; 102 
 4167 ; Акция. США ;  ;  ;  ;  ; 5 ; себер ; 102 
 4168 ; Акция. США ;  ;  ;  ;  ; 6 ; pari ; 105 
 4169 ; Акция. США ;  ;  ;  ;  ; 4 ; себер ; 102 
 4170 ; Акция. США ;  ;  ;  ;  ; 3 ; scooter ; 100 
 4171 ; Акция. США ;  ;  ;  ;  ; 4 ; себер ; 101 
 4172 ; Акция. США ;  ;  ;  ;  ; 3 ; ъхз ; 99 
 4173 ; Акция. США ;  ;  ;  ;  ; 3 ; ъхз ; 99 
 4174 ; Акция. США ;  ;  ;  ;  ; 4 ; ъхз ; 99 
 4175 ; Акция. США ;  ;  ;  ;  ; 3 ; ъхз ; 99 
 4176 ; Акция. США ;  ;  ;  ;  ; 3 ; ъхз ; 99 
 4177 ; Акция. США ;  ;  ;  ;  ; 3 ; ъхз ; 99 
 4178 ; Акция. США ;  ;  ;  ;  ; 3 ; ъхз ; 99 
 4179 ; Акция. США ;  ;  ;  ;  ; 3 ; ъхз ; 99 
 4180 ; Акция. США ;  ;  ;  ;  ; 4 ; ъхз ; 99 
 4181 ; Акция. США ;  ;  ;  ;  ; 3 ; ъхз ; 99 
 4182 ; Акция. США ;  ;  ;  ;  ; 3 ; ъхз ; 99 
 4183 ; Акция. США ;  ;  ;  ;  ; 3 ; ъхз ; 99 
 4184 ; Акция. США ;  ;  ;  ;  ; 3 ; ъхз ; 99 
 4185 ; Акция. США ;  ;  ;  ;  ; 4 ; ъхз ; 99 
 4186 ; Акция. США ;  ;  ;  ;  ; 3 ; ъхз ; 99 
 4187 ; Акция. США ;  ;  ;  ;  ; 3 ; ъхз ; 99 
 4188 ; Акция. США ;  ;  ;  ;  ; 4 ; ъхз ; 99 
 4189 ; Акция. США ;  ;  ;  ;  ; 4 ; ъхз ; 99 
 4190 ; Акция. США ;  ;  ;  ;  ; 4 ; ъхз ; 99 
 4301 ; 1 рубль ; 1934 ; Гос.казначейские билеты ;  ;  ; 52 ; колхоз1 ; 1305 
 4302 ; Лот 3 шт. 3,5 рублей ;  ;  ;  ;  ; 26 ; atk ; 255 
 4303 ; Лот 4 шт. 1,2,3 рубля ; 1919 ;  ;  ;  ; 8 ; ЛАВ-13 ; 158 
 4304 ; 3 рубля ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ;  ; 25 ; SANGOLD1 ; 847 
 4305 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 1 ; kominvest ; 250 
 4306 ; 5 рублей ; 1947 ; Гос.казначейский билет ;  ;  ; 4 ; кве ; 1139 
 4307 ; 10 рублей ; 1947 ; билет ;  ;  ; 40 ; 3051234 ; 2064 
 4308 ; 25 рублей ; 1947 ; билет ;  ;  ; 23 ; kaktus ; 1605 
 4309 ; 50 рублей ; 1947 ; билет ;  ;  ; 25 ; никсер ; 3264 
 4310 ; 100 рублей ; 1947 ; билет ;  ;  ; 61 ; uz ; 591 
 4311 ; 3 рубля ; 1919 ; Латвия. Разменный знак ;  ;  ; 33 ; vasek ; 225 
 4312 ; 5 рублей ; 1919 ; Латвия. Разменный знак ;  ; AU ; 106 ; oleg61 ; 710 
 4313 ; 10 рублей ; 1919 ; Латвия. Разменный знак ;  ;  ; 16 ; D-503 ; 456 
 4314 ; 1 рубль ; 1919 ; Латвия. Обязательство гос.казначейства ;  ;  ; 33 ; ЛАВ-13 ; 357 
 4315 ; 10 рублей ; 1919 ; Латвия. Обязательство гос.казначейства ;  ;  ; 51 ; ЛАВ-13 ; 1020 
 4316 ; 50 рублей ; 1919 ; Латвия. Обязательство гос.казначейства ;  ;  ; 141 ; dog009 ; 2221 
 4317 ; 100 рублей ; 1919 ; Латвия. Обязательство гос.казначейства ;  ;  ; 12 ; ЛАВ-13 ; 533 
 4318 ; 20 лат ; 1935 ; Латвия ;  ;  ; 177 ; oleg61 ; 1000 
 4319 ; 25 лат ; 1928 ; Латвия ;  ;  ; 79 ; oleg61 ; 656 
 4320 ; 25 лат ; 1938 ; Латвия ;  ;  ; 148 ; mirumir ; 1041 
 4321 ; Бона 3 рубля. Долговое обязательствоь г. Рига ; 1919 ;  ;  ;  ; 52 ; dog009 ; 1062 
 4322 ; Бона 1 рубль. Долговое обязательствоь г. Рига ;  ;  ;  ;  ; 90 ; dog009 ; 1201 
 4113 ; Справка на получение карточек ; 1948 ;  ;  ;  ; 18 ; Sky2 ; 306 
 4114 ; Справка на получение карточек ; 1948 ;  ;  ;  ; 5 ; 333985 ; 300 
 4115 ; Справка на получение карточек ; 1948 ;  ;  ;  ; 21 ; fillin ; 303 
 4116 ; Справка на получение карточек ; 1948 ;  ;  ;  ; 5 ; 333985 ; 300 
 4117 ; 1 рубль ; 1918 ; Разменные знаки.Совнарком Терской республики ;  ;  ; 43 ; oleg61 ; 1590 
 4118 ; 5 рублей ; 1918 ; Казначейский знак Сибирского временного правительства ;  ;  ; 115 ; gusar ; 254 
 4119 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбницi ;  ;  ; 97 ; SANGOLD1 ; 164 
 4120 ; 10 рублей ; 1919 ;  ;  ;  ; 12 ; 2262н ; 214 
 4121 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 27 ; admiral ; 200 
 4122 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 73 ; Play ; 102 
 4123 ; 1 рубль ; 1947 ; Гос.казначейский билет ;  ;  ; 87 ; admiral ; 200 
 4124 ; 500000 карбованцев. Подольск ;  ;  ;  ;  ; 25 ; oleg61 ; 2005 
