 501 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF+ ; 26 ; Участник № 51 ; 7500 
 497 ; Полтина ; 1878 ; СПБ НФ ; Ag ; AU ; 17 ; Kolya-kms ; 9486 
 498 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 5 ; Конрос бид 32 ; 3002 
 499 ; 15 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 19 ; max7421 ; 5001 
 500 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 7 ; Участник № 133 ; 3400 
 401 ; 2 копейки "оккупация" ; 1916J ;  ; Fe ; AU ; 9 ; Участник № 222 ; 3200 
 402 ; 20 копеек ; 1917 ; ВС ; Ag ; AU ; 25 ; elac ; 33000 
 403 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 12 ; Участник № 132 ; 2300 
 404 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 13 ; МИГ ; 2222 
 405 ; 3 рубля ; 1918 ; кружок меньше ;  ; VF ; 143 ; mihelsonn ; 7850 
 406 ; Один полтинник ; 1925 ; (ПЛ 9 грамм) ; Ag ; Proof ; 10 ; Участник № 42 ; 20000 
 407 ; 20 копеек. Редка ; 1974 ; л/с шт.3 коп. ; Cu-Ni ; AU ; 28 ; Участник № 545 ; 29000 
 408 ; Наградная медаль "Посети виноград сей" (женские институты). Медальер В. Алексеев. В оригинальной коробке ; 1873 ;  ; Ag ; XF+ ; 17 ; Участник № 222 ; 22000 
 409 ; Медаль об окончании гимназии. Преуспевающему ;  ;  ; Ag ; XF- ; 32 ; Участник № 692 ; 5500 
 410 ; Медаль в честь царствования Михаила Федоровича ;  ;  ; Ж/м ; VF-XF ; 5 ; Участник № 222 ; 2800 
 411 ; Медаль. В память 50-летия службы. Министр финансов Александр Максимович Княжевич. 19 января 1861 года. Гравер Лоренц ; 1861 ;  ; Br ; XF ; 11 ; Участник № 692 ; 4000 
 412 ; Жетон в память заключения мира со Швецией. Имп. Екатерина II ; 1791 ;  ; Ag ; XF+/XF- ; 11 ; Участник № 6 ; 15000 
 413 ; Жетон на коронацию Павла I ;  ;  ; Ag ; AU ; 145 ; Участник № 133 ; 17000 
 414 ; Жетон в честь коронации Николая I ; 1826 ;  ; Ag ; AU ; 8 ; AVA01 ; 5500 
 415 ; Жетон в честь корнации Александра III ; 1883 ;  ; Ag ; XF+ ; 7 ; Kolya-kms ; 1900 
 416 ; Жетон на коронацию Николая-II ; 1896 ;  ; Ag ; AU ; 14 ; Kolya-kms ; 5667 
 417 ; Знак ордена Святого Великомученика и Победоносца Георгия IV-й степени. Выдача из Капитула, фирма "Эдуард". Бронза, позолота, эмаль, размеры 40х36,3мм ; 1916-1917гг. ;  ; Бронза, по ; XF+ ; 22 ; ZOLTAN333 ; 70000 
 418 ; Знак ордена Св. Станислава II ст., выдача из Капитула, фирма "Эдуард", в оригинальной коробке, с лентой, золото, эмаль, размеры 53,5х49мм ; 1908-1916гг. ;  ; Au, эмаль ; AU ; 16 ; Участник № 692 ; 120000 
 419 ; Крест для духовенства в память Восточной войны 1853-1856гг, с шейной лентой ордена св. Владимира, темная бронза, СПб мон.двор, размеры 101х58мм ; 1856 ;  ; Бронза ; AU ; 28 ; Участник № 39 ; 30000 
 420 ; Медаль за войну 1853-1856гг светлая бронза, Д=28мм ; 1856 ;  ; Бр ; XF ; 9 ; LICVID ; 2448 
 421 ; Медаль В память царствования императора Александра-III c 1881 gj 1894uu ; 1896 ;  ; Ag ; XF+ ; 5 ; ALCOM ; 3500 
 422 ; Медаль "За безпорочную службу в полиции", серебро, Д=36,4мм,СПб мон.двор, на оригинальной колодке с лентой ордена св. Анны ; 1894-1916гг. ;  ; Ag ; XF+ ; 22 ; Участник № 692 ; 28000 
 423 ; Медаль За усердие Николай-II Д=30,2мм ; 1896-1915 ;  ; Ag ; XF+ ; 7 ; AAE2006 ; 4000 
 424 ; Медаль За труды по всеобщей мобилизации 1914г ; 1915 ;  ; Бр, золоч. ; VF-XF ; 5 ; Logoped ; 1599 
 425 ; Медаль Георгиевская IV ст. N=227288 ; 1МВ ;  ; Ag ; XF ; 5 ; ALCOM ; 7000 
 426 ; Медаль за храбрость IV ст. № 919003. Имп. Николай II. Санкт-Петербургский монетный двор ;  ;  ; Ag ; VF-XF ; 9 ; skylink ; 4000 
 427 ; Медаль за храбрость IV ст. № 983278. Имп. Николай II. Санкт-Петербургский монетный двор ;  ;  ; Ag ; VF-XF ; 7 ; Участник № 132 ; 2200 
 428 ; Медаль "300 лет дому Романовых". Частник с орденом на груди Николая II ; 1913 ;  ; Br ; XF+/XF- ; 5 ; Участник № 186 ; 9500 
 429 ; Знак отличия для состоящих в духовном сане магистров богословия православных Духовных Академий ; 1856 ;  ; Au Ag ; XF ; 7 ; AAE2006 ; 10000 
 430 ; Знак Михайловский артиллерийский дивизион ; нач. 20в. ;  ; Бр. ; XF ; 7 ; AAE2006 ; 20000 
 431 ; Жетон За отличную смотровую стрельбу 6й роты 1904, выдан мл. унтер офицеру Н.Смирнову,  51,3х51,8мм ; 1904 ;  ; Ag ; VF+ ; 9 ; AAE2006 ; 9000 
 432 ; Жетон в виде погона прапорщика 62-го пехотного Суздальского генералиссимуса князя Суворова полка ; 1905 ;  ; Ag, эмаль ; XF ; 23 ; Logoped ; 8500 
 433 ; Жетон в виде погона прапорщика, серебро, эмаль, 28х12мм ; 1908-1917 ;  ; Ag ; XF ; 7 ; AAE2006 ; 6500 
 434 ; Жетон 1000 паровоз Сормово, 42х25мм ; 1905 ;  ; Ag ; XF+ ; 11 ; AAE2006 ; 9000 
 435 ; Жетон "МИЕ" 30 апреля 1908г, серебро, эмаль, Д=21мм ; 1908 ;  ; Ag ; AU ; 3 ; LICVID ; 5500 
 436 ; Санкт-Петербургские высшие коммерческие курсы М.В. Побединского. Г.П.Магавариани ;  ;  ; Ag 84 ; XF- ; 5 ; Участник № 692 ; 10000 
 437 ; Жетон В первоначальном дворце императора Петра-I часовня Спасителя СПб, Д=21,7мм ; 1908-1917 ;  ; Ag ; AU ; 9 ; AAE2006 ; 7500 
 438 ; Жетон приз за греблю на четверках (выдан Холостову) 43,5х43,5мм ; 1912 ;  ; Ag ; XF+ ; 3 ; sokol333 ; 4500 
 439 ; Жетон ВБА 25 лет, 37х20,5мм ; 1913 ;  ; Ag ; AU ; 3 ; Участник № 222 ; 4500 
 440 ; Жетон. На коронацию Екатерины II ; 1762 ;  ; Ag ; VF-XF ; 18 ; Участник № 585 ; 9500 
 441 ; Копейка ; 1713 ; НД ; Cu ; VF ; 10 ; Участник № 222 ; 7500 
 442 ; 5 копеек ; 1726 ; НД Дата снизу вверх ; Cu ; VF+ ; 13 ; Участник № 55 ; 4000 
 443 ; 5 копеек (Петров-12р, Ильин-5р) ; 1730 ; ДМ ; Cu ; F-VF ; 15 ; Участник № 51 ; 24000 
 444 ; Рубль ; 1735 ;  ; Ag ; XF ; 117 ; Участник № 585 ; 30000 
 445 ; Рубль ; 1736 ;  ; Ag ; VF+ ; 36 ; Участник № 692 ; 44000 
 446 ; 2 копейки ; 1758 ;  ; Cu ; VF-XF ; 10 ; Участник № 51 ; 10000 
 447 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; VF-XF ; 8 ; Участник № 51 ; 12000 
 448 ; Полтина ; 1763 ; СПБ НК ; Ag ; XF ; 136 ; Участник № 140 ; 42000 
 449 ; Полуполтинник ; 1768 ; ММД ЕI ; Ag ; VF-XF ; 55 ; Участник № 133 ; 7200 
 450 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; XF+ ; 21 ; Участник № 140 ; 30000 
 351 ; 20 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 11 ; Участник № 7 ; 2000 
 352 ; 3 копейки ; 1893 ; СПБ ; Cu ; AU ; 17 ; Участник № 16 ; 8500 
 353 ; Копейка ; 1893 ; СПБ ; Cu ; AU ; 47 ; berson ; 2400 
 354 ; 1/4 копейки ; 1893 ; СПБ ; Cu ; AU ; 25 ; ghjk ; 3278 
 355 ; Копейка ; 1894 ; СПБ ; Cu ; AU ; 45 ; ghjk ; 1197 
 356 ; Рубль ; 1895 ; (АГ) ; Ag ; VF+ ; 11 ; Участник № 16 ; 3400 
 357 ; 25 копеек ; 1895 ; АГ ; Ag ; XF+/AU ; 33 ; and ; 10100 
 358 ; 2 копейки ; 1895 ; СПБ ; Cu ; AU ; 69 ; AVA01 ; 14280 
 359 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF+ ; 14 ; Участник № 585 ; 17000 
 360 ; Полтина ; 1896 ; ( * ) ; Ag ; AU ; 28 ; Участник № 16 ; 9500 
 361 ; 2 копейки ; 1896 ; СПБ ; Cu ; AU ; 27 ; SSK ; 7142 
 362 ; Копейка ; 1896 ; СПБ ; Cu ; AU ; 23 ; elac ; 2552 
 363 ; Копейка ; 1897 ; СПБ ; Cu ; XF+ ; 11 ; ZOLTAN333 ; 906 
 364 ; 1/2 копейки ; 1897 ; СПБ ; Cu ; XF+ ; 5 ; Участник № 720 ; 190 
 365 ; 1/4 копейки ; 1897 ; СПБ ; Cu ; AU ; 7 ; Участник № 720 ; 1500 
 366 ; Полтина ; 1899 ; (ФЗ) АГ ; Ag ; XF+ ; 17 ; Участник № 16 ; 8000 
 367 ; 5 копеек ; 1899 ; СПБ ЭБ ; Ag ; Proof ; 16 ; Участник № 16 ; 11000 
 368 ; 2 копейки ; 1899 ; СПБ ; Cu ; AU ; 7 ; ZOLTAN333 ; 800 
 369 ; Копейка ; 1899 ; СПБ ; Cu ; AU ; 9 ; Участник № 222 ; 2000 
 370 ; Полтина ; 1900 ; (ФЗ) АГ ; Ag ; XF- ; 28 ; Kolya-kms ; 2244 
 371 ; 25 копеек ; 1900 ; АГ ; Ag ; AU ; 29 ; Kolya-kms ; 25000 
 372 ; 10 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 16 ; Участник № 16 ; 3300 
 373 ; 2 копейки ; 1900 ; СПБ ; Cu ; AU ; 26 ; berson ; 11220 
 374 ; 1/4 копейки ; 1900 ; СПБ ; Cu ; AU ; 7 ; krokodil ; 750 
 375 ; Копейка ; 1901 ; СПБ ; Cu ; XF+ ; 6 ; sas ; 159 
 376 ; 15 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 11 ; mihelsonn ; 5100 
 377 ; 15 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 33 ; and ; 2948 
 378 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 55 ; Участник № 133 ; 2100 
 379 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 3 ; Участник № 222 ; 340 
 380 ; Полтина ; 1907 ; (ЭБ) АГ ; Ag ; AU ; 25 ; and ; 30000 
 381 ; 20 марок ; 1910 ; L Финляндия ; Au ; AU ; 7 ; Участник № 606 ; 13000 
 382 ; 1/4 копейки ; 1910 ; СПБ ; Cu ; AU ; 14 ; max7421 ; 1689 
 383 ; 10 рублей. М-8,59гр ; 1911 ; (ЭБ) АГ ; Au ; AU ; 11 ; МИГ ; 11111 
 384 ; 5 копеек ; 1911 ; СПБ ; Cu ; AU ; 7 ; Kolya-kms ; 1530 
 385 ; 3 копейки ; 1911 ; СПБ ; Cu ; Proof ; 15 ; RF ; 5500 
 386 ; 2 копейки ; 1911 ; СПБ ; Cu ; Proof ; 25 ; RF ; 6000 
 387 ; Копейка ; 1911 ; СПБ ; Cu ; Proof ; 9 ; RF ; 6500 
 388 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 15 ; Участник № 133 ; 7000 
 389 ; Полтина ; 1912 ; (ЭБ) АГ ; Ag ; AU ; 14 ; Kolya-kms ; 2550 
 390 ; 5 копеек ; 1912 ; СПБ ; Cu ; XF+ ; 13 ; foma71 ; 2900 
 391 ; Полтина ; 1913 ; (ЭБ) АГ ; Ag ; Proof ; 34 ; max7421 ; 60000 
 392 ; Полтина ; 1913 ; (ВС) АГ ; Ag ; Proof ; 18 ; Участник № 51 ; 42000 
 393 ; Полтина ; 1913 ; (ВС) АГ ; Ag ; AU ; 15 ; Kolya-kms ; 3200 
 394 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; AU ; 17 ; Участник № 692 ; 14000 
 395 ; 2 копейки ; 1914 ; СПБ ; Cu ; Proof ; 16 ; Участник № 222 ; 9500 
 396 ; Копейка ; 1914 ; СПБ ; Cu ; Proof ; 23 ; Участник № 16 ; 9500 
 397 ; Рубль ; 1915 ; (ВС) ; Ag ; Proof ; 7 ; Глол ; 50000 
 398 ; 3 копейки ; 1915 ;  ; Cu ; AU ; 41 ; overshtag ; 800 
 399 ; 5 копеек ; 1916 ;  ; Cu ; VF ; 28 ; ksv11 ; 5699 
 400 ; 3 копейки "оккупация" ; 1916J ;  ; Fe ; AU ; 15 ; Участник № 222 ; 3200 
 301 ; 5 копеек ; 1868 ; СПБ ; Cu ; AU ; 37 ; AVA01 ; 12276 
 302 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; AU ; 13 ; berson ; 5000 
 303 ; 3 рубля ; 1869 ; СПБ НI ; Au ; XF ; 54 ; ZOLTAN333 ; 69360 
 304 ; Рубль ; 1869 ; СПБ HI ; Ag ; XF- ; 37 ; Участник № 54 ; 48000 
 305 ; Рубль ; 1870 ; СПБ HI ; Ag ; VF-XF ; 45 ; Участник № 222 ; 38000 
 306 ; 1/4 копейки ; 1870 ; ЕМ ; Cu ; AU ; 16 ; Участник № 222 ; 6500 
 307 ; 5 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 21 ; Участник № 4 ; 6000 
 308 ; 5 копеек ; 1872 ; ЕМ ; Cu ; AU ; 37 ; Участник № 585 ; 4600 
 309 ; 1/4 копейки ; 1872 ; ЕМ ; Cu ; AU ; 20 ; berson ; 6243 
 310 ; Рубль ; 1873 ; СПБ HI ; Ag ; VF-XF ; 17 ; Участник № 54 ; 40000 
 311 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 21 ; max7421 ; 7000 
 312 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 9 ; Участник № 9 ; 8500 
 313 ; 1/4 копейки ; 1873 ; ЕМ ; Cu ; AU ; 11 ; лопух ; 4800 
 314 ; Рубль ; 1874 ; СПБ HI ; Ag ; XF- ; 24 ; Участник № 54 ; 48000 
 315 ; 20 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 25 ; Участник № 222 ; 10000 
 316 ; 5 копеек ; 1874 ; ЕМ ; Cu ; XF+ ; 14 ; андрейх ; 3776 
 317 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; XF+ ; 13 ; ZOLTAN333 ; 6200 
 318 ; 5 копеек ; 1875 ; ЕМ ; Cu ; AU ; 38 ; Участник № 585 ; 3600 
 319 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 7 ; Участник № 585 ; 1000 
 320 ; 15 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 26 ; vid ; 4558 
 321 ; 5 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 19 ; Участник № 4 ; 9500 
 322 ; 5 копеек ; 1876 ; ЕМ ; Cu ; VF-XF ; 9 ; foma71 ; 1019 
 323 ; 1/2 копейки ; 1876 ; СПБ ; Cu ; AU ; 19 ; berson ; 4172 
 324 ; 1/4 копейки ; 1876 ; СПБ ; Cu ; AU ; 33 ; berson ; 3958 
 325 ; Полтина ; 1877 ; СПБ HI ; Ag ; XF+ ; 15 ; Участник № 7 ; 5500 
 326 ; 25 копеек ; 1877 ; СПБ HI ; Ag ; XF+ ; 17 ; Участник № 606 ; 2300 
 327 ; 5 копеек ; 1877 ; СПБ HI ; Ag ; AU ; 11 ; mac ; 6000 
 328 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; XF+ ; 16 ; ZOLTAN333 ; 4600 
 329 ; 5 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 20 ; Участник № 9 ; 8500 
 330 ; 1/2 копейки ; 1879 ; СПБ ; Cu ; AU ; 9 ; ghjk ; 1936 
 331 ; Полтина ; 1880 ; СПБ НФ ; Ag ; VF-XF ; 11 ; ksv11 ; 6500 
 332 ; 25 копеек ; 1880 ; СПБ НФ ; Ag ; VF+ ; 13 ; Участник № 16 ; 2400 
 333 ; 3 копейки ; 1880 ; СПБ ; Cu ; XF+ ; 27 ; AVA01 ; 9000 
 334 ; 5 копеек ; 1881 ; СПБ НФ ; Ag ; XF+ ; 23 ; AVA01 ; 15096 
 335 ; 5 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 9 ; Участник № 23 ; 650 
 336 ; 5 копеек ; 1883 ; СПБ ДС ; Ag ; XF+ ; 34 ; AVA01 ; 8058 
 337 ; 5 копеек ; 1884 ; СПБ АГ ; Ag ; AU ; 2 ; Участник № 132 ; 550 
 338 ; 10 копеек ; 1887 ; СПБ АГ ; Ag ; Unc/AU ; 28 ; Участник № 222 ; 8000 
 339 ; 5 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 3 ; Участник № 132 ; 950 
 340 ; Рубль ; 1888 ; (АГ) ; Ag ; AU ; 13 ; Глол ; 70000 
 341 ; 5 копеек ; 1888 ; СПБ АГ ; Ag ; AU ; 2 ; Участник № 132 ; 1100 
 342 ; 1/4 копейки ; 1888 ; СПБ ; Cu ; AU ; 35 ; AVA01 ; 7929 
 343 ; Копейка ; 1889 ; СПБ ; Cu ; AU ; 7 ; sas ; 148 
 344 ; 10 копеек ; 1890 ; СПБ АГ ; Ag ; XF+ ; 13 ; Участник № 222 ; 2700 
 345 ; Копейка ; 1890 ; СПБ ; Cu ; XF ; 13 ; AVA01 ; 1620 
 346 ; 20 марок ; 1891 ; L Финляндия ; Au ; AU ; 12 ; joker ; 18354 
 347 ; Рубль ; 1891 ; (АГ) ; Ag ; VF-XF ; 14 ; Участник № 692 ; 4800 
 348 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 13 ; ghjk ; 3162 
 349 ; Полтина ; 1893 ; (АГ) ; Ag ; XF+/AU ; 31 ; Участник № 462 ; 36000 
 350 ; 25 копеек ; 1893 ; (АГ) АГ ; Ag ; AU ; 26 ; Участник № 42 ; 44000 
 251 ; 5 копеек (Ильин-4р) ; 1851 ; ВМ ; Cu ; proof ; 57 ; berson ; 226667 
 252 ; 2 копейки ; 1851 ; ЕМ ; Cu ; XF- ; 11 ; luda ; 1700 
 253 ; Полушка ; 1851 ; ЕМ ; Cu ; XF- ; 5 ; Участник № 523 ; 500 
 254 ; 5 рублей. М-6,54гр ; 1852 ; СПБ АГ ; Au ; XF+ ; 22 ; Участник № 585 ; 26000 
 255 ; Полтина ; 1852 ; СПБ ПА ; Ag ; AU ; 12 ; hummer ; 9000 
 256 ; 25 копеек (Ильин-3р). Редкие буквы минцмейстера для этого года ; 1852 ; СПБ HI ; Ag ; XF+ ; 27 ; Участник № 42 ; 70000 
 257 ; 3 копейки ; 1852 ; ЕМ ; Cu ; VF-XF ; 42 ; sergfokin ; 2200 
 258 ; 2 копейки ; 1852 ; ЕМ ; Cu ; XF+ ; 18 ; SSK ; 6750 
 259 ; Копейка ; 1852 ; ЕМ ; Cu ; VF-XF ; 7 ; hugo ; 793 
 260 ; Рубль ; 1853 ; СПБ HI ; Ag ; XF ; 17 ; Участник № 62 ; 6000 
 261 ; Копейка ; 1853 ; ВМ ; Cu ; VF-XF ; 25 ; ZOLTAN333 ; 2552 
 262 ; Копейка ; 1853 ; ЕМ ; Cu ; XF+ ; 7 ; AVA01 ; 2200 
 263 ; Полушка (Ильин-3р, Петров-5р) ; 1853 ; ВМ ; Cu ; VF+ ; 21 ; sas ; 14000 
 264 ; Копейка ; 1854 ; ЕМ ; Cu ; XF+ ; 9 ; AVA01 ; 2858 
 265 ; Полтина ; 1855 ; СПБ HI ; Ag ; XF- ; 13 ; Участник № 7 ; 5200 
 266 ; 10 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 33 ; Участник № 16 ; 9000 
 267 ; 3 копейки ; 1855 ; ЕМ ; Cu ; XF- ; 13 ; luda ; 1999 
 268 ; 2 копейки (Ильин-2р) ; 1855 ; ВМ ; Cu ; VF+ ; 10 ; ZOLTAN333 ; 2142 
 269 ; Копейка (Петров-3р) ; 1855 ; ВМ ; Cu ; XF- ; 21 ; Участник № 51 ; 5500 
 270 ; 10 копеек ; 1856 ; СПБ НФ ; Ag ; AU ; 15 ; 61К ; 5100 
 271 ; Копейка ; 1856 ; ВМ ; Cu ; VF-XF ; 6 ; sts ; 1530 
 272 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 15 ; and ; 3400 
 273 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; AU ; 15 ; Kolya-kms ; 17000 
 274 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 13 ; and ; 4000 
 275 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 24 ; Участник № 222 ; 3400 
 276 ; 3 копейки ; 1858 ; ЕМ ; Cu ; VF+ ; 9 ; fikus ; 616 
 277 ; Копейка ; 1858 ; ВМ Венз.уже ; Cu ; VF-XF ; 17 ; Участник № 133 ; 2600 
 278 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 26 ; monos72 ; 7142 
 279 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 11 ; Участник № 133 ; 3400 
 280 ; 3 копейки ; 1859 ; ЕМ ; Cu ; VF-XF ; 13 ; SSK ; 5500 
 281 ; 2 копейки ; 1859 ; ЕМ ; Cu ; VF+ ; 9 ; hugo ; 1041 
 282 ; Копейка. Ав/Рев 15 градусов ; 1859 ; ЕМ Корона у основ.уже ; Cu ; XF- ; 18 ; Участник № 133 ; 2800 
 283 ; Полушка ; 1859 ; ЕМ ; Cu ; XF+ ; 14 ; AVA01 ; 5599 
 284 ; 5 копеек ; 1860 ; ЕМ ; Cu ; VF+ ; 8 ; overshtag ; 716 
 285 ; 3 копейки ; 1860 ; ЕМ ; Cu ; VF-XF ; 7 ; luda ; 1143 
