 3194 ; 250 рублей. Обязательство ; 1919 ;  ;  ;  ; 40 ; lelik ; 105 
 3176 ; 20 копеек ; 1915 ;  ;  ;  ; 61 ; мирон ; 104 
 3177 ; 10 бани. Румыния ; 1917 ;  ;  ;  ; 18 ; 542 ; 135 
 3178 ; 50 копеек. Баку ;  ;  ;  ;  ; 21 ; мирон ; 192 
 3179 ; 50 копеек. Екатеринбург ; 1918 ;  ;  ;  ; 19 ; мирон ; 600 
 3180 ; 1 рубль ; 1947 ;  ;  ;  ; 27 ; нумизмат ; 175 
 3181 ; 1000 рублей ; 1919 ;  ;  ;  ; 20 ; VEU3 ; 91 
 3182 ; 5 рублей. Сибирское в.п. ; 1918 ;  ;  ;  ; 35 ; Михалыч ; 258 
 3183 ; 5 рублей, Дальний Восток ; 1920 ;  ;  ;  ; 7 ; lelik ; 510 
 3184 ; 1 рубль ; 1938 ;  ;  ;  ; 73 ; skir ; 134 
 3185 ; 50 рублей ; 1918 ;  ;  ;  ; 45 ; МОЁ ; 138 
 3186 ; 1 рубль. Туркестан ; 1918 ;  ;  ;  ; 32 ; lelik ; 410 
 3187 ; 1 пиастр ;  ;  ;  ;  ; 61 ; 542 ; 276 
 3188 ; 10 рублей. Обяз. Госказначейства Латвии ; 1919 ;  ;  ;  ; 14 ; НБ ; 314 
 3189 ; 75000000 рублей. Закавказье ; 1924 ;  ;  ;  ; 30 ; 1396 ; 1139 
 3190 ; 1000000000 рублей. Закавказье ; 1924 ;  ;  ;  ; 46 ; 1396 ; 2308 
 3191 ; 1 рубль. Русско-азиатский банк ; 1919 ;  ;  ;  ; 20 ; fav ; 328 
 3192 ; 50 рублей. Обязательство ; 1919 ;  ;  ;  ; 14 ; lelik ; 85 
 3193 ; 500 рублей. Обязательство ; 1919 ;  ;  ;  ; 14 ; Ilyas ; 306 
 3094 ; 1000 рублей ; 1923 ; Закавказье ;  ; AU ; 25 ; hjk1974 ; 1015 
 3095 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 29 ; marsel ; 689 
 3096 ; 25 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 23 ; marsel ; 650 
 3097 ; 5 червонцев. Шейнман ; 1928 ; Билет ;  ; AU ; 23 ; ZAC ; 75276 
 3098 ; 500 марок золотом ; 1909 ; Финляндия билет ;  ; AU ; 5 ; Ksn ; 9303 
 3099 ; Облигация С.-Петербургского гор. Кредитного общества ; 1912 ;  ;  ;  ; 11 ; lelik ; 640 
 3100 ; Акция. Одесса ; 1880 ;  ;  ;  ; 7 ; нумизмат ; 371 
 3101 ; Акция. АО Николаевских заводов и верфей ; 1913 ;  ;  ;  ; 12 ; lelik ; 693 
 3102 ; Акция. АО по произ-ву листового железа. Константиновка. Донецк ; 1896 ;  ;  ;  ; 19 ; lelik ; 654 
 3103 ; Акция. Промышленное об-во Успенского бассейна ; 1896 ;  ;  ;  ; 20 ; lelik ; 816 
 3104 ; Акция. Русское Донецкое об-во каменно-угольной промышленности ; 1895 ;  ;  ;  ; 11 ; 542 ; 828 
 3105 ; Облигация Курско-Харьково-Азовской ж/д ; 1894 ;  ;  ;  ; 40 ; hotin ; 1706 
 3106 ; Облигация. Ростов ; 1899 ;  ;  ;  ; 3 ; 4758 ; 600 
 3107 ; Облигация Подольской ж/д ; 1914 ;  ;  ;  ; 3 ; нумизмат ; 612 
 3108 ; Облигация Московско-Киево- Воронежской ж/д ; 1914 ;  ;  ;  ; 3 ; нумизмат ; 612 
 3109 ; Облигация Варшавско-Венской ж/д ; 1890 ;  ;  ;  ; 4 ; нумизмат ; 1020 
 3110 ; Облигация ; 1885 ;  ;  ;  ; 11 ; lelik ; 160 
 3111 ; Облигация ; 1885 ;  ;  ;  ; 13 ; skir ; 167 
 3112 ; Облигация ; 1885 ;  ;  ;  ; 9 ; ZAA_44 ; 185 
 3113 ; Облигация ; 1885 ;  ;  ;  ; 39 ; skir ; 162 
 3114 ; Облигация ; 1885 ;  ;  ;  ; 37 ; skir ; 163 
 3115 ; Облигация ; 1885 ;  ;  ;  ; 53 ; Mike! ; 173 
 3116 ; Облигация ; 1885 ;  ;  ;  ; 1 ; QSL ; 202 
 3117 ; Облигация ; 1885 ;  ;  ;  ; 1 ; QSL ; 188 
 3118 ; Облигация ; 1885 ;  ;  ;  ; 47 ; asru ; 171 
 3119 ; Облигация ; 1885 ;  ;  ;  ; 13 ; skir ; 161 
 3120 ; Облигация ; 1885 ;  ;  ;  ; 14 ; ZAA_44 ; 200 
 3121 ; Бона иностранная ;  ;  ;  ;  ; 9 ; МОЁ ; 219 
 3122 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Sky2 ; 31 
 3123 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sky2 ; 21 
 3124 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sky2 ; 20 
 3125 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sky2 ; 20 
 3126 ; Бона иностранная ;  ;  ;  ;  ; 38 ; bethowen ; 120 
 3127 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alex995 ; 14 
 3128 ; Бона иностранная ;  ;  ;  ;  ; 6 ; seaman ; 15 
 3129 ; Бона иностранная ;  ;  ;  ;  ; 29 ; Sky2 ; 41 
 3130 ; Бона иностранная ;  ;  ;  ;  ; 21 ; Sky2 ; 24 
 3131 ; Бона иностранная ;  ;  ;  ;  ; 2 ; кент74 ; 26 
 3132 ; Бона иностранная ;  ;  ;  ;  ; 7 ; МОЁ ; 42 
 3133 ; Бона иностранная ;  ;  ;  ;  ; 3 ; seaman ; 29 
 3134 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Sky2 ; 30 
 3135 ; Бона иностранная ;  ;  ;  ;  ; 8 ; seaman ; 19 
 3136 ; Бона иностранная ;  ;  ;  ;  ; 8 ; seaman ; 14 
 3137 ; Бона иностранная ;  ;  ;  ;  ; 18 ; seaman ; 19 
 3138 ; Бона иностранная ;  ;  ;  ;  ; 8 ; seaman ; 14 
 3139 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Sky2 ; 25 
 3140 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Sky2 ; 25 
 3141 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Sky2 ; 25 
 3142 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Sky2 ; 51 
 3143 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Sky2 ; 20 
 3044 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 19 ; джон007 ; 151 
 3045 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 64 ; джон007 ; 153 
 3046 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 51 ; джон007 ; 152 
 3047 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 21 ; hrip ; 150 
 3048 ; 50 копеек. Копи "Кизил-Кия" ;  ;  ;  ;  ; 18 ; НБ ; 707 
 3049 ; 1000 рублей. Кооператив сотрудников Татсоюза ;  ;  ;  ;  ; 12 ; ura 57 ; 522 
 3050 ; 10 рублей. Енисейский губсоюз ; 1922 ;  ;  ;  ; 22 ; Ksn ; 805 
 3051 ; 25 рублей. Енисейский губсоюз ; 1922 ;  ;  ;  ; 22 ; Ksn ; 805 
 3052 ; 50 рублей. Енисейский губсоюз ; 1922 ;  ;  ;  ; 32 ; Ksn ; 1224 
 3053 ; 1 рубль. Астрахань ; 1918 ;  ;  ;  ; 26 ; VR62 ; 126 
 3054 ; 100 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 44 ; Coins911 ; 104 
 3055 ; 3 марки ; 1919 ; Эстония ;  ;  ; 34 ; ura 57 ; 450 
 3056 ; 50 рублей. Екатеринбург ; 1922 ;  ;  ;  ; 33 ; Ksn ; 1224 
 3057 ; 5 рублей. Сибирское товарищество печ.дела ;  ;  ;  ;  ; 34 ; Ksn ; 2333 
 3058 ; 5 рублей. Лысьвенский горный округ ;  ;  ;  ;  ; 19 ; Ksn ; 896 
 3059 ; 100 рублей. Екатеринбург ; 1922 ;  ;  ;  ; 53 ; Ksn ; 1224 
 3060 ; 3 рубля. Организация казенных с.-х.складов ;  ;  ;  ;  ; 35 ; бездельник22 ; 803 
 3061 ; 3 рубля ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 50 ; dog009 ; 5102 
 3062 ; 1 пункт. Оккупация Литвы ; 1945 ;  ;  ;  ; 36 ; dog009 ; 2295 
 3063 ; 3 рубля. Архангельск ; 1918 ; Чек (без штампов регистрации) ;  ;  ; 32 ; мирон ; 250 
 3064 ; 50 рублей. Ташкент ; 1918 ; Туркестан ;  ;  ; 11 ; hotin ; 1275 
 3065 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 38 ; marsel ; 207 
 3066 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 21 ; конь ; 146 
 3067 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 17 ; конь ; 182 
 3068 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 39 ; rse ; 297 
 3069 ; 1 рубль. Родзянко ; 1919 ;  ;  ; AU ; 33 ; hjk1974 ; 722 
 3070 ; 3 рубля. Родзянко ; 1919 ;  ;  ; AU ; 11 ; nord17 ; 805 
 3071 ; 10 рублей. Родзянко ; 1919 ;  ;  ; AU ; 9 ; hjk1974 ; 708 
 3072 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 ;  ; AU ; 18 ; Ksn ; 395 
 3073 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 20 ; asru ; 306 
 3074 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 9 ; конь ; 306 
 3075 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 21 ; конь ; 303 
 3076 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 47 ; Dimm ; 303 
 3077 ; 1 рубль ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 27 ; Sky2 ; 297 
 3078 ; 1 рубль. Однолитерная ; 1938 ;  ;  ; AU ; 16 ; ZAC ; 7694 
 3079 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 46 ; seaman ; 1111 
 3080 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 94 ; Almazin ; 1106 
 3081 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ; AU ; 49 ; конь ; 1071 
 3082 ; 25 рублей. Обязательство ; 1919 ;  ;  ; AU ; 14 ; нумизмат ; 305 
 3083 ; 100 рублей ; 1961 ;  ;  ; AU ; 36 ; tyresmsk ; 283 
 3084 ; 100 рублей ; 1961 ;  ;  ; AU ; 37 ; Максимус 1 ; 271 
 3085 ; 500 рублей ; 1992 ; билет ;  ; AU ; 15 ; тнн ; 57 
 3086 ; 500 рублей ; 1992 ; билет ;  ; AU ; 21 ; Максимус 1 ; 122 
 3087 ; 500 рублей ; 1992 ; билет ;  ; AU ; 10 ; тнн ; 61 
 3088 ; 5000 рублей ; 1992 ; банкнота ;  ; AU ; 26 ; Михалыч ; 183 
 3089 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ; AU ; 49 ; ZAC ; 2654 
 3090 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ; AU ; 48 ; shtuka ; 5579 
 3091 ; 10000 рублей ; 1919 ;  ;  ; AU ; 14 ; lelik ; 595 
 3092 ; 5000 рублей ; 1923 ; Закавказье ;  ; AU ; 72 ; hjk1974 ; 1598 
 3093 ; 100000 рублей ; 1923 ; Закавказье ;  ; AU ; 32 ; hjk1974 ; 3044 
 2440 ; 2 кроны. Швеция. 300 лет со дня смерти Густава II Адольфа ; 1932 ;  ; Ag ; UNC/AU ; 45 ; rizovtpl ; 850 
 2441 ; 1 крона. Швеция. Оскар II ; 1898 ;  ; Ag ; VF+ ; 51 ; tau ; 340 
 2442 ; 10 эре. Швеция ; 1941 ;  ; Ag ; XF+ ; 25 ; Coins911 ; 33 
 2443 ; 10 эре. Швеция ; 1944 ;  ; Ag ; XF+ ; 17 ; kpblca ; 18 
 2444 ; 10 эре. Швеция ; 1953 ;  ; Ag ; XF+ ; 18 ; Coins911 ; 25 
 2445 ; 5 эре. Швеция ; 1886 ;  ; Br ; VF+ ; 16 ; kergudu ; 153 
 2446 ; Лот монет Испании (8 шт): 1, 2 евро, 50, 20, 10, 5, 2, 1 евроцентов ; 1999-2003 ;  ;  ; XF+/AU ; 55 ; Sanya ; 204 
 3001 ; 1 копейка ; 1917 ; Деньги-марки ;  ;  ; 7 ; hjk1974 ; 128 
 3002 ; 2 копейки ; 1915 ; Деньги-марки ;  ;  ; 18 ; hjk1974 ; 351 
 3003 ; 3 копейки ; 1915 ; Деньги-марки ;  ;  ; 39 ; hjk1974 ; 458 
 3004 ; 10 копеек ; 1915 ; Деньги-марки ;  ;  ; 23 ; hjk1974 ; 129 
 3005 ; 15 копеек ; 1915 ; Деньги-марки ;  ;  ; 14 ; hjk1974 ; 50 
 3006 ; 1 рубль ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 41 ; Михалыч ; 51 
 3007 ; 2 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 11 ; igor_r65 ; 77 
 3008 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 69 ; Михалыч ; 105 
 3009 ; 25 рублей ; 1922 ;  ;  ;  ; 37 ; Михалыч ; 153 
 3010 ; 50 копеек. Одесса ;  ;  ;  ;  ; 57 ; hjk1974 ; 1385 
 3011 ; 20 копеек. Н.- Тагильское общество потребителей ;  ;  ;  ;  ; 18 ; НБ ; 516 
 3012 ; 3 копейки. Н.- Тагильское общество потребителей ;  ;  ;  ;  ; 18 ; НБ ; 514 
 3013 ; 250 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 44 ; Михалыч ; 104 
 3014 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 18 ; gelind ; 55 
 3015 ; 250 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ;  ; 11 ; dog009 ; 174 
 3016 ; 10 копеек ; 1976 ;  ;  ;  ; 4 ; lomotok ; 31 
 3017 ; 10 копеек ; 1976 ;  ;  ;  ; 4 ; Михалыч ; 32 
 3018 ; 5 рублей. Юденич ; 1919 ;  ;  ;  ; 26 ; Sky2 ; 394 
 3019 ; 5 рублей. Юденич ; 1919 ;  ;  ;  ; 12 ; Sky2 ; 396 
 3020 ; 5 рублей. Юденич ; 1919 ;  ;  ;  ; 68 ; Sky2 ; 397 
 3021 ; 5 рублей. Юденич ; 1919 ;  ;  ;  ; 20 ; Sky2 ; 397 
 3022 ; 25 рублей. Обязательство ; 1919 ;  ;  ;  ; 29 ; test ; 67 
 3023 ; 25 рублей. Обязательство ; 1919 ;  ;  ;  ; 19 ; test ; 55 
 3024 ; 50 рублей. Обязательство ; 1919 ;  ;  ;  ; 25 ; skir ; 37 
 3025 ; 50 рублей. Обязательство ; 1919 ;  ;  ;  ; 25 ; lelik35 ; 35 
 3026 ; 50 рублей. Обязательство ; 1919 ;  ;  ;  ; 6 ; Майкл ; 172 
 3027 ; 50 рублей. Обязательство ; 1919 ;  ;  ;  ; 13 ; Майкл ; 67 
 3028 ; 50 рублей. Обязательство ; 1919 ;  ;  ;  ; 17 ; skir ; 61 
 3029 ; 50 рублей. Обязательство ; 1919 ;  ;  ;  ; 41 ; VR62 ; 53 
 3030 ; 1000 рублей ; 1992 ; билет ;  ;  ; 4 ; 4758 ; 31 
 3031 ; 1000 рублей ; 1992 ; билет ;  ;  ; 4 ; 4758 ; 31 
 3032 ; 1000 рублей ; 1992 ; билет ;  ;  ; 5 ; 4758 ; 31 
 3033 ; 1000 рублей ; 1992 ; билет ;  ;  ; 4 ; 4758 ; 31 
 3034 ; 2 доллара США ; 1928 ;  ;  ;  ; 7 ; ZAC ; 1020 
 3035 ; 2 доллара США ; 1953 ;  ;  ;  ; 8 ; hjk1974 ; 911 
 3036 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 18 ;  ;  ; 25 ; Assa_77 ; 40 
 3037 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 18 ;  ;  ; 24 ; denison ; 41 
 3038 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 18 ;  ;  ; 2 ; hrip ; 51 
 3039 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 2 ; тнн ; 30 
 3040 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 3 ; Assa_77 ; 31 
 3041 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 5 ; Assa_77 ; 31 
 3042 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 10 ; asru ; 51 
 3043 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 38 ; igo ; 164 
 2390 ; 3 пенса. Великобритания. Виктория ; 1890 ;  ; Ag ; AU ; 34 ; zerkalozemli ; 334 
 2391 ; 3 пенса. Великобритания. Виктория ; 1894 ;  ; Ag ; VF+ ; 22 ; VR62 ; 153 
 2392 ; 3 пенса. Великобритания. Эдвард VII ; 1909 ;  ; Ag ; XF+ ; 24 ; ZAC ; 1122 
 2393 ; 3 пенса. Великобритания. Георг V ; 1913 ;  ; Ag ; AU ; 11 ; zerkalozemli ; 229 
 2394 ; 2 пенса. Великобритания. Виктория ; 1838 ;  ; Ag ; AU ; 52 ; dir259 ; 801 
 2395 ; 1 пенни. Великобритания. Георг III ; 1800 ;  ; Ag ; XF+ ; 41 ; тнн ; 1102 
 2396 ; 25 центов. Канада. Отверстие ; 1941 ;  ; Ag ; F-VF ; 21 ; alex995 ; 37 
 2397 ; 5 песет. Испания. Франциско Франко Каудильо ; 1957 ;  ; Cu/Ni ; VF+ ; 13 ; niyaz ; 18 
 2398 ; 50 миллимов. Тунис ; 1997 ;  ; Латунь ; VF-XF ; 9 ; vanamo ; 28 
 2399 ; 10 центов. Нидерланды ; 1943 ;  ; Zn ; VF-XF ; 33 ; kay2 ; 81 
 2400 ; 5 центов. Нидерланды. Джулиана ; 1980 ;  ; Br ; XF+ ; 13 ; vanamo ; 20 
 2401 ; 1 цент. Нидерланды. Джулиана ; 1965 ;  ; Br ; XF- ; 15 ; alex995 ; 17 
 2402 ; 2 шиллинга. Великобритания ; 1966 ;  ; Cu/Ni ; VF+ ; 19 ; Артемыч ; 36 
 2403 ; 2 евроцента. Германия ; 2003J ;  ; Cu/St ; AU ; 6 ; Sea Dragon ; 15 
 2404 ; 2 евроцента. Германия ; 2004F ;  ; Cu/St ; AU ; 8 ; solder13 ; 14 
 2405 ; 2 евроцента. Германия ; 2005F ;  ; Cu/St ; AU ; 5 ; alex995 ; 12 
 2406 ; 2 евроцента. Австрия ; 2003 ;  ; Cu/St ; AU ; 13 ; Girus_ ; 14 
 2407 ; 1 евроцент. Германия ; 2005D ;  ; Cu/St ; AU ; 5 ; alex995 ; 13 
 2408 ; 1 евроцент. Франция ; 2004 ;  ; Cu/St ; AU ; 6 ; Girus_ ; 14 
 2409 ; 8 реалов. Испания. Отверстие 9 часов ; серебр. ;  ; Ag ; F-VF ; 57 ; ВЯЗ ; 521 
 2410 ; 5 марок. ФРГ ; 1951G ;  ; Ag ; VF+ ; 64 ; 542 ; 365 
 2411 ; 5 марок. Финляндия. Ледокол Варма ; 1973 ;  ; Al/Br ; AU ; 16 ; priorat13 ; 199 
 2412 ; 6 пенсов. Великобритания. Георг V ; 1915 ;  ; Ag ; VF ; 34 ; Бамс ; 161 
 2413 ; 10 пфеннигов. ФРГ ; 1950D ;  ; Br ; VF+ ; 3 ; alex995 ; 11 
 2414 ; 10 пфеннигов. ФРГ ; 1973D ;  ; Br ; VF+ ; 3 ; niyaz ; 14 
 2415 ; 5 пфеннигов. Веймар ; 1925А ;  ; Al/Br ; F-VF ; 15 ; niyaz ; 15 
 2416 ; 25 марок. Финляндия. 750 лет городу Турку ; 1979 ;  ; Ag ; AU ; 32 ; kvnsmol ; 444 
 2417 ; 200 марок. Финляндия ; 1957 ;  ; Ag ; AU ; 115 ; ВЯЗ ; 296 
 2418 ; 1 марка. Финляндия ; 1960 ;  ; Ni/Fe ; AU ; 36 ; rizovtpl ; 44 
 2419 ; 5 пенни. Финляндия ; 1919 ;  ; Cu ; VF+ ; 19 ; tdp ; 31 
 2420 ; 5 пенни. Финляндия ; 1920 ;  ; Cu ; VF+ ; 47 ; solder13 ; 62 
 2421 ; 5 пенни. Финляндия ; 1921 ;  ; Cu ; VF+ ; 6 ; vanamo ; 15 
 2422 ; 5 пенни. Финляндия ; 1922 ;  ; Cu ; VF+ ; 5 ; vanamo ; 16 
 2423 ; 5 пенни. Финляндия ; 1935 ;  ; Cu ; VF-XF ; 7 ; solder13 ; 28 
 2424 ; 5 пенни. Финляндия ; 1936 ;  ; Cu ; VF- ; 3 ; tdp ; 7 
 2425 ; 5 пенни. Финляндия ; 1937 ;  ; Cu ; XF- ; 11 ; vanamo ; 13 
 2426 ; 5 пенни. Финляндия ; 1938 ;  ; Cu ; VF-XF ; 5 ; solder13 ; 20 
 2427 ; 5 пенни. Финляндия ; 1939 ;  ; Cu ; VF-XF ; 23 ; solder13 ; 34 
 2428 ; 5 пенни. Финляндия ; 1941 ;  ; Cu ; XF+ ; 28 ; solder13 ; 40 
 2429 ; 5 пенни. Финляндия ; 1942 ;  ; Cu ; XF+ ; 22 ; solder13 ; 48 
 2430 ; 5 пенни. Финляндия ; 1943 ;  ; Cu ; XF+ ; 27 ; Артемыч ; 26 
 2431 ; 5 пенни. Финляндия ; 1963 ;  ; Cu ; VF-XF ; 10 ; tdp ; 21 
