 3212 ; Бона иностранная ;  ;  ;  ;  ; 16 ; buzykin ; 43 
 3188 ; Бона иностранная ;  ;  ;  ;  ; 17 ; von_Schwarz ; 92 
 3189 ; Бона иностранная ;  ;  ;  ;  ; 7 ; mifod ; 55 
 3190 ; Бона иностранная ;  ;  ;  ;  ; 14 ; QSL ; 31 
 3191 ; Бона иностранная ;  ;  ;  ;  ; 13 ; lesnik1 ; 117 
 3192 ; Бона иностранная ;  ;  ;  ;  ; 9 ; nato ; 53 
 3193 ; Бона иностранная ;  ;  ;  ;  ; 20 ; mifod ; 50 
 3194 ; Бона иностранная ;  ;  ;  ;  ; 39 ; mifod ; 101 
 3195 ; Бона иностранная ;  ;  ;  ;  ; 45 ; бездельник22 ; 462 
 3196 ; Бона иностранная ;  ;  ;  ;  ; 28 ; tss ; 73 
 3197 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Coins911 ; 129 
 3198 ; Бона иностранная ;  ;  ;  ;  ; 15 ; lesnik1 ; 107 
 3199 ; Бона иностранная ;  ;  ;  ;  ; 9 ; QSL ; 51 
 3200 ; Бона иностранная ;  ;  ;  ;  ; 12 ; nato ; 36 
 3201 ; Бона иностранная ;  ;  ;  ;  ; 31 ; tss ; 47 
 3202 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Peugene ; 74 
 3203 ; Бона иностранная ;  ;  ;  ;  ; 28 ; бездельник22 ; 305 
 3204 ; Бона иностранная ;  ;  ;  ;  ; 10 ; buzykin ; 51 
 3205 ; Бона иностранная ;  ;  ;  ;  ; 27 ; tss ; 97 
 3206 ; Бона иностранная ;  ;  ;  ;  ; 41 ; 542 ; 161 
 3207 ; Бона иностранная ;  ;  ;  ;  ; 25 ; S8D36 ; 37 
 3208 ; Бона иностранная ;  ;  ;  ;  ; 8 ; skir ; 30 
 3209 ; Бона иностранная ;  ;  ;  ;  ; 46 ; mifod ; 91 
 3210 ; Бона иностранная ;  ;  ;  ;  ; 31 ; mifod ; 37 
 3211 ; Бона иностранная ;  ;  ;  ;  ; 12 ; mifod ; 47 
 3112 ; Акция Русско-Бельгийская компания по производству гончарных изделий. Привилегированная ; 1898 ;  ;  ;  ; 33 ; lelik ; 655 
 3113 ; Акция. АО по изготовлению котлов а С.-Петербурге. На капитал ; 1898 ;  ;  ;  ; 17 ; and000 ; 616 
 3114 ; Акция. АО по изготовлению котлов в С.-Петербурге. На владение ; 1898 ;  ;  ;  ; 17 ; and000 ; 616 
 3115 ; Облигация ; 1885 ;  ;  ;  ; 23 ; skir ; 230 
 3116 ; Облигация ; 1885 ;  ;  ;  ; 26 ; QSL ; 285 
 3117 ; Облигация ; 1894 ;  ;  ;  ; 11 ; skir ; 215 
 3118 ; Облигация ; 1894 ;  ;  ;  ; 17 ; skir ; 230 
 3119 ; Акция. Ленское золотопромышленное товарищество ; 1910 ;  ;  ;  ; 24 ; 223355 ; 569 
 3120 ; Акция. Заводы по изготовлению и испытанию цепей и якорей ; 1911 ;  ;  ;  ; 29 ; and000 ; 703 
 3121 ; 2 злотых. Польша ; 1944 ;  ;  ;  ; 30 ; cochu ; 102 
 3122 ; 2 злотых. Польша ; 1946 ;  ;  ;  ; 73 ; 542 ; 203 
 3123 ; 5 злотых. Польша ; 1946 ;  ;  ;  ; 58 ; 542 ; 231 
 3124 ; 10 злотых. Польша ; 1946 ;  ;  ;  ; 18 ; cochu ; 120 
 3125 ; 50 лек. Албания ; 1957 ;  ;  ;  ; 41 ; cochu ; 132 
 3126 ; 20 эскудо. Португалия ; 1978 ;  ;  ;  ; 20 ; mifod ; 81 
 3127 ; 5 марок ; 1904 ;  ;  ;  ; 48 ; бездельник22 ; 815 
 3128 ; 10 марок ; 1906 ;  ;  ;  ; 56 ; kostian1284 ; 204 
 3129 ; 50 марок ; 1906 ;  ;  ;  ; 44 ; бездельник22 ; 306 
 3130 ; 50 марок ; 1910 ;  ;  ;  ; 31 ; бездельник22 ; 306 
 3131 ; 20 марок ; 1914 ;  ;  ;  ; 55 ; skir ; 96 
 3132 ; 20 марок ; 1914 ;  ;  ;  ; 39 ; skir ; 72 
 3133 ; 20 марок ; 1915 ;  ;  ;  ; 24 ; kostian1284 ; 204 
 3134 ; 20 марок ; 1918 ;  ;  ;  ; 40 ; eddy ; 153 
 3135 ; 10 марок ; 1920 ;  ;  ;  ; 26 ; kostian1284 ; 249 
 3136 ; 50 марок ; 1920 ;  ;  ;  ; 45 ; kostian1284 ; 244 
 3137 ; 5000 марок ; 1922 ;  ;  ;  ; 62 ; бездельник22 ; 345 
 3138 ; 1 миллион марок ; 1922 ;  ;  ;  ; 51 ; 542 ; 305 
 3139 ; 5 рейхсмарок ; 1942 ;  ;  ;  ; 47 ; 1972 ; 432 
 3140 ; 20 рейхсмарок ; 1942 ;  ;  ;  ; 25 ; 1972 ; 209 
 3141 ; 10 миллионов марок ; 1923 ;  ;  ;  ; 22 ; Майкл ; 305 
 3142 ; 5 миллиардов марок ; 1923 ;  ;  ;   ; 55 ; бездельник22 ; 948 
 3143 ; 20 миллиардов марок ; 1923 ;  ;  ;   ; 15 ; 542 ; 485 
 3144 ; 5 марок ; 1917 ;  ;  ;  ; 33 ; eddy ; 126 
 3145 ; 10 марок ; 1929 ;  ;  ;  ; 57 ; den_ff ; 212 
 3146 ; 1/2 марки ; 1944 ;  ;  ;  ; 25 ; бездельник22 ; 306 
 3147 ; 1 марка ; 1944 ;  ;  ;  ; 26 ; eddy ; 105 
 3148 ; 5 марок ; 1944 ;  ;  ;  ; 18 ; eddy ; 102 
 3149 ; 10 марок ; 1944 ;  ;  ;  ; 3 ; 223355 ; 88 
 3150 ; 1 марка ; 1944 ;  ;  ;  ; 27 ; бездельник22 ; 306 
 3151 ; 5 марок ; 1944 ;  ;  ;  ; 16 ; нумизмат ; 102 
 3152 ; 20 марок ; 1944 ;  ;  ;  ; 10 ; eddy ; 153 
 3153 ; 50 марок ; 1944 ;  ;  ;  ; 60 ; eddy ; 300 
 3154 ; 100 марок ; 1944 ;  ;  ;  ; 23 ; eddy ; 150 
 3155 ; 1000 марок ; 1944 ;  ;  ;  ; 63 ; von_Schwarz ; 1082 
 3156 ; 1000 марок ; 1922 ;  ;  ;  ; 64 ; mifod ; 101 
 3157 ; Бона. Франция ;  ;  ;  ;  ; 26 ; Банзай ; 406 
 3158 ; 10 крон ; 1922 ;  ;  ;  ; 36 ; Peugene ; 107 
 3159 ; 100 крон ; 1922 ;  ;  ;  ; 71 ; S8D36 ; 120 
 3160 ; 20 крон ; 1913 ;  ;  ;  ; 34 ; nato ; 151 
 3161 ; Бона иностранная ;  ;  ;  ;  ; 29 ; mifod ; 30 
 3062 ; 50 рублей ; 1992  ; билет  ;  ; AU ; 31 ; 223355 ; 150 
 3063 ; 100 рублей ; 1991 ; билет  ;  ; AU ; 28 ; Dima777 ; 159 
 3064 ; 5000 рублей ; 1992 ; банкнота  ;  ; AU ; 41 ; tss ; 181 
 3065 ; 10000 рублей ; 1992 ; банкнота  ;  ; AU ; 68 ; buzykin ; 300 
 3066 ; 500 рублей ; 1992 ; билет  ;  ; AU ; 11 ; zero ; 118 
 3067 ; 1000 рублей ; 1992 ; билет  ;  ; AU ; 34 ; tss ; 201 
 3068 ; 10 рублей ; 1997 ;  ;  ; AU ; 66 ; Gop ; 508 
 3069 ; 10000 рублей ; 1995 ; банкнота  ;  ; AU ; 71 ; Dima777 ; 878 
 3070 ; 1000 рублей ; 1993 ; банкнота  ;  ; AU ; 44 ; hanir ; 357 
 3071 ; 5000 рублей ; 1994(93) ; банкнота  ;  ; AU ; 151 ; Dima777 ; 1536 
 3072 ; 10000 рублей ; 1993 ; банкнота  ;  ; AU ; 59 ; Dima777 ; 1066 
 3073 ; 50 рублей ; 1918 ; Заемные билеты.Общество Владик ;  ; AU ; 33 ; necator ; 1468 
 3074 ; 3 рубля. Квартблок ; 1919 ; Расчетные знаки РСФСР  ;  ; AU ; 67 ; Dima777 ; 590 
 3075 ; 1 рубль. Квартблок ; 1919 ; Расчетные знаки РСФСР  ;  ; AU ; 65 ; Dima777 ; 578 
 3076 ; 500 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 38 ; shtuka ; 765 
 3077 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 23 ; shtuka ; 793 
 3078 ; 25 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ; AU ; 70 ; Gop ; 2948 
 3079 ; 50 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ; AU ; 64 ; 67 ; 1532 
 3080 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 18 ;  ; AU ; 49 ; tirop ; 2119 
 3081 ; 100 рублей ; 1922 ; Гос.денежные знаки образца 192 ;  ; AU ; 50 ; 67 ; 1173 
 3082 ; 15 рублей. Квартблок ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 37 ; SlavA ; 1134 
 3083 ; 250 рублей   ; 1922 ; Гос.денежные знаки образца 192 ;  ; AU ; 38 ; А2007 ; 12100 
 3084 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ; AU ; 26 ; nato ; 74 
 3085 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 97 ; Gop ; 1540 
 3086 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 98 ; Gop ; 4001 
 3087 ; "1 рубль. Харьков ""Автокредит""" ;  ;  ;  ; XF ; 68 ; 67 ; 1482 
 3088 ; 50 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ; XF ; 29 ; o.k. ; 419 
 3089 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ; XF ; 31 ; lelik ; 753 
 3090 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца  ;  ; XF ; 76 ; hjk1974 ; 906 
 3091 ; 500 рублей ; 1919 ; Закаспийское Временное Правите ;  ; XF ; 45 ; 67 ; 2335 
 3092 ; 250 рублей ; 1917 ; Денежные знаки  ;  ; XF ; 35 ; tirop ; 2229 
 3093 ; 10 червонцев ; 1937 ; Билет  ;  ; XF ; 100 ; PolAn ; 653 
 3094 ; 1000 рублей ; 1919 ;  ;  ; XF ; 47 ; skir ; 500 
 3095 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные би ;  ; XF ; 61 ; Gop ; 3601 
 3096 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1 ;  ; XF ; 63 ; Gop ; 3604 
 3097 ; 100 рублей ; 1910 ; Коншин. Гос.кредитные билеты 1 ;  ; XF ; 42 ; SlavA ; 1020 
 3098 ; 500 рублей ; 1898 ; Коншин 1910 г. Гос.кредитные б ;  ; XF ; 77 ; Gop ; 26396 
 3099 ; 500 рублей ; 1912 ; Шипов. Гос.кредитные билеты 19 ;  ;  ; 47 ; evgen72 ; 312 
 3100 ; 1000000 рублей. Обязательство РСФСР ; 1921 ; Обязательства РСФСР 1921 г.  ;  ;  ; 36 ; нумизмат ; 3060 
 3101 ; Акция. Грозненская нефтяная компания ; 1895 ;  ;  ;  ; 19 ; 542 ; 343 
 3102 ; Облигация Петроградского городского кредитного об-ва ; 1915 ;  ;  ;  ; 19 ; lelik ; 612 
 3103 ; Акция. Одесса ; 1901 ;  ;  ;  ; 21 ; Mike! ; 394 
 3104 ; Акция метеллургического общества ; 1900 ;  ;  ;  ; 46 ; test ; 297 
 3105 ; Акция метеллургического общества ; 1900 ;  ;  ;  ; 23 ; test ; 297 
 3106 ; Акция. Киев ; 1905 ;  ;  ;  ; 25 ; Mike! ; 297 
 3107 ; Акция. Киев ; 1905 ;  ;  ;  ; 38 ; Mike! ; 291 
 3108 ; Акция Государев байрак ; 1899 ;  ;  ;  ; 23 ; lelik ; 410 
 3109 ; Акция металлургического общества ; 1900 ;  ;  ;  ; 5 ; QSL ; 305 
 3110 ; Акция. Санкт-Петербург ; 1912 ;  ;  ;  ; 51 ; lelik ; 457 
 3111 ; Акция Русско-Бельгийская компания по производству гончарных изделий ; 1898 ;  ;  ;  ; 23 ; монеткин ; 681 
 3012 ; 1 марка золотом ; 1916 ; Финляндия билет  ;  ;  ; 8 ; lelik ; 306 
 3013 ; Талон. Петрокоммуна ; 1920 ;  ;  ;  ; 36 ; Банзай ; 303 
 3014 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 15 ; obob999 ; 22 
 3015 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 25 ; Grod ; 30 
 3016 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 18 ; amd4200 ; 28 
 3017 ; 100 рублей. Чита ; 1920 ;  ;  ;  ; 42 ; acer ; 392 
 3018 ; 50 копеек. Русско-Азиатский банк ; 1919 ;  ;  ;  ; 16 ; hjk1974 ; 767 
 3019 ; 50 рублей ; 1919 ; Армения  ;  ;  ; 51 ; hjk1974 ; 605 
 3020 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 40 ; hjk1974 ; 349 
 3021 ; 50 карбованцев ; 1918 ; Украина. Знак Державноi скарбн ;  ;  ; 27 ; tati1545 ; 185 
 3022 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 33 ; Ilyas ; 153 
 3023 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 49 ; hjk1974 ; 113 
 3024 ; 25 рублей ; 1923 ; Гос.денежные знаки. Второй вып ;  ;  ; 76 ; kostian1284 ; 768 
 3025 ; 10 рублей. Ашхабад ; 1919 ; Закаспийское Временное Правите ;  ;  ; 27 ; hjk1974 ; 650 
 3026 ; 1 рубль ; 1898 ; Тимашев. Гос.кредитные билеты  ;  ;  ; 21 ; kishkis ; 125 
 3027 ; 250 рублей   ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 29 ; hjk1974 ; 69 
 3028 ; 250 рублей   ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 19 ; amd4200 ; 27 
 3029 ; 250 рублей   ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 8 ; ЧИС ; 30 
 3030 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 17 ; evgen72 ; 74 
 3031 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 24 ; 223355 ; 180 
 3032 ; 5 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 32 ; Ilyas ; 187 
 3033 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 19 ; evgen72 ; 68 
 3034 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные би ;  ;  ; 34 ; Ilyas ; 79 
 3035 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 33 ; Grod ; 42 
 3036 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 6 ; amd4200 ; 27 
 3037 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 30 ; hjk1974 ; 214 
 3038 ; 500 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 17 ; amd4200 ; 36 
 3039 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 21 ; hjk1974 ; 101 
 3040 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 22 ; amd4200 ; 39 
 3041 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 ;  ;  ; 21 ; evgen72 ; 46 
 3042 ; 10 рублей ; 1909 ; Тимашев. Гос.кредитные билеты  ;  ;  ; 62 ; greedy ; 729 
 3043 ; 10 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные б ;  ;  ; 45 ; acer ; 255 
 3044 ; 1 рубль ; 1919 ; Расчетные знаки РСФСР  ;  ; AU ; 49 ; Gop ; 369 
 3045 ; 2 рубля ; 1919 ; Расчетные знаки РСФСР  ;  ; AU ; 58 ; seaman ; 340 
 3046 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР  ;  ; AU ; 17 ; 705709 ; 306 
 3047 ; 50 рублей ; 1920 ; Расчетные знаки РСФСР образца  ;  ; AU ; 57 ; Gop ; 793 
 3048 ; 2 рубля. Сцепка 3 шт. ; 1919 ; Расчетные знаки РСФСР  ;  ; AU ; 21 ; hjk1974 ; 510 
 3049 ; 100 рублей ; 1993 ; банкнота  ;  ; AU ; 19 ; tss ; 41 
 3050 ; 200 рублей ; 1993 ; банкнота  ;  ; AU ; 36 ; tss ; 153 
 3051 ; 500 рублей ; 1993 ; банкнота  ;  ; AU ; 12 ; marsel ; 92 
 3052 ; 500 рублей ; 1993 ; банкнота  ;  ; AU ; 16 ; marsel ; 92 
 3053 ; 1000 рублей ; 1995 ; банкнота  ;  ; AU ; 27 ; hanir ; 159 
 3054 ; 1000 рублей ; 1995 ; банкнота  ;  ; AU ; 29 ; hanir ; 174 
 3055 ; 5 рублей ; 1997 ;  ;  ; AU ; 46 ; zero ; 153 
 3056 ; 5000 рублей ; 1995 ; банкнота  ;  ; AU ; 113 ; topotun ; 1532 
 3057 ; 15 рублей. Сцепка 2 шт. ; 1919 ; Расчетные знаки РСФСР образца  ;  ; AU ; 31 ; Dima777 ; 1275 
 3058 ; 25 рублей. Обязательство ; 1919 ;  ;  ; AU ; 68 ; Gop ; 1068 
 3059 ; 25 рублей. Обязательство ; 1919 ;  ;  ; AU ; 27 ; Gop ; 255 
 3060 ; 50 крон (образец) ; 1940 ;  ;  ; AU ; 43 ; smel ; 365 
 3061 ; 20 крон (образец) ; 1942 ;  ;  ; AU ; 23 ; smel ; 365 
 2352 ; 10 пенни. Финляндия ; 1940 ;  ; Cu ; VF-XF ; 31 ; Chirchic ; 72 
 2353 ; 10 пенни. Финляндия ; 1941 ;  ; Cu ; XF+ ; 26 ; Chirchic ; 105 
 2354 ; 10 пенни. Финляндия ; 1942 ;  ; Cu ; AU ; 36 ; В1951 ; 132 
 2355 ; 10 пенни. Финляндия ; 1943 ;  ; Cu ; AU ; 21 ; topotun ; 161 
 2356 ; 10 пенни. Финляндия. Новый тип ; 1943 ;  ; Fe ; AU ; 54 ; av ; 320 
 2357 ; 10 пенни. Финляндия ; 1944 ;  ; Fe ; AU ; 76 ; В1951 ; 209 
 2358 ; 10 пенни. Финляндия ; 1945 ;  ; Fe ; AU ; 25 ; topotun ; 328 
 2359 ; 10 пенни. Финляндия ; 1963 ;  ; Al/Br ; AU ; 1 ; rse ; 50 
 2360 ; 10 пенни. Финляндия ; 1964 ;  ; Al/Br ; XF+ ; 11 ; 542 ; 53 
 2361 ; 10 пенни. Финляндия ; 1965 ;  ; Al/Br ; XF+ ; 14 ; sts ; 51 
 2362 ; 10 пенни. Финляндия ; 1966 ;  ; Al/Br ; XF+ ; 11 ; avg1974 ; 51 
 2363 ; 10 пенни. Финляндия ; 1967 ;  ; Al/Br ; XF+ ; 13 ; topotun ; 279 
 2364 ; 10 пенни. Финляндия ; 1968 ;  ; Al/Br ; XF+ ; 7 ; 542 ; 53 
 2365 ; 10 пенни. Финляндия ; 1969 ;  ; Al/Br ; AU ; 17 ; topotun ; 51 
 2366 ; 10 пенни. Финляндия ; 1970 ;  ; Al/Br ; XF+ ; 12 ; sts ; 55 
 2367 ; 10 пенни. Финляндия ; 1971 ;  ; Al/Br ; XF+ ; 3 ; vjacha ; 7 
 2368 ; 10 пенни. Финляндия ; 1972 ;  ; Al/Br ; AU ; 13 ; solder13 ; 26 
 2369 ; 10 пенни. Финляндия ; 1973 ;  ; Al/Br ; XF+ ; 5 ; vjacha ; 9 
 2370 ; 10 пенни. Финляндия ; 1974 ;  ; Al/Br ; AU ; 5 ; sts ; 11 
 2371 ; 10 пенни. Финляндия ; 1975 ;  ; Al/Br ; AU ; 22 ; solder13 ; 32 
 2372 ; 10 пенни. Финляндия ; 1976 ;  ; Al/Br ; AU ; 30 ; Coins911 ; 31 
 2373 ; 10 пенни. Финляндия ; 1977 ;  ; Al/Br ; XF+ ; 3 ; vjacha ; 7 
 2374 ; 10 пенни. Финляндия ; 1978 ;  ; Al/Br ; XF+ ; 3 ; vjacha ; 7 
 2375 ; 10 пенни. Финляндия ; 1979 ;  ; Al/Br ; XF+ ; 5 ; solder13 ; 16 
 2376 ; 10 пенни. Финляндия ; 1980 ;  ; Al/Br ; AU ; 9 ; rizovtpl ; 23 
 2377 ; 10 пенни. Финляндия ; 1981 ;  ; Al/Br ; AU ; 4 ; Xe72 ; 16 
 2378 ; 10 пенни. Финляндия ; 1982 ;  ; Al/Br ; AU ; 8 ; solder13 ; 36 
 2379 ; 10 пенни. Финляндия ; 1984 ;  ; Al ; AU ; 14 ; 542 ; 36 
 2380 ; 10 пенни. Финляндия ; 1985 ;  ; Al ; AU ; 29 ; sts ; 33 
 2381 ; 10 пенни. Финляндия ; 1988 ;  ; Al ; AU ; 11 ; den_ff ; 37 
 2382 ; 10 пенни. Финляндия ; 1990 ; М ; Cu/Ni ; AU ; 4 ; Hant  ; 22 
 2383 ; 2 кроны. Швеция ; 1877 ;  ; Ag ; VF+ ; 29 ; Бамс ; 357 
 2384 ; 2 кроны. Швеция ; 1903 ;  ; Ag ; VF+ ; 39 ; 542 ; 337 
 2385 ;  2 кроны. Швеция ; 1948 ; TS ; Ag ; AU ; 71 ; ЕВС ; 414 
 2386 ;  2 кроны. Швеция ; 1959 ; TS ; Ag ; AU ; 46 ; mifod ; 510 
 2387 ; 1 крона. Швеция ; 1949 ;  ; Ag ; VF+ ; 21 ; Xe72 ; 126 
 2388 ; 1 тройская унция серебра. Кремневое оружие ;  ;  ; Ag ; Proof ; 46 ; erfahren ; 1560 
 2389 ; Набор монет Канады : 1 доллар, 50,25,10,5,1 цент. (6шт) ; 1968 ;  ; Br,Ni ; VF+/AU ; 35 ; Hant  ; 430 
 2390 ; Лот иностранных монет (65 шт): Чехословакия, Польша, США, Великобритания, Португалия, Куба, Болгария, Израиль, ГДР, Франция, Тайланд, Литва. Разных годов ;  ;  ; Cu/Ni, Al, ; VF/XF ; 27 ; ton2519 ; 388 
 3001 ; 3 копейки ; 1915 ; Деньги-марки  ;  ;  ; 41 ; test ; 67 
