 4327 ; 1 рубль ; 1898 ; Шипов. Гос.кредитные билеты 1898-1899 гг. ;  ;  ; 51 ; bob_tauranga ; 59 
 4309 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Manager ; 12 
 4310 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Manager ; 10 
 4311 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Dander ; 21 
 4312 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Manager ; 10 
 4313 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Manager ; 10 
 4314 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Manager ; 20 
 4315 ; Бона иностранная ;  ;  ;  ;  ; 32 ; lamazo ; 57 
 4316 ; Бона иностранная ;  ;  ;  ;  ; 56 ; intrest ; 357 
 4317 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Dander ; 37 
 4318 ; Бона иностранная ;  ;  ;  ;  ; 28 ; FOCU$ ; 32 
 4319 ; Бона иностранная ;  ;  ;  ;  ; 14 ; FOCU$ ; 41 
 4320 ; Бона иностранная ;  ;  ;  ;  ; 12 ; FOCU$ ; 30 
 4321 ; Бона иностранная ;  ;  ;  ;  ; 20 ; FOCU$ ; 40 
 4322 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Dander ; 33 
 4323 ; Бона иностранная ;  ;  ;  ;  ; 12 ; lamazo ; 32 
 4324 ; Бона иностранная ;  ;  ;  ;  ; 23 ; Dander ; 31 
 4325 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Germanfox ; 32 
 4326 ; Бона иностранная ;  ;  ;  ;  ; 18 ; hr-kot ; 47 
 4227 ; Бона иностранная ;  ;  ;  ;  ; 10 ; 555650 ; 49 
 4228 ; Бона иностранная ;  ;  ;  ;  ; 20 ; 34 ; 24 
 4229 ; Бона иностранная ;  ;  ;  ;  ; 31 ; liderssen ; 50 
 4230 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Dander ; 24 
 4231 ; Бона иностранная ;  ;  ;  ;  ; 17 ; kompman ; 17 
 4232 ; Бона иностранная ;  ;  ;  ;  ; 14 ; intrest ; 31 
 4233 ; Бона иностранная ;  ;  ;  ;  ; 18 ; Dander ; 31 
 4234 ; Бона иностранная ;  ;  ;  ;  ; 5 ; hr-kot ; 20 
 4235 ; Бона иностранная ;  ;  ;  ;  ; 5 ; hr-kot ; 20 
 4236 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 34 ; 24 
 4237 ; Бона иностранная ;  ;  ;  ;  ; 24 ; Dander ; 25 
 4238 ; Бона иностранная ;  ;  ;  ;  ; 17 ; 34 ; 24 
 4239 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Скрудж ; 38 
 4240 ; Бона иностранная ;  ;  ;  ;  ; 19 ; lamazo ; 36 
 4241 ; Бона иностранная ;  ;  ;  ;  ; 31 ; intrest ; 77 
 4242 ; Бона иностранная ;  ;  ;  ;  ; 16 ; 34 ; 19 
 4243 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Gera_K ; 23 
 4244 ; Бона иностранная ;  ;  ;  ;  ; 30 ; intrest ; 49 
 4245 ; Бона иностранная ;  ;  ;  ;  ; 24 ; ек ; 25 
 4246 ; Бона иностранная ;  ;  ;  ;  ; 6 ; hr-kot ; 30 
 4247 ; Бона иностранная ;  ;  ;  ;  ; 6 ; AIK60 ; 44 
 4248 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Dander ; 13 
 4249 ; Бона иностранная ;  ;  ;  ;  ; 17 ; lamazo ; 30 
 4250 ; Бона иностранная ;  ;  ;  ;  ; 18 ; ек ; 51 
 4251 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Manager ; 30 
 4252 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 34 ; 24 
 4253 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Dander ; 31 
 4254 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Dander ; 31 
 4255 ; Бона иностранная ;  ;  ;  ;  ; 13 ; lamazo ; 17 
 4256 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Dander ; 15 
 4257 ; Бона иностранная ;  ;  ;  ;  ; 5 ; ек ; 24 
 4258 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 4259 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 4260 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 4261 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 34 ; 24 
 4262 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 34 ; 24 
 4263 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 34 ; 28 
 4264 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Dander ; 30 
 4265 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Dander ; 31 
 4266 ; Бона иностранная ;  ;  ;  ;  ; 17 ; lamazo ; 61 
 4267 ; Бона иностранная ;  ;  ;  ;  ; 16 ; валери ; 20 
 4268 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 34 ; 26 
 4269 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Dander ; 25 
 4270 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 34 ; 28 
 4271 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 34 ; 19 
 4272 ; Бона иностранная ;  ;  ;  ;  ; 6 ; lamazo ; 41 
 4273 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Dander ; 30 
 4274 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Dander ; 31 
 4275 ; Бона иностранная ;  ;  ;  ;  ; 24 ; lamazo ; 33 
 4276 ; Бона иностранная ;  ;  ;  ;  ; 18 ; FOCU$ ; 25 
 4177 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4178 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4179 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 34 ; 24 
 4180 ; Бона иностранная ;  ;  ;  ;  ; 2 ; 555650 ; 33 
 4181 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4182 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4183 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4184 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 35 
 4185 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4186 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4187 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kompman ; 38 
 4188 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4189 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4190 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4191 ; Бона иностранная ;  ;  ;  ;  ; 4 ; smel ; 42 
 4192 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 36 
 4193 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 34 
 4194 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4195 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4196 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4197 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 34 
 4198 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 34 
 4199 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 34 
 4200 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 34 
 4201 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 32 
 4202 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Dander ; 31 
 4203 ; Бона иностранная ;  ;  ;  ;  ; 2 ; ек ; 30 
 4204 ; Бона иностранная ;  ;  ;  ;  ; 11 ; 34 ; 29 
 4205 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 34 ; 24 
 4206 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 32 
 4207 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Опятор ; 21 
 4208 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4209 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4210 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 34 
 4211 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4212 ; Бона иностранная ;  ;  ;  ;  ; 1 ; 555650 ; 32 
 4213 ; Бона иностранная ;  ;  ;  ;  ; 14 ; faga2003 ; 102 
 4214 ; Бона иностранная ;  ;  ;  ;  ; 24 ; faga2003 ; 261 
 4215 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Майкл ; 51 
 4216 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Майкл ; 46 
 4217 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 34 ; 11 
 4218 ; Бона иностранная ;  ;  ;  ;  ; 32 ; lamazo ; 53 
 4219 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Gold_42 ; 51 
 4220 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 4758 ; 24 
 4221 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Gold_42 ; 38 
 4222 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Germanfox ; 30 
 4223 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Germanfox ; 107 
 4224 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 34 ; 12 
 4225 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 34 ; 24 
 4226 ; Бона иностранная ;  ;  ;  ;  ; 29 ; lamazo ; 36 
 4127 ; 100 рублей ; 1991 ; билет ;  ;  ; 3 ; vfuflfy49 ; 70 
 4128 ; 100 рублей ; 1991 ; билет ;  ;  ; 53 ; vfuflfy49 ; 100 
 4129 ; 10000 рублей ; 1993 ; банкнота ;  ;  ; 35 ; sasha14 ; 781 
 4130 ; 25 рублей. Юденич ; 1919 ;  ;  ;  ; 22 ; FOCU$ ; 790 
 4131 ; 25 рублей. Юденич ; 1919 ;  ;  ;  ; 15 ; 34 ; 797 
 4132 ; 100 рублей. Юденич ; 1919 ;  ;  ;  ; 19 ; cochu ; 1266 
 4133 ; 500 рублей. Юденич ; 1919 ;  ;  ;  ; 56 ; нумизмат ; 1632 
 4134 ; Билет 3 лотереи Осоавиахима ; 1929 ;  ;  ;  ; 99 ; dagon ; 1090 
 4135 ; 25 копеек. Одгубрабкооп ;  ;  ;  ;  ; 53 ; 661 ; 964 
 4136 ; 1 рубль ; 1920 ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ;  ; 88 ; Vb[fksx ; 1249 
 4137 ; 1 рубль. Владивосток ;  ;  ;  ;  ; 115 ; sdfg ; 2313 
 4138 ; 25 рублей. Армавир ; 1918 ;  ;  ;  ; 14 ; filat100 ; 611 
 4139 ; 5 рублей ; 1920 ; Разменные знаки и кредитные билеты Времен.правит.Дальнего Востока ;  ;  ; 84 ; monos72 ; 1915 
 4140 ; 5 рублей. Гагры ; 1918 ;  ;  ;  ; 100 ; filat100 ; 2754 
 4141 ; 25 рублей. Елисаветоград ; 1919 ;  ;  ;  ; 42 ; AnvlaSar6216 ; 1249 
 4142 ; 10 червонцев ; 1922 ; Банковские билеты ;  ;  ; 146 ; kostian1284 ; 10200 
 4143 ; Соединенный банк. Акция ; 1912 ;  ;  ;  ; 41 ; 542 ; 612 
 4144 ; Конверсионная облигация ; 1898 ;  ;  ;  ; 16 ; 34 ; 510 
 4145 ; Облигация Николаевской ж/д ; 1869 ;  ;  ;  ; 81 ; SNN ; 1000 
 4146 ; Свидетельство поземельного банка ; 1912 ;  ;  ;  ; 24 ; 34 ; 477 
 4147 ; Закладной лист ; 1898 ;  ;  ;  ; 35 ; 67 ; 525 
 4148 ; Облигация ; 1896 ;  ;  ;  ; 32 ; lesnik1 ; 357 
 4149 ; Облигация ; 1880 ;  ;  ;  ; 22 ; lesnik1 ; 357 
 4150 ; Облигация ; 1906 ;  ;  ;  ; 27 ; 34 ; 291 
 4151 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Скрудж ; 30 
 4152 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 4153 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4154 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4155 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4156 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 35 
 4157 ; Бона иностранная ;  ;  ;  ;  ; 22 ; Скрудж ; 40 
 4158 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Dander ; 37 
 4159 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Dander ; 37 
 4160 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 4161 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Скрудж ; 40 
 4162 ; Бона иностранная ;  ;  ;  ;  ; 15 ; Скрудж ; 38 
 4163 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 4164 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 4165 ; Бона иностранная ;  ;  ;  ;  ; 7 ; alex995 ; 23 
 4166 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4167 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 31 
 4168 ; Бона иностранная ;  ;  ;  ;  ; 7 ; kotyamoi ; 47 
 4169 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 31 
 4170 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4171 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 30 
 4172 ; Бона иностранная ;  ;  ;  ;  ; 5 ; kotyamoi ; 47 
 4173 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 34 
 4174 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 34 
 4175 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 31 
 4176 ; Бона иностранная ;  ;  ;  ;  ; 2 ; Скрудж ; 33 
 4077 ; 5000 рублей ; 1993 ; банкнота ;  ;  ; 25 ; Gera_K ; 357 
 4078 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 9 ; 34 ; 29 
 4079 ; 1000 рублей ; 1993 ; банкнота ;  ;  ; 8 ; 34 ; 28 
 4080 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 43 ; mib ; 816 
 4081 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 81 ; Gera_K ; 625 
 4082 ; 1 червонец ; 1937 ; Билет ;  ;  ; 17 ; astronom ; 67 
 4083 ; 1 червонец ; 1937 ; Билет ;  ;  ; 24 ; geracon2009 ; 173 
 4084 ; 1 червонец ; 1937 ; Билет ;  ;  ; 16 ; fanil ; 554 
 4085 ; Приватизационный чек ; 1992 ;  ;  ;  ; 19 ; у44 ; 110 
 4086 ; Приватизационный чек ; 1992 ;  ;  ;  ; 19 ; himik121 ; 133 
 4087 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 100 ; Gera_K ; 609 
 4088 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 20 ; fanil ; 750 
 4089 ; 3 червонца ; 1937 ; Билет ;  ;  ; 17 ; Юрий7 ; 242 
 4090 ; 3 червонца ; 1937 ; Билет ;  ;  ; 19 ; astronom ; 169 
 4091 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 22 ; astronom ; 161 
 4092 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 28 ; ZOLTAN333 ; 99 
 4093 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 59 ; Dander ; 181 
 4094 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 27 ; ZOLTAN333 ; 96 
 4095 ; 5 червонцев ; 1937 ; Билет ;  ;  ; 18 ; astronom ; 161 
 4096 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 8 ; Gera_K ; 36 
 4097 ; 10 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 10 ; Gera_K ; 49 
 4098 ; 1000 рублей ; 1919 ;  ;  ;  ; 86 ; AIK60 ; 462 
 4099 ; 50 рублей ; 1947 ; билет ;  ;  ; 34 ; faga2003 ; 429 
 4100 ; 100 рублей ; 1947 ; билет ;  ;  ; 20 ; faga2003 ; 459 
 4101 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 7 ; AIK60 ; 82 
 4102 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 4 ; kompman ; 110 
 4103 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 8 ; kompman ; 145 
 4104 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 12 ; kompman ; 123 
 4105 ; 1000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 11 ; kompman ; 100 
 4106 ; 100 рублей. Чита ; 1920 ;  ;  ;  ; 52 ; SANGOLD1 ; 837 
 4107 ; 10 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 32 ; fanil ; 976 
 4108 ; 25 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 96 ; Gera_K ; 186 
 4109 ; 25 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 36 ; Юрий7 ; 891 
 4110 ; 50 рублей ; 1919 ;  ;  ;  ; 77 ; Юрий7 ; 271 
 4111 ; 500 рублей. Чита ; 1920 ;  ;  ;  ; 44 ; 661 ; 718 
 4112 ; 10000 рублей ; 1921 ; Армения ;  ;  ; 49 ; грос79 ; 387 
 4113 ; 25 рублей. Одесса ; 1917 ;  ;  ;  ; 87 ; ZOLTAN333 ; 487 
 4114 ; 100 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 6 ; vfuflfy49 ; 100 
 4115 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 30 ; Gera_K ; 63 
 4116 ; 5 рублей ; 1909 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 19 ; fanil ; 234 
 4117 ; 5 рублей. Касимов ; 1918 ;  ;  ;  ; 21 ; 4758 ; 612 
 4118 ; 1000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 49 ; Юрий7 ; 169 
 4119 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 32 ; ZOLTAN333 ; 193 
 4120 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 22 ; fanil ; 510 
 4121 ; 1 рубль. Юденич ; 1919 ;  ;  ;  ; 40 ; FOCU$ ; 1321 
 4122 ; 3 рубля. Юденич ; 1919 ;  ;  ;  ; 43 ; fanil ; 1450 
 4123 ; 5 рублей. Юденич ; 1919 ;  ;  ;  ; 42 ; fanil ; 1450 
 4124 ; 10 рублей. Юденич ; 1919 ;  ;  ;  ; 58 ; SANGOLD1 ; 1359 
 4125 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 42 ; Gera_K ; 282 
 4126 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 52 ; cvet71 ; 305 
 3296 ; Лот монет Нидерландов: 1 гульден, 25,10,5,2 1/2,1 цента  (6шт) ; 1916-1972 ;  ; Cu-Ni, Br ; VF/VF-XF ; 27 ; Юбер ; 67 
 3297 ; Лот монет Бельгии: 20,5,1 франков, 10 сантимов (5шт) ; 1904-1989 ;  ; Cu-Ni, Ni/Br ; F-VF/XF- ; 21 ; krugerrand ; 41 
 3298 ; Лот монет Эстонии: 20,10 сенти (2шт) ; 1931, 1935 ;  ; Cu-Ni ; F-VF/VF- ; 35 ; zx123 ; 102 
 3299 ; Лот монет Латвии: 20,2,1 сантимов (3шт) ; 1922, 1937 ;  ; Cu-Ni, Br ; VF-/VF+ ; 40 ; МНП68 ; 124 
 3300 ; Лот монет Польши: 2 злотых (15шт) ; 2001-2004 ;  ; Латунь ; AU ; 19 ; МНП68 ; 1033 
 3301 ; Лот монет Польши: 50, 2 злотых (4шт) ; 1928-1981 ;  ; Cu-Ni, Cu ; F-VF/VF ; 62 ; Sterh ; 113 
 3302 ; Лот монет Боливии, Франции, Веймара, Монголии (4шт) ; 20 век ;  ; Cu-Ni, Al ; F-VF/VF- ; 37 ; alskr ; 143 
 3303 ; Лот монет Аргентины (4шт) ; 1975-1978 ;  ; Al/Br ; XF/AU ; 31 ; bv812 ; 84 
 3304 ; Лот монет ФРГ (27шт): 2,1 пфенниг ; 1950-1996 ;  ; Cu ; VF-/VF+ ; 38 ; 542 ; 159 
