 4359 ; Бона иностранная ;  ;  ;  ;  ; 20 ; shneyder ; 79 
 4396 ; Бона иностранная ;  ;  ;  ;  ; 5 ; у44 ; 62 
 4397 ; Бона иностранная ;  ;  ;  ;  ; 20 ; tars7777 ; 81 
 4398 ; Бона иностранная ;  ;  ;  ;  ; 20 ; tars7777 ; 91 
 4399 ; Бона иностранная ;  ;  ;  ;  ; 36 ; tars7777 ; 66 
 4400 ; Бона иностранная ;  ;  ;  ;  ; 8 ; loseff ; 67 
 4401 ; Бона иностранная ;  ;  ;  ;  ; 26 ; у44 ; 104 
 4309 ; Бона иностранная ;  ;  ;  ;  ; 29 ; alex.k ; 30 
 4310 ; Бона иностранная ;  ;  ;  ;  ; 20 ; сс400 ; 39 
 4311 ; Бона иностранная ;  ;  ;  ;  ; 11 ; kest-vs ; 30 
 4312 ; Бона иностранная ;  ;  ;  ;  ; 18 ; andysayan ; 33 
 4313 ; Бона иностранная ;  ;  ;  ;  ; 11 ; allur65 ; 30 
 4314 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ек ; 26 
 4315 ; Бона иностранная ;  ;  ;  ;  ; 14 ; сс400 ; 28 
 4316 ; Бона иностранная ;  ;  ;  ;  ; 11 ; ленинград ; 30 
 4317 ; Бона иностранная ;  ;  ;  ;  ; 23 ; brindamur ; 30 
 4318 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 661 ; 26 
 4319 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ек ; 26 
 4320 ; Бона иностранная ;  ;  ;  ;  ; 30 ; ленинград ; 30 
 4321 ; Бона иностранная ;  ;  ;  ;  ; 11 ; brindamur ; 30 
 4322 ; Бона иностранная ;  ;  ;  ;  ; 6 ; kompman ; 26 
 4323 ; Бона иностранная ;  ;  ;  ;  ; 27 ; ек ; 28 
 4324 ; Бона иностранная ;  ;  ;  ;  ; 8 ; сс400 ; 29 
 4325 ; Бона иностранная ;  ;  ;  ;  ; 6 ; сс400 ; 27 
 4326 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 661 ; 26 
 4327 ; Бона иностранная ;  ;  ;  ;  ; 8 ; сс400 ; 24 
 4328 ; Бона иностранная ;  ;  ;  ;  ; 5 ; у44 ; 31 
 4329 ; Бона иностранная ;  ;  ;  ;  ; 21 ; у44 ; 28 
 4330 ; Бона иностранная ;  ;  ;  ;  ; 17 ; у44 ; 29 
 4331 ; Бона иностранная ;  ;  ;  ;  ; 19 ; Опятор ; 30 
 4332 ; Бона иностранная ;  ;  ;  ;  ; 25 ; andorf ; 36 
 4333 ; Бона иностранная ;  ;  ;  ;  ; 24 ; сс400 ; 36 
 4334 ; Бона иностранная ;  ;  ;  ;  ; 14 ; сс400 ; 34 
 4335 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 661 ; 26 
 4336 ; Бона иностранная ;  ;  ;  ;  ; 10 ; ек ; 29 
 4337 ; Бона иностранная ;  ;  ;  ;  ; 1 ; alex.k ; 12 
 4338 ; Бона иностранная ;  ;  ;  ;  ; 29 ; sikachai ; 38 
 4339 ; Бона иностранная ;  ;  ;  ;  ; 5 ; allur65 ; 16 
 4340 ; Бона иностранная ;  ;  ;  ;  ; 17 ; sikachai ; 32 
 4341 ; Бона иностранная ;  ;  ;  ;  ; 19 ; intrest ; 22 
 4342 ; Бона иностранная ;  ;  ;  ;  ; 17 ; sikachai ; 30 
 4343 ; Бона иностранная ;  ;  ;  ;  ; 22 ; alex.k ; 43 
 4344 ; Бона иностранная ;  ;  ;  ;  ; 22 ; brindamur ; 40 
 4345 ; Бона иностранная ;  ;  ;  ;  ; 11 ; tars7777 ; 42 
 4346 ; Бона иностранная ;  ;  ;  ;  ; 15 ; shneyder ; 63 
 4347 ; Бона иностранная ;  ;  ;  ;  ; 11 ; tars7777 ; 50 
 4348 ; Бона иностранная ;  ;  ;  ;  ; 9 ; tars7777 ; 50 
 4349 ; Бона иностранная ;  ;  ;  ;  ; 17 ; tars7777 ; 50 
 4350 ; Бона иностранная ;  ;  ;  ;  ; 26 ; AIK60 ; 45 
 4351 ; Бона иностранная ;  ;  ;  ;  ; 7 ; у44 ; 78 
 4352 ; Бона иностранная ;  ;  ;  ;  ; 4 ; loseff ; 37 
 4353 ; Бона иностранная ;  ;  ;  ;  ; 46 ; tars7777 ; 50 
 4354 ; Бона иностранная ;  ;  ;  ;  ; 21 ; никсер ; 50 
 4355 ; Бона иностранная ;  ;  ;  ;  ; 17 ; у44 ; 38 
 4356 ; Бона иностранная ;  ;  ;  ;  ; 14 ; loseff ; 32 
 4357 ; Бона иностранная ;  ;  ;  ;  ; 13 ; andysayan ; 32 
 4358 ; Бона иностранная ;  ;  ;  ;  ; 21 ; loseff ; 41 
 4259 ; Бона иностранная ;  ;  ;  ;  ; 22 ; 34 ; 24 
 4260 ; Бона иностранная ;  ;  ;  ;  ; 20 ; 34 ; 24 
 4261 ; Бона иностранная ;  ;  ;  ;  ; 22 ; kest-vs ; 22 
 4262 ; Бона иностранная ;  ;  ;  ;  ; 16 ; kest-vs ; 21 
 4263 ; Бона иностранная ;  ;  ;  ;  ; 23 ; andysayan ; 21 
 4264 ; Бона иностранная ;  ;  ;  ;  ; 19 ; mrotkin ; 23 
 4265 ; Бона иностранная ;  ;  ;  ;  ; 5 ; у44 ; 68 
 4266 ; Бона иностранная ;  ;  ;  ;  ; 4 ; mrotkin ; 31 
 4267 ; Бона иностранная ;  ;  ;  ;  ; 19 ; alex995 ; 23 
 4268 ; Бона иностранная ;  ;  ;  ;  ; 12 ; alex995 ; 23 
 4269 ; Бона иностранная ;  ;  ;  ;  ; 19 ; никсер ; 50 
 4270 ; Бона иностранная ;  ;  ;  ;  ; 5 ; у44 ; 33 
 4271 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 34 ; 19 
 4272 ; Бона иностранная ;  ;  ;  ;  ; 18 ; 661 ; 19 
 4273 ; Бона иностранная ;  ;  ;  ;  ; 23 ; 661 ; 24 
 4274 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 24 
 4275 ; Бона иностранная ;  ;  ;  ;  ; 12 ; 34 ; 19 
 4276 ; Бона иностранная ;  ;  ;  ;  ; 12 ; 34 ; 19 
 4277 ; Бона иностранная ;  ;  ;  ;  ; 17 ; страус ; 21 
 4278 ; Бона иностранная ;  ;  ;  ;  ; 13 ; страус ; 20 
 4279 ; Бона иностранная ;  ;  ;  ;  ; 13 ; 34 ; 19 
 4280 ; Бона иностранная ;  ;  ;  ;  ; 20 ; 661 ; 21 
 4281 ; Бона иностранная ;  ;  ;  ;  ; 24 ; 661 ; 29 
 4282 ; Бона иностранная ;  ;  ;  ;  ; 20 ; 661 ; 26 
 4283 ; Бона иностранная ;  ;  ;  ;  ; 25 ; 661 ; 26 
 4284 ; Бона иностранная ;  ;  ;  ;  ; 19 ; don-juras ; 30 
 4285 ; Бона иностранная ;  ;  ;  ;  ; 3 ; 661 ; 24 
 4286 ; Бона иностранная ;  ;  ;  ;  ; 7 ; 661 ; 28 
 4287 ; Бона иностранная ;  ;  ;  ;  ; 26 ; 661 ; 27 
 4288 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 661 ; 29 
 4289 ; Бона иностранная ;  ;  ;  ;  ; 9 ; 661 ; 29 
 4290 ; Бона иностранная ;  ;  ;  ;  ; 6 ; ек ; 39 
 4291 ; Бона иностранная ;  ;  ;  ;  ; 7 ; tars7777 ; 40 
 4292 ; Бона иностранная ;  ;  ;  ;  ; 5 ; tars7777 ; 40 
 4293 ; Бона иностранная ;  ;  ;  ;  ; 7 ; tars7777 ; 40 
 4294 ; Бона иностранная ;  ;  ;  ;  ; 7 ; tars7777 ; 40 
 4295 ; Бона иностранная ;  ;  ;  ;  ; 21 ; tars7777 ; 55 
 4296 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Опятор ; 30 
 4297 ; Бона иностранная ;  ;  ;  ;  ; 15 ; 34 ; 29 
 4298 ; Бона иностранная ;  ;  ;  ;  ; 17 ; 34 ; 24 
 4299 ; Бона иностранная ;  ;  ;  ;  ; 14 ; 34 ; 20 
 4300 ; Бона иностранная ;  ;  ;  ;  ; 25 ; kest-vs ; 30 
 4301 ; Бона иностранная ;  ;  ;  ;  ; 14 ; andysayan ; 32 
 4302 ; Бона иностранная ;  ;  ;  ;  ; 14 ; kest-vs ; 32 
 4303 ; Бона иностранная ;  ;  ;  ;  ; 29 ; kest-vs ; 30 
 4304 ; Бона иностранная ;  ;  ;  ;  ; 21 ; у44 ; 62 
 4305 ; Бона иностранная ;  ;  ;  ;  ; 35 ; у44 ; 62 
 4306 ; Бона иностранная ;  ;  ;  ;  ; 31 ; у44 ; 62 
 4307 ; Бона иностранная ;  ;  ;  ;  ; 35 ; andorf ; 76 
 4308 ; Бона иностранная ;  ;  ;  ;  ; 3 ; у44 ; 69 
 4209 ; Бона иностранная ;  ;  ;  ;  ; 25 ; никсер ; 30 
 4210 ; Бона иностранная ;  ;  ;  ;  ; 12 ; никсер ; 33 
 4211 ; Бона иностранная ;  ;  ;  ;  ; 11 ; никсер ; 39 
 4212 ; Бона иностранная ;  ;  ;  ;  ; 10 ; никсер ; 31 
 4213 ; Бона иностранная ;  ;  ;  ;  ; 6 ; никсер ; 37 
 4214 ; Бона иностранная ;  ;  ;  ;  ; 6 ; никсер ; 37 
 4215 ; Бона иностранная ;  ;  ;  ;  ; 6 ; никсер ; 37 
 4216 ; Бона иностранная ;  ;  ;  ;  ; 6 ; никсер ; 40 
 4217 ; Бона иностранная ;  ;  ;  ;  ; 6 ; никсер ; 44 
 4218 ; Бона иностранная ;  ;  ;  ;  ; 5 ; никсер ; 43 
 4219 ; Бона иностранная ;  ;  ;  ;  ; 5 ; никсер ; 36 
 4220 ; Бона иностранная ;  ;  ;  ;  ; 5 ; никсер ; 36 
 4221 ; Бона иностранная ;  ;  ;  ;  ; 6 ; никсер ; 31 
 4222 ; Бона иностранная ;  ;  ;  ;  ; 6 ; никсер ; 31 
 4223 ; Бона иностранная ;  ;  ;  ;  ; 17 ; никсер ; 42 
 4224 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Скрудж ; 31 
 4225 ; Бона иностранная ;  ;  ;  ;  ; 7 ; никсер ; 42 
 4226 ; Бона иностранная ;  ;  ;  ;  ; 14 ; никсер ; 32 
 4227 ; Бона иностранная ;  ;  ;  ;  ; 8 ; никсер ; 37 
 4228 ; Бона иностранная ;  ;  ;  ;  ; 9 ; никсер ; 32 
 4229 ; Бона иностранная ;  ;  ;  ;  ; 17 ; AnvlaSar6216 ; 104 
 4230 ; Бона иностранная ;  ;  ;  ;  ; 7 ; никсер ; 37 
 4231 ; Бона иностранная ;  ;  ;  ;  ; 8 ; никсер ; 42 
 4232 ; Бона иностранная ;  ;  ;  ;  ; 10 ; никсер ; 42 
 4233 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Скрудж ; 30 
 4234 ; Бона иностранная ;  ;  ;  ;  ; 13 ; никсер ; 37 
 4235 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 30 
 4236 ; Бона иностранная ;  ;  ;  ;  ; 5 ; 34 ; 26 
 4237 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Leon17 ; 42 
 4238 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Leon17 ; 36 
 4239 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Скрудж ; 30 
 4240 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 30 
 4241 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Скрудж ; 30 
 4242 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Скрудж ; 30 
 4243 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Leon17 ; 37 
 4244 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Leon17 ; 37 
 4245 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Leon17 ; 42 
 4246 ; Бона иностранная ;  ;  ;  ;  ; 3 ; loseff ; 31 
 4247 ; Бона иностранная ;  ;  ;  ;  ; 5 ; don-juras ; 30 
 4248 ; Бона иностранная ;  ;  ;  ;  ; 16 ; Скрудж ; 30 
 4249 ; Бона иностранная ;  ;  ;  ;  ; 14 ; Скрудж ; 30 
 4250 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 30 
 4251 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 31 
 4252 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Скрудж ; 30 
 4253 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 30 
 4254 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 30 
 4255 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 4256 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 30 
 4257 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 30 
 4258 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Скрудж ; 30 
 4159 ; Облигация ; 1896 ;  ;  ;  ; 52 ; Germanfox ; 300 
 4160 ; Облигация ; 1894 ;  ;  ;  ; 58 ; lesnik1 ; 438 
 4161 ; 10 копеек (4 шт.) ; 1915 ;  ;  ;   ; 48 ; KYZIA ; 91 
 4162 ; Бона иностранная ;  ;  ;  ;  ; 25 ; Скрудж ; 31 
 4163 ; Бона иностранная ;  ;  ;  ;  ; 12 ; Скрудж ; 30 
 4164 ; Бона иностранная ;  ;  ;  ;  ; 20 ; Let ; 42 
 4165 ; Бона иностранная ;  ;  ;  ;  ; 17 ; никсер ; 42 
 4166 ; Бона иностранная ;  ;  ;  ;  ; 21 ; sikachai ; 50 
 4167 ; Бона иностранная ;  ;  ;  ;  ; 24 ; tars7777 ; 45 
 4168 ; Бона иностранная ;  ;  ;  ;  ; 13 ; никсер ; 37 
 4169 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Скрудж ; 31 
 4170 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Скрудж ; 31 
 4171 ; Бона иностранная ;  ;  ;  ;  ; 7 ; никсер ; 42 
 4172 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 30 
 4173 ; Бона иностранная ;  ;  ;  ;  ; 12 ; никсер ; 42 
 4174 ; Бона иностранная ;  ;  ;  ;  ; 7 ; никсер ; 47 
 4175 ; Бона иностранная ;  ;  ;  ;  ; 10 ; Let ; 46 
 4176 ; Бона иностранная ;  ;  ;  ;  ; 11 ; никсер ; 47 
 4177 ; Бона иностранная ;  ;  ;  ;  ; 13 ; никсер ; 42 
 4178 ; Бона иностранная ;  ;  ;  ;  ; 7 ; никсер ; 47 
 4179 ; Бона иностранная ;  ;  ;  ;  ; 45 ; mrotkin ; 51 
 4180 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Скрудж ; 30 
 4181 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Скрудж ; 30 
 4182 ; Бона иностранная ;  ;  ;  ;  ; 7 ; никсер ; 32 
 4183 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Скрудж ; 30 
 4184 ; Бона иностранная ;  ;  ;  ;  ; 7 ; никсер ; 32 
 4185 ; Бона иностранная ;  ;  ;  ;  ; 14 ; никсер ; 30 
 4186 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 30 
 4187 ; Бона иностранная ;  ;  ;  ;  ; 7 ; никсер ; 32 
 4188 ; Бона иностранная ;  ;  ;  ;  ; 7 ; никсер ; 42 
 4189 ; Бона иностранная ;  ;  ;  ;  ; 12 ; AnvlaSar6216 ; 50 
 4190 ; Бона иностранная ;  ;  ;  ;  ; 5 ; никсер ; 42 
 4191 ; Бона иностранная ;  ;  ;  ;  ; 3 ; никсер ; 36 
 4192 ; Бона иностранная ;  ;  ;  ;  ; 41 ; QSL ; 46 
 4193 ; Бона иностранная ;  ;  ;  ;  ; 17 ; никсер ; 30 
 4194 ; Бона иностранная ;  ;  ;  ;  ; 13 ; никсер ; 30 
 4195 ; Бона иностранная ;  ;  ;  ;  ; 8 ; никсер ; 30 
 4196 ; Бона иностранная ;  ;  ;  ;  ; 8 ; никсер ; 30 
 4197 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Скрудж ; 30 
 4198 ; Бона иностранная ;  ;  ;  ;  ; 4 ; никсер ; 37 
 4199 ; Бона иностранная ;  ;  ;  ;  ; 4 ; никсер ; 37 
 4200 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Leon17 ; 55 
 4201 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Скрудж ; 42 
 4202 ; Бона иностранная ;  ;  ;  ;  ; 11 ; AnvlaSar6216 ; 51 
 4203 ; Бона иностранная ;  ;  ;  ;  ; 22 ; AnvlaSar6216 ; 53 
 4204 ; Бона иностранная ;  ;  ;  ;  ; 29 ; AnvlaSar6216 ; 53 
 4205 ; Бона иностранная ;  ;  ;  ;  ; 9 ; никсер ; 32 
 4206 ; Бона иностранная ;  ;  ;  ;  ; 14 ; никсер ; 42 
 4207 ; Бона иностранная ;  ;  ;  ;  ; 12 ; никсер ; 36 
 4208 ; Бона иностранная ;  ;  ;  ;  ; 24 ; никсер ; 31 
 4109 ; 1000 рублей ; 1919 ;  ;  ;  ; 11 ; AIK60 ; 612 
 4110 ; 1000 рублей ; 1919 ;  ;  ;  ; 68 ; lesnik1 ; 564 
 4111 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 22 ; atk ; 108 
 4112 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 40 ; ек ; 93 
 4113 ; 1000 рублей ; 1917 ; Денежные знаки ;  ;  ; 33 ; никсер ; 408 
 4114 ; 5000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 16 ; никсер ; 408 
 4115 ; 10000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 46 ; 661 ; 380 
 4116 ; 10000 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 34 ; ААФ ; 765 
 4117 ; 3 рубля ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 153 ; SANGOLD1 ; 1527 
 4118 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 129 ; elefant1965 ; 969 
 4119 ; 3 рубля ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 51 ; don-juras ; 50 
 4120 ; 5 рублей ; 1934 ; Гос.казначейские билеты ;  ;  ; 54 ; GenyM ; 510 
 4121 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 124 ; кве ; 408 
 4122 ; 5 рублей ; 1938 ; Гос.казначейские билеты СССР ;  ;  ; 36 ; vitketedd ; 357 
 4123 ; 5 рублей ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 55 ; FOCU$ ; 714 
 4124 ; 15 рублей. Богословский горный округ ; 1919 ;  ;  ;  ; 99 ; NSN ; 1313 
 4125 ; 25 рублей. Богословский горный округ ; 1919 ;  ;  ;  ; 85 ; oleg61 ; 1361 
 4126 ; 10000 рублей ; 1923 ; Гос.денежные знаки СССР ;  ;  ; 85 ; ААФ ; 3828 
 4127 ; 10000 рублей ; 1923 ; Гос.денежные знаки СССР ;  ;  ; 83 ; ААФ ; 3570 
 4128 ; 1 червонец ; 1937 ; Билет ;  ;  ; 15 ; никсер ; 355 
 4129 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 33 ; yuri.gruzdev ; 444 
 4130 ; 50000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 7 ; vitketedd ; 408 
 4131 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 25 ; ААФ ; 582 
 4132 ; 25000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 144 ; ААФ ; 501 
 4133 ; 200 карбованцев ; 1942 ;  ;  ;  ; 81 ; 542 ; 1530 
 4134 ; 500 карбованцев ; 1942 ;  ;  ;  ; 21 ; QSL ; 3122 
 4135 ; 1 копейка. Сормовское ЕПО ;  ;  ;  ;  ; 47 ; kons7 ; 1121 
 4136 ; 1 рубль. Тифлис ;  ;  ;  ;  ; 60 ; oleg61 ; 750 
 4137 ; 100000 рублей. Крым ;  ;  ;  ;  ; 31 ; oleg61 ; 816 
 4138 ; 20000 рублей. Крым ;  ;  ;  ;  ; 27 ; сс400 ; 716 
 4139 ; 10000 рублей. Крым ;  ;  ;  ;  ; 87 ; oleg61 ; 816 
 4140 ; 3 рубля. Крюков ;  ;  ;  ;  ; 33 ; сс400 ; 743 
 4141 ; 3 копейки. Алтайский губсоюз ;  ;  ;  ;  ; 87 ; NSN ; 1084 
 4142 ; 5000 рублей. Кубанский СПО ; 1922 ;  ;  ;  ; 66 ; lesnik1 ; 1129 
 4143 ; 10 гривен. Могилев ; 1918 ;  ;  ;  ; 69 ; у44 ; 464 
 4144 ; 1000 рублей ; 1920 ; Кредитные знаки Камчатского обл.совета нар.хозяйства ;  ;  ; 119 ; filat100 ; 30590 
 4145 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 37 ; o.k. ; 308 
 4146 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 38 ; koga ; 191 
 4147 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 72 ; o.k. ; 360 
 4148 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 50 ; koga ; 201 
 4149 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 28 ; koga ; 193 
 4150 ; 100 рублей ; 1910 ; Шипов 1912 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 47 ; o.k. ; 259 
 4151 ; Главное общ-во Российский ж/д. Облигация ; 1890 ;  ;  ;  ; 36 ; lvovich ; 2039 
 4152 ; Закладной лист ; 1898 ;  ;  ;  ; 33 ; ask ; 305 
 4153 ; Свидетельство Поземельного банка ; 1912 ;  ;  ;  ; 11 ; sher60 ; 305 
 4154 ; Облигация ; 1891 ;  ;  ;  ; 33 ; kompman ; 303 
 4155 ; Облигация ; 1889 ;  ;  ;   ; 19 ; kompman ; 365 
 4156 ; Облигация ; 1906 ;  ;  ;  ; 40 ; lesnik1 ; 310 
 4157 ; Облигация ; 1889 ;  ;  ;  ; 11 ; kompman ; 308 
 4158 ; Облигация ; 1880 ;  ;  ;  ; 39 ; kompman ; 403 
 4059 ; 2 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 37 ; atk ; 108 
 4060 ; 3 рубля ; 1919 ; Расчетные знаки РСФСР ;  ;  ; 29 ; intrest ; 48 
 4061 ; 5 рублей ; 1920 ; Расчетные знаки РСФСР образца 1920 г. ;  ;  ; 69 ; KYZIA ; 181 
 4062 ; 5 пенни ; 1919 ; Эстония ;  ;  ; 61 ; ur_adamov ; 153 
 4063 ; 10 пенни ; 1919 ; Эстония ;  ;  ; 40 ; ur_adamov ; 185 
 4064 ; 15 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 40 ; Vb[fksx ; 269 
 4065 ; 30 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ;  ; 18 ; atk ; 165 
 4066 ; 50 копеек ;  ;  ;  ;  ; 33 ; ек ; 87 
 4067 ; 50 копеек ;  ;  ;  ;  ; 31 ; ек ; 83 
 4068 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 16 ; smax621 ; 40 
 4069 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 28 ; 34 ; 29 
 4070 ; 50 копеек ; 1915 ; Разменные (казнач.)билеты ;  ;  ; 30 ; kompman ; 31 
 4071 ; 3 рубля ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 56 ; никсер ; 275 
 4072 ; 10 рублей, Хабаровск ; 1919 ;  ;  ;  ; 88 ; ZOLTAN333 ; 689 
 4073 ; 5 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 58 ; никсер ; 141 
 4074 ; 1 рубль. Организация с/х складов ;  ;  ;  ;  ; 50 ; kons7 ; 1125 
 4075 ; 3 рубля. Ярославский СПО ;  ;  ;  ;  ; 85 ; kons7 ; 1632 
