 4671 ; Бона иностранная ;  ;  ;  ;  ; 8 ; 11000 ; 29 
 4576 ; Бона иностранная ;  ;  ;  ;  ; 22 ; карпер ; 79 
 4577 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4578 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4579 ; Бона иностранная ;  ;  ;  ;  ; 14 ; карпер ; 67 
 4580 ; Бона иностранная ;  ;  ;  ;  ; 14 ; карпер ; 67 
 4581 ; Бона иностранная ;  ;  ;  ;  ; 24 ; карпер ; 72 
 4582 ; Бона иностранная ;  ;  ;  ;  ; 14 ; карпер ; 67 
 4583 ; Бона иностранная ;  ;  ;  ;  ; 14 ; карпер ; 67 
 4584 ; Бона иностранная ;  ;  ;  ;  ; 20 ; карпер ; 79 
 4585 ; Бона иностранная ;  ;  ;  ;  ; 10 ; карпер ; 57 
 4586 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4587 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sikachai ; 51 
 4588 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 49 
 4589 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 49 
 4590 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sikachai ; 50 
 4591 ; Бона иностранная ;  ;  ;  ;  ; 10 ; don-juras ; 57 
 4592 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4593 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4594 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4595 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4596 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Улетный ; 50 
 4597 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Улетный ; 50 
 4598 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4599 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4600 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4601 ; Бона иностранная ;  ;  ;  ;  ; 14 ; карпер ; 67 
 4602 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4603 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4604 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4605 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sikachai ; 51 
 4606 ; Бона иностранная ;  ;  ;  ;  ; 10 ; карпер ; 57 
 4607 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4608 ; Бона иностранная ;  ;  ;  ;  ; 10 ; карпер ; 59 
 4609 ; Бона иностранная ;  ;  ;  ;  ; 10 ; карпер ; 57 
 4610 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4611 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4612 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 49 
 4613 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4614 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4615 ; Бона иностранная ;  ;  ;  ;  ; 5 ; карпер ; 50 
 4616 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4617 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4618 ; Бона иностранная ;  ;  ;  ;  ; 29 ; Улетный ; 101 
 4619 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sikachai ; 67 
 4620 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4521 ; Бона иностранная ;  ;  ;  ;  ; 2 ; KYZIA ; 75 
 4522 ; Бона иностранная ;  ;  ;  ;  ; 6 ; sikachai ; 77 
 4523 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Улетный ; 51 
 4524 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Улетный ; 51 
 4525 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Улетный ; 50 
 4526 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Улетный ; 50 
 4527 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4528 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sos1 ; 101 
 4529 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Улетный ; 50 
 4530 ; Бона иностранная ;  ;  ;  ;  ; 18 ; sos1 ; 101 
 4531 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Улетный ; 51 
 4532 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Улетный ; 73 
 4533 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Улетный ; 50 
 4534 ; Бона иностранная ;  ;  ;  ;  ; 3 ; Скрудж ; 37 
 4535 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Улетный ; 50 
 4536 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4537 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4538 ; Бона иностранная ;  ;  ;  ;  ; 11 ; Улетный ; 61 
 4539 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4540 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4541 ; Бона иностранная ;  ;  ;  ;  ; 13 ; Улетный ; 51 
 4542 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4543 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4544 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4545 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4546 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4547 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4548 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4549 ; Бона иностранная ;  ;  ;  ;  ; 36 ; Улетный ; 50 
 4550 ; Бона иностранная ;  ;  ;  ;  ; 3 ; sikachai ; 59 
 4551 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4552 ; Бона иностранная ;  ;  ;  ;  ; 17 ; sikachai ; 151 
 4553 ; Бона иностранная ;  ;  ;  ;  ; 3 ; sos1 ; 101 
 4554 ; Бона иностранная ;  ;  ;  ;  ; 3 ; sos1 ; 101 
 4555 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sos1 ; 101 
 4556 ; Бона иностранная ;  ;  ;  ;  ; 4 ; ек ; 70 
 4557 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4558 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4559 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 50 
 4560 ; Бона иностранная ;  ;  ;  ;  ; 18 ; карпер ; 63 
 4561 ; Бона иностранная ;  ;  ;  ;  ; 26 ; карпер ; 72 
 4562 ; Бона иностранная ;  ;  ;  ;  ; 16 ; карпер ; 57 
 4563 ; Бона иностранная ;  ;  ;  ;  ; 24 ; карпер ; 72 
 4564 ; Бона иностранная ;  ;  ;  ;  ; 10 ; карпер ; 57 
 4565 ; Бона иностранная ;  ;  ;  ;  ; 10 ; карпер ; 57 
 4566 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sos1 ; 95 
 4567 ; Бона иностранная ;  ;  ;  ;  ; 9 ; sos1 ; 87 
 4568 ; Бона иностранная ;  ;  ;  ;  ; 4 ; Улетный ; 51 
 4569 ; Бона иностранная ;  ;  ;  ;  ; 10 ; don-juras ; 57 
 4570 ; Бона иностранная ;  ;  ;  ;  ; 5 ; sikachai ; 50 
 4324 ; Лот(100руб.,250руб.,обязательство на 50руб.) ; 1919,1920 ;  ;  ; F-VF ; 53 ; ZOLTAN333 ; 320 
 4325 ; 500 рублей ; 1898 ; Тимашев 1903. Гос.кредитные билеты 1898-1899 гг. ;  ; F- ; 39 ; sher60 ; 2300 
 4326 ; 500 рублей ; 1898 ; Коншин 1910 г. Гос.кредитные билеты 1898-1899 гг. ;  ; F ; 71 ; zid200 ; 3646 
 4327 ; 500 рублей ; 1912 ; Коншин. Гос.кредитные билеты 1905-1912 гг. ;  ; VF/F ; 33 ; alex241 ; 612 
 4328 ; Лот 3 шт.( 500 рублей ) ; 1912 ;  ;  ; F/VG ; 48 ; Инвестор ; 473 
 4329 ; 5000 рублей ; 1919 ;  ;  ; AU ; 35 ; ZOLTAN333 ; 510 
 4330 ; 5000 рублей ; 1919 ;  ;  ; AU ; 56 ; Хакас ; 465 
 4331 ; 500 рублей ; 1991 ; билет ;  ; AU ; 149 ; sergoizadlera ; 1277 
 4332 ; 200 рублей ; 1991 ; билет ;  ; AU ; 105 ; tisa66 ; 467 
 4333 ; 5000 рублей ; 1993 ; банкнота ;  ; AU ; 124 ; Кречет ; 565 
 4334 ; 5 червонцев ; 1928 ; Билет ;  ; VF- ; 161 ; verunk1 ; 18360 
 4335 ; 3 червонца ; 1932 ; Билет ;  ; VF- ; 65 ; rib1959 ; 2907 
 4336 ; 1 копейка.кварт блок ; 1915 ; Деньги-марки ;  ; AU ; 74 ; SANGOLD1 ; 3314 
 4337 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ; XF+ ; 49 ; lvd ; 2044 
 4338 ; 1 рубль ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ; AU ; 54 ; ZOLTAN333 ; 510 
 4339 ; 3 рубля ; 1919 ; Латвия. Разменный знак ;  ; XF+ ; 60 ; koga ; 362 
 4340 ; 1 рубль ; 1919 ; Грузия ;  ; AU ; 52 ; Alks75 ; 385 
 4341 ; 10 рублей ; 1919 ; Грузия ;  ; AU ; 29 ; Alks75 ; 618 
 4342 ; 5% облигация займа Свободы в 100 рублей ; 1917 ;  ;  ; AU ; 47 ; verunk1 ; 938 
 4343 ; 5 пунктов. Литва ;  ;  ;  ; VF+ ; 115 ; k212 ; 1106 
 4344 ; 5 рублей. Город Одесса ; 1917 ;  ;  ; XF ; 59 ; max2008 ; 775 
 4345 ; Лот из 3 денежных знаков: 3, 10, 25 рублей ; 1961 ;  ;  ; AU ; 53 ; romna1977 ; 550 
 4346 ; Лот из 6 денежных знаков: 50, 200, 500, 1000, 5000, 10000 рублей ; 1992 ;  ;  ; AU ; 91 ; ML ; 1304 
 4347 ; Лот из 3 денежных знаков: 100, 200, 500 рублей ; 1993 ;  ;  ; AU ; 14 ; bonipari ; 439 
 4348 ; Лот из 3 денежных знаков: 100, 200, 500 рублей ; 1993 ;  ;  ; AU ; 59 ; bonipari ; 261 
 4349 ; Лот из 5 денежных знаков:50, 200, 500, 1000, 10000 рублей. С маркой Приднестровья ; 1992 ;  ;  ; AU ; 47 ; Gera_K ; 945 
 4350 ; 1000 рублей ; 1995 ; банкнота ;  ; AU ; 85 ; bonipari ; 293 
 4351 ; 1000 рублей ; 1995 ; банкнота ;  ; AU ; 51 ; sdfg ; 285 
 4352 ; 5 рублей ; 1997 ; банкнота ;  ; AU ; 60 ; aleks7 ; 270 
 4353 ; 5 рублей ; 1997 ; банкнота ;  ; AU ; 36 ; sdfg ; 267 
 4501 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Улетный ; 50 
 4502 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Улетный ; 50 
 4503 ; Бона иностранная ;  ;  ;  ;  ; 17 ; Улетный ; 55 
 4504 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 53 
 4505 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 53 
 4506 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Улетный ; 50 
 4507 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Улетный ; 50 
 4508 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Улетный ; 50 
 4509 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Улетный ; 50 
 4510 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Улетный ; 50 
 4511 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Улетный ; 67 
 4512 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Улетный ; 50 
 4513 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Улетный ; 50 
 4514 ; Бона иностранная ;  ;  ;  ;  ; 7 ; Улетный ; 50 
 4515 ; Бона иностранная ;  ;  ;  ;  ; 5 ; Улетный ; 77 
 4516 ; Бона иностранная ;  ;  ;  ;  ; 9 ; Улетный ; 50 
 4517 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Майкл ; 89 
 4518 ; Бона иностранная ;  ;  ;  ;  ; 8 ; Майкл ; 89 
 4519 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Улетный ; 51 
 4520 ; Бона иностранная ;  ;  ;  ;  ; 6 ; Улетный ; 50 
 4164 ; Облигация ; 1906 ;  ;  ;  ; 25 ; solder13 ; 313 
 4165 ; Облигация ; 1891 ;  ;  ;  ; 6 ; solder13 ; 306 
 4166 ; Облигация ; 1896 ;  ;  ;  ; 34 ; 1177 ; 405 
 4167 ; Акция. Брянск ; 1912 ;  ;  ;  ; 22 ; tihiy9 ; 352 
 4168 ; 5 рублей (2 шт) ; 1909 ;  ;  ;  ; 13 ; Gera_K ; 101 
 4169 ; 5 рублей (2 шт) ; 1909 ;  ;  ;  ; 11 ; alex241 ; 180 
 4170 ; 5 рублей (2 шт) ; 1909 ;  ;  ;  ; 19 ; Greenfields ; 71 
 4171 ; 5 рублей (2 шт) ; 1909 ;  ;  ;  ; 21 ; solder13 ; 149 
 4172 ; 5 рублей (2 шт) ; 1909 ;  ;  ;  ; 17 ; Gera_K ; 102 
 4173 ; 10 рублей (2 шт) ; 1909 ;  ;  ;  ; 6 ; 11000 ; 60 
 4174 ; 10 рублей (2 шт) ; 1909 ;  ;  ;  ; 32 ; 11000 ; 64 
 4175 ; 10 рублей (2 шт) ; 1909 ;  ;  ;  ; 7 ; rem16 ; 50 
 4176 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 3 ; ек ; 99 
 4177 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 6 ; ек ; 99 
 4178 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 7 ; evgen 66 ; 98 
 4179 ; 1 рубль (2 шт) ; 1898 ;  ;  ;  ; 10 ; evgen 66 ; 100 
 4180 ; Облигация (2 шт) ; 1954 ;  ;  ;  ; 8 ; Gera_K ; 178 
 4181 ; Облигация (2 шт) ; 1954 ;  ;  ;  ; 7 ; Gera_K ; 101 
 4182 ; Облигация (2 шт) ; 1955 ;  ;  ;  ; 6 ; Gera_K ; 101 
 4183 ; Облигация (2 шт) ; 1956 ;  ;  ;  ; 3 ; fox666lk ; 122 
 4184 ; Облигация (2 шт) ; 1956 ;  ;  ;  ; 2 ; батоно ; 70 
 4185 ; Облигация (2 шт) ; 1952 ;  ;  ;  ; 7 ; Gera_K ; 101 
 4186 ; Облигация (2 шт) ; 1952 ;  ;  ;  ; 20 ; Gera_K ; 136 
 4187 ; Облигация (2 шт) ; 1953 ;  ;  ;  ; 11 ; Gera_K ; 102 
 4188 ; 10, 25 рублей ; 1918 ;  ;  ;  ; 25 ; карпер ; 57 
 4189 ; 10, 50 рублей ; 1918 ;  ;  ;  ; 6 ; карпер ; 45 
 4190 ; 1 рубль (20 шт) ; 1898 ;  ;  ;  ; 31 ; Gera_K ; 602 
 4301 ; 1 рубль ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ; XF- ; 41 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 510 
 4302 ; 5 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ; VF+ ; 93 ; rib1959 ; 1561 
 4303 ; 10 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ; XF ; 44 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 714 
 4304 ; 25 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ; XF- ; 95 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 1020 
 4305 ; 100 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ; XF- ; 74 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 612 
 4306 ; 250 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ; VF- ; 62 ; benc ; 1145 
 4307 ; 100 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ; VF ; 44 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 713 
 4308 ; 5000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; VF- ; 93 ; Кречет ; 510 
 4309 ; 10000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; XF- ; 37 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 1134 
 4310 ; 10000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; VF- ; 21 ; zid200 ; 240 
 4311 ; 50 рублей ; 1919 ; Азербайджан ;  ; VF+ ; 41 ; SANGOLD1 ; 360 
 4312 ; 50 копеек ; 1918 ; Туркестан ;  ; VF ; 52 ; GenyM ; 549 
 4313 ; 10 рублей ; 1918 ; Казначейский знак Сибирского временного правительства ;  ; XF ; 33 ; rokada77 ; 703 
 4314 ; 25 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ; VF+ ; 85 ; rib1959 ; 1561 
 4315 ; Лот (2копейки,25рублей,50рублкей) ;  ;  ;  ;  ; 32 ; Кречет ; 369 
 4316 ; 10 рублей. Государственный кредитный билет ; 1920 ;  ;  ; VF ; 56 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 1003 
 4317 ; 100000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ; VF- ; 26 ; 675МК ; 362 
 4318 ; 5 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ; VF+ ; 147 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 2003 
 4319 ; 5000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ; VF+ ; 57 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 426 
 4320 ; 10000 рублей ; 1919 ; Расчетные знаки РСФСР образца 1919 г. ;  ; XF ; 74 ; Кречет ; 922 
 4321 ; 25 копеек ; 1919 ;  ;  ; VF- ; 36 ; rib1959 ; 1000 
 4322 ; 500 рублей ; 1920 ;  ;  ; XF- ; 46 ; 675МК ; 399 
 4323 ; 10 червонцев ; 1937 ; Билет ;  ; VF+ ; 155 ; Gyron ; 1078 
 4114 ; 10000 рублей ; 1921 ; Расчетные знаки РСФСР образца 1921 г. ;  ;  ; 18 ; jlo ; 408 
 4115 ; 50 рублей ; 1918 ; Гос.кредитн.билет образца 1918 г. ;  ;  ; 32 ; solder13 ; 165 
 4116 ; 250 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 84 ; joper69 ; 1020 
 4117 ; 25 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 39 ; МАВ9 ; 606 
 4118 ; 25 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 47 ; Woker ; 306 
 4119 ; 25 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 35 ; skaut ; 227 
 4120 ; 25 рублей ; 1909 ; Коншин 1910 г. Гос.кредитные билеты 1905-1912 гг. ;  ;  ; 9 ; shais1 ; 212 
 4121 ; 5 рублей ; 1923 ; Гос.денежные знаки. Первый выпуск ;  ;  ; 62 ; a54 ; 407 
 4122 ; 5 рублей ; 1923 ; Гос.денежные знаки. Второй выпуск ;  ;  ; 45 ; rib1959 ; 816 
 4123 ; 3 рубля ; 1925 ; Гос.казначейские билеты СССР ;  ;  ; 86 ; joper69 ; 1009 
 4124 ; 5 рублей. Гомель ; 1918 ;  ;  ;  ; 18 ; ъхз ; 440 
 4125 ; 10 рублей ; 1922 ; Гос.денежные знаки образца 1922 г. ;  ;  ; 46 ; a54 ; 177 
