 101 ; Полушка ; 1795 ; КМ ; Cu ; VF+ ; 59 ; Продано в зале ; 5600 
 66 ; 5 копеек ; 1782 ; КМ ; Cu ; XF ; 12 ; ruba ; 4602 
 67 ; 5 копеек ; 1788 ; СПМ ; Cu ; VF+ ; 21 ; ruba ; 7362 
 68 ; 5 копеек (Петров-8р, Ильин-5р) ; 1791 ; ЕМ Павл.перечекан ; Cu ; VF ; 36 ; PLD ; 29877 
 69 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF ; 11 ; Продано в зале ; 7000 
 70 ; 5 копеек (Петров-10р, Ильин-20р) ; 1794 ; АМ Павл.перечекан ; Cu ; VF- ; 19 ; Продано в зале ; 22500 
 71 ; 5 копеек ; 1795 ; АМ ; Cu ; XF/AU ; 64 ; ruba ; 21000 
 72 ; 5 копеек ; 1805 ; КМ ; Cu ; VF+ ; 16 ; Продано в зале ; 7000 
 73 ; 5 копеек (Ильин-3р) ; 1808 ; ЕМ ; Cu ; VF+ ; 24 ; aureo2 ; 9180 
 74 ; 5 копеек (Петров-1р) ; 1809 ; ЕМ ; Cu ; VF-XF ; 18 ; Продано в зале ; 4800 
 75 ; 5 копеек ; 1832 ; СМ ; Cu ; VF+ ; 23 ; Lisik ; 4000 
 76 ; 5 копеек ; 1869 ; ЕМ ; Cu ; XF ; 34 ; Продано в зале ; 6500 
 77 ; 5 копеек ; 1877 ; СПБ ; Cu ; XF+ ; 26 ; Продано в зале ; 7200 
 78 ; 4 копейки ; 1762 ;  ; Cu ; VF ; 20 ; Пётр Петрович ; 11583 
 79 ; 2 копейки (Петров-7р, Ильин-3р) ; 1767 ; СПМ ; Cu ; VF- ; 71 ; Продано в зале ; 11000 
 80 ; 2 копейки ; 1769 ; КМ "Сибирь" ; Cu ; VF+ ; 26 ; Lisik ; 5000 
 81 ; 2 копейки (Петров-2р, Ильин-3р) ; 1790 ; АМ ; Cu ; VF+ ; 51 ; Продано в зале ; 10500 
 82 ; 2 копейки ; 1793 ; Е- М Павл.перечекан ; Cu ; VF ; 24 ; Продано в зале ; 3800 
 83 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; VF+ ; 13 ; Продано в зале ; 21500 
 84 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF-XF ; 33 ; Продано в зале ; 10000 
 85 ; 2 копейки ; 1810 ; КМ ; Cu ; VF+ ; 7 ; кабан ; 1600 
 86 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; VF-XF ; 15 ; Продано в зале ; 2500 
 87 ; 2 копейки ; 1812 ; КМ ; Cu ; VF-XF ; 42 ; Vitalik1 ; 5001 
 88 ; Копейка ; 1819 ; КМ АД ; Cu ; VF+ ; 13 ; Lisik ; 1712 
 89 ; Копейка ; 1824 ; КМ АМ ; Cu ; VF-XF ; 75 ; Lisik ; 3162 
 90 ; 2 копейки ; 1899 ; СПБ ; Cu ; AU ; 58 ; бегемот ; 4533 
 91 ; 2 копейки ; 1903 ; СПБ ; Cu ; AU ; 42 ; Продано в зале ; 7000 
 92 ; Копейка ; 1708 ; МД ; Cu ; VF+ ; 25 ; Продано в зале ; 9000 
 93 ; Копейка ; 1714 ; МД ; Cu ; VF- ; 9 ; Продано в зале ; 1300 
 94 ; Денга ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 12 ; Продано в зале ; 2300 
 95 ; 1/2 копейки. Брак чеканки ; 1840 ; ЕМ ; Cu ; VF+ ; 33 ; PLD ; 7500 
 96 ; Денежка ; 1852 ; ЕМ ; Cu ; XF- ; 38 ; Продано в зале ; 6000 
 97 ; Полушка ; 1731 ; Орёл 1730 г. ; Cu ; VF+ ; 18 ; амбал ; 2900 
 98 ; Полушка ; 1768 ; КМ "Сибирь" ; Cu ; VF+ ; 22 ; Продано в зале ; 2100 
 99 ; Полушка ; 1771 ; КМ "Сибирь" ; Cu ; VF ; 16 ; Продано в зале ; 1600 
 100 ; Полушка ; 1779 ; КМ "Сибирь" ; Cu ; VF ; 12 ; Продано в зале ; 3600 
 1 ; 1,5 рубля-10 злотых ; 1837 ; НГ Рус.-Пол. ; Ag ; XF- ; 26 ; 371d ; 22667 
 2 ; Рубль ; 1723 ; ОК ; Ag ; XF+/XF- ; 35 ; Продано в зале ; 105000 
 3 ; Рубль ; 1724 ;  ; Ag ; VF-XF ; 21 ; kaper ; 34000 
 4 ; Рубль (Петров - 15 р.) ; 1725 ; СПБ ; Ag ; VF-XF ; 51 ; Продано в зале ; 110000 
 5 ; Рубль ; 1728 ;  ; Ag ; XF+ ; 44 ; 78gen ; 94330 
 6 ; Рубль ; 1738 ; СПБ ; Ag ; VF-XF ; 38 ; Продано в зале ; 25000 
 7 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; XF+ ; 22 ; Продано в зале ; 38000 
 8 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF+ ; 33 ; Продано в зале ; 22000 
 9 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; AU ; 25 ; Продано в зале ; 85000 
 10 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF- ; 27 ; Продано в зале ; 8500 
 11 ; Рубль ; 1844 ; MW ; Ag ; XF+ ; 22 ; Lisik ; 20000 
 12 ; Рубль ; 1868 ; СПБ HI ; Ag ; AU ; 44 ; Продано в зале ; 60000 
 13 ; Рубль ; 1872 ; СПБ HI ; Ag ; AU/XF ; 18 ; 371d ; 38000 
 14 ; Рубль ; 1901 ; (ФЗ) ; Ag ; AU ; 27 ; Продано в зале ; 52000 
 15 ; Рубль ; 1909 ; (ЭБ) ; Ag ; XF+ ; 108 ; Продано в зале ; 48000 
 16 ; Полтина (Петров - 5 р.) ; 1718 ; L ОК ; Ag ; VF+ ; 31 ; Продано в зале ; 66000 
 17 ; Полтина (Петров - 3 р.) ; 1721 ;  ; Ag ; VF+ ; 46 ; Fliege1 ; 50000 
 18 ; Полтина ; 1847 ; MW ; Ag ; XF ; 15 ; Продано в зале ; 21000 
 19 ; Полтина (Петров - 3 р.) ; 1862 ; СПБ МИ ; Ag ; XF- ; 44 ; Fliege1 ; 110001 
 20 ; Полтина ; 1896 ; (АГ) АГ ; Ag ; AU ; 15 ; Продано в зале ; 28000 
 21 ; 25 копеек ; 1828 ; СПБ НГ ; Ag ; XF- ; 26 ; Продано в зале ; 16000 
 22 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; AU ; 33 ; Продано в зале ; 20000 
 23 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 35 ; 37577 ; 7000 
 24 ; 25 копеек ; 1900 ; АГ ; Ag ; XF+ ; 54 ; Продано в зале ; 38000 
 25 ; 20 копеек ; 1785 ; СПБ ; Ag ; AU ; 30 ; Продано в зале ; 22000 
 26 ; 20 копеек ; 1830 ; СПБ НГ ; Ag ; XF+ ; 49 ; tisa66 ; 42000 
 27 ; 20 копеек ; 1838 ; СПБ НГ ; Ag ; XF ; 25 ; Lisik ; 5500 
 28 ; 20 копеек ; 1840 ; СПБ НГ ; Ag ; XF+ ; 20 ; Продано в зале ; 5200 
 29 ; 20 копеек ; 1847 ; СПБ ПА ; Ag ; AU ; 24 ; каламбурчик ; 8155 
 30 ; 20 копеек-40 грошей ; 1850 ; MW Рус.-Пол. ; Ag ; XF ; 71 ; Продано в зале ; 18000 
 31 ; 20 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 59 ; Продано в зале ; 9500 
 32 ; 20 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 23 ; каламбурчик ; 6120 
 33 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 42 ; romik ; 5000 
 34 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 9 ; Алекс 19505 ; 3366 
 35 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 48 ; Продано в зале ; 9000 
 36 ; 15 копеек-1 злотый ; 1838 ; НГ Рус.-Пол. ; Ag ; AU ; 49 ; Продано в зале ; 10500 
 37 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 25 ; 37577 ; 6000 
 38 ; 15 копеек ; 1904 ; СПБ АР ; Ag ; AU ; 52 ; verunk1 ; 8500 
 39 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 27 ; tisa66 ; 6103 
 40 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 25 ; Продано в зале ; 5800 
 41 ; Гривенник ; 1751 ;  ; Ag ; XF+ ; 77 ; Продано в зале ; 17500 
 42 ; Гривенник ; 1771 ; СПБ TI ; Ag ; AU ; 10 ; 439 ; 14869 
 43 ; Гривенник ; 1774 ; СПБ TI ; Ag ; VF-XF ; 29 ; Продано в зале ; 5200 
 44 ; Гривенник ; 1785 ; СПБ ; Ag ; AU ; 27 ; 37577 ; 8160 
 45 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 20 ; Lisik ; 6000 
 46 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 19 ; Logistik ; 12000 
 47 ; 10 копеек ; 1828 ; СПБ НГ ; Ag ; VF-XF ; 13 ; Logistik ; 7500 
 48 ; 10 копеек ; 1840 ; СПБ НГ ; Ag ; XF- ; 16 ; Lisik ; 6324 
 49 ; 10 копеек ; 1842 ; СПБ АЧ ; Ag ; VF-XF ; 13 ; Lisik ; 10325 
 50 ; 10 копеек ; 1848 ; СПБ HI ; Ag ; AU/XF ; 22 ; Продано в зале ; 7500 
